,COLB US Equity
2020-11-29,9.222
2020-11-30,8.679
2020-12-01,9.016
2020-12-02,9.148
2020-12-03,9.288
2020-12-04,9.53
2020-12-05,9.53
2020-12-06,9.53
2020-12-07,9.582
2020-12-08,9.506
2020-12-09,9.412
2020-12-10,9.373
2020-12-11,9.228
2020-12-12,9.228
2020-12-13,9.228
2020-12-14,9.195
2020-12-15,9.42
2020-12-16,9.434
2020-12-17,9.431
2020-12-18,9.439
2020-12-19,9.439
2020-12-20,9.439
2020-12-21,9.351
2020-12-22,9.154
2020-12-23,9.508
2020-12-24,9.53
2020-12-25,9.53
2020-12-26,9.53
2020-12-27,9.53
2020-12-28,9.683
2020-12-29,9.461
2020-12-30,9.675
2020-12-31,9.856
2021-01-01,9.856
2021-01-02,9.856
2021-01-03,9.856
2021-01-04,9.653
2021-01-05,9.953
2021-01-06,10.897
2021-01-07,11.026
2021-01-08,10.996
2021-01-09,10.996
2021-01-10,10.996
2021-01-11,11.24
2021-01-12,11.506
2021-01-13,11.361
2021-01-14,11.666
2021-01-15,11.498
2021-01-16,11.498
2021-01-17,11.498
2021-01-18,11.498
2021-01-19,11.528
2021-01-20,11.484
2021-01-21,11.284
2021-01-22,11.531
2021-01-23,11.531
2021-01-24,11.531
2021-01-25,11.501
2021-01-26,11.402
2021-01-27,11.084
2021-01-28,11.199
2021-01-29,10.576
2021-01-30,10.576
2021-01-31,10.576
2021-02-01,10.905
2021-02-02,11.073
2021-02-03,10.949
2021-02-04,11.336
2021-02-05,11.41
2021-02-06,11.41
2021-02-07,11.41
2021-02-08,11.819
2021-02-09,11.833
2021-02-10,11.764
2021-02-11,11.792
2021-02-12,11.908
2021-02-13,11.908
2021-02-14,11.908
2021-02-15,11.908
2021-02-16,12.029
2021-02-17,12.049
2021-02-18,11.982
2021-02-19,12.275
2021-02-20,12.275
2021-02-21,12.275
2021-02-22,12.693
2021-02-23,12.856
2021-02-24,13.306
2021-02-25,12.731
2021-02-26,12.24
2021-02-27,12.24
2021-02-28,12.24
2021-03-01,12.48
2021-03-02,12.397
2021-03-03,12.615
2021-03-04,12.599
2021-03-05,13.069
2021-03-06,13.069
2021-03-07,13.069
2021-03-08,13.552
2021-03-09,13.022
2021-03-10,13.491
2021-03-11,13.646
2021-03-12,13.942
2021-03-13,13.942
2021-03-14,13.942
2021-03-15,13.45
2021-03-16,13.345
2021-03-17,13.29
2021-03-18,13.245
2021-03-19,13.132
2021-03-20,13.132
2021-03-21,13.132
2021-03-22,12.613
2021-03-23,12.311
2021-03-24,11.994
2021-03-25,12.104
2021-03-26,12.466
2021-03-27,12.466
2021-03-28,12.466
2021-03-29,11.977
2021-03-30,12.168
2021-03-31,11.908
2021-04-01,11.927
2021-04-02,11.927
2021-04-03,11.927
2021-04-04,11.927
2021-04-05,12.007
2021-04-06,12.01
2021-04-07,11.644
2021-04-08,11.812
2021-04-09,12.01
2021-04-10,12.01
2021-04-11,12.01
2021-04-12,12.062
2021-04-13,11.799
2021-04-14,11.94
2021-04-15,11.855
2021-04-16,11.888
2021-04-17,11.888
2021-04-18,11.888
2021-04-19,11.788
2021-04-20,11.294
2021-04-21,11.63
2021-04-22,11.606
2021-04-23,11.972
2021-04-24,11.972
2021-04-25,11.972
2021-04-26,11.809
2021-04-27,11.769
2021-04-28,11.926
2021-04-29,11.893
2021-04-30,12.068
2021-05-01,12.068
2021-05-02,12.068
2021-05-03,12.168
2021-05-04,12.234
2021-05-05,12.17
2021-05-06,12.373
2021-05-07,12.281
2021-05-08,12.281
2021-05-09,12.281
2021-05-10,12.098
2021-05-11,11.917
2021-05-12,11.504
2021-05-13,12.057
2021-05-14,12.277
2021-05-15,12.277
2021-05-16,12.277
2021-05-17,12.19
2021-05-18,11.864
2021-05-19,11.981
2021-05-20,12.087
2021-05-21,12.146
2021-05-22,12.146
2021-05-23,12.146
2021-05-24,11.959
2021-05-25,11.546
2021-05-26,11.702
2021-05-27,11.939
2021-05-28,12.043
2021-05-29,12.043
2021-05-30,12.043
2021-05-31,12.043
2021-06-01,12.121
2021-06-02,11.928
2021-06-03,11.97
2021-06-04,11.998
2021-06-05,11.998
2021-06-06,11.998
2021-06-07,12.04
2021-06-08,12.017
2021-06-09,11.741
2021-06-10,11.454
2021-06-11,11.532
2021-06-12,11.532
2021-06-13,11.532
2021-06-14,11.387
2021-06-15,11.554
2021-06-16,11.744
2021-06-17,11.178
2021-06-18,10.748
2021-06-19,10.748
2021-06-20,10.748
2021-06-21,11.203
2021-06-22,11.083
2021-06-23,10.966
2021-06-24,12.437
2021-06-25,12.635
2021-06-26,12.635
2021-06-27,12.635
2021-06-28,12.281
2021-06-29,12.208
2021-06-30,12.291
2021-07-01,12.246
2021-07-02,11.956
2021-07-03,11.956
2021-07-04,11.956
2021-07-05,11.956
2021-07-06,11.605
2021-07-07,11.128
2021-07-08,10.884
2021-07-09,11.291
2021-07-10,11.291
2021-07-11,11.291
2021-07-12,11.313
2021-07-13,11.003
2021-07-14,10.918
2021-07-15,11.081
2021-07-16,10.871
2021-07-17,10.871
2021-07-18,10.871
2021-07-19,10.54
2021-07-20,10.79
2021-07-21,10.937
2021-07-22,10.59
2021-07-23,10.812
2021-07-24,10.812
2021-07-25,10.812
2021-07-26,10.912
2021-07-27,10.834
2021-07-28,10.903
2021-07-29,9.897
2021-07-30,9.94
2021-07-31,9.94
2021-08-01,9.94
2021-08-02,9.968
2021-08-03,10.09
2021-08-04,9.937
2021-08-05,10.13
2021-08-06,10.437
2021-08-07,10.437
2021-08-08,10.437
2021-08-09,10.358
2021-08-10,10.659
2021-08-11,10.73
2021-08-12,10.65
2021-08-13,10.667
2021-08-14,10.667
2021-08-15,10.667
2021-08-16,10.728
2021-08-17,10.521
2021-08-18,10.352
2021-08-19,10.269
2021-08-20,10.47
2021-08-21,10.47
2021-08-22,10.47
2021-08-23,10.521
2021-08-24,10.481
2021-08-25,10.389
2021-08-26,10.26
2021-08-27,10.581
2021-08-28,10.581
2021-08-29,10.581
2021-08-30,10.355
2021-08-31,10.424
2021-09-01,10.349
2021-09-02,10.283
2021-09-03,10.283
2021-09-04,10.283
2021-09-05,10.283
2021-09-06,10.283
2021-09-07,10.283
2021-09-08,10.283
2021-09-09,10.283
2021-09-10,10.283
2021-09-11,10.283
2021-09-12,10.283
2021-09-13,10.283
2021-09-14,10.283
2021-09-15,10.283
2021-09-16,10.283
2021-09-17,10.283
2021-09-18,10.283
2021-09-19,10.283
2021-09-20,10.283
2021-09-21,10.283
2021-09-22,10.283
2021-09-23,10.283
2021-09-24,10.283
2021-09-25,10.283
2021-09-26,10.283
2021-09-27,10.283
2021-09-28,10.283
2021-09-29,10.283
2021-09-30,10.283
2021-10-01,10.283
2021-10-02,10.283
2021-10-03,10.283
2021-10-04,10.283
2021-10-05,10.283
2021-10-06,10.283
2021-10-07,10.283
2021-10-08,10.283
2021-10-09,10.283
2021-10-10,10.283
2021-10-11,10.283
2021-10-12,10.283
2021-10-13,9.45
2021-10-14,9.412
2021-10-15,9.555
2021-10-16,9.555
2021-10-17,9.555
2021-10-18,9.621
2021-10-19,9.623
2021-10-20,9.747
2021-10-21,9.623
2021-10-22,9.725
2021-10-23,9.725
2021-10-24,9.725
2021-10-25,9.708
2021-10-26,9.571
2021-10-27,9.313
2021-10-28,9.371
2021-10-29,9.371
2021-10-30,9.371
2021-10-31,9.371
2021-11-01,8.942
2021-11-02,8.85
2021-11-03,9.28
2021-11-04,9.101
2021-11-05,9.339
2021-11-06,9.339
2021-11-07,9.339
2021-11-08,9.31
2021-11-09,9.264
2021-11-10,9.308
2021-11-11,9.259
2021-11-12,9.201
2021-11-13,9.201
2021-11-14,9.201
2021-11-15,9.203
2021-11-16,9.119
2021-11-17,8.953
2021-11-18,8.807
2021-11-19,8.7
2021-11-20,8.7
2021-11-21,8.7
2021-11-22,8.682
2021-11-23,8.81
2021-11-24,8.787
2021-11-25,8.787
2021-11-26,8.355
2021-11-27,8.355
2021-11-28,8.355
2021-11-29,8.434
2021-11-30,8.398
2021-12-01,8.247
2021-12-02,8.475
2021-12-03,8.316
2021-12-04,8.316
2021-12-05,8.316
2021-12-06,8.636
2021-12-07,8.541
2021-12-08,8.569
2021-12-09,8.482
2021-12-10,8.505
2021-12-11,8.505
2021-12-12,8.505
2021-12-13,7.836
2021-12-14,7.893
2021-12-15,7.879
2021-12-16,7.805
2021-12-17,7.479
2021-12-18,7.479
2021-12-19,7.479
2021-12-20,7.381
2021-12-21,7.609
2021-12-22,7.664
2021-12-23,7.73
2021-12-24,7.73
2021-12-25,7.73
2021-12-26,7.73
2021-12-27,7.836
2021-12-28,7.864
2021-12-29,7.833
2021-12-30,7.876
2021-12-31,7.821
2022-01-01,7.821
2022-01-02,7.821
2022-01-03,7.986
2022-01-04,8.07
2022-01-05,8.058
2022-01-06,8.491
2022-01-07,8.617
2022-01-08,8.617
2022-01-09,8.617
2022-01-10,8.773
2022-01-11,8.78
2022-01-12,8.835
2022-01-13,8.804
2022-01-14,8.832
2022-01-15,8.832
2022-01-16,8.832
2022-01-17,8.832
2022-01-18,8.675
2022-01-19,8.388
2022-01-20,8.342
2022-01-21,8.373
2022-01-22,8.373
2022-01-23,8.373
2022-01-24,8.476
2022-01-25,8.622
2022-01-26,8.522
2022-01-27,8.232
2022-01-28,8.254
2022-01-29,8.254
2022-01-30,8.254
2022-01-31,8.311
2022-02-01,8.396
2022-02-02,8.34
2022-02-03,8.302
2022-02-04,8.509
2022-02-05,8.509
2022-02-06,8.509
2022-02-07,8.528
2022-02-08,8.695
2022-02-09,8.627
2022-02-10,8.639
2022-02-11,8.663
2022-02-12,8.663
2022-02-13,8.663
2022-02-14,8.603
2022-02-15,8.861
2022-02-16,8.953
2022-02-17,8.673
2022-02-18,8.753
2022-02-19,8.753
2022-02-20,8.753
2022-02-21,8.753
2022-02-22,8.762
2022-02-23,8.601
2022-02-24,8.403
2022-02-25,8.914
2022-02-26,8.914
2022-02-27,8.914
2022-02-28,8.832
2022-03-01,8.287
2022-03-02,8.736
2022-03-03,8.654
2022-03-04,8.319
2022-03-05,8.319
2022-03-06,8.319
2022-03-07,7.971
2022-03-08,8.171
2022-03-09,8.34
2022-03-10,8.335
2022-03-11,8.502
2022-03-12,8.502
2022-03-13,8.502
2022-03-14,8.227
2022-03-15,8.239
2022-03-16,8.386
2022-03-17,8.28
2022-03-18,8.157
2022-03-19,8.157
2022-03-20,8.157
2022-03-21,8.128
2022-03-22,8.294
2022-03-23,7.904
2022-03-24,8.012
2022-03-25,8.215
2022-03-26,8.215
2022-03-27,8.215
2022-03-28,8.07
2022-03-29,8.282
2022-03-30,7.971
2022-03-31,7.781
2022-04-01,7.501
2022-04-02,7.501
2022-04-03,7.501
2022-04-04,7.513
2022-04-05,7.41
2022-04-06,7.354
2022-04-07,7.236
2022-04-08,7.277
2022-04-09,7.277
2022-04-10,7.277
2022-04-11,7.279
2022-04-12,7.19
2022-04-13,7.347
2022-04-14,7.199
2022-04-15,7.199
2022-04-16,7.199
2022-04-17,7.199
2022-04-18,7.204
2022-04-19,7.471
2022-04-20,7.459
2022-04-21,7.488
2022-04-22,7.483
2022-04-23,7.483
2022-04-24,7.483
2022-04-25,7.431
2022-04-26,7.147
2022-04-27,7.082
2022-04-28,7.111
2022-04-29,6.78
2022-04-30,6.78
2022-05-01,6.78
2022-05-02,6.999
2022-05-03,7.207
2022-05-04,7.419
2022-05-05,7.268
2022-05-06,7.051
2022-05-07,7.051
2022-05-08,7.051
2022-05-09,7.041
2022-05-10,6.973
2022-05-11,6.816
2022-05-12,6.938
2022-05-13,6.943
2022-05-14,6.943
2022-05-15,6.943
2022-05-16,6.86
2022-05-17,7.131
2022-05-18,7.075
2022-05-19,6.904
2022-05-20,7.021
2022-05-21,7.021
2022-05-22,7.021
2022-05-23,7.126
2022-05-24,6.958
2022-05-25,7.068
2022-05-26,7.19
2022-05-27,7.404
2022-05-28,7.404
2022-05-29,7.404
2022-05-30,7.404
2022-05-31,7.356
2022-06-01,7.282
2022-06-02,7.473
2022-06-03,7.387
2022-06-04,7.387
2022-06-05,7.387
2022-06-06,7.519
2022-06-07,7.629
2022-06-08,7.397
2022-06-09,7.09
2022-06-10,6.926
2022-06-11,6.926
2022-06-12,6.926
2022-06-13,6.807
2022-06-14,6.934
2022-06-15,6.934
2022-06-16,6.66
2022-06-17,6.738
2022-06-18,6.738
2022-06-19,6.738
2022-06-20,6.738
2022-06-21,6.846
2022-06-22,6.897
2022-06-23,6.736
2022-06-24,7.121
2022-06-25,7.121
2022-06-26,7.121
2022-06-27,6.995
2022-06-28,7.026
2022-06-29,7.026
2022-06-30,6.99
2022-07-01,7.275
2022-07-02,7.275
2022-07-03,7.275
2022-07-04,7.275
2022-07-05,7.124
2022-07-06,7.143
2022-07-07,7.202
2022-07-08,7.204
2022-07-09,7.204
2022-07-10,7.204
2022-07-11,7.109
2022-07-12,7.141
2022-07-13,7.053
2022-07-14,7.045
2022-07-15,7.229
2022-07-16,7.229
2022-07-17,7.229
2022-07-18,7.179
2022-07-19,7.447
2022-07-20,7.506
2022-07-21,7.414
2022-07-22,7.263
2022-07-23,7.263
2022-07-24,7.263
2022-07-25,7.241
2022-07-26,7.226
2022-07-27,7.41
2022-07-28,7.402
2022-07-29,7.471
2022-07-30,7.471
2022-07-31,7.471
2022-08-01,7.504
2022-08-02,7.381
2022-08-03,7.272
2022-08-04,6.943
2022-08-05,7.089
2022-08-06,7.089
2022-08-07,7.089
2022-08-08,7.147
2022-08-09,7.199
2022-08-10,7.293
2022-08-11,7.441
2022-08-12,7.554
2022-08-13,7.554
2022-08-14,7.554
2022-08-15,7.592
2022-08-16,7.702
2022-08-17,7.627
2022-08-18,7.599
2022-08-19,7.545
2022-08-20,7.545
2022-08-21,7.545
2022-08-22,7.326
2022-08-23,7.27
2022-08-24,7.3
2022-08-25,7.42
2022-08-26,7.272
2022-08-27,7.272
2022-08-28,7.272
2022-08-29,7.063
2022-08-30,7.138
2022-08-31,7.042
2022-09-01,7.037
2022-09-02,6.915
2022-09-03,6.915
2022-09-04,6.915
2022-09-05,6.915
2022-09-06,6.755
2022-09-07,6.865
2022-09-08,7.126
2022-09-09,7.246
2022-09-10,7.246
2022-09-11,7.246
2022-09-12,7.232
2022-09-13,6.988
2022-09-14,7.004
2022-09-15,7.225
2022-09-16,7.079
2022-09-17,7.079
2022-09-18,7.079
2022-09-19,7.209
2022-09-20,7.227
2022-09-21,7.239
2022-09-22,7.072
2022-09-23,6.999
2022-09-24,6.999
2022-09-25,6.999
2022-09-26,6.957
2022-09-27,6.877
2022-09-28,6.898
2022-09-29,6.811
2022-09-30,7.388
2022-10-01,7.388
2022-10-02,7.388
2022-10-03,7.498
2022-10-04,7.797
2022-10-05,7.759
2022-10-06,7.752
2022-10-07,7.477
2022-10-08,7.477
2022-10-09,7.477
2022-10-10,7.516
2022-10-11,7.611
2022-10-12,7.445
2022-10-13,7.727
2022-10-14,7.655
2022-10-15,7.655
2022-10-16,7.655
2022-10-17,7.856
2022-10-18,7.871
2022-10-19,7.679
2022-10-20,7.685
2022-10-21,7.897
2022-10-22,7.897
2022-10-23,7.897
2022-10-24,7.885
2022-10-25,7.966
2022-10-26,8.126
2022-10-27,8.207
2022-10-28,8.425
2022-10-29,8.425
2022-10-30,8.425
2022-10-31,8.402
2022-11-01,8.487
2022-11-02,8.237
2022-11-03,8.296
2022-11-04,8.468
2022-11-05,8.468
2022-11-06,8.468
2022-11-07,8.416
2022-11-08,8.418
2022-11-09,8.354
2022-11-10,8.736
2022-11-11,8.667
2022-11-12,8.667
2022-11-13,8.667
2022-11-14,8.552
2022-11-15,8.522
2022-11-16,8.366
2022-11-17,8.321
2022-11-18,8.428
2022-11-19,8.428
2022-11-20,8.428
2022-11-21,8.421
2022-11-22,8.426
2022-11-23,8.386
2022-11-24,8.386
2022-11-25,8.443
2022-11-26,8.443
2022-11-27,8.443
2022-11-28,8.289
2022-11-29,8.311
2022-11-30,8.46
2022-12-01,8.383
2022-12-02,8.428
2022-12-03,8.428
2022-12-04,8.428
2022-12-05,7.874
2022-12-06,7.768
2022-12-07,7.741
2022-12-08,7.679
2022-12-09,7.622
2022-12-10,7.622
2022-12-11,7.622
2022-12-12,7.674
2022-12-13,7.551
2022-12-14,7.442
2022-12-15,7.387
2022-12-16,7.303
2022-12-17,7.303
2022-12-18,7.303
2022-12-19,7.38
2022-12-20,7.526
2022-12-21,7.64
2022-12-22,7.372
2022-12-23,7.301
2022-12-24,7.301
2022-12-25,7.301
2022-12-26,7.301
2022-12-27,7.291
2022-12-28,7.34
2022-12-29,7.434
2022-12-30,7.454
2022-12-31,7.454
2023-01-01,7.454
2023-01-02,7.454
2023-01-03,7.239
2023-01-04,7.285
2023-01-05,7.112
2023-01-06,7.341
2023-01-07,7.341
2023-01-08,7.341
2023-01-09,7.308
2023-01-10,7.283
2023-01-11,7.256
2023-01-12,7.338
2023-01-13,7.254
2023-01-14,7.254
2023-01-15,7.254
2023-01-16,7.254
2023-01-17,7.219
2023-01-18,7.032
2023-01-19,6.863
2023-01-20,7.084
2023-01-21,7.084
2023-01-22,7.084
2023-01-23,7.117
2023-01-24,7.261
2023-01-25,7.407
2023-01-26,7.353
2023-01-27,7.434
2023-01-28,7.434
2023-01-29,7.434
2023-01-30,7.481
2023-01-31,7.724
2023-02-01,7.996
2023-02-02,8.211
2023-02-03,8.221
2023-02-04,8.221
2023-02-05,8.221
2023-02-06,8.081
2023-02-07,8.025
2023-02-08,7.89
2023-02-09,7.821
2023-02-10,7.816
2023-02-11,7.816
2023-02-12,7.816
2023-02-13,7.843
2023-02-14,7.779
2023-02-15,7.863
2023-02-16,7.703
2023-02-17,7.75
2023-02-18,7.75
2023-02-19,7.75
2023-02-20,7.75
2023-02-21,7.549
2023-02-22,7.473
2023-02-23,7.485
2023-02-24,7.47
2023-02-25,7.47
2023-02-26,7.47
2023-02-27,7.394
2023-02-28,7.154
2023-03-01,6.976
2023-03-02,6.781
2023-03-03,6.695
2023-03-04,6.695
2023-03-05,6.695
2023-03-06,6.548
2023-03-07,6.351
2023-03-08,6.37
2023-03-09,5.75
2023-03-10,5.569
2023-03-11,5.569
2023-03-12,5.569
2023-03-13,4.782
2023-03-14,5.012
2023-03-15,4.94
2023-03-16,5.108
2023-03-17,4.866
2023-03-18,4.866
2023-03-19,4.866
2023-03-20,4.747
2023-03-21,5.076
2023-03-22,4.798
2023-03-23,4.523
2023-03-24,4.573
2023-03-25,4.573
2023-03-26,4.573
2023-03-27,4.637
2023-03-28,4.666
2023-03-29,4.679
2023-03-30,4.764
2023-03-31,4.864
2023-04-01,4.864
2023-04-02,4.864
2023-04-03,4.72
2023-04-04,4.664
2023-04-05,4.695
2023-04-06,4.971
2023-04-07,4.971
2023-04-08,4.971
2023-04-09,4.971
2023-04-10,5.054
2023-04-11,5.135
2023-04-12,5.081
2023-04-13,5.151
2023-04-14,4.987
2023-04-15,4.987
2023-04-16,4.987
2023-04-17,5.169
2023-04-18,4.973
2023-04-19,5.144
2023-04-20,5.074
2023-04-21,4.936
2023-04-22,4.936
2023-04-23,4.936
2023-04-24,4.968
2023-04-25,4.64
2023-04-26,4.615
2023-04-27,4.964
2023-04-28,5.0
2023-04-29,5.0
2023-04-30,5.0
2023-05-01,4.986
2023-05-02,4.614
2023-05-03,4.497
2023-05-04,4.53
2023-05-05,4.761
2023-05-06,4.761
2023-05-07,4.761
2023-05-08,4.605
2023-05-09,4.619
2023-05-10,4.518
2023-05-11,4.388
2023-05-12,4.385
2023-05-13,4.385
2023-05-14,4.385
2023-05-15,4.816
2023-05-16,4.699
2023-05-17,4.996
2023-05-18,5.018
2023-05-19,4.873
2023-05-20,4.873
2023-05-21,4.873
2023-05-22,5.069
2023-05-23,5.114
2023-05-24,5.012
2023-05-25,4.959
2023-05-26,5.007
2023-05-27,5.007
2023-05-28,5.007
2023-05-29,5.007
2023-05-30,5.007
2023-05-31,4.845
2023-06-01,4.949
2023-06-02,5.338
2023-06-03,5.338
2023-06-04,5.338
2023-06-05,5.207
2023-06-06,5.585
2023-06-07,5.72
2023-06-08,5.609
2023-06-09,5.532
2023-06-10,5.532
2023-06-11,5.532
2023-06-12,5.552
2023-06-13,5.609
2023-06-14,5.465
2023-06-15,5.577
2023-06-16,5.475
2023-06-17,5.475
2023-06-18,5.475
2023-06-19,5.475
2023-06-20,5.434
2023-06-21,5.302
2023-06-22,5.114
2023-06-23,4.995
2023-06-24,4.995
2023-06-25,4.995
2023-06-26,4.993
2023-06-27,4.997
2023-06-28,4.951
2023-06-29,4.977
2023-06-30,4.97
2023-07-01,4.97
2023-07-02,4.97
2023-07-03,5.117
2023-07-04,5.117
2023-07-05,5.024
2023-07-06,4.892
2023-07-07,5.083
2023-07-08,5.083
2023-07-09,5.083
2023-07-10,5.083
2023-07-11,5.193
2023-07-12,5.323
2023-07-13,5.548
2023-07-14,5.328
2023-07-15,5.328
2023-07-16,5.328
2023-07-17,5.442
2023-07-18,5.676
2023-07-19,6.622
2023-07-20,6.373
2023-07-21,6.152
2023-07-22,6.152
2023-07-23,6.152
2023-07-24,6.741
2023-07-25,6.625
2023-07-26,6.887
2023-07-27,6.637
2023-07-28,6.768
2023-07-29,6.768
2023-07-30,6.768
2023-07-31,6.801
2023-08-01,6.715
2023-08-02,6.646
2023-08-03,6.655
2023-08-04,6.783
2023-08-05,6.783
2023-08-06,6.783
2023-08-07,6.789
2023-08-08,6.743
2023-08-09,6.549
2023-08-10,6.549
2023-08-11,6.513
2023-08-12,6.513
2023-08-13,6.513
2023-08-14,6.331
2023-08-15,6.021
2023-08-16,5.939
2023-08-17,5.927
2023-08-18,5.955
2023-08-19,5.955
2023-08-20,5.955
2023-08-21,5.894
2023-08-22,5.727
2023-08-23,5.942
2023-08-24,6.1
2023-08-25,6.094
2023-08-26,6.094
2023-08-27,6.094
2023-08-28,6.31
2023-08-29,6.369
2023-08-30,6.347
2023-08-31,6.329
2023-09-01,6.536
2023-09-02,6.536
2023-09-03,6.536
2023-09-04,6.536
2023-09-05,6.409
2023-09-06,6.261
2023-09-07,6.112
2023-09-08,6.295
2023-09-09,6.295
2023-09-10,6.295
2023-09-11,6.264
2023-09-12,6.347
2023-09-13,6.27
2023-09-14,6.437
2023-09-15,6.455
2023-09-16,6.455
2023-09-17,6.455
2023-09-18,6.316
2023-09-19,6.255
