,AA US Equity
2020-11-12,7.997
2020-11-13,8.483
2020-11-14,8.483
2020-11-15,8.483
2020-11-16,9.041
2020-11-17,9.354
2020-11-18,9.384
2020-11-19,9.691
2020-11-20,9.635
2020-11-21,9.635
2020-11-22,9.635
2020-11-23,10.142
2020-11-24,10.659
2020-11-25,10.429
2020-11-26,10.429
2020-11-27,10.485
2020-11-28,10.485
2020-11-29,10.485
2020-11-30,9.408
2020-12-01,10.32
2020-12-02,7.568
2020-12-03,7.456
2020-12-04,8.028
2020-12-05,8.028
2020-12-06,8.028
2020-12-07,7.913
2020-12-08,7.879
2020-12-09,7.683
2020-12-10,8.122
2020-12-11,7.727
2020-12-12,7.727
2020-12-13,7.727
2020-12-14,7.361
2020-12-15,7.5
2020-12-16,7.3
2020-12-17,7.69
2020-12-18,7.631
2020-12-19,7.631
2020-12-20,7.631
2020-12-21,7.666
2020-12-22,7.492
2020-12-23,7.704
2020-12-24,7.614
2020-12-25,7.614
2020-12-26,7.614
2020-12-27,7.614
2020-12-28,7.711
2020-12-29,7.641
2020-12-30,7.957
2020-12-31,7.992
2021-01-01,7.992
2021-01-02,7.992
2021-01-03,7.992
2021-01-04,8.186
2021-01-05,8.334
2021-01-06,8.876
2021-01-07,8.883
2021-01-08,8.799
2021-01-09,8.799
2021-01-10,8.799
2021-01-11,8.647
2021-01-12,8.83
2021-01-13,8.384
2021-01-14,8.607
2021-01-15,7.986
2021-01-16,7.986
2021-01-17,7.986
2021-01-18,7.986
2021-01-19,7.921
2021-01-20,8.365
2021-01-21,8.148
2021-01-22,7.9
2021-01-23,7.9
2021-01-24,7.9
2021-01-25,7.876
2021-01-26,6.27
2021-01-27,6.304
2021-01-28,6.25
2021-01-29,6.081
2021-01-30,6.081
2021-01-31,6.081
2021-02-01,6.358
2021-02-02,6.456
2021-02-03,6.723
2021-02-04,6.878
2021-02-05,7.077
2021-02-06,7.077
2021-02-07,7.077
2021-02-08,7.364
2021-02-09,7.351
2021-02-10,7.283
2021-02-11,7.226
2021-02-12,7.317
2021-02-13,7.317
2021-02-14,7.317
2021-02-15,7.317
2021-02-16,7.577
2021-02-17,7.408
2021-02-18,7.135
2021-02-19,7.814
2021-02-20,7.814
2021-02-21,7.814
2021-02-22,7.922
2021-02-23,7.954
2021-02-24,8.689
2021-02-25,8.165
2021-02-26,7.843
2021-02-27,7.843
2021-02-28,7.843
2021-03-01,8.303
2021-03-02,8.785
2021-03-03,3.955
2021-03-04,3.667
2021-03-05,3.719
2021-03-06,3.719
2021-03-07,3.719
2021-03-08,3.652
2021-03-09,3.841
2021-03-10,4.102
2021-03-11,4.125
2021-03-12,4.042
2021-03-13,4.042
2021-03-14,4.042
2021-03-15,3.982
2021-03-16,3.787
2021-03-17,4.043
2021-03-18,3.964
2021-03-19,3.958
2021-03-20,3.958
2021-03-21,3.958
2021-03-22,3.868
2021-03-23,3.485
2021-03-24,3.656
2021-03-25,3.77
2021-03-26,4.167
2021-03-27,4.167
2021-03-28,4.167
2021-03-29,4.072
2021-03-30,4.191
2021-03-31,4.13
2021-04-01,4.097
2021-04-02,4.097
2021-04-03,4.097
2021-04-04,4.097
2021-04-05,4.01
2021-04-06,3.98
2021-04-07,4.006
2021-04-08,3.998
2021-04-09,3.988
2021-04-10,3.988
2021-04-11,3.988
2021-04-12,4.038
2021-04-13,3.971
2021-04-14,4.244
2021-04-15,4.174
2021-04-16,4.194
2021-04-17,4.194
2021-04-18,4.194
2021-04-19,4.176
2021-04-20,3.822
2021-04-21,3.971
2021-04-22,3.849
2021-04-23,4.023
2021-04-24,4.023
2021-04-25,4.023
2021-04-26,4.265
2021-04-27,4.259
2021-04-28,4.229
2021-04-29,4.308
2021-04-30,4.247
2021-05-01,4.247
2021-05-02,4.247
2021-05-03,4.359
2021-05-04,4.528
2021-05-05,4.705
2021-05-06,4.623
2021-05-07,4.775
2021-05-08,4.775
2021-05-09,4.775
2021-05-10,4.756
2021-05-11,4.789
2021-05-12,4.579
2021-05-13,4.535
2021-05-14,4.601
2021-05-15,4.601
2021-05-16,4.601
2021-05-17,4.715
2021-05-18,4.617
2021-05-19,4.192
2021-05-20,4.151
2021-05-21,4.189
2021-05-22,4.189
2021-05-23,4.189
2021-05-24,4.23
2021-05-25,4.074
2021-05-26,3.674
2021-05-27,3.921
2021-05-28,3.987
2021-05-29,3.987
2021-05-30,3.987
2021-05-31,3.987
2021-06-01,4.119
2021-06-02,4.021
2021-06-03,3.892
2021-06-04,3.904
2021-06-05,3.904
2021-06-06,3.904
2021-06-07,3.793
2021-06-08,3.882
2021-06-09,3.818
2021-06-10,3.761
2021-06-11,3.757
2021-06-12,3.757
2021-06-13,3.757
2021-06-14,3.714
2021-06-15,3.648
2021-06-16,3.554
2021-06-17,3.375
2021-06-18,3.224
2021-06-19,3.224
2021-06-20,3.224
2021-06-21,3.326
2021-06-22,3.408
2021-06-23,3.522
2021-06-24,3.654
2021-06-25,3.598
2021-06-26,3.598
2021-06-27,3.598
2021-06-28,3.628
2021-06-29,3.772
2021-06-30,3.991
2021-07-01,4.004
2021-07-02,4.108
2021-07-03,4.108
2021-07-04,4.108
2021-07-05,4.108
2021-07-06,3.951
2021-07-07,3.925
2021-07-08,3.831
2021-07-09,4.056
2021-07-10,4.056
2021-07-11,4.056
2021-07-12,4.04
2021-07-13,3.859
2021-07-14,3.323
2021-07-15,3.318
2021-07-16,3.165
2021-07-17,3.165
2021-07-18,3.165
2021-07-19,3.08
2021-07-20,3.404
2021-07-21,3.613
2021-07-22,3.626
2021-07-23,3.61
2021-07-24,3.61
2021-07-25,3.61
2021-07-26,3.795
2021-07-27,3.728
2021-07-28,3.724
2021-07-29,3.835
2021-07-30,3.911
2021-07-31,3.911
2021-08-01,3.911
2021-08-02,3.838
2021-08-03,3.933
2021-08-04,3.774
2021-08-05,3.774
2021-08-06,3.965
2021-08-07,3.965
2021-08-08,3.965
2021-08-09,3.948
2021-08-10,4.273
2021-08-11,4.35
2021-08-12,4.398
2021-08-13,4.407
2021-08-14,4.407
2021-08-15,4.407
2021-08-16,4.229
2021-08-17,4.053
2021-08-18,4.041
2021-08-19,3.596
2021-08-20,3.673
2021-08-21,3.673
2021-08-22,3.673
2021-08-23,4.004
2021-08-24,4.104
2021-08-25,4.097
2021-08-26,4.034
2021-08-27,4.298
2021-08-28,4.298
2021-08-29,4.298
2021-08-30,4.291
2021-08-31,4.322
2021-09-01,4.442
2021-09-02,4.438
2021-09-03,4.467
2021-09-04,4.467
2021-09-05,4.467
2021-09-06,4.467
2021-09-07,4.425
2021-09-08,4.327
2021-09-09,4.495
2021-09-10,4.683
2021-09-11,4.683
2021-09-12,4.683
2021-09-13,4.657
2021-09-14,4.542
2021-09-15,4.89
2021-09-16,4.666
2021-09-17,4.611
2021-09-18,4.611
2021-09-19,4.611
2021-09-20,4.576
2021-09-21,4.306
2021-09-22,4.543
2021-09-23,4.601
2021-09-24,4.595
2021-09-25,4.595
2021-09-26,4.595
2021-09-27,4.885
2021-09-28,4.83
2021-09-29,4.793
2021-09-30,4.637
2021-10-01,4.716
2021-10-02,4.716
2021-10-03,4.716
2021-10-04,4.66
2021-10-05,4.648
2021-10-06,4.458
2021-10-07,4.458
2021-10-08,4.361
2021-10-09,4.361
2021-10-10,4.361
2021-10-11,4.481
2021-10-12,4.527
2021-10-13,4.586
2021-10-14,4.538
2021-10-15,5.178
2021-10-16,5.178
2021-10-17,5.178
2021-10-18,5.293
2021-10-19,4.963
2021-10-20,4.855
2021-10-21,4.622
2021-10-22,4.554
2021-10-23,4.554
2021-10-24,4.554
2021-10-25,4.731
2021-10-26,4.581
2021-10-27,4.243
2021-10-28,4.304
2021-10-29,4.258
2021-10-30,4.258
2021-10-31,4.258
2021-11-01,4.33
2021-11-02,4.363
2021-11-03,4.395
2021-11-04,4.297
2021-11-05,4.435
2021-11-06,4.435
2021-11-07,4.435
2021-11-08,4.528
2021-11-09,4.382
2021-11-10,4.29
2021-11-11,4.759
2021-11-12,4.825
2021-11-13,4.825
2021-11-14,4.825
2021-11-15,4.705
2021-11-16,4.479
2021-11-17,8.364
2021-11-18,8.326
2021-11-19,8.308
2021-11-20,8.308
2021-11-21,8.308
2021-11-22,8.467
2021-11-23,8.556
2021-11-24,8.807
2021-11-25,8.807
2021-11-26,8.369
2021-11-27,8.369
2021-11-28,8.369
2021-11-29,8.577
2021-11-30,8.121
2021-12-01,7.641
2021-12-02,7.823
2021-12-03,7.692
2021-12-04,7.692
2021-12-05,7.692
2021-12-06,7.72
2021-12-07,7.954
2021-12-08,8.229
2021-12-09,8.469
2021-12-10,8.269
2021-12-11,8.269
2021-12-12,8.269
2021-12-13,7.681
2021-12-14,8.112
2021-12-15,8.194
2021-12-16,8.454
2021-12-17,8.638
2021-12-18,8.638
2021-12-19,8.638
2021-12-20,8.538
2021-12-21,9.13
2021-12-22,9.535
2021-12-23,9.543
2021-12-24,9.543
2021-12-25,9.543
2021-12-26,9.543
2021-12-27,9.618
2021-12-28,9.515
2021-12-29,9.586
2021-12-30,9.519
2021-12-31,9.578
2022-01-01,9.578
2022-01-02,9.578
2022-01-03,9.703
2022-01-04,9.249
2022-01-05,9.412
2022-01-06,9.396
2022-01-07,10.027
2022-01-08,10.027
2022-01-09,10.027
2022-01-10,9.893
2022-01-11,9.386
2022-01-12,9.338
2022-01-13,9.131
2022-01-14,9.264
2022-01-15,9.264
2022-01-16,9.264
2022-01-17,9.264
2022-01-18,9.062
2022-01-19,7.022
2022-01-20,9.551
2022-01-21,8.765
2022-01-22,8.765
2022-01-23,8.765
2022-01-24,9.024
2022-01-25,9.521
2022-01-26,9.449
2022-01-27,9.026
2022-01-28,8.928
2022-01-29,8.928
2022-01-30,8.928
2022-01-31,8.821
2022-02-01,9.048
2022-02-02,9.21
2022-02-03,9.759
2022-02-04,9.989
2022-02-05,9.989
2022-02-06,9.989
2022-02-07,9.916
2022-02-08,10.883
2022-02-09,11.185
2022-02-10,11.07
2022-02-11,11.435
2022-02-12,11.435
2022-02-13,11.435
2022-02-14,12.324
2022-02-15,8.686
2022-02-16,9.131
2022-02-17,8.971
2022-02-18,9.174
2022-02-19,9.174
2022-02-20,9.174
2022-02-21,9.174
2022-02-22,8.691
2022-02-23,8.836
2022-02-24,8.599
2022-02-25,9.133
2022-02-26,9.133
2022-02-27,9.133
2022-02-28,8.535
2022-03-01,9.038
2022-03-02,9.353
2022-03-03,9.39
2022-03-04,10.27
2022-03-05,10.27
2022-03-06,10.27
2022-03-07,9.685
2022-03-08,9.342
2022-03-09,9.018
2022-03-10,9.406
2022-03-11,8.964
2022-03-12,8.964
2022-03-13,8.964
2022-03-14,8.336
2022-03-15,8.359
2022-03-16,8.577
2022-03-17,9.156
2022-03-18,9.349
2022-03-19,9.349
2022-03-20,9.349
2022-03-21,10.285
2022-03-22,10.193
2022-03-23,10.685
2022-03-24,9.627
2022-03-25,9.313
2022-03-26,9.313
2022-03-27,9.313
2022-03-28,9.364
2022-03-29,9.122
2022-03-30,9.336
2022-03-31,9.759
2022-04-01,9.823
2022-04-02,9.823
2022-04-03,9.823
2022-04-04,9.853
2022-04-05,9.507
2022-04-06,9.51
2022-04-07,9.333
2022-04-08,9.269
2022-04-09,9.269
2022-04-10,9.269
2022-04-11,9.085
2022-04-12,9.165
2022-04-13,9.506
2022-04-14,9.544
2022-04-15,9.544
2022-04-16,9.544
2022-04-17,9.544
2022-04-18,9.623
2022-04-19,9.314
2022-04-20,9.217
2022-04-21,7.501
2022-04-22,6.999
2022-04-23,6.999
2022-04-24,6.999
2022-04-25,7.005
2022-04-26,6.964
2022-04-27,7.278
2022-04-28,7.333
2022-04-29,7.05
2022-04-30,7.05
2022-05-01,7.05
2022-05-02,6.879
2022-05-03,6.723
2022-05-04,7.066
2022-05-05,6.598
2022-05-06,6.347
2022-05-07,6.347
2022-05-08,6.347
2022-05-09,5.636
2022-05-10,5.806
2022-05-11,5.891
2022-05-12,5.675
2022-05-13,6.065
2022-05-14,6.065
2022-05-15,6.065
2022-05-16,6.278
2022-05-17,6.603
2022-05-18,6.303
2022-05-19,6.463
2022-05-20,6.309
2022-05-21,6.309
2022-05-22,6.309
2022-05-23,6.273
2022-05-24,6.093
2022-05-25,6.054
2022-05-26,6.244
2022-05-27,6.408
2022-05-28,6.408
2022-05-29,6.408
2022-05-30,6.408
2022-05-31,6.132
2022-06-01,6.2
2022-06-02,6.341
2022-06-03,6.143
2022-06-04,6.143
2022-06-05,6.143
2022-06-06,6.333
2022-06-07,6.495
2022-06-08,6.174
2022-06-09,5.508
2022-06-10,5.255
2022-06-11,5.255
2022-06-12,5.255
2022-06-13,4.941
2022-06-14,4.85
2022-06-15,5.067
2022-06-16,4.925
2022-06-17,4.886
2022-06-18,4.886
2022-06-19,4.886
2022-06-20,4.886
2022-06-21,4.965
2022-06-22,4.891
2022-06-23,4.663
2022-06-24,4.937
2022-06-25,4.937
2022-06-26,4.937
2022-06-27,4.958
2022-06-28,5.041
2022-06-29,4.874
2022-06-30,4.665
2022-07-01,4.688
2022-07-02,4.688
2022-07-03,4.688
2022-07-04,4.688
2022-07-05,4.406
2022-07-06,4.463
2022-07-07,4.779
2022-07-08,5.05
2022-07-09,5.05
2022-07-10,5.05
2022-07-11,4.814
2022-07-12,4.76
2022-07-13,4.865
2022-07-14,4.596
2022-07-15,4.862
2022-07-16,4.862
2022-07-17,4.862
2022-07-18,4.903
2022-07-19,4.949
2022-07-20,5.122
2022-07-21,5.322
2022-07-22,5.398
2022-07-23,5.398
2022-07-24,5.398
2022-07-25,5.545
2022-07-26,5.567
2022-07-27,5.657
2022-07-28,5.815
2022-07-29,6.029
2022-07-30,6.029
2022-07-31,6.029
2022-08-01,5.748
2022-08-02,5.755
2022-08-03,5.773
2022-08-04,5.697
2022-08-05,5.896
2022-08-06,5.896
2022-08-07,5.896
2022-08-08,5.804
2022-08-09,6.01
2022-08-10,6.317
2022-08-11,6.355
2022-08-12,6.294
2022-08-13,6.294
2022-08-14,6.294
2022-08-15,6.168
2022-08-16,6.337
2022-08-17,6.201
2022-08-18,6.423
2022-08-19,6.085
2022-08-20,6.085
2022-08-21,6.085
2022-08-22,5.997
2022-08-23,6.367
2022-08-24,6.527
2022-08-25,6.548
2022-08-26,6.424
2022-08-27,6.424
2022-08-28,6.424
2022-08-29,6.384
2022-08-30,5.843
2022-08-31,5.692
2022-09-01,5.531
2022-09-02,5.665
2022-09-03,5.665
2022-09-04,5.665
2022-09-05,5.665
2022-09-06,5.511
2022-09-07,5.483
2022-09-08,5.621
2022-09-09,6.053
2022-09-10,6.053
2022-09-11,6.053
2022-09-12,6.021
2022-09-13,5.785
2022-09-14,5.155
2022-09-15,5.151
2022-09-16,5.07
2022-09-17,5.07
2022-09-18,5.07
2022-09-19,5.329
2022-09-20,5.197
2022-09-21,4.817
2022-09-22,4.681
2022-09-23,4.43
2022-09-24,4.43
2022-09-25,4.43
2022-09-26,4.297
2022-09-27,4.252
2022-09-28,4.317
2022-09-29,4.342
2022-09-30,4.125
2022-10-01,4.125
2022-10-02,4.125
2022-10-03,4.582
2022-10-04,4.93
2022-10-05,4.911
2022-10-06,4.883
2022-10-07,5.008
2022-10-08,5.008
2022-10-09,5.008
2022-10-10,4.987
2022-10-11,4.859
2022-10-12,6.385
2022-10-13,6.549
2022-10-14,6.399
2022-10-15,6.399
2022-10-16,6.399
2022-10-17,6.571
2022-10-18,6.626
2022-10-19,6.233
2022-10-20,6.735
2022-10-21,7.107
2022-10-22,7.107
2022-10-23,7.107
2022-10-24,6.798
2022-10-25,7.201
2022-10-26,7.402
2022-10-27,7.187
2022-10-28,6.854
2022-10-29,6.854
2022-10-30,6.854
2022-10-31,6.791
2022-11-01,7.113
2022-11-02,6.572
2022-11-03,6.56
2022-11-04,7.378
2022-11-05,7.378
2022-11-06,7.378
2022-11-07,7.223
2022-11-08,7.522
2022-11-09,7.078
2022-11-10,7.626
2022-11-11,8.293
2022-11-12,8.293
2022-11-13,8.293
2022-11-14,8.39
2022-11-15,8.562
2022-11-16,8.468
2022-11-17,8.242
2022-11-18,8.232
2022-11-19,8.232
2022-11-20,8.232
2022-11-21,8.114
2022-11-22,8.589
2022-11-23,8.441
2022-11-24,8.441
2022-11-25,8.333
2022-11-26,8.333
2022-11-27,8.333
2022-11-28,8.079
2022-11-29,8.3
2022-11-30,8.538
2022-12-01,8.363
2022-12-02,8.583
2022-12-03,8.583
2022-12-04,8.583
2022-12-05,7.924
2022-12-06,8.228
2022-12-07,7.937
2022-12-08,8.105
2022-12-09,7.728
2022-12-10,7.728
2022-12-11,7.728
2022-12-12,7.853
2022-12-13,8.089
2022-12-14,7.972
2022-12-15,7.581
2022-12-16,7.485
2022-12-17,7.485
2022-12-18,7.485
2022-12-19,7.415
2022-12-20,7.391
2022-12-21,7.522
2022-12-22,7.351
2022-12-23,7.409
2022-12-24,7.409
2022-12-25,7.409
2022-12-26,7.409
2022-12-27,7.52
2022-12-28,7.342
2022-12-29,7.805
2022-12-30,7.941
2022-12-31,7.941
2023-01-01,7.941
2023-01-02,7.941
2023-01-03,7.786
2023-01-04,7.882
2023-01-05,7.945
2023-01-06,8.101
2023-01-07,8.101
2023-01-08,8.101
2023-01-09,8.784
2023-01-10,9.258
2023-01-11,8.935
2023-01-12,9.171
2023-01-13,9.392
2023-01-14,9.392
2023-01-15,9.392
2023-01-16,9.392
2023-01-17,9.612
2023-01-18,9.764
2023-01-19,7.751
2023-01-20,8.019
2023-01-21,8.019
2023-01-22,8.019
2023-01-23,8.137
2023-01-24,8.313
2023-01-25,7.322
2023-01-26,7.311
2023-01-27,7.401
2023-01-28,7.401
2023-01-29,7.401
2023-01-30,7.813
2023-01-31,8.108
2023-02-01,8.259
2023-02-02,8.12
2023-02-03,7.981
2023-02-04,7.981
2023-02-05,7.981
2023-02-06,7.872
2023-02-07,8.056
2023-02-08,7.66
2023-02-09,7.568
2023-02-10,7.179
2023-02-11,7.179
2023-02-12,7.179
2023-02-13,7.07
2023-02-14,7.215
2023-02-15,7.138
2023-02-16,7.191
2023-02-17,6.914
2023-02-18,6.914
2023-02-19,6.914
2023-02-20,6.914
2023-02-21,7.088
2023-02-22,7.222
2023-02-23,7.072
2023-02-24,6.849
2023-02-25,6.849
2023-02-26,6.849
2023-02-27,7.083
2023-02-28,7.216
2023-03-01,7.616
2023-03-02,7.916
2023-03-03,8.186
2023-03-04,8.186
2023-03-05,8.186
2023-03-06,7.931
2023-03-07,7.411
2023-03-08,7.733
2023-03-09,7.26
2023-03-10,6.807
2023-03-11,6.807
2023-03-12,6.807
2023-03-13,6.777
2023-03-14,6.759
2023-03-15,6.028
2023-03-16,6.177
2023-03-17,5.388
2023-03-18,5.388
2023-03-19,5.388
2023-03-20,5.548
2023-03-21,5.772
2023-03-22,5.518
2023-03-23,5.541
2023-03-24,5.52
2023-03-25,5.52
2023-03-26,5.52
2023-03-27,5.526
2023-03-28,5.664
2023-03-29,5.721
2023-03-30,6.138
2023-03-31,6.256
2023-04-01,6.256
2023-04-02,6.256
2023-04-03,6.145
2023-04-04,5.935
2023-04-05,5.801
2023-04-06,5.761
2023-04-07,5.761
2023-04-08,5.761
2023-04-09,5.761
2023-04-10,5.852
2023-04-11,5.977
2023-04-12,6.647
2023-04-13,6.865
2023-04-14,6.774
2023-04-15,6.774
2023-04-16,6.774
2023-04-17,6.841
2023-04-18,7.067
2023-04-19,7.287
2023-04-20,7.397
2023-04-21,7.42
2023-04-22,7.42
2023-04-23,7.42
2023-04-24,7.619
2023-04-25,7.16
2023-04-26,7.1
2023-04-27,7.265
2023-04-28,7.439
2023-04-29,7.439
2023-04-30,7.439
2023-05-01,7.471
2023-05-02,7.152
2023-05-03,7.02
2023-05-04,6.892
2023-05-05,7.246
2023-05-06,7.246
2023-05-07,7.246
2023-05-08,7.715
2023-05-09,7.421
2023-05-10,7.346
2023-05-11,7.384
2023-05-12,7.392
2023-05-13,7.392
2023-05-14,7.392
2023-05-15,7.752
2023-05-16,7.566
2023-05-17,7.7
2023-05-18,7.715
2023-05-19,7.566
2023-05-20,7.566
2023-05-21,7.566
2023-05-22,7.629
2023-05-23,7.476
2023-05-24,7.199
2023-05-25,7.082
2023-05-26,7.061
2023-05-27,7.061
2023-05-28,7.061
2023-05-29,7.061
2023-05-30,6.874
2023-05-31,6.648
2023-06-01,6.853
2023-06-02,7.457
2023-06-03,7.457
2023-06-04,7.457
2023-06-05,7.21
2023-06-06,7.374
2023-06-07,7.545
2023-06-08,7.597
2023-06-09,7.522
2023-06-10,7.522
2023-06-11,7.522
2023-06-12,7.471
2023-06-13,7.836
2023-06-14,7.77
2023-06-15,7.776
2023-06-16,7.7
2023-06-17,7.7
2023-06-18,7.7
2023-06-19,7.7
2023-06-20,7.398
2023-06-21,7.89
2023-06-22,7.551
2023-06-23,7.422
2023-06-24,7.422
2023-06-25,7.422
2023-06-26,7.456
2023-06-27,7.781
2023-06-28,7.922
2023-06-29,7.946
2023-06-30,7.986
2023-07-01,7.986
2023-07-02,7.986
2023-07-03,8.066
2023-07-04,8.066
2023-07-05,7.793
2023-07-06,8.294
2023-07-07,9.082
2023-07-08,9.082
2023-07-09,9.082
2023-07-10,9.426
2023-07-11,9.578
2023-07-12,9.677
2023-07-13,10.13
2023-07-14,9.531
2023-07-15,9.531
2023-07-16,9.531
2023-07-17,10.407
2023-07-18,10.252
2023-07-19,10.644
2023-07-20,10.962
2023-07-21,10.513
2023-07-22,10.513
2023-07-23,10.513
2023-07-24,11.375
2023-07-25,12.002
2023-07-26,11.743
2023-07-27,11.429
2023-07-28,11.716
2023-07-29,11.716
2023-07-30,11.716
2023-07-31,12.198
2023-08-01,11.857
2023-08-02,11.856
2023-08-03,12.055
2023-08-04,11.863
2023-08-05,11.863
2023-08-06,11.863
2023-08-07,11.937
2023-08-08,11.646
2023-08-09,11.782
2023-08-10,11.523
2023-08-11,11.201
2023-08-12,11.201
2023-08-13,11.201
2023-08-14,11.12
2023-08-15,10.633
2023-08-16,10.272
2023-08-17,10.202
2023-08-18,10.153
2023-08-19,10.153
2023-08-20,10.153
2023-08-21,10.02
2023-08-22,10.086
2023-08-23,10.097
2023-08-24,12.375
2023-08-25,12.151
2023-08-26,12.151
2023-08-27,12.151
2023-08-28,12.259
2023-08-29,12.745
2023-08-30,12.702
2023-08-31,12.947
2023-09-01,13.386
