,SYNA US Equity
2020-10-31,9.779
2020-11-01,9.779
2020-11-02,9.607
2020-11-03,9.805
2020-11-04,9.978
2020-11-05,10.523
2020-11-06,8.638
2020-11-07,8.638
2020-11-08,8.638
2020-11-09,8.319
2020-11-10,8.219
2020-11-11,8.333
2020-11-12,8.086
2020-11-13,8.254
2020-11-14,8.254
2020-11-15,8.254
2020-11-16,8.281
2020-11-17,8.021
2020-11-18,8.006
2020-11-19,8.315
2020-11-20,8.376
2020-11-21,8.376
2020-11-22,8.376
2020-11-23,8.482
2020-11-24,8.593
2020-11-25,8.321
2020-11-26,8.321
2020-11-27,8.411
2020-11-28,8.411
2020-11-29,8.411
2020-11-30,8.109
2020-12-01,8.209
2020-12-02,8.133
2020-12-03,8.165
2020-12-04,8.534
2020-12-05,8.534
2020-12-06,8.534
2020-12-07,8.545
2020-12-08,8.486
2020-12-09,8.187
2020-12-10,8.529
2020-12-11,8.215
2020-12-12,8.215
2020-12-13,8.215
2020-12-14,8.515
2020-12-15,8.758
2020-12-16,8.692
2020-12-17,8.559
2020-12-18,8.487
2020-12-19,8.487
2020-12-20,8.487
2020-12-21,8.488
2020-12-22,8.606
2020-12-23,8.954
2020-12-24,8.983
2020-12-25,8.983
2020-12-26,8.983
2020-12-27,8.983
2020-12-28,9.607
2020-12-29,9.452
2020-12-30,9.882
2020-12-31,10.052
2021-01-01,10.052
2021-01-02,10.052
2021-01-03,10.052
2021-01-04,10.156
2021-01-05,10.271
2021-01-06,10.56
2021-01-07,10.703
2021-01-08,10.871
2021-01-09,10.871
2021-01-10,10.871
2021-01-11,10.983
2021-01-12,11.122
2021-01-13,10.657
2021-01-14,10.626
2021-01-15,10.528
2021-01-16,10.528
2021-01-17,10.528
2021-01-18,10.528
2021-01-19,10.794
2021-01-20,10.829
2021-01-21,11.063
2021-01-22,11.043
2021-01-23,11.043
2021-01-24,11.043
2021-01-25,10.991
2021-01-26,10.935
2021-01-27,10.69
2021-01-28,10.548
2021-01-29,10.346
2021-01-30,10.346
2021-01-31,10.346
2021-02-01,10.86
2021-02-02,11.127
2021-02-03,10.961
2021-02-04,11.144
2021-02-05,13.372
2021-02-06,13.372
2021-02-07,13.372
2021-02-08,13.909
2021-02-09,13.798
2021-02-10,13.819
2021-02-11,14.148
2021-02-12,14.618
2021-02-13,14.618
2021-02-14,14.618
2021-02-15,14.618
2021-02-16,15.108
2021-02-17,14.989
2021-02-18,14.813
2021-02-19,15.175
2021-02-20,15.175
2021-02-21,15.175
2021-02-22,14.827
2021-02-23,14.62
2021-02-24,15.42
2021-02-25,14.64
2021-02-26,15.06
2021-02-27,15.06
2021-02-28,15.06
2021-03-01,15.471
2021-03-02,15.315
2021-03-03,14.993
2021-03-04,14.473
2021-03-05,14.851
2021-03-06,14.851
2021-03-07,14.851
2021-03-08,14.288
2021-03-09,15.12
2021-03-10,14.773
2021-03-11,15.391
2021-03-12,15.365
2021-03-13,15.365
2021-03-14,15.365
2021-03-15,15.417
2021-03-16,15.771
2021-03-17,16.049
2021-03-18,15.512
2021-03-19,15.702
2021-03-20,15.702
2021-03-21,15.702
2021-03-22,16.09
2021-03-23,15.236
2021-03-24,14.67
2021-03-25,14.393
2021-03-26,15.383
2021-03-27,15.383
2021-03-28,15.383
2021-03-29,13.47
2021-03-30,13.455
2021-03-31,13.911
2021-04-01,14.19
2021-04-02,14.19
2021-04-03,14.19
2021-04-04,14.19
2021-04-05,14.501
2021-04-06,14.297
2021-04-07,14.038
2021-04-08,14.241
2021-04-09,13.944
2021-04-10,13.944
2021-04-11,13.944
2021-04-12,13.585
2021-04-13,13.446
2021-04-14,13.55
2021-04-15,13.633
2021-04-16,13.785
2021-04-17,13.785
2021-04-18,13.785
2021-04-19,13.553
2021-04-20,13.057
2021-04-21,13.613
2021-04-22,13.469
2021-04-23,13.975
2021-04-24,13.975
2021-04-25,13.975
2021-04-26,14.332
2021-04-27,14.86
2021-04-28,14.783
2021-04-29,14.802
2021-04-30,14.368
2021-05-01,14.368
2021-05-02,14.368
2021-05-03,14.197
2021-05-04,13.898
2021-05-05,13.801
2021-05-06,13.693
2021-05-07,12.448
2021-05-08,12.448
2021-05-09,12.448
2021-05-10,11.695
2021-05-11,11.806
2021-05-12,11.14
2021-05-13,11.357
2021-05-14,11.772
2021-05-15,11.772
2021-05-16,11.772
2021-05-17,11.655
2021-05-18,11.487
2021-05-19,11.517
2021-05-20,11.784
2021-05-21,11.475
2021-05-22,11.475
2021-05-23,11.475
2021-05-24,11.983
2021-05-25,11.931
2021-05-26,11.94
2021-05-27,12.044
2021-05-28,12.02
2021-05-29,12.02
2021-05-30,12.02
2021-05-31,12.02
2021-06-01,12.029
2021-06-02,12.296
2021-06-03,12.299
2021-06-04,13.031
2021-06-05,13.031
2021-06-06,13.031
2021-06-07,12.984
2021-06-08,13.087
2021-06-09,13.013
2021-06-10,13.067
2021-06-11,13.437
2021-06-12,13.437
2021-06-13,13.437
2021-06-14,13.842
2021-06-15,13.756
2021-06-16,13.785
2021-06-17,13.996
2021-06-18,13.869
2021-06-19,13.869
2021-06-20,13.869
2021-06-21,13.885
2021-06-22,14.117
2021-06-23,13.981
2021-06-24,14.205
2021-06-25,14.042
2021-06-26,14.042
2021-06-27,14.042
2021-06-28,14.366
2021-06-29,14.62
2021-06-30,14.803
2021-07-01,14.618
2021-07-02,14.901
2021-07-03,14.901
2021-07-04,14.901
2021-07-05,14.901
2021-07-06,14.963
2021-07-07,14.573
2021-07-08,14.377
2021-07-09,14.74
2021-07-10,14.74
2021-07-11,14.74
2021-07-12,15.01
2021-07-13,14.86
2021-07-14,14.524
2021-07-15,14.299
2021-07-16,13.792
2021-07-17,13.792
2021-07-18,13.792
2021-07-19,13.905
2021-07-20,13.978
2021-07-21,14.441
2021-07-22,14.171
2021-07-23,14.28
2021-07-24,14.28
2021-07-25,14.28
2021-07-26,14.318
2021-07-27,13.73
2021-07-28,14.075
2021-07-29,14.2
2021-07-30,14.455
2021-07-31,14.455
2021-08-01,14.455
2021-08-02,14.273
2021-08-03,14.154
2021-08-04,13.861
2021-08-05,13.975
2021-08-06,16.277
2021-08-07,16.277
2021-08-08,16.277
2021-08-09,14.847
2021-08-10,15.016
2021-08-11,15.025
2021-08-12,14.848
2021-08-13,15.162
2021-08-14,15.162
2021-08-15,15.162
2021-08-16,14.925
2021-08-17,14.708
2021-08-18,14.5
2021-08-19,14.56
2021-08-20,14.87
2021-08-21,14.87
2021-08-22,14.87
2021-08-23,15.183
2021-08-24,15.336
2021-08-25,15.546
2021-08-26,15.491
2021-08-27,15.916
2021-08-28,15.916
2021-08-29,15.916
2021-08-30,16.504
2021-08-31,16.64
2021-09-01,16.524
2021-09-02,16.716
2021-09-03,16.656
2021-09-04,16.656
2021-09-05,16.656
2021-09-06,16.656
2021-09-07,16.356
2021-09-08,16.123
2021-09-09,16.121
2021-09-10,15.958
2021-09-11,15.958
2021-09-12,15.958
2021-09-13,15.997
2021-09-14,16.116
2021-09-15,16.217
2021-09-16,16.345
2021-09-17,15.895
2021-09-18,15.895
2021-09-19,15.895
2021-09-20,15.646
2021-09-21,15.812
2021-09-22,16.319
2021-09-23,16.416
2021-09-24,16.452
2021-09-25,16.452
2021-09-26,16.452
2021-09-27,16.253
2021-09-28,15.71
2021-09-29,15.877
2021-09-30,15.759
2021-10-01,16.002
2021-10-02,16.002
2021-10-03,16.002
2021-10-04,15.382
2021-10-05,15.563
2021-10-06,15.623
2021-10-07,15.928
2021-10-08,15.498
2021-10-09,15.498
2021-10-10,15.498
2021-10-11,15.304
2021-10-12,15.185
2021-10-13,14.993
2021-10-14,15.36
2021-10-15,15.216
2021-10-16,15.216
2021-10-17,15.216
2021-10-18,15.353
2021-10-19,15.449
2021-10-20,15.414
2021-10-21,15.69
2021-10-22,15.584
2021-10-23,15.584
2021-10-24,15.584
2021-10-25,15.73
2021-10-26,15.674
2021-10-27,15.908
2021-10-28,16.714
2021-10-29,17.06
2021-10-30,17.06
2021-10-31,17.06
2021-11-01,18.33
2021-11-02,18.893
2021-11-03,18.934
2021-11-04,18.474
2021-11-05,20.613
2021-11-06,20.613
2021-11-07,20.613
2021-11-08,20.246
2021-11-09,20.477
2021-11-10,19.919
2021-11-11,20.073
2021-11-12,20.19
2021-11-13,20.19
2021-11-14,20.19
2021-11-15,21.275
2021-11-16,21.554
2021-11-17,21.972
2021-11-18,22.466
2021-11-19,22.839
2021-11-20,22.839
2021-11-21,22.839
2021-11-22,22.505
2021-11-23,22.375
2021-11-24,22.8
2021-11-25,22.8
2021-11-26,22.276
2021-11-27,22.276
2021-11-28,22.276
2021-11-29,23.298
2021-11-30,23.134
2021-12-01,23.52
2021-12-02,23.434
2021-12-03,22.956
2021-12-04,22.956
2021-12-05,22.956
2021-12-06,22.907
2021-12-07,23.77
2021-12-08,23.591
2021-12-09,22.803
2021-12-10,22.862
2021-12-11,22.862
2021-12-12,22.862
2021-12-13,21.605
2021-12-14,21.651
2021-12-15,22.5
2021-12-16,21.065
2021-12-17,21.006
2021-12-18,21.006
2021-12-19,21.006
2021-12-20,20.998
2021-12-21,21.582
2021-12-22,22.104
2021-12-23,22.293
2021-12-24,22.293
2021-12-25,22.293
2021-12-26,22.293
2021-12-27,23.429
2021-12-28,23.091
2021-12-29,23.433
2021-12-30,21.648
2021-12-31,21.784
2022-01-01,21.784
2022-01-02,21.784
2022-01-03,21.713
2022-01-04,20.865
2022-01-05,19.199
2022-01-06,19.451
2022-01-07,18.968
2022-01-08,18.968
2022-01-09,18.968
2022-01-10,18.463
2022-01-11,18.799
2022-01-12,18.886
2022-01-13,18.309
2022-01-14,18.478
2022-01-15,18.478
2022-01-16,18.478
2022-01-17,18.478
2022-01-18,17.603
2022-01-19,16.662
2022-01-20,15.584
2022-01-21,14.868
2022-01-22,14.868
2022-01-23,14.868
2022-01-24,15.208
2022-01-25,14.217
2022-01-26,14.408
2022-01-27,13.624
2022-01-28,14.404
2022-01-29,14.404
2022-01-30,14.404
2022-01-31,18.487
2022-02-01,18.841
2022-02-02,19.431
2022-02-03,17.548
2022-02-04,17.532
2022-02-05,17.532
2022-02-06,17.532
2022-02-07,17.733
2022-02-08,18.087
2022-02-09,18.926
2022-02-10,18.257
2022-02-11,17.699
2022-02-12,17.699
2022-02-13,17.699
2022-02-14,18.126
2022-02-15,19.39
2022-02-16,19.78
2022-02-17,18.727
2022-02-18,18.235
2022-02-19,18.235
2022-02-20,18.235
2022-02-21,18.235
2022-02-22,17.893
2022-02-23,17.221
2022-02-24,18.44
2022-02-25,18.994
2022-02-26,18.994
2022-02-27,18.994
2022-02-28,19.061
2022-03-01,18.43
2022-03-02,19.112
2022-03-03,18.519
2022-03-04,18.183
2022-03-05,18.183
2022-03-06,18.183
2022-03-07,17.146
2022-03-08,18.058
2022-03-09,18.329
2022-03-10,17.548
2022-03-11,17.155
2022-03-12,17.155
2022-03-13,17.155
2022-03-14,16.518
2022-03-15,17.842
2022-03-16,19.129
2022-03-17,18.916
2022-03-18,19.552
2022-03-19,19.552
2022-03-20,19.552
2022-03-21,18.178
2022-03-22,18.308
2022-03-23,17.631
2022-03-24,18.225
2022-03-25,18.151
2022-03-26,18.151
2022-03-27,18.151
2022-03-28,18.582
2022-03-29,19.065
2022-03-30,17.588
2022-03-31,16.647
2022-04-01,16.284
2022-04-02,16.284
2022-04-03,16.284
2022-04-04,16.205
2022-04-05,15.102
2022-04-06,14.22
2022-04-07,11.745
2022-04-08,11.557
2022-04-09,11.557
2022-04-10,11.557
2022-04-11,11.232
2022-04-12,10.925
2022-04-13,11.131
2022-04-14,10.651
2022-04-15,10.651
2022-04-16,10.651
2022-04-17,10.651
2022-04-18,11.129
2022-04-19,11.373
2022-04-20,11.199
2022-04-21,10.693
2022-04-22,10.438
2022-04-23,10.438
2022-04-24,10.438
2022-04-25,10.505
2022-04-26,10.204
2022-04-27,10.148
2022-04-28,10.822
2022-04-29,10.344
2022-04-30,10.344
2022-05-01,10.344
2022-05-02,10.894
2022-05-03,11.044
2022-05-04,11.953
2022-05-05,11.413
2022-05-06,11.166
2022-05-07,11.166
2022-05-08,11.166
2022-05-09,10.536
2022-05-10,10.648
2022-05-11,9.765
2022-05-12,9.627
2022-05-13,10.135
2022-05-14,10.135
2022-05-15,10.135
2022-05-16,9.896
2022-05-17,10.436
2022-05-18,9.622
2022-05-19,9.742
2022-05-20,9.675
2022-05-21,9.675
2022-05-22,9.675
2022-05-23,9.587
2022-05-24,9.223
2022-05-25,9.504
2022-05-26,9.973
2022-05-27,10.354
2022-05-28,10.354
2022-05-29,10.354
2022-05-30,10.354
2022-05-31,10.339
2022-06-01,10.134
2022-06-02,10.758
2022-06-03,10.214
2022-06-04,10.214
2022-06-05,10.214
2022-06-06,10.239
2022-06-07,10.464
2022-06-08,10.137
2022-06-09,9.772
2022-06-10,9.381
2022-06-11,9.381
2022-06-12,9.381
2022-06-13,8.744
2022-06-14,8.845
2022-06-15,8.98
2022-06-16,8.171
2022-06-17,8.099
2022-06-18,8.099
2022-06-19,8.099
2022-06-20,8.099
2022-06-21,8.462
2022-06-22,8.428
2022-06-23,8.609
2022-06-24,9.448
2022-06-25,9.448
2022-06-26,9.448
2022-06-27,9.407
2022-06-28,9.063
2022-06-29,8.907
2022-06-30,8.661
2022-07-01,8.368
2022-07-02,8.368
2022-07-03,8.368
2022-07-04,8.368
2022-07-05,8.441
2022-07-06,8.486
2022-07-07,8.864
2022-07-08,8.792
2022-07-09,8.792
2022-07-10,8.792
2022-07-11,8.479
2022-07-12,8.685
2022-07-13,8.701
2022-07-14,8.804
2022-07-15,9.136
2022-07-16,9.136
2022-07-17,9.136
2022-07-18,9.065
2022-07-19,9.624
2022-07-20,10.052
2022-07-21,10.449
2022-07-22,10.022
2022-07-23,10.022
2022-07-24,10.022
2022-07-25,10.119
2022-07-26,9.934
2022-07-27,10.654
2022-07-28,10.737
2022-07-29,10.892
2022-07-30,10.892
2022-07-31,10.892
2022-08-01,10.809
2022-08-02,10.698
2022-08-03,11.207
2022-08-04,11.047
2022-08-05,11.06
2022-08-06,11.06
2022-08-07,11.06
2022-08-08,11.012
2022-08-09,9.772
2022-08-10,10.612
2022-08-11,10.627
2022-08-12,11.136
2022-08-13,11.136
2022-08-14,11.136
2022-08-15,11.142
2022-08-16,10.944
2022-08-17,10.481
2022-08-18,10.833
2022-08-19,10.277
2022-08-20,10.277
2022-08-21,10.277
2022-08-22,9.744
2022-08-23,9.751
2022-08-24,9.753
2022-08-25,10.163
2022-08-26,9.388
2022-08-27,9.388
2022-08-28,9.388
2022-08-29,9.215
2022-08-30,9.004
2022-08-31,8.773
2022-09-01,8.573
2022-09-02,8.566
2022-09-03,8.566
2022-09-04,8.566
2022-09-05,8.566
2022-09-06,8.387
2022-09-07,8.714
2022-09-08,9.031
2022-09-09,9.275
2022-09-10,9.275
2022-09-11,9.275
2022-09-12,9.021
2022-09-13,8.352
2022-09-14,8.259
2022-09-15,8.202
2022-09-16,8.19
2022-09-17,8.19
2022-09-18,8.19
2022-09-19,8.13
2022-09-20,7.915
2022-09-21,7.847
2022-09-22,7.664
2022-09-23,7.66
2022-09-24,7.66
2022-09-25,7.66
2022-09-26,7.494
2022-09-27,7.681
2022-09-28,7.859
2022-09-29,7.632
2022-09-30,7.513
2022-10-01,7.513
2022-10-02,7.513
2022-10-03,7.747
2022-10-04,8.152
2022-10-05,8.132
2022-10-06,8.076
2022-10-07,7.214
2022-10-08,7.214
2022-10-09,7.214
2022-10-10,7.006
2022-10-11,6.712
2022-10-12,6.636
2022-10-13,6.915
2022-10-14,6.371
2022-10-15,6.371
2022-10-16,6.371
2022-10-17,6.563
2022-10-18,6.466
2022-10-19,6.624
2022-10-20,6.525
2022-10-21,6.682
2022-10-22,6.682
2022-10-23,6.682
2022-10-24,6.677
2022-10-25,7.127
2022-10-26,7.054
2022-10-27,6.816
2022-10-28,7.133
2022-10-29,7.133
2022-10-30,7.133
2022-10-31,6.908
2022-11-01,7.021
2022-11-02,6.718
2022-11-03,7.594
2022-11-04,8.531
2022-11-05,8.531
2022-11-06,8.531
2022-11-07,8.893
2022-11-08,9.262
2022-11-09,8.535
2022-11-10,9.923
2022-11-11,10.188
2022-11-12,10.188
2022-11-13,10.188
2022-11-14,9.789
2022-11-15,10.18
2022-11-16,9.576
2022-11-17,9.699
2022-11-18,9.822
2022-11-19,9.822
2022-11-20,9.822
2022-11-21,9.604
2022-11-22,9.865
2022-11-23,9.988
2022-11-24,9.988
2022-11-25,9.933
2022-11-26,9.933
2022-11-27,9.933
2022-11-28,9.548
2022-11-29,9.646
2022-11-30,10.251
2022-12-01,10.18
2022-12-02,9.942
2022-12-03,9.942
2022-12-04,9.942
2022-12-05,9.671
2022-12-06,9.494
2022-12-07,9.618
2022-12-08,9.96
2022-12-09,9.749
2022-12-10,9.749
2022-12-11,9.749
2022-12-12,9.761
2022-12-13,10.028
2022-12-14,9.998
2022-12-15,9.343
2022-12-16,9.532
2022-12-17,9.532
2022-12-18,9.532
2022-12-19,9.278
2022-12-20,9.281
2022-12-21,9.476
2022-12-22,9.026
2022-12-23,9.107
2022-12-24,9.107
2022-12-25,9.107
2022-12-26,9.107
2022-12-27,8.92
2022-12-28,8.711
2022-12-29,9.196
2022-12-30,9.205
2022-12-31,9.205
2023-01-01,9.205
2023-01-02,9.205
2023-01-03,8.955
2023-01-04,9.497
2023-01-05,9.176
2023-01-06,9.674
2023-01-07,9.674
2023-01-08,9.674
2023-01-09,9.895
2023-01-10,10.333
2023-01-11,10.659
2023-01-12,10.844
2023-01-13,11.074
2023-01-14,11.074
2023-01-15,11.074
2023-01-16,11.074
2023-01-17,11.07
2023-01-18,11.05
2023-01-19,10.715
2023-01-20,11.265
2023-01-21,11.265
2023-01-22,11.265
2023-01-23,12.128
2023-01-24,11.994
2023-01-25,12.114
2023-01-26,12.377
2023-01-27,12.252
2023-01-28,12.252
2023-01-29,12.252
2023-01-30,11.861
2023-01-31,12.21
2023-02-01,12.971
2023-02-02,14.362
2023-02-03,13.244
2023-02-04,13.244
2023-02-05,13.244
2023-02-06,12.997
2023-02-07,13.795
2023-02-08,13.262
2023-02-09,13.194
2023-02-10,13.104
2023-02-11,13.104
2023-02-12,13.104
2023-02-13,13.293
2023-02-14,13.529
2023-02-15,13.691
2023-02-16,13.149
2023-02-17,12.933
2023-02-18,12.933
2023-02-19,12.933
2023-02-20,12.933
2023-02-21,12.319
2023-02-22,12.554
2023-02-23,13.226
2023-02-24,12.591
2023-02-25,12.591
2023-02-26,12.591
2023-02-27,12.593
2023-02-28,12.464
2023-03-01,12.518
2023-03-02,12.481
2023-03-03,12.646
2023-03-04,12.646
2023-03-05,12.646
2023-03-06,12.12
2023-03-07,11.784
2023-03-08,12.031
2023-03-09,11.714
2023-03-10,11.394
2023-03-11,11.394
2023-03-12,11.394
2023-03-13,11.23
2023-03-14,11.37
2023-03-15,11.063
2023-03-16,11.439
2023-03-17,11.218
2023-03-18,11.218
2023-03-19,11.218
2023-03-20,11.436
2023-03-21,11.662
2023-03-22,11.242
2023-03-23,11.575
2023-03-24,11.514
2023-03-25,11.514
2023-03-26,11.514
2023-03-27,11.38
2023-03-28,11.231
2023-03-29,11.69
2023-03-30,11.675
2023-03-31,11.779
2023-04-01,11.779
2023-04-02,11.779
2023-04-03,11.435
2023-04-04,10.914
2023-04-05,10.671
2023-04-06,10.617
2023-04-07,10.617
2023-04-08,10.617
2023-04-09,10.617
2023-04-10,10.806
2023-04-11,10.502
2023-04-12,10.212
2023-04-13,10.323
2023-04-14,10.299
2023-04-15,10.299
2023-04-16,10.299
2023-04-17,10.537
2023-04-18,10.611
2023-04-19,10.483
2023-04-20,10.465
2023-04-21,10.171
2023-04-22,10.171
2023-04-23,10.171
2023-04-24,10.036
2023-04-25,9.653
2023-04-26,9.647
2023-04-27,9.493
2023-04-28,9.469
2023-04-29,9.469
2023-04-30,9.469
2023-05-01,9.654
2023-05-02,9.539
2023-05-03,13.528
2023-05-04,16.709
2023-05-05,17.135
2023-05-06,17.135
2023-05-07,17.135
2023-05-08,17.264
2023-05-09,17.023
2023-05-10,17.203
2023-05-11,16.733
2023-05-12,16.524
2023-05-13,16.524
2023-05-14,16.524
2023-05-15,17.176
2023-05-16,17.338
2023-05-17,18.203
2023-05-18,18.771
2023-05-19,18.432
2023-05-20,18.432
2023-05-21,18.432
2023-05-22,18.67
2023-05-23,18.353
2023-05-24,17.738
2023-05-25,18.176
2023-05-26,19.252
2023-05-27,19.252
2023-05-28,19.252
2023-05-29,19.252
2023-05-30,19.8
2023-05-31,19.33
2023-06-01,18.838
2023-06-02,18.591
2023-06-03,18.591
2023-06-04,18.591
2023-06-05,18.26
2023-06-06,18.684
2023-06-07,19.011
2023-06-08,18.801
2023-06-09,18.783
2023-06-10,18.783
2023-06-11,18.783
2023-06-12,19.534
2023-06-13,19.97
2023-06-14,20.028
2023-06-15,19.627
2023-06-16,19.486
2023-06-17,19.486
2023-06-18,19.486
2023-06-19,19.486
2023-06-20,19.299
2023-06-21,18.923
2023-06-22,19.073
2023-06-23,18.709
2023-06-24,18.709
2023-06-25,18.709
2023-06-26,18.93
2023-06-27,19.723
2023-06-28,19.396
2023-06-29,19.64
2023-06-30,19.682
2023-07-01,19.682
2023-07-02,19.682
2023-07-03,20.025
2023-07-04,20.025
2023-07-05,19.419
2023-07-06,19.198
2023-07-07,19.804
2023-07-08,19.804
2023-07-09,19.804
2023-07-10,20.341
2023-07-11,20.546
2023-07-12,20.947
2023-07-13,21.754
2023-07-14,20.655
2023-07-15,20.655
2023-07-16,20.655
2023-07-17,20.404
2023-07-18,20.402
2023-07-19,20.542
2023-07-20,19.663
2023-07-21,19.867
2023-07-22,19.867
2023-07-23,19.867
2023-07-24,20.194
2023-07-25,21.269
2023-07-26,19.635
2023-07-27,19.404
2023-07-28,19.4
2023-07-29,19.4
2023-07-30,19.4
2023-07-31,19.853
2023-08-01,20.4
2023-08-02,19.384
2023-08-03,26.673
2023-08-04,28.966
2023-08-05,28.966
2023-08-06,28.966
2023-08-07,29.946
2023-08-08,29.939
2023-08-09,29.527
2023-08-10,29.049
2023-08-11,28.48
2023-08-12,28.48
2023-08-13,28.48
2023-08-14,29.598
2023-08-15,28.55
2023-08-16,28.014
2023-08-17,28.324
2023-08-18,28.702
2023-08-19,28.702
2023-08-20,28.702
2023-08-21,28.699
