,PHM US Equity
2020-11-29,4.827
2020-11-30,4.827
2020-12-01,4.827
2020-12-02,4.827
2020-12-03,4.827
2020-12-04,4.827
2020-12-05,4.827
2020-12-06,4.827
2020-12-07,4.827
2020-12-08,4.827
2020-12-09,4.827
2020-12-10,4.827
2020-12-11,4.827
2020-12-12,4.827
2020-12-13,4.827
2020-12-14,4.827
2020-12-15,4.827
2020-12-16,4.827
2020-12-17,4.827
2020-12-18,4.827
2020-12-19,4.827
2020-12-20,4.827
2020-12-21,4.827
2020-12-22,4.827
2020-12-23,4.827
2020-12-24,4.827
2020-12-25,4.827
2020-12-26,4.827
2020-12-27,4.827
2020-12-28,4.827
2020-12-29,4.827
2020-12-30,4.827
2020-12-31,4.827
2021-01-01,4.827
2021-01-02,4.827
2021-01-03,4.827
2021-01-04,4.827
2021-01-05,4.827
2021-01-06,4.827
2021-01-07,4.827
2021-01-08,4.827
2021-01-09,4.827
2021-01-10,4.827
2021-01-11,4.827
2021-01-12,4.827
2021-01-13,4.827
2021-01-14,4.827
2021-01-15,4.827
2021-01-16,4.827
2021-01-17,4.827
2021-01-18,4.827
2021-01-19,4.827
2021-01-20,4.827
2021-01-21,4.827
2021-01-22,4.827
2021-01-23,4.827
2021-01-24,4.827
2021-01-25,4.827
2021-01-26,4.827
2021-01-27,4.827
2021-01-28,4.827
2021-01-29,4.827
2021-01-30,4.827
2021-01-31,4.827
2021-02-01,4.827
2021-02-02,4.827
2021-02-03,4.827
2021-02-04,4.827
2021-02-05,4.827
2021-02-06,4.827
2021-02-07,4.827
2021-02-08,4.827
2021-02-09,4.827
2021-02-10,4.827
2021-02-11,4.827
2021-02-12,4.827
2021-02-13,4.827
2021-02-14,4.827
2021-02-15,4.827
2021-02-16,4.827
2021-02-17,4.827
2021-02-18,4.827
2021-02-19,4.827
2021-02-20,4.827
2021-02-21,4.827
2021-02-22,4.827
2021-02-23,4.827
2021-02-24,4.827
2021-02-25,4.827
2021-02-26,4.827
2021-02-27,4.827
2021-02-28,4.827
2021-03-01,4.827
2021-03-02,4.827
2021-03-03,4.827
2021-03-04,4.827
2021-03-05,4.827
2021-03-06,4.827
2021-03-07,4.827
2021-03-08,4.827
2021-03-09,4.827
2021-03-10,4.827
2021-03-11,4.827
2021-03-12,4.827
2021-03-13,4.827
2021-03-14,4.827
2021-03-15,4.827
2021-03-16,4.827
2021-03-17,4.827
2021-03-18,4.827
2021-03-19,4.827
2021-03-20,4.827
2021-03-21,4.827
2021-03-22,4.827
2021-03-23,4.827
2021-03-24,4.827
2021-03-25,4.827
2021-03-26,4.827
2021-03-27,4.827
2021-03-28,4.827
2021-03-29,4.827
2021-03-30,4.827
2021-03-31,4.827
2021-04-01,4.827
2021-04-02,4.827
2021-04-03,4.827
2021-04-04,4.827
2021-04-05,4.827
2021-04-06,4.827
2021-04-07,4.827
2021-04-08,4.827
2021-04-09,4.827
2021-04-10,4.827
2021-04-11,4.827
2021-04-12,4.827
2021-04-13,4.827
2021-04-14,4.827
2021-04-15,4.827
2021-04-16,4.827
2021-04-17,4.827
2021-04-18,4.827
2021-04-19,4.827
2021-04-20,4.827
2021-04-21,4.827
2021-04-22,4.827
2021-04-23,4.827
2021-04-24,4.827
2021-04-25,4.827
2021-04-26,4.827
2021-04-27,4.827
2021-04-28,4.827
2021-04-29,4.827
2021-04-30,4.827
2021-05-01,4.827
2021-05-02,4.827
2021-05-03,4.827
2021-05-04,4.827
2021-05-05,4.827
2021-05-06,4.827
2021-05-07,4.827
2021-05-08,4.827
2021-05-09,4.827
2021-05-10,4.827
2021-05-11,4.827
2021-05-12,4.827
2021-05-13,4.827
2021-05-14,4.827
2021-05-15,4.827
2021-05-16,4.827
2021-05-17,4.827
2021-05-18,4.827
2021-05-19,4.827
2021-05-20,4.827
2021-05-21,4.827
2021-05-22,4.827
2021-05-23,4.827
2021-05-24,4.827
2021-05-25,4.827
2021-05-26,4.827
2021-05-27,4.827
2021-05-28,4.827
2021-05-29,4.827
2021-05-30,4.827
2021-05-31,4.827
2021-06-01,4.827
2021-06-02,4.827
2021-06-03,4.827
2021-06-04,4.827
2021-06-05,4.827
2021-06-06,4.827
2021-06-07,4.827
2021-06-08,4.827
2021-06-09,4.827
2021-06-10,4.827
2021-06-11,4.827
2021-06-12,4.827
2021-06-13,4.827
2021-06-14,4.827
2021-06-15,4.827
2021-06-16,4.827
2021-06-17,4.827
2021-06-18,4.827
2021-06-19,4.827
2021-06-20,4.827
2021-06-21,4.827
2021-06-22,4.827
2021-06-23,4.827
2021-06-24,4.827
2021-06-25,4.827
2021-06-26,4.827
2021-06-27,4.827
2021-06-28,4.827
2021-06-29,4.827
2021-06-30,4.168
2021-07-01,4.264
2021-07-02,4.219
2021-07-03,4.219
2021-07-04,4.219
2021-07-05,4.219
2021-07-06,4.119
2021-07-07,4.209
2021-07-08,4.026
2021-07-09,4.066
2021-07-10,4.066
2021-07-11,4.066
2021-07-12,4.061
2021-07-13,3.947
2021-07-14,3.953
2021-07-15,3.938
2021-07-16,3.896
2021-07-17,3.896
2021-07-18,3.896
2021-07-19,3.889
2021-07-20,3.988
2021-07-21,4.037
2021-07-22,4.009
2021-07-23,4.13
2021-07-24,4.13
2021-07-25,4.13
2021-07-26,4.076
2021-07-27,4.078
2021-07-28,4.02
2021-07-29,4.206
2021-07-30,4.191
2021-07-31,4.191
2021-08-01,4.191
2021-08-02,4.198
2021-08-03,4.229
2021-08-04,4.07
2021-08-05,4.086
2021-08-06,4.044
2021-08-07,4.044
2021-08-08,4.044
2021-08-09,4.015
2021-08-10,4.082
2021-08-11,4.229
2021-08-12,4.16
2021-08-13,4.151
2021-08-14,4.151
2021-08-15,4.151
2021-08-16,4.172
2021-08-17,4.006
2021-08-18,3.999
2021-08-19,3.952
2021-08-20,4.026
2021-08-21,4.026
2021-08-22,4.026
2021-08-23,4.006
2021-08-24,4.093
2021-08-25,4.141
2021-08-26,4.111
2021-08-27,4.192
2021-08-28,4.192
2021-08-29,4.192
2021-08-30,4.137
2021-08-31,4.114
2021-09-01,4.177
2021-09-02,4.14
2021-09-03,4.078
2021-09-04,4.078
2021-09-05,4.078
2021-09-06,4.078
2021-09-07,4.027
2021-09-08,3.783
2021-09-09,3.703
2021-09-10,3.661
2021-09-11,3.661
2021-09-12,3.661
2021-09-13,3.688
2021-09-14,3.604
2021-09-15,3.634
2021-09-16,3.683
2021-09-17,3.726
2021-09-18,3.726
2021-09-19,3.726
2021-09-20,3.629
2021-09-21,3.608
2021-09-22,3.668
2021-09-23,3.628
2021-09-24,3.638
2021-09-25,3.638
2021-09-26,3.638
2021-09-27,3.703
2021-09-28,3.615
2021-09-29,3.671
2021-09-30,3.518
2021-10-01,3.534
2021-10-02,3.534
2021-10-03,3.534
2021-10-04,3.543
2021-10-05,3.564
2021-10-06,3.6
2021-10-07,3.651
2021-10-08,3.626
2021-10-09,3.626
2021-10-10,3.626
2021-10-11,3.62
2021-10-12,3.667
2021-10-13,3.66
2021-10-14,3.772
2021-10-15,3.708
2021-10-16,3.708
2021-10-17,3.708
2021-10-18,3.782
2021-10-19,3.771
2021-10-20,3.846
2021-10-21,3.838
2021-10-22,3.809
2021-10-23,3.809
2021-10-24,3.809
2021-10-25,3.82
2021-10-26,3.729
2021-10-27,3.735
2021-10-28,3.728
2021-10-29,3.683
2021-10-30,3.683
2021-10-31,3.683
2021-11-01,3.729
2021-11-02,3.661
2021-11-03,3.707
2021-11-04,3.76
2021-11-05,3.863
2021-11-06,3.863
2021-11-07,3.863
2021-11-08,3.851
2021-11-09,3.977
2021-11-10,3.878
2021-11-11,3.884
2021-11-12,3.934
2021-11-13,3.934
2021-11-14,3.934
2021-11-15,3.874
2021-11-16,3.947
2021-11-17,4.011
2021-11-18,3.964
2021-11-19,4.003
2021-11-20,4.003
2021-11-21,4.003
2021-11-22,4.016
2021-11-23,4.052
2021-11-24,4.033
2021-11-25,4.033
2021-11-26,3.952
2021-11-27,3.952
2021-11-28,3.952
2021-11-29,3.946
2021-11-30,3.833
2021-12-01,3.836
2021-12-02,4.021
2021-12-03,3.99
2021-12-04,3.99
2021-12-05,3.99
2021-12-06,4.134
2021-12-07,4.188
2021-12-08,4.242
2021-12-09,4.242
2021-12-10,4.307
2021-12-11,4.307
2021-12-12,4.307
2021-12-13,4.213
2021-12-14,4.137
2021-12-15,4.249
2021-12-16,4.147
2021-12-17,4.07
2021-12-18,4.07
2021-12-19,4.07
2021-12-20,3.954
2021-12-21,4.07
2021-12-22,4.189
2021-12-23,4.198
2021-12-24,4.198
2021-12-25,4.198
2021-12-26,4.198
2021-12-27,4.254
2021-12-28,4.323
2021-12-29,4.428
2021-12-30,4.352
2021-12-31,4.391
2022-01-01,4.391
2022-01-02,4.391
2022-01-03,4.309
2022-01-04,4.372
2022-01-05,4.31
2022-01-06,4.227
2022-01-07,4.016
2022-01-08,4.016
2022-01-09,4.016
2022-01-10,4.071
2022-01-11,4.217
2022-01-12,4.226
2022-01-13,4.373
2022-01-14,4.385
2022-01-15,4.385
2022-01-16,4.385
2022-01-17,4.385
2022-01-18,4.188
2022-01-19,4.079
2022-01-20,4.023
2022-01-21,3.957
2022-01-22,3.957
2022-01-23,3.957
2022-01-24,4.148
2022-01-25,4.073
2022-01-26,3.923
2022-01-27,3.841
2022-01-28,3.937
2022-01-29,3.937
2022-01-30,3.937
2022-01-31,4.047
2022-02-01,4.185
2022-02-02,4.669
2022-02-03,5.069
2022-02-04,4.675
2022-02-05,4.675
2022-02-06,4.675
2022-02-07,4.687
2022-02-08,4.812
2022-02-09,4.934
2022-02-10,4.656
2022-02-11,4.591
2022-02-12,4.591
2022-02-13,4.591
2022-02-14,4.587
2022-02-15,4.691
2022-02-16,4.727
2022-02-17,4.6
2022-02-18,4.617
2022-02-19,4.617
2022-02-20,4.617
2022-02-21,4.617
2022-02-22,4.435
2022-02-23,4.304
2022-02-24,4.472
2022-02-25,4.668
2022-02-26,4.668
2022-02-27,4.668
2022-02-28,4.764
2022-03-01,4.71
2022-03-02,4.8
2022-03-03,4.724
2022-03-04,4.736
2022-03-05,4.736
2022-03-06,4.736
2022-03-07,4.438
2022-03-08,4.42
2022-03-09,4.573
2022-03-10,4.523
2022-03-11,4.45
2022-03-12,4.45
2022-03-13,4.45
2022-03-14,4.259
2022-03-15,4.47
2022-03-16,4.486
2022-03-17,4.557
2022-03-18,4.661
2022-03-19,4.661
2022-03-20,4.661
2022-03-21,4.478
2022-03-22,4.464
2022-03-23,4.297
2022-03-24,4.289
2022-03-25,4.215
2022-03-26,4.215
2022-03-27,4.215
2022-03-28,4.203
2022-03-29,4.35
2022-03-30,4.267
2022-03-31,4.032
2022-04-01,4.077
2022-04-02,4.077
2022-04-03,4.077
2022-04-04,4.154
2022-04-05,3.983
2022-04-06,3.874
2022-04-07,3.826
2022-04-08,3.866
2022-04-09,3.866
2022-04-10,3.866
2022-04-11,3.942
2022-04-12,3.974
2022-04-13,4.059
2022-04-14,4.012
2022-04-15,4.012
2022-04-16,4.012
2022-04-17,4.012
2022-04-18,3.999
2022-04-19,4.153
2022-04-20,4.174
2022-04-21,4.117
2022-04-22,3.984
2022-04-23,3.984
2022-04-24,3.984
2022-04-25,4.056
2022-04-26,3.955
2022-04-27,3.868
2022-04-28,3.728
2022-04-29,3.531
2022-04-30,3.531
2022-05-01,3.531
2022-05-02,3.545
2022-05-03,3.643
2022-05-04,3.902
2022-05-05,3.684
2022-05-06,3.641
2022-05-07,3.641
2022-05-08,3.641
2022-05-09,3.631
2022-05-10,3.565
2022-05-11,3.445
2022-05-12,3.587
2022-05-13,3.619
2022-05-14,3.619
2022-05-15,3.619
2022-05-16,3.636
2022-05-17,3.781
2022-05-18,3.543
2022-05-19,3.545
2022-05-20,3.636
2022-05-21,3.636
2022-05-22,3.636
2022-05-23,3.61
2022-05-24,3.482
2022-05-25,3.656
2022-05-26,3.827
2022-05-27,3.887
2022-05-28,3.887
2022-05-29,3.887
2022-05-30,3.887
2022-05-31,3.851
2022-06-01,3.822
2022-06-02,3.872
2022-06-03,3.834
2022-06-04,3.834
2022-06-05,3.834
2022-06-06,3.839
2022-06-07,3.854
2022-06-08,3.75
2022-06-09,3.756
2022-06-10,3.586
2022-06-11,3.586
2022-06-12,3.586
2022-06-13,3.412
2022-06-14,3.405
2022-06-15,3.366
2022-06-16,3.103
2022-06-17,3.102
2022-06-18,3.102
2022-06-19,3.102
2022-06-20,3.102
2022-06-21,3.385
2022-06-22,3.609
2022-06-23,3.781
2022-06-24,3.844
2022-06-25,3.844
2022-06-26,3.844
2022-06-27,4.022
2022-06-28,3.951
2022-06-29,3.923
2022-06-30,3.927
2022-07-01,4.184
2022-07-02,4.184
2022-07-03,4.184
2022-07-04,4.184
2022-07-05,4.333
2022-07-06,4.285
2022-07-07,4.319
2022-07-08,4.38
2022-07-09,4.38
2022-07-10,4.38
2022-07-11,4.36
2022-07-12,4.366
2022-07-13,4.393
2022-07-14,4.34
2022-07-15,4.355
2022-07-16,4.355
2022-07-17,4.355
2022-07-18,4.307
2022-07-19,4.415
2022-07-20,4.397
2022-07-21,4.517
2022-07-22,4.55
2022-07-23,4.55
2022-07-24,4.55
2022-07-25,4.43
2022-07-26,4.071
2022-07-27,4.155
2022-07-28,4.16
2022-07-29,4.163
2022-07-30,4.163
2022-07-31,4.163
2022-08-01,4.215
2022-08-02,3.979
2022-08-03,3.995
2022-08-04,4.067
2022-08-05,4.044
2022-08-06,4.044
2022-08-07,4.044
2022-08-08,4.153
2022-08-09,3.966
2022-08-10,4.149
2022-08-11,4.162
2022-08-12,4.226
2022-08-13,4.226
2022-08-14,4.226
2022-08-15,4.176
2022-08-16,4.189
2022-08-17,4.09
2022-08-18,4.11
2022-08-19,3.978
2022-08-20,3.978
2022-08-21,3.978
2022-08-22,3.854
2022-08-23,3.869
2022-08-24,3.957
2022-08-25,4.048
2022-08-26,3.859
2022-08-27,3.859
2022-08-28,3.859
2022-08-29,3.846
2022-08-30,3.853
2022-08-31,3.823
2022-09-01,3.814
2022-09-02,3.803
2022-09-03,3.803
2022-09-04,3.803
2022-09-05,3.803
2022-09-06,3.743
2022-09-07,3.625
2022-09-08,3.642
2022-09-09,3.727
2022-09-10,3.727
2022-09-11,3.727
2022-09-12,3.759
2022-09-13,3.498
2022-09-14,3.472
2022-09-15,3.467
2022-09-16,3.512
2022-09-17,3.512
2022-09-18,3.512
2022-09-19,3.818
2022-09-20,3.753
2022-09-21,3.707
2022-09-22,3.667
2022-09-23,3.689
2022-09-24,3.689
2022-09-25,3.689
2022-09-26,3.572
2022-09-27,3.537
2022-09-28,3.716
2022-09-29,3.594
2022-09-30,3.534
2022-10-01,3.534
2022-10-02,3.534
2022-10-03,3.699
2022-10-04,3.963
2022-10-05,3.95
2022-10-06,3.99
2022-10-07,3.876
2022-10-08,3.876
2022-10-09,3.876
2022-10-10,3.854
2022-10-11,3.886
2022-10-12,3.858
2022-10-13,3.843
2022-10-14,3.717
2022-10-15,3.717
2022-10-16,3.717
2022-10-17,3.878
2022-10-18,4.01
2022-10-19,3.76
2022-10-20,3.702
2022-10-21,3.793
2022-10-22,3.793
2022-10-23,3.793
2022-10-24,3.841
2022-10-25,4.893
2022-10-26,5.04
2022-10-27,5.086
2022-10-28,5.228
2022-10-29,5.228
2022-10-30,5.228
2022-10-31,5.184
2022-11-01,5.16
2022-11-02,5.009
2022-11-03,4.825
2022-11-04,4.867
2022-11-05,4.867
2022-11-06,4.867
2022-11-07,4.926
2022-11-08,4.951
2022-11-09,4.908
2022-11-10,5.569
2022-11-11,5.644
2022-11-12,5.644
2022-11-13,5.644
2022-11-14,5.408
2022-11-15,5.613
2022-11-16,5.624
2022-11-17,5.513
2022-11-18,5.514
2022-11-19,5.514
2022-11-20,5.514
2022-11-21,5.485
2022-11-22,5.656
2022-11-23,5.781
2022-11-24,5.781
2022-11-25,5.758
2022-11-26,5.758
2022-11-27,5.758
2022-11-28,5.667
2022-11-29,5.702
2022-11-30,5.791
2022-12-01,5.839
2022-12-02,5.767
2022-12-03,5.767
2022-12-04,5.767
2022-12-05,5.653
2022-12-06,5.61
2022-12-07,5.768
2022-12-08,5.744
2022-12-09,5.68
2022-12-10,5.68
2022-12-11,5.68
2022-12-12,5.797
2022-12-13,5.943
2022-12-14,6.013
2022-12-15,6.107
2022-12-16,6.009
2022-12-17,6.009
2022-12-18,6.009
2022-12-19,5.851
2022-12-20,5.812
2022-12-21,5.939
2022-12-22,5.974
2022-12-23,5.943
2022-12-24,5.943
2022-12-25,5.943
2022-12-26,5.943
2022-12-27,5.954
2022-12-28,5.826
2022-12-29,5.947
2022-12-30,5.91
2022-12-31,5.91
2023-01-01,5.91
2023-01-02,5.91
2023-01-03,5.996
2023-01-04,6.154
2023-01-05,6.187
2023-01-06,6.274
2023-01-07,6.274
2023-01-08,6.274
2023-01-09,6.312
2023-01-10,6.352
2023-01-11,6.62
2023-01-12,6.683
2023-01-13,6.88
2023-01-14,6.88
2023-01-15,6.88
2023-01-16,6.88
2023-01-17,6.925
2023-01-18,6.911
2023-01-19,6.804
2023-01-20,6.876
2023-01-21,6.876
2023-01-22,6.876
2023-01-23,6.923
2023-01-24,6.999
2023-01-25,7.048
2023-01-26,7.101
2023-01-27,7.135
2023-01-28,7.135
2023-01-29,7.135
2023-01-30,7.049
2023-01-31,7.856
2023-02-01,8.104
2023-02-02,8.248
2023-02-03,8.18
2023-02-04,8.18
2023-02-05,8.18
2023-02-06,7.997
2023-02-07,8.079
2023-02-08,7.723
2023-02-09,7.731
2023-02-10,7.788
2023-02-11,7.788
2023-02-12,7.788
2023-02-13,8.006
2023-02-14,7.879
2023-02-15,7.915
2023-02-16,7.799
2023-02-17,7.574
2023-02-18,7.574
2023-02-19,7.574
2023-02-20,7.574
2023-02-21,7.383
2023-02-22,7.433
2023-02-23,7.556
2023-02-24,7.497
2023-02-25,7.497
2023-02-26,7.497
2023-02-27,7.514
2023-02-28,7.65
2023-03-01,7.587
2023-03-02,7.595
2023-03-03,7.723
2023-03-04,7.723
2023-03-05,7.723
2023-03-06,7.667
2023-03-07,7.562
2023-03-08,7.661
2023-03-09,7.618
2023-03-10,7.482
2023-03-11,7.482
2023-03-12,7.482
2023-03-13,7.626
2023-03-14,7.74
2023-03-15,7.684
2023-03-16,7.873
2023-03-17,7.819
2023-03-18,7.819
2023-03-19,7.819
2023-03-20,7.807
2023-03-21,7.872
2023-03-22,7.888
2023-03-23,7.952
2023-03-24,7.991
2023-03-25,7.991
2023-03-26,7.991
2023-03-27,7.975
2023-03-28,8.077
2023-03-29,8.06
2023-03-30,8.008
2023-03-31,8.219
2023-04-01,8.219
2023-04-02,8.219
2023-04-03,8.321
2023-04-04,8.239
2023-04-05,8.268
2023-04-06,8.157
2023-04-07,8.157
2023-04-08,8.157
2023-04-09,8.157
2023-04-10,8.226
2023-04-11,8.416
2023-04-12,8.414
2023-04-13,8.338
2023-04-14,8.469
2023-04-15,8.469
2023-04-16,8.469
2023-04-17,8.533
2023-04-18,8.814
2023-04-19,8.641
2023-04-20,8.692
2023-04-21,8.695
2023-04-22,8.695
2023-04-23,8.695
2023-04-24,8.838
2023-04-25,7.943
2023-04-26,7.354
2023-04-27,7.541
2023-04-28,7.641
2023-04-29,7.641
2023-04-30,7.641
2023-05-01,7.485
2023-05-02,7.484
2023-05-03,7.566
2023-05-04,7.552
2023-05-05,7.626
2023-05-06,7.626
2023-05-07,7.626
2023-05-08,7.713
2023-05-09,7.617
2023-05-10,7.625
2023-05-11,7.661
2023-05-12,7.696
2023-05-13,7.696
2023-05-14,7.696
2023-05-15,7.709
2023-05-16,7.8
2023-05-17,7.816
2023-05-18,7.889
2023-05-19,7.78
2023-05-20,7.78
2023-05-21,7.78
2023-05-22,7.582
2023-05-23,7.388
2023-05-24,7.392
2023-05-25,7.477
2023-05-26,7.404
2023-05-27,7.404
2023-05-28,7.404
2023-05-29,7.404
2023-05-30,7.49
2023-05-31,7.329
2023-06-01,7.464
2023-06-02,7.695
2023-06-03,7.695
2023-06-04,7.695
2023-06-05,7.7
2023-06-06,8.006
2023-06-07,7.938
2023-06-08,7.898
2023-06-09,7.985
2023-06-10,7.985
2023-06-11,7.985
2023-06-12,8.083
2023-06-13,8.254
2023-06-14,8.133
2023-06-15,8.211
2023-06-16,8.179
2023-06-17,8.179
2023-06-18,8.179
2023-06-19,8.179
2023-06-20,8.332
2023-06-21,8.428
2023-06-22,8.462
2023-06-23,8.486
2023-06-24,8.486
2023-06-25,8.486
2023-06-26,8.46
2023-06-27,8.753
2023-06-28,8.648
2023-06-29,8.603
2023-06-30,8.643
2023-07-01,8.643
2023-07-02,8.643
2023-07-03,8.6
2023-07-04,8.6
2023-07-05,8.554
2023-07-06,8.32
2023-07-07,8.322
2023-07-08,8.322
2023-07-09,8.322
2023-07-10,8.583
2023-07-11,8.674
2023-07-12,8.873
2023-07-13,8.769
2023-07-14,9.004
2023-07-15,9.004
2023-07-16,9.004
2023-07-17,8.832
2023-07-18,8.867
2023-07-19,8.861
2023-07-20,8.381
2023-07-21,8.442
2023-07-22,8.442
2023-07-23,8.442
2023-07-24,8.49
2023-07-25,7.467
2023-07-26,7.06
2023-07-27,7.005
2023-07-28,7.104
2023-07-29,7.104
2023-07-30,7.104
2023-07-31,7.068
2023-08-01,7.087
2023-08-02,6.998
2023-08-03,6.821
2023-08-04,7.064
2023-08-05,7.064
2023-08-06,7.064
2023-08-07,7.171
2023-08-08,7.239
2023-08-09,7.16
2023-08-10,6.982
2023-08-11,6.966
2023-08-12,6.966
2023-08-13,6.966
2023-08-14,7.073
2023-08-15,7.09
2023-08-16,6.948
2023-08-17,6.631
2023-08-18,6.674
2023-08-19,6.674
2023-08-20,6.674
2023-08-21,6.561
2023-08-22,6.634
2023-08-23,6.704
2023-08-24,6.596
2023-08-25,6.495
2023-08-26,6.495
2023-08-27,6.495
2023-08-28,6.545
2023-08-29,6.725
2023-08-30,6.825
2023-08-31,6.906
2023-09-01,6.92
2023-09-02,6.92
2023-09-03,6.92
2023-09-04,6.92
2023-09-05,6.523
2023-09-06,6.634
2023-09-07,6.782
2023-09-08,6.76
2023-09-09,6.76
2023-09-10,6.76
2023-09-11,6.824
2023-09-12,6.546
2023-09-13,6.428
2023-09-14,6.563
2023-09-15,6.4
2023-09-16,6.4
2023-09-17,6.4
2023-09-18,6.371
2023-09-19,6.415
