,WRB US Equity
2020-11-21,11.133
2020-11-22,11.133
2020-11-23,11.089
2020-11-24,11.194
2020-11-25,11.044
2020-11-26,11.044
2020-11-27,10.951
2020-11-28,10.951
2020-11-29,10.951
2020-11-30,11.073
2020-12-01,11.483
2020-12-02,11.439
2020-12-03,11.383
2020-12-04,11.492
2020-12-05,11.492
2020-12-06,11.492
2020-12-07,11.087
2020-12-08,11.07
2020-12-09,11.063
2020-12-10,11.024
2020-12-11,11.016
2020-12-12,11.016
2020-12-13,11.016
2020-12-14,10.92
2020-12-15,11.203
2020-12-16,11.249
2020-12-17,11.368
2020-12-18,11.29
2020-12-19,11.29
2020-12-20,11.29
2020-12-21,11.148
2020-12-22,11.136
2020-12-23,11.239
2020-12-24,11.259
2020-12-25,11.259
2020-12-26,11.259
2020-12-27,11.259
2020-12-28,11.257
2020-12-29,11.196
2020-12-30,11.259
2020-12-31,11.314
2021-01-01,11.314
2021-01-02,11.314
2021-01-03,11.314
2021-01-04,11.062
2021-01-05,10.966
2021-01-06,11.343
2021-01-07,11.244
2021-01-08,11.303
2021-01-09,11.303
2021-01-10,11.303
2021-01-11,11.305
2021-01-12,11.455
2021-01-13,11.337
2021-01-14,11.244
2021-01-15,11.266
2021-01-16,11.266
2021-01-17,11.266
2021-01-18,11.266
2021-01-19,11.177
2021-01-20,11.354
2021-01-21,11.343
2021-01-22,11.222
2021-01-23,11.222
2021-01-24,11.222
2021-01-25,11.252
2021-01-26,11.063
2021-01-27,10.499
2021-01-28,10.775
2021-01-29,10.585
2021-01-30,10.585
2021-01-31,10.585
2021-02-01,10.714
2021-02-02,10.893
2021-02-03,10.833
2021-02-04,11.07
2021-02-05,11.199
2021-02-06,11.199
2021-02-07,11.199
2021-02-08,11.261
2021-02-09,11.455
2021-02-10,11.506
2021-02-11,11.678
2021-02-12,11.562
2021-02-13,11.562
2021-02-14,11.562
2021-02-15,11.562
2021-02-16,11.584
2021-02-17,11.562
2021-02-18,11.433
2021-02-19,11.562
2021-02-20,11.562
2021-02-21,11.562
2021-02-22,11.615
2021-02-23,11.775
2021-02-24,12.138
2021-02-25,12.138
2021-02-26,12.138
2021-02-27,12.138
2021-02-28,12.138
2021-03-01,12.138
2021-03-02,12.138
2021-03-03,12.138
2021-03-04,12.138
2021-03-05,12.138
2021-03-06,12.138
2021-03-07,12.138
2021-03-08,12.138
2021-03-09,12.138
2021-03-10,12.138
2021-03-11,12.138
2021-03-12,12.138
2021-03-13,12.138
2021-03-14,12.138
2021-03-15,12.138
2021-03-16,12.138
2021-03-17,12.138
2021-03-18,12.138
2021-03-19,12.138
2021-03-20,12.138
2021-03-21,12.138
2021-03-22,12.138
2021-03-23,12.138
2021-03-24,12.138
2021-03-25,12.138
2021-03-26,12.138
2021-03-27,12.138
2021-03-28,12.138
2021-03-29,12.138
2021-03-30,12.138
2021-03-31,12.138
2021-04-01,12.138
2021-04-02,12.138
2021-04-03,12.138
2021-04-04,12.138
2021-04-05,12.138
2021-04-06,12.138
2021-04-07,12.138
2021-04-08,12.138
2021-04-09,12.138
2021-04-10,12.138
2021-04-11,12.138
2021-04-12,12.138
2021-04-13,12.138
2021-04-14,12.138
2021-04-15,12.138
2021-04-16,12.138
2021-04-17,12.138
2021-04-18,12.138
2021-04-19,12.138
2021-04-20,12.138
2021-04-21,12.138
2021-04-22,12.138
2021-04-23,12.138
2021-04-24,12.138
2021-04-25,12.138
2021-04-26,12.138
2021-04-27,12.138
2021-04-28,12.138
2021-04-29,12.138
2021-04-30,12.138
2021-05-01,12.138
2021-05-02,12.138
2021-05-03,12.138
2021-05-04,12.138
2021-05-05,12.138
2021-05-06,12.138
2021-05-07,12.138
2021-05-08,12.138
2021-05-09,12.138
2021-05-10,12.138
2021-05-11,12.138
2021-05-12,12.138
2021-05-13,12.138
2021-05-14,12.138
2021-05-15,12.138
2021-05-16,12.138
2021-05-17,12.138
2021-05-18,12.138
2021-05-19,12.138
2021-05-20,12.138
2021-05-21,12.138
2021-05-22,12.138
2021-05-23,12.138
2021-05-24,12.138
2021-05-25,12.138
2021-05-26,12.138
2021-05-27,12.138
2021-05-28,12.138
2021-05-29,12.138
2021-05-30,12.138
2021-05-31,12.138
2021-06-01,12.138
2021-06-02,12.138
2021-06-03,12.138
2021-06-04,12.138
2021-06-05,12.138
2021-06-06,12.138
2021-06-07,12.138
2021-06-08,12.138
2021-06-09,12.138
2021-06-10,12.138
2021-06-11,12.138
2021-06-12,12.138
2021-06-13,12.138
2021-06-14,12.138
2021-06-15,12.138
2021-06-16,12.138
2021-06-17,12.138
2021-06-18,12.138
2021-06-19,12.138
2021-06-20,12.138
2021-06-21,12.138
2021-06-22,12.138
2021-06-23,12.138
2021-06-24,12.138
2021-06-25,12.138
2021-06-26,12.138
2021-06-27,12.138
2021-06-28,12.138
2021-06-29,12.138
2021-06-30,12.138
2021-07-01,12.138
2021-07-02,12.138
2021-07-03,12.138
2021-07-04,12.138
2021-07-05,12.138
2021-07-06,12.138
2021-07-07,12.138
2021-07-08,12.138
2021-07-09,12.138
2021-07-10,12.138
2021-07-11,12.138
2021-07-12,12.138
2021-07-13,12.138
2021-07-14,12.138
2021-07-15,12.138
2021-07-16,12.138
2021-07-17,12.138
2021-07-18,12.138
2021-07-19,12.138
2021-07-20,12.138
2021-07-21,12.138
2021-07-22,12.138
2021-07-23,12.138
2021-07-24,12.138
2021-07-25,12.138
2021-07-26,12.138
2021-07-27,12.138
2021-07-28,12.138
2021-07-29,12.138
2021-07-30,12.138
2021-07-31,12.138
2021-08-01,12.138
2021-08-02,12.138
2021-08-03,12.138
2021-08-04,12.138
2021-08-05,12.138
2021-08-06,12.138
2021-08-07,12.138
2021-08-08,12.138
2021-08-09,12.138
2021-08-10,12.138
2021-08-11,12.138
2021-08-12,12.138
2021-08-13,12.138
2021-08-14,12.138
2021-08-15,12.138
2021-08-16,12.138
2021-08-17,12.138
2021-08-18,12.138
2021-08-19,12.138
2021-08-20,12.138
2021-08-21,12.138
2021-08-22,12.138
2021-08-23,12.138
2021-08-24,12.138
2021-08-25,12.138
2021-08-26,12.138
2021-08-27,12.138
2021-08-28,12.138
2021-08-29,12.138
2021-08-30,12.138
2021-08-31,12.138
2021-09-01,12.138
2021-09-02,12.138
2021-09-03,12.138
2021-09-04,12.138
2021-09-05,12.138
2021-09-06,12.138
2021-09-07,12.138
2021-09-08,12.138
2021-09-09,12.138
2021-09-10,12.138
2021-09-11,12.138
2021-09-12,12.138
2021-09-13,12.138
2021-09-14,12.138
2021-09-15,12.138
2021-09-16,12.138
2021-09-17,12.138
2021-09-18,12.138
2021-09-19,12.138
2021-09-20,12.138
2021-09-21,12.138
2021-09-22,12.138
2021-09-23,12.138
2021-09-24,12.138
2021-09-25,12.138
2021-09-26,12.138
2021-09-27,12.138
2021-09-28,12.138
2021-09-29,12.138
2021-09-30,12.138
2021-10-01,12.138
2021-10-02,12.138
2021-10-03,12.138
2021-10-04,12.138
2021-10-05,12.138
2021-10-06,12.138
2021-10-07,12.138
2021-10-08,12.138
2021-10-09,12.138
2021-10-10,12.138
2021-10-11,12.138
2021-10-12,12.138
2021-10-13,12.138
2021-10-14,12.138
2021-10-15,12.138
2021-10-16,12.138
2021-10-17,12.138
2021-10-18,12.138
2021-10-19,12.138
2021-10-20,12.138
2021-10-21,12.138
2021-10-22,12.138
2021-10-23,12.138
2021-10-24,12.138
2021-10-25,12.138
2021-10-26,12.138
2021-10-27,12.138
2021-10-28,13.091
2021-10-29,12.876
2021-10-30,12.876
2021-10-31,12.876
2021-11-01,12.95
2021-11-02,13.202
2021-11-03,13.199
2021-11-04,12.842
2021-11-05,13.034
2021-11-06,13.034
2021-11-07,13.034
2021-11-08,13.17
2021-11-09,13.154
2021-11-10,13.157
2021-11-11,13.151
2021-11-12,13.139
2021-11-13,13.139
2021-11-14,13.139
2021-11-15,13.076
2021-11-16,13.12
2021-11-17,13.209
2021-11-18,13.244
2021-11-19,12.987
2021-11-20,12.987
2021-11-21,12.987
2021-11-22,14.421
2021-11-23,14.769
2021-11-24,14.595
2021-11-25,14.595
2021-11-26,14.065
2021-11-27,14.065
2021-11-28,14.065
2021-11-29,13.89
2021-11-30,13.396
2021-12-01,13.233
2021-12-02,13.782
2021-12-03,13.584
2021-12-04,13.584
2021-12-05,13.584
2021-12-06,13.96
2021-12-07,14.148
2021-12-08,14.171
2021-12-09,14.15
2021-12-10,14.356
2021-12-11,14.356
2021-12-12,14.356
2021-12-13,14.299
2021-12-14,14.452
2021-12-15,14.485
2021-12-16,13.644
2021-12-17,13.358
2021-12-18,13.358
2021-12-19,13.358
2021-12-20,13.084
2021-12-21,13.215
2021-12-22,13.234
2021-12-23,13.32
2021-12-24,13.32
2021-12-25,13.32
2021-12-26,13.32
2021-12-27,13.518
2021-12-28,13.619
2021-12-29,13.711
2021-12-30,13.546
2021-12-31,13.689
2022-01-01,13.689
2022-01-02,13.689
2022-01-03,13.501
2022-01-04,13.702
2022-01-05,13.549
2022-01-06,13.78
2022-01-07,14.053
2022-01-08,14.053
2022-01-09,14.053
2022-01-10,14.021
2022-01-11,14.133
2022-01-12,14.207
2022-01-13,14.329
2022-01-14,14.221
2022-01-15,14.221
2022-01-16,14.221
2022-01-17,14.221
2022-01-18,14.078
2022-01-19,13.712
2022-01-20,13.84
2022-01-21,13.714
2022-01-22,13.714
2022-01-23,13.714
2022-01-24,13.85
2022-01-25,13.702
2022-01-26,13.684
2022-01-27,12.146
2022-01-28,12.519
2022-01-29,12.519
2022-01-30,12.519
2022-01-31,12.372
2022-02-01,12.561
2022-02-02,12.849
2022-02-03,13.022
2022-02-04,13.142
2022-02-05,13.142
2022-02-06,13.142
2022-02-07,13.296
2022-02-08,13.587
2022-02-09,13.561
2022-02-10,13.461
2022-02-11,13.173
2022-02-12,13.173
2022-02-13,13.173
2022-02-14,13.103
2022-02-15,13.193
2022-02-16,13.316
2022-02-17,13.142
2022-02-18,13.246
2022-02-19,13.246
2022-02-20,13.246
2022-02-21,13.246
2022-02-22,13.242
2022-02-23,13.082
2022-02-24,12.833
2022-02-25,13.351
2022-02-26,13.351
2022-02-27,13.351
2022-02-28,13.221
2022-03-01,12.911
2022-03-02,13.256
2022-03-03,13.231
2022-03-04,13.19
2022-03-05,13.19
2022-03-06,13.19
2022-03-07,13.016
2022-03-08,13.084
2022-03-09,13.443
2022-03-10,13.609
2022-03-11,13.842
2022-03-12,13.842
2022-03-13,13.842
2022-03-14,13.736
2022-03-15,13.93
2022-03-16,13.789
2022-03-17,13.965
2022-03-18,14.076
2022-03-19,14.076
2022-03-20,14.076
2022-03-21,13.952
2022-03-22,14.075
2022-03-23,13.95
2022-03-24,13.774
2022-03-25,13.909
2022-03-26,13.909
2022-03-27,13.909
2022-03-28,13.968
2022-03-29,14.071
2022-03-30,14.141
2022-03-31,14.038
2022-04-01,14.189
2022-04-02,14.189
2022-04-03,14.189
2022-04-04,13.905
2022-04-05,13.91
2022-04-06,14.182
2022-04-07,14.281
2022-04-08,14.357
2022-04-09,14.357
2022-04-10,14.357
2022-04-11,13.921
2022-04-12,12.729
2022-04-13,13.629
2022-04-14,13.652
2022-04-15,13.652
2022-04-16,13.652
2022-04-17,13.652
2022-04-18,13.894
2022-04-19,13.848
2022-04-20,14.218
2022-04-21,13.912
2022-04-22,13.602
2022-04-23,13.602
2022-04-24,13.602
2022-04-25,13.149
2022-04-26,12.786
2022-04-27,12.331
2022-04-28,12.44
2022-04-29,12.031
2022-04-30,12.031
2022-05-01,12.031
2022-05-02,11.976
2022-05-03,11.885
2022-05-04,12.195
2022-05-05,12.027
2022-05-06,12.154
2022-05-07,12.154
2022-05-08,12.154
2022-05-09,11.88
2022-05-10,11.725
2022-05-11,11.779
2022-05-12,11.725
2022-05-13,11.898
2022-05-14,11.898
2022-05-15,11.898
2022-05-16,11.951
2022-05-17,12.207
2022-05-18,12.0
2022-05-19,11.714
2022-05-20,11.747
2022-05-21,11.747
2022-05-22,11.747
2022-05-23,11.994
2022-05-24,12.157
2022-05-25,12.201
2022-05-26,12.396
2022-05-27,12.518
2022-05-28,12.518
2022-05-29,12.518
2022-05-30,12.518
2022-05-31,12.576
2022-06-01,12.495
2022-06-02,12.535
2022-06-03,12.484
2022-06-04,12.484
2022-06-05,12.484
2022-06-06,12.652
2022-06-07,12.778
2022-06-08,12.557
2022-06-09,12.314
2022-06-10,12.069
2022-06-11,12.069
2022-06-12,12.069
2022-06-13,11.722
2022-06-14,11.8
2022-06-15,11.848
2022-06-16,11.722
2022-06-17,11.814
2022-06-18,11.814
2022-06-19,11.814
2022-06-20,11.814
2022-06-21,11.94
2022-06-22,11.834
2022-06-23,11.66
2022-06-24,12.138
2022-06-25,12.138
2022-06-26,12.138
2022-06-27,12.345
2022-06-28,12.328
2022-06-29,12.024
2022-06-30,12.18
2022-07-01,12.376
2022-07-02,12.376
2022-07-03,12.376
2022-07-04,12.376
2022-07-05,12.099
2022-07-06,12.128
2022-07-07,12.053
2022-07-08,12.01
2022-07-09,12.01
2022-07-10,12.01
2022-07-11,12.005
2022-07-12,11.719
2022-07-13,11.655
2022-07-14,11.021
2022-07-15,11.164
2022-07-16,11.164
2022-07-17,11.164
2022-07-18,11.178
2022-07-19,11.491
2022-07-20,11.441
2022-07-21,11.366
2022-07-22,11.06
2022-07-23,11.06
2022-07-24,11.06
2022-07-25,11.163
2022-07-26,11.215
2022-07-27,11.233
2022-07-28,10.906
2022-07-29,11.035
2022-07-30,11.035
2022-07-31,11.035
2022-08-01,10.759
2022-08-02,10.704
2022-08-03,10.881
2022-08-04,10.713
2022-08-05,10.827
2022-08-06,10.827
2022-08-07,10.827
2022-08-08,10.865
2022-08-09,11.028
2022-08-10,11.222
2022-08-11,11.424
2022-08-12,11.545
2022-08-13,11.545
2022-08-14,11.545
2022-08-15,11.606
2022-08-16,11.662
2022-08-17,11.916
2022-08-18,11.923
2022-08-19,11.835
2022-08-20,11.835
2022-08-21,11.835
2022-08-22,11.957
2022-08-23,11.92
2022-08-24,12.07
2022-08-25,12.283
2022-08-26,12.111
2022-08-27,12.111
2022-08-28,12.111
2022-08-29,12.04
2022-08-30,11.875
2022-08-31,11.795
2022-09-01,11.828
2022-09-02,11.789
2022-09-03,11.789
2022-09-04,11.789
2022-09-05,11.789
2022-09-06,11.918
2022-09-07,12.129
2022-09-08,12.337
2022-09-09,12.268
2022-09-10,12.268
2022-09-11,12.268
2022-09-12,12.298
2022-09-13,12.065
2022-09-14,12.17
2022-09-15,12.251
2022-09-16,12.105
2022-09-17,12.105
2022-09-18,12.105
2022-09-19,12.217
2022-09-20,12.003
2022-09-21,11.756
2022-09-22,11.653
2022-09-23,11.562
2022-09-24,11.562
2022-09-25,11.562
2022-09-26,11.149
2022-09-27,11.332
2022-09-28,11.491
2022-09-29,11.805
2022-09-30,11.696
2022-10-01,11.696
2022-10-02,11.696
2022-10-03,12.024
2022-10-04,11.71
2022-10-05,11.679
2022-10-06,11.548
2022-10-07,11.4
2022-10-08,11.4
2022-10-09,11.4
2022-10-10,11.474
2022-10-11,11.554
2022-10-12,11.519
2022-10-13,12.089
2022-10-14,11.854
2022-10-15,11.854
2022-10-16,11.854
2022-10-17,12.057
2022-10-18,12.142
2022-10-19,12.084
2022-10-20,11.881
2022-10-21,12.066
2022-10-22,12.066
2022-10-23,12.066
2022-10-24,12.145
2022-10-25,11.621
2022-10-26,11.747
2022-10-27,11.94
2022-10-28,12.296
2022-10-29,12.296
2022-10-30,12.296
2022-10-31,12.482
2022-11-01,12.635
2022-11-02,12.474
2022-11-03,12.519
2022-11-04,12.566
2022-11-05,12.566
2022-11-06,12.566
2022-11-07,12.517
2022-11-08,12.512
2022-11-09,12.353
2022-11-10,12.299
2022-11-11,11.694
2022-11-12,11.694
2022-11-13,11.694
2022-11-14,11.502
2022-11-15,11.584
2022-11-16,12.028
2022-11-17,12.058
2022-11-18,12.291
2022-11-19,12.291
2022-11-20,12.291
2022-11-21,12.432
2022-11-22,12.428
2022-11-23,12.465
2022-11-24,12.465
2022-11-25,12.601
2022-11-26,12.601
2022-11-27,12.601
2022-11-28,12.534
2022-11-29,12.576
2022-11-30,12.783
2022-12-01,13.335
2022-12-02,13.399
2022-12-03,13.399
2022-12-04,13.399
2022-12-05,13.162
2022-12-06,13.353
2022-12-07,13.078
2022-12-08,13.041
2022-12-09,12.887
2022-12-10,12.887
2022-12-11,12.887
2022-12-12,13.002
2022-12-13,12.803
2022-12-14,12.787
2022-12-15,12.622
2022-12-16,12.64
2022-12-17,12.64
2022-12-18,12.64
2022-12-19,12.548
2022-12-20,12.784
2022-12-21,12.959
2022-12-22,12.803
2022-12-23,12.885
2022-12-24,12.885
2022-12-25,12.885
2022-12-26,12.885
2022-12-27,12.966
2022-12-28,12.771
2022-12-29,12.848
2022-12-30,12.731
2022-12-31,12.731
2023-01-01,12.731
2023-01-02,12.731
2023-01-03,12.733
2023-01-04,12.691
2023-01-05,12.61
2023-01-06,13.033
2023-01-07,13.033
2023-01-08,13.033
2023-01-09,12.722
2023-01-10,12.796
2023-01-11,12.728
2023-01-12,12.828
2023-01-13,12.886
2023-01-14,12.886
2023-01-15,12.886
2023-01-16,12.886
2023-01-17,12.625
2023-01-18,12.548
2023-01-19,12.336
2023-01-20,12.297
2023-01-21,12.297
2023-01-22,12.297
2023-01-23,12.369
2023-01-24,12.449
2023-01-25,12.561
2023-01-26,12.557
2023-01-27,12.187
2023-01-28,12.187
2023-01-29,12.187
2023-01-30,12.211
2023-01-31,12.224
2023-02-01,12.039
2023-02-02,11.605
2023-02-03,11.654
2023-02-04,11.654
2023-02-05,11.654
2023-02-06,11.905
2023-02-07,12.142
2023-02-08,12.064
2023-02-09,11.943
2023-02-10,11.884
2023-02-11,11.884
2023-02-12,11.884
2023-02-13,11.931
2023-02-14,11.687
2023-02-15,11.736
2023-02-16,11.65
2023-02-17,11.701
2023-02-18,11.701
2023-02-19,11.701
2023-02-20,11.701
2023-02-21,11.638
2023-02-22,11.607
2023-02-23,11.549
2023-02-24,11.563
2023-02-25,11.563
2023-02-26,11.563
2023-02-27,11.53
2023-02-28,11.513
2023-03-01,11.697
2023-03-02,11.713
2023-03-03,11.748
2023-03-04,11.748
2023-03-05,11.748
2023-03-06,11.643
2023-03-07,11.485
2023-03-08,11.342
2023-03-09,11.133
2023-03-10,10.915
2023-03-11,10.915
2023-03-12,10.915
2023-03-13,10.492
2023-03-14,10.678
2023-03-15,10.525
2023-03-16,10.98
2023-03-17,10.647
2023-03-18,10.647
2023-03-19,10.647
2023-03-20,10.767
2023-03-21,10.909
2023-03-22,10.656
2023-03-23,10.467
2023-03-24,10.54
2023-03-25,10.54
2023-03-26,10.54
2023-03-27,10.74
2023-03-28,10.786
2023-03-29,10.886
2023-03-30,10.888
2023-03-31,10.933
2023-04-01,10.933
2023-04-02,10.933
2023-04-03,11.035
2023-04-04,10.92
2023-04-05,10.962
2023-04-06,11.041
2023-04-07,11.041
2023-04-08,11.041
2023-04-09,11.041
2023-04-10,11.028
2023-04-11,11.047
2023-04-12,11.007
2023-04-13,10.996
2023-04-14,10.789
2023-04-15,10.789
2023-04-16,10.789
2023-04-17,10.956
2023-04-18,11.033
2023-04-19,11.014
2023-04-20,11.158
2023-04-21,10.161
2023-04-22,10.161
2023-04-23,10.161
2023-04-24,10.225
2023-04-25,10.201
2023-04-26,10.153
2023-04-27,10.253
2023-04-28,10.452
2023-04-29,10.452
2023-04-30,10.452
2023-05-01,10.595
2023-05-02,10.25
2023-05-03,10.197
2023-05-04,10.173
2023-05-05,10.294
2023-05-06,10.294
2023-05-07,10.294
2023-05-08,10.409
2023-05-09,10.451
2023-05-10,10.458
2023-05-11,10.439
2023-05-12,10.446
2023-05-13,10.446
2023-05-14,10.446
2023-05-15,10.464
2023-05-16,10.329
2023-05-17,10.182
2023-05-18,10.201
2023-05-19,10.221
2023-05-20,10.221
2023-05-21,10.221
2023-05-22,10.349
2023-05-23,10.24
2023-05-24,10.072
2023-05-25,9.962
2023-05-26,9.975
2023-05-27,9.975
2023-05-28,9.975
2023-05-29,9.975
2023-05-30,10.075
2023-05-31,9.872
2023-06-01,10.09
2023-06-02,10.221
2023-06-03,10.221
2023-06-04,10.221
2023-06-05,10.18
2023-06-06,10.203
2023-06-07,10.23
2023-06-08,10.159
2023-06-09,10.139
2023-06-10,10.139
2023-06-11,10.139
2023-06-12,10.132
2023-06-13,10.132
2023-06-14,10.024
2023-06-15,10.354
2023-06-16,10.51
2023-06-17,10.51
2023-06-18,10.51
2023-06-19,10.51
2023-06-20,10.363
2023-06-21,10.441
2023-06-22,10.366
2023-06-23,10.325
2023-06-24,10.325
2023-06-25,10.325
2023-06-26,10.404
2023-06-27,10.417
2023-06-28,10.309
2023-06-29,10.486
2023-06-30,10.564
2023-07-01,10.564
2023-07-02,10.564
2023-07-03,10.585
2023-07-04,10.585
2023-07-05,10.585
2023-07-06,10.585
2023-07-07,10.638
2023-07-08,10.638
2023-07-09,10.638
2023-07-10,10.573
2023-07-11,10.644
2023-07-12,10.588
2023-07-13,10.471
2023-07-14,10.504
2023-07-15,10.504
2023-07-16,10.504
2023-07-17,10.789
2023-07-18,10.794
2023-07-19,10.807
2023-07-20,10.898
2023-07-21,10.84
2023-07-22,10.84
2023-07-23,10.84
2023-07-24,10.788
2023-07-25,10.686
2023-07-26,10.868
2023-07-27,10.996
2023-07-28,10.975
2023-07-29,10.975
2023-07-30,10.975
2023-07-31,10.805
2023-08-01,10.805
2023-08-02,10.973
2023-08-03,10.974
2023-08-04,10.896
2023-08-05,10.896
2023-08-06,10.896
2023-08-07,11.092
2023-08-08,11.034
2023-08-09,11.048
2023-08-10,11.146
2023-08-11,11.207
2023-08-12,11.207
2023-08-13,11.207
2023-08-14,11.183
2023-08-15,10.997
2023-08-16,10.976
2023-08-17,10.839
2023-08-18,10.857
2023-08-19,10.857
2023-08-20,10.857
2023-08-21,10.744
2023-08-22,10.643
2023-08-23,10.688
2023-08-24,10.659
2023-08-25,10.68
2023-08-26,10.68
2023-08-27,10.68
2023-08-28,10.741
2023-08-29,10.823
2023-08-30,10.808
2023-08-31,10.843
2023-09-01,10.888
2023-09-02,10.888
2023-09-03,10.888
2023-09-04,10.888
2023-09-05,10.769
2023-09-06,10.731
2023-09-07,10.775
2023-09-08,10.801
2023-09-09,10.801
2023-09-10,10.801
2023-09-11,10.851
