,LAUR US Equity
2020-11-21,4.797
2020-11-22,4.797
2020-11-23,4.797
2020-11-24,4.797
2020-11-25,4.797
2020-11-26,4.797
2020-11-27,4.797
2020-11-28,4.797
2020-11-29,4.797
2020-11-30,4.797
2020-12-01,4.797
2020-12-02,4.797
2020-12-03,4.797
2020-12-04,4.797
2020-12-05,4.797
2020-12-06,4.797
2020-12-07,4.797
2020-12-08,4.797
2020-12-09,4.797
2020-12-10,4.797
2020-12-11,4.797
2020-12-12,4.797
2020-12-13,4.797
2020-12-14,4.797
2020-12-15,4.797
2020-12-16,4.797
2020-12-17,4.797
2020-12-18,4.797
2020-12-19,4.797
2020-12-20,4.797
2020-12-21,4.797
2020-12-22,4.797
2020-12-23,4.797
2020-12-24,4.797
2020-12-25,4.797
2020-12-26,4.797
2020-12-27,4.797
2020-12-28,4.797
2020-12-29,4.797
2020-12-30,4.797
2020-12-31,4.797
2021-01-01,4.797
2021-01-02,4.797
2021-01-03,4.797
2021-01-04,4.797
2021-01-05,4.797
2021-01-06,4.797
2021-01-07,4.797
2021-01-08,4.797
2021-01-09,4.797
2021-01-10,4.797
2021-01-11,4.797
2021-01-12,4.797
2021-01-13,4.797
2021-01-14,4.797
2021-01-15,4.797
2021-01-16,4.797
2021-01-17,4.797
2021-01-18,4.797
2021-01-19,4.797
2021-01-20,4.797
2021-01-21,4.797
2021-01-22,4.797
2021-01-23,4.797
2021-01-24,4.797
2021-01-25,4.797
2021-01-26,4.797
2021-01-27,4.797
2021-01-28,4.797
2021-01-29,4.797
2021-01-30,4.797
2021-01-31,4.797
2021-02-01,4.797
2021-02-02,4.797
2021-02-03,4.797
2021-02-04,4.797
2021-02-05,4.797
2021-02-06,4.797
2021-02-07,4.797
2021-02-08,4.797
2021-02-09,4.797
2021-02-10,4.797
2021-02-11,4.797
2021-02-12,4.797
2021-02-13,4.797
2021-02-14,4.797
2021-02-15,4.797
2021-02-16,4.797
2021-02-17,4.797
2021-02-18,4.797
2021-02-19,4.797
2021-02-20,4.797
2021-02-21,4.797
2021-02-22,4.797
2021-02-23,4.797
2021-02-24,4.797
2021-02-25,4.797
2021-02-26,4.797
2021-02-27,4.797
2021-02-28,4.797
2021-03-01,4.797
2021-03-02,4.797
2021-03-03,4.797
2021-03-04,4.797
2021-03-05,4.797
2021-03-06,4.797
2021-03-07,4.797
2021-03-08,4.797
2021-03-09,4.797
2021-03-10,4.797
2021-03-11,4.797
2021-03-12,4.797
2021-03-13,4.797
2021-03-14,4.797
2021-03-15,4.797
2021-03-16,4.797
2021-03-17,4.797
2021-03-18,4.797
2021-03-19,4.797
2021-03-20,4.797
2021-03-21,4.797
2021-03-22,4.797
2021-03-23,4.797
2021-03-24,4.797
2021-03-25,4.797
2021-03-26,4.797
2021-03-27,4.797
2021-03-28,4.797
2021-03-29,4.797
2021-03-30,4.797
2021-03-31,4.797
2021-04-01,4.797
2021-04-02,4.797
2021-04-03,4.797
2021-04-04,4.797
2021-04-05,4.797
2021-04-06,4.797
2021-04-07,4.797
2021-04-08,4.797
2021-04-09,4.797
2021-04-10,4.797
2021-04-11,4.797
2021-04-12,4.797
2021-04-13,4.797
2021-04-14,4.797
2021-04-15,4.797
2021-04-16,4.797
2021-04-17,4.797
2021-04-18,4.797
2021-04-19,4.797
2021-04-20,4.797
2021-04-21,4.797
2021-04-22,4.797
2021-04-23,4.797
2021-04-24,4.797
2021-04-25,4.797
2021-04-26,4.797
2021-04-27,4.797
2021-04-28,4.797
2021-04-29,4.797
2021-04-30,4.797
2021-05-01,4.797
2021-05-02,4.797
2021-05-03,4.797
2021-05-04,4.797
2021-05-05,4.797
2021-05-06,4.797
2021-05-07,4.797
2021-05-08,4.797
2021-05-09,4.797
2021-05-10,4.797
2021-05-11,4.797
2021-05-12,4.797
2021-05-13,4.797
2021-05-14,4.797
2021-05-15,4.797
2021-05-16,4.797
2021-05-17,4.797
2021-05-18,4.797
2021-05-19,4.797
2021-05-20,4.797
2021-05-21,4.797
2021-05-22,4.797
2021-05-23,4.797
2021-05-24,4.797
2021-05-25,4.797
2021-05-26,4.797
2021-05-27,4.797
2021-05-28,4.797
2021-05-29,4.797
2021-05-30,4.797
2021-05-31,4.797
2021-06-01,4.797
2021-06-02,4.797
2021-06-03,4.797
2021-06-04,4.797
2021-06-05,4.797
2021-06-06,4.797
2021-06-07,4.797
2021-06-08,4.797
2021-06-09,4.797
2021-06-10,4.797
2021-06-11,4.797
2021-06-12,4.797
2021-06-13,4.797
2021-06-14,4.797
2021-06-15,4.797
2021-06-16,4.797
2021-06-17,4.797
2021-06-18,4.797
2021-06-19,4.797
2021-06-20,4.797
2021-06-21,4.797
2021-06-22,4.797
2021-06-23,4.797
2021-06-24,4.797
2021-06-25,4.797
2021-06-26,4.797
2021-06-27,4.797
2021-06-28,4.797
2021-06-29,4.797
2021-06-30,4.797
2021-07-01,4.797
2021-07-02,4.797
2021-07-03,4.797
2021-07-04,4.797
2021-07-05,4.797
2021-07-06,4.797
2021-07-07,4.797
2021-07-08,4.797
2021-07-09,4.797
2021-07-10,4.797
2021-07-11,4.797
2021-07-12,4.797
2021-07-13,4.797
2021-07-14,4.797
2021-07-15,4.797
2021-07-16,4.797
2021-07-17,4.797
2021-07-18,4.797
2021-07-19,4.797
2021-07-20,4.797
2021-07-21,4.797
2021-07-22,4.797
2021-07-23,4.797
2021-07-24,4.797
2021-07-25,4.797
2021-07-26,4.797
2021-07-27,4.797
2021-07-28,4.797
2021-07-29,4.797
2021-07-30,4.797
2021-07-31,4.797
2021-08-01,4.797
2021-08-02,4.797
2021-08-03,4.797
2021-08-04,4.797
2021-08-05,4.797
2021-08-06,4.797
2021-08-07,4.797
2021-08-08,4.797
2021-08-09,4.797
2021-08-10,4.797
2021-08-11,4.797
2021-08-12,4.797
2021-08-13,4.797
2021-08-14,4.797
2021-08-15,4.797
2021-08-16,4.797
2021-08-17,4.797
2021-08-18,4.797
2021-08-19,4.797
2021-08-20,4.797
2021-08-21,4.797
2021-08-22,4.797
2021-08-23,4.797
2021-08-24,4.797
2021-08-25,4.797
2021-08-26,4.797
2021-08-27,4.797
2021-08-28,4.797
2021-08-29,4.797
2021-08-30,4.797
2021-08-31,4.797
2021-09-01,4.797
2021-09-02,4.797
2021-09-03,4.797
2021-09-04,4.797
2021-09-05,4.797
2021-09-06,4.797
2021-09-07,4.797
2021-09-08,4.797
2021-09-09,4.797
2021-09-10,4.797
2021-09-11,4.797
2021-09-12,4.797
2021-09-13,4.797
2021-09-14,11.272
2021-09-15,12.233
2021-09-16,12.623
2021-09-17,12.616
2021-09-18,12.616
2021-09-19,12.616
2021-09-20,12.399
2021-09-21,12.385
2021-09-22,12.37
2021-09-23,12.652
2021-09-24,12.435
2021-09-25,12.435
2021-09-26,12.435
2021-09-27,12.796
2021-09-28,12.637
2021-09-29,12.385
2021-09-30,12.255
2021-10-01,12.976
2021-10-02,12.976
2021-10-03,12.976
2021-10-04,12.868
2021-10-05,13.106
2021-10-06,12.608
2021-10-07,12.681
2021-10-08,12.551
2021-10-09,12.551
2021-10-10,12.551
2021-10-11,12.479
2021-10-12,12.37
2021-10-13,12.471
2021-10-14,12.515
2021-10-15,12.479
2021-10-16,12.479
2021-10-17,12.479
2021-10-18,12.356
2021-10-19,12.507
2021-10-20,12.306
2021-10-21,12.522
2021-10-22,12.5
2021-10-23,12.5
2021-10-24,12.5
2021-10-25,12.349
2021-10-26,12.284
2021-10-27,11.974
2021-10-28,12.132
2021-10-29,12.493
2021-10-30,12.493
2021-10-31,12.493
2021-11-01,12.239
2021-11-02,11.657
2021-11-03,12.336
2021-11-04,10.174
2021-11-05,10.689
2021-11-06,10.689
2021-11-07,10.689
2021-11-08,10.96
2021-11-09,10.852
2021-11-10,10.644
2021-11-11,10.183
2021-11-12,10.093
2021-11-13,10.093
2021-11-14,10.093
2021-11-15,9.921
2021-11-16,10.075
2021-11-17,10.029
2021-11-18,9.776
2021-11-19,9.939
2021-11-20,9.939
2021-11-21,9.939
2021-11-22,9.876
2021-11-23,10.066
2021-11-24,10.011
2021-11-25,10.011
2021-11-26,9.758
2021-11-27,9.758
2021-11-28,9.758
2021-11-29,9.523
2021-11-30,9.036
2021-12-01,8.81
2021-12-02,9.18
2021-12-03,9.126
2021-12-04,9.126
2021-12-05,9.126
2021-12-06,9.46
2021-12-07,9.532
2021-12-08,9.894
2021-12-09,9.496
2021-12-10,9.469
2021-12-11,9.469
2021-12-12,9.469
2021-12-13,9.699
2021-12-14,9.718
2021-12-15,9.928
2021-12-16,10.177
2021-12-17,10.684
2021-12-18,10.684
2021-12-19,10.684
2021-12-20,10.961
2021-12-21,11.841
2021-12-22,11.468
2021-12-23,11.65
2021-12-24,11.65
2021-12-25,11.65
2021-12-26,11.65
2021-12-27,11.526
2021-12-28,11.459
2021-12-29,11.516
2021-12-30,11.583
2021-12-31,11.707
2022-01-01,11.707
2022-01-02,11.707
2022-01-03,11.487
2022-01-04,11.487
2022-01-05,11.411
2022-01-06,11.545
2022-01-07,11.612
2022-01-08,11.612
2022-01-09,11.612
2022-01-10,11.535
2022-01-11,11.573
2022-01-12,11.478
2022-01-13,11.334
2022-01-14,11.392
2022-01-15,11.392
2022-01-16,11.392
2022-01-17,11.392
2022-01-18,11.248
2022-01-19,11.267
2022-01-20,11.296
2022-01-21,11.2
2022-01-22,11.2
2022-01-23,11.2
2022-01-24,11.296
2022-01-25,11.239
2022-01-26,11.277
2022-01-27,11.028
2022-01-28,11.545
2022-01-29,11.545
2022-01-30,11.545
2022-01-31,12.1
2022-02-01,11.717
2022-02-02,11.832
2022-02-03,11.717
2022-02-04,12.004
2022-02-05,12.004
2022-02-06,12.004
2022-02-07,11.803
2022-02-08,11.947
2022-02-09,9.712
2022-02-10,9.369
2022-02-11,9.146
2022-02-12,9.146
2022-02-13,9.146
2022-02-14,9.31
2022-02-15,9.28
2022-02-16,9.369
2022-02-17,9.108
2022-02-18,8.974
2022-02-19,8.974
2022-02-20,8.974
2022-02-21,8.974
2022-02-22,8.907
2022-02-23,8.885
2022-02-24,8.736
2022-02-25,8.452
2022-02-26,8.452
2022-02-27,8.452
2022-02-28,8.08
2022-03-01,8.452
2022-03-02,8.452
2022-03-03,8.534
2022-03-04,8.467
2022-03-05,8.467
2022-03-06,8.467
2022-03-07,8.631
2022-03-08,8.773
2022-03-09,8.907
2022-03-10,9.064
2022-03-11,9.056
2022-03-12,9.056
2022-03-13,9.056
2022-03-14,8.93
2022-03-15,9.451
2022-03-16,9.451
2022-03-17,9.332
2022-03-18,9.31
2022-03-19,9.31
2022-03-20,9.31
2022-03-21,9.459
2022-03-22,9.466
2022-03-23,9.526
2022-03-24,9.675
2022-03-25,9.772
2022-03-26,9.772
2022-03-27,9.772
2022-03-28,9.72
2022-03-29,9.556
2022-03-30,9.116
2022-03-31,8.833
2022-04-01,8.907
2022-04-02,8.907
2022-04-03,8.907
2022-04-04,8.773
2022-04-05,8.609
2022-04-06,8.467
2022-04-07,8.534
2022-04-08,8.639
2022-04-09,8.639
2022-04-10,8.639
2022-04-11,8.594
2022-04-12,8.654
2022-04-13,8.877
2022-04-14,8.982
2022-04-15,8.982
2022-04-16,8.982
2022-04-17,8.982
2022-04-18,8.989
2022-04-19,8.616
2022-04-20,8.736
2022-04-21,8.646
2022-04-22,8.46
2022-04-23,8.46
2022-04-24,8.46
2022-04-25,8.676
2022-04-26,8.669
2022-04-27,8.706
2022-04-28,8.631
2022-04-29,8.445
2022-04-30,8.445
2022-05-01,8.445
2022-05-02,8.438
2022-05-03,8.445
2022-05-04,8.467
2022-05-05,8.052
2022-05-06,7.863
2022-05-07,7.863
2022-05-08,7.863
2022-05-09,7.722
2022-05-10,7.729
2022-05-11,7.594
2022-05-12,7.742
2022-05-13,7.729
2022-05-14,7.729
2022-05-15,7.729
2022-05-16,7.863
2022-05-17,8.2
2022-05-18,8.166
2022-05-19,8.341
2022-05-20,8.435
2022-05-21,8.435
2022-05-22,8.435
2022-05-23,8.455
2022-05-24,8.469
2022-05-25,8.704
2022-05-26,8.758
2022-05-27,8.96
2022-05-28,8.96
2022-05-29,8.96
2022-05-30,8.96
2022-05-31,8.326
2022-06-01,8.385
2022-06-02,8.594
2022-06-03,8.601
2022-06-04,8.601
2022-06-05,8.601
2022-06-06,8.483
2022-06-07,8.489
2022-06-08,8.13
2022-06-09,8.032
2022-06-10,7.848
2022-06-11,7.848
2022-06-12,7.848
2022-06-13,7.567
2022-06-14,7.45
2022-06-15,7.463
2022-06-16,7.279
2022-06-17,7.456
2022-06-18,7.456
2022-06-19,7.456
2022-06-20,7.456
2022-06-21,7.489
2022-06-22,7.064
2022-06-23,7.162
2022-06-24,7.423
2022-06-25,7.423
2022-06-26,7.423
2022-06-27,7.502
2022-06-28,7.41
2022-06-29,7.358
2022-06-30,7.567
2022-07-01,7.665
2022-07-02,7.665
2022-07-03,7.665
2022-07-04,7.665
2022-07-05,7.417
2022-07-06,7.41
2022-07-07,7.436
2022-07-08,7.502
2022-07-09,7.502
2022-07-10,7.502
2022-07-11,7.469
2022-07-12,7.293
2022-07-13,7.404
2022-07-14,7.221
2022-07-15,7.469
2022-07-16,7.469
2022-07-17,7.469
2022-07-18,7.521
2022-07-19,7.724
2022-07-20,7.737
2022-07-21,7.685
2022-07-22,7.606
2022-07-23,7.606
2022-07-24,7.606
2022-07-25,7.659
2022-07-26,7.652
2022-07-27,7.711
2022-07-28,7.816
2022-07-29,7.744
2022-07-30,7.744
2022-07-31,7.744
2022-08-01,7.561
2022-08-02,7.528
2022-08-03,7.535
2022-08-04,7.783
2022-08-05,6.584
2022-08-06,6.584
2022-08-07,6.584
2022-08-08,6.584
2022-08-09,6.613
2022-08-10,6.713
2022-08-11,6.631
2022-08-12,6.684
2022-08-13,6.684
2022-08-14,6.684
2022-08-15,6.796
2022-08-16,6.754
2022-08-17,6.69
2022-08-18,6.69
2022-08-19,6.719
2022-08-20,6.719
2022-08-21,6.719
2022-08-22,6.672
2022-08-23,6.625
2022-08-24,6.554
2022-08-25,6.584
2022-08-26,6.377
2022-08-27,6.377
2022-08-28,6.377
2022-08-29,6.478
2022-08-30,6.483
2022-08-31,6.489
2022-09-01,6.501
2022-09-02,6.436
2022-09-03,6.436
2022-09-04,6.436
2022-09-05,6.436
2022-09-06,6.466
2022-09-07,6.536
2022-09-08,6.501
2022-09-09,6.566
2022-09-10,6.566
2022-09-11,6.566
2022-09-12,6.801
2022-09-13,6.713
2022-09-14,6.642
2022-09-15,6.813
2022-09-16,6.778
2022-09-17,6.778
2022-09-18,6.778
2022-09-19,6.866
2022-09-20,7.025
2022-09-21,6.984
2022-09-22,6.801
2022-09-23,6.642
2022-09-24,6.642
2022-09-25,6.642
2022-09-26,6.478
2022-09-27,6.382
2022-09-28,6.643
2022-09-29,6.764
2022-09-30,6.72
2022-10-01,6.72
2022-10-02,6.72
2022-10-03,6.72
2022-10-04,7.013
2022-10-05,7.038
2022-10-06,7.935
2022-10-07,7.411
2022-10-08,7.411
2022-10-09,7.411
2022-10-10,7.481
2022-10-11,7.397
2022-10-12,7.565
2022-10-13,7.593
2022-10-14,7.271
2022-10-15,7.271
2022-10-16,7.271
2022-10-17,7.544
2022-10-18,7.669
2022-10-19,7.558
2022-10-20,7.502
2022-10-21,7.648
2022-10-22,7.648
2022-10-23,7.648
2022-10-24,7.69
2022-10-25,8.592
2022-10-26,8.739
2022-10-27,8.914
2022-10-28,8.935
2022-10-29,8.935
2022-10-30,8.935
2022-10-31,8.837
2022-11-01,8.844
2022-11-02,8.362
2022-11-03,9.262
2022-11-04,9.13
2022-11-05,9.13
2022-11-06,9.13
2022-11-07,9.115
2022-11-08,8.816
2022-11-09,9.115
2022-11-10,9.55
2022-11-11,9.356
2022-11-12,9.356
2022-11-13,9.356
2022-11-14,9.395
2022-11-15,9.426
2022-11-16,8.363
2022-11-17,7.797
2022-11-18,7.921
2022-11-19,7.921
2022-11-20,7.921
2022-11-21,8.115
2022-11-22,8.138
2022-11-23,7.913
2022-11-24,7.913
2022-11-25,7.999
2022-11-26,7.999
2022-11-27,7.999
2022-11-28,7.96
2022-11-29,7.929
2022-11-30,8.131
2022-12-01,7.991
2022-12-02,7.937
2022-12-03,7.937
2022-12-04,7.937
2022-12-05,7.875
2022-12-06,7.882
2022-12-07,7.82
2022-12-08,7.564
2022-12-09,7.681
2022-12-10,7.681
2022-12-11,7.681
2022-12-12,7.758
2022-12-13,7.851
2022-12-14,7.758
2022-12-15,7.712
2022-12-16,7.363
2022-12-17,7.363
2022-12-18,7.363
2022-12-19,7.238
2022-12-20,7.3
2022-12-21,7.51
2022-12-22,7.518
2022-12-23,7.51
2022-12-24,7.51
2022-12-25,7.51
2022-12-26,7.51
2022-12-27,7.588
2022-12-28,7.502
2022-12-29,7.595
2022-12-30,7.463
2022-12-31,7.463
2023-01-01,7.463
2023-01-02,7.463
2023-01-03,7.626
2023-01-04,7.603
2023-01-05,7.572
2023-01-06,7.564
2023-01-07,7.564
2023-01-08,7.564
2023-01-09,7.456
2023-01-10,7.681
2023-01-11,7.611
2023-01-12,7.712
2023-01-13,7.805
2023-01-14,7.805
2023-01-15,7.805
2023-01-16,7.805
2023-01-17,7.966
2023-01-18,8.028
2023-01-19,7.958
2023-01-20,8.805
2023-01-21,8.805
2023-01-22,8.805
2023-01-23,8.739
2023-01-24,8.92
2023-01-25,9.036
2023-01-26,9.052
2023-01-27,9.052
2023-01-28,9.052
2023-01-29,9.052
2023-01-30,8.986
2023-01-31,9.036
2023-02-01,9.283
2023-02-02,9.2
2023-02-03,9.25
2023-02-04,9.25
2023-02-05,9.25
2023-02-06,8.789
2023-02-07,8.772
2023-02-08,8.721
2023-02-09,8.78
2023-02-10,8.78
2023-02-11,8.78
2023-02-12,8.78
2023-02-13,8.744
2023-02-14,8.646
2023-02-15,8.703
2023-02-16,8.744
2023-02-17,8.801
2023-02-18,8.801
2023-02-19,8.801
2023-02-20,8.801
2023-02-21,8.621
2023-02-22,8.499
2023-02-23,9.815
2023-02-24,9.937
2023-02-25,9.937
2023-02-26,9.937
2023-02-27,9.854
2023-02-28,9.845
2023-03-01,9.588
2023-03-02,9.729
2023-03-03,9.887
2023-03-04,9.887
2023-03-05,9.887
2023-03-06,9.845
2023-03-07,9.845
2023-03-08,9.878
2023-03-09,9.729
2023-03-10,9.58
2023-03-11,9.58
2023-03-12,9.58
2023-03-13,9.488
2023-03-14,9.721
2023-03-15,9.629
2023-03-16,9.671
2023-03-17,9.538
2023-03-18,9.538
2023-03-19,9.538
2023-03-20,9.522
2023-03-21,9.505
2023-03-22,9.355
2023-03-23,9.43
2023-03-24,9.555
2023-03-25,9.555
2023-03-26,9.555
2023-03-27,9.704
2023-03-28,9.654
2023-03-29,9.588
2023-03-30,9.646
2023-03-31,9.762
2023-04-01,9.762
2023-04-02,9.762
2023-04-03,9.555
2023-04-04,9.447
2023-04-05,9.463
2023-04-06,9.372
2023-04-07,9.372
2023-04-08,9.372
2023-04-09,9.372
2023-04-10,9.438
2023-04-11,9.571
2023-04-12,9.605
2023-04-13,9.878
2023-04-14,9.995
2023-04-15,9.995
2023-04-16,9.995
2023-04-17,9.978
2023-04-18,9.937
2023-04-19,9.795
2023-04-20,9.878
2023-04-21,9.953
2023-04-22,9.953
2023-04-23,9.953
2023-04-24,9.961
2023-04-25,10.111
2023-04-26,10.094
2023-04-27,10.194
2023-04-28,10.285
2023-04-29,10.285
2023-04-30,10.285
2023-05-01,10.302
2023-05-02,9.937
2023-05-03,9.87
2023-05-04,9.812
2023-05-05,8.822
2023-05-06,8.822
2023-05-07,8.822
2023-05-08,9.666
2023-05-09,9.65
2023-05-10,9.707
2023-05-11,9.699
2023-05-12,9.715
2023-05-13,9.715
2023-05-14,9.715
2023-05-15,9.699
2023-05-16,9.666
2023-05-17,9.715
2023-05-18,9.949
2023-05-19,9.949
2023-05-20,9.949
2023-05-21,9.949
2023-05-22,9.917
2023-05-23,9.966
2023-05-24,9.941
2023-05-25,10.022
2023-05-26,10.022
2023-05-27,10.022
2023-05-28,10.022
2023-05-29,10.022
2023-05-30,9.885
2023-05-31,9.788
2023-06-01,9.893
2023-06-02,10.075
2023-06-03,10.075
2023-06-04,10.075
2023-06-05,9.982
2023-06-06,10.079
2023-06-07,10.16
2023-06-08,9.998
2023-06-09,9.893
2023-06-10,9.893
2023-06-11,9.893
2023-06-12,9.755
2023-06-13,9.642
2023-06-14,9.432
2023-06-15,9.488
2023-06-16,9.513
2023-06-17,9.513
2023-06-18,9.513
2023-06-19,9.513
2023-06-20,9.488
2023-06-21,9.615
2023-06-22,9.528
2023-06-23,9.188
2023-06-24,9.188
2023-06-25,9.188
2023-06-26,9.283
2023-06-27,9.235
2023-06-28,8.982
2023-06-29,9.283
2023-06-30,10.429
2023-07-01,10.429
2023-07-02,10.429
2023-07-03,10.394
2023-07-04,10.394
2023-07-05,10.532
2023-07-06,10.239
2023-07-07,10.368
2023-07-08,10.368
2023-07-09,10.368
2023-07-10,10.463
2023-07-11,10.61
2023-07-12,10.523
2023-07-13,10.636
2023-07-14,10.722
2023-07-15,10.722
2023-07-16,10.722
2023-07-17,10.679
2023-07-18,10.73
2023-07-19,10.739
2023-07-20,10.696
2023-07-21,10.782
2023-07-22,10.782
2023-07-23,10.782
2023-07-24,10.834
2023-07-25,10.825
2023-07-26,10.774
2023-07-27,10.825
2023-07-28,10.989
2023-07-29,10.989
2023-07-30,10.989
2023-07-31,11.058
2023-08-01,11.213
2023-08-02,11.024
2023-08-03,11.003
2023-08-04,11.145
2023-08-05,11.145
2023-08-06,11.145
2023-08-07,11.101
2023-08-08,11.062
2023-08-09,11.275
2023-08-10,11.331
2023-08-11,11.323
2023-08-12,11.323
2023-08-13,11.323
2023-08-14,11.378
2023-08-15,11.56
2023-08-16,11.283
2023-08-17,11.307
2023-08-18,11.259
2023-08-19,11.259
2023-08-20,11.259
2023-08-21,11.267
2023-08-22,11.172
2023-08-23,11.283
2023-08-24,11.228
2023-08-25,11.038
2023-08-26,11.038
2023-08-27,11.038
2023-08-28,11.046
2023-08-29,10.975
2023-08-30,10.927
2023-08-31,11.014
2023-09-01,11.228
2023-09-02,11.228
2023-09-03,11.228
2023-09-04,11.228
2023-09-05,10.698
2023-09-06,10.516
2023-09-07,10.611
2023-09-08,10.603
2023-09-09,10.603
2023-09-10,10.603
