,NGVT US Equity
2020-11-29,13.828
2020-11-30,13.451
2020-12-01,13.683
2020-12-02,14.063
2020-12-03,13.796
2020-12-04,14.172
2020-12-05,14.172
2020-12-06,14.172
2020-12-07,14.21
2020-12-08,14.578
2020-12-09,14.689
2020-12-10,14.653
2020-12-11,14.4
2020-12-12,14.4
2020-12-13,14.4
2020-12-14,14.176
2020-12-15,14.808
2020-12-16,14.57
2020-12-17,14.802
2020-12-18,14.576
2020-12-19,14.576
2020-12-20,14.576
2020-12-21,14.58
2020-12-22,14.58
2020-12-23,14.945
2020-12-24,15.008
2020-12-25,15.008
2020-12-26,15.008
2020-12-27,15.008
2020-12-28,15.059
2020-12-29,14.899
2020-12-30,15.267
2020-12-31,15.299
2021-01-01,15.299
2021-01-02,15.299
2021-01-03,15.299
2021-01-04,14.622
2021-01-05,15.248
2021-01-06,15.832
2021-01-07,15.59
2021-01-08,15.224
2021-01-09,15.224
2021-01-10,15.224
2021-01-11,15.182
2021-01-12,15.695
2021-01-13,14.992
2021-01-14,14.925
2021-01-15,14.832
2021-01-16,14.832
2021-01-17,14.832
2021-01-18,14.832
2021-01-19,14.691
2021-01-20,14.768
2021-01-21,14.576
2021-01-22,14.638
2021-01-23,14.638
2021-01-24,14.638
2021-01-25,14.289
2021-01-26,13.741
2021-01-27,13.618
2021-01-28,13.713
2021-01-29,13.271
2021-01-30,13.271
2021-01-31,13.271
2021-02-01,13.921
2021-02-02,14.109
2021-02-03,14.081
2021-02-04,14.259
2021-02-05,14.636
2021-02-06,14.636
2021-02-07,14.636
2021-02-08,15.0
2021-02-09,14.814
2021-02-10,14.768
2021-02-11,13.836
2021-02-12,14.133
2021-02-13,14.133
2021-02-14,14.133
2021-02-15,14.133
2021-02-16,14.03
2021-02-17,14.101
2021-02-18,13.976
2021-02-19,12.88
2021-02-20,12.88
2021-02-21,12.88
2021-02-22,13.039
2021-02-23,12.915
2021-02-24,12.956
2021-02-25,12.748
2021-02-26,12.796
2021-02-27,12.796
2021-02-28,12.796
2021-03-01,13.179
2021-03-02,12.77
2021-03-03,12.952
2021-03-04,12.801
2021-03-05,13.37
2021-03-06,13.37
2021-03-07,13.37
2021-03-08,13.628
2021-03-09,13.597
2021-03-10,14.024
2021-03-11,14.221
2021-03-12,14.361
2021-03-13,14.361
2021-03-14,14.361
2021-03-15,14.663
2021-03-16,14.457
2021-03-17,14.477
2021-03-18,14.18
2021-03-19,13.869
2021-03-20,13.869
2021-03-21,13.869
2021-03-22,13.827
2021-03-23,13.221
2021-03-24,13.241
2021-03-25,13.635
2021-03-26,14.098
2021-03-27,14.098
2021-03-28,14.098
2021-03-29,13.89
2021-03-30,14.162
2021-03-31,13.91
2021-04-01,13.947
2021-04-02,13.947
2021-04-03,13.947
2021-04-04,13.947
2021-04-05,13.766
2021-04-06,13.7
2021-04-07,13.158
2021-04-08,13.068
2021-04-09,13.168
2021-04-10,13.168
2021-04-11,13.168
2021-04-12,13.123
2021-04-13,13.192
2021-04-14,13.33
2021-04-15,13.416
2021-04-16,13.652
2021-04-17,13.652
2021-04-18,13.652
2021-04-19,13.483
2021-04-20,12.974
2021-04-21,13.11
2021-04-22,13.192
2021-04-23,13.436
2021-04-24,13.436
2021-04-25,13.436
2021-04-26,13.667
2021-04-27,13.729
2021-04-28,13.969
2021-04-29,12.301
2021-04-30,11.921
2021-05-01,11.921
2021-05-02,11.921
2021-05-03,12.539
2021-05-04,12.977
2021-05-05,13.203
2021-05-06,13.191
2021-05-07,13.373
2021-05-08,13.373
2021-05-09,13.373
2021-05-10,13.24
2021-05-11,13.261
2021-05-12,13.037
2021-05-13,13.553
2021-05-14,13.624
2021-05-15,13.624
2021-05-16,13.624
2021-05-17,13.65
2021-05-18,13.51
2021-05-19,13.285
2021-05-20,13.069
2021-05-21,12.974
2021-05-22,12.974
2021-05-23,12.974
2021-05-24,13.096
2021-05-25,12.658
2021-05-26,12.667
2021-05-27,12.718
2021-05-28,12.566
2021-05-29,12.566
2021-05-30,12.566
2021-05-31,12.566
2021-06-01,13.053
2021-06-02,12.757
2021-06-03,12.904
2021-06-04,13.084
2021-06-05,13.084
2021-06-06,13.084
2021-06-07,12.779
2021-06-08,12.821
2021-06-09,12.649
2021-06-10,12.666
2021-06-11,12.765
2021-06-12,12.765
2021-06-13,12.765
2021-06-14,12.327
2021-06-15,12.38
2021-06-16,12.356
2021-06-17,12.151
2021-06-18,12.166
2021-06-19,12.166
2021-06-20,12.166
2021-06-21,12.331
2021-06-22,12.438
2021-06-23,12.443
2021-06-24,12.673
2021-06-25,12.499
2021-06-26,12.499
2021-06-27,12.499
2021-06-28,12.25
2021-06-29,12.171
2021-06-30,12.421
2021-07-01,12.542
2021-07-02,12.516
2021-07-03,12.516
2021-07-04,12.516
2021-07-05,12.516
2021-07-06,12.099
2021-07-07,12.427
2021-07-08,12.31
2021-07-09,12.53
2021-07-10,12.53
2021-07-11,12.53
2021-07-12,12.711
2021-07-13,12.426
2021-07-14,12.434
2021-07-15,12.339
2021-07-16,12.066
2021-07-17,12.066
2021-07-18,12.066
2021-07-19,11.646
2021-07-20,11.921
2021-07-21,11.971
2021-07-22,11.924
2021-07-23,12.22
2021-07-24,12.22
2021-07-25,12.22
2021-07-26,12.53
2021-07-27,12.647
2021-07-28,12.713
2021-07-29,13.484
2021-07-30,13.118
2021-07-31,13.118
2021-08-01,13.118
2021-08-02,12.967
2021-08-03,12.93
2021-08-04,12.415
2021-08-05,12.487
2021-08-06,12.574
2021-08-07,12.574
2021-08-08,12.574
2021-08-09,12.279
2021-08-10,12.351
2021-08-11,12.715
2021-08-12,12.667
2021-08-13,12.85
2021-08-14,12.85
2021-08-15,12.85
2021-08-16,12.632
2021-08-17,12.506
2021-08-18,12.2
2021-08-19,11.857
2021-08-20,11.834
2021-08-21,11.834
2021-08-22,11.834
2021-08-23,12.081
2021-08-24,12.119
2021-08-25,12.4
2021-08-26,12.095
2021-08-27,12.517
2021-08-28,12.517
2021-08-29,12.517
2021-08-30,12.391
2021-08-31,12.264
2021-09-01,12.214
2021-09-02,12.265
2021-09-03,12.021
2021-09-04,12.021
2021-09-05,12.021
2021-09-06,12.021
2021-09-07,11.931
2021-09-08,11.643
2021-09-09,11.747
2021-09-10,11.234
2021-09-11,11.234
2021-09-12,11.234
2021-09-13,11.378
2021-09-14,11.269
2021-09-15,11.306
2021-09-16,11.133
2021-09-17,10.924
2021-09-18,10.924
2021-09-19,10.924
2021-09-20,10.891
2021-09-21,10.683
2021-09-22,10.618
2021-09-23,10.862
2021-09-24,11.007
2021-09-25,11.007
2021-09-26,11.007
2021-09-27,11.129
2021-09-28,11.069
2021-09-29,11.127
2021-09-30,10.888
2021-10-01,11.346
2021-10-02,11.346
2021-10-03,11.346
2021-10-04,11.451
2021-10-05,11.32
2021-10-06,11.312
2021-10-07,11.562
2021-10-08,11.5
2021-10-09,11.5
2021-10-10,11.5
2021-10-11,11.431
2021-10-12,11.458
2021-10-13,11.623
2021-10-14,11.95
2021-10-15,11.892
2021-10-16,11.892
2021-10-17,11.892
2021-10-18,11.858
2021-10-19,11.803
2021-10-20,11.997
2021-10-21,12.05
2021-10-22,11.995
2021-10-23,11.995
2021-10-24,11.995
2021-10-25,12.009
2021-10-26,12.003
2021-10-27,11.643
2021-10-28,11.891
2021-10-29,11.84
2021-10-30,11.84
2021-10-31,11.84
2021-11-01,11.898
2021-11-02,12.008
2021-11-03,12.059
2021-11-04,11.988
2021-11-05,12.488
2021-11-06,12.488
2021-11-07,12.488
2021-11-08,12.35
2021-11-09,12.018
2021-11-10,12.284
2021-11-11,12.026
2021-11-12,12.223
2021-11-13,12.223
2021-11-14,12.223
2021-11-15,12.173
2021-11-16,11.547
2021-11-17,11.612
2021-11-18,11.515
2021-11-19,11.584
2021-11-20,11.584
2021-11-21,11.584
2021-11-22,11.606
2021-11-23,11.625
2021-11-24,11.452
2021-11-25,11.452
2021-11-26,10.918
2021-11-27,10.918
2021-11-28,10.918
2021-11-29,10.882
2021-11-30,10.567
2021-12-01,10.53
2021-12-02,10.701
2021-12-03,10.694
2021-12-04,10.694
2021-12-05,10.694
2021-12-06,11.302
2021-12-07,11.093
2021-12-08,11.221
2021-12-09,11.226
2021-12-10,10.86
2021-12-11,10.86
2021-12-12,10.86
2021-12-13,10.535
2021-12-14,10.364
2021-12-15,10.378
2021-12-16,10.304
2021-12-17,10.561
2021-12-18,10.561
2021-12-19,10.561
2021-12-20,10.235
2021-12-21,10.456
2021-12-22,10.466
2021-12-23,10.572
2021-12-24,10.572
2021-12-25,10.572
2021-12-26,10.572
2021-12-27,10.689
2021-12-28,10.638
2021-12-29,10.667
2021-12-30,10.62
2021-12-31,10.536
2022-01-01,10.536
2022-01-02,10.536
2022-01-03,10.3
2022-01-04,10.413
2022-01-05,10.208
2022-01-06,10.319
2022-01-07,10.128
2022-01-08,10.128
2022-01-09,10.128
2022-01-10,10.03
2022-01-11,10.299
2022-01-12,10.173
2022-01-13,10.228
2022-01-14,10.179
2022-01-15,10.179
2022-01-16,10.179
2022-01-17,10.179
2022-01-18,10.003
2022-01-19,9.908
2022-01-20,9.767
2022-01-21,9.445
2022-01-22,9.445
2022-01-23,9.445
2022-01-24,9.341
2022-01-25,9.313
2022-01-26,9.192
2022-01-27,8.94
2022-01-28,8.938
2022-01-29,8.938
2022-01-30,8.938
2022-01-31,9.07
2022-02-01,9.15
2022-02-02,9.125
2022-02-03,8.878
2022-02-04,8.694
2022-02-05,8.694
2022-02-06,8.694
2022-02-07,8.874
2022-02-08,8.935
2022-02-09,9.136
2022-02-10,8.89
2022-02-11,8.914
2022-02-12,8.914
2022-02-13,8.914
2022-02-14,8.828
2022-02-15,9.167
2022-02-16,9.172
2022-02-17,9.188
2022-02-18,9.147
2022-02-19,9.147
2022-02-20,9.147
2022-02-21,9.147
2022-02-22,9.015
2022-02-23,9.056
2022-02-24,9.072
2022-02-25,9.405
2022-02-26,9.405
2022-02-27,9.405
2022-02-28,9.356
2022-03-01,9.14
2022-03-02,9.276
2022-03-03,9.191
2022-03-04,8.714
2022-03-05,8.714
2022-03-06,8.714
2022-03-07,7.815
2022-03-08,8.091
2022-03-09,8.744
2022-03-10,8.511
2022-03-11,8.786
2022-03-12,8.786
2022-03-13,8.786
2022-03-14,8.667
2022-03-15,8.736
2022-03-16,8.938
2022-03-17,8.855
2022-03-18,8.909
2022-03-19,8.909
2022-03-20,8.909
2022-03-21,8.878
2022-03-22,8.895
2022-03-23,8.943
2022-03-24,9.006
2022-03-25,9.0
2022-03-26,9.0
2022-03-27,9.0
2022-03-28,9.008
2022-03-29,9.314
2022-03-30,8.982
2022-03-31,8.849
2022-04-01,8.965
2022-04-02,8.965
2022-04-03,8.965
2022-04-04,8.61
2022-04-05,8.388
2022-04-06,8.388
2022-04-07,8.34
2022-04-08,8.502
2022-04-09,8.502
2022-04-10,8.502
2022-04-11,8.388
2022-04-12,8.349
2022-04-13,8.499
2022-04-14,8.498
2022-04-15,8.498
2022-04-16,8.498
2022-04-17,8.498
2022-04-18,8.411
2022-04-19,8.753
2022-04-20,8.788
2022-04-21,8.574
2022-04-22,8.341
2022-04-23,8.341
2022-04-24,8.341
2022-04-25,8.373
2022-04-26,8.14
2022-04-27,8.104
2022-04-28,8.285
2022-04-29,8.164
2022-04-30,8.164
2022-05-01,8.164
2022-05-02,8.209
2022-05-03,8.239
2022-05-04,8.572
2022-05-05,9.14
2022-05-06,9.34
2022-05-07,9.34
2022-05-08,9.34
2022-05-09,9.106
2022-05-10,8.739
2022-05-11,8.77
2022-05-12,8.681
2022-05-13,9.009
2022-05-14,9.009
2022-05-15,9.009
2022-05-16,8.97
2022-05-17,9.272
2022-05-18,9.24
2022-05-19,9.315
2022-05-20,9.252
2022-05-21,9.252
2022-05-22,9.252
2022-05-23,9.336
2022-05-24,9.415
2022-05-25,9.363
2022-05-26,9.565
2022-05-27,9.619
2022-05-28,9.619
2022-05-29,9.619
2022-05-30,9.619
2022-05-31,9.541
2022-06-01,9.599
2022-06-02,10.036
2022-06-03,9.911
2022-06-04,9.911
2022-06-05,9.911
2022-06-06,9.992
2022-06-07,10.147
2022-06-08,9.977
2022-06-09,10.014
2022-06-10,9.66
2022-06-11,9.66
2022-06-12,9.66
2022-06-13,9.219
2022-06-14,9.191
2022-06-15,9.28
2022-06-16,8.591
2022-06-17,8.408
2022-06-18,8.408
2022-06-19,8.408
2022-06-20,8.408
2022-06-21,8.569
2022-06-22,8.565
2022-06-23,8.472
2022-06-24,8.769
2022-06-25,8.769
2022-06-26,8.769
2022-06-27,8.746
2022-06-28,8.725
2022-06-29,8.622
2022-06-30,8.646
2022-07-01,8.691
2022-07-02,8.691
2022-07-03,8.691
2022-07-04,8.691
2022-07-05,8.494
2022-07-06,8.473
2022-07-07,8.743
2022-07-08,8.721
2022-07-09,8.721
2022-07-10,8.721
2022-07-11,8.743
2022-07-12,8.728
2022-07-13,8.554
2022-07-14,8.383
2022-07-15,8.533
2022-07-16,8.533
2022-07-17,8.533
2022-07-18,8.461
2022-07-19,8.816
2022-07-20,8.836
2022-07-21,8.854
2022-07-22,8.735
2022-07-23,8.735
2022-07-24,8.735
2022-07-25,8.907
2022-07-26,8.814
2022-07-27,9.119
2022-07-28,9.253
2022-07-29,9.268
2022-07-30,9.268
2022-07-31,9.268
2022-08-01,9.211
2022-08-02,9.119
2022-08-03,9.72
2022-08-04,9.79
2022-08-05,9.535
2022-08-06,9.535
2022-08-07,9.535
2022-08-08,9.562
2022-08-09,9.517
2022-08-10,9.846
2022-08-11,10.043
2022-08-12,10.322
2022-08-13,10.322
2022-08-14,10.322
2022-08-15,10.092
2022-08-16,10.191
2022-08-17,10.047
2022-08-18,10.224
2022-08-19,10.036
2022-08-20,10.036
2022-08-21,10.036
2022-08-22,9.843
2022-08-23,10.026
2022-08-24,10.091
2022-08-25,10.305
2022-08-26,9.9
2022-08-27,9.9
2022-08-28,9.9
2022-08-29,9.882
2022-08-30,9.766
2022-08-31,9.639
2022-09-01,9.545
2022-09-02,9.538
2022-09-03,9.538
2022-09-04,9.538
2022-09-05,9.538
2022-09-06,9.093
2022-09-07,9.428
2022-09-08,9.386
2022-09-09,9.662
2022-09-10,9.662
2022-09-11,9.662
2022-09-12,9.934
2022-09-13,9.531
2022-09-14,9.349
2022-09-15,9.274
2022-09-16,8.8
2022-09-17,8.8
2022-09-18,8.8
2022-09-19,9.177
2022-09-20,8.947
2022-09-21,8.74
2022-09-22,8.714
2022-09-23,8.432
2022-09-24,8.432
2022-09-25,8.432
2022-09-26,8.322
2022-09-27,8.248
2022-09-28,8.501
2022-09-29,8.403
2022-09-30,8.332
2022-10-01,8.332
2022-10-02,8.332
2022-10-03,8.547
2022-10-04,8.868
2022-10-05,8.806
2022-10-06,8.842
2022-10-07,8.528
2022-10-08,8.528
2022-10-09,8.528
2022-10-10,8.642
2022-10-11,8.607
2022-10-12,8.515
2022-10-13,8.713
2022-10-14,8.542
2022-10-15,8.542
2022-10-16,8.542
2022-10-17,8.863
2022-10-18,9.043
2022-10-19,8.915
2022-10-20,8.673
2022-10-21,9.009
2022-10-22,9.009
2022-10-23,9.009
2022-10-24,8.993
2022-10-25,9.064
2022-10-26,9.107
2022-10-27,9.167
2022-10-28,9.219
2022-10-29,9.219
2022-10-30,9.219
2022-10-31,9.36
2022-11-01,9.457
2022-11-02,9.051
2022-11-03,9.828
2022-11-04,10.381
2022-11-05,10.381
2022-11-06,10.381
2022-11-07,10.262
2022-11-08,10.395
2022-11-09,10.141
2022-11-10,10.757
2022-11-11,10.986
2022-11-12,10.986
2022-11-13,10.986
2022-11-14,10.794
2022-11-15,11.167
2022-11-16,10.965
2022-11-17,10.91
2022-11-18,10.945
2022-11-19,10.945
2022-11-20,10.945
2022-11-21,10.986
2022-11-22,11.222
2022-11-23,11.207
2022-11-24,11.207
2022-11-25,11.144
2022-11-26,11.144
2022-11-27,11.144
2022-11-28,10.9
2022-11-29,10.783
2022-11-30,11.126
2022-12-01,10.998
2022-12-02,11.026
2022-12-03,11.026
2022-12-04,11.026
2022-12-05,10.745
2022-12-06,10.461
2022-12-07,10.526
2022-12-08,10.496
2022-12-09,10.229
2022-12-10,10.229
2022-12-11,10.229
2022-12-12,10.435
2022-12-13,10.399
2022-12-14,10.246
2022-12-15,9.9
2022-12-16,9.872
2022-12-17,9.872
2022-12-18,9.872
2022-12-19,9.92
2022-12-20,9.933
2022-12-21,10.182
2022-12-22,9.982
2022-12-23,10.036
2022-12-24,10.036
2022-12-25,10.036
2022-12-26,10.036
2022-12-27,10.004
2022-12-28,9.908
2022-12-29,10.085
2022-12-30,10.013
2022-12-31,10.013
2023-01-01,10.013
2023-01-02,10.013
2023-01-03,9.864
2023-01-04,10.094
2023-01-05,9.993
2023-01-06,10.297
2023-01-07,10.297
2023-01-08,10.297
2023-01-09,10.549
2023-01-10,10.975
2023-01-11,11.089
2023-01-12,11.236
2023-01-13,11.437
2023-01-14,11.437
2023-01-15,11.437
2023-01-16,11.437
2023-01-17,11.245
2023-01-18,11.078
2023-01-19,10.987
2023-01-20,11.281
2023-01-21,11.281
2023-01-22,11.281
2023-01-23,11.337
2023-01-24,11.458
2023-01-25,11.039
2023-01-26,11.245
2023-01-27,11.267
2023-01-28,11.267
2023-01-29,11.267
2023-01-30,10.819
2023-01-31,11.252
2023-02-01,11.31
2023-02-02,11.766
2023-02-03,11.757
2023-02-04,11.757
2023-02-05,11.757
2023-02-06,11.731
2023-02-07,12.103
2023-02-08,11.95
2023-02-09,11.709
2023-02-10,11.876
2023-02-11,11.876
2023-02-12,11.876
2023-02-13,12.018
2023-02-14,12.13
2023-02-15,12.223
2023-02-16,12.127
2023-02-17,12.273
2023-02-18,12.273
2023-02-19,12.273
2023-02-20,12.273
2023-02-21,11.75
2023-02-22,11.778
2023-02-23,11.91
2023-02-24,11.977
2023-02-25,11.977
2023-02-26,11.977
2023-02-27,11.833
2023-02-28,11.23
2023-03-01,11.399
2023-03-02,11.142
2023-03-03,11.163
2023-03-04,11.163
2023-03-05,11.163
2023-03-06,11.103
2023-03-07,10.765
2023-03-08,10.623
2023-03-09,10.336
2023-03-10,9.782
2023-03-11,9.782
2023-03-12,9.782
2023-03-13,9.551
2023-03-14,9.819
2023-03-15,9.77
2023-03-16,9.916
2023-03-17,9.432
2023-03-18,9.432
2023-03-19,9.432
2023-03-20,9.673
2023-03-21,9.914
2023-03-22,9.633
2023-03-23,9.519
2023-03-24,9.524
2023-03-25,9.524
2023-03-26,9.524
2023-03-27,9.62
2023-03-28,9.472
2023-03-29,9.635
2023-03-30,9.55
2023-03-31,9.779
2023-04-01,9.779
2023-04-02,9.779
2023-04-03,9.735
2023-04-04,9.612
2023-04-05,9.662
2023-04-06,9.521
2023-04-07,9.521
2023-04-08,9.521
2023-04-09,9.521
2023-04-10,9.788
2023-04-11,10.021
2023-04-12,9.948
2023-04-13,10.13
2023-04-14,9.953
2023-04-15,9.953
2023-04-16,9.953
2023-04-17,9.955
2023-04-18,9.849
2023-04-19,9.834
2023-04-20,9.776
2023-04-21,9.748
2023-04-22,9.748
2023-04-23,9.748
2023-04-24,9.903
2023-04-25,9.569
2023-04-26,9.496
2023-04-27,9.691
2023-04-28,9.819
2023-04-29,9.819
2023-04-30,9.819
2023-05-01,9.799
2023-05-02,9.622
2023-05-03,9.641
2023-05-04,9.301
2023-05-05,8.829
2023-05-06,8.829
2023-05-07,8.829
2023-05-08,8.76
2023-05-09,8.594
2023-05-10,8.374
2023-05-11,8.351
2023-05-12,8.076
2023-05-13,8.076
2023-05-14,8.076
2023-05-15,8.028
2023-05-16,7.736
2023-05-17,7.899
2023-05-18,7.413
2023-05-19,7.497
2023-05-20,7.497
2023-05-21,7.497
2023-05-22,7.488
2023-05-23,7.624
2023-05-24,7.663
2023-05-25,7.521
2023-05-26,7.485
2023-05-27,7.485
2023-05-28,7.485
2023-05-29,7.485
2023-05-30,7.421
2023-05-31,7.085
2023-06-01,7.124
2023-06-02,7.778
2023-06-03,7.778
2023-06-04,7.778
2023-06-05,7.766
2023-06-06,8.018
2023-06-07,8.21
2023-06-08,7.96
2023-06-09,8.092
2023-06-10,8.092
2023-06-11,8.092
2023-06-12,8.102
2023-06-13,8.105
2023-06-14,8.011
2023-06-15,8.082
2023-06-16,8.175
2023-06-17,8.175
2023-06-18,8.175
2023-06-19,8.175
2023-06-20,7.747
2023-06-21,7.954
2023-06-22,7.906
2023-06-23,7.844
2023-06-24,7.844
2023-06-25,7.844
2023-06-26,8.06
2023-06-27,8.388
2023-06-28,8.46
2023-06-29,8.834
2023-06-30,8.787
2023-07-01,8.787
2023-07-02,8.787
2023-07-03,8.856
2023-07-04,8.856
2023-07-05,8.637
2023-07-06,8.571
2023-07-07,8.855
2023-07-08,8.855
2023-07-09,8.855
2023-07-10,8.861
2023-07-11,9.08
2023-07-12,9.199
2023-07-13,9.169
2023-07-14,9.103
2023-07-15,9.103
2023-07-16,9.103
2023-07-17,9.146
2023-07-18,9.199
2023-07-19,9.313
2023-07-20,9.29
2023-07-21,9.308
2023-07-22,9.308
2023-07-23,9.308
2023-07-24,9.361
2023-07-25,9.458
2023-07-26,9.53
2023-07-27,9.853
2023-07-28,9.71
2023-07-29,9.71
2023-07-30,9.71
2023-07-31,9.808
2023-08-01,9.556
2023-08-02,9.625
2023-08-03,9.097
2023-08-04,9.895
2023-08-05,9.895
2023-08-06,9.895
2023-08-07,9.853
2023-08-08,10.187
2023-08-09,9.914
2023-08-10,9.807
2023-08-11,9.721
2023-08-12,9.721
2023-08-13,9.721
2023-08-14,9.423
2023-08-15,9.12
2023-08-16,9.599
2023-08-17,10.034
2023-08-18,10.262
2023-08-19,10.262
2023-08-20,10.262
2023-08-21,10.143
2023-08-22,10.217
2023-08-23,10.125
2023-08-24,10.213
2023-08-25,10.248
2023-08-26,10.248
2023-08-27,10.248
2023-08-28,10.316
2023-08-29,10.701
2023-08-30,10.68
2023-08-31,10.707
2023-09-01,10.945
2023-09-02,10.945
2023-09-03,10.945
2023-09-04,10.945
2023-09-05,10.609
2023-09-06,10.505
2023-09-07,9.895
2023-09-08,9.774
2023-09-09,9.774
2023-09-10,9.774
2023-09-11,9.684
2023-09-12,9.766
2023-09-13,9.706
2023-09-14,10.096
2023-09-15,9.883
2023-09-16,9.883
2023-09-17,9.883
2023-09-18,9.793
