,UFS US Equity
2020-11-02,24.475
2020-11-03,25.818
2020-11-04,25.0
2020-11-05,26.545
2020-11-06,26.626
2020-11-07,26.626
2020-11-08,26.626
2020-11-09,27.051
2020-11-10,17.642
2020-11-11,17.695
2020-11-12,17.192
2020-11-13,17.894
2020-11-14,17.894
2020-11-15,17.894
2020-11-16,19.106
2020-11-17,19.066
2020-11-18,18.609
2020-11-19,18.331
2020-11-20,19.126
2020-11-21,19.126
2020-11-22,19.126
2020-11-23,20.053
2020-11-24,20.781
2020-11-25,20.649
2020-11-26,20.649
2020-11-27,20.483
2020-11-28,20.483
2020-11-29,20.483
2020-11-30,19.934
2020-12-01,19.98
2020-12-02,20.225
2020-12-03,20.351
2020-12-04,20.901
2020-12-05,20.901
2020-12-06,20.901
2020-12-07,20.51
2020-12-08,20.371
2020-12-09,21.053
2020-12-10,21.0
2020-12-11,20.51
2020-12-12,20.51
2020-12-13,20.51
2020-12-14,20.291
2020-12-15,20.755
2020-12-16,20.715
2020-12-17,16.146
2020-12-18,16.771
2020-12-19,16.771
2020-12-20,16.771
2020-12-21,16.198
2020-12-22,15.995
2020-12-23,16.083
2020-12-24,16.135
2020-12-25,16.135
2020-12-26,16.135
2020-12-27,16.135
2020-12-28,16.458
2020-12-29,16.328
2020-12-30,16.411
2020-12-31,16.484
2021-01-01,16.484
2021-01-02,16.484
2021-01-03,16.484
2021-01-04,16.104
2021-01-05,16.568
2021-01-06,17.708
2021-01-07,18.005
2021-01-08,17.099
2021-01-09,17.099
2021-01-10,17.099
2021-01-11,16.568
2021-01-12,16.802
2021-01-13,16.635
2021-01-14,16.401
2021-01-15,16.349
2021-01-16,16.349
2021-01-17,16.349
2021-01-18,16.349
2021-01-19,16.995
2021-01-20,17.276
2021-01-21,17.042
2021-01-22,16.693
2021-01-23,16.693
2021-01-24,16.693
2021-01-25,16.646
2021-01-26,16.464
2021-01-27,15.38
2021-01-28,15.302
2021-01-29,15.609
2021-01-30,15.609
2021-01-31,15.609
2021-02-01,16.063
2021-02-02,16.083
2021-02-03,16.229
2021-02-04,16.094
2021-02-05,16.609
2021-02-06,16.609
2021-02-07,16.609
2021-02-08,17.359
2021-02-09,17.38
2021-02-10,17.786
2021-02-11,18.385
2021-02-12,21.988
2021-02-13,21.988
2021-02-14,21.988
2021-02-15,21.988
2021-02-16,21.284
2021-02-17,21.031
2021-02-18,21.395
2021-02-19,22.062
2021-02-20,22.062
2021-02-21,22.062
2021-02-22,22.191
2021-02-23,21.858
2021-02-24,22.84
2021-02-25,23.086
2021-02-26,22.87
2021-02-27,22.87
2021-02-28,22.87
2021-03-01,22.29
2021-03-02,23.117
2021-03-03,22.426
2021-03-04,22.667
2021-03-05,23.08
2021-03-06,23.08
2021-03-07,23.08
2021-03-08,23.407
2021-03-09,23.315
2021-03-10,23.568
2021-03-11,23.654
2021-03-12,23.685
2021-03-13,23.685
2021-03-14,23.685
2021-03-15,23.043
2021-03-16,22.883
2021-03-17,23.284
2021-03-18,22.87
2021-03-19,22.63
2021-03-20,22.63
2021-03-21,22.63
2021-03-22,22.481
2021-03-23,21.506
2021-03-24,21.519
2021-03-25,22.148
2021-03-26,22.642
2021-03-27,22.642
2021-03-28,22.642
2021-03-29,22.302
2021-03-30,22.79
2021-03-31,22.809
2021-04-01,23.105
2021-04-02,23.105
2021-04-03,23.105
2021-04-04,23.105
2021-04-05,23.488
2021-04-06,23.364
2021-04-07,23.173
2021-04-08,23.142
2021-04-09,23.154
2021-04-10,23.154
2021-04-11,23.154
2021-04-12,22.951
2021-04-13,22.951
2021-04-14,22.951
2021-04-15,22.951
2021-04-16,22.951
2021-04-17,22.951
2021-04-18,22.951
2021-04-19,22.951
2021-04-20,22.951
2021-04-21,22.951
2021-04-22,22.951
2021-04-23,22.951
2021-04-24,22.951
2021-04-25,22.951
2021-04-26,22.951
2021-04-27,22.951
2021-04-28,22.951
2021-04-29,22.951
2021-04-30,22.951
2021-05-01,22.951
2021-05-02,22.951
2021-05-03,22.951
2021-05-04,22.951
2021-05-05,22.951
2021-05-06,22.951
2021-05-07,22.951
2021-05-08,22.951
2021-05-09,22.951
2021-05-10,22.951
2021-05-11,22.951
2021-05-12,22.951
2021-05-13,22.951
2021-05-14,22.951
2021-05-15,22.951
2021-05-16,22.951
2021-05-17,22.951
2021-05-18,22.951
2021-05-19,22.951
2021-05-20,22.951
2021-05-21,22.951
2021-05-22,22.951
2021-05-23,22.951
2021-05-24,22.951
2021-05-25,22.951
2021-05-26,22.951
2021-05-27,22.951
2021-05-28,22.951
2021-05-29,22.951
2021-05-30,22.951
2021-05-31,22.951
2021-06-01,22.951
2021-06-02,22.951
2021-06-03,22.951
2021-06-04,22.951
2021-06-05,22.951
2021-06-06,22.951
2021-06-07,22.951
2021-06-08,22.951
2021-06-09,22.951
2021-06-10,22.951
2021-06-11,22.951
2021-06-12,22.951
2021-06-13,22.951
2021-06-14,22.951
2021-06-15,22.951
2021-06-16,22.951
2021-06-17,22.951
2021-06-18,22.951
2021-06-19,22.951
2021-06-20,22.951
2021-06-21,22.951
2021-06-22,22.951
2021-06-23,22.951
2021-06-24,22.951
2021-06-25,22.951
2021-06-26,22.951
2021-06-27,22.951
2021-06-28,22.951
2021-06-29,22.951
2021-06-30,22.951
2021-07-01,22.951
2021-07-02,22.951
2021-07-03,22.951
2021-07-04,22.951
2021-07-05,22.951
2021-07-06,22.951
2021-07-07,22.951
2021-07-08,22.951
2021-07-09,22.951
2021-07-10,22.951
2021-07-11,22.951
2021-07-12,22.951
2021-07-13,22.951
2021-07-14,22.951
2021-07-15,22.951
2021-07-16,22.951
2021-07-17,22.951
2021-07-18,22.951
2021-07-19,28.484
2021-07-20,28.531
2021-07-21,28.635
2021-07-22,28.708
2021-07-23,28.661
2021-07-24,28.661
2021-07-25,28.661
2021-07-26,28.641
2021-07-27,28.646
2021-07-28,28.62
2021-07-29,28.62
2021-07-30,28.599
2021-07-31,28.599
2021-08-01,28.599
2021-08-02,28.573
2021-08-03,28.583
2021-08-04,28.443
2021-08-05,25.319
2021-08-06,25.319
2021-08-07,25.319
2021-08-08,25.319
2021-08-09,25.31
2021-08-10,25.361
2021-08-11,25.347
2021-08-12,25.347
2021-08-13,25.366
2021-08-14,25.366
2021-08-15,25.366
2021-08-16,25.259
2021-08-17,25.352
2021-08-18,25.352
2021-08-19,25.389
2021-08-20,25.343
2021-08-21,25.343
2021-08-22,25.343
2021-08-23,25.361
2021-08-24,25.347
2021-08-25,25.37
2021-08-26,25.361
2021-08-27,25.417
2021-08-28,25.417
2021-08-29,25.417
2021-08-30,25.352
2021-08-31,25.384
2021-09-01,25.44
2021-09-02,25.458
2021-09-03,25.477
2021-09-04,25.477
2021-09-05,25.477
2021-09-06,25.477
2021-09-07,25.468
2021-09-08,25.449
2021-09-09,25.421
2021-09-10,25.454
2021-09-11,25.454
2021-09-12,25.454
2021-09-13,25.44
2021-09-14,25.444
2021-09-15,25.477
2021-09-16,25.5
2021-09-17,25.389
2021-09-18,25.389
2021-09-19,25.389
2021-09-20,19.752
2021-09-21,19.748
2021-09-22,19.723
2021-09-23,19.82
2021-09-24,19.777
2021-09-25,19.777
2021-09-26,19.777
2021-09-27,19.835
2021-09-28,19.838
2021-09-29,19.784
2021-09-30,19.619
2021-10-01,19.788
2021-10-02,19.788
2021-10-03,19.788
2021-10-04,19.766
2021-10-05,19.842
2021-10-06,19.856
2021-10-07,19.874
2021-10-08,19.856
2021-10-09,19.856
2021-10-10,19.856
2021-10-11,19.856
2021-10-12,19.842
2021-10-13,19.849
2021-10-14,19.914
2021-10-15,19.82
2021-10-16,19.82
2021-10-17,19.82
2021-10-18,19.698
2021-10-19,19.698
2021-10-20,27.134
2021-10-21,27.114
2021-10-22,27.119
2021-10-23,27.119
2021-10-24,27.119
2021-10-25,27.094
2021-10-26,27.079
2021-10-27,27.005
2021-10-28,27.01
2021-10-29,27.025
2021-10-30,27.025
2021-10-31,27.025
2021-11-01,27.119
2021-11-02,27.069
2021-11-03,27.02
2021-11-04,26.892
2021-11-05,26.734
2021-11-06,26.734
2021-11-07,26.734
2021-11-08,26.586
2021-11-09,26.719
2021-11-10,26.65
2021-11-11,26.631
2021-11-12,26.626
2021-11-13,26.626
2021-11-14,26.626
2021-11-15,26.65
2021-11-16,26.557
2021-11-17,26.507
2021-11-18,26.552
2021-11-19,27.3
2021-11-20,27.3
2021-11-21,27.3
2021-11-22,27.315
2021-11-23,27.32
2021-11-24,27.32
2021-11-25,27.32
2021-11-26,27.33
2021-11-27,27.33
2021-11-28,27.33
2021-11-29,27.335
2021-11-30,27.335
2021-12-01,27.335
2021-12-02,27.335
2021-12-03,27.335
2021-12-04,27.335
2021-12-05,27.335
2021-12-06,27.335
2021-12-07,27.335
2021-12-08,27.335
2021-12-09,27.335
2021-12-10,27.335
2021-12-11,27.335
2021-12-12,27.335
2021-12-13,27.335
2021-12-14,27.335
2021-12-15,27.335
2021-12-16,27.335
2021-12-17,27.335
2021-12-18,27.335
2021-12-19,27.335
2021-12-20,27.335
2021-12-21,27.335
2021-12-22,27.335
2021-12-23,27.335
2021-12-24,27.335
2021-12-25,27.335
2021-12-26,27.335
2021-12-27,27.335
2021-12-28,27.335
2021-12-29,27.335
2021-12-30,27.335
2021-12-31,27.335
2022-01-01,27.335
2022-01-02,27.335
2022-01-03,27.335
2022-01-04,27.335
2022-01-05,27.335
2022-01-06,27.335
2022-01-07,27.335
2022-01-08,27.335
2022-01-09,27.335
2022-01-10,27.335
2022-01-11,27.335
2022-01-12,27.335
2022-01-13,27.335
2022-01-14,27.335
2022-01-15,27.335
2022-01-16,27.335
2022-01-17,27.335
2022-01-18,27.335
2022-01-19,27.335
2022-01-20,27.335
2022-01-21,27.335
2022-01-22,27.335
2022-01-23,27.335
2022-01-24,27.335
2022-01-25,27.335
2022-01-26,27.335
2022-01-27,27.335
2022-01-28,27.335
2022-01-29,27.335
2022-01-30,27.335
2022-01-31,27.335
2022-02-01,27.335
2022-02-02,27.335
2022-02-03,27.335
2022-02-04,27.335
2022-02-05,27.335
2022-02-06,27.335
2022-02-07,27.335
2022-02-08,27.335
2022-02-09,27.335
2022-02-10,27.335
2022-02-11,27.335
2022-02-12,27.335
2022-02-13,27.335
2022-02-14,27.335
2022-02-15,27.335
2022-02-16,27.335
2022-02-17,27.335
2022-02-18,27.335
2022-02-19,27.335
2022-02-20,27.335
2022-02-21,27.335
2022-02-22,27.335
2022-02-23,27.335
2022-02-24,27.335
2022-02-25,27.335
2022-02-26,27.335
2022-02-27,27.335
2022-02-28,27.335
2022-03-01,27.335
2022-03-02,27.335
2022-03-03,27.335
2022-03-04,27.335
2022-03-05,27.335
2022-03-06,27.335
2022-03-07,27.335
2022-03-08,27.335
2022-03-09,27.335
2022-03-10,27.335
2022-03-11,27.335
2022-03-12,27.335
2022-03-13,27.335
2022-03-14,27.335
2022-03-15,27.335
2022-03-16,27.335
2022-03-17,27.335
2022-03-18,27.335
2022-03-19,27.335
2022-03-20,27.335
2022-03-21,27.335
2022-03-22,27.335
2022-03-23,27.335
2022-03-24,27.335
2022-03-25,27.335
2022-03-26,27.335
2022-03-27,27.335
2022-03-28,27.335
2022-03-29,27.335
2022-03-30,27.335
2022-03-31,27.335
2022-04-01,27.335
2022-04-02,27.335
2022-04-03,27.335
2022-04-04,27.335
2022-04-05,27.335
2022-04-06,27.335
2022-04-07,27.335
2022-04-08,27.335
2022-04-09,27.335
2022-04-10,27.335
2022-04-11,27.335
2022-04-12,27.335
2022-04-13,27.335
2022-04-14,27.335
2022-04-15,27.335
2022-04-16,27.335
2022-04-17,27.335
2022-04-18,27.335
2022-04-19,27.335
2022-04-20,27.335
2022-04-21,27.335
2022-04-22,27.335
2022-04-23,27.335
2022-04-24,27.335
2022-04-25,27.335
2022-04-26,27.335
2022-04-27,27.335
2022-04-28,27.335
2022-04-29,27.335
2022-04-30,27.335
2022-05-01,27.335
2022-05-02,27.335
2022-05-03,27.335
2022-05-04,27.335
2022-05-05,27.335
2022-05-06,27.335
2022-05-07,27.335
2022-05-08,27.335
2022-05-09,27.335
2022-05-10,27.335
2022-05-11,27.335
2022-05-12,27.335
2022-05-13,27.335
2022-05-14,27.335
2022-05-15,27.335
2022-05-16,27.335
2022-05-17,27.335
2022-05-18,27.335
2022-05-19,27.335
2022-05-20,27.335
2022-05-21,27.335
2022-05-22,27.335
2022-05-23,27.335
2022-05-24,27.335
2022-05-25,27.335
2022-05-26,27.335
2022-05-27,27.335
2022-05-28,27.335
2022-05-29,27.335
2022-05-30,27.335
2022-05-31,27.335
2022-06-01,27.335
2022-06-02,27.335
2022-06-03,27.335
2022-06-04,27.335
2022-06-05,27.335
2022-06-06,27.335
2022-06-07,27.335
2022-06-08,27.335
2022-06-09,27.335
2022-06-10,27.335
2022-06-11,27.335
2022-06-12,27.335
2022-06-13,27.335
2022-06-14,27.335
2022-06-15,27.335
2022-06-16,27.335
2022-06-17,27.335
2022-06-18,27.335
2022-06-19,27.335
2022-06-20,27.335
2022-06-21,27.335
2022-06-22,27.335
2022-06-23,27.335
2022-06-24,27.335
2022-06-25,27.335
2022-06-26,27.335
2022-06-27,27.335
2022-06-28,27.335
2022-06-29,27.335
2022-06-30,27.335
2022-07-01,27.335
2022-07-02,27.335
2022-07-03,27.335
2022-07-04,27.335
2022-07-05,27.335
2022-07-06,27.335
2022-07-07,27.335
2022-07-08,27.335
2022-07-09,27.335
2022-07-10,27.335
2022-07-11,27.335
2022-07-12,27.335
2022-07-13,27.335
2022-07-14,27.335
2022-07-15,27.335
2022-07-16,27.335
2022-07-17,27.335
2022-07-18,27.335
2022-07-19,27.335
2022-07-20,27.335
2022-07-21,27.335
2022-07-22,27.335
2022-07-23,27.335
2022-07-24,27.335
2022-07-25,27.335
2022-07-26,27.335
2022-07-27,27.335
2022-07-28,27.335
2022-07-29,27.335
2022-07-30,27.335
2022-07-31,27.335
2022-08-01,27.335
2022-08-02,27.335
2022-08-03,27.335
2022-08-04,27.335
2022-08-05,27.335
2022-08-06,27.335
2022-08-07,27.335
2022-08-08,27.335
2022-08-09,27.335
2022-08-10,27.335
2022-08-11,27.335
2022-08-12,27.335
2022-08-13,27.335
2022-08-14,27.335
2022-08-15,27.335
2022-08-16,27.335
2022-08-17,27.335
2022-08-18,27.335
2022-08-19,27.335
2022-08-20,27.335
2022-08-21,27.335
2022-08-22,27.335
2022-08-23,27.335
2022-08-24,27.335
2022-08-25,27.335
2022-08-26,27.335
2022-08-27,27.335
2022-08-28,27.335
2022-08-29,27.335
2022-08-30,27.335
2022-08-31,27.335
2022-09-01,27.335
2022-09-02,27.335
2022-09-03,27.335
2022-09-04,27.335
2022-09-05,27.335
2022-09-06,27.335
2022-09-07,27.335
2022-09-08,27.335
2022-09-09,27.335
2022-09-10,27.335
2022-09-11,27.335
2022-09-12,27.335
2022-09-13,27.335
2022-09-14,27.335
2022-09-15,27.335
2022-09-16,27.335
2022-09-17,27.335
2022-09-18,27.335
2022-09-19,27.335
2022-09-20,27.335
2022-09-21,27.335
2022-09-22,27.335
2022-09-23,27.335
2022-09-24,27.335
2022-09-25,27.335
2022-09-26,27.335
2022-09-27,27.335
2022-09-28,27.335
2022-09-29,27.335
2022-09-30,27.335
2022-10-01,27.335
2022-10-02,27.335
2022-10-03,27.335
2022-10-04,27.335
2022-10-05,27.335
2022-10-06,27.335
2022-10-07,27.335
2022-10-08,27.335
2022-10-09,27.335
2022-10-10,27.335
2022-10-11,27.335
2022-10-12,27.335
2022-10-13,27.335
2022-10-14,27.335
2022-10-15,27.335
2022-10-16,27.335
2022-10-17,27.335
2022-10-18,27.335
2022-10-19,27.335
2022-10-20,27.335
2022-10-21,27.335
2022-10-22,27.335
2022-10-23,27.335
2022-10-24,27.335
2022-10-25,27.335
2022-10-26,27.335
2022-10-27,27.335
2022-10-28,27.335
2022-10-29,27.335
2022-10-30,27.335
2022-10-31,27.335
2022-11-01,27.335
2022-11-02,27.335
2022-11-03,27.335
2022-11-04,27.335
2022-11-05,27.335
2022-11-06,27.335
2022-11-07,27.335
2022-11-08,27.335
2022-11-09,27.335
2022-11-10,27.335
2022-11-11,27.335
2022-11-12,27.335
2022-11-13,27.335
2022-11-14,27.335
2022-11-15,27.335
2022-11-16,27.335
2022-11-17,27.335
2022-11-18,27.335
2022-11-19,27.335
2022-11-20,27.335
2022-11-21,27.335
2022-11-22,27.335
2022-11-23,27.335
2022-11-24,27.335
2022-11-25,27.335
2022-11-26,27.335
2022-11-27,27.335
2022-11-28,27.335
2022-11-29,27.335
2022-11-30,27.335
2022-12-01,27.335
2022-12-02,27.335
2022-12-03,27.335
2022-12-04,27.335
2022-12-05,27.335
2022-12-06,27.335
2022-12-07,27.335
2022-12-08,27.335
2022-12-09,27.335
2022-12-10,27.335
2022-12-11,27.335
2022-12-12,27.335
2022-12-13,27.335
2022-12-14,27.335
2022-12-15,27.335
2022-12-16,27.335
2022-12-17,27.335
2022-12-18,27.335
2022-12-19,27.335
2022-12-20,27.335
2022-12-21,27.335
2022-12-22,27.335
2022-12-23,27.335
2022-12-24,27.335
2022-12-25,27.335
2022-12-26,27.335
2022-12-27,27.335
2022-12-28,27.335
2022-12-29,27.335
2022-12-30,27.335
2022-12-31,27.335
2023-01-01,27.335
2023-01-02,27.335
2023-01-03,27.335
2023-01-04,27.335
2023-01-05,27.335
2023-01-06,27.335
2023-01-07,27.335
2023-01-08,27.335
2023-01-09,27.335
2023-01-10,27.335
2023-01-11,27.335
2023-01-12,27.335
2023-01-13,27.335
2023-01-14,27.335
2023-01-15,27.335
2023-01-16,27.335
2023-01-17,27.335
2023-01-18,27.335
2023-01-19,27.335
2023-01-20,27.335
2023-01-21,27.335
2023-01-22,27.335
2023-01-23,27.335
2023-01-24,27.335
2023-01-25,27.335
2023-01-26,27.335
2023-01-27,27.335
2023-01-28,27.335
2023-01-29,27.335
2023-01-30,27.335
2023-01-31,27.335
2023-02-01,27.335
2023-02-02,27.335
2023-02-03,27.335
2023-02-04,27.335
2023-02-05,27.335
2023-02-06,27.335
2023-02-07,27.335
2023-02-08,27.335
2023-02-09,27.335
2023-02-10,27.335
2023-02-11,27.335
2023-02-12,27.335
2023-02-13,27.335
2023-02-14,27.335
2023-02-15,27.335
2023-02-16,27.335
2023-02-17,27.335
2023-02-18,27.335
2023-02-19,27.335
2023-02-20,27.335
2023-02-21,27.335
2023-02-22,27.335
2023-02-23,27.335
2023-02-24,27.335
2023-02-25,27.335
2023-02-26,27.335
2023-02-27,27.335
2023-02-28,27.335
2023-03-01,27.335
2023-03-02,27.335
2023-03-03,27.335
2023-03-04,27.335
2023-03-05,27.335
2023-03-06,27.335
2023-03-07,27.335
2023-03-08,27.335
2023-03-09,27.335
2023-03-10,27.335
2023-03-11,27.335
2023-03-12,27.335
2023-03-13,27.335
2023-03-14,27.335
2023-03-15,27.335
2023-03-16,27.335
2023-03-17,27.335
2023-03-18,27.335
2023-03-19,27.335
2023-03-20,27.335
2023-03-21,27.335
2023-03-22,27.335
2023-03-23,27.335
2023-03-24,27.335
2023-03-25,27.335
2023-03-26,27.335
2023-03-27,27.335
2023-03-28,27.335
2023-03-29,27.335
2023-03-30,27.335
2023-03-31,27.335
2023-04-01,27.335
2023-04-02,27.335
2023-04-03,27.335
2023-04-04,27.335
2023-04-05,27.335
2023-04-06,27.335
2023-04-07,27.335
2023-04-08,27.335
2023-04-09,27.335
2023-04-10,27.335
2023-04-11,27.335
2023-04-12,27.335
2023-04-13,27.335
2023-04-14,27.335
2023-04-15,27.335
2023-04-16,27.335
2023-04-17,27.335
2023-04-18,27.335
2023-04-19,27.335
2023-04-20,27.335
2023-04-21,27.335
2023-04-22,27.335
2023-04-23,27.335
2023-04-24,27.335
2023-04-25,27.335
2023-04-26,27.335
2023-04-27,27.335
2023-04-28,27.335
2023-04-29,27.335
2023-04-30,27.335
2023-05-01,27.335
2023-05-02,27.335
2023-05-03,27.335
2023-05-04,27.335
2023-05-05,27.335
2023-05-06,27.335
2023-05-07,27.335
2023-05-08,27.335
2023-05-09,27.335
2023-05-10,27.335
2023-05-11,27.335
2023-05-12,27.335
2023-05-13,27.335
2023-05-14,27.335
2023-05-15,27.335
2023-05-16,27.335
2023-05-17,27.335
2023-05-18,27.335
2023-05-19,27.335
2023-05-20,27.335
2023-05-21,27.335
2023-05-22,27.335
2023-05-23,27.335
2023-05-24,27.335
2023-05-25,27.335
2023-05-26,27.335
2023-05-27,27.335
2023-05-28,27.335
2023-05-29,27.335
2023-05-30,27.335
2023-05-31,27.335
2023-06-01,27.335
2023-06-02,27.335
2023-06-03,27.335
2023-06-04,27.335
2023-06-05,27.335
2023-06-06,27.335
2023-06-07,27.335
2023-06-08,27.335
2023-06-09,27.335
2023-06-10,27.335
2023-06-11,27.335
2023-06-12,27.335
2023-06-13,27.335
2023-06-14,27.335
2023-06-15,27.335
2023-06-16,27.335
2023-06-17,27.335
2023-06-18,27.335
2023-06-19,27.335
2023-06-20,27.335
2023-06-21,27.335
2023-06-22,27.335
2023-06-23,27.335
2023-06-24,27.335
2023-06-25,27.335
2023-06-26,27.335
2023-06-27,27.335
2023-06-28,27.335
2023-06-29,27.335
2023-06-30,27.335
2023-07-01,27.335
2023-07-02,27.335
2023-07-03,27.335
2023-07-04,27.335
2023-07-05,27.335
2023-07-06,27.335
2023-07-07,27.335
2023-07-08,27.335
2023-07-09,27.335
2023-07-10,27.335
2023-07-11,27.335
2023-07-12,27.335
2023-07-13,27.335
2023-07-14,27.335
2023-07-15,27.335
2023-07-16,27.335
2023-07-17,27.335
2023-07-18,27.335
2023-07-19,27.335
2023-07-20,27.335
2023-07-21,27.335
2023-07-22,27.335
2023-07-23,27.335
2023-07-24,27.335
2023-07-25,27.335
2023-07-26,27.335
2023-07-27,27.335
2023-07-28,27.335
2023-07-29,27.335
2023-07-30,27.335
2023-07-31,27.335
2023-08-01,27.335
2023-08-02,27.335
2023-08-03,27.335
2023-08-04,27.335
2023-08-05,27.335
2023-08-06,27.335
2023-08-07,27.335
2023-08-08,27.335
2023-08-09,27.335
2023-08-10,27.335
2023-08-11,27.335
2023-08-12,27.335
2023-08-13,27.335
2023-08-14,27.335
2023-08-15,27.335
2023-08-16,27.335
2023-08-17,27.335
2023-08-18,27.335
2023-08-19,27.335
2023-08-20,27.335
2023-08-21,27.335
2023-08-22,27.335
