,WAFD US Equity
2020-11-29,10.298
2020-11-30,9.775
2020-12-01,10.047
2020-12-02,10.227
2020-12-03,10.089
2020-12-04,10.399
2020-12-05,10.399
2020-12-06,10.399
2020-12-07,10.549
2020-12-08,10.541
2020-12-09,10.616
2020-12-10,10.666
2020-12-11,10.637
2020-12-12,10.637
2020-12-13,10.637
2020-12-14,10.553
2020-12-15,10.71
2020-12-16,10.771
2020-12-17,10.737
2020-12-18,10.758
2020-12-19,10.758
2020-12-20,10.758
2020-12-21,10.482
2020-12-22,10.394
2020-12-23,10.75
2020-12-24,10.691
2020-12-25,10.691
2020-12-26,10.691
2020-12-27,10.691
2020-12-28,10.813
2020-12-29,10.625
2020-12-30,10.712
2020-12-31,10.767
2021-01-01,10.767
2021-01-02,10.767
2021-01-03,10.767
2021-01-04,10.696
2021-01-05,10.922
2021-01-06,11.955
2021-01-07,12.03
2021-01-08,11.925
2021-01-09,11.925
2021-01-10,11.925
2021-01-11,11.911
2021-01-12,11.959
2021-01-13,11.695
2021-01-14,11.884
2021-01-15,11.842
2021-01-16,11.842
2021-01-17,11.842
2021-01-18,11.842
2021-01-19,11.47
2021-01-20,11.458
2021-01-21,11.35
2021-01-22,11.422
2021-01-23,11.422
2021-01-24,11.422
2021-01-25,11.342
2021-01-26,11.138
2021-01-27,10.842
2021-01-28,10.83
2021-01-29,10.466
2021-01-30,10.466
2021-01-31,10.466
2021-02-01,10.53
2021-02-02,11.118
2021-02-03,10.536
2021-02-04,10.791
2021-02-05,10.771
2021-02-06,10.771
2021-02-07,10.771
2021-02-08,11.169
2021-02-09,11.476
2021-02-10,11.559
2021-02-11,11.563
2021-02-12,11.516
2021-02-13,11.516
2021-02-14,11.516
2021-02-15,11.516
2021-02-16,11.54
2021-02-17,11.485
2021-02-18,11.509
2021-02-19,11.636
2021-02-20,11.636
2021-02-21,11.636
2021-02-22,11.794
2021-02-23,11.845
2021-02-24,11.964
2021-02-25,11.798
2021-02-26,11.667
2021-02-27,11.667
2021-02-28,11.667
2021-03-01,11.852
2021-03-02,11.825
2021-03-03,11.956
2021-03-04,11.96
2021-03-05,12.057
2021-03-06,12.057
2021-03-07,12.057
2021-03-08,12.574
2021-03-09,12.335
2021-03-10,12.59
2021-03-11,12.609
2021-03-12,13.072
2021-03-13,13.072
2021-03-14,13.072
2021-03-15,12.86
2021-03-16,12.76
2021-03-17,12.717
2021-03-18,12.775
2021-03-19,12.704
2021-03-20,12.704
2021-03-21,12.704
2021-03-22,12.536
2021-03-23,12.184
2021-03-24,11.976
2021-03-25,12.092
2021-03-26,12.373
2021-03-27,12.373
2021-03-28,12.373
2021-03-29,11.972
2021-03-30,12.053
2021-03-31,11.891
2021-04-01,11.922
2021-04-02,11.922
2021-04-03,11.922
2021-04-04,11.922
2021-04-05,11.899
2021-04-06,11.972
2021-04-07,11.972
2021-04-08,11.972
2021-04-09,11.972
2021-04-10,11.972
2021-04-11,11.972
2021-04-12,11.972
2021-04-13,11.972
2021-04-14,11.972
2021-04-15,11.972
2021-04-16,11.972
2021-04-17,11.972
2021-04-18,11.972
2021-04-19,11.972
2021-04-20,11.972
2021-04-21,11.972
2021-04-22,11.972
2021-04-23,11.972
2021-04-24,11.972
2021-04-25,11.972
2021-04-26,11.972
2021-04-27,11.972
2021-04-28,11.972
2021-04-29,11.972
2021-04-30,11.972
2021-05-01,11.972
2021-05-02,11.972
2021-05-03,11.972
2021-05-04,11.972
2021-05-05,11.972
2021-05-06,11.972
2021-05-07,11.972
2021-05-08,11.972
2021-05-09,11.972
2021-05-10,11.972
2021-05-11,11.972
2021-05-12,11.972
2021-05-13,11.972
2021-05-14,11.972
2021-05-15,11.972
2021-05-16,11.972
2021-05-17,11.972
2021-05-18,11.972
2021-05-19,11.972
2021-05-20,11.972
2021-05-21,11.972
2021-05-22,11.972
2021-05-23,11.972
2021-05-24,11.972
2021-05-25,11.972
2021-05-26,11.972
2021-05-27,11.972
2021-05-28,11.972
2021-05-29,11.972
2021-05-30,11.972
2021-05-31,11.972
2021-06-01,11.972
2021-06-02,11.972
2021-06-03,11.972
2021-06-04,11.972
2021-06-05,11.972
2021-06-06,11.972
2021-06-07,11.972
2021-06-08,11.972
2021-06-09,11.972
2021-06-10,11.972
2021-06-11,11.972
2021-06-12,11.972
2021-06-13,11.972
2021-06-14,11.972
2021-06-15,11.972
2021-06-16,11.972
2021-06-17,11.972
2021-06-18,11.972
2021-06-19,11.972
2021-06-20,11.972
2021-06-21,11.972
2021-06-22,11.972
2021-06-23,11.972
2021-06-24,11.972
2021-06-25,11.972
2021-06-26,11.972
2021-06-27,11.972
2021-06-28,11.972
2021-06-29,11.972
2021-06-30,11.972
2021-07-01,11.972
2021-07-02,11.972
2021-07-03,11.972
2021-07-04,11.972
2021-07-05,11.972
2021-07-06,11.972
2021-07-07,10.089
2021-07-08,9.914
2021-07-09,10.331
2021-07-10,10.331
2021-07-11,10.331
2021-07-12,10.351
2021-07-13,10.03
2021-07-14,9.707
2021-07-15,9.941
2021-07-16,9.839
2021-07-17,9.839
2021-07-18,9.839
2021-07-19,9.543
2021-07-20,9.747
2021-07-21,9.849
2021-07-22,9.663
2021-07-23,9.815
2021-07-24,9.815
2021-07-25,9.815
2021-07-26,9.886
2021-07-27,9.821
2021-07-28,9.932
2021-07-29,10.037
2021-07-30,9.969
2021-07-31,9.969
2021-08-01,9.969
2021-08-02,9.852
2021-08-03,9.889
2021-08-04,9.821
2021-08-05,10.017
2021-08-06,10.238
2021-08-07,10.238
2021-08-08,10.238
2021-08-09,10.148
2021-08-10,10.281
2021-08-11,10.487
2021-08-12,10.428
2021-08-13,10.409
2021-08-14,10.409
2021-08-15,10.409
2021-08-16,10.313
2021-08-17,10.25
2021-08-18,10.132
2021-08-19,10.135
2021-08-20,10.412
2021-08-21,10.412
2021-08-22,10.412
2021-08-23,10.409
2021-08-24,10.418
2021-08-25,10.468
2021-08-26,10.325
2021-08-27,10.477
2021-08-28,10.477
2021-08-29,10.477
2021-08-30,10.331
2021-08-31,10.362
2021-09-01,10.309
2021-09-02,10.294
2021-09-03,10.294
2021-09-04,10.294
2021-09-05,10.294
2021-09-06,10.294
2021-09-07,10.294
2021-09-08,10.294
2021-09-09,10.294
2021-09-10,10.294
2021-09-11,10.294
2021-09-12,10.294
2021-09-13,10.294
2021-09-14,10.294
2021-09-15,10.294
2021-09-16,10.294
2021-09-17,10.294
2021-09-18,10.294
2021-09-19,10.294
2021-09-20,10.294
2021-09-21,10.294
2021-09-22,10.294
2021-09-23,10.294
2021-09-24,10.294
2021-09-25,10.294
2021-09-26,10.294
2021-09-27,10.294
2021-09-28,10.294
2021-09-29,10.294
2021-09-30,10.294
2021-10-01,10.294
2021-10-02,10.294
2021-10-03,10.294
2021-10-04,10.294
2021-10-05,10.294
2021-10-06,10.294
2021-10-07,10.294
2021-10-08,10.294
2021-10-09,10.294
2021-10-10,10.294
2021-10-11,10.294
2021-10-12,10.294
2021-10-13,10.294
2021-10-14,10.294
2021-10-15,10.294
2021-10-16,10.294
2021-10-17,10.294
2021-10-18,10.294
2021-10-19,10.294
2021-10-20,10.294
2021-10-21,10.294
2021-10-22,10.294
2021-10-23,10.294
2021-10-24,10.294
2021-10-25,10.294
2021-10-26,10.294
2021-10-27,10.294
2021-10-28,10.294
2021-10-29,10.294
2021-10-30,10.294
2021-10-31,10.294
2021-11-01,10.294
2021-11-02,10.294
2021-11-03,10.294
2021-11-04,10.294
2021-11-05,10.294
2021-11-06,10.294
2021-11-07,10.294
2021-11-08,10.294
2021-11-09,10.294
2021-11-10,10.294
2021-11-11,10.294
2021-11-12,10.294
2021-11-13,10.294
2021-11-14,10.294
2021-11-15,10.294
2021-11-16,10.294
2021-11-17,10.294
2021-11-18,10.294
2021-11-19,10.294
2021-11-20,10.294
2021-11-21,10.294
2021-11-22,10.294
2021-11-23,10.294
2021-11-24,10.294
2021-11-25,10.294
2021-11-26,10.294
2021-11-27,10.294
2021-11-28,10.294
2021-11-29,10.294
2021-11-30,10.294
2021-12-01,10.294
2021-12-02,10.294
2021-12-03,10.294
2021-12-04,10.294
2021-12-05,10.294
2021-12-06,10.294
2021-12-07,10.294
2021-12-08,10.294
2021-12-09,10.294
2021-12-10,10.294
2021-12-11,10.294
2021-12-12,10.294
2021-12-13,10.294
2021-12-14,10.294
2021-12-15,10.294
2021-12-16,10.294
2021-12-17,10.294
2021-12-18,10.294
2021-12-19,10.294
2021-12-20,10.294
2021-12-21,10.294
2021-12-22,10.294
2021-12-23,10.294
2021-12-24,10.294
2021-12-25,10.294
2021-12-26,10.294
2021-12-27,10.294
2021-12-28,10.294
2021-12-29,10.294
2021-12-30,10.294
2021-12-31,10.294
2022-01-01,10.294
2022-01-02,10.294
2022-01-03,10.294
2022-01-04,10.294
2022-01-05,10.294
2022-01-06,10.294
2022-01-07,10.294
2022-01-08,10.294
2022-01-09,10.294
2022-01-10,10.294
2022-01-11,10.294
2022-01-12,10.294
2022-01-13,10.294
2022-01-14,10.294
2022-01-15,10.294
2022-01-16,10.294
2022-01-17,10.294
2022-01-18,10.258
2022-01-19,10.02
2022-01-20,9.707
2022-01-21,9.548
2022-01-22,9.548
2022-01-23,9.548
2022-01-24,9.745
2022-01-25,9.748
2022-01-26,9.63
2022-01-27,9.537
2022-01-28,9.594
2022-01-29,9.594
2022-01-30,9.594
2022-01-31,9.608
2022-02-01,9.597
2022-02-02,9.603
2022-02-03,9.644
2022-02-04,9.669
2022-02-05,9.669
2022-02-06,9.669
2022-02-07,9.702
2022-02-08,9.934
2022-02-09,9.86
2022-02-10,9.79
2022-02-11,9.813
2022-02-12,9.813
2022-02-13,9.813
2022-02-14,9.686
2022-02-15,9.995
2022-02-16,10.056
2022-02-17,9.793
2022-02-18,9.915
2022-02-19,9.915
2022-02-20,9.915
2022-02-21,9.915
2022-02-22,9.873
2022-02-23,9.815
2022-02-24,9.451
2022-02-25,9.929
2022-02-26,9.929
2022-02-27,9.929
2022-02-28,9.829
2022-03-01,9.506
2022-03-02,9.807
2022-03-03,9.766
2022-03-04,9.611
2022-03-05,9.611
2022-03-06,9.611
2022-03-07,9.21
2022-03-08,9.246
2022-03-09,9.423
2022-03-10,9.327
2022-03-11,9.485
2022-03-12,9.485
2022-03-13,9.485
2022-03-14,9.343
2022-03-15,9.466
2022-03-16,9.616
2022-03-17,9.488
2022-03-18,9.379
2022-03-19,9.379
2022-03-20,9.379
2022-03-21,9.387
2022-03-22,9.428
2022-03-23,9.117
2022-03-24,9.179
2022-03-25,9.349
2022-03-26,9.349
2022-03-27,9.349
2022-03-28,9.248
2022-03-29,9.384
2022-03-30,9.108
2022-03-31,8.961
2022-04-01,8.988
2022-04-02,8.988
2022-04-03,8.988
2022-04-04,9.056
2022-04-05,8.916
2022-04-06,8.822
2022-04-07,8.724
2022-04-08,8.738
2022-04-09,8.738
2022-04-10,8.738
2022-04-11,8.713
2022-04-12,8.629
2022-04-13,8.863
2022-04-14,8.365
2022-04-15,8.365
2022-04-16,8.365
2022-04-17,8.365
2022-04-18,8.49
2022-04-19,8.631
2022-04-20,8.75
2022-04-21,8.705
2022-04-22,8.484
2022-04-23,8.484
2022-04-24,8.484
2022-04-25,8.458
2022-04-26,8.232
2022-04-27,8.202
2022-04-28,8.359
2022-04-29,8.096
2022-04-30,8.096
2022-05-01,8.096
2022-05-02,8.12
2022-05-03,8.205
2022-05-04,8.527
2022-05-05,8.346
2022-05-06,8.288
2022-05-07,8.288
2022-05-08,8.288
2022-05-09,8.213
2022-05-10,8.168
2022-05-11,8.165
2022-05-12,8.269
2022-05-13,8.181
2022-05-14,8.181
2022-05-15,8.181
2022-05-16,8.149
2022-05-17,8.453
2022-05-18,8.389
2022-05-19,8.292
2022-05-20,8.319
2022-05-21,8.319
2022-05-22,8.319
2022-05-23,8.424
2022-05-24,8.466
2022-05-25,7.941
2022-05-26,8.011
2022-05-27,8.11
2022-05-28,8.11
2022-05-29,8.11
2022-05-30,8.11
2022-05-31,8.091
2022-06-01,8.081
2022-06-02,8.235
2022-06-03,8.098
2022-06-04,8.098
2022-06-05,8.098
2022-06-06,8.165
2022-06-07,8.278
2022-06-08,8.108
2022-06-09,7.936
2022-06-10,7.814
2022-06-11,7.814
2022-06-12,7.814
2022-06-13,7.634
2022-06-14,7.672
2022-06-15,7.677
2022-06-16,7.467
2022-06-17,7.442
2022-06-18,7.442
2022-06-19,7.442
2022-06-20,7.442
2022-06-21,7.572
2022-06-22,7.559
2022-06-23,7.427
2022-06-24,7.602
2022-06-25,7.602
2022-06-26,7.602
2022-06-27,7.677
2022-06-28,7.577
2022-06-29,7.646
2022-06-30,7.709
2022-07-01,7.845
2022-07-02,7.845
2022-07-03,7.845
2022-07-04,7.845
2022-07-05,7.873
2022-07-06,7.768
2022-07-07,7.806
2022-07-08,7.806
2022-07-09,7.806
2022-07-10,7.806
2022-07-11,7.788
2022-07-12,7.773
2022-07-13,7.678
2022-07-14,7.858
2022-07-15,8.138
2022-07-16,8.138
2022-07-17,8.138
2022-07-18,8.163
2022-07-19,8.302
2022-07-20,8.289
2022-07-21,8.333
2022-07-22,8.281
2022-07-23,8.281
2022-07-24,8.281
2022-07-25,8.497
2022-07-26,8.477
2022-07-27,8.641
2022-07-28,8.618
2022-07-29,8.764
2022-07-30,8.764
2022-07-31,8.764
2022-08-01,8.893
2022-08-02,8.741
2022-08-03,8.797
2022-08-04,8.733
2022-08-05,8.831
2022-08-06,8.831
2022-08-07,8.831
2022-08-08,8.821
2022-08-09,8.867
2022-08-10,8.959
2022-08-11,8.895
2022-08-12,8.988
2022-08-13,8.988
2022-08-14,8.988
2022-08-15,9.072
2022-08-16,9.134
2022-08-17,9.049
2022-08-18,9.049
2022-08-19,8.977
2022-08-20,8.977
2022-08-21,8.977
2022-08-22,8.827
2022-08-23,8.708
2022-08-24,8.669
2022-08-25,8.744
2022-08-26,8.581
2022-08-27,8.581
2022-08-28,8.581
2022-08-29,8.454
2022-08-30,8.454
2022-08-31,8.276
2022-09-01,8.23
2022-09-02,8.152
2022-09-03,8.152
2022-09-04,8.152
2022-09-05,8.152
2022-09-06,7.987
2022-09-07,8.056
2022-09-08,8.139
2022-09-09,8.274
2022-09-10,8.274
2022-09-11,8.274
2022-09-12,8.343
2022-09-13,8.041
2022-09-14,8.025
2022-09-15,8.093
2022-09-16,8.093
2022-09-17,8.093
2022-09-18,8.093
2022-09-19,8.255
2022-09-20,8.253
2022-09-21,8.144
2022-09-22,8.02
2022-09-23,7.899
2022-09-24,7.899
2022-09-25,7.899
2022-09-26,7.842
2022-09-27,7.782
2022-09-28,7.914
2022-09-29,7.971
2022-09-30,7.858
2022-10-01,7.858
2022-10-02,7.858
2022-10-03,8.031
2022-10-04,8.319
2022-10-05,8.28
2022-10-06,8.215
2022-10-07,8.173
2022-10-08,8.173
2022-10-09,8.173
2022-10-10,8.246
2022-10-11,8.251
2022-10-12,8.354
2022-10-13,8.655
2022-10-14,8.587
2022-10-15,8.587
2022-10-16,8.587
2022-10-17,8.426
2022-10-18,8.673
2022-10-19,8.641
2022-10-20,8.392
2022-10-21,8.514
2022-10-22,8.514
2022-10-23,8.514
2022-10-24,8.608
2022-10-25,8.708
2022-10-26,8.657
2022-10-27,8.678
2022-10-28,8.902
2022-10-29,8.902
2022-10-30,8.902
2022-10-31,8.932
2022-11-01,8.904
2022-11-02,8.685
2022-11-03,8.632
2022-11-04,8.814
2022-11-05,8.814
2022-11-06,8.814
2022-11-07,8.786
2022-11-08,8.788
2022-11-09,8.622
2022-11-10,9.005
2022-11-11,8.805
2022-11-12,8.805
2022-11-13,8.805
2022-11-14,7.874
2022-11-15,7.854
2022-11-16,7.722
2022-11-17,7.578
2022-11-18,7.585
2022-11-19,7.585
2022-11-20,7.585
2022-11-21,7.78
2022-11-22,7.811
2022-11-23,7.709
2022-11-24,7.709
2022-11-25,7.76
2022-11-26,7.76
2022-11-27,7.76
2022-11-28,7.636
2022-11-29,7.687
2022-11-30,7.811
2022-12-01,7.76
2022-12-02,7.733
2022-12-03,7.733
2022-12-04,7.733
2022-12-05,7.388
2022-12-06,7.408
2022-12-07,7.37
2022-12-08,7.485
2022-12-09,7.437
2022-12-10,7.437
2022-12-11,7.437
2022-12-12,7.468
2022-12-13,7.53
2022-12-14,7.408
2022-12-15,7.284
2022-12-16,7.259
2022-12-17,7.259
2022-12-18,7.259
2022-12-19,7.337
2022-12-20,7.421
2022-12-21,7.603
2022-12-22,7.521
2022-12-23,7.541
2022-12-24,7.541
2022-12-25,7.541
2022-12-26,7.541
2022-12-27,7.558
2022-12-28,7.499
2022-12-29,7.525
2022-12-30,7.43
2022-12-31,7.43
2023-01-01,7.43
2023-01-02,7.43
2023-01-03,7.381
2023-01-04,7.279
2023-01-05,7.151
2023-01-06,7.41
2023-01-07,7.41
2023-01-08,7.41
2023-01-09,7.443
2023-01-10,7.563
2023-01-11,7.702
2023-01-12,7.753
2023-01-13,7.927
2023-01-14,7.927
2023-01-15,7.927
2023-01-16,7.927
2023-01-17,7.765
2023-01-18,7.353
2023-01-19,7.247
2023-01-20,7.301
2023-01-21,7.301
2023-01-22,7.301
2023-01-23,7.288
2023-01-24,7.258
2023-01-25,7.316
2023-01-26,7.34
2023-01-27,7.37
2023-01-28,7.37
2023-01-29,7.37
2023-01-30,7.376
2023-01-31,7.653
2023-02-01,7.746
2023-02-02,7.925
2023-02-03,7.853
2023-02-04,7.853
2023-02-05,7.853
2023-02-06,7.674
2023-02-07,7.778
2023-02-08,7.756
2023-02-09,7.683
2023-02-10,7.713
2023-02-11,7.713
2023-02-12,7.713
2023-02-13,7.774
2023-02-14,7.89
2023-02-15,8.013
2023-02-16,7.86
2023-02-17,7.961
2023-02-18,7.961
2023-02-19,7.961
2023-02-20,7.961
2023-02-21,7.679
2023-02-22,7.633
2023-02-23,7.67
2023-02-24,7.679
2023-02-25,7.679
2023-02-26,7.679
2023-02-27,7.703
2023-02-28,7.622
2023-03-01,7.633
2023-03-02,7.522
2023-03-03,7.488
2023-03-04,7.488
2023-03-05,7.488
2023-03-06,7.666
2023-03-07,7.444
2023-03-08,7.475
2023-03-09,6.892
2023-03-10,6.888
2023-03-11,6.888
2023-03-12,6.888
2023-03-13,7.007
2023-03-14,6.966
2023-03-15,6.851
2023-03-16,6.873
2023-03-17,6.549
2023-03-18,6.549
2023-03-19,6.549
2023-03-20,6.631
2023-03-21,6.986
2023-03-22,6.505
2023-03-23,6.297
2023-03-24,6.477
2023-03-25,6.477
2023-03-26,6.477
2023-03-27,6.61
2023-03-28,6.594
2023-03-29,6.586
2023-03-30,6.804
2023-03-31,6.877
2023-04-01,6.877
2023-04-02,6.877
2023-04-03,6.793
2023-04-04,6.936
2023-04-05,6.901
2023-04-06,6.76
2023-04-07,6.76
2023-04-08,6.76
2023-04-09,6.76
2023-04-10,6.851
2023-04-11,6.745
2023-04-12,6.652
2023-04-13,6.72
2023-04-14,6.758
2023-04-15,6.758
2023-04-16,6.758
2023-04-17,7.347
2023-04-18,7.335
2023-04-19,7.342
2023-04-20,7.243
2023-04-21,7.188
2023-04-22,7.188
2023-04-23,7.188
2023-04-24,7.18
2023-04-25,6.9
2023-04-26,6.915
2023-04-27,7.112
2023-04-28,7.233
2023-04-29,7.233
2023-04-30,7.233
2023-05-01,7.112
2023-05-02,6.619
2023-05-03,6.622
2023-05-04,6.563
2023-05-05,6.839
2023-05-06,6.839
2023-05-07,6.839
2023-05-08,6.67
2023-05-09,6.615
2023-05-10,6.644
2023-05-11,6.542
2023-05-12,6.592
2023-05-13,6.592
2023-05-14,6.592
2023-05-15,6.743
2023-05-16,6.67
2023-05-17,7.064
2023-05-18,6.998
2023-05-19,6.951
2023-05-20,6.951
2023-05-21,6.951
2023-05-22,7.206
2023-05-23,7.211
2023-05-24,7.051
2023-05-25,6.964
2023-05-26,7.046
2023-05-27,7.046
2023-05-28,7.046
2023-05-29,7.046
2023-05-30,7.027
2023-05-31,6.846
2023-06-01,7.014
2023-06-02,7.443
2023-06-03,7.443
2023-06-04,7.443
2023-06-05,7.167
2023-06-06,7.632
2023-06-07,7.904
2023-06-08,7.754
2023-06-09,7.664
2023-06-10,7.664
2023-06-11,7.664
2023-06-12,7.696
2023-06-13,7.819
2023-06-14,7.598
2023-06-15,7.646
2023-06-16,7.724
2023-06-17,7.724
2023-06-18,7.724
2023-06-19,7.724
2023-06-20,7.606
2023-06-21,7.362
2023-06-22,7.132
2023-06-23,6.885
2023-06-24,6.885
2023-06-25,6.885
2023-06-26,6.953
2023-06-27,7.114
2023-06-28,7.121
2023-06-29,7.218
2023-06-30,7.118
2023-07-01,7.118
2023-07-02,7.118
2023-07-03,7.288
2023-07-04,7.288
2023-07-05,7.089
2023-07-06,6.949
2023-07-07,7.148
2023-07-08,7.148
2023-07-09,7.148
2023-07-10,7.285
2023-07-11,7.363
2023-07-12,7.377
2023-07-13,7.493
2023-07-14,7.225
2023-07-15,7.225
2023-07-16,7.225
2023-07-17,7.727
2023-07-18,7.902
2023-07-19,8.306
2023-07-20,8.155
2023-07-21,8.076
2023-07-22,8.076
2023-07-23,8.076
2023-07-24,8.256
2023-07-25,8.205
2023-07-26,8.63
2023-07-27,8.464
2023-07-28,8.665
2023-07-29,8.665
2023-07-30,8.665
2023-07-31,8.588
2023-08-01,8.48
2023-08-02,8.427
2023-08-03,8.535
2023-08-04,8.579
2023-08-05,8.579
2023-08-06,8.579
2023-08-07,8.682
2023-08-08,8.439
2023-08-09,8.364
2023-08-10,8.292
2023-08-11,8.348
2023-08-12,8.348
2023-08-13,8.348
2023-08-14,8.326
2023-08-15,8.002
2023-08-16,7.852
2023-08-17,7.866
2023-08-18,7.952
2023-08-19,7.952
2023-08-20,7.952
2023-08-21,7.777
2023-08-22,7.514
2023-08-23,7.517
2023-08-24,7.525
2023-08-25,7.45
2023-08-26,7.45
2023-08-27,7.45
2023-08-28,7.536
2023-08-29,7.606
2023-08-30,7.592
2023-08-31,7.601
2023-09-01,7.702
2023-09-02,7.702
2023-09-03,7.702
2023-09-04,7.702
2023-09-05,7.493
2023-09-06,7.284
2023-09-07,7.22
2023-09-08,7.267
2023-09-09,7.267
2023-09-10,7.267
2023-09-11,7.209
2023-09-12,7.207
2023-09-13,7.187
2023-09-14,7.379
2023-09-15,7.253
2023-09-16,7.253
2023-09-17,7.253
2023-09-18,7.297
