,BERY US Equity
2020-11-29,7.438
2020-11-30,7.352
2020-12-01,7.639
2020-12-02,7.526
2020-12-03,7.433
2020-12-04,7.605
2020-12-05,7.605
2020-12-06,7.605
2020-12-07,7.518
2020-12-08,7.419
2020-12-09,7.486
2020-12-10,7.376
2020-12-11,7.372
2020-12-12,7.372
2020-12-13,7.372
2020-12-14,7.338
2020-12-15,7.524
2020-12-16,7.524
2020-12-17,7.53
2020-12-18,7.5
2020-12-19,7.5
2020-12-20,7.5
2020-12-21,7.467
2020-12-22,7.414
2020-12-23,7.607
2020-12-24,7.72
2020-12-25,7.72
2020-12-26,7.72
2020-12-27,7.72
2020-12-28,7.647
2020-12-29,7.623
2020-12-30,7.788
2020-12-31,7.794
2021-01-01,7.794
2021-01-02,7.794
2021-01-03,7.794
2021-01-04,7.75
2021-01-05,7.744
2021-01-06,7.834
2021-01-07,7.618
2021-01-08,7.451
2021-01-09,7.451
2021-01-10,7.451
2021-01-11,7.528
2021-01-12,7.519
2021-01-13,7.462
2021-01-14,7.457
2021-01-15,7.346
2021-01-16,7.346
2021-01-17,7.346
2021-01-18,7.346
2021-01-19,7.152
2021-01-20,7.281
2021-01-21,7.392
2021-01-22,7.236
2021-01-23,7.236
2021-01-24,7.236
2021-01-25,7.106
2021-01-26,7.02
2021-01-27,6.823
2021-01-28,6.877
2021-01-29,6.848
2021-01-30,6.848
2021-01-31,6.848
2021-02-01,6.938
2021-02-02,7.1
2021-02-03,7.502
2021-02-04,7.589
2021-02-05,8.299
2021-02-06,8.299
2021-02-07,8.299
2021-02-08,8.942
2021-02-09,9.024
2021-02-10,8.871
2021-02-11,8.709
2021-02-12,8.858
2021-02-13,8.858
2021-02-14,8.858
2021-02-15,8.858
2021-02-16,8.72
2021-02-17,8.7
2021-02-18,8.52
2021-02-19,8.579
2021-02-20,8.579
2021-02-21,8.579
2021-02-22,8.453
2021-02-23,8.493
2021-02-24,8.471
2021-02-25,8.415
2021-02-26,8.307
2021-02-27,8.307
2021-02-28,8.307
2021-03-01,8.607
2021-03-02,8.609
2021-03-03,8.738
2021-03-04,8.672
2021-03-05,8.816
2021-03-06,8.816
2021-03-07,8.816
2021-03-08,8.91
2021-03-09,8.9
2021-03-10,9.044
2021-03-11,8.832
2021-03-12,8.868
2021-03-13,8.868
2021-03-14,8.868
2021-03-15,8.852
2021-03-16,8.745
2021-03-17,8.798
2021-03-18,8.796
2021-03-19,8.76
2021-03-20,8.76
2021-03-21,8.76
2021-03-22,9.035
2021-03-23,9.251
2021-03-24,9.21
2021-03-25,9.215
2021-03-26,9.297
2021-03-27,9.297
2021-03-28,9.297
2021-03-29,9.359
2021-03-30,9.294
2021-03-31,9.207
2021-04-01,9.231
2021-04-02,9.231
2021-04-03,9.231
2021-04-04,9.231
2021-04-05,9.359
2021-04-06,9.398
2021-04-07,9.35
2021-04-08,9.237
2021-04-09,7.698
2021-04-10,7.698
2021-04-11,7.698
2021-04-12,7.692
2021-04-13,7.631
2021-04-14,7.501
2021-04-15,7.705
2021-04-16,7.685
2021-04-17,7.685
2021-04-18,7.685
2021-04-19,7.689
2021-04-20,7.665
2021-04-21,7.732
2021-04-22,7.625
2021-04-23,7.646
2021-04-24,7.646
2021-04-25,7.646
2021-04-26,7.554
2021-04-27,7.539
2021-04-28,7.587
2021-04-29,7.757
2021-04-30,7.785
2021-05-01,7.785
2021-05-02,7.785
2021-05-03,7.826
2021-05-04,8.058
2021-05-05,7.951
2021-05-06,8.106
2021-05-07,8.163
2021-05-08,8.163
2021-05-09,8.163
2021-05-10,8.154
2021-05-11,8.16
2021-05-12,8.047
2021-05-13,8.283
2021-05-14,8.302
2021-05-15,8.302
2021-05-16,8.302
2021-05-17,8.459
2021-05-18,8.337
2021-05-19,8.344
2021-05-20,8.355
2021-05-21,8.446
2021-05-22,8.446
2021-05-23,8.446
2021-05-24,8.344
2021-05-25,8.204
2021-05-26,8.182
2021-05-27,8.182
2021-05-28,8.185
2021-05-29,8.185
2021-05-30,8.185
2021-05-31,8.185
2021-06-01,8.249
2021-06-02,8.176
2021-06-03,8.208
2021-06-04,8.241
2021-06-05,8.241
2021-06-06,8.241
2021-06-07,8.06
2021-06-08,8.002
2021-06-09,7.965
2021-06-10,7.929
2021-06-11,8.041
2021-06-12,8.041
2021-06-13,8.041
2021-06-14,7.999
2021-06-15,7.898
2021-06-16,7.88
2021-06-17,7.726
2021-06-18,7.584
2021-06-19,7.584
2021-06-20,7.584
2021-06-21,7.706
2021-06-22,7.75
2021-06-23,7.65
2021-06-24,7.86
2021-06-25,8.044
2021-06-26,8.044
2021-06-27,8.044
2021-06-28,7.975
2021-06-29,7.935
2021-06-30,7.938
2021-07-01,7.969
2021-07-02,8.032
2021-07-03,8.032
2021-07-04,8.032
2021-07-05,8.032
2021-07-06,7.948
2021-07-07,8.125
2021-07-08,7.954
2021-07-09,8.07
2021-07-10,8.07
2021-07-11,8.07
2021-07-12,8.06
2021-07-13,7.972
2021-07-14,8.022
2021-07-15,7.947
2021-07-16,7.912
2021-07-17,7.912
2021-07-18,7.912
2021-07-19,7.77
2021-07-20,7.818
2021-07-21,7.798
2021-07-22,7.722
2021-07-23,7.759
2021-07-24,7.759
2021-07-25,7.759
2021-07-26,7.841
2021-07-27,7.807
2021-07-28,7.766
2021-07-29,7.815
2021-07-30,7.823
2021-07-31,7.823
2021-08-01,7.823
2021-08-02,7.854
2021-08-03,7.941
2021-08-04,7.751
2021-08-05,7.671
2021-08-06,7.783
2021-08-07,7.783
2021-08-08,7.783
2021-08-09,7.936
2021-08-10,7.954
2021-08-11,7.968
2021-08-12,8.001
2021-08-13,8.015
2021-08-14,8.015
2021-08-15,8.015
2021-08-16,8.028
2021-08-17,7.916
2021-08-18,7.929
2021-08-19,7.814
2021-08-20,7.831
2021-08-21,7.831
2021-08-22,7.831
2021-08-23,7.842
2021-08-24,7.89
2021-08-25,8.246
2021-08-26,8.161
2021-08-27,8.166
2021-08-28,8.166
2021-08-29,8.166
2021-08-30,8.242
2021-08-31,8.228
2021-09-01,8.337
2021-09-02,8.411
2021-09-03,8.378
2021-09-04,8.378
2021-09-05,8.378
2021-09-06,8.378
2021-09-07,8.038
2021-09-08,8.012
2021-09-09,7.87
2021-09-10,7.84
2021-09-11,7.84
2021-09-12,7.84
2021-09-13,7.891
2021-09-14,7.763
2021-09-15,7.804
2021-09-16,7.687
2021-09-17,7.478
2021-09-18,7.478
2021-09-19,7.478
2021-09-20,7.433
2021-09-21,7.367
2021-09-22,7.546
2021-09-23,7.717
2021-09-24,7.643
2021-09-25,7.643
2021-09-26,7.643
2021-09-27,7.65
2021-09-28,7.584
2021-09-29,7.581
2021-09-30,7.458
2021-10-01,7.509
2021-10-02,7.509
2021-10-03,7.509
2021-10-04,7.515
2021-10-05,7.608
2021-10-06,7.552
2021-10-07,7.556
2021-10-08,7.393
2021-10-09,7.393
2021-10-10,7.393
2021-10-11,7.355
2021-10-12,7.372
2021-10-13,7.383
2021-10-14,7.557
2021-10-15,7.781
2021-10-16,7.781
2021-10-17,7.781
2021-10-18,7.791
2021-10-19,7.941
2021-10-20,8.069
2021-10-21,8.033
2021-10-22,8.18
2021-10-23,8.18
2021-10-24,8.18
2021-10-25,8.192
2021-10-26,8.202
2021-10-27,8.152
2021-10-28,8.243
2021-10-29,8.012
2021-10-30,8.012
2021-10-31,8.012
2021-11-01,8.128
2021-11-02,8.273
2021-11-03,8.403
2021-11-04,8.242
2021-11-05,8.323
2021-11-06,8.323
2021-11-07,8.323
2021-11-08,8.207
2021-11-09,8.253
2021-11-10,8.225
2021-11-11,8.267
2021-11-12,8.401
2021-11-13,8.401
2021-11-14,8.401
2021-11-15,8.369
2021-11-16,8.49
2021-11-17,8.587
2021-11-18,8.225
2021-11-19,7.728
2021-11-20,7.728
2021-11-21,7.728
2021-11-22,7.836
2021-11-23,7.693
2021-11-24,7.639
2021-11-25,7.639
2021-11-26,7.793
2021-11-27,7.793
2021-11-28,7.793
2021-11-29,8.395
2021-11-30,8.067
2021-12-01,8.069
2021-12-02,8.233
2021-12-03,8.183
2021-12-04,8.183
2021-12-05,8.183
2021-12-06,8.263
2021-12-07,8.402
2021-12-08,8.408
2021-12-09,8.368
2021-12-10,8.408
2021-12-11,8.408
2021-12-12,8.408
2021-12-13,8.255
2021-12-14,8.15
2021-12-15,8.18
2021-12-16,8.199
2021-12-17,8.047
2021-12-18,8.047
2021-12-19,8.047
2021-12-20,7.861
2021-12-21,8.095
2021-12-22,8.131
2021-12-23,8.16
2021-12-24,8.16
2021-12-25,8.16
2021-12-26,8.16
2021-12-27,8.311
2021-12-28,8.467
2021-12-29,8.581
2021-12-30,8.512
2021-12-31,8.563
2022-01-01,8.563
2022-01-02,8.563
2022-01-03,8.458
2022-01-04,8.544
2022-01-05,8.498
2022-01-06,8.52
2022-01-07,8.507
2022-01-08,8.507
2022-01-09,8.507
2022-01-10,8.382
2022-01-11,8.411
2022-01-12,8.632
2022-01-13,8.682
2022-01-14,8.582
2022-01-15,8.582
2022-01-16,8.582
2022-01-17,8.582
2022-01-18,8.533
2022-01-19,8.658
2022-01-20,8.512
2022-01-21,8.196
2022-01-22,8.196
2022-01-23,8.196
2022-01-24,8.094
2022-01-25,8.012
2022-01-26,7.827
2022-01-27,7.934
2022-01-28,7.924
2022-01-29,7.924
2022-01-30,7.924
2022-01-31,7.97
2022-02-01,7.975
2022-02-02,7.957
2022-02-03,7.372
2022-02-04,7.065
2022-02-05,7.065
2022-02-06,7.065
2022-02-07,7.189
2022-02-08,7.151
2022-02-09,7.184
2022-02-10,7.148
2022-02-11,7.058
2022-02-12,7.058
2022-02-13,7.058
2022-02-14,7.101
2022-02-15,7.237
2022-02-16,7.206
2022-02-17,7.155
2022-02-18,7.118
2022-02-19,7.118
2022-02-20,7.118
2022-02-21,7.118
2022-02-22,7.026
2022-02-23,6.949
2022-02-24,6.874
2022-02-25,7.092
2022-02-26,7.092
2022-02-27,7.092
2022-02-28,6.917
2022-03-01,6.637
2022-03-02,6.693
2022-03-03,6.709
2022-03-04,6.499
2022-03-05,6.499
2022-03-06,6.499
2022-03-07,6.073
2022-03-08,6.158
2022-03-09,6.474
2022-03-10,6.481
2022-03-11,6.468
2022-03-12,6.468
2022-03-13,6.468
2022-03-14,6.646
2022-03-15,6.661
2022-03-16,6.751
2022-03-17,6.84
2022-03-18,6.882
2022-03-19,6.882
2022-03-20,6.882
2022-03-21,6.774
2022-03-22,6.855
2022-03-23,6.625
2022-03-24,6.607
2022-03-25,6.693
2022-03-26,6.693
2022-03-27,6.693
2022-03-28,6.644
2022-03-29,6.933
2022-03-30,6.722
2022-03-31,6.611
2022-04-01,6.775
2022-04-02,6.775
2022-04-03,6.775
2022-04-04,6.628
2022-04-05,6.544
2022-04-06,6.498
2022-04-07,6.394
2022-04-08,6.459
2022-04-09,6.459
2022-04-10,6.459
2022-04-11,6.54
2022-04-12,6.468
2022-04-13,6.53
2022-04-14,6.529
2022-04-15,6.529
2022-04-16,6.529
2022-04-17,6.529
2022-04-18,6.369
2022-04-19,6.662
2022-04-20,6.776
2022-04-21,6.772
2022-04-22,6.596
2022-04-23,6.596
2022-04-24,6.596
2022-04-25,6.555
2022-04-26,6.362
2022-04-27,6.545
2022-04-28,6.693
2022-04-29,6.525
2022-04-30,6.525
2022-05-01,6.525
2022-05-02,6.593
2022-05-03,6.684
2022-05-04,6.919
2022-05-05,6.695
2022-05-06,6.827
2022-05-07,6.827
2022-05-08,6.827
2022-05-09,6.348
2022-05-10,6.233
2022-05-11,5.986
2022-05-12,5.964
2022-05-13,6.094
2022-05-14,6.094
2022-05-15,6.094
2022-05-16,6.106
2022-05-17,6.366
2022-05-18,6.09
2022-05-19,6.168
2022-05-20,6.161
2022-05-21,6.161
2022-05-22,6.161
2022-05-23,6.341
2022-05-24,6.387
2022-05-25,6.43
2022-05-26,6.568
2022-05-27,6.674
2022-05-28,6.674
2022-05-29,6.674
2022-05-30,6.674
2022-05-31,6.587
2022-06-01,6.539
2022-06-02,6.71
2022-06-03,6.704
2022-06-04,6.704
2022-06-05,6.704
2022-06-06,6.823
2022-06-07,6.807
2022-06-08,6.731
2022-06-09,6.663
2022-06-10,6.451
2022-06-11,6.451
2022-06-12,6.451
2022-06-13,6.142
2022-06-14,6.115
2022-06-15,6.163
2022-06-16,5.762
2022-06-17,5.863
2022-06-18,5.863
2022-06-19,5.863
2022-06-20,5.863
2022-06-21,5.889
2022-06-22,5.912
2022-06-23,6.082
2022-06-24,6.453
2022-06-25,6.453
2022-06-26,6.453
2022-06-27,6.474
2022-06-28,6.342
2022-06-29,6.206
2022-06-30,6.171
2022-07-01,6.26
2022-07-02,6.26
2022-07-03,6.26
2022-07-04,6.26
2022-07-05,6.156
2022-07-06,6.147
2022-07-07,6.151
2022-07-08,5.96
2022-07-09,5.96
2022-07-10,5.96
2022-07-11,5.936
2022-07-12,5.99
2022-07-13,5.957
2022-07-14,5.931
2022-07-15,5.935
2022-07-16,5.935
2022-07-17,5.935
2022-07-18,6.167
2022-07-19,6.376
2022-07-20,6.503
2022-07-21,6.633
2022-07-22,6.599
2022-07-23,6.599
2022-07-24,6.599
2022-07-25,6.595
2022-07-26,6.563
2022-07-27,6.667
2022-07-28,6.694
2022-07-29,6.721
2022-07-30,6.721
2022-07-31,6.721
2022-08-01,6.725
2022-08-02,6.391
2022-08-03,6.316
2022-08-04,6.446
2022-08-05,6.386
2022-08-06,6.386
2022-08-07,6.386
2022-08-08,6.591
2022-08-09,6.585
2022-08-10,6.936
2022-08-11,6.916
2022-08-12,7.038
2022-08-13,7.038
2022-08-14,7.038
2022-08-15,7.112
2022-08-16,7.204
2022-08-17,7.031
2022-08-18,7.002
2022-08-19,6.908
2022-08-20,6.908
2022-08-21,6.908
2022-08-22,6.703
2022-08-23,6.809
2022-08-24,6.78
2022-08-25,6.862
2022-08-26,6.559
2022-08-27,6.559
2022-08-28,6.559
2022-08-29,6.586
2022-08-30,6.493
2022-08-31,6.393
2022-09-01,6.349
2022-09-02,6.353
2022-09-03,6.353
2022-09-04,6.353
2022-09-05,6.353
2022-09-06,6.267
2022-09-07,6.525
2022-09-08,6.607
2022-09-09,6.807
2022-09-10,6.807
2022-09-11,6.807
2022-09-12,6.865
2022-09-13,6.539
2022-09-14,6.289
2022-09-15,6.318
2022-09-16,6.098
2022-09-17,6.098
2022-09-18,6.098
2022-09-19,6.186
2022-09-20,5.96
2022-09-21,5.81
2022-09-22,5.618
2022-09-23,5.588
2022-09-24,5.588
2022-09-25,5.588
2022-09-26,5.46
2022-09-27,5.413
2022-09-28,5.606
2022-09-29,5.507
2022-09-30,5.475
2022-10-01,5.475
2022-10-02,5.475
2022-10-03,5.6
2022-10-04,5.777
2022-10-05,5.761
2022-10-06,5.697
2022-10-07,5.495
2022-10-08,5.495
2022-10-09,5.495
2022-10-10,5.427
2022-10-11,5.438
2022-10-12,5.349
2022-10-13,5.487
2022-10-14,5.42
2022-10-15,5.42
2022-10-16,5.42
2022-10-17,5.598
2022-10-18,5.686
2022-10-19,5.582
2022-10-20,5.433
2022-10-21,5.609
2022-10-22,5.609
2022-10-23,5.609
2022-10-24,5.56
2022-10-25,5.613
2022-10-26,5.589
2022-10-27,5.493
2022-10-28,5.704
2022-10-29,5.704
2022-10-30,5.704
2022-10-31,5.593
2022-11-01,5.644
2022-11-02,5.477
2022-11-03,5.454
2022-11-04,5.655
2022-11-05,5.655
2022-11-06,5.655
2022-11-07,5.759
2022-11-08,5.781
2022-11-09,5.753
2022-11-10,6.141
2022-11-11,6.154
2022-11-12,6.154
2022-11-13,6.154
2022-11-14,6.032
2022-11-15,6.35
2022-11-16,6.428
2022-11-17,6.631
2022-11-18,6.629
2022-11-19,6.629
2022-11-20,6.629
2022-11-21,6.57
2022-11-22,6.797
2022-11-23,6.937
2022-11-24,6.937
2022-11-25,6.971
2022-11-26,6.971
2022-11-27,6.971
2022-11-28,6.902
2022-11-29,6.968
2022-11-30,7.176
2022-12-01,7.416
2022-12-02,7.456
2022-12-03,7.456
2022-12-04,7.456
2022-12-05,7.452
2022-12-06,7.547
2022-12-07,7.46
2022-12-08,7.446
2022-12-09,7.37
2022-12-10,7.37
2022-12-11,7.37
2022-12-12,7.487
2022-12-13,7.574
2022-12-14,7.525
2022-12-15,7.371
2022-12-16,7.336
2022-12-17,7.336
2022-12-18,7.336
2022-12-19,7.239
2022-12-20,7.224
2022-12-21,7.287
2022-12-22,7.228
2022-12-23,7.345
2022-12-24,7.345
2022-12-25,7.345
2022-12-26,7.345
2022-12-27,7.465
2022-12-28,7.294
2022-12-29,7.447
2022-12-30,7.419
2022-12-31,7.419
2023-01-01,7.419
2023-01-02,7.419
2023-01-03,7.423
2023-01-04,7.565
2023-01-05,7.38
2023-01-06,7.467
2023-01-07,7.467
2023-01-08,7.467
2023-01-09,7.478
2023-01-10,7.446
2023-01-11,7.476
2023-01-12,7.472
2023-01-13,7.447
2023-01-14,7.447
2023-01-15,7.447
2023-01-16,7.447
2023-01-17,7.369
2023-01-18,7.244
2023-01-19,7.123
2023-01-20,7.19
2023-01-21,7.19
2023-01-22,7.19
2023-01-23,7.248
2023-01-24,7.134
2023-01-25,7.036
2023-01-26,7.174
2023-01-27,7.243
2023-01-28,7.243
2023-01-29,7.243
2023-01-30,7.251
2023-01-31,7.472
2023-02-01,7.467
2023-02-02,8.031
2023-02-03,7.904
2023-02-04,7.904
2023-02-05,7.904
2023-02-06,7.811
2023-02-07,7.801
2023-02-08,7.605
2023-02-09,7.579
2023-02-10,7.679
2023-02-11,7.679
2023-02-12,7.679
2023-02-13,7.775
2023-02-14,7.785
2023-02-15,7.844
2023-02-16,7.716
2023-02-17,7.759
2023-02-18,7.759
2023-02-19,7.759
2023-02-20,7.759
2023-02-21,7.511
2023-02-22,7.478
2023-02-23,7.495
2023-02-24,7.508
2023-02-25,7.508
2023-02-26,7.508
2023-02-27,7.572
2023-02-28,7.632
2023-03-01,7.796
2023-03-02,7.8
2023-03-03,7.852
2023-03-04,7.852
2023-03-05,7.852
2023-03-06,7.601
2023-03-07,7.536
2023-03-08,7.438
2023-03-09,7.283
2023-03-10,7.082
2023-03-11,7.082
2023-03-12,7.082
2023-03-13,6.966
2023-03-14,7.061
2023-03-15,6.804
2023-03-16,6.903
2023-03-17,6.682
2023-03-18,6.682
2023-03-19,6.682
2023-03-20,6.844
2023-03-21,6.961
2023-03-22,6.948
2023-03-23,6.896
2023-03-24,6.914
2023-03-25,6.914
2023-03-26,6.914
2023-03-27,6.981
2023-03-28,7.037
2023-03-29,7.077
2023-03-30,7.215
2023-03-31,7.337
2023-04-01,7.337
2023-04-02,7.337
2023-04-03,7.288
2023-04-04,7.185
2023-04-05,7.222
2023-04-06,7.225
2023-04-07,7.225
2023-04-08,7.225
2023-04-09,7.225
2023-04-10,7.264
2023-04-11,7.149
2023-04-12,7.178
2023-04-13,7.242
2023-04-14,7.099
2023-04-15,7.099
2023-04-16,7.099
2023-04-17,7.141
2023-04-18,7.173
2023-04-19,7.151
2023-04-20,7.111
2023-04-21,7.071
2023-04-22,7.071
2023-04-23,7.071
2023-04-24,7.079
2023-04-25,6.891
2023-04-26,6.813
2023-04-27,6.913
2023-04-28,7.055
2023-04-29,7.055
2023-04-30,7.055
2023-05-01,7.072
2023-05-02,6.862
2023-05-03,6.596
2023-05-04,6.886
2023-05-05,7.002
2023-05-06,7.002
2023-05-07,7.002
2023-05-08,7.126
2023-05-09,7.21
2023-05-10,7.081
2023-05-11,7.042
2023-05-12,6.974
2023-05-13,6.974
2023-05-14,6.974
2023-05-15,7.145
2023-05-16,7.008
2023-05-17,7.121
2023-05-18,7.263
2023-05-19,7.168
2023-05-20,7.168
2023-05-21,7.168
2023-05-22,7.279
2023-05-23,7.22
2023-05-24,7.328
2023-05-25,7.201
2023-05-26,7.208
2023-05-27,7.208
2023-05-28,7.208
2023-05-29,7.208
2023-05-30,7.112
2023-05-31,7.018
2023-06-01,7.093
2023-06-02,7.353
2023-06-03,7.353
2023-06-04,7.353
2023-06-05,7.456
2023-06-06,7.54
2023-06-07,7.629
2023-06-08,7.557
2023-06-09,7.52
2023-06-10,7.52
2023-06-11,7.52
2023-06-12,7.611
2023-06-13,7.748
2023-06-14,7.69
2023-06-15,7.779
2023-06-16,7.946
2023-06-17,7.946
2023-06-18,7.946
2023-06-19,7.946
2023-06-20,7.573
2023-06-21,7.628
2023-06-22,7.621
2023-06-23,7.514
2023-06-24,7.514
2023-06-25,7.514
2023-06-26,7.574
2023-06-27,7.755
2023-06-28,7.685
2023-06-29,7.715
2023-06-30,7.77
2023-07-01,7.77
2023-07-02,7.77
2023-07-03,7.815
2023-07-04,7.815
2023-07-05,7.667
2023-07-06,7.657
2023-07-07,7.797
2023-07-08,7.797
2023-07-09,7.797
2023-07-10,7.859
2023-07-11,7.953
2023-07-12,8.014
2023-07-13,7.948
2023-07-14,7.882
2023-07-15,7.882
2023-07-16,7.882
2023-07-17,7.849
2023-07-18,7.987
2023-07-19,7.987
2023-07-20,7.982
2023-07-21,8.005
2023-07-22,8.005
2023-07-23,8.005
2023-07-24,8.073
2023-07-25,8.047
2023-07-26,7.884
2023-07-27,7.824
2023-07-28,7.838
2023-07-29,7.838
2023-07-30,7.838
2023-07-31,7.873
2023-08-01,7.781
2023-08-02,7.56
2023-08-03,7.521
2023-08-04,7.534
2023-08-05,7.534
2023-08-06,7.534
2023-08-07,7.614
2023-08-08,7.393
2023-08-09,7.805
2023-08-10,8.228
2023-08-11,8.187
2023-08-12,8.187
2023-08-13,8.187
2023-08-14,8.145
2023-08-15,8.077
2023-08-16,7.958
2023-08-17,7.91
2023-08-18,7.753
2023-08-19,7.753
2023-08-20,7.753
2023-08-21,7.735
2023-08-22,7.733
2023-08-23,7.744
2023-08-24,7.745
2023-08-25,7.812
2023-08-26,7.812
2023-08-27,7.812
2023-08-28,7.953
2023-08-29,8.069
2023-08-30,8.05
2023-08-31,8.135
2023-09-01,8.2
2023-09-02,8.2
2023-09-03,8.2
2023-09-04,8.2
2023-09-05,7.798
2023-09-06,7.808
2023-09-07,7.602
2023-09-08,7.712
2023-09-09,7.712
2023-09-10,7.712
2023-09-11,7.794
2023-09-12,7.823
2023-09-13,8.014
2023-09-14,8.118
2023-09-15,8.046
2023-09-16,8.046
2023-09-17,8.046
2023-09-18,7.888
2023-09-19,7.881
