,TPIC US Equity
2020-11-26,5.663
2020-11-27,5.894
2020-11-28,5.894
2020-11-29,5.894
2020-11-30,5.69
2020-12-01,6.208
2020-12-02,6.4
2020-12-03,6.018
2020-12-04,5.88
2020-12-05,5.88
2020-12-06,5.88
2020-12-07,5.95
2020-12-08,6.14
2020-12-09,5.861
2020-12-10,5.779
2020-12-11,5.748
2020-12-12,5.748
2020-12-13,5.748
2020-12-14,6.154
2020-12-15,6.238
2020-12-16,6.413
2020-12-17,6.601
2020-12-18,7.158
2020-12-19,7.158
2020-12-20,7.158
2020-12-21,7.577
2020-12-22,8.24
2020-12-23,8.034
2020-12-24,7.799
2020-12-25,7.799
2020-12-26,7.799
2020-12-27,7.799
2020-12-28,7.62
2020-12-29,7.328
2020-12-30,7.372
2020-12-31,7.465
2021-01-01,7.465
2021-01-02,7.465
2021-01-03,7.465
2021-01-04,7.965
2021-01-05,8.197
2021-01-06,8.854
2021-01-07,9.127
2021-01-08,9.132
2021-01-09,9.132
2021-01-10,9.132
2021-01-11,9.685
2021-01-12,9.891
2021-01-13,9.69
2021-01-14,9.762
2021-01-15,8.789
2021-01-16,8.789
2021-01-17,8.789
2021-01-18,8.789
2021-01-19,9.239
2021-01-20,9.24
2021-01-21,9.713
2021-01-22,9.692
2021-01-23,9.692
2021-01-24,9.692
2021-01-25,9.636
2021-01-26,9.16
2021-01-27,8.54
2021-01-28,8.597
2021-01-29,8.474
2021-01-30,8.474
2021-01-31,8.474
2021-02-01,8.859
2021-02-02,9.569
2021-02-03,9.69
2021-02-04,9.919
2021-02-05,9.911
2021-02-06,9.911
2021-02-07,9.911
2021-02-08,10.373
2021-02-09,10.61
2021-02-10,10.266
2021-02-11,10.736
2021-02-12,11.137
2021-02-13,11.137
2021-02-14,11.137
2021-02-15,11.137
2021-02-16,10.97
2021-02-17,10.487
2021-02-18,9.501
2021-02-19,9.972
2021-02-20,9.972
2021-02-21,9.972
2021-02-22,8.926
2021-02-23,8.803
2021-02-24,9.252
2021-02-25,8.648
2021-02-26,6.741
2021-02-27,6.741
2021-02-28,6.741
2021-03-01,7.349
2021-03-02,6.884
2021-03-03,6.521
2021-03-04,6.216
2021-03-05,6.004
2021-03-06,6.004
2021-03-07,6.004
2021-03-08,5.754
2021-03-09,6.803
2021-03-10,7.076
2021-03-11,7.248
2021-03-12,7.133
2021-03-13,7.133
2021-03-14,7.133
2021-03-15,7.634
2021-03-16,7.335
2021-03-17,7.438
2021-03-18,6.833
2021-03-19,7.334
2021-03-20,7.334
2021-03-21,7.334
2021-03-22,7.281
2021-03-23,6.911
2021-03-24,6.638
2021-03-25,6.952
2021-03-26,7.372
2021-03-27,7.372
2021-03-28,7.372
2021-03-29,6.9
2021-03-30,7.61
2021-03-31,7.982
2021-04-01,8.099
2021-04-02,8.099
2021-04-03,8.099
2021-04-04,8.099
2021-04-05,8.205
2021-04-06,8.19
2021-04-07,7.703
2021-04-08,8.013
2021-04-09,7.506
2021-04-10,7.506
2021-04-11,7.506
2021-04-12,7.584
2021-04-13,7.474
2021-04-14,7.53
2021-04-15,7.281
2021-04-16,7.028
2021-04-17,7.028
2021-04-18,7.028
2021-04-19,9.721
2021-04-20,10.122
2021-04-21,10.515
2021-04-22,11.277
2021-04-23,11.619
2021-04-24,11.619
2021-04-25,11.619
2021-04-26,11.87
2021-04-27,11.657
2021-04-28,11.435
2021-04-29,11.152
2021-04-30,10.609
2021-05-01,10.609
2021-05-02,10.609
2021-05-03,10.515
2021-05-04,9.934
2021-05-05,9.663
2021-05-06,9.516
2021-05-07,9.702
2021-05-08,9.702
2021-05-09,9.702
2021-05-10,9.175
2021-05-11,9.058
2021-05-12,8.647
2021-05-13,8.339
2021-05-14,8.968
2021-05-15,8.968
2021-05-16,8.968
2021-05-17,8.782
2021-05-18,8.891
2021-05-19,9.145
2021-05-20,9.391
2021-05-21,9.579
2021-05-22,9.579
2021-05-23,9.579
2021-05-24,9.575
2021-05-25,9.681
2021-05-26,9.806
2021-05-27,10.046
2021-05-28,9.738
2021-05-29,9.738
2021-05-30,9.738
2021-05-31,9.738
2021-06-01,9.714
2021-06-02,9.339
2021-06-03,8.978
2021-06-04,8.911
2021-06-05,8.911
2021-06-06,8.911
2021-06-07,8.976
2021-06-08,9.274
2021-06-09,9.377
2021-06-10,10.185
2021-06-11,10.121
2021-06-12,10.121
2021-06-13,10.121
2021-06-14,10.432
2021-06-15,10.098
2021-06-16,10.38
2021-06-17,10.604
2021-06-18,10.124
2021-06-19,10.124
2021-06-20,10.124
2021-06-21,10.245
2021-06-22,10.378
2021-06-23,10.565
2021-06-24,10.831
2021-06-25,10.778
2021-06-26,10.778
2021-06-27,10.778
2021-06-28,11.522
2021-06-29,11.124
2021-06-30,11.08
2021-07-01,11.076
2021-07-02,10.769
2021-07-03,10.769
2021-07-04,10.769
2021-07-05,10.769
2021-07-06,10.851
2021-07-07,10.524
2021-07-08,10.334
2021-07-09,10.357
2021-07-10,10.357
2021-07-11,10.357
2021-07-12,10.462
2021-07-13,10.568
2021-07-14,9.831
2021-07-15,9.309
2021-07-16,9.27
2021-07-17,9.27
2021-07-18,9.27
2021-07-19,9.05
2021-07-20,9.481
2021-07-21,9.786
2021-07-22,9.635
2021-07-23,8.656
2021-07-24,8.656
2021-07-25,8.656
2021-07-26,8.855
2021-07-27,8.77
2021-07-28,9.27
2021-07-29,9.069
2021-07-30,9.275
2021-07-31,9.275
2021-08-01,9.275
2021-08-02,9.551
2021-08-03,9.71
2021-08-04,9.707
2021-08-05,9.978
2021-08-06,10.554
2021-08-07,10.554
2021-08-08,10.554
2021-08-09,10.908
2021-08-10,10.989
2021-08-11,10.745
2021-08-12,10.783
2021-08-13,10.383
2021-08-14,10.383
2021-08-15,10.383
2021-08-16,9.802
2021-08-17,9.449
2021-08-18,9.365
2021-08-19,9.195
2021-08-20,9.569
2021-08-21,9.569
2021-08-22,9.569
2021-08-23,9.898
2021-08-24,10.287
2021-08-25,10.503
2021-08-26,10.594
2021-08-27,10.812
2021-08-28,10.812
2021-08-29,10.812
2021-08-30,9.975
2021-08-31,9.216
2021-09-01,9.221
2021-09-02,9.373
2021-09-03,9.492
2021-09-04,9.492
2021-09-05,9.492
2021-09-06,9.492
2021-09-07,9.477
2021-09-08,8.934
2021-09-09,9.151
2021-09-10,9.125
2021-09-11,9.125
2021-09-12,9.125
2021-09-13,9.439
2021-09-14,9.297
2021-09-15,9.419
2021-09-16,9.11
2021-09-17,9.533
2021-09-18,9.533
2021-09-19,9.533
2021-09-20,9.084
2021-09-21,9.014
2021-09-22,9.112
2021-09-23,9.286
2021-09-24,8.946
2021-09-25,8.946
2021-09-26,8.946
2021-09-27,9.208
2021-09-28,8.905
2021-09-29,8.674
2021-09-30,8.759
2021-10-01,8.85
2021-10-02,8.85
2021-10-03,8.85
2021-10-04,8.17
2021-10-05,8.323
2021-10-06,8.233
2021-10-07,8.321
2021-10-08,8.199
2021-10-09,8.199
2021-10-10,8.199
2021-10-11,8.796
2021-10-12,9.208
2021-10-13,9.063
2021-10-14,9.273
2021-10-15,9.208
2021-10-16,9.208
2021-10-17,9.208
2021-10-18,8.585
2021-10-19,8.848
2021-10-20,8.749
2021-10-21,8.537
2021-10-22,8.287
2021-10-23,8.287
2021-10-24,8.287
2021-10-25,8.57
2021-10-26,8.135
2021-10-27,7.809
2021-10-28,8.484
2021-10-29,8.499
2021-10-30,8.499
2021-10-31,8.499
2021-11-01,8.999
2021-11-02,8.431
2021-11-03,8.052
2021-11-04,8.282
2021-11-05,7.463
2021-11-06,7.463
2021-11-07,7.463
2021-11-08,7.859
2021-11-09,8.399
2021-11-10,9.123
2021-11-11,8.799
2021-11-12,8.718
2021-11-13,8.718
2021-11-14,8.718
2021-11-15,8.515
2021-11-16,8.386
2021-11-17,8.254
2021-11-18,7.808
2021-11-19,8.01
2021-11-20,8.01
2021-11-21,8.01
2021-11-22,6.438
2021-11-23,6.13
2021-11-24,6.065
2021-11-25,6.065
2021-11-26,5.824
2021-11-27,5.824
2021-11-28,5.824
2021-11-29,5.679
2021-11-30,5.503
2021-12-01,5.04
2021-12-02,5.105
2021-12-03,5.077
2021-12-04,5.077
2021-12-05,5.077
2021-12-06,5.361
2021-12-07,5.247
2021-12-08,5.377
2021-12-09,5.083
2021-12-10,4.948
2021-12-11,4.948
2021-12-12,4.948
2021-12-13,4.963
2021-12-14,4.478
2021-12-15,4.682
2021-12-16,4.867
2021-12-17,5.019
2021-12-18,5.019
2021-12-19,5.019
2021-12-20,4.685
2021-12-21,5.052
2021-12-22,4.728
2021-12-23,4.84
2021-12-24,4.84
2021-12-25,4.84
2021-12-26,4.84
2021-12-27,4.642
2021-12-28,4.617
2021-12-29,4.469
2021-12-30,4.534
2021-12-31,4.617
2022-01-01,4.617
2022-01-02,4.617
2022-01-03,4.645
2022-01-04,4.784
2022-01-05,4.333
2022-01-06,4.349
2022-01-07,4.324
2022-01-08,4.324
2022-01-09,4.324
2022-01-10,4.213
2022-01-11,4.244
2022-01-12,4.164
2022-01-13,4.068
2022-01-14,4.065
2022-01-15,4.065
2022-01-16,4.065
2022-01-17,4.065
2022-01-18,3.802
2022-01-19,3.648
2022-01-20,3.688
2022-01-21,3.762
2022-01-22,3.762
2022-01-23,3.762
2022-01-24,3.898
2022-01-25,3.559
2022-01-26,3.448
2022-01-27,3.296
2022-01-28,3.472
2022-01-29,3.472
2022-01-30,3.472
2022-01-31,3.725
2022-02-01,3.735
2022-02-02,3.485
2022-02-03,5.658
2022-02-04,5.842
2022-02-05,5.842
2022-02-06,5.842
2022-02-07,5.647
2022-02-08,5.705
2022-02-09,5.863
2022-02-10,5.589
2022-02-11,5.316
2022-02-12,5.316
2022-02-13,5.316
2022-02-14,5.432
2022-02-15,5.737
2022-02-16,5.889
2022-02-17,5.716
2022-02-18,5.521
2022-02-19,5.521
2022-02-20,5.521
2022-02-21,5.521
2022-02-22,5.158
2022-02-23,5.126
2022-02-24,5.974
2022-02-25,6.195
2022-02-26,6.195
2022-02-27,6.195
2022-02-28,7.36
2022-03-01,7.637
2022-03-02,6.57
2022-03-03,6.777
2022-03-04,6.57
2022-03-05,6.57
2022-03-06,6.57
2022-03-07,6.93
2022-03-08,8.1
2022-03-09,8.068
2022-03-10,8.247
2022-03-11,8.036
2022-03-12,8.036
2022-03-13,8.036
2022-03-14,7.092
2022-03-15,7.479
2022-03-16,7.991
2022-03-17,8.446
2022-03-18,8.736
2022-03-19,8.736
2022-03-20,8.736
2022-03-21,8.702
2022-03-22,8.867
2022-03-23,8.589
2022-03-24,8.64
2022-03-25,8.378
2022-03-26,8.378
2022-03-27,8.378
2022-03-28,8.162
2022-03-29,8.475
2022-03-30,8.093
2022-03-31,8.002
2022-04-01,7.917
2022-04-02,7.917
2022-04-03,7.917
2022-04-04,8.446
2022-04-05,8.167
2022-04-06,7.877
2022-04-07,7.809
2022-04-08,7.61
2022-04-09,7.61
2022-04-10,7.61
2022-04-11,7.957
2022-04-12,7.712
2022-04-13,7.61
2022-04-14,7.325
2022-04-15,7.325
2022-04-16,7.325
2022-04-17,7.325
2022-04-18,6.961
2022-04-19,7.353
2022-04-20,7.177
2022-04-21,6.881
2022-04-22,6.847
2022-04-23,6.847
2022-04-24,6.847
2022-04-25,7.224
2022-04-26,6.869
2022-04-27,6.887
2022-04-28,6.84
2022-04-29,6.757
2022-04-30,6.757
2022-05-01,6.757
2022-05-02,6.858
2022-05-03,7.094
2022-05-04,7.767
2022-05-05,7.301
2022-05-06,10.425
2022-05-07,10.425
2022-05-08,10.425
2022-05-09,9.218
2022-05-10,9.175
2022-05-11,8.52
2022-05-12,8.844
2022-05-13,10.34
2022-05-14,10.34
2022-05-15,10.34
2022-05-16,10.264
2022-05-17,10.629
2022-05-18,10.833
2022-05-19,13.206
2022-05-20,13.474
2022-05-21,13.474
2022-05-22,13.474
2022-05-23,13.435
2022-05-24,12.66
2022-05-25,13.234
2022-05-26,13.579
2022-05-27,14.182
2022-05-28,14.182
2022-05-29,14.182
2022-05-30,14.182
2022-05-31,13.196
2022-06-01,13.148
2022-06-02,14.038
2022-06-03,13.952
2022-06-04,13.952
2022-06-05,13.952
2022-06-06,14.615
2022-06-07,14.701
2022-06-08,14.778
2022-06-09,14.143
2022-06-10,14.008
2022-06-11,14.008
2022-06-12,14.008
2022-06-13,13.824
2022-06-14,12.686
2022-06-15,13.627
2022-06-16,12.588
2022-06-17,13.422
2022-06-18,13.422
2022-06-19,13.422
2022-06-20,13.422
2022-06-21,13.549
2022-06-22,13.088
2022-06-23,13.392
2022-06-24,13.206
2022-06-25,13.206
2022-06-26,13.206
2022-06-27,12.892
2022-06-28,12.016
2022-06-29,11.383
2022-06-30,12.171
2022-07-01,12.103
2022-07-02,12.103
2022-07-03,12.103
2022-07-04,12.103
2022-07-05,11.246
2022-07-06,11.353
2022-07-07,12.395
2022-07-08,13.019
2022-07-09,13.019
2022-07-10,13.019
2022-07-11,11.957
2022-07-12,11.733
2022-07-13,11.607
2022-07-14,11.451
2022-07-15,10.701
2022-07-16,10.701
2022-07-17,10.701
2022-07-18,12.13
2022-07-19,12.852
2022-07-20,12.479
2022-07-21,13.292
2022-07-22,12.881
2022-07-23,12.881
2022-07-24,12.881
2022-07-25,12.541
2022-07-26,12.202
2022-07-27,12.469
2022-07-28,14.887
2022-07-29,16.944
2022-07-30,16.944
2022-07-31,16.944
2022-08-01,16.187
2022-08-02,17.751
2022-08-03,20.67
2022-08-04,28.628
2022-08-05,28.643
2022-08-06,28.643
2022-08-07,28.643
2022-08-08,25.759
2022-08-09,27.024
2022-08-10,29.554
2022-08-11,28.831
2022-08-12,29.578
2022-08-13,29.578
2022-08-14,29.578
2022-08-15,26.988
2022-08-16,24.253
2022-08-17,23.241
2022-08-18,24.181
2022-08-19,21.759
2022-08-20,21.759
2022-08-21,21.759
2022-08-22,20.988
2022-08-23,21.699
2022-08-24,22.494
2022-08-25,22.735
2022-08-26,22.346
2022-08-27,22.346
2022-08-28,22.346
2022-08-29,20.881
2022-08-30,20.446
2022-08-31,21.27
2022-09-01,20.423
2022-09-02,20.276
2022-09-03,20.276
2022-09-04,20.276
2022-09-05,20.276
2022-09-06,19.896
2022-09-07,22.016
2022-09-08,21.717
2022-09-09,18.79
2022-09-10,18.79
2022-09-11,18.79
2022-09-12,18.963
2022-09-13,17.961
2022-09-14,18.249
2022-09-15,17.27
2022-09-16,16.889
2022-09-17,16.889
2022-09-18,16.889
2022-09-19,16.27
2022-09-20,15.767
2022-09-21,15.84
2022-09-22,14.772
2022-09-23,13.826
2022-09-24,13.826
2022-09-25,13.826
2022-09-26,13.482
2022-09-27,13.682
2022-09-28,13.76
2022-09-29,12.903
2022-09-30,12.547
2022-10-01,12.547
2022-10-02,12.547
2022-10-03,13.248
2022-10-04,13.504
2022-10-05,12.681
2022-10-06,12.058
2022-10-07,11.513
2022-10-08,11.513
2022-10-09,11.513
2022-10-10,11.435
2022-10-11,11.346
2022-10-12,10.779
2022-10-13,10.701
2022-10-14,10.693
2022-10-15,10.693
2022-10-16,10.693
2022-10-17,10.346
2022-10-18,10.804
2022-10-19,10.682
2022-10-20,10.386
2022-10-21,10.43
2022-10-22,10.43
2022-10-23,10.43
2022-10-24,9.592
2022-10-25,10.033
2022-10-26,10.441
2022-10-27,10.662
2022-10-28,10.518
2022-10-29,10.518
2022-10-30,10.518
2022-10-31,10.981
2022-11-01,11.114
2022-11-02,10.684
2022-11-03,11.223
2022-11-04,16.304
2022-11-05,16.304
2022-11-06,16.304
2022-11-07,19.554
2022-11-08,19.089
2022-11-09,19.264
2022-11-10,22.946
2022-11-11,22.81
2022-11-12,22.81
2022-11-13,22.81
2022-11-14,21.86
2022-11-15,22.965
2022-11-16,22.151
2022-11-17,21.86
2022-11-18,21.822
2022-11-19,21.822
2022-11-20,21.822
2022-11-21,20.717
2022-11-22,21.202
2022-11-23,22.849
2022-11-24,22.849
2022-11-25,22.888
2022-11-26,22.888
2022-11-27,22.888
2022-11-28,21.899
2022-11-29,21.899
2022-11-30,23.411
2022-12-01,22.364
2022-12-02,23.702
2022-12-03,23.702
2022-12-04,23.702
2022-12-05,22.5
2022-12-06,21.047
2022-12-07,20.194
2022-12-08,19.593
2022-12-09,29.614
2022-12-10,29.614
2022-12-11,29.614
2022-12-12,29.644
2022-12-13,30.801
2022-12-14,33.205
2022-12-15,33.125
2022-12-16,31.786
2022-12-17,31.786
2022-12-18,31.786
2022-12-19,29.583
2022-12-20,28.036
2022-12-21,27.388
2022-12-22,27.247
2022-12-23,26.854
2022-12-24,26.854
2022-12-25,26.854
2022-12-26,26.854
2022-12-27,25.365
2022-12-28,24.86
2022-12-29,26.994
2022-12-30,28.483
2022-12-31,28.483
2023-01-01,28.483
2023-01-02,28.483
2023-01-03,55.682
2023-01-04,30.758
2023-01-05,30.871
2023-01-06,32.612
2023-01-07,32.612
2023-01-08,32.612
2023-01-09,46.236
2023-01-10,46.605
2023-01-11,50.923
2023-01-12,51.328
2023-01-13,44.299
2023-01-14,44.299
2023-01-15,44.299
2023-01-16,44.299
2023-01-17,44.268
2023-01-18,42.804
2023-01-19,41.464
2023-01-20,41.589
2023-01-21,41.589
2023-01-22,41.589
2023-01-23,43.084
2023-01-24,43.52
2023-01-25,42.523
2023-01-26,41.745
2023-01-27,43.178
2023-01-28,43.178
2023-01-29,43.178
2023-01-30,38.442
2023-01-31,40.654
2023-02-01,42.492
2023-02-02,43.551
2023-02-03,42.461
2023-02-04,42.461
2023-02-05,42.461
2023-02-06,41.371
2023-02-07,41.09
2023-02-08,40.467
2023-02-09,33.893
2023-02-10,35.093
2023-02-11,35.093
2023-02-12,35.093
2023-02-13,34.907
2023-02-14,34.213
2023-02-15,36.293
2023-02-16,34.667
2023-02-17,33.947
2023-02-18,33.947
2023-02-19,33.947
2023-02-20,33.947
2023-02-21,31.787
2023-02-22,54.227
2023-02-23,65.488
2023-02-24,89.423
2023-02-25,89.423
2023-02-26,89.423
2023-02-27,73.147
2023-02-28,58.68
2023-03-01,57.056
2023-03-02,58.528
2023-03-03,52.176
2023-03-04,52.176
2023-03-05,52.176
2023-03-06,53.724
2023-03-07,54.393
2023-03-08,56.402
2023-03-09,53.878
2023-03-10,54.082
2023-03-11,54.082
2023-03-12,54.082
2023-03-13,52.653
2023-03-14,53.224
2023-03-15,42.337
2023-03-16,43.402
2023-03-17,39.519
2023-03-18,39.519
2023-03-19,39.519
2023-03-20,39.175
2023-03-21,41.1
2023-03-22,40.378
2023-03-23,40.275
2023-03-24,39.45
2023-03-25,39.45
2023-03-26,39.45
2023-03-27,38.832
2023-03-28,38.351
2023-03-29,41.512
2023-03-30,42.749
2023-03-31,44.845
2023-04-01,44.845
2023-04-02,44.845
2023-04-03,95.29
2023-04-04,94.203
2023-04-05,87.971
2023-04-06,83.261
2023-04-07,83.261
2023-04-08,83.261
2023-04-09,83.261
2023-04-10,88.841
2023-04-11,92.029
2023-04-12,93.768
2023-04-13,97.029
2023-04-14,90.58
2023-04-15,90.58
2023-04-16,90.58
2023-04-17,114.224
2023-04-18,113.879
2023-04-19,110.69
2023-04-20,107.373
2023-04-21,109.576
2023-04-22,109.576
2023-04-23,109.576
2023-04-24,117.387
2023-04-25,111.712
2023-04-26,105.586
2023-04-27,109.459
2023-04-28,515.0
2023-04-29,515.0
2023-04-30,515.0
2023-05-01,482.5
2023-05-02,452.083
2023-05-03,838.462
2023-05-04,838.462
2023-05-05,838.462
2023-05-06,838.462
2023-05-07,838.462
2023-05-08,838.462
2023-05-09,838.462
2023-05-10,838.462
2023-05-11,838.462
2023-05-12,838.462
2023-05-13,838.462
2023-05-14,838.462
2023-05-15,838.462
2023-05-16,838.462
2023-05-17,838.462
2023-05-18,838.462
2023-05-19,838.462
2023-05-20,838.462
2023-05-21,838.462
2023-05-22,838.462
2023-05-23,838.462
2023-05-24,838.462
2023-05-25,838.462
2023-05-26,838.462
2023-05-27,838.462
2023-05-28,838.462
2023-05-29,838.462
2023-05-30,838.462
2023-05-31,838.462
2023-06-01,838.462
2023-06-02,838.462
2023-06-03,838.462
2023-06-04,838.462
2023-06-05,838.462
2023-06-06,838.462
2023-06-07,838.462
2023-06-08,838.462
2023-06-09,838.462
2023-06-10,838.462
2023-06-11,838.462
2023-06-12,838.462
2023-06-13,838.462
2023-06-14,838.462
2023-06-15,838.462
2023-06-16,838.462
2023-06-17,838.462
2023-06-18,838.462
2023-06-19,838.462
2023-06-20,838.462
2023-06-21,838.462
2023-06-22,838.462
2023-06-23,838.462
2023-06-24,838.462
2023-06-25,838.462
2023-06-26,838.462
2023-06-27,838.462
2023-06-28,838.462
2023-06-29,838.462
2023-06-30,838.462
2023-07-01,838.462
2023-07-02,838.462
2023-07-03,838.462
2023-07-04,838.462
2023-07-05,838.462
2023-07-06,838.462
2023-07-07,838.462
2023-07-08,838.462
2023-07-09,838.462
2023-07-10,838.462
2023-07-11,838.462
2023-07-12,838.462
2023-07-13,838.462
2023-07-14,838.462
2023-07-15,838.462
2023-07-16,838.462
2023-07-17,838.462
2023-07-18,838.462
2023-07-19,838.462
2023-07-20,838.462
2023-07-21,838.462
2023-07-22,838.462
2023-07-23,838.462
2023-07-24,838.462
2023-07-25,838.462
2023-07-26,838.462
2023-07-27,838.462
2023-07-28,838.462
2023-07-29,838.462
2023-07-30,838.462
2023-07-31,838.462
2023-08-01,838.462
2023-08-02,838.462
2023-08-03,838.462
2023-08-04,838.462
2023-08-05,838.462
2023-08-06,838.462
2023-08-07,838.462
2023-08-08,838.462
2023-08-09,838.462
2023-08-10,838.462
2023-08-11,838.462
2023-08-12,838.462
2023-08-13,838.462
2023-08-14,838.462
2023-08-15,838.462
2023-08-16,838.462
2023-08-17,838.462
2023-08-18,838.462
2023-08-19,838.462
2023-08-20,838.462
2023-08-21,838.462
2023-08-22,838.462
2023-08-23,838.462
2023-08-24,838.462
2023-08-25,838.462
2023-08-26,838.462
2023-08-27,838.462
2023-08-28,838.462
2023-08-29,838.462
2023-08-30,838.462
2023-08-31,838.462
2023-09-01,838.462
2023-09-02,838.462
2023-09-03,838.462
2023-09-04,838.462
2023-09-05,838.462
2023-09-06,838.462
2023-09-07,838.462
2023-09-08,838.462
2023-09-09,838.462
2023-09-10,838.462
2023-09-11,838.462
2023-09-12,838.462
2023-09-13,838.462
2023-09-14,838.462
2023-09-15,838.462
