,BLKB US Equity
2020-10-30,12.587
2020-10-31,12.587
2020-11-01,12.587
2020-11-02,13.086
2020-11-03,13.38
2020-11-04,12.865
2020-11-05,13.789
2020-11-06,13.476
2020-11-07,13.476
2020-11-08,13.476
2020-11-09,14.003
2020-11-10,13.997
2020-11-11,14.016
2020-11-12,13.651
2020-11-13,14.154
2020-11-14,14.154
2020-11-15,14.154
2020-11-16,14.135
2020-11-17,14.411
2020-11-18,14.462
2020-11-19,14.5
2020-11-20,14.411
2020-11-21,14.411
2020-11-22,14.411
2020-11-23,14.908
2020-11-24,15.359
2020-11-25,15.216
2020-11-26,15.216
2020-11-27,15.027
2020-11-28,15.027
2020-11-29,15.027
2020-11-30,14.889
2020-12-01,15.319
2020-12-02,14.889
2020-12-03,15.024
2020-12-04,15.403
2020-12-05,15.403
2020-12-06,15.403
2020-12-07,15.211
2020-12-08,15.5
2020-12-09,15.219
2020-12-10,15.211
2020-12-11,15.114
2020-12-12,15.114
2020-12-13,15.114
2020-12-14,15.486
2020-12-15,15.559
2020-12-16,15.508
2020-12-17,15.495
2020-12-18,15.157
2020-12-19,15.157
2020-12-20,15.157
2020-12-21,15.343
2020-12-22,16.016
2020-12-23,16.005
2020-12-24,15.914
2020-12-25,15.914
2020-12-26,15.914
2020-12-27,15.914
2020-12-28,15.668
2020-12-29,15.424
2020-12-30,15.538
2020-12-31,15.557
2021-01-01,15.557
2021-01-02,15.557
2021-01-03,15.557
2021-01-04,15.449
2021-01-05,15.697
2021-01-06,16.13
2021-01-07,16.486
2021-01-08,16.822
2021-01-09,16.822
2021-01-10,16.822
2021-01-11,16.654
2021-01-12,16.814
2021-01-13,16.654
2021-01-14,17.2
2021-01-15,17.219
2021-01-16,17.219
2021-01-17,17.219
2021-01-18,17.219
2021-01-19,17.27
2021-01-20,17.714
2021-01-21,17.541
2021-01-22,17.849
2021-01-23,17.849
2021-01-24,17.849
2021-01-25,17.773
2021-01-26,17.951
2021-01-27,18.697
2021-01-28,18.168
2021-01-29,17.97
2021-01-30,17.97
2021-01-31,17.97
2021-02-01,18.035
2021-02-02,18.181
2021-02-03,18.322
2021-02-04,18.549
2021-02-05,19.086
2021-02-06,19.086
2021-02-07,19.086
2021-02-08,19.559
2021-02-09,20.865
2021-02-10,21.701
2021-02-11,21.881
2021-02-12,21.202
2021-02-13,21.202
2021-02-14,21.202
2021-02-15,21.202
2021-02-16,20.197
2021-02-17,20.039
2021-02-18,20.227
2021-02-19,20.08
2021-02-20,20.08
2021-02-21,20.08
2021-02-22,20.0
2021-02-23,19.892
2021-02-24,19.92
2021-02-25,19.335
2021-02-26,19.064
2021-02-27,19.064
2021-02-28,19.064
2021-03-01,19.507
2021-03-02,19.537
2021-03-03,19.432
2021-03-04,18.861
2021-03-05,19.191
2021-03-06,19.191
2021-03-07,19.191
2021-03-08,19.515
2021-03-09,19.402
2021-03-10,20.03
2021-03-11,20.46
2021-03-12,20.449
2021-03-13,20.449
2021-03-14,20.449
2021-03-15,20.46
2021-03-16,19.878
2021-03-17,20.094
2021-03-18,19.019
2021-03-19,19.632
2021-03-20,19.632
2021-03-21,19.632
2021-03-22,19.953
2021-03-23,19.501
2021-03-24,19.083
2021-03-25,19.454
2021-03-26,20.291
2021-03-27,20.291
2021-03-28,20.291
2021-03-29,19.429
2021-03-30,19.443
2021-03-31,19.69
2021-04-01,19.731
2021-04-02,19.731
2021-04-03,19.731
2021-04-04,19.731
2021-04-05,19.97
2021-04-06,19.95
2021-04-07,19.546
2021-04-08,20.007
2021-04-09,19.936
2021-04-10,19.936
2021-04-11,19.936
2021-04-12,19.82
2021-04-13,19.546
2021-04-14,19.56
2021-04-15,19.548
2021-04-16,19.875
2021-04-17,19.875
2021-04-18,19.875
2021-04-19,19.584
2021-04-20,19.199
2021-04-21,19.526
2021-04-22,19.507
2021-04-23,19.623
2021-04-24,19.623
2021-04-25,19.623
2021-04-26,20.094
2021-04-27,19.956
2021-04-28,20.687
2021-04-29,19.634
2021-04-30,19.922
2021-05-01,19.922
2021-05-02,19.922
2021-05-03,19.249
2021-05-04,18.784
2021-05-05,18.482
2021-05-06,18.798
2021-05-07,18.776
2021-05-08,18.776
2021-05-09,18.776
2021-05-10,18.518
2021-05-11,18.902
2021-05-12,19.042
2021-05-13,19.188
2021-05-14,19.417
2021-05-15,19.417
2021-05-16,19.417
2021-05-17,19.515
2021-05-18,19.543
2021-05-19,19.384
2021-05-20,19.622
2021-05-21,19.723
2021-05-22,19.723
2021-05-23,19.723
2021-05-24,19.678
2021-05-25,19.493
2021-05-26,19.756
2021-05-27,19.731
2021-05-28,19.801
2021-05-29,19.801
2021-05-30,19.801
2021-05-31,19.801
2021-06-01,19.793
2021-06-02,20.078
2021-06-03,20.05
2021-06-04,20.541
2021-06-05,20.541
2021-06-06,20.541
2021-06-07,20.336
2021-06-08,21.098
2021-06-09,20.835
2021-06-10,21.185
2021-06-11,21.429
2021-06-12,21.429
2021-06-13,21.429
2021-06-14,21.389
2021-06-15,21.182
2021-06-16,21.409
2021-06-17,21.664
2021-06-18,21.249
2021-06-19,21.249
2021-06-20,21.249
2021-06-21,21.683
2021-06-22,21.801
2021-06-23,21.885
2021-06-24,22.123
2021-06-25,22.134
2021-06-26,22.134
2021-06-27,22.134
2021-06-28,22.07
2021-06-29,21.737
2021-06-30,21.448
2021-07-01,21.583
2021-07-02,21.563
2021-07-03,21.563
2021-07-04,21.563
2021-07-05,21.563
2021-07-06,21.401
2021-07-07,21.275
2021-07-08,20.863
2021-07-09,21.106
2021-07-10,21.106
2021-07-11,21.106
2021-07-12,20.751
2021-07-13,20.375
2021-07-14,20.154
2021-07-15,19.916
2021-07-16,19.826
2021-07-17,19.826
2021-07-18,19.826
2021-07-19,19.563
2021-07-20,19.894
2021-07-21,20.092
2021-07-22,19.692
2021-07-23,20.081
2021-07-24,20.081
2021-07-25,20.081
2021-07-26,20.286
2021-07-27,19.697
2021-07-28,20.062
2021-07-29,20.126
2021-07-30,19.98
2021-07-31,19.98
2021-08-01,19.98
2021-08-02,19.829
2021-08-03,19.885
2021-08-04,19.627
2021-08-05,22.093
2021-08-06,22.562
2021-08-07,22.562
2021-08-08,22.562
2021-08-09,21.842
2021-08-10,21.587
2021-08-11,21.953
2021-08-12,21.379
2021-08-13,21.286
2021-08-14,21.286
2021-08-15,21.286
2021-08-16,20.944
2021-08-17,20.407
2021-08-18,19.612
2021-08-19,20.267
2021-08-20,20.512
2021-08-21,20.512
2021-08-22,20.512
2021-08-23,20.95
2021-08-24,21.245
2021-08-25,21.202
2021-08-26,21.155
2021-08-27,21.68
2021-08-28,21.68
2021-08-29,21.68
2021-08-30,21.581
2021-08-31,21.643
2021-09-01,21.95
2021-09-02,22.065
2021-09-03,22.161
2021-09-04,22.161
2021-09-05,22.161
2021-09-06,22.161
2021-09-07,20.901
2021-09-08,21.134
2021-09-09,20.91
2021-09-10,20.842
2021-09-11,20.842
2021-09-12,20.842
2021-09-13,21.174
2021-09-14,21.056
2021-09-15,20.978
2021-09-16,21.096
2021-09-17,21.609
2021-09-18,21.609
2021-09-19,21.609
2021-09-20,21.158
2021-09-21,21.202
2021-09-22,21.72
2021-09-23,22.59
2021-09-24,22.506
2021-09-25,22.506
2021-09-26,22.506
2021-09-27,22.432
2021-09-28,22.227
2021-09-29,22.273
2021-09-30,21.848
2021-10-01,22.584
2021-10-02,22.584
2021-10-03,22.584
2021-10-04,22.429
2021-10-05,22.665
2021-10-06,22.575
2021-10-07,23.196
2021-10-08,22.817
2021-10-09,22.817
2021-10-10,22.817
2021-10-11,22.624
2021-10-12,22.497
2021-10-13,22.398
2021-10-14,23.186
2021-10-15,23.298
2021-10-16,23.298
2021-10-17,23.298
2021-10-18,23.109
2021-10-19,23.106
2021-10-20,22.842
2021-10-21,23.165
2021-10-22,22.857
2021-10-23,22.857
2021-10-24,22.857
2021-10-25,22.587
2021-10-26,22.534
2021-10-27,21.618
2021-10-28,22.134
2021-10-29,22.053
2021-10-30,22.053
2021-10-31,22.053
2021-11-01,22.342
2021-11-02,22.376
2021-11-03,22.674
2021-11-04,25.953
2021-11-05,24.103
2021-11-06,24.103
2021-11-07,24.103
2021-11-08,24.779
2021-11-09,24.47
2021-11-10,23.994
2021-11-11,24.181
2021-11-12,23.86
2021-11-13,23.86
2021-11-14,23.86
2021-11-15,23.633
2021-11-16,23.49
2021-11-17,22.971
2021-11-18,23.244
2021-11-19,23.756
2021-11-20,23.756
2021-11-21,23.756
2021-11-22,23.364
2021-11-23,23.1
2021-11-24,22.951
2021-11-25,22.951
2021-11-26,22.209
2021-11-27,22.209
2021-11-28,22.209
2021-11-29,21.891
2021-11-30,21.622
2021-12-01,20.556
2021-12-02,21.009
2021-12-03,20.493
2021-12-04,20.493
2021-12-05,20.493
2021-12-06,21.421
2021-12-07,22.158
2021-12-08,22.499
2021-12-09,22.444
2021-12-10,22.479
2021-12-11,22.479
2021-12-12,22.479
2021-12-13,22.421
2021-12-14,22.215
2021-12-15,23.003
2021-12-16,22.45
2021-12-17,22.567
2021-12-18,22.567
2021-12-19,22.567
2021-12-20,22.066
2021-12-21,22.874
2021-12-22,23.238
2021-12-23,23.393
2021-12-24,23.393
2021-12-25,23.393
2021-12-26,23.393
2021-12-27,23.705
2021-12-28,23.315
2021-12-29,23.212
2021-12-30,22.946
2021-12-31,22.63
2022-01-01,22.63
2022-01-02,22.63
2022-01-03,22.748
2022-01-04,22.372
2022-01-05,19.983
2022-01-06,19.736
2022-01-07,19.275
2022-01-08,19.275
2022-01-09,19.275
2022-01-10,20.081
2022-01-11,20.422
2022-01-12,20.233
2022-01-13,20.106
2022-01-14,20.006
2022-01-15,20.006
2022-01-16,20.006
2022-01-17,20.006
2022-01-18,20.017
2022-01-19,20.486
2022-01-20,19.3
2022-01-21,18.958
2022-01-22,18.958
2022-01-23,18.958
2022-01-24,19.731
2022-01-25,18.633
2022-01-26,17.964
2022-01-27,18.339
2022-01-28,18.814
2022-01-29,18.814
2022-01-30,18.814
2022-01-31,18.928
2022-02-01,18.831
2022-02-02,18.461
2022-02-03,17.742
2022-02-04,17.894
2022-02-05,17.894
2022-02-06,17.894
2022-02-07,18.239
2022-02-08,18.764
2022-02-09,19.631
2022-02-10,18.911
2022-02-11,18.425
2022-02-12,18.425
2022-02-13,18.425
2022-02-14,18.389
2022-02-15,18.914
2022-02-16,18.761
2022-02-17,17.789
2022-02-18,17.319
2022-02-19,17.319
2022-02-20,17.319
2022-02-21,17.319
2022-02-22,17.136
2022-02-23,16.203
2022-02-24,16.179
2022-02-25,16.067
2022-02-26,16.067
2022-02-27,16.067
2022-02-28,16.189
2022-03-01,15.769
2022-03-02,15.896
2022-03-03,15.58
2022-03-04,15.391
2022-03-05,15.391
2022-03-06,15.391
2022-03-07,15.08
2022-03-08,14.751
2022-03-09,15.503
2022-03-10,15.575
2022-03-11,15.425
2022-03-12,15.425
2022-03-13,15.425
2022-03-14,15.847
2022-03-15,15.915
2022-03-16,16.231
2022-03-17,16.161
2022-03-18,15.865
2022-03-19,15.865
2022-03-20,15.865
2022-03-21,15.534
2022-03-22,16.098
2022-03-23,15.451
2022-03-24,15.536
2022-03-25,15.238
2022-03-26,15.238
2022-03-27,15.238
2022-03-28,15.334
2022-03-29,15.979
2022-03-30,15.632
2022-03-31,15.51
2022-04-01,15.653
2022-04-02,15.653
2022-04-03,15.653
2022-04-04,15.889
2022-04-05,15.549
2022-04-06,15.264
2022-04-07,15.122
2022-04-08,14.85
2022-04-09,14.85
2022-04-10,14.85
2022-04-11,14.663
2022-04-12,14.596
2022-04-13,14.935
2022-04-14,14.744
2022-04-15,14.744
2022-04-16,14.744
2022-04-17,14.744
2022-04-18,14.694
2022-04-19,15.181
2022-04-20,14.966
2022-04-21,14.614
2022-04-22,14.106
2022-04-23,14.106
2022-04-24,14.106
2022-04-25,14.57
2022-04-26,14.277
2022-04-27,14.295
2022-04-28,15.005
2022-04-29,15.028
2022-04-30,15.028
2022-05-01,15.028
2022-05-02,15.256
2022-05-03,14.829
2022-05-04,14.689
2022-05-05,13.756
2022-05-06,13.86
2022-05-07,13.86
2022-05-08,13.86
2022-05-09,13.748
2022-05-10,12.797
2022-05-11,13.119
2022-05-12,13.27
2022-05-13,14.112
2022-05-14,14.112
2022-05-15,14.112
2022-05-16,14.821
2022-05-17,15.218
2022-05-18,14.984
2022-05-19,15.592
2022-05-20,16.338
2022-05-21,16.338
2022-05-22,16.338
2022-05-23,15.958
2022-05-24,15.901
2022-05-25,16.14
2022-05-26,16.369
2022-05-27,16.473
2022-05-28,16.473
2022-05-29,16.473
2022-05-30,16.473
2022-05-31,16.532
2022-06-01,16.561
2022-06-02,16.969
2022-06-03,16.8
2022-06-04,16.8
2022-06-05,16.8
2022-06-06,16.239
2022-06-07,16.717
2022-06-08,15.971
2022-06-09,15.618
2022-06-10,15.584
2022-06-11,15.584
2022-06-12,15.584
2022-06-13,14.449
2022-06-14,14.564
2022-06-15,14.74
2022-06-16,13.883
2022-06-17,14.304
2022-06-18,14.304
2022-06-19,14.304
2022-06-20,14.304
2022-06-21,14.457
2022-06-22,14.447
2022-06-23,14.966
2022-06-24,15.553
2022-06-25,15.553
2022-06-26,15.553
2022-06-27,15.73
2022-06-28,15.109
2022-06-29,15.156
2022-06-30,15.083
2022-07-01,14.93
2022-07-02,14.93
2022-07-03,14.93
2022-07-04,14.93
2022-07-05,15.143
2022-07-06,14.971
2022-07-07,15.296
2022-07-08,15.278
2022-07-09,15.278
2022-07-10,15.278
2022-07-11,14.881
2022-07-12,14.455
2022-07-13,14.429
2022-07-14,14.286
2022-07-15,14.527
2022-07-16,14.527
2022-07-17,14.527
2022-07-18,14.366
2022-07-19,14.857
2022-07-20,15.208
2022-07-21,15.377
2022-07-22,14.969
2022-07-23,14.969
2022-07-24,14.969
2022-07-25,14.831
2022-07-26,14.974
2022-07-27,15.592
2022-07-28,15.803
2022-07-29,15.927
2022-07-30,15.927
2022-07-31,15.927
2022-08-01,15.958
2022-08-02,16.706
2022-08-03,14.99
2022-08-04,16.114
2022-08-05,15.94
2022-08-06,15.94
2022-08-07,15.94
2022-08-08,16.245
2022-08-09,15.966
2022-08-10,16.339
2022-08-11,16.273
2022-08-12,16.42
2022-08-13,16.42
2022-08-14,16.42
2022-08-15,16.511
2022-08-16,16.514
2022-08-17,16.051
2022-08-18,16.406
2022-08-19,16.111
2022-08-20,16.111
2022-08-21,16.111
2022-08-22,15.951
2022-08-23,15.729
2022-08-24,15.797
2022-08-25,16.109
2022-08-26,15.566
2022-08-27,15.566
2022-08-28,15.566
2022-08-29,15.406
2022-08-30,15.14
2022-08-31,14.943
2022-09-01,14.777
2022-09-02,14.637
2022-09-03,14.637
2022-09-04,14.637
2022-09-05,14.637
2022-09-06,14.329
2022-09-07,14.557
2022-09-08,14.311
2022-09-09,14.531
2022-09-10,14.531
2022-09-11,14.531
2022-09-12,14.666
2022-09-13,13.623
2022-09-14,13.686
2022-09-15,13.449
2022-09-16,13.311
2022-09-17,13.311
2022-09-18,13.311
2022-09-19,13.071
2022-09-20,12.817
2022-09-21,11.88
2022-09-22,12.11
2022-09-23,12.184
2022-09-24,12.184
2022-09-25,12.184
2022-09-26,11.976
2022-09-27,11.89
2022-09-28,11.987
2022-09-29,12.051
2022-09-30,11.781
2022-10-01,11.781
2022-10-02,11.781
2022-10-03,12.035
2022-10-04,14.206
2022-10-05,13.928
2022-10-06,13.968
2022-10-07,13.864
2022-10-08,13.864
2022-10-09,13.864
2022-10-10,13.853
2022-10-11,13.866
2022-10-12,13.701
2022-10-13,14.198
2022-10-14,14.096
2022-10-15,14.096
2022-10-16,14.096
2022-10-17,14.053
2022-10-18,14.422
2022-10-19,14.053
2022-10-20,13.963
2022-10-21,13.882
2022-10-22,13.882
2022-10-23,13.882
2022-10-24,14.087
2022-10-25,14.36
2022-10-26,14.302
2022-10-27,14.294
2022-10-28,14.706
2022-10-29,14.706
2022-10-30,14.706
2022-10-31,14.905
2022-11-01,14.826
2022-11-02,14.736
2022-11-03,15.15
2022-11-04,15.24
2022-11-05,15.24
2022-11-06,15.24
2022-11-07,15.623
2022-11-08,15.054
2022-11-09,15.012
2022-11-10,15.801
2022-11-11,15.793
2022-11-12,15.793
2022-11-13,15.793
2022-11-14,15.541
2022-11-15,15.735
2022-11-16,15.31
2022-11-17,15.28
2022-11-18,15.248
2022-11-19,15.248
2022-11-20,15.248
2022-11-21,15.07
2022-11-22,15.243
2022-11-23,15.397
2022-11-24,15.397
2022-11-25,15.581
2022-11-26,15.581
2022-11-27,15.581
2022-11-28,15.453
2022-11-29,15.517
2022-11-30,15.751
2022-12-01,16.011
2022-12-02,15.985
2022-12-03,15.985
2022-12-04,15.985
2022-12-05,15.642
2022-12-06,15.331
2022-12-07,14.996
2022-12-08,15.219
2022-12-09,15.031
2022-12-10,15.031
2022-12-11,15.031
2022-12-12,15.328
2022-12-13,15.387
2022-12-14,15.573
2022-12-15,15.368
2022-12-16,15.376
2022-12-17,15.376
2022-12-18,15.376
2022-12-19,15.028
2022-12-20,15.259
2022-12-21,15.52
2022-12-22,15.466
2022-12-23,15.488
2022-12-24,15.488
2022-12-25,15.488
2022-12-26,15.488
2022-12-27,15.509
2022-12-28,15.48
2022-12-29,15.838
2022-12-30,15.642
2022-12-31,15.642
2023-01-01,15.642
2023-01-02,15.642
2023-01-03,15.91
2023-01-04,16.064
2023-01-05,15.807
2023-01-06,16.053
2023-01-07,16.053
2023-01-08,16.053
2023-01-09,15.922
2023-01-10,16.042
2023-01-11,15.995
2023-01-12,16.102
2023-01-13,16.006
2023-01-14,16.006
2023-01-15,16.006
2023-01-16,16.006
2023-01-17,15.943
2023-01-18,15.829
2023-01-19,15.763
2023-01-20,15.896
2023-01-21,15.896
2023-01-22,15.896
2023-01-23,16.397
2023-01-24,16.55
2023-01-25,16.201
2023-01-26,16.251
2023-01-27,16.097
2023-01-28,16.097
2023-01-29,16.097
2023-01-30,15.909
2023-01-31,16.042
2023-02-01,16.411
2023-02-02,16.325
2023-02-03,16.194
2023-02-04,16.194
2023-02-05,16.194
2023-02-06,15.964
2023-02-07,16.168
2023-02-08,15.869
2023-02-09,15.895
2023-02-10,15.761
2023-02-11,15.761
2023-02-12,15.761
2023-02-13,15.823
2023-02-14,14.99
2023-02-15,15.187
2023-02-16,14.673
2023-02-17,14.845
2023-02-18,14.845
2023-02-19,14.845
2023-02-20,14.845
2023-02-21,14.709
2023-02-22,14.638
2023-02-23,14.696
2023-02-24,14.476
2023-02-25,14.476
2023-02-26,14.476
2023-02-27,14.514
2023-02-28,14.178
2023-03-01,14.239
2023-03-02,14.287
2023-03-03,14.409
2023-03-04,14.409
2023-03-05,14.409
2023-03-06,14.29
2023-03-07,14.221
2023-03-08,14.265
2023-03-09,14.253
2023-03-10,14.062
2023-03-11,14.062
2023-03-12,14.062
2023-03-13,13.603
2023-03-14,14.189
2023-03-15,14.051
2023-03-16,14.744
2023-03-17,14.551
2023-03-18,14.551
2023-03-19,14.551
2023-03-20,14.726
2023-03-21,14.833
2023-03-22,14.326
2023-03-23,14.53
2023-03-24,14.726
2023-03-25,14.726
2023-03-26,14.726
2023-03-27,16.226
2023-03-28,16.467
2023-03-29,17.076
2023-03-30,17.279
2023-03-31,17.589
2023-04-01,17.589
2023-04-02,17.589
2023-04-03,17.668
2023-04-04,17.53
2023-04-05,17.132
2023-04-06,17.231
2023-04-07,17.231
2023-04-08,17.231
2023-04-09,17.231
2023-04-10,17.277
2023-04-11,17.122
2023-04-12,17.033
2023-04-13,17.519
2023-04-14,17.264
2023-04-15,17.264
2023-04-16,17.264
2023-04-17,17.025
2023-04-18,17.001
2023-04-19,16.894
2023-04-20,16.871
2023-04-21,16.95
2023-04-22,16.95
2023-04-23,16.95
2023-04-24,16.998
2023-04-25,16.846
2023-04-26,17.262
2023-04-27,17.465
2023-04-28,17.598
2023-04-29,17.598
2023-04-30,17.598
2023-05-01,17.432
2023-05-02,17.13
2023-05-03,15.794
2023-05-04,16.056
2023-05-05,16.033
2023-05-06,16.033
2023-05-07,16.033
2023-05-08,16.065
2023-05-09,15.962
2023-05-10,16.058
2023-05-11,15.985
2023-05-12,16.118
2023-05-13,16.118
2023-05-14,16.118
2023-05-15,16.228
2023-05-16,16.294
2023-05-17,16.314
2023-05-18,16.341
2023-05-19,16.196
2023-05-20,16.196
2023-05-21,16.196
2023-05-22,16.424
2023-05-23,16.237
2023-05-24,16.221
2023-05-25,16.332
2023-05-26,16.422
2023-05-27,16.422
2023-05-28,16.422
2023-05-29,16.422
2023-05-30,16.298
2023-05-31,16.53
2023-06-01,16.334
2023-06-02,16.683
2023-06-03,16.683
2023-06-04,16.683
2023-06-05,16.688
2023-06-06,16.611
2023-06-07,16.564
2023-06-08,16.456
2023-06-09,16.429
2023-06-10,16.429
2023-06-11,16.429
2023-06-12,16.557
2023-06-13,16.663
2023-06-14,16.429
2023-06-15,16.388
2023-06-16,16.32
2023-06-17,16.32
2023-06-18,16.32
2023-06-19,16.32
2023-06-20,16.025
2023-06-21,15.813
2023-06-22,15.82
2023-06-23,15.615
2023-06-24,15.615
2023-06-25,15.615
2023-06-26,15.442
2023-06-27,15.448
2023-06-28,15.487
2023-06-29,15.811
2023-06-30,16.039
2023-07-01,16.039
2023-07-02,16.039
2023-07-03,16.061
2023-07-04,16.061
2023-07-05,16.061
2023-07-06,16.05
2023-07-07,16.447
2023-07-08,16.447
2023-07-09,16.447
2023-07-10,16.622
2023-07-11,16.663
2023-07-12,16.769
2023-07-13,17.087
2023-07-14,17.251
2023-07-15,17.251
2023-07-16,17.251
2023-07-17,17.49
2023-07-18,17.524
2023-07-19,17.677
2023-07-20,17.089
2023-07-21,16.779
2023-07-22,16.779
2023-07-23,16.779
2023-07-24,16.664
2023-07-25,16.927
2023-07-26,16.896
2023-07-27,16.706
2023-07-28,16.713
2023-07-29,16.713
2023-07-30,16.713
2023-07-31,16.997
2023-08-01,16.911
2023-08-02,16.832
2023-08-03,16.749
2023-08-04,16.64
2023-08-05,16.64
2023-08-06,16.64
2023-08-07,16.731
2023-08-08,16.529
2023-08-09,16.523
2023-08-10,16.182
2023-08-11,16.274
2023-08-12,16.274
2023-08-13,16.274
2023-08-14,16.856
2023-08-15,16.673
2023-08-16,16.739
2023-08-17,16.238
2023-08-18,16.195
2023-08-19,16.195
