,CC US Equity
2020-11-25,6.762
2020-11-26,6.762
2020-11-27,6.703
2020-11-28,6.703
2020-11-29,6.703
2020-11-30,6.581
2020-12-01,6.846
2020-12-02,6.897
2020-12-03,6.949
2020-12-04,7.041
2020-12-05,7.041
2020-12-06,7.041
2020-12-07,7.122
2020-12-08,7.203
2020-12-09,7.227
2020-12-10,7.198
2020-12-11,7.195
2020-12-12,7.195
2020-12-13,7.195
2020-12-14,7.008
2020-12-15,7.3
2020-12-16,7.322
2020-12-17,7.511
2020-12-18,7.303
2020-12-19,7.303
2020-12-20,7.303
2020-12-21,7.406
2020-12-22,7.217
2020-12-23,7.2
2020-12-24,7.282
2020-12-25,7.282
2020-12-26,7.282
2020-12-27,7.282
2020-12-28,6.984
2020-12-29,6.705
2020-12-30,6.846
2020-12-31,6.705
2021-01-01,6.705
2021-01-02,6.705
2021-01-03,6.705
2021-01-04,6.714
2021-01-05,7.133
2021-01-06,7.59
2021-01-07,7.544
2021-01-08,7.447
2021-01-09,7.447
2021-01-10,7.447
2021-01-11,7.392
2021-01-12,7.357
2021-01-13,7.309
2021-01-14,7.371
2021-01-15,7.325
2021-01-16,7.325
2021-01-17,7.325
2021-01-18,7.325
2021-01-19,7.763
2021-01-20,7.668
2021-01-21,7.298
2021-01-22,7.398
2021-01-23,7.398
2021-01-24,7.398
2021-01-25,7.311
2021-01-26,7.246
2021-01-27,7.379
2021-01-28,7.441
2021-01-29,7.125
2021-01-30,7.125
2021-01-31,7.125
2021-02-01,7.238
2021-02-02,7.16
2021-02-03,7.163
2021-02-04,7.249
2021-02-05,7.428
2021-02-06,7.428
2021-02-07,7.428
2021-02-08,7.447
2021-02-09,7.382
2021-02-10,7.257
2021-02-11,7.436
2021-02-12,7.071
2021-02-13,7.071
2021-02-14,7.071
2021-02-15,7.071
2021-02-16,7.071
2021-02-17,7.071
2021-02-18,7.071
2021-02-19,7.071
2021-02-20,7.071
2021-02-21,7.071
2021-02-22,7.071
2021-02-23,7.071
2021-02-24,7.071
2021-02-25,7.071
2021-02-26,7.071
2021-02-27,7.071
2021-02-28,7.071
2021-03-01,7.071
2021-03-02,7.071
2021-03-03,7.071
2021-03-04,7.071
2021-03-05,7.071
2021-03-06,7.071
2021-03-07,7.071
2021-03-08,7.071
2021-03-09,7.071
2021-03-10,7.071
2021-03-11,7.071
2021-03-12,7.071
2021-03-13,7.071
2021-03-14,7.071
2021-03-15,7.071
2021-03-16,7.071
2021-03-17,7.071
2021-03-18,7.071
2021-03-19,7.071
2021-03-20,7.071
2021-03-21,7.071
2021-03-22,7.071
2021-03-23,7.071
2021-03-24,7.071
2021-03-25,7.071
2021-03-26,7.071
2021-03-27,7.071
2021-03-28,7.071
2021-03-29,7.071
2021-03-30,7.071
2021-03-31,7.071
2021-04-01,7.071
2021-04-02,7.071
2021-04-03,7.071
2021-04-04,7.071
2021-04-05,7.071
2021-04-06,7.071
2021-04-07,7.071
2021-04-08,7.071
2021-04-09,7.071
2021-04-10,7.071
2021-04-11,7.071
2021-04-12,7.071
2021-04-13,7.071
2021-04-14,7.071
2021-04-15,7.071
2021-04-16,7.071
2021-04-17,7.071
2021-04-18,7.071
2021-04-19,7.071
2021-04-20,7.071
2021-04-21,7.071
2021-04-22,7.071
2021-04-23,7.071
2021-04-24,7.071
2021-04-25,7.071
2021-04-26,7.071
2021-04-27,7.071
2021-04-28,7.071
2021-04-29,7.071
2021-04-30,7.071
2021-05-01,7.071
2021-05-02,7.071
2021-05-03,7.071
2021-05-04,7.071
2021-05-05,7.071
2021-05-06,7.071
2021-05-07,7.071
2021-05-08,7.071
2021-05-09,7.071
2021-05-10,7.071
2021-05-11,7.071
2021-05-12,7.071
2021-05-13,7.071
2021-05-14,7.071
2021-05-15,7.071
2021-05-16,7.071
2021-05-17,7.071
2021-05-18,7.071
2021-05-19,7.071
2021-05-20,7.071
2021-05-21,7.071
2021-05-22,7.071
2021-05-23,7.071
2021-05-24,7.071
2021-05-25,7.071
2021-05-26,7.071
2021-05-27,7.071
2021-05-28,7.071
2021-05-29,7.071
2021-05-30,7.071
2021-05-31,7.071
2021-06-01,7.071
2021-06-02,7.071
2021-06-03,7.071
2021-06-04,7.071
2021-06-05,7.071
2021-06-06,7.071
2021-06-07,7.071
2021-06-08,7.071
2021-06-09,7.071
2021-06-10,7.071
2021-06-11,7.071
2021-06-12,7.071
2021-06-13,7.071
2021-06-14,7.071
2021-06-15,7.071
2021-06-16,7.071
2021-06-17,7.071
2021-06-18,7.071
2021-06-19,7.071
2021-06-20,7.071
2021-06-21,7.071
2021-06-22,20.689
2021-06-23,20.719
2021-06-24,21.359
2021-06-25,21.051
2021-06-26,21.051
2021-06-27,21.051
2021-06-28,20.617
2021-06-29,20.81
2021-06-30,20.985
2021-07-01,21.383
2021-07-02,21.431
2021-07-03,21.431
2021-07-04,21.431
2021-07-05,21.431
2021-07-06,20.46
2021-07-07,20.436
2021-07-08,20.086
2021-07-09,20.846
2021-07-10,20.846
2021-07-11,20.846
2021-07-12,21.033
2021-07-13,20.406
2021-07-14,20.496
2021-07-15,20.37
2021-07-16,19.194
2021-07-17,19.194
2021-07-18,19.194
2021-07-19,18.621
2021-07-20,19.369
2021-07-21,19.489
2021-07-22,19.23
2021-07-23,19.248
2021-07-24,19.248
2021-07-25,19.248
2021-07-26,19.465
2021-07-27,19.459
2021-07-28,19.67
2021-07-29,19.857
2021-07-30,20.05
2021-07-31,20.05
2021-08-01,20.05
2021-08-02,20.207
2021-08-03,20.593
2021-08-04,19.712
2021-08-05,19.893
2021-08-06,20.291
2021-08-07,20.291
2021-08-08,20.291
2021-08-09,20.177
2021-08-10,20.338
2021-08-11,20.848
2021-08-12,20.632
2021-08-13,20.813
2021-08-14,20.813
2021-08-15,20.813
2021-08-16,20.445
2021-08-17,20.324
2021-08-18,19.926
2021-08-19,18.942
2021-08-20,18.9
2021-08-21,18.9
2021-08-22,18.9
2021-08-23,19.642
2021-08-24,20.258
2021-08-25,20.632
2021-08-26,20.421
2021-08-27,20.958
2021-08-28,20.958
2021-08-29,20.958
2021-08-30,20.511
2021-08-31,20.221
2021-09-01,20.197
2021-09-02,20.336
2021-09-03,20.137
2021-09-04,20.137
2021-09-05,20.137
2021-09-06,20.137
2021-09-07,19.793
2021-09-08,18.803
2021-09-09,19.075
2021-09-10,18.803
2021-09-11,18.803
2021-09-12,18.803
2021-09-13,19.075
2021-09-14,18.707
2021-09-15,19.045
2021-09-16,18.544
2021-09-17,17.953
2021-09-18,17.953
2021-09-19,17.953
2021-09-20,16.909
2021-09-21,16.299
2021-09-22,16.39
2021-09-23,16.504
2021-09-24,16.486
2021-09-25,16.486
2021-09-26,16.486
2021-09-27,18.031
2021-09-28,17.663
2021-09-29,17.681
2021-09-30,17.536
2021-10-01,18.055
2021-10-02,18.055
2021-10-03,18.055
2021-10-04,17.784
2021-10-05,18.339
2021-10-06,18.043
2021-10-07,18.381
2021-10-08,18.791
2021-10-09,18.791
2021-10-10,18.791
2021-10-11,18.93
2021-10-12,18.653
2021-10-13,18.128
2021-10-14,18.677
2021-10-15,18.64
2021-10-16,18.64
2021-10-17,18.64
2021-10-18,18.49
2021-10-19,18.423
2021-10-20,18.472
2021-10-21,17.82
2021-10-22,17.615
2021-10-23,17.615
2021-10-24,17.615
2021-10-25,17.759
2021-10-26,17.47
2021-10-27,16.866
2021-10-28,17.144
2021-10-29,16.909
2021-10-30,16.909
2021-10-31,16.909
2021-11-01,17.325
2021-11-02,17.802
2021-11-03,18.194
2021-11-04,17.814
2021-11-05,19.148
2021-11-06,19.148
2021-11-07,19.148
2021-11-08,18.66
2021-11-09,18.565
2021-11-10,18.407
2021-11-11,19.048
2021-11-12,19.652
2021-11-13,19.652
2021-11-14,19.652
2021-11-15,19.617
2021-11-16,19.587
2021-11-17,19.208
2021-11-18,18.905
2021-11-19,18.817
2021-11-20,18.817
2021-11-21,18.817
2021-11-22,19.16
2021-11-23,19.628
2021-11-24,19.273
2021-11-25,19.273
2021-11-26,18.283
2021-11-27,18.283
2021-11-28,18.283
2021-11-29,18.396
2021-11-30,17.602
2021-12-01,17.602
2021-12-02,17.673
2021-12-03,17.335
2021-12-04,17.335
2021-12-05,17.335
2021-12-06,18.034
2021-12-07,18.935
2021-12-08,19.054
2021-12-09,19.457
2021-12-10,19.32
2021-12-11,19.32
2021-12-12,19.32
2021-12-13,18.651
2021-12-14,18.852
2021-12-15,19.32
2021-12-16,19.403
2021-12-17,19.214
2021-12-18,19.214
2021-12-19,19.214
2021-12-20,18.579
2021-12-21,18.941
2021-12-22,19.065
2021-12-23,18.799
2021-12-24,18.799
2021-12-25,18.799
2021-12-26,18.799
2021-12-27,19.297
2021-12-28,19.617
2021-12-29,19.682
2021-12-30,19.664
2021-12-31,19.889
2022-01-01,19.889
2022-01-02,19.889
2022-01-03,6.93
2022-01-04,7.26
2022-01-05,7.175
2022-01-06,7.274
2022-01-07,7.344
2022-01-08,7.344
2022-01-09,7.344
2022-01-10,7.148
2022-01-11,7.25
2022-01-12,7.332
2022-01-13,7.352
2022-01-14,7.37
2022-01-15,7.37
2022-01-16,7.37
2022-01-17,7.37
2022-01-18,7.262
2022-01-19,7.244
2022-01-20,6.997
2022-01-21,6.834
2022-01-22,6.834
2022-01-23,6.834
2022-01-24,6.675
2022-01-25,6.73
2022-01-26,6.647
2022-01-27,6.639
2022-01-28,6.618
2022-01-29,6.618
2022-01-30,6.618
2022-01-31,6.667
2022-02-01,6.842
2022-02-02,6.891
2022-02-03,6.83
2022-02-04,6.722
2022-02-05,6.722
2022-02-06,6.722
2022-02-07,6.665
2022-02-08,7.042
2022-02-09,7.346
2022-02-10,7.23
2022-02-11,4.574
2022-02-12,4.574
2022-02-13,4.574
2022-02-14,4.748
2022-02-15,4.947
2022-02-16,4.978
2022-02-17,4.71
2022-02-18,4.662
2022-02-19,4.662
2022-02-20,4.662
2022-02-21,4.662
2022-02-22,4.563
2022-02-23,4.49
2022-02-24,4.348
2022-02-25,4.609
2022-02-26,4.609
2022-02-27,4.609
2022-02-28,4.454
2022-03-01,4.192
2022-03-02,4.358
2022-03-03,4.299
2022-03-04,4.071
2022-03-05,4.071
2022-03-06,4.071
2022-03-07,3.731
2022-03-08,3.824
2022-03-09,4.11
2022-03-10,4.176
2022-03-11,4.235
2022-03-12,4.235
2022-03-13,4.235
2022-03-14,4.429
2022-03-15,4.443
2022-03-16,4.633
2022-03-17,4.686
2022-03-18,4.834
2022-03-19,4.834
2022-03-20,4.834
2022-03-21,4.808
2022-03-22,4.906
2022-03-23,4.908
2022-03-24,5.144
2022-03-25,5.145
2022-03-26,5.145
2022-03-27,5.145
2022-03-28,5.083
2022-03-29,5.169
2022-03-30,5.177
2022-03-31,5.057
2022-04-01,5.182
2022-04-02,5.182
2022-04-03,5.182
2022-04-04,5.18
2022-04-05,5.226
2022-04-06,5.119
2022-04-07,5.067
2022-04-08,5.176
2022-04-09,5.176
2022-04-10,5.176
2022-04-11,5.199
2022-04-12,5.21
2022-04-13,5.359
2022-04-14,5.417
2022-04-15,5.417
2022-04-16,5.417
2022-04-17,5.417
2022-04-18,5.409
2022-04-19,5.671
2022-04-20,5.719
2022-04-21,5.634
2022-04-22,5.411
2022-04-23,5.411
2022-04-24,5.411
2022-04-25,5.34
2022-04-26,5.177
2022-04-27,5.511
2022-04-28,5.616
2022-04-29,5.584
2022-04-30,5.584
2022-05-01,5.584
2022-05-02,5.589
2022-05-03,6.229
2022-05-04,6.242
2022-05-05,5.497
2022-05-06,5.521
2022-05-07,5.521
2022-05-08,5.521
2022-05-09,5.397
2022-05-10,5.216
2022-05-11,5.329
2022-05-12,5.26
2022-05-13,5.458
2022-05-14,5.458
2022-05-15,5.458
2022-05-16,5.659
2022-05-17,5.979
2022-05-18,5.662
2022-05-19,5.659
2022-05-20,5.586
2022-05-21,5.586
2022-05-22,5.586
2022-05-23,5.662
2022-05-24,5.592
2022-05-25,5.649
2022-05-26,5.911
2022-05-27,6.023
2022-05-28,6.023
2022-05-29,6.023
2022-05-30,6.023
2022-05-31,5.9
2022-06-01,5.962
2022-06-02,6.097
2022-06-03,5.974
2022-06-04,5.974
2022-06-05,5.974
2022-06-06,6.083
2022-06-07,6.133
2022-06-08,5.956
2022-06-09,5.768
2022-06-10,5.574
2022-06-11,5.574
2022-06-12,5.574
2022-06-13,5.269
2022-06-14,4.978
2022-06-15,4.876
2022-06-16,4.334
2022-06-17,4.325
2022-06-18,4.325
2022-06-19,4.325
2022-06-20,4.325
2022-06-21,4.323
2022-06-22,4.261
2022-06-23,4.041
2022-06-24,4.339
2022-06-25,4.339
2022-06-26,4.339
2022-06-27,4.311
2022-06-28,4.363
2022-06-29,4.361
2022-06-30,4.403
2022-07-01,4.327
2022-07-02,4.327
2022-07-03,4.327
2022-07-04,4.327
2022-07-05,4.137
2022-07-06,4.155
2022-07-07,4.319
2022-07-08,4.346
2022-07-09,4.346
2022-07-10,4.346
2022-07-11,4.325
2022-07-12,4.41
2022-07-13,4.422
2022-07-14,4.333
2022-07-15,4.402
2022-07-16,4.402
2022-07-17,4.402
2022-07-18,4.454
2022-07-19,4.732
2022-07-20,4.721
2022-07-21,4.75
2022-07-22,4.689
2022-07-23,4.689
2022-07-24,4.689
2022-07-25,4.777
2022-07-26,4.753
2022-07-27,4.781
2022-07-28,4.876
2022-07-29,4.983
2022-07-30,4.983
2022-07-31,4.983
2022-08-01,4.82
2022-08-02,4.628
2022-08-03,4.659
2022-08-04,4.726
2022-08-05,4.663
2022-08-06,4.663
2022-08-07,4.663
2022-08-08,4.651
2022-08-09,4.674
2022-08-10,4.802
2022-08-11,4.886
2022-08-12,5.01
2022-08-13,5.01
2022-08-14,5.01
2022-08-15,4.972
2022-08-16,5.11
2022-08-17,4.995
2022-08-18,5.083
2022-08-19,5.023
2022-08-20,5.023
2022-08-21,5.023
2022-08-22,4.891
2022-08-23,5.002
2022-08-24,4.964
2022-08-25,5.098
2022-08-26,4.887
2022-08-27,4.887
2022-08-28,4.887
2022-08-29,4.835
2022-08-30,4.699
2022-08-31,4.61
2022-09-01,4.566
2022-09-02,4.543
2022-09-03,4.543
2022-09-04,4.543
2022-09-05,4.543
2022-09-06,4.501
2022-09-07,4.692
2022-09-08,4.74
2022-09-09,4.883
2022-09-10,4.883
2022-09-11,4.883
2022-09-12,5.005
2022-09-13,4.768
2022-09-14,4.639
2022-09-15,4.621
2022-09-16,4.304
2022-09-17,4.304
2022-09-18,4.304
2022-09-19,4.505
2022-09-20,4.269
2022-09-21,3.909
2022-09-22,3.751
2022-09-23,3.707
2022-09-24,3.707
2022-09-25,3.707
2022-09-26,3.518
2022-09-27,3.541
2022-09-28,3.6
2022-09-29,3.555
2022-09-30,3.622
2022-10-01,3.622
2022-10-02,3.622
2022-10-03,3.824
2022-10-04,4.012
2022-10-05,4.236
2022-10-06,4.087
2022-10-07,4.002
2022-10-08,4.002
2022-10-09,4.002
2022-10-10,4.083
2022-10-11,4.111
2022-10-12,4.1
2022-10-13,4.212
2022-10-14,4.055
2022-10-15,4.055
2022-10-16,4.055
2022-10-17,4.347
2022-10-18,4.481
2022-10-19,4.421
2022-10-20,4.393
2022-10-21,4.535
2022-10-22,4.535
2022-10-23,4.535
2022-10-24,4.445
2022-10-25,4.502
2022-10-26,4.618
2022-10-27,4.678
2022-10-28,4.639
2022-10-29,4.639
2022-10-30,4.639
2022-10-31,4.633
2022-11-01,4.586
2022-11-02,4.551
2022-11-03,4.549
2022-11-04,4.933
2022-11-05,4.933
2022-11-06,4.933
2022-11-07,4.94
2022-11-08,4.951
2022-11-09,4.842
2022-11-10,5.292
2022-11-11,5.493
2022-11-12,5.493
2022-11-13,5.493
2022-11-14,5.488
2022-11-15,5.495
2022-11-16,5.322
2022-11-17,5.435
2022-11-18,5.434
2022-11-19,5.434
2022-11-20,5.434
2022-11-21,5.286
2022-11-22,5.399
2022-11-23,5.396
2022-11-24,5.396
2022-11-25,5.386
2022-11-26,5.386
2022-11-27,5.386
2022-11-28,5.164
2022-11-29,5.095
2022-11-30,5.102
2022-12-01,5.229
2022-12-02,5.249
2022-12-03,5.249
2022-12-04,5.249
2022-12-05,5.145
2022-12-06,5.219
2022-12-07,5.126
2022-12-08,5.041
2022-12-09,4.991
2022-12-10,4.991
2022-12-11,4.991
2022-12-12,5.156
2022-12-13,5.323
2022-12-14,5.371
2022-12-15,5.131
2022-12-16,5.214
2022-12-17,5.214
2022-12-18,5.214
2022-12-19,5.129
2022-12-20,5.279
2022-12-21,5.283
2022-12-22,5.057
2022-12-23,5.252
2022-12-24,5.252
2022-12-25,5.252
2022-12-26,5.252
2022-12-27,5.278
2022-12-28,5.121
2022-12-29,5.271
2022-12-30,5.226
2022-12-31,5.226
2023-01-01,5.226
2023-01-02,5.226
2023-01-03,5.217
2023-01-04,5.376
2023-01-05,5.273
2023-01-06,5.565
2023-01-07,5.565
2023-01-08,5.565
2023-01-09,5.591
2023-01-10,5.495
2023-01-11,5.643
2023-01-12,5.696
2023-01-13,5.749
2023-01-14,5.749
2023-01-15,5.749
2023-01-16,5.749
2023-01-17,5.665
2023-01-18,5.665
2023-01-19,5.585
2023-01-20,5.773
2023-01-21,5.773
2023-01-22,5.773
2023-01-23,5.832
2023-01-24,5.905
2023-01-25,5.835
2023-01-26,5.994
2023-01-27,6.015
2023-01-28,6.015
2023-01-29,6.015
2023-01-30,6.02
2023-01-31,6.236
2023-02-01,6.225
2023-02-02,6.164
2023-02-03,6.15
2023-02-04,6.15
2023-02-05,6.15
2023-02-06,6.059
2023-02-07,6.15
2023-02-08,5.987
2023-02-09,5.755
2023-02-10,5.824
2023-02-11,5.824
2023-02-12,5.824
2023-02-13,6.071
2023-02-14,6.013
2023-02-15,6.042
2023-02-16,6.108
2023-02-17,6.158
2023-02-18,6.158
2023-02-19,6.158
2023-02-20,6.158
2023-02-21,5.871
2023-02-22,5.931
2023-02-23,6.107
2023-02-24,6.073
2023-02-25,6.073
2023-02-26,6.073
2023-02-27,6.127
2023-02-28,6.15
2023-03-01,6.269
2023-03-02,6.499
2023-03-03,6.609
2023-03-04,6.609
2023-03-05,6.609
2023-03-06,6.402
2023-03-07,6.156
2023-03-08,6.141
2023-03-09,5.887
2023-03-10,5.616
2023-03-11,5.616
2023-03-12,5.616
2023-03-13,5.476
2023-03-14,5.643
2023-03-15,5.185
2023-03-16,5.334
2023-03-17,5.203
2023-03-18,5.203
2023-03-19,5.203
2023-03-20,5.256
2023-03-21,5.401
2023-03-22,5.267
2023-03-23,5.123
2023-03-24,5.199
2023-03-25,5.199
2023-03-26,5.199
2023-03-27,5.264
2023-03-28,5.292
2023-03-29,5.376
2023-03-30,5.348
2023-03-31,5.4
2023-04-01,5.4
2023-04-02,5.4
2023-04-03,5.462
2023-04-04,5.299
2023-04-05,5.184
2023-04-06,5.139
2023-04-07,5.139
2023-04-08,5.139
2023-04-09,5.139
2023-04-10,5.377
2023-04-11,5.448
2023-04-12,5.339
2023-04-13,5.455
2023-04-14,5.379
2023-04-15,5.379
2023-04-16,5.379
2023-04-17,5.347
2023-04-18,5.329
2023-04-19,5.283
2023-04-20,5.186
2023-04-21,5.094
2023-04-22,5.094
2023-04-23,5.094
2023-04-24,5.22
2023-04-25,4.977
2023-04-26,4.93
2023-04-27,5.104
2023-04-28,5.305
2023-04-29,5.305
2023-04-30,5.305
2023-05-01,5.399
2023-05-02,5.526
2023-05-03,5.315
2023-05-04,5.17
2023-05-05,5.353
2023-05-06,5.353
2023-05-07,5.353
2023-05-08,5.326
2023-05-09,5.264
2023-05-10,5.214
2023-05-11,5.092
2023-05-12,5.161
2023-05-13,5.161
2023-05-14,5.161
2023-05-15,5.285
2023-05-16,5.082
2023-05-17,5.221
2023-05-18,5.469
2023-05-19,5.413
2023-05-20,5.413
2023-05-21,5.413
2023-05-22,5.314
2023-05-23,5.289
2023-05-24,5.179
2023-05-25,5.108
2023-05-26,5.227
2023-05-27,5.227
2023-05-28,5.227
2023-05-29,5.227
2023-05-30,5.063
2023-05-31,4.838
2023-06-01,4.951
2023-06-02,6.144
2023-06-03,6.144
2023-06-04,6.144
2023-06-05,6.338
2023-06-06,6.333
2023-06-07,6.231
2023-06-08,6.019
2023-06-09,5.852
2023-06-10,5.852
2023-06-11,5.852
2023-06-12,5.741
2023-06-13,5.864
2023-06-14,6.035
2023-06-15,6.25
2023-06-16,6.181
2023-06-17,6.181
2023-06-18,6.181
2023-06-19,6.181
2023-06-20,6.172
2023-06-21,6.19
2023-06-22,6.117
2023-06-23,6.126
2023-06-24,6.126
2023-06-25,6.126
2023-06-26,6.249
2023-06-27,6.388
2023-06-28,6.47
2023-06-29,6.567
2023-06-30,6.75
2023-07-01,6.75
2023-07-02,6.75
2023-07-03,6.812
2023-07-04,6.812
2023-07-05,6.67
2023-07-06,6.633
2023-07-07,6.826
2023-07-08,6.826
2023-07-09,6.826
2023-07-10,6.865
2023-07-11,6.975
2023-07-12,7.088
2023-07-13,7.176
2023-07-14,7.084
2023-07-15,7.084
2023-07-16,7.084
2023-07-17,7.076
2023-07-18,7.273
2023-07-19,7.273
2023-07-20,7.228
2023-07-21,7.249
2023-07-22,7.249
2023-07-23,7.249
2023-07-24,7.081
2023-07-25,7.262
2023-07-26,7.243
2023-07-27,7.156
2023-07-28,6.995
2023-07-29,6.995
2023-07-30,6.995
2023-07-31,7.517
2023-08-01,7.799
2023-08-02,7.69
2023-08-03,7.678
2023-08-04,7.812
2023-08-05,7.812
2023-08-06,7.812
2023-08-07,7.852
2023-08-08,7.887
2023-08-09,7.615
2023-08-10,7.431
2023-08-11,7.337
2023-08-12,7.337
2023-08-13,7.337
2023-08-14,7.353
2023-08-15,7.077
2023-08-16,6.954
2023-08-17,6.932
2023-08-18,6.919
2023-08-19,6.919
2023-08-20,6.919
2023-08-21,6.817
2023-08-22,6.845
2023-08-23,6.84
2023-08-24,6.889
2023-08-25,6.996
2023-08-26,6.996
2023-08-27,6.996
2023-08-28,7.142
2023-08-29,7.313
2023-08-30,7.266
2023-08-31,7.27
2023-09-01,7.477
2023-09-02,7.477
2023-09-03,7.477
2023-09-04,7.477
2023-09-05,7.122
2023-09-06,7.118
2023-09-07,6.815
2023-09-08,6.832
2023-09-09,6.832
2023-09-10,6.832
2023-09-11,6.783
2023-09-12,6.81
2023-09-13,6.742
2023-09-14,6.909
2023-09-15,6.806
