,KFRC US Equity
2020-11-25,12.138
2020-11-26,12.138
2020-11-27,12.147
2020-11-28,12.147
2020-11-29,12.147
2020-11-30,11.863
2020-12-01,11.895
2020-12-02,11.964
2020-12-03,11.95
2020-12-04,12.444
2020-12-05,12.444
2020-12-06,12.444
2020-12-07,12.383
2020-12-08,12.461
2020-12-09,12.487
2020-12-10,12.658
2020-12-11,12.627
2020-12-12,12.627
2020-12-13,12.627
2020-12-14,12.217
2020-12-15,12.632
2020-12-16,12.415
2020-12-17,12.487
2020-12-18,12.467
2020-12-19,12.467
2020-12-20,12.467
2020-12-21,12.136
2020-12-22,12.179
2020-12-23,12.38
2020-12-24,12.354
2020-12-25,12.354
2020-12-26,12.354
2020-12-27,12.354
2020-12-28,12.534
2020-12-29,12.333
2020-12-30,12.354
2020-12-31,12.223
2021-01-01,12.223
2021-01-02,12.223
2021-01-03,12.223
2021-01-04,12.388
2021-01-05,12.519
2021-01-06,12.99
2021-01-07,13.001
2021-01-08,12.815
2021-01-09,12.815
2021-01-10,12.815
2021-01-11,12.647
2021-01-12,12.847
2021-01-13,12.632
2021-01-14,12.812
2021-01-15,12.403
2021-01-16,12.403
2021-01-17,12.403
2021-01-18,12.403
2021-01-19,12.556
2021-01-20,12.525
2021-01-21,12.52
2021-01-22,12.823
2021-01-23,12.823
2021-01-24,12.823
2021-01-25,12.486
2021-01-26,12.493
2021-01-27,12.292
2021-01-28,12.329
2021-01-29,11.978
2021-01-30,11.978
2021-01-31,11.978
2021-02-01,12.14
2021-02-02,12.124
2021-02-03,12.289
2021-02-04,12.553
2021-02-05,12.66
2021-02-06,12.66
2021-02-07,12.66
2021-02-08,13.244
2021-02-09,11.126
2021-02-10,11.23
2021-02-11,11.209
2021-02-12,11.017
2021-02-13,11.017
2021-02-14,11.017
2021-02-15,11.017
2021-02-16,10.987
2021-02-17,11.27
2021-02-18,11.244
2021-02-19,11.581
2021-02-20,11.581
2021-02-21,11.581
2021-02-22,11.809
2021-02-23,11.906
2021-02-24,12.199
2021-02-25,12.26
2021-02-26,12.132
2021-02-27,12.132
2021-02-28,12.132
2021-03-01,12.421
2021-03-02,12.248
2021-03-03,12.622
2021-03-04,12.293
2021-03-05,12.435
2021-03-06,12.435
2021-03-07,12.435
2021-03-08,12.796
2021-03-09,12.64
2021-03-10,12.683
2021-03-11,12.654
2021-03-12,12.896
2021-03-13,12.896
2021-03-14,12.896
2021-03-15,12.802
2021-03-16,12.462
2021-03-17,12.441
2021-03-18,12.607
2021-03-19,12.505
2021-03-20,12.505
2021-03-21,12.505
2021-03-22,12.246
2021-03-23,11.99
2021-03-24,11.954
2021-03-25,12.37
2021-03-26,12.728
2021-03-27,12.728
2021-03-28,12.728
2021-03-29,12.453
2021-03-30,12.628
2021-03-31,12.719
2021-04-01,12.882
2021-04-02,12.882
2021-04-03,12.882
2021-04-04,12.882
2021-04-05,12.925
2021-04-06,12.882
2021-04-07,12.923
2021-04-08,13.032
2021-04-09,13.134
2021-04-10,13.134
2021-04-11,13.134
2021-04-12,13.176
2021-04-13,13.072
2021-04-14,13.153
2021-04-15,13.222
2021-04-16,13.381
2021-04-17,13.381
2021-04-18,13.381
2021-04-19,13.191
2021-04-20,12.953
2021-04-21,13.084
2021-04-22,13.053
2021-04-23,13.307
2021-04-24,13.307
2021-04-25,13.307
2021-04-26,13.103
2021-04-27,13.255
2021-04-28,13.335
2021-04-29,13.288
2021-04-30,13.298
2021-05-01,13.298
2021-05-02,13.298
2021-05-03,12.901
2021-05-04,13.89
2021-05-05,13.386
2021-05-06,13.413
2021-05-07,13.528
2021-05-08,13.528
2021-05-09,13.528
2021-05-10,13.305
2021-05-11,13.038
2021-05-12,12.793
2021-05-13,13.379
2021-05-14,13.562
2021-05-15,13.562
2021-05-16,13.562
2021-05-17,13.598
2021-05-18,13.577
2021-05-19,13.409
2021-05-20,13.265
2021-05-21,13.422
2021-05-22,13.422
2021-05-23,13.422
2021-05-24,13.625
2021-05-25,13.242
2021-05-26,13.831
2021-05-27,14.155
2021-05-28,14.099
2021-05-29,14.099
2021-05-30,14.099
2021-05-31,14.099
2021-06-01,14.335
2021-06-02,14.106
2021-06-03,14.072
2021-06-04,14.076
2021-06-05,14.076
2021-06-06,14.076
2021-06-07,14.144
2021-06-08,14.328
2021-06-09,14.18
2021-06-10,14.128
2021-06-11,14.139
2021-06-12,14.139
2021-06-13,14.139
2021-06-14,14.18
2021-06-15,14.182
2021-06-16,13.959
2021-06-17,13.742
2021-06-18,13.273
2021-06-19,13.273
2021-06-20,13.273
2021-06-21,13.701
2021-06-22,13.862
2021-06-23,13.828
2021-06-24,13.952
2021-06-25,14.029
2021-06-26,14.029
2021-06-27,14.029
2021-06-28,14.002
2021-06-29,14.396
2021-06-30,14.2
2021-07-01,14.297
2021-07-02,14.259
2021-07-03,14.259
2021-07-04,14.259
2021-07-05,14.259
2021-07-06,13.78
2021-07-07,13.963
2021-07-08,13.805
2021-07-09,14.053
2021-07-10,14.053
2021-07-11,14.053
2021-07-12,14.026
2021-07-13,13.952
2021-07-14,14.108
2021-07-15,13.934
2021-07-16,13.566
2021-07-17,13.566
2021-07-18,13.566
2021-07-19,13.266
2021-07-20,13.51
2021-07-21,13.564
2021-07-22,13.3
2021-07-23,13.679
2021-07-24,13.679
2021-07-25,13.679
2021-07-26,13.706
2021-07-27,13.783
2021-07-28,13.902
2021-07-29,14.092
2021-07-30,14.087
2021-07-31,14.087
2021-08-01,14.087
2021-08-02,14.008
2021-08-03,15.101
2021-08-04,14.101
2021-08-05,14.637
2021-08-06,14.567
2021-08-07,14.567
2021-08-08,14.567
2021-08-09,14.386
2021-08-10,14.529
2021-08-11,14.646
2021-08-12,14.687
2021-08-13,14.448
2021-08-14,14.448
2021-08-15,14.448
2021-08-16,14.357
2021-08-17,14.228
2021-08-18,13.952
2021-08-19,14.034
2021-08-20,14.058
2021-08-21,14.058
2021-08-22,14.058
2021-08-23,14.019
2021-08-24,13.89
2021-08-25,13.804
2021-08-26,13.524
2021-08-27,14.031
2021-08-28,14.031
2021-08-29,14.031
2021-08-30,13.857
2021-08-31,13.983
2021-09-01,14.024
2021-09-02,14.129
2021-09-03,14.053
2021-09-04,14.053
2021-09-05,14.053
2021-09-06,14.053
2021-09-07,13.806
2021-09-08,14.165
2021-09-09,14.396
2021-09-10,14.399
2021-09-11,14.399
2021-09-12,14.399
2021-09-13,14.408
2021-09-14,14.274
2021-09-15,14.447
2021-09-16,14.478
2021-09-17,14.663
2021-09-18,14.663
2021-09-19,14.663
2021-09-20,14.245
2021-09-21,14.043
2021-09-22,14.17
2021-09-23,14.879
2021-09-24,14.961
2021-09-25,14.961
2021-09-26,14.961
2021-09-27,15.091
2021-09-28,14.8
2021-09-29,14.774
2021-09-30,14.338
2021-10-01,14.795
2021-10-02,14.795
2021-10-03,14.795
2021-10-04,14.949
2021-10-05,15.372
2021-10-06,15.363
2021-10-07,16.134
2021-10-08,16.223
2021-10-09,16.223
2021-10-10,16.223
2021-10-11,15.954
2021-10-12,16.158
2021-10-13,16.041
2021-10-14,15.668
2021-10-15,15.478
2021-10-16,15.478
2021-10-17,15.478
2021-10-18,15.514
2021-10-19,15.492
2021-10-20,15.589
2021-10-21,15.709
2021-10-22,15.668
2021-10-23,15.668
2021-10-24,15.668
2021-10-25,15.651
2021-10-26,15.396
2021-10-27,15.218
2021-10-28,15.488
2021-10-29,15.569
2021-10-30,15.569
2021-10-31,15.569
2021-11-01,16.007
2021-11-02,14.311
2021-11-03,14.416
2021-11-04,14.941
2021-11-05,15.596
2021-11-06,15.596
2021-11-07,15.596
2021-11-08,15.617
2021-11-09,15.68
2021-11-10,15.798
2021-11-11,15.957
2021-11-12,16.095
2021-11-13,16.095
2021-11-14,16.095
2021-11-15,16.086
2021-11-16,16.294
2021-11-17,15.994
2021-11-18,15.946
2021-11-19,16.274
2021-11-20,16.274
2021-11-21,16.274
2021-11-22,16.445
2021-11-23,16.634
2021-11-24,16.385
2021-11-25,16.385
2021-11-26,15.726
2021-11-27,15.726
2021-11-28,15.726
2021-11-29,16.239
2021-11-30,15.786
2021-12-01,15.104
2021-12-02,15.481
2021-12-03,15.06
2021-12-04,15.06
2021-12-05,15.06
2021-12-06,15.149
2021-12-07,15.165
2021-12-08,15.394
2021-12-09,15.03
2021-12-10,15.152
2021-12-11,15.152
2021-12-12,15.152
2021-12-13,14.873
2021-12-14,14.803
2021-12-15,15.38
2021-12-16,15.113
2021-12-17,15.127
2021-12-18,15.127
2021-12-19,15.127
2021-12-20,15.22
2021-12-21,15.268
2021-12-22,15.378
2021-12-23,15.624
2021-12-24,15.624
2021-12-25,15.624
2021-12-26,15.624
2021-12-27,15.915
2021-12-28,15.735
2021-12-29,15.71
2021-12-30,15.46
2021-12-31,15.549
2022-01-01,15.549
2022-01-02,15.549
2022-01-03,15.7
2022-01-04,15.657
2022-01-05,15.435
2022-01-06,15.638
2022-01-07,14.712
2022-01-08,14.712
2022-01-09,14.712
2022-01-10,14.46
2022-01-11,14.538
2022-01-12,14.441
2022-01-13,14.939
2022-01-14,14.975
2022-01-15,14.975
2022-01-16,14.975
2022-01-17,14.975
2022-01-18,14.677
2022-01-19,14.625
2022-01-20,14.094
2022-01-21,14.15
2022-01-22,14.15
2022-01-23,14.15
2022-01-24,14.509
2022-01-25,13.84
2022-01-26,13.823
2022-01-27,13.751
2022-01-28,13.898
2022-01-29,13.898
2022-01-30,13.898
2022-01-31,14.195
2022-02-01,14.226
2022-02-02,14.135
2022-02-03,14.199
2022-02-04,14.09
2022-02-05,14.09
2022-02-06,14.09
2022-02-07,12.526
2022-02-08,13.84
2022-02-09,13.505
2022-02-10,13.323
2022-02-11,13.043
2022-02-12,13.043
2022-02-13,13.043
2022-02-14,13.194
2022-02-15,13.341
2022-02-16,13.301
2022-02-17,13.088
2022-02-18,13.032
2022-02-19,13.032
2022-02-20,13.032
2022-02-21,13.032
2022-02-22,13.292
2022-02-23,13.135
2022-02-24,13.321
2022-02-25,13.869
2022-02-26,13.869
2022-02-27,13.869
2022-02-28,13.831
2022-03-01,12.806
2022-03-02,13.323
2022-03-03,13.384
2022-03-04,13.261
2022-03-05,13.261
2022-03-06,13.261
2022-03-07,12.622
2022-03-08,12.526
2022-03-09,12.782
2022-03-10,12.692
2022-03-11,12.44
2022-03-12,12.44
2022-03-13,12.44
2022-03-14,12.719
2022-03-15,12.985
2022-03-16,13.449
2022-03-17,13.499
2022-03-18,13.682
2022-03-19,13.682
2022-03-20,13.682
2022-03-21,13.464
2022-03-22,13.431
2022-03-23,13.283
2022-03-24,13.499
2022-03-25,13.519
2022-03-26,13.519
2022-03-27,13.519
2022-03-28,13.49
2022-03-29,13.996
2022-03-30,13.789
2022-03-31,13.667
2022-04-01,13.76
2022-04-02,13.76
2022-04-03,13.76
2022-04-04,13.778
2022-04-05,13.719
2022-04-06,13.466
2022-04-07,13.477
2022-04-08,13.475
2022-04-09,13.475
2022-04-10,13.475
2022-04-11,13.433
2022-04-12,13.73
2022-04-13,13.721
2022-04-14,13.451
2022-04-15,13.451
2022-04-16,13.451
2022-04-17,13.451
2022-04-18,13.405
2022-04-19,13.743
2022-04-20,13.944
2022-04-21,13.996
2022-04-22,13.536
2022-04-23,13.536
2022-04-24,13.536
2022-04-25,13.433
2022-04-26,13.03
2022-04-27,12.917
2022-04-28,13.276
2022-04-29,12.943
2022-04-30,12.943
2022-05-01,12.943
2022-05-02,12.75
2022-05-03,13.252
2022-05-04,13.562
2022-05-05,13.243
2022-05-06,13.102
2022-05-07,13.102
2022-05-08,13.102
2022-05-09,13.097
2022-05-10,13.053
2022-05-11,12.997
2022-05-12,12.555
2022-05-13,12.816
2022-05-14,12.816
2022-05-15,12.816
2022-05-16,12.797
2022-05-17,13.037
2022-05-18,12.446
2022-05-19,12.136
2022-05-20,11.935
2022-05-21,11.935
2022-05-22,11.935
2022-05-23,11.909
2022-05-24,11.585
2022-05-25,11.782
2022-05-26,11.384
2022-05-27,11.565
2022-05-28,11.565
2022-05-29,11.565
2022-05-30,11.565
2022-05-31,11.906
2022-06-01,11.844
2022-06-02,12.243
2022-06-03,12.105
2022-06-04,12.105
2022-06-05,12.105
2022-06-06,12.27
2022-06-07,12.486
2022-06-08,12.391
2022-06-09,12.313
2022-06-10,11.927
2022-06-11,11.927
2022-06-12,11.927
2022-06-13,11.226
2022-06-14,11.308
2022-06-15,11.308
2022-06-16,10.596
2022-06-17,10.54
2022-06-18,10.54
2022-06-19,10.54
2022-06-20,10.54
2022-06-21,10.98
2022-06-22,10.835
2022-06-23,10.533
2022-06-24,10.997
2022-06-25,10.997
2022-06-26,10.997
2022-06-27,11.263
2022-06-28,11.026
2022-06-29,11.077
2022-06-30,11.168
2022-07-01,11.303
2022-07-02,11.303
2022-07-03,11.303
2022-07-04,11.303
2022-07-05,11.142
2022-07-06,11.312
2022-07-07,11.536
2022-07-08,11.485
2022-07-09,11.485
2022-07-10,11.485
2022-07-11,11.346
2022-07-12,11.346
2022-07-13,11.319
2022-07-14,11.239
2022-07-15,11.135
2022-07-16,11.135
2022-07-17,11.135
2022-07-18,11.046
2022-07-19,11.341
2022-07-20,11.519
2022-07-21,11.528
2022-07-22,11.157
2022-07-23,11.157
2022-07-24,11.157
2022-07-25,11.288
2022-07-26,11.472
2022-07-27,11.578
2022-07-28,11.898
2022-07-29,11.989
2022-07-30,11.989
2022-07-31,11.989
2022-08-01,13.726
2022-08-02,12.74
2022-08-03,12.616
2022-08-04,12.007
2022-08-05,11.929
2022-08-06,11.929
2022-08-07,11.929
2022-08-08,11.694
2022-08-09,11.441
2022-08-10,11.705
2022-08-11,11.39
2022-08-12,11.556
2022-08-13,11.556
2022-08-14,11.556
2022-08-15,11.873
2022-08-16,12.137
2022-08-17,11.954
2022-08-18,11.987
2022-08-19,11.987
2022-08-20,11.987
2022-08-21,11.987
2022-08-22,11.987
2022-08-23,11.987
2022-08-24,11.987
2022-08-25,11.987
2022-08-26,11.987
2022-08-27,11.987
2022-08-28,11.987
2022-08-29,11.987
2022-08-30,11.987
2022-08-31,11.987
2022-09-01,11.987
2022-09-02,11.987
2022-09-03,11.987
2022-09-04,11.987
2022-09-05,11.987
2022-09-06,11.987
2022-09-07,11.987
2022-09-08,11.987
2022-09-09,11.987
2022-09-10,11.987
2022-09-11,11.987
2022-09-12,11.987
2022-09-13,11.987
2022-09-14,11.987
2022-09-15,11.987
2022-09-16,11.987
2022-09-17,11.987
2022-09-18,11.987
2022-09-19,11.987
2022-09-20,11.987
2022-09-21,11.987
2022-09-22,11.987
2022-09-23,11.987
2022-09-24,11.987
2022-09-25,11.987
2022-09-26,11.987
2022-09-27,11.987
2022-09-28,11.987
2022-09-29,11.987
2022-09-30,11.987
2022-10-01,11.987
2022-10-02,11.987
2022-10-03,11.987
2022-10-04,11.987
2022-10-05,11.987
2022-10-06,11.987
2022-10-07,11.987
2022-10-08,11.987
2022-10-09,11.987
2022-10-10,11.987
2022-10-11,11.987
2022-10-12,11.987
2022-10-13,11.987
2022-10-14,11.987
2022-10-15,11.987
2022-10-16,11.987
2022-10-17,11.987
2022-10-18,11.987
2022-10-19,11.987
2022-10-20,11.987
2022-10-21,11.987
2022-10-22,11.987
2022-10-23,11.987
2022-10-24,11.987
2022-10-25,11.987
2022-10-26,11.987
2022-10-27,11.987
2022-10-28,11.987
2022-10-29,11.987
2022-10-30,11.987
2022-10-31,11.987
2022-11-01,12.822
2022-11-02,12.211
2022-11-03,12.283
2022-11-04,12.377
2022-11-05,12.377
2022-11-06,12.377
2022-11-07,12.268
2022-11-08,12.237
2022-11-09,12.143
2022-11-10,12.535
2022-11-11,12.502
2022-11-12,12.502
2022-11-13,12.502
2022-11-14,12.502
2022-11-15,12.713
2022-11-16,12.638
2022-11-17,12.89
2022-11-18,13.125
2022-11-19,13.125
2022-11-20,13.125
2022-11-21,13.052
2022-11-22,13.142
2022-11-23,13.098
2022-11-24,13.098
2022-11-25,12.919
2022-11-26,12.919
2022-11-27,12.919
2022-11-28,12.601
2022-11-29,12.38
2022-11-30,12.94
2022-12-01,12.776
2022-12-02,12.669
2022-12-03,12.669
2022-12-04,12.669
2022-12-05,12.257
2022-12-06,12.042
2022-12-07,11.714
2022-12-08,11.009
2022-12-09,11.544
2022-12-10,11.544
2022-12-11,11.544
2022-12-12,11.778
2022-12-13,11.912
2022-12-14,11.987
2022-12-15,11.452
2022-12-16,11.725
2022-12-17,11.725
2022-12-18,11.725
2022-12-19,11.559
2022-12-20,11.617
2022-12-21,12.062
2022-12-22,11.802
2022-12-23,12.079
2022-12-24,12.079
2022-12-25,12.079
2022-12-26,12.079
2022-12-27,12.11
2022-12-28,11.903
2022-12-29,12.183
2022-12-30,12.079
2022-12-31,12.079
2023-01-01,12.079
2023-01-02,12.079
2023-01-03,12.027
2023-01-04,12.051
2023-01-05,11.709
2023-01-06,12.26
2023-01-07,12.26
2023-01-08,12.26
2023-01-09,12.15
2023-01-10,12.372
2023-01-11,12.555
2023-01-12,12.602
2023-01-13,12.833
2023-01-14,12.833
2023-01-15,12.833
2023-01-16,12.833
2023-01-17,12.609
2023-01-18,12.429
2023-01-19,12.375
2023-01-20,12.451
2023-01-21,12.451
2023-01-22,12.451
2023-01-23,12.665
2023-01-24,12.469
2023-01-25,12.429
2023-01-26,12.573
2023-01-27,12.519
2023-01-28,12.519
2023-01-29,12.519
2023-01-30,12.361
2023-01-31,12.638
2023-02-01,12.877
2023-02-02,13.057
2023-02-03,13.133
2023-02-04,13.133
2023-02-05,13.133
2023-02-06,12.414
2023-02-07,13.132
2023-02-08,13.05
2023-02-09,13.141
2023-02-10,13.305
2023-02-11,13.305
2023-02-12,13.305
2023-02-13,13.481
2023-02-14,13.529
2023-02-15,13.772
2023-02-16,13.811
2023-02-17,14.215
2023-02-18,14.215
2023-02-19,14.215
2023-02-20,14.215
2023-02-21,13.978
2023-02-22,14.102
2023-02-23,14.102
2023-02-24,13.96
2023-02-25,13.96
2023-02-26,13.96
2023-02-27,14.063
2023-02-28,14.099
2023-03-01,14.142
2023-03-02,14.052
2023-03-03,14.111
2023-03-04,14.111
2023-03-05,14.111
2023-03-06,14.108
2023-03-07,14.011
2023-03-08,14.09
2023-03-09,14.02
2023-03-10,13.877
2023-03-11,13.877
2023-03-12,13.877
2023-03-13,13.857
2023-03-14,14.127
2023-03-15,13.673
2023-03-16,14.156
2023-03-17,13.907
2023-03-18,13.907
2023-03-19,13.907
2023-03-20,13.95
2023-03-21,14.233
2023-03-22,13.961
2023-03-23,14.02
2023-03-24,13.988
2023-03-25,13.988
2023-03-26,13.988
2023-03-27,14.204
2023-03-28,14.22
2023-03-29,14.193
2023-03-30,14.199
2023-03-31,14.351
2023-04-01,14.351
2023-04-02,14.351
2023-04-03,14.274
2023-04-04,14.186
2023-04-05,14.299
2023-04-06,14.188
2023-04-07,14.188
2023-04-08,14.188
2023-04-09,14.188
2023-04-10,14.533
2023-04-11,14.61
2023-04-12,14.708
2023-04-13,14.91
2023-04-14,14.885
2023-04-15,14.885
2023-04-16,14.885
2023-04-17,14.966
2023-04-18,14.71
2023-04-19,14.739
2023-04-20,14.73
2023-04-21,14.547
2023-04-22,14.547
2023-04-23,14.547
2023-04-24,14.072
2023-04-25,13.625
2023-04-26,13.453
2023-04-27,13.342
2023-04-28,13.421
2023-04-29,13.421
2023-04-30,13.421
2023-05-01,13.491
2023-05-02,12.951
2023-05-03,13.151
2023-05-04,12.824
2023-05-05,12.736
2023-05-06,12.736
2023-05-07,12.736
2023-05-08,12.735
2023-05-09,12.8
2023-05-10,13.487
2023-05-11,13.497
2023-05-12,13.702
2023-05-13,13.702
2023-05-14,13.702
2023-05-15,13.618
2023-05-16,13.289
2023-05-17,13.56
2023-05-18,13.69
2023-05-19,14.0
2023-05-20,14.0
2023-05-21,14.0
2023-05-22,14.334
2023-05-23,14.67
2023-05-24,14.372
2023-05-25,13.997
2023-05-26,14.128
2023-05-27,14.128
2023-05-28,14.128
2023-05-29,14.128
2023-05-30,14.048
2023-05-31,13.93
2023-06-01,13.893
2023-06-02,14.58
2023-06-03,14.58
2023-06-04,14.58
2023-06-05,14.395
2023-06-06,14.782
2023-06-07,15.325
2023-06-08,15.182
2023-06-09,15.048
2023-06-10,15.048
2023-06-11,15.048
2023-06-12,15.067
2023-06-13,15.123
2023-06-14,14.604
2023-06-15,14.428
2023-06-16,15.028
2023-06-17,15.028
2023-06-18,15.028
2023-06-19,15.028
2023-06-20,14.933
2023-06-21,14.982
2023-06-22,15.05
2023-06-23,14.577
2023-06-24,14.577
2023-06-25,14.577
2023-06-26,14.886
2023-06-27,14.992
2023-06-28,14.903
2023-06-29,15.217
2023-06-30,15.362
2023-07-01,15.362
2023-07-02,15.362
2023-07-03,15.352
2023-07-04,15.352
2023-07-05,15.06
2023-07-06,15.028
2023-07-07,14.893
2023-07-08,14.893
2023-07-09,14.893
2023-07-10,14.813
2023-07-11,14.94
2023-07-12,15.021
2023-07-13,15.102
2023-07-14,15.563
2023-07-15,15.563
2023-07-16,15.563
2023-07-17,15.935
2023-07-18,16.222
2023-07-19,16.257
2023-07-20,15.972
2023-07-21,15.47
2023-07-22,15.47
2023-07-23,15.47
2023-07-24,15.965
2023-07-25,15.975
2023-07-26,15.577
2023-07-27,15.379
2023-07-28,15.47
2023-07-29,15.47
2023-07-30,15.47
2023-07-31,15.857
2023-08-01,16.532
2023-08-02,16.851
2023-08-03,16.99
2023-08-04,16.544
2023-08-05,16.544
2023-08-06,16.544
2023-08-07,16.768
2023-08-08,16.533
2023-08-09,16.723
2023-08-10,16.839
2023-08-11,16.85
2023-08-12,16.85
2023-08-13,16.85
2023-08-14,17.128
2023-08-15,16.94
2023-08-16,16.796
2023-08-17,16.684
2023-08-18,16.69
2023-08-19,16.69
2023-08-20,16.69
2023-08-21,17.013
2023-08-22,16.889
2023-08-23,16.883
2023-08-24,17.055
2023-08-25,17.341
2023-08-26,17.341
2023-08-27,17.341
2023-08-28,17.389
2023-08-29,17.509
2023-08-30,17.714
2023-08-31,17.582
2023-09-01,17.782
2023-09-02,17.782
2023-09-03,17.782
2023-09-04,17.782
2023-09-05,17.22
2023-09-06,16.712
2023-09-07,16.547
2023-09-08,16.221
2023-09-09,16.221
2023-09-10,16.221
2023-09-11,16.126
2023-09-12,15.952
2023-09-13,15.797
2023-09-14,16.54
