,TKR US Equity
2020-11-16,10.638
2020-11-17,10.533
2020-11-18,10.406
2020-11-19,10.519
2020-11-20,10.479
2020-11-21,10.479
2020-11-22,10.479
2020-11-23,10.776
2020-11-24,10.968
2020-11-25,10.898
2020-11-26,10.898
2020-11-27,10.927
2020-11-28,10.927
2020-11-29,10.927
2020-11-30,10.741
2020-12-01,10.691
2020-12-02,10.626
2020-12-03,10.52
2020-12-04,10.921
2020-12-05,10.921
2020-12-06,10.921
2020-12-07,10.743
2020-12-08,11.056
2020-12-09,11.179
2020-12-10,11.17
2020-12-11,11.146
2020-12-12,11.146
2020-12-13,11.146
2020-12-14,11.229
2020-12-15,11.548
2020-12-16,11.252
2020-12-17,11.236
2020-12-18,11.339
2020-12-19,11.339
2020-12-20,11.339
2020-12-21,11.392
2020-12-22,11.307
2020-12-23,11.386
2020-12-24,11.447
2020-12-25,11.447
2020-12-26,11.447
2020-12-27,11.447
2020-12-28,11.341
2020-12-29,11.194
2020-12-30,11.435
2020-12-31,11.447
2021-01-01,11.447
2021-01-02,11.447
2021-01-03,11.447
2021-01-04,11.178
2021-01-05,11.514
2021-01-06,12.32
2021-01-07,12.558
2021-01-08,12.486
2021-01-09,12.486
2021-01-10,12.486
2021-01-11,12.473
2021-01-12,12.64
2021-01-13,12.449
2021-01-14,12.68
2021-01-15,12.465
2021-01-16,12.465
2021-01-17,12.465
2021-01-18,12.465
2021-01-19,12.575
2021-01-20,12.297
2021-01-21,12.24
2021-01-22,12.095
2021-01-23,12.095
2021-01-24,12.095
2021-01-25,11.502
2021-01-26,11.363
2021-01-27,10.999
2021-01-28,11.186
2021-01-29,10.973
2021-01-30,10.973
2021-01-31,10.973
2021-02-01,11.421
2021-02-02,11.558
2021-02-03,11.637
2021-02-04,10.659
2021-02-05,10.242
2021-02-06,10.242
2021-02-07,10.242
2021-02-08,10.259
2021-02-09,10.475
2021-02-10,10.427
2021-02-11,10.462
2021-02-12,10.531
2021-02-13,10.531
2021-02-14,10.531
2021-02-15,10.531
2021-02-16,10.555
2021-02-17,10.337
2021-02-18,10.245
2021-02-19,10.597
2021-02-20,10.597
2021-02-21,10.597
2021-02-22,10.629
2021-02-23,10.707
2021-02-24,11.18
2021-02-25,11.107
2021-02-26,11.028
2021-02-27,11.028
2021-02-28,11.028
2021-03-01,11.466
2021-03-02,11.143
2021-03-03,11.326
2021-03-04,11.077
2021-03-05,11.367
2021-03-06,11.367
2021-03-07,11.367
2021-03-08,11.601
2021-03-09,11.192
2021-03-10,11.281
2021-03-11,11.613
2021-03-12,11.587
2021-03-13,11.587
2021-03-14,11.587
2021-03-15,11.672
2021-03-16,11.687
2021-03-17,12.082
2021-03-18,11.94
2021-03-19,11.826
2021-03-20,11.826
2021-03-21,11.826
2021-03-22,11.557
2021-03-23,10.988
2021-03-24,11.029
2021-03-25,11.333
2021-03-26,11.618
2021-03-27,11.618
2021-03-28,11.618
2021-03-29,11.449
2021-03-30,11.558
2021-03-31,11.425
2021-04-01,11.564
2021-04-02,11.564
2021-04-03,11.564
2021-04-04,11.564
2021-04-05,11.627
2021-04-06,11.519
2021-04-07,11.428
2021-04-08,11.276
2021-04-09,11.473
2021-04-10,11.473
2021-04-11,11.473
2021-04-12,11.426
2021-04-13,11.246
2021-04-14,11.353
2021-04-15,11.54
2021-04-16,11.723
2021-04-17,11.723
2021-04-18,11.723
2021-04-19,11.741
2021-04-20,11.577
2021-04-21,11.91
2021-04-22,11.702
2021-04-23,11.785
2021-04-24,11.785
2021-04-25,11.785
2021-04-26,11.81
2021-04-27,11.793
2021-04-28,12.217
2021-04-29,11.846
2021-04-30,11.383
2021-05-01,11.383
2021-05-02,11.383
2021-05-03,11.599
2021-05-04,11.944
2021-05-05,12.138
2021-05-06,12.276
2021-05-07,12.396
2021-05-08,12.396
2021-05-09,12.396
2021-05-10,12.177
2021-05-11,12.188
2021-05-12,11.717
2021-05-13,12.063
2021-05-14,12.1
2021-05-15,12.1
2021-05-16,12.1
2021-05-17,12.204
2021-05-18,11.963
2021-05-19,11.756
2021-05-20,11.701
2021-05-21,11.83
2021-05-22,11.83
2021-05-23,11.83
2021-05-24,11.732
2021-05-25,11.676
2021-05-26,11.714
2021-05-27,11.992
2021-05-28,12.046
2021-05-29,12.046
2021-05-30,12.046
2021-05-31,12.046
2021-06-01,12.179
2021-06-02,12.027
2021-06-03,11.995
2021-06-04,12.097
2021-06-05,12.097
2021-06-06,12.097
2021-06-07,11.838
2021-06-08,11.92
2021-06-09,11.786
2021-06-10,11.478
2021-06-11,11.427
2021-06-12,11.427
2021-06-13,11.427
2021-06-14,11.175
2021-06-15,11.122
2021-06-16,10.97
2021-06-17,10.65
2021-06-18,10.607
2021-06-19,10.607
2021-06-20,10.607
2021-06-21,10.935
2021-06-22,10.835
2021-06-23,10.749
2021-06-24,10.885
2021-06-25,10.888
2021-06-26,10.888
2021-06-27,10.888
2021-06-28,10.712
2021-06-29,10.616
2021-06-30,10.867
2021-07-01,10.828
2021-07-02,10.801
2021-07-03,10.801
2021-07-04,10.801
2021-07-05,10.801
2021-07-06,10.542
2021-07-07,10.677
2021-07-08,10.503
2021-07-09,10.832
2021-07-10,10.832
2021-07-11,10.832
2021-07-12,10.883
2021-07-13,10.648
2021-07-14,10.584
2021-07-15,10.501
2021-07-16,10.224
2021-07-17,10.224
2021-07-18,10.224
2021-07-19,10.213
2021-07-20,10.364
2021-07-21,10.599
2021-07-22,10.416
2021-07-23,10.484
2021-07-24,10.484
2021-07-25,10.484
2021-07-26,10.542
2021-07-27,10.655
2021-07-28,10.513
2021-07-29,10.687
2021-07-30,10.828
2021-07-31,10.828
2021-08-01,10.828
2021-08-02,10.182
2021-08-03,10.393
2021-08-04,10.393
2021-08-05,10.393
2021-08-06,10.393
2021-08-07,10.393
2021-08-08,10.393
2021-08-09,10.393
2021-08-10,10.393
2021-08-11,10.393
2021-08-12,10.393
2021-08-13,10.393
2021-08-14,10.393
2021-08-15,10.393
2021-08-16,10.393
2021-08-17,10.393
2021-08-18,10.393
2021-08-19,10.393
2021-08-20,10.393
2021-08-21,10.393
2021-08-22,10.393
2021-08-23,10.393
2021-08-24,10.393
2021-08-25,10.393
2021-08-26,10.393
2021-08-27,10.393
2021-08-28,10.393
2021-08-29,10.393
2021-08-30,10.393
2021-08-31,10.393
2021-09-01,10.393
2021-09-02,10.393
2021-09-03,10.393
2021-09-04,10.393
2021-09-05,10.393
2021-09-06,10.393
2021-09-07,10.393
2021-09-08,10.393
2021-09-09,10.393
2021-09-10,10.393
2021-09-11,10.393
2021-09-12,10.393
2021-09-13,10.393
2021-09-14,10.393
2021-09-15,10.393
2021-09-16,10.393
2021-09-17,10.393
2021-09-18,10.393
2021-09-19,10.393
2021-09-20,10.393
2021-09-21,10.393
2021-09-22,10.393
2021-09-23,10.393
2021-09-24,10.393
2021-09-25,10.393
2021-09-26,10.393
2021-09-27,10.393
2021-09-28,10.393
2021-09-29,10.393
2021-09-30,10.393
2021-10-01,10.393
2021-10-02,10.393
2021-10-03,10.393
2021-10-04,10.393
2021-10-05,10.393
2021-10-06,10.393
2021-10-07,10.393
2021-10-08,10.393
2021-10-09,10.393
2021-10-10,10.393
2021-10-11,10.393
2021-10-12,10.393
2021-10-13,10.393
2021-10-14,10.393
2021-10-15,10.393
2021-10-16,10.393
2021-10-17,10.393
2021-10-18,10.393
2021-10-19,10.393
2021-10-20,10.393
2021-10-21,10.393
2021-10-22,10.393
2021-10-23,10.393
2021-10-24,10.393
2021-10-25,10.393
2021-10-26,10.393
2021-10-27,10.393
2021-10-28,10.393
2021-10-29,10.393
2021-10-30,10.393
2021-10-31,10.393
2021-11-01,8.617
2021-11-02,8.539
2021-11-03,8.424
2021-11-04,8.474
2021-11-05,8.649
2021-11-06,8.649
2021-11-07,8.649
2021-11-08,8.841
2021-11-09,8.801
2021-11-10,8.875
2021-11-11,8.977
2021-11-12,9.15
2021-11-13,9.15
2021-11-14,9.15
2021-11-15,9.207
2021-11-16,9.053
2021-11-17,8.803
2021-11-18,8.785
2021-11-19,8.527
2021-11-20,8.527
2021-11-21,8.527
2021-11-22,8.581
2021-11-23,8.692
2021-11-24,8.767
2021-11-25,8.767
2021-11-26,8.307
2021-11-27,8.307
2021-11-28,8.307
2021-11-29,8.146
2021-11-30,7.859
2021-12-01,7.769
2021-12-02,8.072
2021-12-03,8.047
2021-12-04,8.047
2021-12-05,8.047
2021-12-06,8.242
2021-12-07,8.365
2021-12-08,8.339
2021-12-09,8.199
2021-12-10,8.133
2021-12-11,8.133
2021-12-12,8.133
2021-12-13,8.604
2021-12-14,8.41
2021-12-15,8.443
2021-12-16,8.484
2021-12-17,8.64
2021-12-18,8.64
2021-12-19,8.64
2021-12-20,8.275
2021-12-21,8.745
2021-12-22,8.665
2021-12-23,8.72
2021-12-24,8.72
2021-12-25,8.72
2021-12-26,8.72
2021-12-27,8.867
2021-12-28,8.984
2021-12-29,9.035
2021-12-30,9.01
2021-12-31,8.969
2022-01-01,8.969
2022-01-02,8.969
2022-01-03,8.951
2022-01-04,9.437
2022-01-05,9.485
2022-01-06,9.673
2022-01-07,9.588
2022-01-08,9.588
2022-01-09,9.588
2022-01-10,9.41
2022-01-11,9.315
2022-01-12,9.26
2022-01-13,9.567
2022-01-14,9.564
2022-01-15,9.564
2022-01-16,9.564
2022-01-17,9.564
2022-01-18,9.54
2022-01-19,9.073
2022-01-20,8.901
2022-01-21,8.733
2022-01-22,8.733
2022-01-23,8.733
2022-01-24,8.829
2022-01-25,8.765
2022-01-26,8.635
2022-01-27,8.437
2022-01-28,8.343
2022-01-29,8.343
2022-01-30,8.343
2022-01-31,8.489
2022-02-01,8.654
2022-02-02,8.554
2022-02-03,8.815
2022-02-04,8.684
2022-02-05,8.684
2022-02-06,8.684
2022-02-07,8.635
2022-02-08,8.761
2022-02-09,8.976
2022-02-10,8.782
2022-02-11,8.752
2022-02-12,8.752
2022-02-13,8.752
2022-02-14,8.718
2022-02-15,9.09
2022-02-16,9.187
2022-02-17,9.02
2022-02-18,9.036
2022-02-19,9.036
2022-02-20,9.036
2022-02-21,9.036
2022-02-22,8.91
2022-02-23,8.606
2022-02-24,8.523
2022-02-25,8.784
2022-02-26,8.784
2022-02-27,8.784
2022-02-28,8.701
2022-03-01,8.146
2022-03-02,8.618
2022-03-03,8.77
2022-03-04,8.509
2022-03-05,8.509
2022-03-06,8.509
2022-03-07,7.884
2022-03-08,8.04
2022-03-09,8.282
2022-03-10,8.431
2022-03-11,8.383
2022-03-12,8.383
2022-03-13,8.383
2022-03-14,8.321
2022-03-15,8.401
2022-03-16,8.563
2022-03-17,8.702
2022-03-18,8.539
2022-03-19,8.539
2022-03-20,8.539
2022-03-21,8.575
2022-03-22,8.567
2022-03-23,8.375
2022-03-24,8.37
2022-03-25,8.316
2022-03-26,8.316
2022-03-27,8.316
2022-03-28,8.235
2022-03-29,8.532
2022-03-30,8.4
2022-03-31,8.184
2022-04-01,8.04
2022-04-02,8.04
2022-04-03,8.04
2022-04-04,8.049
2022-04-05,7.775
2022-04-06,7.616
2022-04-07,7.625
2022-04-08,7.518
2022-04-09,7.518
2022-04-10,7.518
2022-04-11,7.689
2022-04-12,7.689
2022-04-13,7.928
2022-04-14,8.015
2022-04-15,8.015
2022-04-16,8.015
2022-04-17,8.015
2022-04-18,7.997
2022-04-19,8.301
2022-04-20,8.409
2022-04-21,8.329
2022-04-22,8.015
2022-04-23,8.015
2022-04-24,8.015
2022-04-25,8.075
2022-04-26,7.73
2022-04-27,7.877
2022-04-28,8.091
2022-04-29,7.863
2022-04-30,7.863
2022-05-01,7.863
2022-05-02,8.066
2022-05-03,8.35
2022-05-04,8.81
2022-05-05,8.411
2022-05-06,8.137
2022-05-07,8.137
2022-05-08,8.137
2022-05-09,8.323
2022-05-10,8.098
2022-05-11,7.941
2022-05-12,7.995
2022-05-13,8.079
2022-05-14,8.079
2022-05-15,8.079
2022-05-16,7.99
2022-05-17,8.336
2022-05-18,8.04
2022-05-19,8.124
2022-05-20,8.025
2022-05-21,8.025
2022-05-22,8.025
2022-05-23,8.133
2022-05-24,8.011
2022-05-25,8.132
2022-05-26,8.32
2022-05-27,8.417
2022-05-28,8.417
2022-05-29,8.417
2022-05-30,8.417
2022-05-31,8.466
2022-06-01,8.307
2022-06-02,8.72
2022-06-03,8.613
2022-06-04,8.613
2022-06-05,8.613
2022-06-06,8.753
2022-06-07,8.934
2022-06-08,8.811
2022-06-09,8.771
2022-06-10,8.277
2022-06-11,8.277
2022-06-12,8.277
2022-06-13,7.941
2022-06-14,7.886
2022-06-15,7.972
2022-06-16,7.482
2022-06-17,7.476
2022-06-18,7.476
2022-06-19,7.476
2022-06-20,7.476
2022-06-21,7.457
2022-06-22,7.349
2022-06-23,7.182
2022-06-24,7.608
2022-06-25,7.608
2022-06-26,7.608
2022-06-27,7.685
2022-06-28,7.65
2022-06-29,7.452
2022-06-30,7.407
2022-07-01,7.47
2022-07-02,7.47
2022-07-03,7.47
2022-07-04,7.47
2022-07-05,7.397
2022-07-06,7.369
2022-07-07,7.623
2022-07-08,7.613
2022-07-09,7.613
2022-07-10,7.613
2022-07-11,7.626
2022-07-12,7.811
2022-07-13,7.762
2022-07-14,7.676
2022-07-15,8.037
2022-07-16,8.037
2022-07-17,8.037
2022-07-18,8.104
2022-07-19,8.549
2022-07-20,8.615
2022-07-21,8.691
2022-07-22,8.715
2022-07-23,8.715
2022-07-24,8.715
2022-07-25,8.771
2022-07-26,8.788
2022-07-27,9.09
2022-07-28,9.347
2022-07-29,9.677
2022-07-30,9.677
2022-07-31,9.677
2022-08-01,9.301
2022-08-02,9.207
2022-08-03,9.243
2022-08-04,9.328
2022-08-05,9.326
2022-08-06,9.326
2022-08-07,9.326
2022-08-08,9.337
2022-08-09,9.253
2022-08-10,9.593
2022-08-11,9.843
2022-08-12,9.92
2022-08-13,9.92
2022-08-14,9.92
2022-08-15,9.876
2022-08-16,10.015
2022-08-17,9.849
2022-08-18,9.916
2022-08-19,9.782
2022-08-20,9.782
2022-08-21,9.782
2022-08-22,9.475
2022-08-23,9.507
2022-08-24,9.547
2022-08-25,9.721
2022-08-26,9.43
2022-08-27,9.43
2022-08-28,9.43
2022-08-29,9.444
2022-08-30,9.332
2022-08-31,9.165
2022-09-01,9.136
2022-09-02,9.08
2022-09-03,9.08
2022-09-04,9.08
2022-09-05,9.08
2022-09-06,9.31
2022-09-07,9.575
2022-09-08,9.68
2022-09-09,9.82
2022-09-10,9.82
2022-09-11,9.82
2022-09-12,10.031
2022-09-13,9.689
2022-09-14,9.549
2022-09-15,9.376
2022-09-16,9.015
2022-09-17,9.015
2022-09-18,9.015
2022-09-19,9.316
2022-09-20,9.181
2022-09-21,9.085
2022-09-22,8.961
2022-09-23,8.708
2022-09-24,8.708
2022-09-25,8.708
2022-09-26,8.628
2022-09-27,8.868
2022-09-28,8.89
2022-09-29,8.559
2022-09-30,8.586
2022-10-01,8.586
2022-10-02,8.586
2022-10-03,8.871
2022-10-04,9.323
2022-10-05,9.488
2022-10-06,9.41
2022-10-07,9.251
2022-10-08,9.251
2022-10-09,9.251
2022-10-10,9.266
2022-10-11,9.221
2022-10-12,9.06
2022-10-13,9.279
2022-10-14,9.231
2022-10-15,9.231
2022-10-16,9.231
2022-10-17,9.35
2022-10-18,9.658
2022-10-19,9.602
2022-10-20,9.293
2022-10-21,9.669
2022-10-22,9.669
2022-10-23,9.669
2022-10-24,9.748
2022-10-25,9.925
2022-10-26,9.652
2022-10-27,9.585
2022-10-28,9.758
2022-10-29,9.758
2022-10-30,9.758
2022-10-31,9.83
2022-11-01,9.954
2022-11-02,9.546
2022-11-03,9.619
2022-11-04,9.914
2022-11-05,9.914
2022-11-06,9.914
2022-11-07,10.039
2022-11-08,10.05
2022-11-09,9.679
2022-11-10,10.027
2022-11-11,10.199
2022-11-12,10.199
2022-11-13,10.199
2022-11-14,10.217
2022-11-15,10.291
2022-11-16,10.136
2022-11-17,10.051
2022-11-18,10.163
2022-11-19,10.163
2022-11-20,10.163
2022-11-21,10.307
2022-11-22,10.449
2022-11-23,10.363
2022-11-24,10.363
2022-11-25,10.432
2022-11-26,10.432
2022-11-27,10.432
2022-11-28,10.236
2022-11-29,10.343
2022-11-30,10.559
2022-12-01,10.377
2022-12-02,10.26
2022-12-03,10.26
2022-12-04,10.26
2022-12-05,9.917
2022-12-06,9.794
2022-12-07,9.673
2022-12-08,9.912
2022-12-09,9.81
2022-12-10,9.81
2022-12-11,9.81
2022-12-12,9.874
2022-12-13,9.953
2022-12-14,9.93
2022-12-15,9.701
2022-12-16,9.662
2022-12-17,9.662
2022-12-18,9.662
2022-12-19,9.533
2022-12-20,9.667
2022-12-21,9.847
2022-12-22,9.692
2022-12-23,9.765
2022-12-24,9.765
2022-12-25,9.765
2022-12-26,9.765
2022-12-27,9.861
2022-12-28,9.642
2022-12-29,9.807
2022-12-30,9.767
2022-12-31,9.767
2023-01-01,9.767
2023-01-02,9.767
2023-01-03,9.631
2023-01-04,9.808
2023-01-05,9.678
2023-01-06,9.906
2023-01-07,9.906
2023-01-08,9.906
2023-01-09,9.979
2023-01-10,10.12
2023-01-11,10.245
2023-01-12,10.43
2023-01-13,10.8
2023-01-14,10.8
2023-01-15,10.8
2023-01-16,10.8
2023-01-17,10.672
2023-01-18,10.492
2023-01-19,10.23
2023-01-20,10.614
2023-01-21,10.614
2023-01-22,10.614
2023-01-23,10.729
2023-01-24,10.774
2023-01-25,10.678
2023-01-26,11.037
2023-01-27,11.244
2023-01-28,11.244
2023-01-29,11.244
2023-01-30,11.154
2023-01-31,11.368
2023-02-01,11.568
2023-02-02,12.013
2023-02-03,11.978
2023-02-04,11.978
2023-02-05,11.978
2023-02-06,11.243
2023-02-07,11.534
2023-02-08,11.28
2023-02-09,11.099
2023-02-10,11.205
2023-02-11,11.205
2023-02-12,11.205
2023-02-13,11.393
2023-02-14,11.476
2023-02-15,11.691
2023-02-16,11.56
2023-02-17,11.619
2023-02-18,11.619
2023-02-19,11.619
2023-02-20,11.619
2023-02-21,11.416
2023-02-22,11.472
2023-02-23,11.524
2023-02-24,11.512
2023-02-25,11.512
2023-02-26,11.512
2023-02-27,11.365
2023-02-28,11.323
2023-03-01,11.43
2023-03-02,11.616
2023-03-03,11.737
2023-03-04,11.737
2023-03-05,11.737
2023-03-06,11.618
2023-03-07,11.539
2023-03-08,11.695
2023-03-09,11.385
2023-03-10,10.899
2023-03-11,10.899
2023-03-12,10.899
2023-03-13,10.681
2023-03-14,10.964
2023-03-15,10.404
2023-03-16,10.455
2023-03-17,9.804
2023-03-18,9.804
2023-03-19,9.804
2023-03-20,10.086
2023-03-21,10.606
2023-03-22,10.244
2023-03-23,10.211
2023-03-24,10.096
2023-03-25,10.096
2023-03-26,10.096
2023-03-27,10.366
2023-03-28,10.423
2023-03-29,10.606
2023-03-30,10.631
2023-03-31,10.843
2023-04-01,10.843
2023-04-02,10.843
2023-04-03,10.806
2023-04-04,10.294
2023-04-05,9.947
2023-04-06,9.778
2023-04-07,9.778
2023-04-08,9.778
2023-04-09,9.778
2023-04-10,10.083
2023-04-11,10.194
2023-04-12,10.295
2023-04-13,10.175
2023-04-14,10.243
2023-04-15,10.243
2023-04-16,10.243
2023-04-17,10.336
2023-04-18,10.331
2023-04-19,10.357
2023-04-20,10.302
2023-04-21,10.286
2023-04-22,10.286
2023-04-23,10.286
2023-04-24,10.427
2023-04-25,10.146
2023-04-26,10.067
2023-04-27,10.159
2023-04-28,10.219
2023-04-29,10.219
2023-04-30,10.219
2023-05-01,10.296
2023-05-02,10.269
2023-05-03,9.937
2023-05-04,9.505
2023-05-05,9.847
2023-05-06,9.847
2023-05-07,9.847
2023-05-08,9.748
2023-05-09,9.651
2023-05-10,9.449
2023-05-11,9.313
2023-05-12,9.349
2023-05-13,9.349
2023-05-14,9.349
2023-05-15,9.599
2023-05-16,9.389
2023-05-17,9.775
2023-05-18,9.952
2023-05-19,9.687
2023-05-20,9.687
2023-05-21,9.687
2023-05-22,9.769
2023-05-23,9.666
2023-05-24,9.44
2023-05-25,9.593
2023-05-26,9.791
2023-05-27,9.791
2023-05-28,9.791
2023-05-29,9.791
2023-05-30,9.669
2023-05-31,9.299
2023-06-01,9.48
2023-06-02,10.161
2023-06-03,10.161
2023-06-04,10.161
2023-06-05,10.099
2023-06-06,10.377
2023-06-07,10.785
2023-06-08,10.798
2023-06-09,10.659
2023-06-10,10.659
2023-06-11,10.659
2023-06-12,10.851
2023-06-13,11.069
2023-06-14,10.841
2023-06-15,11.096
2023-06-16,10.958
2023-06-17,10.958
2023-06-18,10.958
2023-06-19,10.958
2023-06-20,11.108
2023-06-21,11.184
2023-06-22,11.115
2023-06-23,10.945
2023-06-24,10.945
2023-06-25,10.945
2023-06-26,11.34
2023-06-27,11.583
2023-06-28,11.574
2023-06-29,11.724
2023-06-30,11.745
2023-07-01,11.745
2023-07-02,11.745
2023-07-03,11.872
2023-07-04,11.872
2023-07-05,11.559
2023-07-06,11.462
2023-07-07,11.616
2023-07-08,11.616
2023-07-09,11.616
2023-07-10,11.816
2023-07-11,11.956
2023-07-12,12.019
2023-07-13,11.939
2023-07-14,11.75
2023-07-15,11.75
2023-07-16,11.75
2023-07-17,11.786
2023-07-18,11.984
2023-07-19,11.917
2023-07-20,11.89
2023-07-21,11.717
2023-07-22,11.717
2023-07-23,11.717
2023-07-24,11.726
2023-07-25,11.731
2023-07-26,11.677
2023-07-27,11.604
2023-07-28,11.732
2023-07-29,11.732
2023-07-30,11.732
2023-07-31,11.891
2023-08-01,12.007
2023-08-02,11.697
2023-08-03,10.676
2023-08-04,10.443
2023-08-05,10.443
2023-08-06,10.443
2023-08-07,10.394
2023-08-08,10.289
2023-08-09,10.129
2023-08-10,9.995
2023-08-11,9.999
2023-08-12,9.999
2023-08-13,9.999
2023-08-14,10.145
2023-08-15,9.972
2023-08-16,9.832
2023-08-17,9.797
2023-08-18,9.684
2023-08-19,9.684
2023-08-20,9.684
2023-08-21,9.775
2023-08-22,9.688
2023-08-23,9.776
2023-08-24,9.604
2023-08-25,9.662
2023-08-26,9.662
2023-08-27,9.662
2023-08-28,9.782
2023-08-29,9.929
2023-08-30,9.995
2023-08-31,9.92
2023-09-01,10.181
2023-09-02,10.181
2023-09-03,10.181
2023-09-04,10.181
2023-09-05,9.894
