,CCK US Equity
2020-10-28,10.319
2020-10-29,10.497
2020-10-30,10.327
2020-10-31,10.327
2020-11-01,10.327
2020-11-02,10.78
2020-11-03,11.105
2020-11-04,11.263
2020-11-05,11.479
2020-11-06,11.45
2020-11-07,11.45
2020-11-08,11.45
2020-11-09,10.995
2020-11-10,11.336
2020-11-11,11.355
2020-11-12,11.301
2020-11-13,11.448
2020-11-14,11.448
2020-11-15,11.448
2020-11-16,11.472
2020-11-17,11.506
2020-11-18,11.513
2020-11-19,11.583
2020-11-20,11.589
2020-11-21,11.589
2020-11-22,11.589
2020-11-23,11.527
2020-11-24,11.647
2020-11-25,11.532
2020-11-26,11.532
2020-11-27,11.502
2020-11-28,11.502
2020-11-29,11.502
2020-11-30,11.345
2020-12-01,11.834
2020-12-02,11.639
2020-12-03,11.629
2020-12-04,11.826
2020-12-05,11.826
2020-12-06,11.826
2020-12-07,11.827
2020-12-08,11.825
2020-12-09,11.688
2020-12-10,11.716
2020-12-11,11.651
2020-12-12,11.651
2020-12-13,11.651
2020-12-14,11.458
2020-12-15,11.842
2020-12-16,11.71
2020-12-17,11.806
2020-12-18,11.59
2020-12-19,11.59
2020-12-20,11.59
2020-12-21,11.759
2020-12-22,11.718
2020-12-23,11.671
2020-12-24,11.868
2020-12-25,11.868
2020-12-26,11.868
2020-12-27,11.868
2020-12-28,11.755
2020-12-29,11.818
2020-12-30,12.017
2020-12-31,12.061
2021-01-01,12.061
2021-01-02,12.061
2021-01-03,12.061
2021-01-04,11.708
2021-01-05,11.728
2021-01-06,12.067
2021-01-07,12.129
2021-01-08,11.994
2021-01-09,11.994
2021-01-10,11.994
2021-01-11,12.041
2021-01-12,11.89
2021-01-13,11.843
2021-01-14,11.525
2021-01-15,11.459
2021-01-16,11.459
2021-01-17,11.459
2021-01-18,11.459
2021-01-19,11.288
2021-01-20,11.521
2021-01-21,11.384
2021-01-22,11.283
2021-01-23,11.283
2021-01-24,11.283
2021-01-25,11.193
2021-01-26,11.222
2021-01-27,10.351
2021-01-28,10.867
2021-01-29,10.851
2021-01-30,10.851
2021-01-31,10.851
2021-02-01,11.052
2021-02-02,11.147
2021-02-03,11.047
2021-02-04,10.936
2021-02-05,11.164
2021-02-06,11.164
2021-02-07,11.164
2021-02-08,11.277
2021-02-09,11.162
2021-02-10,11.802
2021-02-11,11.639
2021-02-12,10.415
2021-02-13,10.415
2021-02-14,10.415
2021-02-15,10.415
2021-02-16,10.299
2021-02-17,10.247
2021-02-18,10.256
2021-02-19,10.457
2021-02-20,10.457
2021-02-21,10.457
2021-02-22,10.369
2021-02-23,10.129
2021-02-24,10.258
2021-02-25,9.984
2021-02-26,9.892
2021-02-27,9.892
2021-02-28,9.892
2021-03-01,10.183
2021-03-02,10.213
2021-03-03,10.1
2021-03-04,9.956
2021-03-05,10.025
2021-03-06,10.025
2021-03-07,10.025
2021-03-08,9.968
2021-03-09,10.113
2021-03-10,10.168
2021-03-11,10.097
2021-03-12,9.958
2021-03-13,9.958
2021-03-14,9.958
2021-03-15,10.063
2021-03-16,10.062
2021-03-17,10.055
2021-03-18,9.973
2021-03-19,10.008
2021-03-20,10.008
2021-03-21,10.008
2021-03-22,10.179
2021-03-23,10.017
2021-03-24,10.065
2021-03-25,10.137
2021-03-26,10.164
2021-03-27,10.164
2021-03-28,10.164
2021-03-29,10.223
2021-03-30,10.067
2021-03-31,10.066
2021-04-01,10.413
2021-04-02,10.413
2021-04-03,10.413
2021-04-04,10.413
2021-04-05,10.551
2021-04-06,10.673
2021-04-07,10.472
2021-04-08,10.58
2021-04-09,10.587
2021-04-10,10.587
2021-04-11,10.587
2021-04-12,10.654
2021-04-13,10.744
2021-04-14,10.756
2021-04-15,10.943
2021-04-16,11.013
2021-04-17,11.013
2021-04-18,11.013
2021-04-19,10.98
2021-04-20,10.89
2021-04-21,11.18
2021-04-22,11.113
2021-04-23,11.366
2021-04-24,11.366
2021-04-25,11.366
2021-04-26,11.386
2021-04-27,11.386
2021-04-28,11.208
2021-04-29,11.222
2021-04-30,11.386
2021-05-01,11.386
2021-05-02,11.386
2021-05-03,11.453
2021-05-04,11.519
2021-05-05,11.506
2021-05-06,11.709
2021-05-07,11.795
2021-05-08,11.795
2021-05-09,11.795
2021-05-10,11.699
2021-05-11,11.676
2021-05-12,11.304
2021-05-13,11.519
2021-05-14,11.603
2021-05-15,11.603
2021-05-16,11.603
2021-05-17,11.571
2021-05-18,11.342
2021-05-19,11.299
2021-05-20,11.537
2021-05-21,11.454
2021-05-22,11.454
2021-05-23,11.454
2021-05-24,11.503
2021-05-25,11.228
2021-05-26,10.608
2021-05-27,10.665
2021-05-28,10.725
2021-05-29,10.725
2021-05-30,10.725
2021-05-31,10.725
2021-06-01,10.718
2021-06-02,10.458
2021-06-03,10.451
2021-06-04,10.434
2021-06-05,10.434
2021-06-06,10.434
2021-06-07,10.346
2021-06-08,10.314
2021-06-09,10.356
2021-06-10,10.424
2021-06-11,10.524
2021-06-12,10.524
2021-06-13,10.524
2021-06-14,10.4
2021-06-15,10.523
2021-06-16,10.551
2021-06-17,10.352
2021-06-18,10.227
2021-06-19,10.227
2021-06-20,10.227
2021-06-21,10.363
2021-06-22,10.431
2021-06-23,10.293
2021-06-24,10.426
2021-06-25,10.628
2021-06-26,10.628
2021-06-27,10.628
2021-06-28,10.598
2021-06-29,10.612
2021-06-30,10.618
2021-07-01,10.751
2021-07-02,10.699
2021-07-03,10.699
2021-07-04,10.699
2021-07-05,10.699
2021-07-06,10.63
2021-07-07,10.782
2021-07-08,10.879
2021-07-09,10.967
2021-07-10,10.967
2021-07-11,10.967
2021-07-12,10.994
2021-07-13,10.971
2021-07-14,10.94
2021-07-15,10.863
2021-07-16,10.783
2021-07-17,10.783
2021-07-18,10.783
2021-07-19,10.514
2021-07-20,10.519
2021-07-21,10.182
2021-07-22,10.007
2021-07-23,9.733
2021-07-24,9.733
2021-07-25,9.733
2021-07-26,9.978
2021-07-27,9.958
2021-07-28,9.991
2021-07-29,9.992
2021-07-30,9.98
2021-07-31,9.98
2021-08-01,9.98
2021-08-02,9.989
2021-08-03,9.965
2021-08-04,9.767
2021-08-05,10.038
2021-08-06,10.147
2021-08-07,10.147
2021-08-08,10.147
2021-08-09,10.342
2021-08-10,10.602
2021-08-11,10.776
2021-08-12,10.842
2021-08-13,10.853
2021-08-14,10.853
2021-08-15,10.853
2021-08-16,10.761
2021-08-17,10.708
2021-08-18,10.782
2021-08-19,10.707
2021-08-20,10.898
2021-08-21,10.898
2021-08-22,10.898
2021-08-23,10.861
2021-08-24,10.945
2021-08-25,11.111
2021-08-26,10.976
2021-08-27,10.954
2021-08-28,10.954
2021-08-29,10.954
2021-08-30,11.023
2021-08-31,11.005
2021-09-01,11.012
2021-09-02,11.2
2021-09-03,11.207
2021-09-04,11.207
2021-09-05,11.207
2021-09-06,11.207
2021-09-07,11.06
2021-09-08,10.995
2021-09-09,10.67
2021-09-10,10.641
2021-09-11,10.641
2021-09-12,10.641
2021-09-13,10.524
2021-09-14,10.584
2021-09-15,10.904
2021-09-16,10.826
2021-09-17,10.61
2021-09-18,10.61
2021-09-19,10.61
2021-09-20,10.128
2021-09-21,9.99
2021-09-22,10.088
2021-09-23,10.2
2021-09-24,10.022
2021-09-25,10.022
2021-09-26,10.022
2021-09-27,9.854
2021-09-28,9.65
2021-09-29,9.696
2021-09-30,9.677
2021-10-01,9.61
2021-10-02,9.61
2021-10-03,9.61
2021-10-04,9.647
2021-10-05,9.769
2021-10-06,9.897
2021-10-07,10.001
2021-10-08,9.952
2021-10-09,9.952
2021-10-10,9.952
2021-10-11,9.859
2021-10-12,9.705
2021-10-13,9.815
2021-10-14,10.048
2021-10-15,9.964
2021-10-16,9.964
2021-10-17,9.964
2021-10-18,9.873
2021-10-19,9.938
2021-10-20,10.119
2021-10-21,10.041
2021-10-22,10.083
2021-10-23,10.083
2021-10-24,10.083
2021-10-25,9.704
2021-10-26,9.533
2021-10-27,9.713
2021-10-28,9.949
2021-10-29,9.844
2021-10-30,9.844
2021-10-31,9.844
2021-11-01,9.874
2021-11-02,10.042
2021-11-03,10.171
2021-11-04,10.046
2021-11-05,10.126
2021-11-06,10.126
2021-11-07,10.126
2021-11-08,10.046
2021-11-09,10.109
2021-11-10,10.132
2021-11-11,10.276
2021-11-12,10.427
2021-11-13,10.427
2021-11-14,10.427
2021-11-15,10.611
2021-11-16,10.657
2021-11-17,10.542
2021-11-18,10.457
2021-11-19,10.579
2021-11-20,10.579
2021-11-21,10.579
2021-11-22,10.617
2021-11-23,10.58
2021-11-24,10.473
2021-11-25,10.473
2021-11-26,10.583
2021-11-27,10.583
2021-11-28,10.583
2021-11-29,10.281
2021-11-30,10.034
2021-12-01,10.006
2021-12-02,10.1
2021-12-03,10.171
2021-12-04,10.171
2021-12-05,10.171
2021-12-06,10.248
2021-12-07,10.163
2021-12-08,10.078
2021-12-09,9.848
2021-12-10,10.296
2021-12-11,10.296
2021-12-12,10.296
2021-12-13,10.083
2021-12-14,9.999
2021-12-15,10.259
2021-12-16,10.331
2021-12-17,10.141
2021-12-18,10.141
2021-12-19,10.141
2021-12-20,9.8
2021-12-21,10.017
2021-12-22,10.005
2021-12-23,10.024
2021-12-24,10.024
2021-12-25,10.024
2021-12-26,10.024
2021-12-27,10.105
2021-12-28,10.265
2021-12-29,10.401
2021-12-30,10.373
2021-12-31,10.491
2022-01-01,10.491
2022-01-02,10.491
2022-01-03,10.292
2022-01-04,10.254
2022-01-05,10.33
2022-01-06,10.41
2022-01-07,10.389
2022-01-08,10.389
2022-01-09,10.389
2022-01-10,10.323
2022-01-11,10.371
2022-01-12,10.449
2022-01-13,10.513
2022-01-14,10.583
2022-01-15,10.583
2022-01-16,10.583
2022-01-17,10.583
2022-01-18,10.559
2022-01-19,10.897
2022-01-20,10.827
2022-01-21,10.538
2022-01-22,10.538
2022-01-23,10.538
2022-01-24,10.121
2022-01-25,10.035
2022-01-26,10.007
2022-01-27,10.523
2022-01-28,10.473
2022-01-29,10.473
2022-01-30,10.473
2022-01-31,10.702
2022-02-01,10.855
2022-02-02,10.741
2022-02-03,10.506
2022-02-04,10.572
2022-02-05,10.572
2022-02-06,10.572
2022-02-07,10.21
2022-02-08,10.471
2022-02-09,10.532
2022-02-10,10.184
2022-02-11,10.403
2022-02-12,10.403
2022-02-13,10.403
2022-02-14,10.515
2022-02-15,10.818
2022-02-16,11.02
2022-02-17,10.806
2022-02-18,10.725
2022-02-19,10.725
2022-02-20,10.725
2022-02-21,10.725
2022-02-22,10.724
2022-02-23,10.66
2022-02-24,10.483
2022-02-25,10.889
2022-02-26,10.889
2022-02-27,10.889
2022-02-28,10.898
2022-03-01,10.574
2022-03-02,10.847
2022-03-03,10.884
2022-03-04,11.045
2022-03-05,11.045
2022-03-06,11.045
2022-03-07,10.897
2022-03-08,10.38
2022-03-09,10.573
2022-03-10,10.825
2022-03-11,10.808
2022-03-12,10.808
2022-03-13,10.808
2022-03-14,11.063
2022-03-15,11.311
2022-03-16,11.219
2022-03-17,11.288
2022-03-18,11.404
2022-03-19,11.404
2022-03-20,11.404
2022-03-21,11.51
2022-03-22,11.393
2022-03-23,11.258
2022-03-24,11.436
2022-03-25,11.542
2022-03-26,11.542
2022-03-27,11.542
2022-03-28,11.441
2022-03-29,11.305
2022-03-30,11.346
2022-03-31,11.134
2022-04-01,11.194
2022-04-02,11.194
2022-04-03,11.194
2022-04-04,11.195
2022-04-05,11.126
2022-04-06,10.909
2022-04-07,10.786
2022-04-08,10.838
2022-04-09,10.838
2022-04-10,10.838
2022-04-11,10.692
2022-04-12,10.576
2022-04-13,10.776
2022-04-14,10.603
2022-04-15,10.603
2022-04-16,10.603
2022-04-17,10.603
2022-04-18,10.451
2022-04-19,10.762
2022-04-20,10.953
2022-04-21,10.874
2022-04-22,10.649
2022-04-23,10.649
2022-04-24,10.649
2022-04-25,10.403
2022-04-26,9.518
2022-04-27,9.783
2022-04-28,10.026
2022-04-29,9.928
2022-04-30,9.928
2022-05-01,9.928
2022-05-02,9.974
2022-05-03,10.14
2022-05-04,10.355
2022-05-05,9.881
2022-05-06,9.519
2022-05-07,9.519
2022-05-08,9.519
2022-05-09,9.235
2022-05-10,9.263
2022-05-11,9.212
2022-05-12,9.235
2022-05-13,9.43
2022-05-14,9.43
2022-05-15,9.43
2022-05-16,9.587
2022-05-17,9.671
2022-05-18,9.197
2022-05-19,9.193
2022-05-20,9.196
2022-05-21,9.196
2022-05-22,9.196
2022-05-23,9.293
2022-05-24,9.129
2022-05-25,9.289
2022-05-26,9.435
2022-05-27,9.753
2022-05-28,9.753
2022-05-29,9.753
2022-05-30,9.753
2022-05-31,9.526
2022-06-01,9.517
2022-06-02,9.762
2022-06-03,9.746
2022-06-04,9.746
2022-06-05,9.746
2022-06-06,9.837
2022-06-07,10.03
2022-06-08,9.708
2022-06-09,9.37
2022-06-10,9.045
2022-06-11,9.045
2022-06-12,9.045
2022-06-13,8.554
2022-06-14,8.576
2022-06-15,8.741
2022-06-16,8.407
2022-06-17,8.481
2022-06-18,8.481
2022-06-19,8.481
2022-06-20,8.481
2022-06-21,8.401
2022-06-22,8.262
2022-06-23,8.171
2022-06-24,8.704
2022-06-25,8.704
2022-06-26,8.704
2022-06-27,8.761
2022-06-28,8.637
2022-06-29,8.505
2022-06-30,8.407
2022-07-01,8.483
2022-07-02,8.483
2022-07-03,8.483
2022-07-04,8.483
2022-07-05,8.25
2022-07-06,8.307
2022-07-07,8.331
2022-07-08,8.103
2022-07-09,8.103
2022-07-10,8.103
2022-07-11,8.063
2022-07-12,8.033
2022-07-13,8.061
2022-07-14,7.966
2022-07-15,8.038
2022-07-16,8.038
2022-07-17,8.038
2022-07-18,8.096
2022-07-19,8.464
2022-07-20,8.508
2022-07-21,8.739
2022-07-22,8.569
2022-07-23,8.569
2022-07-24,8.569
2022-07-25,8.689
2022-07-26,8.697
2022-07-27,8.92
2022-07-28,9.118
2022-07-29,9.254
2022-07-30,9.254
2022-07-31,9.254
2022-08-01,9.162
2022-08-02,9.013
2022-08-03,9.038
2022-08-04,8.413
2022-08-05,8.218
2022-08-06,8.218
2022-08-07,8.218
2022-08-08,8.503
2022-08-09,8.389
2022-08-10,8.869
2022-08-11,8.921
2022-08-12,9.172
2022-08-13,9.172
2022-08-14,9.172
2022-08-15,9.219
2022-08-16,9.322
2022-08-17,9.177
2022-08-18,9.227
2022-08-19,9.029
2022-08-20,9.029
2022-08-21,9.029
2022-08-22,8.753
2022-08-23,8.821
2022-08-24,8.952
2022-08-25,8.878
2022-08-26,8.438
2022-08-27,8.438
2022-08-28,8.438
2022-08-29,8.404
2022-08-30,8.441
2022-08-31,8.298
2022-09-01,8.337
2022-09-02,8.37
2022-09-03,8.37
2022-09-04,8.37
2022-09-05,8.37
2022-09-06,8.441
2022-09-07,8.753
2022-09-08,8.968
2022-09-09,9.044
2022-09-10,9.044
2022-09-11,9.044
2022-09-12,9.188
2022-09-13,8.919
2022-09-14,8.905
2022-09-15,9.022
2022-09-16,8.695
2022-09-17,8.695
2022-09-18,8.695
2022-09-19,8.816
2022-09-20,8.395
2022-09-21,8.115
2022-09-22,7.803
2022-09-23,7.664
2022-09-24,7.664
2022-09-25,7.664
2022-09-26,7.545
2022-09-27,7.382
2022-09-28,7.629
2022-09-29,7.434
2022-09-30,7.503
2022-10-01,7.503
2022-10-02,7.503
2022-10-03,7.644
2022-10-04,7.859
2022-10-05,8.033
2022-10-06,7.938
2022-10-07,7.673
2022-10-08,7.673
2022-10-09,7.673
2022-10-10,7.72
2022-10-11,7.698
2022-10-12,7.714
2022-10-13,7.874
2022-10-14,7.723
2022-10-15,7.723
2022-10-16,7.723
2022-10-17,7.971
2022-10-18,8.114
2022-10-19,7.946
2022-10-20,7.894
2022-10-21,8.072
2022-10-22,8.072
2022-10-23,8.072
2022-10-24,8.292
2022-10-25,7.788
2022-10-26,8.214
2022-10-27,8.105
2022-10-28,8.214
2022-10-29,8.214
2022-10-30,8.214
2022-10-31,8.272
2022-11-01,8.317
2022-11-02,8.263
2022-11-03,9.12
2022-11-04,9.292
2022-11-05,9.292
2022-11-06,9.292
2022-11-07,9.372
2022-11-08,9.527
2022-11-09,8.965
2022-11-10,9.634
2022-11-11,9.897
2022-11-12,9.897
2022-11-13,9.897
2022-11-14,9.818
2022-11-15,9.879
2022-11-16,9.968
2022-11-17,9.862
2022-11-18,10.129
2022-11-19,10.129
2022-11-20,10.129
2022-11-21,10.047
2022-11-22,10.236
2022-11-23,10.41
2022-11-24,10.41
2022-11-25,10.441
2022-11-26,10.441
2022-11-27,10.441
2022-11-28,10.191
2022-11-29,10.108
2022-11-30,10.357
2022-12-01,10.423
2022-12-02,10.594
2022-12-03,10.594
2022-12-04,10.594
2022-12-05,10.404
2022-12-06,10.367
2022-12-07,10.168
2022-12-08,10.262
2022-12-09,10.112
2022-12-10,10.112
2022-12-11,10.112
2022-12-12,9.995
2022-12-13,10.361
2022-12-14,10.521
2022-12-15,10.008
2022-12-16,10.145
2022-12-17,10.145
2022-12-18,10.145
2022-12-19,10.082
2022-12-20,10.121
2022-12-21,10.385
2022-12-22,10.291
2022-12-23,10.407
2022-12-24,10.407
2022-12-25,10.407
2022-12-26,10.407
2022-12-27,10.431
2022-12-28,10.293
2022-12-29,10.444
2022-12-30,10.36
2022-12-31,10.36
2023-01-01,10.36
2023-01-02,10.36
2023-01-03,10.395
2023-01-04,10.495
2023-01-05,10.557
2023-01-06,10.636
2023-01-07,10.636
2023-01-08,10.636
2023-01-09,10.751
2023-01-10,10.787
2023-01-11,10.687
2023-01-12,10.913
2023-01-13,11.03
2023-01-14,11.03
2023-01-15,11.03
2023-01-16,11.03
2023-01-17,10.925
2023-01-18,10.881
2023-01-19,10.77
2023-01-20,11.007
2023-01-21,11.007
2023-01-22,11.007
2023-01-23,11.24
2023-01-24,10.989
2023-01-25,10.957
2023-01-26,11.18
2023-01-27,11.139
2023-01-28,11.139
2023-01-29,11.139
2023-01-30,10.874
2023-01-31,11.103
2023-02-01,11.21
2023-02-02,11.322
2023-02-03,11.054
2023-02-04,11.054
2023-02-05,11.054
2023-02-06,11.084
2023-02-07,11.093
2023-02-08,11.309
2023-02-09,11.424
2023-02-10,11.351
2023-02-11,11.351
2023-02-12,11.351
2023-02-13,11.45
2023-02-14,11.459
2023-02-15,11.852
2023-02-16,11.729
2023-02-17,11.604
2023-02-18,11.604
2023-02-19,11.604
2023-02-20,11.604
2023-02-21,11.38
2023-02-22,11.437
2023-02-23,11.633
2023-02-24,11.485
2023-02-25,11.485
2023-02-26,11.485
2023-02-27,11.633
2023-02-28,11.61
2023-03-01,11.542
2023-03-02,11.673
2023-03-03,11.81
2023-03-04,11.81
2023-03-05,11.81
2023-03-06,11.684
2023-03-07,11.466
2023-03-08,11.481
2023-03-09,11.328
2023-03-10,11.008
2023-03-11,11.008
2023-03-12,11.008
2023-03-13,10.826
2023-03-14,10.948
2023-03-15,10.497
2023-03-16,10.542
2023-03-17,10.317
2023-03-18,10.317
2023-03-19,10.317
2023-03-20,10.449
2023-03-21,10.656
2023-03-22,10.485
2023-03-23,10.399
2023-03-24,10.37
2023-03-25,10.37
2023-03-26,10.37
2023-03-27,10.549
2023-03-28,10.771
2023-03-29,10.868
2023-03-30,10.97
2023-03-31,11.131
2023-04-01,11.131
2023-04-02,11.131
2023-04-03,11.137
2023-04-04,10.831
2023-04-05,10.699
2023-04-06,10.594
2023-04-07,10.594
2023-04-08,10.594
2023-04-09,10.594
2023-04-10,10.578
2023-04-11,10.658
2023-04-12,10.366
2023-04-13,10.529
2023-04-14,10.26
2023-04-15,10.26
2023-04-16,10.26
2023-04-17,10.543
2023-04-18,10.648
2023-04-19,10.735
2023-04-20,10.655
2023-04-21,10.612
2023-04-22,10.612
2023-04-23,10.612
2023-04-24,10.637
2023-04-25,10.949
2023-04-26,10.871
2023-04-27,11.368
2023-04-28,11.49
2023-04-29,11.49
2023-04-30,11.49
2023-05-01,11.454
2023-05-02,11.287
2023-05-03,11.133
2023-05-04,11.358
2023-05-05,11.483
2023-05-06,11.483
2023-05-07,11.483
2023-05-08,11.296
2023-05-09,11.168
2023-05-10,11.097
2023-05-11,11.2
2023-05-12,11.013
2023-05-13,11.013
2023-05-14,11.013
2023-05-15,11.122
2023-05-16,10.804
2023-05-17,10.929
2023-05-18,11.027
2023-05-19,10.95
2023-05-20,10.95
2023-05-21,10.95
2023-05-22,10.811
2023-05-23,10.941
2023-05-24,10.641
2023-05-25,10.494
2023-05-26,10.577
2023-05-27,10.577
2023-05-28,10.577
2023-05-29,10.577
2023-05-30,10.637
2023-05-31,10.34
2023-06-01,10.483
2023-06-02,10.901
2023-06-03,10.901
2023-06-04,10.901
2023-06-05,11.193
2023-06-06,11.289
2023-06-07,11.305
2023-06-08,11.366
2023-06-09,11.311
2023-06-10,11.311
2023-06-11,11.311
2023-06-12,11.527
2023-06-13,11.578
2023-06-14,11.52
2023-06-15,11.714
2023-06-16,11.992
2023-06-17,11.992
2023-06-18,11.992
2023-06-19,11.992
2023-06-20,11.88
2023-06-21,11.745
2023-06-22,11.834
2023-06-23,11.657
2023-06-24,11.657
2023-06-25,11.657
2023-06-26,11.678
2023-06-27,11.886
2023-06-28,11.621
2023-06-29,11.821
2023-06-30,11.849
2023-07-01,11.849
2023-07-02,11.849
2023-07-03,12.041
2023-07-04,12.041
2023-07-05,11.555
2023-07-06,11.492
2023-07-07,11.834
2023-07-08,11.834
2023-07-09,11.834
2023-07-10,11.722
2023-07-11,11.857
2023-07-12,12.106
2023-07-13,12.103
2023-07-14,12.163
2023-07-15,12.163
2023-07-16,12.163
2023-07-17,12.106
2023-07-18,12.263
2023-07-19,12.394
2023-07-20,12.476
2023-07-21,12.376
2023-07-22,12.376
2023-07-23,12.376
2023-07-24,12.337
2023-07-25,13.226
2023-07-26,12.922
2023-07-27,12.853
2023-07-28,12.967
2023-07-29,12.967
2023-07-30,12.967
2023-07-31,12.765
2023-08-01,12.794
2023-08-02,12.498
2023-08-03,12.594
2023-08-04,12.457
2023-08-05,12.457
2023-08-06,12.457
2023-08-07,12.43
2023-08-08,12.3
2023-08-09,12.215
2023-08-10,12.319
2023-08-11,12.3
2023-08-12,12.3
2023-08-13,12.3
2023-08-14,12.342
2023-08-15,12.194
2023-08-16,12.185
2023-08-17,12.165
