,JPM US Equity
2020-10-28,6.092
2020-10-29,6.131
2020-10-30,6.186
2020-10-31,6.186
2020-11-01,6.186
2020-11-02,6.326
2020-11-03,6.525
2020-11-04,6.326
2020-11-05,6.584
2020-11-06,6.497
2020-11-07,6.497
2020-11-08,6.497
2020-11-09,7.376
2020-11-10,7.352
2020-11-11,7.242
2020-11-12,7.154
2020-11-13,7.198
2020-11-14,7.198
2020-11-15,7.198
2020-11-16,7.402
2020-11-17,7.326
2020-11-18,7.272
2020-11-19,7.292
2020-11-20,7.229
2020-11-21,7.229
2020-11-22,7.229
2020-11-23,7.437
2020-11-24,7.781
2020-11-25,7.7
2020-11-26,7.7
2020-11-27,7.649
2020-11-28,7.649
2020-11-29,7.649
2020-11-30,7.438
2020-12-01,7.555
2020-12-02,7.701
2020-12-03,7.65
2020-12-04,7.72
2020-12-05,7.72
2020-12-06,7.72
2020-12-07,7.69
2020-12-08,7.698
2020-12-09,7.638
2020-12-10,7.589
2020-12-11,7.544
2020-12-12,7.544
2020-12-13,7.544
2020-12-14,7.465
2020-12-15,7.592
2020-12-16,7.614
2020-12-17,7.551
2020-12-18,7.514
2020-12-19,7.514
2020-12-20,7.514
2020-12-21,7.796
2020-12-22,7.677
2020-12-23,7.892
2020-12-24,7.857
2020-12-25,7.857
2020-12-26,7.857
2020-12-27,7.857
2020-12-28,7.909
2020-12-29,7.888
2020-12-30,7.91
2020-12-31,8.018
2021-01-01,8.018
2021-01-02,8.018
2021-01-03,8.018
2021-01-04,7.942
2021-01-05,7.985
2021-01-06,8.36
2021-01-07,8.635
2021-01-08,8.645
2021-01-09,8.645
2021-01-10,8.645
2021-01-11,8.774
2021-01-12,8.911
2021-01-13,8.92
2021-01-14,8.972
2021-01-15,8.811
2021-01-16,8.811
2021-01-17,8.811
2021-01-18,8.811
2021-01-19,8.773
2021-01-20,8.641
2021-01-21,8.569
2021-01-22,8.503
2021-01-23,8.503
2021-01-24,8.503
2021-01-25,8.397
2021-01-26,8.362
2021-01-27,8.126
2021-01-28,8.269
2021-01-29,8.177
2021-01-30,8.177
2021-01-31,8.177
2021-02-01,8.238
2021-02-02,8.491
2021-02-03,8.589
2021-02-04,8.786
2021-02-05,8.769
2021-02-06,8.769
2021-02-07,8.769
2021-02-08,8.906
2021-02-09,8.871
2021-02-10,8.876
2021-02-11,8.851
2021-02-12,8.977
2021-02-13,8.977
2021-02-14,8.977
2021-02-15,8.977
2021-02-16,9.193
2021-02-17,9.222
2021-02-18,9.253
2021-02-19,9.407
2021-02-20,9.407
2021-02-21,9.407
2021-02-22,9.496
2021-02-23,9.572
2021-02-24,9.74
2021-02-25,9.608
2021-02-26,9.353
2021-02-27,9.353
2021-02-28,9.353
2021-03-01,9.565
2021-03-02,11.119
2021-03-03,11.334
2021-03-04,11.159
2021-03-05,11.185
2021-03-06,11.185
2021-03-07,11.185
2021-03-08,11.334
2021-03-09,11.254
2021-03-10,11.498
2021-03-11,11.438
2021-03-12,11.574
2021-03-13,11.574
2021-03-14,11.574
2021-03-15,10.823
2021-03-16,10.693
2021-03-17,10.803
2021-03-18,10.981
2021-03-19,10.807
2021-03-20,10.807
2021-03-21,10.807
2021-03-22,10.516
2021-03-23,10.411
2021-03-24,10.492
2021-03-25,10.626
2021-03-26,10.803
2021-03-27,10.803
2021-03-28,10.803
2021-03-29,10.635
2021-03-30,10.761
2021-03-31,10.604
2021-04-01,10.707
2021-04-02,10.707
2021-04-03,10.707
2021-04-04,10.707
2021-04-05,10.764
2021-04-06,10.688
2021-04-07,10.855
2021-04-08,10.869
2021-04-09,10.95
2021-04-10,10.95
2021-04-11,10.95
2021-04-12,10.927
2021-04-13,10.797
2021-04-14,10.595
2021-04-15,10.622
2021-04-16,10.7
2021-04-17,10.7
2021-04-18,10.7
2021-04-19,10.655
2021-04-20,10.419
2021-04-21,10.508
2021-04-22,10.287
2021-04-23,10.483
2021-04-24,10.483
2021-04-25,10.483
2021-04-26,10.509
2021-04-27,10.557
2021-04-28,10.626
2021-04-29,10.832
2021-04-30,10.407
2021-05-01,10.407
2021-05-02,10.407
2021-05-03,10.376
2021-05-04,10.52
2021-05-05,10.658
2021-05-06,10.872
2021-05-07,10.909
2021-05-08,10.909
2021-05-09,10.909
2021-05-10,10.908
2021-05-11,10.727
2021-05-12,10.653
2021-05-13,10.927
2021-05-14,11.097
2021-05-15,11.097
2021-05-16,11.097
2021-05-17,11.141
2021-05-18,10.984
2021-05-19,10.9
2021-05-20,10.882
2021-05-21,11.005
2021-05-22,11.005
2021-05-23,11.005
2021-05-24,11.065
2021-05-25,10.951
2021-05-26,10.949
2021-05-27,11.12
2021-05-28,11.112
2021-05-29,11.112
2021-05-30,11.112
2021-05-31,11.112
2021-06-01,11.235
2021-06-02,11.235
2021-06-03,11.243
2021-06-04,11.261
2021-06-05,11.261
2021-06-06,11.261
2021-06-07,11.208
2021-06-08,11.164
2021-06-09,11.024
2021-06-10,10.852
2021-06-11,10.845
2021-06-12,10.845
2021-06-13,10.845
2021-06-14,10.661
2021-06-15,10.499
2021-06-16,10.573
2021-06-17,10.268
2021-06-18,10.008
2021-06-19,10.008
2021-06-20,10.008
2021-06-21,10.178
2021-06-22,10.163
2021-06-23,10.225
2021-06-24,10.319
2021-06-25,10.423
2021-06-26,10.423
2021-06-27,10.423
2021-06-28,10.442
2021-06-29,10.429
2021-06-30,10.524
2021-07-01,10.628
2021-07-02,10.618
2021-07-03,10.618
2021-07-04,10.618
2021-07-05,10.618
2021-07-06,10.439
2021-07-07,10.452
2021-07-08,10.271
2021-07-09,10.6
2021-07-10,10.6
2021-07-11,10.6
2021-07-12,10.752
2021-07-13,10.553
2021-07-14,10.145
2021-07-15,10.167
2021-07-16,9.935
2021-07-17,9.935
2021-07-18,9.935
2021-07-19,9.612
2021-07-20,9.791
2021-07-21,9.997
2021-07-22,9.871
2021-07-23,9.852
2021-07-24,9.852
2021-07-25,9.852
2021-07-26,9.918
2021-07-27,9.905
2021-07-28,9.921
2021-07-29,10.006
2021-07-30,9.927
2021-07-31,9.927
2021-08-01,9.927
2021-08-02,9.887
2021-08-03,9.999
2021-08-04,9.891
2021-08-05,10.016
2021-08-06,10.301
2021-08-07,10.301
2021-08-08,10.301
2021-08-09,10.29
2021-08-10,10.416
2021-08-11,10.54
2021-08-12,10.581
2021-08-13,10.463
2021-08-14,10.463
2021-08-15,10.463
2021-08-16,10.394
2021-08-17,10.269
2021-08-18,10.175
2021-08-19,10.09
2021-08-20,10.119
2021-08-21,10.119
2021-08-22,10.119
2021-08-23,10.248
2021-08-24,10.312
2021-08-25,10.524
2021-08-26,10.579
2021-08-27,10.664
2021-08-28,10.664
2021-08-29,10.664
2021-08-30,10.493
2021-08-31,10.461
2021-09-01,10.446
2021-09-02,10.494
2021-09-03,10.431
2021-09-04,10.431
2021-09-05,10.431
2021-09-06,10.431
2021-09-07,10.413
2021-09-08,10.366
2021-09-09,10.411
2021-09-10,10.292
2021-09-11,10.292
2021-09-12,10.292
2021-09-13,10.455
2021-09-14,10.273
2021-09-15,10.344
2021-09-16,10.339
2021-09-17,10.312
2021-09-18,10.312
2021-09-19,10.312
2021-09-20,10.004
2021-09-21,10.005
2021-09-22,10.197
2021-09-23,10.541
2021-09-24,10.663
2021-09-25,10.663
2021-09-26,10.663
2021-09-27,10.921
2021-09-28,10.862
2021-09-29,10.853
2021-09-30,10.49
2021-10-01,10.71
2021-10-02,10.71
2021-10-03,10.71
2021-10-04,10.699
2021-10-05,10.873
2021-10-06,10.896
2021-10-07,10.965
2021-10-08,10.974
2021-10-09,10.974
2021-10-10,10.974
2021-10-11,10.743
2021-10-12,10.66
2021-10-13,10.385
2021-10-14,10.33
2021-10-15,10.528
2021-10-16,10.528
2021-10-17,10.528
2021-10-18,10.524
2021-10-19,10.652
2021-10-20,10.795
2021-10-21,10.711
2021-10-22,10.855
2021-10-23,10.855
2021-10-24,10.855
2021-10-25,10.737
2021-10-26,10.766
2021-10-27,10.542
2021-10-28,10.701
2021-10-29,10.671
2021-10-30,10.671
2021-10-31,10.671
2021-11-01,10.666
2021-11-02,10.708
2021-11-03,10.712
2021-11-04,10.571
2021-11-05,10.556
2021-11-06,10.556
2021-11-07,10.556
2021-11-08,10.619
2021-11-09,10.539
2021-11-10,10.529
2021-11-11,10.528
2021-11-12,10.481
2021-11-13,10.481
2021-11-14,10.481
2021-11-15,10.462
2021-11-16,10.387
2021-11-17,10.331
2021-11-18,10.242
2021-11-19,10.133
2021-11-20,10.133
2021-11-21,10.133
2021-11-22,10.349
2021-11-23,10.596
2021-11-24,10.513
2021-11-25,10.513
2021-11-26,10.196
2021-11-27,10.196
2021-11-28,10.196
2021-11-29,10.152
2021-11-30,10.001
2021-12-01,9.942
2021-12-02,10.151
2021-12-03,9.967
2021-12-04,9.967
2021-12-05,9.967
2021-12-06,10.173
2021-12-07,10.326
2021-12-08,10.208
2021-12-09,10.22
2021-12-10,10.179
2021-12-11,10.179
2021-12-12,10.179
2021-12-13,10.058
2021-12-14,10.135
2021-12-15,10.059
2021-12-16,10.217
2021-12-17,9.984
2021-12-18,9.984
2021-12-19,9.984
2021-12-20,9.805
2021-12-21,9.942
2021-12-22,9.98
2021-12-23,10.016
2021-12-24,10.016
2021-12-25,10.016
2021-12-26,10.016
2021-12-27,10.073
2021-12-28,10.104
2021-12-29,10.099
2021-12-30,10.094
2021-12-31,10.086
2022-01-01,10.086
2022-01-02,10.086
2022-01-03,10.299
2022-01-04,10.867
2022-01-05,10.596
2022-01-06,10.709
2022-01-07,10.815
2022-01-08,10.815
2022-01-09,10.815
2022-01-10,10.825
2022-01-11,10.836
2022-01-12,10.898
2022-01-13,10.866
2022-01-14,10.521
2022-01-15,10.521
2022-01-16,10.521
2022-01-17,10.521
2022-01-18,10.078
2022-01-19,9.906
2022-01-20,9.822
2022-01-21,9.64
2022-01-22,9.64
2022-01-23,9.64
2022-01-24,9.593
2022-01-25,9.722
2022-01-26,9.814
2022-01-27,9.641
2022-01-28,9.727
2022-01-29,9.727
2022-01-30,9.727
2022-01-31,9.841
2022-02-01,10.076
2022-02-02,9.995
2022-02-03,9.913
2022-02-04,10.17
2022-02-05,10.17
2022-02-06,10.17
2022-02-07,10.204
2022-02-08,10.396
2022-02-09,10.439
2022-02-10,10.396
2022-02-11,10.26
2022-02-12,10.26
2022-02-13,10.26
2022-02-14,10.165
2022-02-15,10.314
2022-02-16,10.332
2022-02-17,10.095
2022-02-18,10.142
2022-02-19,10.142
2022-02-20,10.142
2022-02-21,10.142
2022-02-22,10.124
2022-02-23,9.912
2022-02-24,9.636
2022-02-25,9.864
2022-02-26,9.864
2022-02-27,9.864
2022-02-28,9.512
2022-03-01,9.104
2022-03-02,9.293
2022-03-03,9.226
2022-03-04,8.967
2022-03-05,8.967
2022-03-06,8.967
2022-03-07,8.621
2022-03-08,8.56
2022-03-09,8.903
2022-03-10,8.797
2022-03-11,8.599
2022-03-12,8.599
2022-03-13,8.599
2022-03-14,8.692
2022-03-15,8.846
2022-03-16,9.241
2022-03-17,9.358
2022-03-18,9.355
2022-03-19,9.355
2022-03-20,9.355
2022-03-21,9.325
2022-03-22,9.502
2022-03-23,9.313
2022-03-24,9.373
2022-03-25,9.438
2022-03-26,9.438
2022-03-27,9.438
2022-03-28,9.377
2022-03-29,9.397
2022-03-30,9.383
2022-03-31,9.111
2022-04-01,9.044
2022-04-02,9.044
2022-04-03,9.044
2022-04-04,9.113
2022-04-05,9.007
2022-04-06,8.885
2022-04-07,8.858
2022-04-08,9.07
2022-04-09,9.07
2022-04-10,9.07
2022-04-11,9.049
2022-04-12,8.978
2022-04-13,8.649
2022-04-14,8.591
2022-04-15,8.591
2022-04-16,8.591
2022-04-17,8.591
2022-04-18,8.75
2022-04-19,8.967
2022-04-20,8.998
2022-04-21,8.929
2022-04-22,8.672
2022-04-23,8.672
2022-04-24,8.672
2022-04-25,8.67
2022-04-26,8.405
2022-04-27,8.295
2022-04-28,8.426
2022-04-29,8.155
2022-04-30,8.155
2022-05-01,8.155
2022-05-02,8.231
2022-05-03,8.407
2022-05-04,8.685
2022-05-05,8.468
2022-05-06,8.454
2022-05-07,8.454
2022-05-08,8.454
2022-05-09,8.327
2022-05-10,8.124
2022-05-11,8.073
2022-05-12,8.066
2022-05-13,8.108
2022-05-14,8.108
2022-05-15,8.108
2022-05-16,8.052
2022-05-17,8.319
2022-05-18,8.177
2022-05-19,8.073
2022-05-20,8.007
2022-05-21,8.007
2022-05-22,8.007
2022-05-23,8.4
2022-05-24,8.544
2022-05-25,8.602
2022-05-26,8.751
2022-05-27,8.874
2022-05-28,8.874
2022-05-29,8.874
2022-05-30,8.874
2022-05-31,8.939
2022-06-01,8.782
2022-06-02,8.924
2022-06-03,8.799
2022-06-04,8.799
2022-06-05,8.799
2022-06-06,8.77
2022-06-07,8.793
2022-06-08,8.659
2022-06-09,8.477
2022-06-10,8.087
2022-06-11,8.087
2022-06-12,8.087
2022-06-13,7.846
2022-06-14,7.716
2022-06-15,7.807
2022-06-16,7.673
2022-06-17,7.636
2022-06-18,7.636
2022-06-19,7.636
2022-06-20,7.636
2022-06-21,7.825
2022-06-22,7.781
2022-06-23,7.696
2022-06-24,7.931
2022-06-25,7.931
2022-06-26,7.931
2022-06-27,7.872
2022-06-28,7.84
2022-06-29,7.798
2022-06-30,7.642
2022-07-01,7.747
2022-07-02,7.747
2022-07-03,7.747
2022-07-04,7.747
2022-07-05,7.732
2022-07-06,7.682
2022-07-07,7.878
2022-07-08,7.854
2022-07-09,7.854
2022-07-10,7.854
2022-07-11,7.748
2022-07-12,7.821
2022-07-13,7.749
2022-07-14,7.529
2022-07-15,7.884
2022-07-16,7.884
2022-07-17,7.884
2022-07-18,7.779
2022-07-19,7.971
2022-07-20,7.97
2022-07-21,8.024
2022-07-22,7.985
2022-07-23,7.985
2022-07-24,7.985
2022-07-25,8.017
2022-07-26,7.975
2022-07-27,8.103
2022-07-28,8.083
2022-07-29,8.122
2022-07-30,8.122
2022-07-31,8.122
2022-08-01,8.041
2022-08-02,7.915
2022-08-03,7.998
2022-08-04,7.91
2022-08-05,8.15
2022-08-06,8.15
2022-08-07,8.15
2022-08-08,8.051
2022-08-09,8.123
2022-08-10,8.344
2022-08-11,8.468
2022-08-12,8.608
2022-08-13,8.608
2022-08-14,8.608
2022-08-15,8.631
2022-08-16,8.714
2022-08-17,8.64
2022-08-18,8.573
2022-08-19,8.361
2022-08-20,8.361
2022-08-21,8.361
2022-08-22,8.223
2022-08-23,8.142
2022-08-24,8.162
2022-08-25,8.356
2022-08-26,8.082
2022-08-27,8.082
2022-08-28,8.082
2022-08-29,8.062
2022-08-30,8.064
2022-08-31,8.016
2022-09-01,8.071
2022-09-02,8.014
2022-09-03,8.014
2022-09-04,8.014
2022-09-05,8.014
2022-09-06,8.018
2022-09-07,8.171
2022-09-08,8.361
2022-09-09,8.401
2022-09-10,8.401
2022-09-11,8.401
2022-09-12,8.5
2022-09-13,8.235
2022-09-14,8.217
2022-09-15,8.341
2022-09-16,8.286
2022-09-17,8.286
2022-09-18,8.286
2022-09-19,8.342
2022-09-20,8.173
2022-09-21,7.937
2022-09-22,7.862
2022-09-23,7.716
2022-09-24,7.716
2022-09-25,7.716
2022-09-26,7.55
2022-09-27,7.483
2022-09-28,7.634
2022-09-29,7.529
2022-09-30,7.411
2022-10-01,7.411
2022-10-02,7.411
2022-10-03,7.621
2022-10-04,7.977
2022-10-05,7.893
2022-10-06,7.732
2022-10-07,7.578
2022-10-08,7.578
2022-10-09,7.578
2022-10-10,7.507
2022-10-11,7.266
2022-10-12,7.384
2022-10-13,7.794
2022-10-14,7.947
2022-10-15,7.947
2022-10-16,7.947
2022-10-17,8.205
2022-10-18,8.416
2022-10-19,8.251
2022-10-20,8.224
2022-10-21,8.681
2022-10-22,8.681
2022-10-23,8.681
2022-10-24,8.679
2022-10-25,8.674
2022-10-26,8.774
2022-10-27,8.808
2022-10-28,8.913
2022-10-29,8.913
2022-10-30,8.913
2022-10-31,8.899
2022-11-01,9.059
2022-11-02,8.976
2022-11-03,8.992
2022-11-04,9.238
2022-11-05,9.238
2022-11-06,9.238
2022-11-07,9.287
2022-11-08,9.293
2022-11-09,9.172
2022-11-10,9.549
2022-11-11,9.565
2022-11-12,9.565
2022-11-13,9.565
2022-11-14,9.466
2022-11-15,9.398
2022-11-16,9.384
2022-11-17,9.343
2022-11-18,9.435
2022-11-19,9.435
2022-11-20,9.435
2022-11-21,9.36
2022-11-22,9.5
2022-11-23,9.601
2022-11-24,9.601
2022-11-25,9.62
2022-11-26,9.62
2022-11-27,9.62
2022-11-28,9.425
2022-11-29,9.577
2022-11-30,9.69
2022-12-01,9.556
2022-12-02,9.481
2022-12-03,9.481
2022-12-04,9.481
2022-12-05,9.215
2022-12-06,9.218
2022-12-07,9.212
2022-12-08,9.345
2022-12-09,9.289
2022-12-10,9.289
2022-12-11,9.289
2022-12-12,9.449
2022-12-13,9.44
2022-12-14,9.393
2022-12-15,9.16
2022-12-16,9.103
2022-12-17,9.103
2022-12-18,9.103
2022-12-19,9.183
2022-12-20,9.227
2022-12-21,9.331
2022-12-22,9.225
2022-12-23,9.269
2022-12-24,9.269
2022-12-25,9.269
2022-12-26,9.269
2022-12-27,9.303
2022-12-28,9.354
2022-12-29,9.407
2022-12-30,9.467
2022-12-31,9.467
2023-01-01,9.467
2023-01-02,9.467
2023-01-03,9.521
2023-01-04,9.602
2023-01-05,9.6
2023-01-06,9.784
2023-01-07,9.784
2023-01-08,9.784
2023-01-09,9.771
2023-01-10,9.782
2023-01-11,9.855
2023-01-12,9.845
2023-01-13,10.092
2023-01-14,10.092
2023-01-15,10.092
2023-01-16,10.092
2023-01-17,9.987
2023-01-18,9.701
2023-01-19,9.572
2023-01-20,9.596
2023-01-21,9.596
2023-01-22,9.596
2023-01-23,9.743
2023-01-24,9.827
2023-01-25,9.875
2023-01-26,9.936
2023-01-27,9.96
2023-01-28,9.96
2023-01-29,9.96
2023-01-30,9.881
2023-01-31,10.034
2023-02-01,10.008
2023-02-02,9.961
2023-02-03,10.115
2023-02-04,10.115
2023-02-05,10.115
2023-02-06,10.17
2023-02-07,10.294
2023-02-08,10.221
2023-02-09,10.067
2023-02-10,10.111
2023-02-11,10.111
2023-02-12,10.111
2023-02-13,10.216
2023-02-14,10.261
2023-02-15,10.304
2023-02-16,10.166
2023-02-17,10.196
2023-02-18,10.196
2023-02-19,10.196
2023-02-20,10.196
2023-02-21,10.009
2023-02-22,9.932
2023-02-23,10.011
2023-02-24,10.055
2023-02-25,10.055
2023-02-26,10.055
2023-02-27,10.143
2023-02-28,10.227
2023-03-01,10.17
2023-03-02,10.065
2023-03-03,10.243
2023-03-04,10.243
2023-03-05,10.243
2023-03-06,10.183
2023-03-07,9.883
2023-03-08,9.825
2023-03-09,9.293
2023-03-10,9.529
2023-03-11,9.529
2023-03-12,9.529
2023-03-13,9.349
2023-03-14,9.589
2023-03-15,9.136
2023-03-16,9.313
2023-03-17,8.961
2023-03-18,8.961
2023-03-19,8.961
2023-03-20,9.056
2023-03-21,9.299
2023-03-22,9.059
2023-03-23,9.077
2023-03-24,8.941
2023-03-25,8.941
2023-03-26,8.941
2023-03-27,9.193
2023-03-28,9.221
2023-03-29,9.24
2023-03-30,9.225
2023-03-31,9.345
2023-04-01,9.345
2023-04-02,9.345
2023-04-03,9.372
2023-04-04,9.247
2023-04-05,9.355
2023-04-06,9.383
2023-04-07,9.383
2023-04-08,9.383
2023-04-09,9.383
2023-04-10,9.436
2023-04-11,9.513
2023-04-12,9.518
2023-04-13,9.559
2023-04-14,10.158
2023-04-15,10.158
2023-04-16,10.158
2023-04-17,9.934
2023-04-18,10.046
2023-04-19,10.033
2023-04-20,10.004
2023-04-21,9.984
2023-04-22,9.984
2023-04-23,9.984
2023-04-24,9.998
2023-04-25,9.781
2023-04-26,9.615
2023-04-27,9.744
2023-04-28,9.829
2023-04-29,9.829
2023-04-30,9.829
2023-05-01,9.996
2023-05-02,9.814
2023-05-03,9.599
2023-05-04,9.469
2023-05-05,9.654
2023-05-06,9.654
2023-05-07,9.654
2023-05-08,9.673
2023-05-09,9.626
2023-05-10,9.631
2023-05-11,9.605
2023-05-12,9.467
2023-05-13,9.467
2023-05-14,9.467
2023-05-15,9.35
2023-05-16,9.272
2023-05-17,9.588
2023-05-18,9.661
2023-05-19,9.639
2023-05-20,9.639
2023-05-21,9.639
2023-05-22,9.568
2023-05-23,9.432
2023-05-24,9.324
2023-05-25,9.346
2023-05-26,9.421
2023-05-27,9.421
2023-05-28,9.421
2023-05-29,9.421
2023-05-30,9.457
2023-05-31,9.337
2023-06-01,9.465
2023-06-02,9.664
2023-06-03,9.664
2023-06-04,9.664
2023-06-05,9.569
2023-06-06,9.586
2023-06-07,9.679
2023-06-08,9.681
2023-06-09,9.701
2023-06-10,9.701
2023-06-11,9.701
2023-06-12,9.7
2023-06-13,9.773
2023-06-14,9.733
2023-06-15,9.843
2023-06-16,9.855
2023-06-17,9.855
2023-06-18,9.855
2023-06-19,9.855
2023-06-20,9.811
2023-06-21,9.796
2023-06-22,9.608
2023-06-23,9.567
2023-06-24,9.567
2023-06-25,9.567
2023-06-26,9.639
2023-06-27,9.647
2023-06-28,9.605
2023-06-29,9.94
2023-06-30,10.066
2023-07-01,10.066
2023-07-02,10.066
2023-07-03,10.147
2023-07-04,10.147
2023-07-05,10.062
2023-07-06,9.972
2023-07-07,10.049
2023-07-08,10.049
2023-07-09,10.049
2023-07-10,10.057
2023-07-11,10.29
2023-07-12,10.338
2023-07-13,10.388
2023-07-14,10.364
2023-07-15,10.364
2023-07-16,10.364
2023-07-17,10.445
2023-07-18,10.428
2023-07-19,10.468
2023-07-20,10.597
2023-07-21,10.515
2023-07-22,10.515
2023-07-23,10.515
2023-07-24,10.72
2023-07-25,10.64
2023-07-26,10.704
2023-07-27,10.586
2023-07-28,10.646
2023-07-29,10.646
2023-07-30,10.646
2023-07-31,10.717
2023-08-01,10.669
2023-08-02,10.549
2023-08-03,10.613
2023-08-04,10.591
2023-08-05,10.591
2023-08-06,10.591
2023-08-07,10.634
2023-08-08,10.574
2023-08-09,10.432
2023-08-10,10.414
2023-08-11,10.466
2023-08-12,10.466
2023-08-13,10.466
2023-08-14,10.444
2023-08-15,10.179
2023-08-16,10.135
2023-08-17,10.03
