,IP US Equity
2020-11-24,10.96
2020-11-25,10.791
2020-11-26,10.791
2020-11-27,10.711
2020-11-28,10.711
2020-11-29,10.711
2020-11-30,10.455
2020-12-01,10.534
2020-12-02,10.536
2020-12-03,10.193
2020-12-04,10.327
2020-12-05,10.327
2020-12-06,10.327
2020-12-07,10.284
2020-12-08,10.373
2020-12-09,10.468
2020-12-10,10.278
2020-12-11,10.276
2020-12-12,10.276
2020-12-13,10.276
2020-12-14,10.145
2020-12-15,10.386
2020-12-16,10.42
2020-12-17,10.513
2020-12-18,10.561
2020-12-19,10.561
2020-12-20,10.561
2020-12-21,10.455
2020-12-22,10.439
2020-12-23,10.47
2020-12-24,10.515
2020-12-25,10.515
2020-12-26,10.515
2020-12-27,10.515
2020-12-28,10.436
2020-12-29,10.348
2020-12-30,10.489
2020-12-31,10.506
2021-01-01,10.506
2021-01-02,10.506
2021-01-03,10.506
2021-01-04,10.246
2021-01-05,10.51
2021-01-06,11.165
2021-01-07,11.003
2021-01-08,10.878
2021-01-09,10.878
2021-01-10,10.878
2021-01-11,11.009
2021-01-12,11.121
2021-01-13,10.734
2021-01-14,10.561
2021-01-15,10.618
2021-01-16,10.618
2021-01-17,10.618
2021-01-18,10.618
2021-01-19,10.646
2021-01-20,10.775
2021-01-21,10.916
2021-01-22,10.91
2021-01-23,10.91
2021-01-24,10.91
2021-01-25,10.952
2021-01-26,10.914
2021-01-27,10.654
2021-01-28,10.597
2021-01-29,10.631
2021-01-30,10.631
2021-01-31,10.631
2021-02-01,10.521
2021-02-02,10.635
2021-02-03,10.696
2021-02-04,9.879
2021-02-05,9.736
2021-02-06,9.736
2021-02-07,9.736
2021-02-08,9.904
2021-02-09,9.958
2021-02-10,10.02
2021-02-11,9.972
2021-02-12,10.182
2021-02-13,10.182
2021-02-14,10.182
2021-02-15,10.182
2021-02-16,10.184
2021-02-17,10.147
2021-02-18,10.008
2021-02-19,10.241
2021-02-20,10.241
2021-02-21,10.241
2021-02-22,10.335
2021-02-23,10.496
2021-02-24,10.628
2021-02-25,10.546
2021-02-26,10.387
2021-02-27,10.387
2021-02-28,10.387
2021-03-01,10.829
2021-03-02,10.935
2021-03-03,11.134
2021-03-04,10.889
2021-03-05,11.329
2021-03-06,11.329
2021-03-07,11.329
2021-03-08,11.653
2021-03-09,11.462
2021-03-10,11.427
2021-03-11,11.278
2021-03-12,11.301
2021-03-13,11.301
2021-03-14,11.301
2021-03-15,11.182
2021-03-16,11.098
2021-03-17,11.331
2021-03-18,11.28
2021-03-19,11.209
2021-03-20,11.209
2021-03-21,11.209
2021-03-22,11.011
2021-03-23,10.783
2021-03-24,10.921
2021-03-25,11.368
2021-03-26,11.529
2021-03-27,11.529
2021-03-28,11.529
2021-03-29,11.408
2021-03-30,11.506
2021-03-31,11.312
2021-04-01,11.358
2021-04-02,11.358
2021-04-03,11.358
2021-04-04,11.358
2021-04-05,11.444
2021-04-06,11.548
2021-04-07,11.494
2021-04-08,11.427
2021-04-09,11.494
2021-04-10,11.494
2021-04-11,11.494
2021-04-12,11.703
2021-04-13,11.565
2021-04-14,11.642
2021-04-15,11.856
2021-04-16,12.002
2021-04-17,12.002
2021-04-18,12.002
2021-04-19,11.962
2021-04-20,11.801
2021-04-21,11.906
2021-04-22,11.69
2021-04-23,11.879
2021-04-24,11.879
2021-04-25,11.879
2021-04-26,11.908
2021-04-27,11.944
2021-04-28,12.063
2021-04-29,12.155
2021-04-30,12.196
2021-05-01,12.196
2021-05-02,12.196
2021-05-03,12.393
2021-05-04,12.696
2021-05-05,12.768
2021-05-06,12.982
2021-05-07,12.961
2021-05-08,12.961
2021-05-09,12.961
2021-05-10,13.054
2021-05-11,13.18
2021-05-12,12.814
2021-05-13,13.146
2021-05-14,13.174
2021-05-15,13.174
2021-05-16,13.174
2021-05-17,13.478
2021-05-18,13.335
2021-05-19,13.228
2021-05-20,13.22
2021-05-21,13.359
2021-05-22,13.359
2021-05-23,13.359
2021-05-24,13.541
2021-05-25,13.369
2021-05-26,13.429
2021-05-27,13.522
2021-05-28,13.376
2021-05-29,13.376
2021-05-30,13.376
2021-05-31,13.376
2021-06-01,13.531
2021-06-02,13.404
2021-06-03,13.607
2021-06-04,13.705
2021-06-05,13.705
2021-06-06,13.705
2021-06-07,13.509
2021-06-08,13.599
2021-06-09,13.414
2021-06-10,13.319
2021-06-11,13.493
2021-06-12,13.493
2021-06-13,13.493
2021-06-14,13.206
2021-06-15,13.395
2021-06-16,13.192
2021-06-17,12.768
2021-06-18,12.556
2021-06-19,12.556
2021-06-20,12.556
2021-06-21,12.939
2021-06-22,12.944
2021-06-23,12.886
2021-06-24,12.884
2021-06-25,12.863
2021-06-26,12.863
2021-06-27,12.863
2021-06-28,12.869
2021-06-29,12.865
2021-06-30,12.997
2021-07-01,13.033
2021-07-02,12.999
2021-07-03,12.999
2021-07-04,12.999
2021-07-05,12.999
2021-07-06,12.799
2021-07-07,13.02
2021-07-08,13.001
2021-07-09,13.194
2021-07-10,13.194
2021-07-11,13.194
2021-07-12,13.192
2021-07-13,13.024
2021-07-14,13.026
2021-07-15,12.695
2021-07-16,12.534
2021-07-17,12.534
2021-07-18,12.534
2021-07-19,12.246
2021-07-20,12.348
2021-07-21,12.394
2021-07-22,12.265
2021-07-23,12.312
2021-07-24,12.312
2021-07-25,12.312
2021-07-26,12.388
2021-07-27,12.452
2021-07-28,12.401
2021-07-29,12.303
2021-07-30,12.244
2021-07-31,12.244
2021-08-01,12.244
2021-08-02,12.191
2021-08-03,12.445
2021-08-04,12.235
2021-08-05,10.583
2021-08-06,10.67
2021-08-07,10.67
2021-08-08,10.67
2021-08-09,10.806
2021-08-10,10.989
2021-08-11,11.07
2021-08-12,11.044
2021-08-13,11.009
2021-08-14,11.009
2021-08-15,11.009
2021-08-16,11.057
2021-08-17,10.957
2021-08-18,10.884
2021-08-19,10.812
2021-08-20,10.923
2021-08-21,10.923
2021-08-22,10.923
2021-08-23,10.868
2021-08-24,10.951
2021-08-25,11.055
2021-08-26,10.981
2021-08-27,11.178
2021-08-28,11.178
2021-08-29,11.178
2021-08-30,11.037
2021-08-31,11.171
2021-09-01,11.124
2021-09-02,11.21
2021-09-03,11.139
2021-09-04,11.139
2021-09-05,11.139
2021-09-06,11.139
2021-09-07,10.912
2021-09-08,10.87
2021-09-09,10.89
2021-09-10,10.847
2021-09-11,10.847
2021-09-12,10.847
2021-09-13,10.894
2021-09-14,10.736
2021-09-15,10.771
2021-09-16,10.756
2021-09-17,10.522
2021-09-18,10.522
2021-09-19,10.522
2021-09-20,10.388
2021-09-21,10.265
2021-09-22,10.435
2021-09-23,10.615
2021-09-24,10.591
2021-09-25,10.591
2021-09-26,10.591
2021-09-27,10.658
2021-09-28,10.6
2021-09-29,10.626
2021-09-30,10.396
2021-10-01,10.456
2021-10-02,10.456
2021-10-03,10.456
2021-10-04,10.456
2021-10-05,10.456
2021-10-06,10.456
2021-10-07,10.456
2021-10-08,10.456
2021-10-09,10.456
2021-10-10,10.456
2021-10-11,10.456
2021-10-12,10.456
2021-10-13,10.456
2021-10-14,10.456
2021-10-15,10.456
2021-10-16,10.456
2021-10-17,10.456
2021-10-18,10.456
2021-10-19,10.456
2021-10-20,10.456
2021-10-21,10.456
2021-10-22,10.456
2021-10-23,10.456
2021-10-24,10.456
2021-10-25,10.456
2021-10-26,10.456
2021-10-27,10.456
2021-10-28,10.456
2021-10-29,10.456
2021-10-30,10.456
2021-10-31,10.456
2021-11-01,10.456
2021-11-02,10.456
2021-11-03,10.456
2021-11-04,10.456
2021-11-05,10.456
2021-11-06,10.456
2021-11-07,10.456
2021-11-08,10.456
2021-11-09,10.456
2021-11-10,10.456
2021-11-11,11.353
2021-11-12,11.26
2021-11-13,11.26
2021-11-14,11.26
2021-11-15,11.299
2021-11-16,11.257
2021-11-17,11.18
2021-11-18,11.098
2021-11-19,10.871
2021-11-20,10.871
2021-11-21,10.871
2021-11-22,11.068
2021-11-23,11.038
2021-11-24,10.864
2021-11-25,10.864
2021-11-26,10.86
2021-11-27,10.86
2021-11-28,10.86
2021-11-29,10.789
2021-11-30,10.401
2021-12-01,10.312
2021-12-02,10.483
2021-12-03,10.613
2021-12-04,10.613
2021-12-05,10.613
2021-12-06,10.75
2021-12-07,10.659
2021-12-08,10.602
2021-12-09,10.549
2021-12-10,10.485
2021-12-11,10.485
2021-12-12,10.485
2021-12-13,10.474
2021-12-14,10.405
2021-12-15,10.556
2021-12-16,10.741
2021-12-17,10.474
2021-12-18,10.474
2021-12-19,10.474
2021-12-20,10.184
2021-12-21,10.355
2021-12-22,10.344
2021-12-23,10.474
2021-12-24,10.474
2021-12-25,10.474
2021-12-26,10.474
2021-12-27,10.586
2021-12-28,10.663
2021-12-29,10.675
2021-12-30,10.666
2021-12-31,10.734
2022-01-01,10.734
2022-01-02,10.734
2022-01-03,10.691
2022-01-04,11.075
2022-01-05,11.125
2022-01-06,11.045
2022-01-07,11.166
2022-01-08,11.166
2022-01-09,11.166
2022-01-10,11.098
2022-01-11,11.086
2022-01-12,9.738
2022-01-13,9.9
2022-01-14,9.941
2022-01-15,9.941
2022-01-16,9.941
2022-01-17,9.941
2022-01-18,9.902
2022-01-19,9.91
2022-01-20,9.674
2022-01-21,9.497
2022-01-22,9.497
2022-01-23,9.497
2022-01-24,9.686
2022-01-25,9.587
2022-01-26,9.501
2022-01-27,9.316
2022-01-28,9.206
2022-01-29,9.206
2022-01-30,9.206
2022-01-31,8.704
2022-02-01,8.668
2022-02-02,8.607
2022-02-03,8.58
2022-02-04,8.441
2022-02-05,8.441
2022-02-06,8.441
2022-02-07,8.416
2022-02-08,8.502
2022-02-09,8.506
2022-02-10,8.407
2022-02-11,8.397
2022-02-12,8.397
2022-02-13,8.397
2022-02-14,8.338
2022-02-15,8.769
2022-02-16,8.739
2022-02-17,8.741
2022-02-18,8.861
2022-02-19,8.861
2022-02-20,8.861
2022-02-21,8.861
2022-02-22,8.893
2022-02-23,8.552
2022-02-24,8.377
2022-02-25,8.61
2022-02-26,8.61
2022-02-27,8.61
2022-02-28,8.252
2022-03-01,7.824
2022-03-02,7.964
2022-03-03,8.006
2022-03-04,8.002
2022-03-05,8.002
2022-03-06,8.002
2022-03-07,7.769
2022-03-08,7.888
2022-03-09,7.994
2022-03-10,7.97
2022-03-11,8.044
2022-03-12,8.044
2022-03-13,8.044
2022-03-14,8.064
2022-03-15,8.188
2022-03-16,8.372
2022-03-17,8.525
2022-03-18,8.533
2022-03-19,8.533
2022-03-20,8.533
2022-03-21,8.485
2022-03-22,8.548
2022-03-23,8.461
2022-03-24,8.576
2022-03-25,8.781
2022-03-26,8.781
2022-03-27,8.781
2022-03-28,8.743
2022-03-29,8.851
2022-03-30,8.794
2022-03-31,8.749
2022-04-01,8.777
2022-04-02,8.777
2022-04-03,8.777
2022-04-04,8.701
2022-04-05,8.679
2022-04-06,8.662
2022-04-07,8.603
2022-04-08,8.853
2022-04-09,8.853
2022-04-10,8.853
2022-04-11,8.864
2022-04-12,8.858
2022-04-13,8.936
2022-04-14,9.008
2022-04-15,9.008
2022-04-16,9.008
2022-04-17,9.008
2022-04-18,8.794
2022-04-19,9.015
2022-04-20,9.27
2022-04-21,9.322
2022-04-22,8.953
2022-04-23,8.953
2022-04-24,8.953
2022-04-25,8.909
2022-04-26,8.821
2022-04-27,8.885
2022-04-28,8.908
2022-04-29,8.467
2022-04-30,8.467
2022-05-01,8.467
2022-05-02,8.417
2022-05-03,8.466
2022-05-04,8.768
2022-05-05,8.699
2022-05-06,8.708
2022-05-07,8.708
2022-05-08,8.708
2022-05-09,8.645
2022-05-10,8.214
2022-05-11,8.183
2022-05-12,8.168
2022-05-13,8.204
2022-05-14,8.204
2022-05-15,8.204
2022-05-16,8.221
2022-05-17,8.442
2022-05-18,8.296
2022-05-19,8.209
2022-05-20,8.15
2022-05-21,8.15
2022-05-22,8.15
2022-05-23,8.264
2022-05-24,8.101
2022-05-25,8.836
2022-05-26,9.069
2022-05-27,9.187
2022-05-28,9.187
2022-05-29,9.187
2022-05-30,9.187
2022-05-31,9.027
2022-06-01,8.84
2022-06-02,8.85
2022-06-03,8.678
2022-06-04,8.678
2022-06-05,8.678
2022-06-06,8.709
2022-06-07,8.832
2022-06-08,8.713
2022-06-09,8.528
2022-06-10,8.293
2022-06-11,8.293
2022-06-12,8.293
2022-06-13,7.95
2022-06-14,8.038
2022-06-15,7.937
2022-06-16,7.695
2022-06-17,7.63
2022-06-18,7.63
2022-06-19,7.63
2022-06-20,7.63
2022-06-21,7.546
2022-06-22,7.554
2022-06-23,7.532
2022-06-24,7.847
2022-06-25,7.847
2022-06-26,7.847
2022-06-27,7.841
2022-06-28,7.755
2022-06-29,7.774
2022-06-30,7.662
2022-07-01,7.689
2022-07-02,7.689
2022-07-03,7.689
2022-07-04,7.689
2022-07-05,7.622
2022-07-06,7.669
2022-07-07,7.887
2022-07-08,7.823
2022-07-09,7.823
2022-07-10,7.823
2022-07-11,7.735
2022-07-12,7.834
2022-07-13,7.719
2022-07-14,7.653
2022-07-15,7.678
2022-07-16,7.678
2022-07-17,7.678
2022-07-18,7.616
2022-07-19,7.791
2022-07-20,7.851
2022-07-21,7.911
2022-07-22,7.897
2022-07-23,7.897
2022-07-24,7.897
2022-07-25,7.946
2022-07-26,7.639
2022-07-27,7.793
2022-07-28,7.823
2022-07-29,7.899
2022-07-30,7.899
2022-07-31,7.899
2022-08-01,7.932
2022-08-02,7.843
2022-08-03,7.893
2022-08-04,7.756
2022-08-05,7.742
2022-08-06,7.742
2022-08-07,7.742
2022-08-08,7.869
2022-08-09,7.875
2022-08-10,7.885
2022-08-11,7.956
2022-08-12,8.171
2022-08-13,8.171
2022-08-14,8.171
2022-08-15,8.167
2022-08-16,8.257
2022-08-17,8.151
2022-08-18,8.103
2022-08-19,8.002
2022-08-20,8.002
2022-08-21,8.002
2022-08-22,7.802
2022-08-23,7.853
2022-08-24,7.822
2022-08-25,8.054
2022-08-26,7.824
2022-08-27,7.824
2022-08-28,7.824
2022-08-29,7.738
2022-08-30,7.729
2022-08-31,7.641
2022-09-01,7.584
2022-09-02,7.514
2022-09-03,7.514
2022-09-04,7.514
2022-09-05,7.514
2022-09-06,7.404
2022-09-07,7.538
2022-09-08,7.631
2022-09-09,7.659
2022-09-10,7.659
2022-09-11,7.659
2022-09-12,7.741
2022-09-13,7.433
2022-09-14,7.284
2022-09-15,7.284
2022-09-16,6.467
2022-09-17,6.467
2022-09-18,6.467
2022-09-19,6.704
2022-09-20,6.394
2022-09-21,6.289
2022-09-22,6.207
2022-09-23,6.076
2022-09-24,6.076
2022-09-25,6.076
2022-09-26,5.832
2022-09-27,5.856
2022-09-28,6.005
2022-09-29,5.987
2022-09-30,5.915
2022-10-01,5.915
2022-10-02,5.915
2022-10-03,6.071
2022-10-04,6.204
2022-10-05,6.342
2022-10-06,6.213
2022-10-07,6.089
2022-10-08,6.089
2022-10-09,6.089
2022-10-10,6.091
2022-10-11,6.271
2022-10-12,6.255
2022-10-13,6.51
2022-10-14,6.478
2022-10-15,6.478
2022-10-16,6.478
2022-10-17,6.599
2022-10-18,7.272
2022-10-19,7.06
2022-10-20,6.919
2022-10-21,7.172
2022-10-22,7.172
2022-10-23,7.172
2022-10-24,7.149
2022-10-25,7.25
2022-10-26,7.203
2022-10-27,7.597
2022-10-28,8.342
2022-10-29,8.342
2022-10-30,8.342
2022-10-31,8.85
2022-11-01,8.829
2022-11-02,8.616
2022-11-03,8.608
2022-11-04,8.866
2022-11-05,8.866
2022-11-06,8.866
2022-11-07,8.845
2022-11-08,8.827
2022-11-09,8.748
2022-11-10,10.55
2022-11-11,10.998
2022-11-12,10.998
2022-11-13,10.998
2022-11-14,11.01
2022-11-15,11.102
2022-11-16,10.88
2022-11-17,10.868
2022-11-18,10.877
2022-11-19,10.877
2022-11-20,10.877
2022-11-21,10.736
2022-11-22,10.89
2022-11-23,10.919
2022-11-24,10.919
2022-11-25,10.893
2022-11-26,10.893
2022-11-27,10.893
2022-11-28,10.614
2022-11-29,10.777
2022-11-30,11.011
2022-12-01,11.091
2022-12-02,11.005
2022-12-03,11.005
2022-12-04,11.005
2022-12-05,10.833
2022-12-06,10.804
2022-12-07,10.724
2022-12-08,10.73
2022-12-09,10.703
2022-12-10,10.703
2022-12-11,10.703
2022-12-12,11.007
2022-12-13,11.133
2022-12-14,11.097
2022-12-15,10.93
2022-12-16,10.651
2022-12-17,10.651
2022-12-18,10.651
2022-12-19,10.445
2022-12-20,10.373
2022-12-21,10.367
2022-12-22,10.298
2022-12-23,10.388
2022-12-24,10.388
2022-12-25,10.388
2022-12-26,10.388
2022-12-27,10.442
2022-12-28,10.277
2022-12-29,10.4
2022-12-30,10.358
2022-12-31,10.358
2023-01-01,10.358
2023-01-02,10.358
2023-01-03,10.592
2023-01-04,11.709
2023-01-05,12.084
2023-01-06,12.231
2023-01-07,12.231
2023-01-08,12.231
2023-01-09,12.956
2023-01-10,13.274
2023-01-11,13.27
2023-01-12,13.344
2023-01-13,13.537
2023-01-14,13.537
2023-01-15,13.537
2023-01-16,13.537
2023-01-17,13.286
2023-01-18,13.063
2023-01-19,12.886
2023-01-20,13.202
2023-01-21,13.202
2023-01-22,13.202
2023-01-23,13.181
2023-01-24,12.928
2023-01-25,12.776
2023-01-26,13.097
2023-01-27,13.406
2023-01-28,13.406
2023-01-29,13.406
2023-01-30,13.294
2023-01-31,13.573
2023-02-01,13.045
2023-02-02,13.262
2023-02-03,12.943
2023-02-04,12.943
2023-02-05,12.943
2023-02-06,12.686
2023-02-07,12.681
2023-02-08,12.417
2023-02-09,12.08
2023-02-10,12.162
2023-02-11,12.162
2023-02-12,12.162
2023-02-13,12.338
2023-02-14,12.554
2023-02-15,12.595
2023-02-16,12.538
2023-02-17,12.418
2023-02-18,12.418
2023-02-19,12.418
2023-02-20,12.418
2023-02-21,11.621
2023-02-22,11.676
2023-02-23,11.763
2023-02-24,11.743
2023-02-25,11.743
2023-02-26,11.743
2023-02-27,11.772
2023-02-28,11.779
2023-03-01,11.876
2023-03-02,12.145
2023-03-03,12.226
2023-03-04,12.226
2023-03-05,12.226
2023-03-06,12.047
2023-03-07,11.939
2023-03-08,12.113
2023-03-09,11.909
2023-03-10,11.686
2023-03-11,11.686
2023-03-12,11.686
2023-03-13,11.465
2023-03-14,11.659
2023-03-15,11.375
2023-03-16,11.438
2023-03-17,11.236
2023-03-18,11.236
2023-03-19,11.236
2023-03-20,11.736
2023-03-21,11.874
2023-03-22,11.591
2023-03-23,11.493
2023-03-24,11.618
2023-03-25,11.618
2023-03-26,11.618
2023-03-27,11.625
2023-03-28,11.679
2023-03-29,11.817
2023-03-30,11.874
2023-03-31,12.15
2023-04-01,12.15
2023-04-02,12.15
2023-04-03,12.117
2023-04-04,11.915
2023-04-05,11.825
2023-04-06,11.929
2023-04-07,11.929
2023-04-08,11.929
2023-04-09,11.929
2023-04-10,11.97
2023-04-11,12.186
2023-04-12,12.381
2023-04-13,12.357
2023-04-14,12.191
2023-04-15,12.191
2023-04-16,12.191
2023-04-17,12.337
2023-04-18,12.388
2023-04-19,12.415
2023-04-20,12.453
2023-04-21,12.279
2023-04-22,12.279
2023-04-23,12.279
2023-04-24,12.422
2023-04-25,11.845
2023-04-26,11.801
2023-04-27,11.65
2023-04-28,12.358
2023-04-29,12.358
2023-04-30,12.358
2023-05-01,12.406
2023-05-02,12.063
2023-05-03,12.056
2023-05-04,11.865
2023-05-05,12.074
2023-05-06,12.074
2023-05-07,12.074
2023-05-08,12.085
2023-05-09,11.988
2023-05-10,11.903
2023-05-11,12.334
2023-05-12,12.361
2023-05-13,12.361
2023-05-14,12.361
2023-05-15,12.385
2023-05-16,12.252
2023-05-17,12.494
2023-05-18,12.466
2023-05-19,12.439
2023-05-20,12.439
2023-05-21,12.439
2023-05-22,12.35
2023-05-23,12.439
2023-05-24,12.244
2023-05-25,12.091
2023-05-26,12.095
2023-05-27,12.095
2023-05-28,12.095
2023-05-29,12.095
2023-05-30,11.906
2023-05-31,11.629
2023-06-01,11.523
2023-06-02,12.001
2023-06-03,12.001
2023-06-04,12.001
2023-06-05,11.878
2023-06-06,12.094
2023-06-07,12.604
2023-06-08,12.455
2023-06-09,12.427
2023-06-10,12.427
2023-06-11,12.427
2023-06-12,12.52
2023-06-13,12.608
2023-06-14,12.708
2023-06-15,12.712
2023-06-16,12.78
2023-06-17,12.78
2023-06-18,12.78
2023-06-19,12.78
2023-06-20,12.596
2023-06-21,12.436
2023-06-22,12.284
2023-06-23,12.228
2023-06-24,12.228
2023-06-25,12.228
2023-06-26,12.524
2023-06-27,12.656
2023-06-28,12.536
2023-06-29,12.66
2023-06-30,13.692
2023-07-01,13.692
2023-07-02,13.692
2023-07-03,13.787
2023-07-04,13.787
2023-07-05,13.485
2023-07-06,13.472
2023-07-07,13.688
2023-07-08,13.688
2023-07-09,13.688
2023-07-10,13.841
2023-07-11,14.054
2023-07-12,14.355
2023-07-13,14.364
2023-07-14,14.17
2023-07-15,14.17
2023-07-16,14.17
2023-07-17,14.084
2023-07-18,14.798
2023-07-19,15.859
2023-07-20,16.364
2023-07-21,16.488
2023-07-22,16.488
2023-07-23,16.488
2023-07-24,16.757
2023-07-25,17.565
2023-07-26,17.482
2023-07-27,18.425
2023-07-28,18.285
2023-07-29,18.285
2023-07-30,18.285
2023-07-31,17.998
2023-08-01,17.111
2023-08-02,17.42
2023-08-03,17.434
2023-08-04,17.263
2023-08-05,17.263
2023-08-06,17.263
2023-08-07,17.206
2023-08-08,17.068
2023-08-09,17.001
2023-08-10,16.817
2023-08-11,16.755
2023-08-12,16.755
2023-08-13,16.755
2023-08-14,16.632
2023-08-15,16.44
2023-08-16,16.311
2023-08-17,16.406
2023-08-18,16.541
2023-08-19,16.541
2023-08-20,16.541
2023-08-21,16.325
2023-08-22,16.186
2023-08-23,16.239
2023-08-24,16.172
2023-08-25,16.263
2023-08-26,16.263
2023-08-27,16.263
2023-08-28,16.512
2023-08-29,16.622
2023-08-30,16.684
2023-08-31,16.737
2023-09-01,16.867
2023-09-02,16.867
2023-09-03,16.867
2023-09-04,16.867
2023-09-05,15.932
2023-09-06,15.727
2023-09-07,15.588
2023-09-08,16.076
2023-09-09,16.076
2023-09-10,16.076
2023-09-11,16.062
2023-09-12,16.015
2023-09-13,15.606
