,ABG US Equity,ABG US Equity,ABG US Equity,ABG US Equity,ABG US Equity
2019-03-15,68.37,69.28,67.99,68.29,280277.0
2019-03-16,68.37,69.28,67.99,68.29,280277.0
2019-03-17,68.37,69.28,67.99,68.29,280277.0
2019-03-18,68.2,69.26,67.64,68.94,120323.0
2019-03-19,69.26,69.5,68.16,68.43,131001.0
2019-03-20,68.34,69.34,67.92,68.08,134858.0
2019-03-21,67.88,69.53,67.88,69.31,129707.0
2019-03-22,69.38,69.46,66.835,66.89,168298.0
2019-03-23,69.38,69.46,66.835,66.89,168298.0
2019-03-24,69.38,69.46,66.835,66.89,168298.0
2019-03-25,66.71,68.76,66.46,67.94,136102.0
2019-03-26,68.0,69.4,67.27,68.57,120246.0
2019-03-27,68.54,69.93,68.54,69.62,143133.0
2019-03-28,69.91,70.91,68.1,68.58,240370.0
2019-03-29,68.89,69.98,68.63,69.36,271618.0
2019-03-30,68.89,69.98,68.63,69.36,271618.0
2019-03-31,68.89,69.98,68.63,69.36,271618.0
2019-04-01,69.91,71.09,69.37,70.95,148154.0
2019-04-02,71.1,71.15,69.6401,70.22,158180.0
2019-04-03,70.72,71.89,70.46,71.36,159323.0
2019-04-04,71.31,72.93,71.0,72.83,147921.0
2019-04-05,73.11,73.4,71.35,71.61,109399.0
2019-04-06,73.11,73.4,71.35,71.61,109399.0
2019-04-07,73.11,73.4,71.35,71.61,109399.0
2019-04-08,71.45,72.75,70.99,72.16,116395.0
2019-04-09,71.8,72.33,71.27,71.74,104915.0
2019-04-10,71.77,72.69,71.09,72.64,143234.0
2019-04-11,72.6,73.37,72.47,73.1,135310.0
2019-04-12,73.46,75.56,73.42,75.35,191548.0
2019-04-13,73.46,75.56,73.42,75.35,191548.0
2019-04-14,73.46,75.56,73.42,75.35,191548.0
2019-04-15,75.29,75.9,74.74,75.39,179874.0
2019-04-16,75.56,76.77,75.45,76.4,181474.0
2019-04-17,76.76,77.41,75.62,75.87,152370.0
2019-04-18,75.67,76.04,74.56,75.65,141956.0
2019-04-19,75.67,76.04,74.56,75.65,141956.0
2019-04-20,75.67,76.04,74.56,75.65,141956.0
2019-04-21,75.67,76.04,74.56,75.65,141956.0
2019-04-22,75.64,75.64,72.64,73.3,143276.0
2019-04-23,77.93,82.3039,75.42,76.83,319759.0
2019-04-24,79.0,80.86,78.12,79.44,348841.0
2019-04-25,79.44,80.09,77.82,79.02,162054.0
2019-04-26,79.44,81.48,79.2,81.05,128055.0
2019-04-27,79.44,81.48,79.2,81.05,128055.0
2019-04-28,79.44,81.48,79.2,81.05,128055.0
2019-04-29,80.79,81.35,78.95,79.67,172289.0
2019-04-30,79.82,80.78,79.18,80.18,171062.0
2019-05-01,80.25,80.93,79.12,79.18,208260.0
2019-05-02,79.06,79.64,78.45,79.07,89723.0
2019-05-03,79.22,80.57,79.12,80.45,81596.0
2019-05-04,79.22,80.57,79.12,80.45,81596.0
2019-05-05,79.22,80.57,79.12,80.45,81596.0
2019-05-06,79.53,81.17,79.53,80.58,115923.0
2019-05-07,80.17,80.29,79.01,79.8,86793.0
2019-05-08,79.76,80.63,79.35,79.84,84219.0
2019-05-09,78.98,80.45,78.335,80.26,124218.0
2019-05-10,79.76,80.45,78.55,80.25,98155.0
2019-05-11,79.76,80.45,78.55,80.25,98155.0
2019-05-12,79.76,80.45,78.55,80.25,98155.0
2019-05-13,79.03,79.41,77.77,78.52,162521.0
2019-05-14,78.43,79.69,78.39,79.67,116415.0
2019-05-15,78.98,80.1333,78.73,79.62,76007.0
2019-05-16,79.79,81.0,79.46,79.63,102955.0
2019-05-17,79.05,80.29,78.49,78.57,116679.0
2019-05-18,79.05,80.29,78.49,78.57,116679.0
2019-05-19,79.05,80.29,78.49,78.57,116679.0
2019-05-20,78.1,78.87,77.78,77.98,82332.0
2019-05-21,78.11,79.11,77.7,78.66,102498.0
2019-05-22,78.78,78.78,77.11,77.63,82369.0
2019-05-23,77.44,78.16,76.7204,77.8,79084.0
2019-05-24,77.84,79.19,77.84,78.58,53391.0
2019-05-25,77.84,79.19,77.84,78.58,53391.0
2019-05-26,77.84,79.19,77.84,78.58,53391.0
2019-05-27,77.84,79.19,77.84,78.58,53391.0
2019-05-28,78.65,79.2,77.01,77.19,131653.0
2019-05-29,76.76,77.04,74.89,76.9,78900.0
2019-05-30,77.13,77.79,76.41,76.92,86029.0
2019-05-31,75.82,76.86,74.1,74.19,176380.0
2019-06-01,75.82,76.86,74.1,74.19,176380.0
2019-06-02,75.82,76.86,74.1,74.19,176380.0
2019-06-03,74.21,77.96,74.21,77.25,159254.0
2019-06-04,78.06,81.48,77.66,79.67,276795.0
2019-06-05,80.52,80.99,77.57,77.8,104188.0
2019-06-06,77.56,78.085,75.69,76.95,107102.0
2019-06-07,77.5,78.45,77.5,77.95,115607.0
2019-06-08,77.5,78.45,77.5,77.95,115607.0
2019-06-09,77.5,78.45,77.5,77.95,115607.0
2019-06-10,78.43,79.5,78.32,78.88,79389.0
2019-06-11,79.21,80.49,79.05,79.4,162892.0
2019-06-12,79.36,79.61,77.69,79.21,82309.0
2019-06-13,79.87,80.37,78.66,80.36,100627.0
2019-06-14,80.41,81.01,79.73,79.81,85194.0
2019-06-15,80.41,81.01,79.73,79.81,85194.0
2019-06-16,80.41,81.01,79.73,79.81,85194.0
2019-06-17,79.79,81.16,79.79,80.59,122830.0
2019-06-18,81.03,82.9,81.03,82.73,125776.0
2019-06-19,82.76,82.83,81.52,82.14,109040.0
2019-06-20,83.37,84.09,82.08,83.16,145901.0
2019-06-21,83.16,83.85,81.71,81.75,294208.0
2019-06-22,83.16,83.85,81.71,81.75,294208.0
2019-06-23,83.16,83.85,81.71,81.75,294208.0
2019-06-24,81.75,82.04,80.29,80.5,141157.0
2019-06-25,80.42,81.57,80.24,81.1,165625.0
2019-06-26,81.31,83.38,80.81,82.5,125117.0
2019-06-27,82.66,84.0,82.33,83.94,138815.0
2019-06-28,84.16,85.66,83.67,84.34,244751.0
2019-06-29,84.16,85.66,83.67,84.34,244751.0
2019-06-30,84.16,85.66,83.67,84.34,244751.0
2019-07-01,85.69,87.16,83.26,84.15,154992.0
2019-07-02,84.1,85.05,82.78,84.52,127394.0
2019-07-03,85.03,85.56,84.46,84.97,39416.0
2019-07-04,85.03,85.56,84.46,84.97,39416.0
2019-07-05,84.93,85.025,83.79,83.91,59237.0
2019-07-06,84.93,85.025,83.79,83.91,59237.0
2019-07-07,84.93,85.025,83.79,83.91,59237.0
2019-07-08,83.6,83.79,82.44,82.97,110763.0
2019-07-09,83.47,84.77,82.68,84.49,116315.0
2019-07-10,84.83,85.585,83.445,83.83,106532.0
2019-07-11,84.43,84.78,83.71,84.16,97428.0
2019-07-12,84.41,85.565,84.07,84.5,113787.0
2019-07-13,84.41,85.565,84.07,84.5,113787.0
2019-07-14,84.41,85.565,84.07,84.5,113787.0
2019-07-15,84.59,85.34,82.87,83.72,99738.0
2019-07-16,83.42,84.42,82.795,84.05,79305.0
2019-07-17,83.91,84.35,83.23,84.21,76962.0
2019-07-18,84.35,84.785,83.51,84.15,83380.0
2019-07-19,84.47,85.4114,84.4,84.44,90507.0
2019-07-20,84.47,85.4114,84.4,84.44,90507.0
2019-07-21,84.47,85.4114,84.4,84.44,90507.0
2019-07-22,84.43,85.43,83.82,84.49,65025.0
2019-07-23,84.91,86.94,84.73,86.68,99949.0
2019-07-24,86.52,90.63,85.725,90.48,178556.0
2019-07-25,90.19,90.96,88.85,89.76,120527.0
2019-07-26,88.95,93.93,88.95,89.5,329527.0
2019-07-27,88.95,93.93,88.95,89.5,329527.0
2019-07-28,88.95,93.93,88.95,89.5,329527.0
2019-07-29,88.76,95.14,88.76,94.52,260746.0
2019-07-30,94.0,94.0,91.42,92.97,236528.0
2019-07-31,93.0,93.99,91.55,92.08,171458.0
2019-08-01,92.86,93.99,89.13,91.48,200295.0
2019-08-02,91.2,92.91,91.01,92.16,134198.0
2019-08-03,91.2,92.91,91.01,92.16,134198.0
2019-08-04,91.2,92.91,91.01,92.16,134198.0
2019-08-05,89.71,91.64,89.71,91.17,138029.0
2019-08-06,91.0,93.41,91.0,92.85,142266.0
2019-08-07,91.83,92.82,90.13,91.9,137429.0
2019-08-08,92.31,93.89,92.25,92.93,111433.0
2019-08-09,92.13,93.2,91.2,92.56,68806.0
2019-08-10,92.13,93.2,91.2,92.56,68806.0
2019-08-11,92.13,93.2,91.2,92.56,68806.0
2019-08-12,92.34,93.43,91.005,91.46,100674.0
2019-08-13,91.11,94.86,91.11,92.45,160335.0
2019-08-14,90.61,91.44,88.96,89.44,187402.0
2019-08-15,89.84,89.84,87.46,88.76,142845.0
2019-08-16,89.06,91.1,89.06,90.07,100648.0
2019-08-17,89.06,91.1,89.06,90.07,100648.0
2019-08-18,89.06,91.1,89.06,90.07,100648.0
2019-08-19,91.03,91.865,90.64,90.96,93672.0
2019-08-20,90.79,91.64,90.0,90.49,89440.0
2019-08-21,91.39,91.57,90.2,90.57,120402.0
2019-08-22,90.93,92.03,90.37,91.25,88062.0
2019-08-23,90.73,91.82,88.35,88.74,103384.0
2019-08-24,90.73,91.82,88.35,88.74,103384.0
2019-08-25,90.73,91.82,88.35,88.74,103384.0
2019-08-26,89.58,91.0,89.24,90.49,140998.0
2019-08-27,91.2,92.01,90.06,90.35,100118.0
2019-08-28,89.9,93.17,89.9,92.63,135484.0
2019-08-29,93.63,94.5,93.1,93.34,109426.0
2019-08-30,93.72,94.5,93.13,94.3,142619.0
2019-08-31,93.72,94.5,93.13,94.3,142619.0
2019-09-01,93.72,94.5,93.13,94.3,142619.0
2019-09-02,93.72,94.5,93.13,94.3,142619.0
2019-09-03,93.69,94.045,92.28,92.67,149962.0
2019-09-04,93.43,95.4,92.89,95.28,97935.0
2019-09-05,96.61,99.48,96.61,97.63,111378.0
2019-09-06,97.81,98.4817,96.27,96.55,104543.0
2019-09-07,97.81,98.4817,96.27,96.55,104543.0
2019-09-08,97.81,98.4817,96.27,96.55,104543.0
2019-09-09,96.95,100.615,96.6573,100.07,197231.0
2019-09-10,99.91,101.84,99.28,101.48,299424.0
2019-09-11,101.49,103.92,99.99,102.56,332392.0
2019-09-12,102.82,103.17,100.885,101.8,368718.0
2019-09-13,99.95,101.64,99.05,100.33,188658.0
2019-09-14,99.95,101.64,99.05,100.33,188658.0
2019-09-15,99.95,101.64,99.05,100.33,188658.0
2019-09-16,99.54,100.02,97.66,99.1,145195.0
2019-09-17,98.74,101.34,98.29,100.92,140802.0
2019-09-18,101.15,101.45,99.67,100.96,176179.0
2019-09-19,101.3,101.74,100.335,100.49,127490.0
2019-09-20,100.49,101.94,100.09,100.93,305800.0
2019-09-21,100.49,101.94,100.09,100.93,305800.0
2019-09-22,100.49,101.94,100.09,100.93,305800.0
2019-09-23,100.6,102.835,100.6,101.97,120915.0
2019-09-24,102.84,103.325,100.51,101.25,122888.0
2019-09-25,101.4,102.84,100.77,101.63,160179.0
2019-09-26,101.63,101.63,99.09,100.36,75899.0
2019-09-27,100.98,101.36,99.74,100.96,146177.0
2019-09-28,100.98,101.36,99.74,100.96,146177.0
2019-09-29,100.98,101.36,99.74,100.96,146177.0
2019-09-30,100.74,103.0,100.74,102.33,142619.0
2019-10-01,102.7,104.5539,98.49,99.14,216380.0
2019-10-02,98.54,99.23,96.71,98.66,227648.0
2019-10-03,98.65,98.93,95.87,96.28,118418.0
2019-10-04,96.59,97.13,94.8,97.13,138494.0
2019-10-05,96.59,97.13,94.8,97.13,138494.0
2019-10-06,96.59,97.13,94.8,97.13,138494.0
2019-10-07,97.0,97.805,96.03,96.48,142597.0
2019-10-08,95.5,96.58,94.665,94.8,408083.0
2019-10-09,95.7,98.57,95.64,97.19,122288.0
2019-10-10,97.56,100.215,97.19,99.02,136105.0
2019-10-11,100.55,102.05,99.76,99.86,143488.0
2019-10-12,100.55,102.05,99.76,99.86,143488.0
2019-10-13,100.55,102.05,99.76,99.86,143488.0
2019-10-14,99.55,100.54,97.66,98.64,123077.0
2019-10-15,98.87,99.84,97.95,99.5,389139.0
2019-10-16,99.58,101.33,99.25,100.25,93395.0
2019-10-17,100.4,101.6,100.02,101.13,135341.0
2019-10-18,100.58,104.55,100.56,103.32,135662.0
2019-10-19,100.58,104.55,100.56,103.32,135662.0
2019-10-20,100.58,104.55,100.56,103.32,135662.0
2019-10-21,104.34,106.37,104.34,105.98,212182.0
2019-10-22,99.15,99.5062,90.2801,96.64,763654.0
2019-10-23,97.44,99.95,96.57,99.34,226857.0
2019-10-24,99.92,103.685,99.69,103.29,277488.0
2019-10-25,103.15,104.14,102.63,102.93,144106.0
2019-10-26,103.15,104.14,102.63,102.93,144106.0
2019-10-27,103.15,104.14,102.63,102.93,144106.0
2019-10-28,103.57,106.52,102.73,104.48,137455.0
2019-10-29,104.59,105.47,103.54,104.5,116134.0
2019-10-30,104.3,105.1637,103.28,103.46,89400.0
2019-10-31,103.74,103.74,101.36,103.13,107039.0
2019-11-01,103.92,107.45,103.89,107.4,409339.0
2019-11-02,103.92,107.45,103.89,107.4,409339.0
2019-11-03,103.92,107.45,103.89,107.4,409339.0
2019-11-04,108.36,108.64,106.84,108.14,173526.0
2019-11-05,108.89,109.75,108.38,109.09,279167.0
2019-11-06,109.26,109.26,107.68,107.77,113998.0
2019-11-07,108.97,109.2,107.895,108.13,126102.0
2019-11-08,108.15,109.62,107.61,109.06,97006.0
2019-11-09,108.15,109.62,107.61,109.06,97006.0
2019-11-10,108.15,109.62,107.61,109.06,97006.0
2019-11-11,108.24,110.09,107.06,109.85,68535.0
2019-11-12,109.55,111.71,108.0,109.33,309665.0
2019-11-13,108.51,109.24,107.61,108.56,132456.0
2019-11-14,109.21,111.355,108.46,109.42,134128.0
2019-11-15,110.18,110.83,109.47,110.0,103793.0
2019-11-16,110.18,110.83,109.47,110.0,103793.0
2019-11-17,110.18,110.83,109.47,110.0,103793.0
2019-11-18,110.36,111.5018,110.33,110.35,228394.0
2019-11-19,111.02,111.055,109.43,109.5,245497.0
2019-11-20,109.53,110.56,107.83,108.4,148779.0
2019-11-21,109.07,109.44,107.08,108.93,200860.0
2019-11-22,109.17,110.98,108.22,109.69,214844.0
2019-11-23,109.17,110.98,108.22,109.69,214844.0
2019-11-24,109.17,110.98,108.22,109.69,214844.0
2019-11-25,110.19,111.87,109.99,111.14,100656.0
2019-11-26,110.83,112.21,110.02,111.67,198406.0
2019-11-27,112.04,113.01,111.45,112.52,182082.0
2019-11-28,112.04,113.01,111.45,112.52,182082.0
2019-11-29,112.25,112.72,110.84,110.84,38756.0
2019-11-30,112.25,112.72,110.84,110.84,38756.0
2019-12-01,112.25,112.72,110.84,110.84,38756.0
2019-12-02,110.84,111.0,109.0949,109.95,133238.0
2019-12-03,108.75,109.39,108.26,108.6,184799.0
2019-12-04,109.38,112.13,109.38,109.84,187096.0
2019-12-05,110.38,112.25,109.345,109.49,166175.0
2019-12-06,110.8,112.08,110.715,110.92,193140.0
2019-12-07,110.8,112.08,110.715,110.92,193140.0
2019-12-08,110.8,112.08,110.715,110.92,193140.0
2019-12-09,110.45,111.31,110.05,110.1,219212.0
2019-12-10,110.18,110.815,109.27,110.15,227932.0
2019-12-11,110.6,114.89,110.015,114.53,153692.0
2019-12-12,114.75,123.445,114.75,122.67,316119.0
2019-12-13,122.67,122.67,114.97,116.67,245058.0
2019-12-14,122.67,122.67,114.97,116.67,245058.0
2019-12-15,122.67,122.67,114.97,116.67,245058.0
2019-12-16,117.25,117.97,115.06,115.71,198759.0
2019-12-17,115.88,117.83,115.47,117.75,105172.0
2019-12-18,117.87,119.0701,115.71,117.89,177641.0
2019-12-19,118.18,119.23,117.31,118.74,104879.0
2019-12-20,118.89,119.125,117.83,117.92,246958.0
2019-12-21,118.89,119.125,117.83,117.92,246958.0
2019-12-22,118.89,119.125,117.83,117.92,246958.0
2019-12-23,117.68,117.71,113.56,114.12,104793.0
2019-12-24,114.14,114.69,113.07,114.45,51330.0
2019-12-25,114.14,114.69,113.07,114.45,51330.0
2019-12-26,114.91,114.91,113.005,114.05,42611.0
2019-12-27,113.97,114.37,113.08,113.55,147891.0
2019-12-28,113.97,114.37,113.08,113.55,147891.0
2019-12-29,113.97,114.37,113.08,113.55,147891.0
2019-12-30,113.82,113.82,111.6,112.29,98459.0
2019-12-31,111.95,113.12,111.4,111.79,122773.0
2020-01-01,111.95,113.12,111.4,111.79,122773.0
2020-01-02,112.69,112.69,110.32,111.33,161332.0
2020-01-03,109.66,110.03,107.89,108.39,189954.0
2020-01-04,109.66,110.03,107.89,108.39,189954.0
2020-01-05,109.66,110.03,107.89,108.39,189954.0
2020-01-06,107.89,108.29,107.0101,107.74,523282.0
2020-01-07,106.89,107.095,103.5,103.79,233862.0
2020-01-08,104.17,105.56,102.87,103.13,158184.0
2020-01-09,103.74,103.74,100.01,100.6,296346.0
2020-01-10,101.02,101.76,100.19,100.28,298156.0
2020-01-11,101.02,101.76,100.19,100.28,298156.0
2020-01-12,101.02,101.76,100.19,100.28,298156.0
2020-01-13,100.55,103.17,100.09,102.35,477762.0
2020-01-14,101.86,103.63,101.46,101.88,230150.0
2020-01-15,101.95,102.37,100.6379,101.24,214349.0
2020-01-16,101.73,103.01,101.73,102.5,179784.0
2020-01-17,103.02,103.5,102.07,102.26,136792.0
2020-01-18,103.02,103.5,102.07,102.26,136792.0
2020-01-19,103.02,103.5,102.07,102.26,136792.0
2020-01-20,103.02,103.5,102.07,102.26,136792.0
2020-01-21,102.0,103.46,101.81,102.93,156126.0
2020-01-22,102.95,103.17,100.31,100.99,247719.0
2020-01-23,100.59,102.78,99.64,102.3,195021.0
2020-01-24,102.52,102.52,99.44,99.74,126337.0
2020-01-25,102.52,102.52,99.44,99.74,126337.0
2020-01-26,102.52,102.52,99.44,99.74,126337.0
2020-01-27,97.81,101.155,97.41,100.06,101801.0
2020-01-28,100.46,101.41,99.67,100.29,99268.0
2020-01-29,100.76,101.7,99.4,99.56,126235.0
2020-01-30,98.28,99.7,98.01,99.43,107309.0
2020-01-31,99.21,99.62,96.09,96.45,212726.0
2020-02-01,99.21,99.62,96.09,96.45,212726.0
2020-02-02,99.21,99.62,96.09,96.45,212726.0
2020-02-03,100.76,103.6,98.36,99.26,408881.0
2020-02-04,99.09,100.29,95.23,95.66,251810.0
2020-02-05,96.57,97.65,94.96,96.33,285918.0
2020-02-06,96.6,97.1,93.89,94.14,169269.0
2020-02-07,93.89,94.3989,92.245,93.67,177993.0
2020-02-08,93.89,94.3989,92.245,93.67,177993.0
2020-02-09,93.89,94.3989,92.245,93.67,177993.0
2020-02-10,93.5,94.86,92.7112,94.86,194062.0
2020-02-11,96.75,100.5,96.75,100.0,366443.0
2020-02-12,100.49,100.91,92.9,97.01,323363.0
2020-02-13,96.26,97.95,95.39,96.89,187297.0
2020-02-14,97.28,97.4,95.15,95.7,133019.0
2020-02-15,97.28,97.4,95.15,95.7,133019.0
2020-02-16,97.28,97.4,95.15,95.7,133019.0
2020-02-17,97.28,97.4,95.15,95.7,133019.0
2020-02-18,95.79,97.4033,95.79,96.4,211561.0
2020-02-19,97.03,99.56,96.115,98.9,176887.0
2020-02-20,98.55,100.03,98.345,99.74,236376.0
2020-02-21,99.89,100.47,99.05,99.49,179043.0
2020-02-22,99.89,100.47,99.05,99.49,179043.0
2020-02-23,99.89,100.47,99.05,99.49,179043.0
2020-02-24,96.05,98.58,95.8901,97.9,235178.0
2020-02-25,97.99,98.26,96.23,97.0,248782.0
2020-02-26,97.48,97.66,94.075,94.81,295030.0
2020-02-27,92.86,94.51,90.07,90.08,250105.0
2020-02-28,87.29,89.08,85.51,88.64,299109.0
2020-02-29,87.29,89.08,85.51,88.64,299109.0
2020-03-01,87.29,89.08,85.51,88.64,299109.0
2020-03-02,88.9,93.11,86.55,93.03,364017.0
2020-03-03,93.25,95.565,90.35,91.61,245492.0
2020-03-04,92.39,94.41,91.25,94.14,194165.0
2020-03-05,92.01,92.17,87.505,88.62,183550.0
2020-03-06,85.11,87.36,84.42,87.02,231477.0
2020-03-07,85.11,87.36,84.42,87.02,231477.0
2020-03-08,85.11,87.36,84.42,87.02,231477.0
2020-03-09,82.22,84.08,78.95,80.21,332502.0
2020-03-10,83.12,83.12,75.18,81.35,277814.0
2020-03-11,74.85,76.9,70.29,72.41,358173.0
2020-03-12,65.16,66.85,58.69,58.7,298107.0
2020-03-13,61.84,61.84,52.95,55.11,317342.0
2020-03-14,61.84,61.84,52.95,55.11,317342.0
2020-03-15,61.84,61.84,52.95,55.11,317342.0
2020-03-16,42.62,52.87,42.62,46.39,345306.0
2020-03-17,46.77,50.86,43.19,48.11,484523.0
2020-03-18,44.59,44.96,41.41,44.62,618421.0
2020-03-19,43.78,52.57,39.36,48.98,531661.0
2020-03-20,48.92,53.57,48.475,50.6,590306.0
2020-03-21,48.92,53.57,48.475,50.6,590306.0
2020-03-22,48.92,53.57,48.475,50.6,590306.0
2020-03-23,52.61,52.89,45.19,45.82,321288.0
2020-03-24,48.44,53.94,47.46,53.53,403949.0
2020-03-25,53.82,61.19,53.34,58.67,528009.0
2020-03-26,61.17,62.74,58.49,60.82,388824.0
2020-03-27,57.77,58.935,53.8201,55.5,341963.0
2020-03-28,57.77,58.935,53.8201,55.5,341963.0
2020-03-29,57.77,58.935,53.8201,55.5,341963.0
2020-03-30,55.49,57.04,53.74,55.28,361693.0
2020-03-31,54.6,56.44,53.42,55.23,167384.0
2020-04-01,52.77,53.65,45.84,47.25,645281.0
2020-04-02,46.56,49.19,45.54,47.0,278572.0
2020-04-03,46.88,46.88,41.91,42.1,304545.0
2020-04-04,46.88,46.88,41.91,42.1,304545.0
2020-04-05,46.88,46.88,41.91,42.1,304545.0
2020-04-06,44.38,47.98,44.38,47.65,322646.0
2020-04-07,50.28,52.98,48.54,49.04,276141.0
2020-04-08,49.92,55.375,49.86,54.34,493173.0
2020-04-09,56.16,62.275,56.16,60.43,414460.0
2020-04-10,56.16,62.275,56.16,60.43,414460.0
2020-04-11,56.16,62.275,56.16,60.43,414460.0
2020-04-12,56.16,62.275,56.16,60.43,414460.0
2020-04-13,60.48,60.6,55.53,57.04,207199.0
2020-04-14,58.65,60.83,57.54,60.45,366805.0
2020-04-15,57.56,60.13,52.98,53.2,242454.0
2020-04-16,53.37,54.8,51.39,53.17,315805.0
2020-04-17,55.63,58.29,54.65,58.12,354119.0
2020-04-18,55.63,58.29,54.65,58.12,354119.0
2020-04-19,55.63,58.29,54.65,58.12,354119.0
2020-04-20,56.9,56.9,54.73,54.82,211301.0
2020-04-21,52.62,52.95,51.14,52.0,347953.0
2020-04-22,53.34,54.01,50.42,52.07,293170.0
2020-04-23,52.49,56.5671,52.29,54.5,223047.0
2020-04-24,54.39,59.235,54.39,58.47,309877.0
2020-04-25,54.39,59.235,54.39,58.47,309877.0
2020-04-26,54.39,59.235,54.39,58.47,309877.0
2020-04-27,59.26,61.23,58.85,60.63,269558.0
2020-04-28,63.01,65.375,62.394,63.54,324555.0
2020-04-29,65.95,70.94,65.64,69.48,234737.0
2020-04-30,67.87,68.27,65.17,67.5,284737.0
2020-05-01,65.51,66.185,62.76,65.73,297010.0
2020-05-02,65.51,66.185,62.76,65.73,297010.0
2020-05-03,65.51,66.185,62.76,65.73,297010.0
2020-05-04,64.58,66.0,64.12,65.98,267915.0
2020-05-05,69.09,71.77,66.46,67.45,367406.0
2020-05-06,68.55,69.04,63.48,64.89,339274.0
2020-05-07,66.08,67.42,64.98,65.4,278166.0
2020-05-08,68.52,69.605,67.6,69.52,226707.0
