,BALY US Equity,BALY US Equity,BALY US Equity,BALY US Equity,BALY US Equity
2019-03-30,28.6579,29.5967,28.6579,29.5967,61185.0
2019-03-31,28.6579,29.5967,28.6579,29.5967,61185.0
2019-04-01,30.6343,30.7628,30.1835,30.6146,222568.0
2019-04-02,30.6343,31.1284,30.2489,30.6343,40901.0
2019-04-03,30.6343,30.6343,29.5473,30.6343,28411.0
2019-04-04,30.7727,30.8616,30.6047,30.6343,369391.0
2019-04-05,30.8023,31.1284,30.496,31.0988,179906.0
2019-04-06,30.8023,31.1284,30.496,31.0988,179906.0
2019-04-07,30.8023,31.1284,30.496,31.0988,179906.0
2019-04-08,30.7233,31.4249,30.7035,31.3261,535508.0
2019-04-09,31.6225,31.6225,30.6541,31.3261,310105.0
2019-04-10,31.6028,33.006,31.1383,31.8399,324264.0
2019-04-11,32.2846,32.8034,32.2846,32.6107,474166.0
2019-04-12,32.7787,33.5792,32.7787,33.006,1719903.0
2019-04-13,32.7787,33.5792,32.7787,33.006,1719903.0
2019-04-14,32.7787,33.5792,32.7787,33.006,1719903.0
2019-04-15,33.095,33.342,31.8301,32.7985,58681.0
2019-04-16,32.6206,33.095,32.3785,32.5712,171989.0
2019-04-17,32.7787,33.0653,32.0376,32.2846,241653.0
2019-04-18,32.3242,32.9566,31.7214,32.5119,117878.0
2019-04-19,32.3242,32.9566,31.7214,32.5119,117878.0
2019-04-20,32.3242,32.9566,31.7214,32.5119,117878.0
2019-04-21,32.3242,32.9566,31.7214,32.5119,117878.0
2019-04-22,32.6107,32.6107,31.7312,32.3143,100988.0
2019-04-23,32.2846,32.4378,31.8597,32.3143,70907.0
2019-04-24,32.6107,32.6107,31.7312,32.2056,256979.0
2019-04-25,32.2451,32.3637,31.7214,32.0574,53392.0
2019-04-26,32.0277,32.1562,31.8004,31.9981,47248.0
2019-04-27,32.0277,32.1562,31.8004,31.9981,47248.0
2019-04-28,32.0277,32.1562,31.8004,31.9981,47248.0
2019-04-29,31.9684,32.3439,31.7411,32.0376,37438.0
2019-04-30,32.1858,32.1858,31.5534,31.919,66528.0
2019-05-01,31.751,31.9486,31.1482,31.2569,42154.0
2019-05-02,31.2569,31.5929,30.6343,31.2569,59586.0
2019-05-03,31.3755,31.3755,30.6442,31.0395,145250.0
2019-05-04,31.3755,31.3755,30.6442,31.0395,145250.0
2019-05-05,31.3755,31.3755,30.6442,31.0395,145250.0
2019-05-06,30.6442,31.2174,30.5652,30.5652,56501.0
2019-05-07,30.4861,30.6343,29.6659,30.0315,152349.0
2019-05-08,29.9129,30.6245,29.3892,30.0612,88755.0
2019-05-09,29.7845,30.5553,29.4375,30.1896,193807.0
2019-05-10,30.0612,30.2341,29.3398,29.8932,103987.0
2019-05-11,30.0612,30.2341,29.3398,29.8932,103987.0
2019-05-12,30.0612,30.2341,29.3398,29.8932,103987.0
2019-05-13,29.3497,29.7647,28.6085,29.5868,86803.0
2019-05-14,29.3694,29.9031,29.2014,29.7153,599573.0
2019-05-15,29.409,30.5553,27.5709,29.745,106492.0
2019-05-16,29.745,31.1284,29.745,30.6343,91829.0
2019-05-17,30.3774,31.6225,30.1254,30.8221,86324.0
2019-05-18,30.3774,31.6225,30.1254,30.8221,86324.0
2019-05-19,30.3774,31.6225,30.1254,30.8221,86324.0
2019-05-20,30.6047,31.6225,30.5158,31.5138,197756.0
2019-05-21,31.6423,31.751,31.0593,31.4348,97517.0
2019-05-22,31.3557,31.8301,30.8814,31.583,138864.0
2019-05-23,31.3162,31.5237,30.4565,31.3656,94756.0
2019-05-24,31.336,31.4743,30.6739,30.7233,75862.0
2019-05-25,31.336,31.4743,30.6739,30.7233,75862.0
2019-05-26,31.336,31.4743,30.6739,30.7233,75862.0
2019-05-27,31.336,31.4743,30.6739,30.7233,75862.0
2019-05-28,30.7332,31.2964,30.2588,30.9604,457178.0
2019-05-29,30.743,30.9209,30.5059,30.6343,136881.0
2019-05-30,30.6146,30.7327,30.3675,30.6343,76784.0
2019-05-31,30.3478,30.4713,29.6461,29.7845,37700.0
2019-06-01,30.3478,30.4713,29.6461,29.7845,37700.0
2019-06-02,30.3478,30.4713,29.6461,29.7845,37700.0
2019-06-03,29.7153,29.7746,29.3991,29.6659,52464.0
2019-06-04,29.5572,29.7548,29.493,29.7548,160461.0
2019-06-05,29.6659,29.7548,29.1224,29.656,56537.0
2019-06-06,29.6363,29.9624,29.0433,29.4188,80806.0
2019-06-07,29.4781,30.0513,29.4386,29.7252,161579.0
2019-06-08,29.4781,30.0513,29.4386,29.7252,161579.0
2019-06-09,29.4781,30.0513,29.4386,29.7252,161579.0
2019-06-10,29.8932,31.1482,29.8932,30.664,288671.0
2019-06-11,30.8517,31.0247,30.6245,30.8122,163222.0
2019-06-12,30.8122,30.8122,30.3576,30.7529,125906.0
2019-06-13,30.743,30.8814,30.5059,30.6936,101479.0
2019-06-14,31.919,31.919,30.328,30.7925,177236.0
2019-06-15,31.919,31.919,30.328,30.7925,177236.0
2019-06-16,31.919,31.919,30.328,30.7925,177236.0
2019-06-17,30.6343,31.0099,29.8339,30.0908,188381.0
2019-06-18,30.2391,30.496,29.8537,30.0217,126663.0
2019-06-19,29.3299,29.4979,28.2231,28.5789,538184.0
2019-06-20,30.3873,30.8221,29.4386,29.4683,1596816.0
2019-06-21,29.4781,30.3478,29.3793,29.9327,437555.0
2019-06-22,29.4781,30.3478,29.3793,29.9327,437555.0
2019-06-23,29.4781,30.3478,29.3793,29.9327,437555.0
2019-06-24,30.2094,30.2094,28.8259,28.8259,346164.0
2019-06-25,30.4367,30.5652,29.9426,30.0217,1111623.0
2019-06-26,29.992,30.2391,29.8537,29.8537,676911.0
2019-06-27,29.8438,30.1106,29.8141,29.9624,513030.0
2019-06-28,29.7944,29.9821,29.1916,29.3991,3082705.0
2019-06-29,29.7944,29.9821,29.1916,29.3991,3082705.0
2019-06-30,29.7944,29.9821,29.1916,29.3991,3082705.0
2019-07-01,29.4979,29.5795,28.7666,28.7864,320258.0
2019-07-02,28.7765,29.0433,28.7073,28.8457,509673.0
2019-07-03,28.905,28.905,28.7073,28.8259,72050.0
2019-07-04,28.905,28.905,28.7073,28.8259,72050.0
2019-07-05,28.8655,28.9149,27.8476,28.7864,202332.0
2019-07-06,28.8655,28.9149,27.8476,28.7864,202332.0
2019-07-07,28.8655,28.9149,27.8476,28.7864,202332.0
2019-07-08,28.7269,29.0046,28.5484,28.8558,173631.0
2019-07-09,28.7963,28.8161,28.3303,28.6575,206784.0
2019-07-10,28.7567,28.7567,28.3947,28.4592,164998.0
2019-07-11,28.4988,28.5087,26.9817,27.1403,886886.0
2019-07-12,27.299,28.9103,27.2692,28.7269,246561.0
2019-07-13,27.299,28.9103,27.2692,28.7269,246561.0
2019-07-14,27.299,28.9103,27.2692,28.7269,246561.0
2019-07-15,28.7567,28.9252,28.5187,28.7071,119898.0
2019-07-16,28.6872,28.6972,27.7254,28.2608,433565.0
2019-07-17,28.2608,28.4096,27.6262,28.0427,452486.0
2019-07-18,28.1121,28.5087,28.1121,28.2608,461334.0
2019-07-19,28.2509,28.479,27.6361,27.7055,376827.0
2019-07-20,28.2509,28.479,27.6361,27.7055,376827.0
2019-07-21,28.2509,28.479,27.6361,27.7055,376827.0
2019-07-22,27.8146,28.1617,27.3089,27.894,1057918.0
2019-07-23,27.9733,28.2113,27.8146,27.9634,1062026.0
2019-07-24,27.8444,28.0625,27.5171,27.894,593662.0
2019-07-25,27.8146,27.8642,27.1998,27.2891,998335.0
2019-07-26,27.3188,28.2856,27.3188,27.3981,265388.0
2019-07-27,27.3188,28.2856,27.3188,27.3981,265388.0
2019-07-28,27.3188,28.2856,27.3188,27.3981,265388.0
2019-07-29,26.7734,26.9728,25.7818,26.0991,598272.0
2019-07-30,26.0595,26.0793,25.0183,25.8512,638170.0
2019-07-31,25.8017,26.4462,25.5736,26.1686,432541.0
2019-08-01,26.1686,27.18,25.7025,25.9801,396588.0
2019-08-02,25.7818,25.7917,24.9786,25.1075,284041.0
2019-08-03,25.7818,25.7917,24.9786,25.1075,284041.0
2019-08-04,25.7818,25.7917,24.9786,25.1075,284041.0
2019-08-05,24.7704,24.82,24.1258,24.3936,344004.0
2019-08-06,24.4927,24.7605,23.3127,23.3127,571577.0
2019-08-07,23.0549,23.7094,23.0351,23.2631,252616.0
2019-08-08,23.2631,23.7986,23.2235,23.4813,324950.0
2019-08-09,23.3623,23.7994,23.2036,23.2136,326551.0
2019-08-10,23.3623,23.7994,23.2036,23.2136,326551.0
2019-08-11,23.3623,23.7994,23.2036,23.2136,326551.0
2019-08-12,22.2319,23.045,20.3776,20.4767,837257.0
2019-08-13,20.3181,21.4187,20.1792,20.8932,2020072.0
2019-08-14,20.675,21.508,20.4271,21.1014,1875115.0
2019-08-15,21.1907,22.1426,21.0965,21.2601,1442770.0
2019-08-16,21.2998,21.3196,20.8083,21.2799,312703.0
2019-08-17,21.2998,21.3196,20.8083,21.2799,312703.0
2019-08-18,21.2998,21.3196,20.8083,21.2799,312703.0
2019-08-19,21.4584,21.8154,21.27,21.627,160434.0
2019-08-20,21.5278,22.2914,21.5278,22.0633,283851.0
2019-08-21,22.212,22.45,21.9542,22.0137,251595.0
2019-08-22,22.0236,22.0732,21.6468,22.0633,147719.0
2019-08-23,21.9245,21.9245,21.1014,21.151,340385.0
2019-08-24,21.9245,21.9245,21.1014,21.151,340385.0
2019-08-25,21.9245,21.9245,21.1014,21.151,340385.0
2019-08-26,21.2601,21.4485,21.0816,21.1708,122090.0
2019-08-27,21.6369,21.7856,21.1708,21.389,390318.0
2019-08-28,21.2898,21.7658,21.2898,21.6766,198055.0
2019-08-29,21.8253,22.4004,21.6518,22.3112,219976.0
2019-08-30,22.3211,22.6483,22.0831,22.4599,142284.0
2019-08-31,22.3211,22.6483,22.0831,22.4599,142284.0
2019-09-01,22.3211,22.6483,22.0831,22.4599,142284.0
2019-09-02,22.3211,22.6483,22.0831,22.4599,142284.0
2019-09-03,22.3608,22.4302,21.9344,22.0038,230072.0
2019-09-04,22.1228,22.3112,21.5377,21.6171,239934.0
2019-09-05,21.8253,22.7376,21.6716,22.5888,1264527.0
2019-09-06,22.6979,22.8467,22.3608,22.7178,199517.0
2019-09-07,22.6979,22.8467,22.3608,22.7178,199517.0
2019-09-08,22.6979,22.8467,22.3608,22.7178,199517.0
2019-09-09,22.7475,22.9062,22.4599,22.5591,226337.0
2019-09-10,22.6087,23.2036,22.2517,23.2036,437640.0
2019-09-11,23.2036,24.1159,23.2036,23.9077,370625.0
2019-09-12,23.9771,24.0465,23.6598,23.8779,265363.0
2019-09-13,23.9672,24.2052,23.6747,23.9374,198336.0
2019-09-14,23.9672,24.2052,23.6747,23.9374,198336.0
2019-09-15,23.9672,24.2052,23.6747,23.9374,198336.0
2019-09-16,23.8779,24.0465,23.521,23.7391,104147.0
2019-09-17,23.6399,23.7589,23.2582,23.521,91761.0
2019-09-18,23.511,23.511,23.0053,23.1541,174150.0
2019-09-19,23.2136,23.4912,22.9062,23.0152,111298.0
2019-09-20,22.9855,23.2036,22.6781,22.9062,312744.0
2019-09-21,22.9855,23.2036,22.6781,22.9062,312744.0
2019-09-22,22.9855,23.2036,22.6781,22.9062,312744.0
2019-09-23,22.807,23.0252,22.6285,22.8665,200354.0
2019-09-24,22.9359,23.1937,22.4897,22.5194,246643.0
2019-09-25,22.5789,22.9954,22.2219,22.2517,132850.0
2019-09-26,22.1327,22.2517,21.7162,21.8848,109735.0
2019-09-27,21.974,22.0831,21.7063,21.8848,106418.0
2019-09-28,21.974,22.0831,21.7063,21.8848,106418.0
2019-09-29,21.974,22.0831,21.7063,21.8848,106418.0
2019-09-30,21.865,23.1144,21.865,22.6384,152818.0
2019-10-01,22.8268,23.2929,22.3806,22.4699,111386.0
2019-10-02,22.3509,22.4252,21.8253,21.9939,311344.0
2019-10-03,21.9344,22.0831,21.151,21.2006,311513.0
2019-10-04,21.2303,21.9245,21.0915,21.8947,197298.0
2019-10-05,21.2303,21.9245,21.0915,21.8947,197298.0
2019-10-06,21.2303,21.9245,21.0915,21.8947,197298.0
2019-10-07,21.8947,23.283,21.622,22.7673,296220.0
2019-10-08,22.5591,22.6087,22.103,22.2517,96056.0
2019-10-09,22.2517,22.4203,22.2219,22.3806,75096.0
2019-10-10,22.1823,22.5541,22.1823,22.3707,817292.0
2019-10-11,22.6297,23.1576,22.6297,22.9882,147681.0
2019-10-12,22.6297,23.1576,22.6297,22.9882,147681.0
2019-10-13,22.6297,23.1576,22.6297,22.9882,147681.0
2019-10-14,22.8588,23.1675,22.7293,23.1376,48357.0
2019-10-15,23.0878,23.6556,22.9783,23.4464,122396.0
2019-10-16,23.307,23.6556,22.7591,22.799,79444.0
2019-10-17,22.8687,23.307,22.7791,22.8189,163059.0
2019-10-18,22.7492,23.4066,22.7492,23.297,107312.0
2019-10-19,22.7492,23.4066,22.7492,23.297,107312.0
2019-10-20,22.7492,23.4066,22.7492,23.297,107312.0
2019-10-21,23.4564,23.805,23.4564,23.6456,108039.0
2019-10-22,23.5659,24.7711,23.5659,24.303,136951.0
2019-10-23,24.303,24.4823,23.8236,24.3528,182787.0
2019-10-24,24.3329,24.3727,24.1934,24.2034,411340.0
2019-10-25,24.2731,24.303,23.9444,24.1038,150727.0
2019-10-26,24.2731,24.303,23.9444,24.1038,150727.0
2019-10-27,24.2731,24.303,23.9444,24.1038,150727.0
2019-10-28,24.2532,24.9106,24.2532,24.6815,116182.0
2019-10-29,24.6018,24.9006,24.4823,24.6118,61871.0
2019-10-30,24.6516,24.7313,24.2831,24.4424,106701.0
2019-10-31,24.5022,25.0301,24.3926,25.0002,226006.0
2019-11-01,25.0998,25.2193,24.7014,25.0002,103773.0
2019-11-02,25.0998,25.2193,24.7014,25.0002,103773.0
2019-11-03,25.0998,25.2193,24.7014,25.0002,103773.0
2019-11-04,25.1496,25.4683,25.0998,25.3289,84400.0
2019-11-05,25.3986,25.5679,25.0301,25.0799,134937.0
2019-11-06,24.9902,25.1645,24.8906,24.9803,98507.0
2019-11-07,25.0799,25.1496,24.7319,25.0002,264017.0
2019-11-08,25.0002,25.0002,24.6416,24.7811,71496.0
2019-11-09,25.0002,25.0002,24.6416,24.7811,71496.0
2019-11-10,25.0002,25.0002,24.6416,24.7811,71496.0
2019-11-11,24.6018,24.8707,24.6018,24.801,124348.0
2019-11-12,24.7014,24.9006,24.4922,24.7114,404724.0
2019-11-13,24.6914,24.9006,24.5918,24.6815,70955.0
2019-11-14,24.6914,24.8674,24.1536,24.1835,146786.0
2019-11-15,22.9384,23.6755,21.5341,22.7193,696125.0
2019-11-16,22.9384,23.6755,21.5341,22.7193,696125.0
2019-11-17,22.9384,23.6755,21.5341,22.7193,696125.0
2019-11-18,22.5599,23.048,22.3607,23.0181,168214.0
2019-11-19,23.0281,23.1675,22.4305,22.6097,313555.0
2019-11-20,22.4803,22.8637,22.4603,22.4803,267919.0
2019-11-21,22.4404,23.0779,22.3906,22.8388,185282.0
2019-11-22,22.9285,23.2472,22.8588,23.0779,121728.0
2019-11-23,22.9285,23.2472,22.8588,23.0779,121728.0
2019-11-24,22.9285,23.2472,22.8588,23.0779,121728.0
2019-11-25,23.1476,23.4862,23.0878,23.1576,177491.0
2019-11-26,23.0779,23.4862,23.058,23.307,816441.0
2019-11-27,23.3568,23.8149,23.2173,23.7153,272456.0
2019-11-28,23.3568,23.8149,23.2173,23.7153,272456.0
2019-11-29,23.6356,24.3926,23.6356,24.2034,199621.0
2019-11-30,23.6356,24.3926,23.6356,24.2034,199621.0
2019-12-01,23.6356,24.3926,23.6356,24.2034,199621.0
2019-12-02,24.1835,24.5022,23.7153,23.795,240103.0
2019-12-03,23.5261,23.8349,23.3866,23.6356,166611.0
2019-12-04,23.6655,23.7751,23.1078,23.297,182199.0
2019-12-05,23.3368,23.7104,23.3269,23.556,199781.0
2019-12-06,23.7153,23.9046,23.2173,23.7851,249952.0
2019-12-07,23.7153,23.9046,23.2173,23.7851,249952.0
2019-12-08,23.7153,23.9046,23.2173,23.7851,249952.0
2019-12-09,23.7253,24.2831,23.4364,23.5062,207299.0
2019-12-10,23.4165,24.0639,23.3269,23.8946,162509.0
2019-12-11,23.9245,24.2333,23.9145,24.0241,130945.0
2019-12-12,24.0241,24.8952,24.0241,24.6118,247056.0
2019-12-13,24.6118,25.1795,24.5669,25.0998,267926.0
2019-12-14,24.6118,25.1795,24.5669,25.0998,267926.0
2019-12-15,24.6118,25.1795,24.5669,25.0998,267926.0
2019-12-16,25.06,25.4982,25.0002,25.0799,278528.0
2019-12-17,25.1396,25.4484,24.6018,24.7014,237213.0
2019-12-18,24.7711,25.9464,24.7711,25.7373,278778.0
2019-12-19,25.6078,25.6078,24.9106,25.289,154142.0
2019-12-20,25.4185,25.9365,25.4185,25.7572,598069.0
2019-12-21,25.4185,25.9365,25.4185,25.7572,598069.0
2019-12-22,25.4185,25.9365,25.4185,25.7572,598069.0
2019-12-23,25.7871,26.1357,25.6377,26.0161,161879.0
2019-12-24,26.0261,26.2154,25.807,25.8369,101668.0
2019-12-25,26.0261,26.2154,25.807,25.8369,101668.0
2019-12-26,25.8867,26.1656,25.8867,26.0361,85804.0
2019-12-27,26.1456,26.2054,25.8767,25.9265,118325.0
2019-12-28,26.1456,26.2054,25.8767,25.9265,118325.0
2019-12-29,26.1456,26.2054,25.8767,25.9265,118325.0
2019-12-30,26.0161,26.0361,25.6078,25.6177,115226.0
2019-12-31,25.5381,25.7173,25.3986,25.548,160801.0
2020-01-01,25.5381,25.7173,25.3986,25.548,160801.0
2020-01-02,25.7871,25.9165,25.0052,25.1795,178784.0
2020-01-03,24.9604,25.3189,24.8608,25.0898,159581.0
2020-01-04,24.9604,25.3189,24.8608,25.0898,159581.0
2020-01-05,24.9604,25.3189,24.8608,25.0898,159581.0
2020-01-06,24.8707,26.1058,24.7014,25.7273,212251.0
2020-01-07,25.4883,25.807,25.3787,25.6177,141050.0
2020-01-08,25.6775,26.1855,25.6775,25.8966,324681.0
2020-01-09,26.1954,26.295,26.0261,26.0659,211779.0
2020-01-10,26.1556,26.564,26.1556,26.4644,179424.0
2020-01-11,26.1556,26.564,26.1556,26.4644,179424.0
2020-01-12,26.1556,26.564,26.1556,26.4644,179424.0
2020-01-13,26.3648,26.793,25.4683,25.6576,94871.0
2020-01-14,25.6377,26.1855,25.4584,25.548,38189.0
2020-01-15,25.548,25.9564,25.2492,25.807,47444.0
2020-01-16,25.9564,26.0859,25.6675,25.8867,54755.0
2020-01-17,26.046,26.046,25.543,25.7074,44081.0
2020-01-18,26.046,26.046,25.543,25.7074,44081.0
2020-01-19,26.046,26.046,25.543,25.7074,44081.0
2020-01-20,26.046,26.046,25.543,25.7074,44081.0
2020-01-21,25.5679,25.6177,25.299,25.5381,46403.0
2020-01-22,25.5879,26.1357,25.5879,25.797,70018.0
2020-01-23,25.6775,26.1357,25.4584,26.046,77802.0
2020-01-24,26.1556,26.3946,26.0261,26.1157,84164.0
2020-01-25,26.1556,26.3946,26.0261,26.1157,84164.0
2020-01-26,26.1556,26.3946,26.0261,26.1157,84164.0
2020-01-27,25.797,26.3946,25.2492,26.1656,53363.0
2020-01-28,26.3946,26.7831,26.2054,26.554,80836.0
2020-01-29,26.554,26.9723,26.3249,26.6337,86115.0
2020-01-30,26.544,27.3409,26.3648,27.0022,282946.0
2020-01-31,26.9424,27.2512,26.0161,26.544,136993.0
2020-02-01,26.9424,27.2512,26.0161,26.544,136993.0
2020-02-02,26.9424,27.2512,26.0161,26.544,136993.0
2020-02-03,26.5938,26.8628,25.8568,26.056,88331.0
2020-02-04,26.046,26.4245,25.7771,25.8966,89352.0
2020-02-05,25.8767,26.6038,25.6576,26.3349,125223.0
2020-02-06,26.295,26.7632,26.1556,26.4245,87709.0
2020-02-07,26.4843,26.5241,26.0261,26.305,50735.0
2020-02-08,26.4843,26.5241,26.0261,26.305,50735.0
2020-02-09,26.4843,26.5241,26.0261,26.305,50735.0
2020-02-10,26.2253,26.6287,26.056,26.5341,33502.0
2020-02-11,27.4405,29.572,27.4405,29.4225,365392.0
2020-02-12,29.8807,30.3289,29.6024,29.7512,144211.0
2020-02-13,29.821,29.821,29.2333,29.4823,80114.0
2020-02-14,29.4923,29.7811,29.3628,29.6118,64957.0
2020-02-15,29.4923,29.7811,29.3628,29.6118,64957.0
2020-02-16,29.4923,29.7811,29.3628,29.6118,64957.0
2020-02-17,29.4923,29.7811,29.3628,29.6118,64957.0
2020-02-18,29.6815,29.7811,29.303,29.5819,72936.0
2020-02-19,29.572,29.7413,29.4624,29.6018,103023.0
2020-02-20,29.5919,29.8309,29.4923,29.4923,138649.0
2020-02-21,29.4923,29.6616,29.0042,29.3727,129398.0
2020-02-22,29.4923,29.6616,29.0042,29.3727,129398.0
2020-02-23,29.4923,29.6616,29.0042,29.3727,129398.0
2020-02-24,28.6457,29.4425,28.4564,29.0939,120266.0
2020-02-25,29.2034,29.2034,27.6695,27.7193,186363.0
2020-02-26,27.8488,27.8488,26.8071,27.0819,150898.0
2020-02-27,26.6436,27.0919,25.8867,26.5341,165077.0
2020-02-28,25.7273,26.0859,25.1994,25.8966,440081.0
2020-02-29,25.7273,26.0859,25.1994,25.8966,440081.0
2020-03-01,25.7273,26.0859,25.1994,25.8966,440081.0
2020-03-02,26.0659,26.0659,24.7512,25.7871,190141.0
2020-03-03,25.8667,26.4544,25.0898,25.7572,265367.0
2020-03-04,25.9165,25.9165,24.552,25.05,251280.0
2020-03-05,24.81,24.81,22.675,22.89,265965.0
2020-03-06,22.18,23.25,22.0,22.68,173347.0
2020-03-07,22.18,23.25,22.0,22.68,173347.0
2020-03-08,22.18,23.25,22.0,22.68,173347.0
2020-03-09,20.75,21.635,20.26,21.0,214683.0
2020-03-10,21.48,21.48,20.445,21.07,229282.0
2020-03-11,20.58,20.77,19.09,19.49,195012.0
2020-03-12,18.15,18.15,15.86,16.53,1754310.0
2020-03-13,17.03,17.515,15.74,16.55,339900.0
2020-03-14,17.03,17.515,15.74,16.55,339900.0
2020-03-15,17.03,17.515,15.74,16.55,339900.0
2020-03-16,14.41,15.1,11.78,12.47,782306.0
2020-03-17,12.69,12.9,10.71,11.14,543496.0
2020-03-18,10.64,10.68,7.4001,7.67,239195.0
2020-03-19,7.58,8.74,7.22,8.67,424934.0
2020-03-20,8.99,10.06,7.41,7.65,894164.0
2020-03-21,8.99,10.06,7.41,7.65,894164.0
2020-03-22,8.99,10.06,7.41,7.65,894164.0
2020-03-23,8.07,8.07,7.23,7.78,903205.0
2020-03-24,8.17,10.84,8.17,10.76,454809.0
2020-03-25,10.9,13.455,10.83,13.03,455654.0
2020-03-26,13.19,14.73,13.19,14.38,311685.0
2020-03-27,13.56,14.12,12.96,13.15,488280.0
2020-03-28,13.56,14.12,12.96,13.15,488280.0
2020-03-29,13.56,14.12,12.96,13.15,488280.0
2020-03-30,12.9,13.32,12.05,12.65,367984.0
2020-03-31,12.27,13.3,12.27,13.01,285712.0
2020-04-01,12.29,12.3,10.71,11.08,254566.0
2020-04-02,10.77,11.34,10.46,10.67,279887.0
2020-04-03,10.69,11.48,9.32,10.23,221524.0
2020-04-04,10.69,11.48,9.32,10.23,221524.0
2020-04-05,10.69,11.48,9.32,10.23,221524.0
2020-04-06,10.93,12.5,10.93,12.0,195100.0
2020-04-07,12.73,13.97,11.61,12.08,406968.0
2020-04-08,12.56,14.04,12.31,13.6,275833.0
2020-04-09,14.31,15.1,13.16,13.97,371862.0
2020-04-10,14.31,15.1,13.16,13.97,371862.0
2020-04-11,14.31,15.1,13.16,13.97,371862.0
2020-04-12,14.31,15.1,13.16,13.97,371862.0
2020-04-13,13.87,14.19,12.53,13.16,281754.0
2020-04-14,13.46,14.35,13.23,13.56,153730.0
2020-04-15,12.97,13.05,12.0,12.35,235812.0
2020-04-16,12.12,12.2,11.32,11.92,232565.0
2020-04-17,13.03,13.2366,11.47,11.85,361481.0
2020-04-18,13.03,13.2366,11.47,11.85,361481.0
2020-04-19,13.03,13.2366,11.47,11.85,361481.0
2020-04-20,12.15,12.18,11.09,11.36,299237.0
2020-04-21,10.81,11.6,10.7,11.43,226826.0
2020-04-22,11.92,11.94,11.24,11.36,140153.0
2020-04-23,11.49,11.85,11.35,11.57,538701.0
2020-04-24,12.5,14.17,12.5,13.72,777520.0
2020-04-25,12.5,14.17,12.5,13.72,777520.0
2020-04-26,12.5,14.17,12.5,13.72,777520.0
2020-04-27,13.99,14.56,13.8162,14.1,517796.0
2020-04-28,15.07,15.9599,14.22,14.93,395193.0
2020-04-29,16.0,16.3748,15.52,16.0,533941.0
2020-04-30,15.99,16.04,15.0322,15.78,309129.0
2020-05-01,15.03,15.19,14.45,14.98,353966.0
2020-05-02,15.03,15.19,14.45,14.98,353966.0
2020-05-03,15.03,15.19,14.45,14.98,353966.0
2020-05-04,14.46,15.0423,13.9,14.94,191341.0
2020-05-05,15.32,15.4687,14.81,15.01,151136.0
2020-05-06,15.35,15.35,14.71,14.82,185009.0
2020-05-07,14.99,15.43,14.56,15.38,179520.0
2020-05-08,15.93,16.505,15.57,16.25,356470.0
2020-05-09,15.93,16.505,15.57,16.25,356470.0
2020-05-10,15.93,16.505,15.57,16.25,356470.0
2020-05-11,16.22,16.54,15.4,16.46,286710.0
2020-05-12,16.55,16.79,15.88,16.03,199159.0
2020-05-13,15.5,15.92,14.955,15.01,424389.0
2020-05-14,14.19,15.86,14.15,15.18,232556.0
