,ROG SW Equity
2010-09-16,
2010-09-17,
2010-09-18,
2010-09-19,
2010-09-20,
2010-09-21,3.268
2010-09-22,3.242
2010-09-23,3.221
2010-09-24,3.183
2010-09-25,3.183
2010-09-26,3.183
2010-09-27,3.118
2010-09-28,3.097
2010-09-29,3.128
2010-09-30,3.192
2010-10-01,3.225
2010-10-02,3.225
2010-10-03,3.225
2010-10-04,3.206
2010-10-05,3.271
2010-10-06,3.292
2010-10-07,3.309
2010-10-08,3.309
2010-10-09,3.309
2010-10-10,3.309
2010-10-11,3.306
2010-10-12,3.228
2010-10-13,3.309
2010-10-14,3.292
2010-10-15,3.375
2010-10-16,3.375
2010-10-17,3.375
2010-10-18,3.408
2010-10-19,3.418
2010-10-20,3.423
2010-10-21,3.406
2010-10-22,3.397
2010-10-23,3.397
2010-10-24,3.397
2010-10-25,3.413
2010-10-26,3.394
2010-10-27,3.454
2010-10-28,3.458
2010-10-29,3.437
2010-10-30,3.437
2010-10-31,3.437
2010-11-01,3.473
2010-11-02,3.497
2010-11-03,3.451
2010-11-04,3.456
2010-11-05,3.411
2010-11-06,3.411
2010-11-07,3.411
2010-11-08,3.401
2010-11-09,3.389
2010-11-10,3.394
2010-11-11,3.387
2010-11-12,3.373
2010-11-13,3.373
2010-11-14,3.373
2010-11-15,3.413
2010-11-16,3.389
2010-11-17,3.435
2010-11-18,3.485
2010-11-19,3.461
2010-11-20,3.461
2010-11-21,3.461
2010-11-22,3.411
2010-11-23,3.33
2010-11-24,3.332
2010-11-25,3.33
2010-11-26,3.344
2010-11-27,3.344
2010-11-28,3.344
2010-11-29,3.297
2010-11-30,3.278
2010-12-01,3.292
2010-12-02,3.313
2010-12-03,3.292
2010-12-04,3.292
2010-12-05,3.292
2010-12-06,3.266
2010-12-07,3.282
2010-12-08,3.354
2010-12-09,3.394
2010-12-10,3.37
2010-12-11,3.37
2010-12-12,3.37
2010-12-13,3.368
2010-12-14,3.382
2010-12-15,3.359
2010-12-16,3.33
2010-12-17,3.294
2010-12-18,3.294
2010-12-19,3.294
2010-12-20,3.29
2010-12-21,3.287
2010-12-22,3.271
2010-12-23,3.306
2010-12-24,3.306
2010-12-25,3.306
2010-12-26,3.306
2010-12-27,3.299
2010-12-28,3.309
2010-12-29,3.311
2010-12-30,3.259
2010-12-31,3.259
2011-01-01,3.259
2011-01-02,3.259
2011-01-03,3.254
2011-01-04,3.266
2011-01-05,3.271
2011-01-06,3.261
2011-01-07,3.225
2011-01-08,3.225
2011-01-09,3.225
2011-01-10,3.19
2011-01-11,3.206
2011-01-12,3.263
2011-01-13,3.244
2011-01-14,3.268
2011-01-15,3.268
2011-01-16,3.268
2011-01-17,3.335
2011-01-18,3.342
2011-01-19,3.359
2011-01-20,3.342
2011-01-21,3.349
2011-01-22,3.349
2011-01-23,3.349
2011-01-24,3.416
2011-01-25,3.425
2011-01-26,3.458
2011-01-27,3.451
2011-01-28,3.428
2011-01-29,3.428
2011-01-30,3.428
2011-01-31,3.416
2011-02-01,3.437
2011-02-02,3.425
2011-02-03,3.373
2011-02-04,3.349
2011-02-05,3.349
2011-02-06,3.349
2011-02-07,3.347
2011-02-08,3.354
2011-02-09,3.344
2011-02-10,3.354
2011-02-11,3.382
2011-02-12,3.382
2011-02-13,3.382
2011-02-14,3.354
2011-02-15,3.316
2011-02-16,3.323
2011-02-17,3.29
2011-02-18,3.292
2011-02-19,3.292
2011-02-20,3.292
2011-02-21,3.292
2011-02-22,3.259
2011-02-23,3.271
2011-02-24,3.252
2011-02-25,3.266
2011-02-26,3.266
2011-02-27,3.266
2011-02-28,3.332
2011-03-01,3.325
2011-03-02,3.282
2011-03-03,3.355
2011-03-04,3.337
2011-03-05,3.337
2011-03-06,3.337
2011-03-07,3.3
2011-03-08,3.3
2011-03-09,3.29
2011-03-10,3.297
2011-03-11,3.292
2011-03-12,3.292
2011-03-13,3.292
2011-03-14,3.267
2011-03-15,3.18
2011-03-16,3.133
2011-03-17,3.138
2011-03-18,3.13
2011-03-19,3.13
2011-03-20,3.13
2011-03-21,3.18
2011-03-22,3.215
2011-03-23,3.24
2011-03-24,3.255
2011-03-25,3.252
2011-03-26,3.252
2011-03-27,3.252
2011-03-28,3.252
2011-03-29,3.257
2011-03-30,3.292
2011-03-31,3.277
2011-04-01,3.335
2011-04-02,3.335
2011-04-03,3.335
2011-04-04,3.322
2011-04-05,3.32
2011-04-06,3.317
2011-04-07,3.345
2011-04-08,3.342
2011-04-09,3.342
2011-04-10,3.342
2011-04-11,3.36
2011-04-12,3.337
2011-04-13,3.325
2011-04-14,3.32
2011-04-15,3.335
2011-04-16,3.335
2011-04-17,3.335
2011-04-18,3.307
2011-04-19,3.325
2011-04-20,3.405
2011-04-21,3.412
2011-04-22,3.412
2011-04-23,3.412
2011-04-24,3.412
2011-04-25,3.412
2011-04-26,3.405
2011-04-27,3.417
2011-04-28,3.467
2011-04-29,3.505
2011-04-30,3.505
2011-05-01,3.505
2011-05-02,3.545
2011-05-03,3.582
2011-05-04,3.542
2011-05-05,3.56
2011-05-06,3.635
2011-05-07,3.635
2011-05-08,3.635
2011-05-09,3.595
2011-05-10,3.637
2011-05-11,3.697
2011-05-12,3.705
2011-05-13,3.732
2011-05-14,3.732
2011-05-15,3.732
2011-05-16,3.76
2011-05-17,3.707
2011-05-18,3.747
2011-05-19,3.747
2011-05-20,3.717
2011-05-21,3.717
2011-05-22,3.717
2011-05-23,3.657
2011-05-24,3.667
2011-05-25,3.69
2011-05-26,3.7
2011-05-27,3.7
2011-05-28,3.7
2011-05-29,3.7
2011-05-30,3.672
2011-05-31,3.747
2011-06-01,3.707
2011-06-02,3.707
2011-06-03,3.672
2011-06-04,3.672
2011-06-05,3.672
2011-06-06,3.65
2011-06-07,3.627
2011-06-08,3.577
2011-06-09,3.562
2011-06-10,3.515
2011-06-11,3.515
2011-06-12,3.515
2011-06-13,3.515
2011-06-14,3.552
2011-06-15,3.497
2011-06-16,3.492
2011-06-17,3.492
2011-06-18,3.492
2011-06-19,3.492
2011-06-20,3.48
2011-06-21,3.5
2011-06-22,3.455
2011-06-23,3.43
2011-06-24,3.427
2011-06-25,3.427
2011-06-26,3.427
2011-06-27,3.452
2011-06-28,3.437
2011-06-29,3.497
2011-06-30,3.515
2011-07-01,3.525
2011-07-02,3.525
2011-07-03,3.525
2011-07-04,3.525
2011-07-05,3.492
2011-07-06,3.447
2011-07-07,3.445
2011-07-08,3.402
2011-07-09,3.402
2011-07-10,3.402
2011-07-11,3.372
2011-07-12,3.41
2011-07-13,3.415
2011-07-14,3.395
2011-07-15,3.402
2011-07-16,3.402
2011-07-17,3.402
2011-07-18,3.397
2011-07-19,3.447
2011-07-20,3.49
2011-07-21,3.535
2011-07-22,3.572
2011-07-23,3.572
2011-07-24,3.572
2011-07-25,3.645
2011-07-26,3.637
2011-07-27,3.605
2011-07-28,3.582
2011-07-29,3.537
2011-07-30,3.537
2011-07-31,3.537
2011-08-01,3.537
2011-08-02,3.382
2011-08-03,3.422
2011-08-04,3.325
2011-08-05,3.207
2011-08-06,3.207
2011-08-07,3.207
2011-08-08,3.093
2011-08-09,3.078
2011-08-10,2.923
2011-08-11,3.035
2011-08-12,3.165
2011-08-13,3.165
2011-08-14,3.165
2011-08-15,3.217
2011-08-16,3.282
2011-08-17,3.337
2011-08-18,3.265
2011-08-19,3.197
2011-08-20,3.197
2011-08-21,3.197
2011-08-22,3.292
2011-08-23,3.345
2011-08-24,3.385
2011-08-25,3.375
2011-08-26,3.41
2011-08-27,3.41
2011-08-28,3.41
2011-08-29,3.445
2011-08-30,3.47
2011-08-31,3.525
2011-09-01,3.577
2011-09-02,3.475
2011-09-03,3.475
2011-09-04,3.475
2011-09-05,3.367
2011-09-06,3.515
2011-09-07,3.547
2011-09-08,3.565
2011-09-09,3.522
2011-09-10,3.522
2011-09-11,3.522
2011-09-12,3.41
2011-09-13,3.402
2011-09-14,3.435
2011-09-15,3.445
2011-09-16,3.41
2011-09-17,3.41
2011-09-18,3.41
2011-09-19,3.347
2011-09-20,3.447
2011-09-21,3.47
2011-09-22,3.382
2011-09-23,3.412
2011-09-24,3.412
2011-09-25,3.412
2011-09-26,3.5
2011-09-27,3.612
2011-09-28,3.612
2011-09-29,3.657
2011-09-30,3.675
2011-10-01,3.675
2011-10-02,3.675
2011-10-03,3.667
2011-10-04,3.647
2011-10-05,3.617
2011-10-06,3.662
2011-10-07,3.727
2011-10-08,3.727
2011-10-09,3.727
2011-10-10,3.74
2011-10-11,3.72
2011-10-12,3.685
2011-10-13,3.52
2011-10-14,3.565
2011-10-15,3.565
2011-10-16,3.565
2011-10-17,3.537
2011-10-18,3.562
2011-10-19,3.555
2011-10-20,3.572
2011-10-21,3.605
2011-10-22,3.605
2011-10-23,3.605
2011-10-24,3.577
2011-10-25,3.527
2011-10-26,3.56
2011-10-27,3.585
2011-10-28,3.625
2011-10-29,3.625
2011-10-30,3.625
2011-10-31,3.615
2011-11-01,3.55
2011-11-02,3.527
2011-11-03,3.572
2011-11-04,3.585
2011-11-05,3.585
2011-11-06,3.585
2011-11-07,3.547
2011-11-08,3.57
2011-11-09,3.517
2011-11-10,3.477
2011-11-11,3.517
2011-11-12,3.517
2011-11-13,3.517
2011-11-14,3.547
2011-11-15,3.562
2011-11-16,3.585
2011-11-17,3.58
2011-11-18,3.562
2011-11-19,3.562
2011-11-20,3.562
2011-11-21,3.427
2011-11-22,3.415
2011-11-23,3.407
2011-11-24,3.365
2011-11-25,3.415
2011-11-26,3.415
2011-11-27,3.415
2011-11-28,3.507
2011-11-29,3.537
2011-11-30,3.622
2011-12-01,3.68
2011-12-02,3.687
2011-12-03,3.687
2011-12-04,3.687
2011-12-05,3.682
2011-12-06,3.727
2011-12-07,3.717
2011-12-08,3.78
2011-12-09,3.859
2011-12-10,3.859
2011-12-11,3.859
2011-12-12,3.844
2011-12-13,3.887
2011-12-14,3.924
2011-12-15,3.989
2011-12-16,3.972
2011-12-17,3.972
2011-12-18,3.972
2011-12-19,3.957
2011-12-20,3.939
2011-12-21,3.904
2011-12-22,3.892
2011-12-23,3.937
2011-12-24,3.937
2011-12-25,3.937
2011-12-26,3.937
2011-12-27,3.937
2011-12-28,3.977
2011-12-29,3.974
2011-12-30,3.977
2011-12-31,3.977
2012-01-01,3.977
2012-01-02,3.977
2012-01-03,4.044
2012-01-04,4.064
2012-01-05,4.067
2012-01-06,4.104
2012-01-07,4.104
2012-01-08,4.104
2012-01-09,4.087
2012-01-10,4.077
2012-01-11,4.052
2012-01-12,4.079
2012-01-13,4.047
2012-01-14,4.047
2012-01-15,4.047
2012-01-16,4.119
2012-01-17,4.094
2012-01-18,4.127
2012-01-19,4.142
2012-01-20,4.077
2012-01-21,4.077
2012-01-22,4.077
2012-01-23,4.072
2012-01-24,4.112
2012-01-25,3.997
2012-01-26,4.002
2012-01-27,3.924
2012-01-28,3.924
2012-01-29,3.924
2012-01-30,3.879
2012-01-31,3.892
2012-02-01,3.832
2012-02-02,3.822
2012-02-03,3.919
2012-02-04,3.919
2012-02-05,3.919
2012-02-06,3.947
2012-02-07,4.022
2012-02-08,4.054
2012-02-09,4.084
2012-02-10,4.054
2012-02-11,4.054
2012-02-12,4.054
2012-02-13,4.102
2012-02-14,4.052
2012-02-15,4.057
2012-02-16,4.057
2012-02-17,4.042
2012-02-18,4.042
2012-02-19,4.042
2012-02-20,4.037
2012-02-21,4.037
2012-02-22,3.977
2012-02-23,4.007
2012-02-24,3.979
2012-02-25,3.979
2012-02-26,3.979
2012-02-27,3.972
2012-02-28,3.952
2012-02-29,3.934
2012-03-01,3.922
2012-03-02,3.932
2012-03-03,3.932
2012-03-04,3.932
2012-03-05,3.982
2012-03-06,3.959
2012-03-07,4.012
2012-03-08,4.108
2012-03-09,4.132
2012-03-10,4.132
2012-03-11,4.132
2012-03-12,4.127
2012-03-13,4.15
2012-03-14,4.179
2012-03-15,4.184
2012-03-16,4.171
2012-03-17,4.171
2012-03-18,4.171
2012-03-19,4.166
2012-03-20,4.166
2012-03-21,4.174
2012-03-22,4.137
2012-03-23,4.103
2012-03-24,4.103
2012-03-25,4.103
2012-03-26,4.132
2012-03-27,4.132
2012-03-28,4.168
2012-03-29,4.095
2012-03-30,4.098
2012-03-31,4.098
2012-04-01,4.098
2012-04-02,4.2
2012-04-03,4.181
2012-04-04,4.132
2012-04-05,4.108
2012-04-06,4.108
2012-04-07,4.108
2012-04-08,4.108
2012-04-09,4.108
2012-04-10,4.041
2012-04-11,4.025
2012-04-12,4.088
2012-04-13,4.095
2012-04-14,4.095
2012-04-15,4.095
2012-04-16,4.174
2012-04-17,4.207
2012-04-18,4.249
2012-04-19,4.288
2012-04-20,4.401
2012-04-21,4.401
2012-04-22,4.401
2012-04-23,4.335
2012-04-24,4.343
2012-04-25,4.369
2012-04-26,4.317
2012-04-27,4.304
2012-04-28,4.304
2012-04-29,4.304
2012-04-30,4.325
2012-05-01,4.325
2012-05-02,4.304
2012-05-03,4.317
2012-05-04,4.307
2012-05-05,4.307
2012-05-06,4.307
2012-05-07,4.158
2012-05-08,4.095
2012-05-09,4.095
2012-05-10,4.077
2012-05-11,4.098
2012-05-12,4.098
2012-05-13,4.098
2012-05-14,4.041
2012-05-15,4.038
2012-05-16,4.03
2012-05-17,4.03
2012-05-18,3.968
2012-05-19,3.968
2012-05-20,3.968
2012-05-21,3.978
2012-05-22,4.041
2012-05-23,3.954
2012-05-24,3.965
2012-05-25,3.975
2012-05-26,3.975
2012-05-27,3.975
2012-05-28,3.975
2012-05-29,3.981
2012-05-30,3.968
2012-05-31,3.954
2012-06-01,3.913
2012-06-02,3.913
2012-06-03,3.913
2012-06-04,3.892
2012-06-05,3.897
2012-06-06,3.986
2012-06-07,4.007
2012-06-08,4.012
2012-06-09,4.012
2012-06-10,4.012
2012-06-11,4.012
2012-06-12,4.074
2012-06-13,4.114
2012-06-14,4.098
2012-06-15,4.082
2012-06-16,4.082
2012-06-17,4.082
2012-06-18,4.074
2012-06-19,4.213
2012-06-20,4.2
2012-06-21,4.221
2012-06-22,4.215
2012-06-23,4.215
2012-06-24,4.215
2012-06-25,4.179
2012-06-26,4.244
2012-06-27,4.252
2012-06-28,4.249
2012-06-29,4.267
2012-06-30,4.267
2012-07-01,4.267
2012-07-02,4.299
2012-07-03,4.327
2012-07-04,4.343
2012-07-05,4.335
2012-07-06,4.346
2012-07-07,4.346
2012-07-08,4.346
2012-07-09,4.354
2012-07-10,4.361
2012-07-11,4.369
2012-07-12,4.361
2012-07-13,4.364
2012-07-14,4.364
2012-07-15,4.364
2012-07-16,4.406
2012-07-17,4.414
2012-07-18,4.455
2012-07-19,4.479
2012-07-20,4.461
2012-07-21,4.461
2012-07-22,4.461
2012-07-23,4.374
2012-07-24,4.361
2012-07-25,4.38
2012-07-26,4.382
2012-07-27,4.406
2012-07-28,4.406
2012-07-29,4.406
2012-07-30,4.427
2012-07-31,4.521
2012-08-01,4.521
2012-08-02,4.549
2012-08-03,4.552
2012-08-04,4.552
2012-08-05,4.552
2012-08-06,4.507
2012-08-07,4.523
2012-08-08,4.521
2012-08-09,4.541
2012-08-10,4.549
2012-08-11,4.549
2012-08-12,4.549
2012-08-13,4.557
2012-08-14,4.601
2012-08-15,4.594
2012-08-16,4.591
2012-08-17,4.581
2012-08-18,4.581
2012-08-19,4.581
2012-08-20,4.549
2012-08-21,4.549
2012-08-22,4.518
2012-08-23,4.5
2012-08-24,4.562
2012-08-25,4.562
2012-08-26,4.562
2012-08-27,4.588
2012-08-28,4.557
2012-08-29,4.528
2012-08-30,4.5
2012-08-31,4.534
2012-09-01,4.534
2012-09-02,4.534
2012-09-03,4.56
2012-09-04,4.513
2012-09-05,4.554
2012-09-06,4.633
2012-09-07,4.641
2012-09-08,4.641
2012-09-09,4.641
2012-09-10,4.573
2012-09-11,4.581
2012-09-12,4.541
2012-09-13,4.583
2012-09-14,4.591
2012-09-15,4.591
2012-09-16,4.591
2012-09-17,4.586
2012-09-18,4.594
2012-09-19,4.641
2012-09-20,4.625
2012-09-21,4.669
2012-09-22,4.669
2012-09-23,4.669
2012-09-24,4.661
2012-09-25,4.654
2012-09-26,4.62
2012-09-27,4.651
2012-09-28,4.583
2012-09-29,4.583
2012-09-30,4.583
2012-10-01,4.69
2012-10-02,4.682
2012-10-03,4.682
2012-10-04,4.721
2012-10-05,4.771
2012-10-06,4.771
2012-10-07,4.771
2012-10-08,4.774
2012-10-09,4.781
2012-10-10,4.727
2012-10-11,4.727
2012-10-12,4.758
2012-10-13,4.758
2012-10-14,4.758
2012-10-15,4.797
2012-10-16,4.815
2012-10-17,4.805
2012-10-18,4.854
2012-10-19,4.888
2012-10-20,4.888
2012-10-21,4.888
2012-10-22,4.852
2012-10-23,4.753
2012-10-24,4.729
2012-10-25,4.716
2012-10-26,4.75
2012-10-27,4.75
2012-10-28,4.75
2012-10-29,4.711
2012-10-30,4.703
2012-10-31,4.672
2012-11-01,4.68
2012-11-02,4.714
2012-11-03,4.714
2012-11-04,4.714
2012-11-05,4.721
2012-11-06,4.766
2012-11-07,4.721
2012-11-08,4.695
2012-11-09,4.69
2012-11-10,4.69
2012-11-11,4.69
2012-11-12,4.674
2012-11-13,4.7
2012-11-14,4.693
2012-11-15,4.607
2012-11-16,4.544
2012-11-17,4.544
2012-11-18,4.544
2012-11-19,4.63
2012-11-20,4.599
2012-11-21,4.635
2012-11-22,4.648
2012-11-23,4.672
2012-11-24,4.672
2012-11-25,4.672
2012-11-26,4.656
2012-11-27,4.669
2012-11-28,4.708
2012-11-29,4.753
2012-11-30,4.758
2012-12-01,4.758
2012-12-02,4.758
2012-12-03,4.747
2012-12-04,4.732
2012-12-05,4.742
2012-12-06,4.784
2012-12-07,4.826
2012-12-08,4.826
2012-12-09,4.826
2012-12-10,4.878
2012-12-11,4.92
2012-12-12,4.883
2012-12-13,4.849
2012-12-14,4.867
2012-12-15,4.867
2012-12-16,4.867
2012-12-17,4.844
2012-12-18,4.86
2012-12-19,4.88
2012-12-20,4.826
2012-12-21,4.867
2012-12-22,4.867
2012-12-23,4.867
2012-12-24,4.867
2012-12-25,4.867
2012-12-26,4.867
2012-12-27,4.844
2012-12-28,4.8
2012-12-29,4.8
2012-12-30,4.8
2012-12-31,4.8
2013-01-01,4.8
2013-01-02,4.8
2013-01-03,4.943
2013-01-04,4.961
2013-01-05,4.961
2013-01-06,4.961
2013-01-07,4.935
2013-01-08,4.998
2013-01-09,5.04
2013-01-10,5.021
2013-01-11,5.092
2013-01-12,5.092
2013-01-13,5.092
2013-01-14,5.076
2013-01-15,5.141
2013-01-16,5.134
2013-01-17,5.293
2013-01-18,5.204
2013-01-19,5.204
2013-01-20,5.204
2013-01-21,5.183
2013-01-22,5.147
2013-01-23,5.251
2013-01-24,5.334
2013-01-25,5.308
2013-01-26,5.308
2013-01-27,5.308
2013-01-28,5.277
2013-01-29,5.253
2013-01-30,5.18
2013-01-31,5.253
2013-02-01,5.277
2013-02-02,5.277
2013-02-03,5.277
2013-02-04,5.238
2013-02-05,5.285
2013-02-06,5.264
2013-02-07,5.149
2013-02-08,5.269
2013-02-09,5.269
2013-02-10,5.269
2013-02-11,5.256
2013-02-12,5.272
2013-02-13,5.327
2013-02-14,5.355
2013-02-15,5.373
2013-02-16,5.373
2013-02-17,5.373
2013-02-18,5.402
2013-02-19,5.499
2013-02-20,5.574
2013-02-21,5.452
2013-02-22,5.535
2013-02-23,5.535
2013-02-24,5.535
2013-02-25,5.611
2013-02-26,5.53
2013-02-27,5.527
2013-02-28,5.6
2013-03-01,5.608
2013-03-02,5.608
2013-03-03,5.608
2013-03-04,5.613
2013-03-05,5.694
2013-03-06,5.684
2013-03-07,5.777
2013-03-08,5.737
2013-03-09,5.737
2013-03-10,5.737
2013-03-11,5.761
2013-03-12,5.804
2013-03-13,5.745
2013-03-14,5.796
2013-03-15,5.842
2013-03-16,5.842
2013-03-17,5.842
2013-03-18,5.845
2013-03-19,5.88
2013-03-20,5.931
2013-03-21,5.855
2013-03-22,5.872
2013-03-23,5.872
2013-03-24,5.872
2013-03-25,5.907
2013-03-26,5.934
2013-03-27,5.926
2013-03-28,5.966
2013-03-29,5.966
2013-03-30,5.966
2013-03-31,5.966
2013-04-01,5.966
2013-04-02,6.033
2013-04-03,6.071
2013-04-04,5.98
2013-04-05,5.939
2013-04-06,5.939
2013-04-07,5.939
2013-04-08,6.047
2013-04-09,5.998
2013-04-10,6.087
2013-04-11,6.112
2013-04-12,6.074
2013-04-13,6.074
2013-04-14,6.074
2013-04-15,6.239
2013-04-16,6.163
2013-04-17,6.052
2013-04-18,6.123
2013-04-19,6.141
2013-04-20,6.141
2013-04-21,6.141
2013-04-22,6.077
2013-04-23,6.209
2013-04-24,6.252
2013-04-25,6.293
2013-04-26,6.26
2013-04-27,6.26
2013-04-28,6.26
2013-04-29,6.312
2013-04-30,6.274
2013-05-01,6.274
2013-05-02,6.293
2013-05-03,6.339
2013-05-04,6.339
2013-05-05,6.339
2013-05-06,6.298
2013-05-07,6.312
2013-05-08,6.447
2013-05-09,6.447
2013-05-10,6.552
2013-05-11,6.552
2013-05-12,6.552
2013-05-13,6.546
2013-05-14,6.582
2013-05-15,6.689
2013-05-16,6.641
2013-05-17,6.668
2013-05-18,6.668
2013-05-19,6.668
2013-05-20,6.668
2013-05-21,6.776
2013-05-22,6.978
2013-05-23,6.768
2013-05-24,6.833
2013-05-25,6.833
2013-05-26,6.833
2013-05-27,6.827
2013-05-28,6.819
2013-05-29,6.573
2013-05-30,6.544
2013-05-31,6.455
2013-06-01,6.455
2013-06-02,6.455
2013-06-03,6.217
2013-06-04,6.266
2013-06-05,6.209
2013-06-06,6.069
2013-06-07,6.249
2013-06-08,6.249
2013-06-09,6.249
2013-06-10,6.293
2013-06-11,6.193
2013-06-12,6.206
2013-06-13,6.16
2013-06-14,6.125
2013-06-15,6.125
2013-06-16,6.125
2013-06-17,6.239
2013-06-18,6.179
2013-06-19,6.22
2013-06-20,5.998
2013-06-21,5.934
2013-06-22,5.934
2013-06-23,5.934
2013-06-24,5.78
2013-06-25,5.912
2013-06-26,6.152
2013-06-27,6.363
2013-06-28,6.344
2013-06-29,6.344
2013-06-30,6.344
2013-07-01,6.333
2013-07-02,6.363
2013-07-03,6.347
2013-07-04,6.479
2013-07-05,6.428
2013-07-06,6.428
2013-07-07,6.428
2013-07-08,6.498
2013-07-09,6.582
2013-07-10,6.606
2013-07-11,6.546
2013-07-12,6.582
2013-07-13,6.582
2013-07-14,6.582
2013-07-15,6.538
2013-07-16,6.411
2013-07-17,6.393
2013-07-18,6.355
2013-07-19,6.333
2013-07-20,6.333
2013-07-21,6.333
2013-07-22,6.293
2013-07-23,6.239
2013-07-24,6.301
2013-07-25,6.339
2013-07-26,6.293
2013-07-27,6.293
2013-07-28,6.293
2013-07-29,6.298
2013-07-30,6.249
2013-07-31,6.155
2013-08-01,6.155
2013-08-02,6.174
2013-08-03,6.174
2013-08-04,6.174
2013-08-05,6.222
2013-08-06,6.258
2013-08-07,6.279
2013-08-08,6.271
2013-08-09,6.371
2013-08-10,6.371
2013-08-11,6.371
2013-08-12,6.468
2013-08-13,6.492
2013-08-14,6.506
2013-08-15,6.409
2013-08-16,6.376
2013-08-17,6.376
2013-08-18,6.376
2013-08-19,6.433
2013-08-20,6.484
2013-08-21,6.417
2013-08-22,6.503
2013-08-23,6.487
2013-08-24,6.487
2013-08-25,6.487
2013-08-26,6.528
2013-08-27,6.457
2013-08-28,6.333
2013-08-29,6.32
2013-08-30,6.266
2013-08-31,6.266
2013-09-01,6.266
2013-09-02,6.384
