,DG US Equity
2019-06-27,
2019-06-28,
2019-06-29,
2019-06-30,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,
2019-07-06,
2019-07-07,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-13,
2019-07-14,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-20,
2019-07-21,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-27,
2019-07-28,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-03,
2019-08-04,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-10,
2019-08-11,
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-17,
2019-08-18,
2019-08-19,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-24,
2019-08-25,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-08-31,
2019-09-01,
2019-09-02,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,
2019-09-07,
2019-09-08,
2019-09-09,
2019-09-10,
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-14,
2019-09-15,
2019-09-16,
2019-09-17,
2019-09-18,
2019-09-19,
2019-09-20,
2019-09-21,
2019-09-22,
2019-09-23,
2019-09-24,
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-28,
2019-09-29,
2019-09-30,
2019-10-01,
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-05,
2019-10-06,
2019-10-07,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-12,
2019-10-13,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-02,
2019-11-03,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-09,
2019-11-10,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-16,
2019-11-17,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-23,
2019-11-24,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-11-30,
2019-12-01,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,39159.0
2019-12-06,39159.0
2019-12-07,39159.0
2019-12-08,39159.0
2019-12-09,39159.0
2019-12-10,39159.0
2019-12-11,39159.0
2019-12-12,39159.0
2019-12-13,39159.0
2019-12-14,39159.0
2019-12-15,39159.0
2019-12-16,39159.0
2019-12-17,39159.0
2019-12-18,39159.0
2019-12-19,39159.0
2019-12-20,39159.0
2019-12-21,39159.0
2019-12-22,39159.0
2019-12-23,39159.0
2019-12-24,39159.0
2019-12-25,39159.0
2019-12-26,39159.0
2019-12-27,39159.0
2019-12-28,39159.0
2019-12-29,39159.0
2019-12-30,39159.0
2019-12-31,39159.0
2020-01-01,39159.0
2020-01-02,39159.0
2020-01-03,39159.0
2020-01-04,39159.0
2020-01-05,39159.0
2020-01-06,39159.0
2020-01-07,39159.0
2020-01-08,39159.0
2020-01-09,39159.0
2020-01-10,39159.0
2020-01-11,39159.0
2020-01-12,39159.0
2020-01-13,39159.0
2020-01-14,39159.0
2020-01-15,39159.0
2020-01-16,39159.0
2020-01-17,39159.0
2020-01-18,39159.0
2020-01-19,39159.0
2020-01-20,39159.0
2020-01-21,39159.0
2020-01-22,39159.0
2020-01-23,39159.0
2020-01-24,39159.0
2020-01-25,39159.0
2020-01-26,39159.0
2020-01-27,39159.0
2020-01-28,39159.0
2020-01-29,39159.0
2020-01-30,39159.0
2020-01-31,39159.0
2020-02-01,39159.0
2020-02-02,39159.0
2020-02-03,39159.0
2020-02-04,39159.0
2020-02-05,39159.0
2020-02-06,39159.0
2020-02-07,39159.0
2020-02-08,39159.0
2020-02-09,39159.0
2020-02-10,39159.0
2020-02-11,39159.0
2020-02-12,39159.0
2020-02-13,39159.0
2020-02-14,39159.0
2020-02-15,39159.0
2020-02-16,39159.0
2020-02-17,39159.0
2020-02-18,39159.0
2020-02-19,39159.0
2020-02-20,39159.0
2020-02-21,39159.0
2020-02-22,39159.0
2020-02-23,39159.0
2020-02-24,39159.0
2020-02-25,39159.0
2020-02-26,39159.0
2020-02-27,39970.0
2020-02-28,39970.0
2020-02-29,39970.0
2020-03-01,39970.0
2020-03-02,39970.0
2020-03-03,39970.0
2020-03-04,39970.0
2020-03-05,39970.0
2020-03-06,39970.0
2020-03-07,39970.0
2020-03-08,39970.0
2020-03-09,39970.0
2020-03-10,39970.0
2020-03-11,39970.0
2020-03-12,39822.0
2020-03-13,38595.5
2020-03-14,38595.5
2020-03-15,38595.5
2020-03-16,38595.5
2020-03-17,38595.5
2020-03-18,38595.5
2020-03-19,38595.5
2020-03-20,38595.5
2020-03-21,38595.5
2020-03-22,38595.5
2020-03-23,38595.5
2020-03-24,38595.5
2020-03-25,38595.5
2020-03-26,38595.5
2020-03-27,38595.5
2020-03-28,38595.5
2020-03-29,38595.5
2020-03-30,38595.5
2020-03-31,38595.5
2020-04-01,38595.5
2020-04-02,38595.5
2020-04-03,38595.5
2020-04-04,38595.5
2020-04-05,38595.5
2020-04-06,38595.5
2020-04-07,38595.5
2020-04-08,38595.5
2020-04-09,38595.5
2020-04-10,38595.5
2020-04-11,38595.5
2020-04-12,38595.5
2020-04-13,38595.5
2020-04-14,38595.5
2020-04-15,38595.5
2020-04-16,38595.5
2020-04-17,38595.5
2020-04-18,38595.5
2020-04-19,38595.5
2020-04-20,38595.5
2020-04-21,38595.5
2020-04-22,38595.5
2020-04-23,38595.5
2020-04-24,38595.5
2020-04-25,38595.5
2020-04-26,38595.5
2020-04-27,38595.5
2020-04-28,38595.5
2020-04-29,38595.5
2020-04-30,38595.5
2020-05-01,38595.5
2020-05-02,38595.5
2020-05-03,38595.5
2020-05-04,38595.5
2020-05-05,38595.5
2020-05-06,38595.5
2020-05-07,38595.5
2020-05-08,38595.5
2020-05-09,38595.5
2020-05-10,38595.5
2020-05-11,38595.5
2020-05-12,38595.5
2020-05-13,38595.5
2020-05-14,38595.5
2020-05-15,38595.5
2020-05-16,38595.5
2020-05-17,38595.5
2020-05-18,40155.333
2020-05-19,40155.333
2020-05-20,40155.333
2020-05-21,40155.333
2020-05-22,40473.333
2020-05-23,40473.333
2020-05-24,40473.333
2020-05-25,40473.333
2020-05-26,40321.333
2020-05-27,40321.333
2020-05-28,40278.667
2020-05-29,40480.25
2020-05-30,40480.25
2020-05-31,40480.25
2020-06-01,40480.25
2020-06-02,40480.25
2020-06-03,40480.25
2020-06-04,40480.25
2020-06-05,40480.25
2020-06-06,40480.25
2020-06-07,40480.25
2020-06-08,40480.25
2020-06-09,40480.25
2020-06-10,40480.25
2020-06-11,40480.25
2020-06-12,40480.25
2020-06-13,40480.25
2020-06-14,40480.25
2020-06-15,40480.25
2020-06-16,40733.2
2020-06-17,40733.2
2020-06-18,40733.2
2020-06-19,40733.2
2020-06-20,40733.2
2020-06-21,40733.2
2020-06-22,40733.2
2020-06-23,40733.2
2020-06-24,40733.2
2020-06-25,40733.2
2020-06-26,40733.2
2020-06-27,40733.2
2020-06-28,40733.2
2020-06-29,40733.2
2020-06-30,40733.2
2020-07-01,40733.2
2020-07-02,40733.2
2020-07-03,40733.2
2020-07-04,40733.2
2020-07-05,40733.2
2020-07-06,40733.2
2020-07-07,40733.2
2020-07-08,40733.2
2020-07-09,40733.2
2020-07-10,40733.2
2020-07-11,40733.2
2020-07-12,40733.2
2020-07-13,40733.2
2020-07-14,40733.2
2020-07-15,40733.2
2020-07-16,40733.2
2020-07-17,40733.2
2020-07-18,40733.2
2020-07-19,40733.2
2020-07-20,40733.2
2020-07-21,40733.2
2020-07-22,40733.2
2020-07-23,40733.2
2020-07-24,40733.2
2020-07-25,40733.2
2020-07-26,40733.2
2020-07-27,40733.2
2020-07-28,40733.2
2020-07-29,40733.2
2020-07-30,40733.2
2020-07-31,40733.2
2020-08-01,40733.2
2020-08-02,40733.2
2020-08-03,40733.2
2020-08-04,40733.2
2020-08-05,40733.2
2020-08-06,40733.2
2020-08-07,40733.2
2020-08-08,40733.2
2020-08-09,40733.2
2020-08-10,40733.2
2020-08-11,40733.2
2020-08-12,40733.2
2020-08-13,40733.2
2020-08-14,40733.2
2020-08-15,40733.2
2020-08-16,40733.2
2020-08-17,40733.2
2020-08-18,40733.2
2020-08-19,40733.2
2020-08-20,40733.2
2020-08-21,40733.2
2020-08-22,40733.2
2020-08-23,40733.2
2020-08-24,40817.0
2020-08-25,40817.0
2020-08-26,40817.0
2020-08-27,41245.25
2020-08-28,41339.75
2020-08-29,41339.75
2020-08-30,41339.75
2020-08-31,41339.75
2020-09-01,41339.75
2020-09-02,41727.0
2020-09-03,41727.0
2020-09-04,41727.0
2020-09-05,41727.0
2020-09-06,41727.0
2020-09-07,41727.0
2020-09-08,41727.0
2020-09-09,41727.0
2020-09-10,41727.0
2020-09-11,41727.0
2020-09-12,41727.0
2020-09-13,41727.0
2020-09-14,41727.0
2020-09-15,41727.0
2020-09-16,41727.0
2020-09-17,41727.0
2020-09-18,41727.0
2020-09-19,41727.0
2020-09-20,41727.0
2020-09-21,41727.0
2020-09-22,41727.0
2020-09-23,41727.0
2020-09-24,41727.0
2020-09-25,41727.0
2020-09-26,41727.0
2020-09-27,41727.0
2020-09-28,41727.0
2020-09-29,41727.0
2020-09-30,41727.0
2020-10-01,41727.0
2020-10-02,41727.0
2020-10-03,41727.0
2020-10-04,41727.0
2020-10-05,41727.0
2020-10-06,41727.0
2020-10-07,41727.0
2020-10-08,41727.0
2020-10-09,41727.0
2020-10-10,41727.0
2020-10-11,41727.0
2020-10-12,41727.0
2020-10-13,41727.0
2020-10-14,41727.0
2020-10-15,41727.0
2020-10-16,41727.0
2020-10-17,41727.0
2020-10-18,41727.0
2020-10-19,41727.0
2020-10-20,41727.0
2020-10-21,41727.0
2020-10-22,41727.0
2020-10-23,41727.0
2020-10-24,41727.0
2020-10-25,41727.0
2020-10-26,41727.0
2020-10-27,41727.0
2020-10-28,41727.0
2020-10-29,41727.0
2020-10-30,41727.0
2020-10-31,41727.0
2020-11-01,41727.0
2020-11-02,41727.0
2020-11-03,41727.0
2020-11-04,41727.0
2020-11-05,41727.0
2020-11-06,41727.0
2020-11-07,41727.0
2020-11-08,41727.0
2020-11-09,41727.0
2020-11-10,41727.0
2020-11-11,41727.0
2020-11-12,41727.0
2020-11-13,41727.0
2020-11-14,41727.0
2020-11-15,41727.0
2020-11-16,41727.0
2020-11-17,41727.0
2020-11-18,41727.0
2020-11-19,41727.0
2020-11-20,41727.0
2020-11-21,41727.0
2020-11-22,41727.0
2020-11-23,41727.0
2020-11-24,41897.0
2020-11-25,41897.0
2020-11-26,41897.0
2020-11-27,41897.0
2020-11-28,41897.0
2020-11-29,41897.0
2020-11-30,41897.0
2020-12-01,41897.0
2020-12-02,41897.0
2020-12-03,42306.25
2020-12-04,42267.5
2020-12-05,42267.5
2020-12-06,42267.5
2020-12-07,41698.667
2020-12-08,41698.667
2020-12-09,41698.667
2020-12-10,41698.667
2020-12-11,41698.667
2020-12-12,41698.667
2020-12-13,41698.667
2020-12-14,41698.667
2020-12-15,41698.667
2020-12-16,41698.667
2020-12-17,41698.667
2020-12-18,41698.667
2020-12-19,41698.667
2020-12-20,41698.667
2020-12-21,41698.667
2020-12-22,41698.667
2020-12-23,41698.667
2020-12-24,41698.667
2020-12-25,41698.667
2020-12-26,41698.667
2020-12-27,41698.667
2020-12-28,41698.667
2020-12-29,41698.667
2020-12-30,41698.667
2020-12-31,41698.667
2021-01-01,41698.667
2021-01-02,41698.667
2021-01-03,41698.667
2021-01-04,41698.667
2021-01-05,41698.667
2021-01-06,41698.667
2021-01-07,41698.667
2021-01-08,41698.667
2021-01-09,41698.667
2021-01-10,41698.667
2021-01-11,41698.667
2021-01-12,41698.667
2021-01-13,41698.667
2021-01-14,41698.667
2021-01-15,41698.667
2021-01-16,41698.667
2021-01-17,41698.667
2021-01-18,41698.667
2021-01-19,41698.667
2021-01-20,41698.667
2021-01-21,41698.667
2021-01-22,41698.667
2021-01-23,41698.667
2021-01-24,41698.667
2021-01-25,41698.667
2021-01-26,41698.667
2021-01-27,41698.667
2021-01-28,41698.667
2021-01-29,41698.667
2021-01-30,41698.667
2021-01-31,41698.667
2021-02-01,41698.667
2021-02-02,41698.667
2021-02-03,41698.667
2021-02-04,41698.667
2021-02-05,41698.667
2021-02-06,41698.667
2021-02-07,41698.667
2021-02-08,41698.667
2021-02-09,41698.667
2021-02-10,41698.667
2021-02-11,41698.667
2021-02-12,41698.667
2021-02-13,41698.667
2021-02-14,41698.667
2021-02-15,41698.667
2021-02-16,41698.667
2021-02-17,41698.667
2021-02-18,41698.667
2021-02-19,41698.667
2021-02-20,41698.667
2021-02-21,41698.667
2021-02-22,41698.667
2021-02-23,41698.667
2021-02-24,41698.667
2021-02-25,41698.667
2021-02-26,41698.667
2021-02-27,41698.667
2021-02-28,41698.667
2021-03-01,41806.0
2021-03-02,41806.0
2021-03-03,41806.0
2021-03-04,41806.0
2021-03-05,41806.0
2021-03-06,41806.0
2021-03-07,41806.0
2021-03-08,41806.0
2021-03-09,41806.0
2021-03-10,41806.0
2021-03-11,41806.0
2021-03-12,41806.0
2021-03-13,41806.0
2021-03-14,41806.0
2021-03-15,42086.6
2021-03-16,42086.6
2021-03-17,42086.6
2021-03-18,42073.0
2021-03-19,42073.0
2021-03-20,42073.0
2021-03-21,42073.0
2021-03-22,42073.0
2021-03-23,42073.0
2021-03-24,42073.0
2021-03-25,42073.0
2021-03-26,42073.0
2021-03-27,42073.0
2021-03-28,42073.0
2021-03-29,42073.0
2021-03-30,42073.0
2021-03-31,42040.333
2021-04-01,42040.333
2021-04-02,42040.333
2021-04-03,42040.333
2021-04-04,42040.333
2021-04-05,42040.333
2021-04-06,42040.333
2021-04-07,42040.333
2021-04-08,42040.333
2021-04-09,42040.333
2021-04-10,42040.333
2021-04-11,42040.333
2021-04-12,42040.333
2021-04-13,42040.333
2021-04-14,42040.333
2021-04-15,42040.333
2021-04-16,42040.333
2021-04-17,42040.333
2021-04-18,42040.333
2021-04-19,42040.333
2021-04-20,42040.333
2021-04-21,42128.833
2021-04-22,42128.833
2021-04-23,42128.833
2021-04-24,42128.833
2021-04-25,42128.833
2021-04-26,42128.833
2021-04-27,42128.833
2021-04-28,42128.833
2021-04-29,42128.833
2021-04-30,42128.833
2021-05-01,42128.833
2021-05-02,42128.833
2021-05-03,42128.833
2021-05-04,42128.833
2021-05-05,42128.833
2021-05-06,42128.833
2021-05-07,42128.833
2021-05-08,42128.833
2021-05-09,42128.833
2021-05-10,42128.833
2021-05-11,42128.833
2021-05-12,42128.833
2021-05-13,42128.833
2021-05-14,42128.833
2021-05-15,42128.833
2021-05-16,42128.833
2021-05-17,42128.833
2021-05-18,42128.833
2021-05-19,42128.833
2021-05-20,42128.833
2021-05-21,42128.833
2021-05-22,42128.833
2021-05-23,42128.833
2021-05-24,42214.5
2021-05-25,42214.5
2021-05-26,42214.5
2021-05-27,42607.5
2021-05-28,42289.5
2021-05-29,42289.5
2021-05-30,42289.5
2021-05-31,42289.5
2021-06-01,42075.0
2021-06-02,42075.0
2021-06-03,42075.0
2021-06-04,42075.0
2021-06-05,42075.0
2021-06-06,42075.0
2021-06-07,42075.0
2021-06-08,42075.0
2021-06-09,42075.0
2021-06-10,42075.0
2021-06-11,42075.0
2021-06-12,42075.0
2021-06-13,42075.0
2021-06-14,42186.0
2021-06-15,42186.0
2021-06-16,42186.0
2021-06-17,42186.0
2021-06-18,42186.0
2021-06-19,42186.0
2021-06-20,42186.0
2021-06-21,42186.0
2021-06-22,42186.0
2021-06-23,42186.0
2021-06-24,42186.0
2021-06-25,42186.0
2021-06-26,42186.0
2021-06-27,42186.0
2021-06-28,42186.0
2021-06-29,42186.0
2021-06-30,42186.0
2021-07-01,42186.0
2021-07-02,42186.0
2021-07-03,42186.0
2021-07-04,42186.0
2021-07-05,42186.0
2021-07-06,42186.0
2021-07-07,42186.0
2021-07-08,42186.0
2021-07-09,42186.0
2021-07-10,42186.0
2021-07-11,42186.0
2021-07-12,42186.0
2021-07-13,42186.0
2021-07-14,42186.0
2021-07-15,42186.0
2021-07-16,42186.0
2021-07-17,42186.0
2021-07-18,42186.0
2021-07-19,42186.0
2021-07-20,42186.0
2021-07-21,42186.0
2021-07-22,42186.0
2021-07-23,42186.0
2021-07-24,42186.0
2021-07-25,42186.0
2021-07-26,42186.0
2021-07-27,42186.0
2021-07-28,42186.0
2021-07-29,42186.0
2021-07-30,42186.0
2021-07-31,42186.0
2021-08-01,42186.0
2021-08-02,42186.0
2021-08-03,42186.0
2021-08-04,42186.0
2021-08-05,42186.0
2021-08-06,42186.0
2021-08-07,42186.0
2021-08-08,42186.0
2021-08-09,42186.0
2021-08-10,42186.0
2021-08-11,42186.0
2021-08-12,42186.0
2021-08-13,42186.0
2021-08-14,42186.0
2021-08-15,42186.0
2021-08-16,42186.0
2021-08-17,42186.0
2021-08-18,42186.0
2021-08-19,42186.0
2021-08-20,42186.0
2021-08-21,42186.0
2021-08-22,42186.0
2021-08-23,42186.0
2021-08-24,42186.0
2021-08-25,42186.0
2021-08-26,42298.167
2021-08-27,42295.333
2021-08-28,42295.333
2021-08-29,42295.333
2021-08-30,42295.333
2021-08-31,42437.0
2021-09-01,42437.0
2021-09-02,42437.0
2021-09-03,42437.0
2021-09-04,42437.0
2021-09-05,42437.0
2021-09-06,42437.0
2021-09-07,42437.0
2021-09-08,42418.0
2021-09-09,42418.0
2021-09-10,42418.0
2021-09-11,42418.0
2021-09-12,42418.0
2021-09-13,42418.0
2021-09-14,42418.0
2021-09-15,42418.0
2021-09-16,42418.0
2021-09-17,42418.0
2021-09-18,42418.0
2021-09-19,42418.0
2021-09-20,42418.0
2021-09-21,42418.0
2021-09-22,42418.0
2021-09-23,42418.0
2021-09-24,42418.0
2021-09-25,42418.0
2021-09-26,42418.0
2021-09-27,42418.0
2021-09-28,42418.0
2021-09-29,42418.0
2021-09-30,42418.0
2021-10-01,42418.0
2021-10-02,42418.0
2021-10-03,42418.0
2021-10-04,42418.0
2021-10-05,42418.0
2021-10-06,42418.0
2021-10-07,42418.0
2021-10-08,42418.0
2021-10-09,42418.0
2021-10-10,42418.0
2021-10-11,42418.0
2021-10-12,42418.0
2021-10-13,42418.0
2021-10-14,42418.0
2021-10-15,42418.0
2021-10-16,42418.0
2021-10-17,42418.0
2021-10-18,42418.0
2021-10-19,42418.0
2021-10-20,42418.0
2021-10-21,42418.0
2021-10-22,42418.0
2021-10-23,42418.0
2021-10-24,42418.0
2021-10-25,42418.0
2021-10-26,42418.0
2021-10-27,42418.0
2021-10-28,42418.0
2021-10-29,42418.0
2021-10-30,42418.0
2021-10-31,42418.0
2021-11-01,42418.0
2021-11-02,42418.0
2021-11-03,42418.0
2021-11-04,42418.0
2021-11-05,42418.0
2021-11-06,42418.0
2021-11-07,42418.0
2021-11-08,42333.833
2021-11-09,42333.833
2021-11-10,42333.833
2021-11-11,42333.833
2021-11-12,42333.833
2021-11-13,42333.833
2021-11-14,42333.833
2021-11-15,42333.833
2021-11-16,42333.833
2021-11-17,42333.833
2021-11-18,42333.833
2021-11-19,42333.833
2021-11-20,42333.833
2021-11-21,42333.833
2021-11-22,42333.833
2021-11-23,42333.833
2021-11-24,42333.833
2021-11-25,42333.833
2021-11-26,42333.833
2021-11-27,42333.833
2021-11-28,42333.833
2021-11-29,42333.833
2021-11-30,42333.833
2021-12-01,42333.833
2021-12-02,42227.0
2021-12-03,42758.5
2021-12-04,42758.5
2021-12-05,42280.333
2021-12-06,42280.333
2021-12-07,42280.333
2021-12-08,42280.333
2021-12-09,42280.333
2021-12-10,42280.333
2021-12-11,42280.333
2021-12-12,42280.333
2021-12-13,42280.333
2021-12-14,42280.333
2021-12-15,42280.333
2021-12-16,42280.333
2021-12-17,42280.333
2021-12-18,42280.333
2021-12-19,42280.333
2021-12-20,42280.333
2021-12-21,42280.333
2021-12-22,42280.333
2021-12-23,42280.333
2021-12-24,42109.8
2021-12-25,42109.8
2021-12-26,42109.8
2021-12-27,42109.8
2021-12-28,42109.8
2021-12-29,42109.8
2021-12-30,42109.8
2021-12-31,42109.8
2022-01-01,42109.8
2022-01-02,42109.8
2022-01-03,42109.8
2022-01-04,42109.8
2022-01-05,42109.8
2022-01-06,42109.8
2022-01-07,42109.8
2022-01-08,42109.8
2022-01-09,42109.8
2022-01-10,42109.8
2022-01-11,42109.8
2022-01-12,42109.8
2022-01-13,42109.8
2022-01-14,42255.5
2022-01-15,42255.5
2022-01-16,42255.5
2022-01-17,42255.5
2022-01-18,42255.5
2022-01-19,42255.5
2022-01-20,42255.5
2022-01-21,42255.5
2022-01-22,42255.5
2022-01-23,42255.5
2022-01-24,42255.5
2022-01-25,42255.5
2022-01-26,42255.5
2022-01-27,42255.5
2022-01-28,42255.5
2022-01-29,42255.5
2022-01-30,42255.5
2022-01-31,42255.5
2022-02-01,42255.5
2022-02-02,42255.5
2022-02-03,42255.5
2022-02-04,42255.5
2022-02-05,42255.5
2022-02-06,42255.5
2022-02-07,42255.5
2022-02-08,42255.5
2022-02-09,42255.5
2022-02-10,42255.5
2022-02-11,42255.5
2022-02-12,42255.5
2022-02-13,42255.5
2022-02-14,42255.5
2022-02-15,42255.5
2022-02-16,42255.5
2022-02-17,42255.5
2022-02-18,42255.5
2022-02-19,42255.5
2022-02-20,42255.5
2022-02-21,42255.5
2022-02-22,42255.5
2022-02-23,42239.0
2022-02-24,42239.0
2022-02-25,42239.0
2022-02-26,42239.0
2022-02-27,42239.0
2022-02-28,42239.0
2022-03-01,42239.0
2022-03-02,42239.0
2022-03-03,42239.0
2022-03-04,42239.0
2022-03-05,42239.0
2022-03-06,42239.0
2022-03-07,42239.0
2022-03-08,42239.0
2022-03-09,42239.0
2022-03-10,42239.0
2022-03-11,42239.0
2022-03-12,42239.0
2022-03-13,42239.0
2022-03-14,42239.0
2022-03-15,42239.0
2022-03-16,42239.0
2022-03-17,42313.333
2022-03-18,42299.25
2022-03-19,42299.25
2022-03-20,42299.25
2022-03-21,42299.25
2022-03-22,42299.25
2022-03-23,42299.25
2022-03-24,42299.25
2022-03-25,42299.25
2022-03-26,42299.25
2022-03-27,42299.25
2022-03-28,42299.25
2022-03-29,42299.25
2022-03-30,42299.25
2022-03-31,42299.25
2022-04-01,42299.25
2022-04-02,42299.25
2022-04-03,42299.25
2022-04-04,42392.923
2022-04-05,42392.923
2022-04-06,42392.923
2022-04-07,42380.692
2022-04-08,42380.692
2022-04-09,42380.692
2022-04-10,42380.692
2022-04-11,42380.692
2022-04-12,42380.692
2022-04-13,42380.692
2022-04-14,42380.692
2022-04-15,42380.692
2022-04-16,42380.692
2022-04-17,42380.692
2022-04-18,42380.692
2022-04-19,42380.692
2022-04-20,42380.692
2022-04-21,42380.692
2022-04-22,42380.692
2022-04-23,42380.692
2022-04-24,42380.692
2022-04-25,42380.692
2022-04-26,42380.692
2022-04-27,42380.692
2022-04-28,42380.692
2022-04-29,42380.692
2022-04-30,42380.692
2022-05-01,42380.692
2022-05-02,42402.462
2022-05-03,42402.462
2022-05-04,42402.462
2022-05-05,42402.462
2022-05-06,42402.462
2022-05-07,42402.462
2022-05-08,42402.462
2022-05-09,42402.462
2022-05-10,42402.462
2022-05-11,42402.462
2022-05-12,42402.462
2022-05-13,42402.462
2022-05-14,42402.462
2022-05-15,42402.462
2022-05-16,42402.462
2022-05-17,42402.462
2022-05-18,42402.462
2022-05-19,42402.462
2022-05-20,42402.462
2022-05-21,42402.462
2022-05-22,42402.462
2022-05-23,42402.462
2022-05-24,42402.462
2022-05-25,42423.308
2022-05-26,42500.071
2022-05-27,42514.429
2022-05-28,42497.643
2022-05-29,42497.643
2022-05-30,42497.643
2022-05-31,42497.643
2022-06-01,42497.643
2022-06-02,42497.643
2022-06-03,42497.643
2022-06-04,42497.643
2022-06-05,42510.714
2022-06-06,42510.714
2022-06-07,42510.714
2022-06-08,42539.571
2022-06-09,42539.571
2022-06-10,42555.357
2022-06-11,42555.357
2022-06-12,42555.357
2022-06-13,42555.357
2022-06-14,42555.357
2022-06-15,42585.214
2022-06-16,42585.214
2022-06-17,42585.214
2022-06-18,42585.214
2022-06-19,42585.214
2022-06-20,42585.214
2022-06-21,42585.214
2022-06-22,42585.214
2022-06-23,42585.214
2022-06-24,42599.357
2022-06-25,42599.357
2022-06-26,42599.357
2022-06-27,42599.357
2022-06-28,42613.846
2022-06-29,42613.846
2022-06-30,42613.846
