,DG US Equity
2020-02-16,10.92
2020-02-17,10.92
2020-02-18,10.92
2020-02-19,10.92
2020-02-20,10.92
2020-02-21,10.92
2020-02-22,10.92
2020-02-23,10.92
2020-02-24,10.92
2020-02-25,10.92
2020-02-26,10.92
2020-02-27,11.36
2020-02-28,11.36
2020-02-29,11.36
2020-03-01,11.36
2020-03-02,11.36
2020-03-03,11.36
2020-03-04,11.36
2020-03-05,11.36
2020-03-06,11.36
2020-03-07,11.36
2020-03-08,11.36
2020-03-09,11.36
2020-03-10,11.36
2020-03-11,11.36
2020-03-12,11.54
2020-03-13,10.855
2020-03-14,10.855
2020-03-15,10.855
2020-03-16,10.855
2020-03-17,10.855
2020-03-18,10.855
2020-03-19,10.855
2020-03-20,10.855
2020-03-21,10.855
2020-03-22,10.855
2020-03-23,10.855
2020-03-24,10.855
2020-03-25,10.855
2020-03-26,10.855
2020-03-27,10.855
2020-03-28,10.855
2020-03-29,10.855
2020-03-30,10.855
2020-03-31,10.855
2020-04-01,10.855
2020-04-02,10.855
2020-04-03,10.855
2020-04-04,10.855
2020-04-05,10.855
2020-04-06,10.855
2020-04-07,10.855
2020-04-08,10.855
2020-04-09,10.855
2020-04-10,10.855
2020-04-11,10.855
2020-04-12,10.855
2020-04-13,10.855
2020-04-14,10.855
2020-04-15,10.855
2020-04-16,10.855
2020-04-17,10.855
2020-04-18,10.855
2020-04-19,10.855
2020-04-20,10.855
2020-04-21,10.855
2020-04-22,10.855
2020-04-23,10.855
2020-04-24,10.855
2020-04-25,10.855
2020-04-26,10.855
2020-04-27,10.855
2020-04-28,10.855
2020-04-29,10.855
2020-04-30,10.855
2020-05-01,10.855
2020-05-02,10.855
2020-05-03,10.855
2020-05-04,10.855
2020-05-05,10.855
2020-05-06,10.855
2020-05-07,10.855
2020-05-08,10.855
2020-05-09,10.855
2020-05-10,10.855
2020-05-11,10.855
2020-05-12,10.855
2020-05-13,10.855
2020-05-14,10.855
2020-05-15,10.855
2020-05-16,10.855
2020-05-17,10.855
2020-05-18,12.337
2020-05-19,12.337
2020-05-20,12.337
2020-05-21,12.337
2020-05-22,12.463
2020-05-23,12.463
2020-05-24,12.463
2020-05-25,12.463
2020-05-26,12.497
2020-05-27,12.497
2020-05-28,12.597
2020-05-29,12.67
2020-05-30,12.67
2020-05-31,12.67
2020-06-01,12.67
2020-06-02,12.67
2020-06-03,12.67
2020-06-04,12.67
2020-06-05,12.67
2020-06-06,12.67
2020-06-07,12.67
2020-06-08,12.67
2020-06-09,12.67
2020-06-10,12.67
2020-06-11,12.67
2020-06-12,12.67
2020-06-13,12.67
2020-06-14,12.67
2020-06-15,12.67
2020-06-16,12.566
2020-06-17,12.566
2020-06-18,12.566
2020-06-19,12.566
2020-06-20,12.566
2020-06-21,12.566
2020-06-22,12.566
2020-06-23,12.566
2020-06-24,12.566
2020-06-25,12.566
2020-06-26,12.566
2020-06-27,12.566
2020-06-28,12.566
2020-06-29,12.566
2020-06-30,12.566
2020-07-01,12.566
2020-07-02,12.566
2020-07-03,12.566
2020-07-04,12.566
2020-07-05,12.566
2020-07-06,12.566
2020-07-07,12.566
2020-07-08,12.566
2020-07-09,12.566
2020-07-10,12.566
2020-07-11,12.566
2020-07-12,12.566
2020-07-13,12.566
2020-07-14,12.566
2020-07-15,12.566
2020-07-16,12.566
2020-07-17,12.566
2020-07-18,12.566
2020-07-19,12.566
2020-07-20,12.566
2020-07-21,12.566
2020-07-22,12.566
2020-07-23,12.566
2020-07-24,12.566
2020-07-25,12.566
2020-07-26,12.566
2020-07-27,12.566
2020-07-28,12.566
2020-07-29,12.566
2020-07-30,12.566
2020-07-31,12.566
2020-08-01,12.566
2020-08-02,12.566
2020-08-03,12.566
2020-08-04,12.566
2020-08-05,12.566
2020-08-06,12.566
2020-08-07,12.566
2020-08-08,12.566
2020-08-09,12.566
2020-08-10,12.566
2020-08-11,12.566
2020-08-12,12.566
2020-08-13,12.566
2020-08-14,12.566
2020-08-15,12.566
2020-08-16,12.566
2020-08-17,12.566
2020-08-18,12.566
2020-08-19,12.566
2020-08-20,12.566
2020-08-21,12.566
2020-08-22,12.566
2020-08-23,12.566
2020-08-24,12.648
2020-08-25,12.648
2020-08-26,12.648
2020-08-27,12.908
2020-08-28,13.053
2020-08-29,13.053
2020-08-30,13.053
2020-08-31,13.053
2020-09-01,13.053
2020-09-02,13.615
2020-09-03,13.615
2020-09-04,13.615
2020-09-05,13.615
2020-09-06,13.615
2020-09-07,13.615
2020-09-08,13.615
2020-09-09,13.615
2020-09-10,13.615
2020-09-11,13.615
2020-09-12,13.615
2020-09-13,13.615
2020-09-14,13.615
2020-09-15,13.615
2020-09-16,13.615
2020-09-17,13.615
2020-09-18,13.615
2020-09-19,13.615
2020-09-20,13.615
2020-09-21,13.615
2020-09-22,13.615
2020-09-23,13.615
2020-09-24,13.615
2020-09-25,13.615
2020-09-26,13.615
2020-09-27,13.615
2020-09-28,13.615
2020-09-29,13.615
2020-09-30,13.615
2020-10-01,13.615
2020-10-02,13.615
2020-10-03,13.615
2020-10-04,13.615
2020-10-05,13.615
2020-10-06,13.615
2020-10-07,13.615
2020-10-08,13.615
2020-10-09,13.615
2020-10-10,13.615
2020-10-11,13.615
2020-10-12,13.615
2020-10-13,13.615
2020-10-14,13.615
2020-10-15,13.615
2020-10-16,13.615
2020-10-17,13.615
2020-10-18,13.615
2020-10-19,13.615
2020-10-20,13.615
2020-10-21,13.615
2020-10-22,13.615
2020-10-23,13.615
2020-10-24,13.615
2020-10-25,13.615
2020-10-26,13.615
2020-10-27,13.615
2020-10-28,13.615
2020-10-29,13.615
2020-10-30,13.615
2020-10-31,13.615
2020-11-01,13.615
2020-11-02,13.615
2020-11-03,13.615
2020-11-04,13.615
2020-11-05,13.615
2020-11-06,13.615
2020-11-07,13.615
2020-11-08,13.615
2020-11-09,13.615
2020-11-10,13.615
2020-11-11,13.615
2020-11-12,13.615
2020-11-13,13.615
2020-11-14,13.615
2020-11-15,13.615
2020-11-16,13.615
2020-11-17,13.615
2020-11-18,13.615
2020-11-19,13.615
2020-11-20,13.615
2020-11-21,13.615
2020-11-22,13.615
2020-11-23,13.615
2020-11-24,13.645
2020-11-25,13.645
2020-11-26,13.645
2020-11-27,13.645
2020-11-28,13.645
2020-11-29,13.645
2020-11-30,13.645
2020-12-01,13.645
2020-12-02,13.645
2020-12-03,13.845
2020-12-04,13.855
2020-12-05,13.855
2020-12-06,13.855
2020-12-07,13.633
2020-12-08,13.633
2020-12-09,13.633
2020-12-10,13.633
2020-12-11,13.633
2020-12-12,13.633
2020-12-13,13.633
2020-12-14,13.633
2020-12-15,13.633
2020-12-16,13.633
2020-12-17,13.633
2020-12-18,13.633
2020-12-19,13.633
2020-12-20,13.633
2020-12-21,13.633
2020-12-22,13.633
2020-12-23,13.633
2020-12-24,13.633
2020-12-25,13.633
2020-12-26,13.633
2020-12-27,13.633
2020-12-28,13.633
2020-12-29,13.633
2020-12-30,13.633
2020-12-31,13.633
2021-01-01,13.633
2021-01-02,13.633
2021-01-03,13.633
2021-01-04,13.633
2021-01-05,13.633
2021-01-06,13.633
2021-01-07,13.633
2021-01-08,13.633
2021-01-09,13.633
2021-01-10,13.633
2021-01-11,13.633
2021-01-12,13.633
2021-01-13,13.633
2021-01-14,13.633
2021-01-15,13.633
2021-01-16,13.633
2021-01-17,13.633
2021-01-18,13.633
2021-01-19,13.633
2021-01-20,13.633
2021-01-21,13.633
2021-01-22,13.633
2021-01-23,13.633
2021-01-24,13.633
2021-01-25,13.633
2021-01-26,13.633
2021-01-27,13.633
2021-01-28,13.633
2021-01-29,13.633
2021-01-30,13.633
2021-01-31,13.633
2021-02-01,13.633
2021-02-02,13.633
2021-02-03,13.633
2021-02-04,13.633
2021-02-05,13.633
2021-02-06,13.633
2021-02-07,13.633
2021-02-08,13.633
2021-02-09,13.633
2021-02-10,13.633
2021-02-11,13.633
2021-02-12,13.633
2021-02-13,13.633
2021-02-14,13.633
2021-02-15,13.633
2021-02-16,13.633
2021-02-17,13.633
2021-02-18,13.633
2021-02-19,13.633
2021-02-20,13.633
2021-02-21,13.633
2021-02-22,13.633
2021-02-23,13.633
2021-02-24,13.633
2021-02-25,13.633
2021-02-26,13.633
2021-02-27,13.633
2021-02-28,13.633
2021-03-01,13.598
2021-03-02,13.598
2021-03-03,13.598
2021-03-04,13.598
2021-03-05,13.598
2021-03-06,13.598
2021-03-07,13.598
2021-03-08,13.598
2021-03-09,13.598
2021-03-10,13.598
2021-03-11,13.598
2021-03-12,13.598
2021-03-13,13.598
2021-03-14,13.598
2021-03-15,13.722
2021-03-16,13.722
2021-03-17,13.722
2021-03-18,13.418
2021-03-19,13.418
2021-03-20,13.418
2021-03-21,13.418
2021-03-22,13.418
2021-03-23,13.418
2021-03-24,13.418
2021-03-25,13.418
2021-03-26,13.418
2021-03-27,13.418
2021-03-28,13.418
2021-03-29,13.418
2021-03-30,13.418
2021-03-31,13.4
2021-04-01,13.4
2021-04-02,13.4
2021-04-03,13.4
2021-04-04,13.4
2021-04-05,13.4
2021-04-06,13.4
2021-04-07,13.4
2021-04-08,13.4
2021-04-09,13.4
2021-04-10,13.4
2021-04-11,13.4
2021-04-12,13.4
2021-04-13,13.4
2021-04-14,13.4
2021-04-15,13.4
2021-04-16,13.4
2021-04-17,13.4
2021-04-18,13.4
2021-04-19,13.4
2021-04-20,13.4
2021-04-21,13.493
2021-04-22,13.493
2021-04-23,13.493
2021-04-24,13.493
2021-04-25,13.493
2021-04-26,13.493
2021-04-27,13.493
2021-04-28,13.493
2021-04-29,13.493
2021-04-30,13.493
2021-05-01,13.493
2021-05-02,13.493
2021-05-03,13.493
2021-05-04,13.493
2021-05-05,13.493
2021-05-06,13.493
2021-05-07,13.493
2021-05-08,13.493
2021-05-09,13.493
2021-05-10,13.493
2021-05-11,13.493
2021-05-12,13.493
2021-05-13,13.493
2021-05-14,13.493
2021-05-15,13.493
2021-05-16,13.493
2021-05-17,13.493
2021-05-18,13.493
2021-05-19,13.493
2021-05-20,13.493
2021-05-21,13.493
2021-05-22,13.493
2021-05-23,13.493
2021-05-24,13.593
2021-05-25,13.595
2021-05-26,13.595
2021-05-27,14.055
2021-05-28,13.888
2021-05-29,13.888
2021-05-30,13.888
2021-05-31,13.888
2021-06-01,13.922
2021-06-02,13.922
2021-06-03,13.922
2021-06-04,13.922
2021-06-05,13.922
2021-06-06,13.922
2021-06-07,13.922
2021-06-08,13.922
2021-06-09,13.922
2021-06-10,13.922
2021-06-11,13.922
2021-06-12,13.922
2021-06-13,13.922
2021-06-14,13.868
2021-06-15,13.868
2021-06-16,13.868
2021-06-17,13.868
2021-06-18,13.868
2021-06-19,13.868
2021-06-20,13.868
2021-06-21,13.868
2021-06-22,13.868
2021-06-23,13.868
2021-06-24,13.868
2021-06-25,13.868
2021-06-26,13.868
2021-06-27,13.868
2021-06-28,13.868
2021-06-29,13.868
2021-06-30,13.868
2021-07-01,13.868
2021-07-02,13.868
2021-07-03,13.868
2021-07-04,13.868
2021-07-05,13.868
2021-07-06,13.868
2021-07-07,13.868
2021-07-08,13.868
2021-07-09,13.868
2021-07-10,13.868
2021-07-11,13.868
2021-07-12,13.868
2021-07-13,13.868
2021-07-14,13.868
2021-07-15,13.868
2021-07-16,13.868
2021-07-17,13.868
2021-07-18,13.868
2021-07-19,13.868
2021-07-20,13.868
2021-07-21,13.868
2021-07-22,13.868
2021-07-23,13.868
2021-07-24,13.868
2021-07-25,13.868
2021-07-26,13.868
2021-07-27,13.868
2021-07-28,13.868
2021-07-29,13.868
2021-07-30,13.868
2021-07-31,13.868
2021-08-01,13.868
2021-08-02,13.868
2021-08-03,13.868
2021-08-04,13.868
2021-08-05,13.868
2021-08-06,13.868
2021-08-07,13.868
2021-08-08,13.868
2021-08-09,13.868
2021-08-10,13.868
2021-08-11,13.868
2021-08-12,13.868
2021-08-13,13.868
2021-08-14,13.868
2021-08-15,13.868
2021-08-16,13.868
2021-08-17,13.868
2021-08-18,13.868
2021-08-19,13.868
2021-08-20,13.868
2021-08-21,13.868
2021-08-22,13.868
2021-08-23,13.868
2021-08-24,13.868
2021-08-25,13.868
2021-08-26,13.94
2021-08-27,14.102
2021-08-28,14.102
2021-08-29,14.102
2021-08-30,14.102
2021-08-31,14.107
2021-09-01,14.107
2021-09-02,14.107
2021-09-03,14.107
2021-09-04,14.107
2021-09-05,14.107
2021-09-06,14.107
2021-09-07,14.107
2021-09-08,14.037
2021-09-09,14.037
2021-09-10,14.037
2021-09-11,14.037
2021-09-12,14.037
2021-09-13,14.037
2021-09-14,14.037
2021-09-15,14.037
2021-09-16,14.037
2021-09-17,14.037
2021-09-18,14.037
2021-09-19,14.037
2021-09-20,14.037
2021-09-21,14.037
2021-09-22,14.037
2021-09-23,14.037
2021-09-24,14.037
2021-09-25,14.037
2021-09-26,14.037
2021-09-27,14.037
2021-09-28,14.037
2021-09-29,14.037
2021-09-30,14.037
2021-10-01,14.037
2021-10-02,14.037
2021-10-03,14.037
2021-10-04,14.037
2021-10-05,14.037
2021-10-06,14.037
2021-10-07,14.037
2021-10-08,14.037
2021-10-09,14.037
2021-10-10,14.037
2021-10-11,14.037
2021-10-12,14.037
2021-10-13,14.037
2021-10-14,14.037
2021-10-15,14.037
2021-10-16,14.037
2021-10-17,14.037
2021-10-18,14.037
2021-10-19,14.037
2021-10-20,14.037
2021-10-21,14.037
2021-10-22,14.037
2021-10-23,14.037
2021-10-24,14.037
2021-10-25,14.037
2021-10-26,14.037
2021-10-27,14.037
2021-10-28,14.037
2021-10-29,14.037
2021-10-30,14.037
2021-10-31,14.037
2021-11-01,14.037
2021-11-02,14.037
2021-11-03,14.037
2021-11-04,14.037
2021-11-05,14.037
2021-11-06,14.037
2021-11-07,14.037
2021-11-08,13.913
2021-11-09,13.913
2021-11-10,13.913
2021-11-11,13.913
2021-11-12,13.913
2021-11-13,13.913
2021-11-14,13.913
2021-11-15,13.913
2021-11-16,13.913
2021-11-17,13.913
2021-11-18,13.913
2021-11-19,13.913
2021-11-20,13.913
2021-11-21,13.913
2021-11-22,13.913
2021-11-23,13.913
2021-11-24,13.913
2021-11-25,13.913
2021-11-26,13.913
2021-11-27,13.913
2021-11-28,13.913
2021-11-29,13.913
2021-11-30,13.913
2021-12-01,13.913
2021-12-02,13.812
2021-12-03,13.853
2021-12-04,13.853
2021-12-05,13.557
2021-12-06,13.557
2021-12-07,13.557
2021-12-08,13.557
2021-12-09,13.557
2021-12-10,13.557
2021-12-11,13.557
2021-12-12,13.557
2021-12-13,13.557
2021-12-14,13.557
2021-12-15,13.557
2021-12-16,13.557
2021-12-17,13.557
2021-12-18,13.557
2021-12-19,13.557
2021-12-20,13.557
2021-12-21,13.557
2021-12-22,13.557
2021-12-23,13.557
2021-12-24,13.36
2021-12-25,13.36
2021-12-26,13.36
2021-12-27,13.36
2021-12-28,13.36
2021-12-29,13.36
2021-12-30,13.36
2021-12-31,13.36
2022-01-01,13.36
2022-01-02,13.36
2022-01-03,13.36
2022-01-04,13.36
2022-01-05,13.36
2022-01-06,13.36
2022-01-07,13.36
2022-01-08,13.36
2022-01-09,13.36
2022-01-10,13.36
2022-01-11,13.36
2022-01-12,13.36
2022-01-13,13.36
2022-01-14,13.503
2022-01-15,13.503
2022-01-16,13.503
2022-01-17,13.503
2022-01-18,13.503
2022-01-19,13.503
2022-01-20,13.503
2022-01-21,13.503
2022-01-22,13.503
2022-01-23,13.503
2022-01-24,13.503
2022-01-25,13.503
2022-01-26,13.503
2022-01-27,13.503
2022-01-28,13.503
2022-01-29,13.503
2022-01-30,13.503
2022-01-31,13.503
2022-02-01,13.503
2022-02-02,13.503
2022-02-03,13.503
2022-02-04,13.503
2022-02-05,13.503
2022-02-06,13.503
2022-02-07,13.503
2022-02-08,13.503
2022-02-09,13.503
2022-02-10,13.503
2022-02-11,13.503
2022-02-12,13.503
2022-02-13,13.503
2022-02-14,13.503
2022-02-15,13.503
2022-02-16,13.503
2022-02-17,13.503
2022-02-18,13.503
2022-02-19,13.503
2022-02-20,13.503
2022-02-21,13.503
2022-02-22,13.503
2022-02-23,13.478
2022-02-24,13.478
2022-02-25,13.478
2022-02-26,13.478
2022-02-27,13.478
2022-02-28,13.478
2022-03-01,13.478
2022-03-02,13.478
2022-03-03,13.478
2022-03-04,13.478
2022-03-05,13.478
2022-03-06,13.478
2022-03-07,13.478
2022-03-08,13.478
2022-03-09,13.478
2022-03-10,13.478
2022-03-11,13.478
2022-03-12,13.478
2022-03-13,13.478
2022-03-14,13.478
2022-03-15,13.478
2022-03-16,13.478
2022-03-17,13.809
2022-03-18,13.815
2022-03-19,13.815
2022-03-20,13.815
2022-03-21,13.815
2022-03-22,13.815
2022-03-23,13.815
2022-03-24,13.815
2022-03-25,13.815
2022-03-26,13.815
2022-03-27,13.815
2022-03-28,13.815
2022-03-29,13.815
2022-03-30,13.815
2022-03-31,13.815
2022-04-01,13.815
2022-04-02,13.815
2022-04-03,13.815
2022-04-04,13.855
2022-04-05,13.855
2022-04-06,13.855
2022-04-07,13.86
2022-04-08,13.86
2022-04-09,13.86
2022-04-10,13.86
2022-04-11,13.86
2022-04-12,13.86
2022-04-13,13.86
2022-04-14,13.86
2022-04-15,13.86
2022-04-16,13.86
2022-04-17,13.86
2022-04-18,13.86
2022-04-19,13.86
2022-04-20,13.86
2022-04-21,13.86
2022-04-22,13.86
2022-04-23,13.86
2022-04-24,13.86
2022-04-25,13.86
2022-04-26,13.86
2022-04-27,13.86
2022-04-28,13.86
2022-04-29,13.86
2022-04-30,13.86
2022-05-01,13.86
2022-05-02,13.908
2022-05-03,13.908
2022-05-04,13.908
2022-05-05,13.908
2022-05-06,13.908
2022-05-07,13.908
2022-05-08,13.908
2022-05-09,13.908
2022-05-10,13.908
2022-05-11,13.908
2022-05-12,13.908
2022-05-13,13.908
2022-05-14,13.908
2022-05-15,13.908
2022-05-16,13.908
2022-05-17,13.908
2022-05-18,13.908
2022-05-19,13.908
2022-05-20,13.908
2022-05-21,13.908
2022-05-22,13.908
2022-05-23,13.908
2022-05-24,13.908
2022-05-25,13.893
2022-05-26,13.962
2022-05-27,13.983
2022-05-28,14.002
2022-05-29,14.002
2022-05-30,14.002
2022-05-31,14.002
2022-06-01,14.002
2022-06-02,14.002
2022-06-03,14.002
2022-06-04,14.002
2022-06-05,14.009
2022-06-06,14.009
2022-06-07,14.009
2022-06-08,13.987
2022-06-09,13.945
2022-06-10,13.941
2022-06-11,13.941
2022-06-12,13.941
2022-06-13,13.941
2022-06-14,13.941
2022-06-15,13.988
2022-06-16,13.988
2022-06-17,13.988
2022-06-18,13.988
2022-06-19,13.988
2022-06-20,13.988
2022-06-21,13.988
2022-06-22,13.988
2022-06-23,13.989
2022-06-24,13.989
2022-06-25,13.989
2022-06-26,13.989
2022-06-27,13.989
2022-06-28,13.963
2022-06-29,13.963
2022-06-30,13.963
2022-07-01,13.963
2022-07-02,13.963
2022-07-03,13.963
2022-07-04,13.963
2022-07-05,13.963
2022-07-06,13.963
2022-07-07,13.973
2022-07-08,13.973
2022-07-09,13.973
2022-07-10,13.973
2022-07-11,13.973
2022-07-12,13.973
2022-07-13,13.973
2022-07-14,13.973
2022-07-15,13.973
2022-07-16,13.961
2022-07-17,13.961
2022-07-18,13.944
2022-07-19,13.944
2022-07-20,13.944
2022-07-21,13.944
2022-07-22,13.944
2022-07-23,13.944
2022-07-24,13.944
2022-07-25,13.944
2022-07-26,13.944
2022-07-27,13.944
2022-07-28,13.944
2022-07-29,13.944
2022-07-30,13.944
2022-07-31,13.944
2022-08-01,13.944
2022-08-02,13.944
2022-08-03,13.944
2022-08-04,13.944
2022-08-05,13.944
2022-08-06,13.944
2022-08-07,13.944
2022-08-08,13.944
2022-08-09,13.944
2022-08-10,13.944
2022-08-11,13.926
2022-08-12,13.926
2022-08-13,13.926
2022-08-14,13.973
2022-08-15,13.92
2022-08-16,13.92
2022-08-17,13.92
2022-08-18,13.92
2022-08-19,13.92
2022-08-20,13.92
2022-08-21,13.92
2022-08-22,13.92
2022-08-23,13.926
2022-08-24,13.926
2022-08-25,13.909
2022-08-26,14.04
2022-08-27,14.04
2022-08-28,14.04
2022-08-29,14.04
2022-08-30,14.04
2022-08-31,14.055
2022-09-01,14.074
2022-09-02,14.074
2022-09-03,14.074
2022-09-04,14.074
2022-09-05,14.074
2022-09-06,14.028
2022-09-07,14.028
2022-09-08,14.028
2022-09-09,14.028
2022-09-10,14.028
2022-09-11,14.028
2022-09-12,14.028
2022-09-13,14.028
2022-09-14,14.028
2022-09-15,14.028
2022-09-16,14.066
2022-09-17,14.066
2022-09-18,14.066
2022-09-19,14.066
2022-09-20,14.106
2022-09-21,14.106
2022-09-22,14.106
2022-09-23,14.106
