,DKS US Equity
2020-02-05,13.3
2020-02-06,13.3
2020-02-07,13.3
2020-02-08,13.3
2020-02-09,13.3
2020-02-10,13.3
2020-02-11,13.3
2020-02-12,13.3
2020-02-13,13.3
2020-02-14,13.3
2020-02-15,13.3
2020-02-16,13.3
2020-02-17,13.3
2020-02-18,13.3
2020-02-19,13.3
2020-02-20,13.3
2020-02-21,13.3
2020-02-22,13.3
2020-02-23,13.3
2020-02-24,13.3
2020-02-25,13.3
2020-02-26,13.3
2020-02-27,13.3
2020-02-28,13.3
2020-02-29,13.3
2020-03-01,13.3
2020-03-02,13.3
2020-03-03,13.3
2020-03-04,13.3
2020-03-05,13.3
2020-03-06,13.3
2020-03-07,13.3
2020-03-08,13.3
2020-03-09,13.3
2020-03-10,13.3
2020-03-11,13.3
2020-03-12,13.3
2020-03-13,13.3
2020-03-14,13.3
2020-03-15,13.3
2020-03-16,13.3
2020-03-17,13.3
2020-03-18,13.3
2020-03-19,13.3
2020-03-20,13.3
2020-03-21,13.3
2020-03-22,13.3
2020-03-23,13.3
2020-03-24,13.3
2020-03-25,13.3
2020-03-26,13.3
2020-03-27,13.3
2020-03-28,13.3
2020-03-29,13.3
2020-03-30,13.3
2020-03-31,13.3
2020-04-01,13.3
2020-04-02,13.3
2020-04-03,13.3
2020-04-04,13.3
2020-04-05,13.3
2020-04-06,13.3
2020-04-07,13.3
2020-04-08,13.3
2020-04-09,13.3
2020-04-10,13.3
2020-04-11,13.3
2020-04-12,13.3
2020-04-13,13.3
2020-04-14,13.3
2020-04-15,13.3
2020-04-16,13.3
2020-04-17,13.3
2020-04-18,13.3
2020-04-19,13.3
2020-04-20,13.3
2020-04-21,13.3
2020-04-22,13.3
2020-04-23,13.3
2020-04-24,13.3
2020-04-25,13.3
2020-04-26,13.3
2020-04-27,13.3
2020-04-28,13.3
2020-04-29,13.3
2020-04-30,13.3
2020-05-01,13.3
2020-05-02,13.3
2020-05-03,13.3
2020-05-04,13.3
2020-05-05,13.3
2020-05-06,13.3
2020-05-07,13.3
2020-05-08,13.3
2020-05-09,13.3
2020-05-10,13.3
2020-05-11,13.3
2020-05-12,13.3
2020-05-13,13.3
2020-05-14,13.3
2020-05-15,13.3
2020-05-16,13.3
2020-05-17,13.3
2020-05-18,13.3
2020-05-19,13.3
2020-05-20,13.3
2020-05-21,13.3
2020-05-22,13.3
2020-05-23,13.3
2020-05-24,13.3
2020-05-25,13.3
2020-05-26,13.3
2020-05-27,13.3
2020-05-28,13.3
2020-05-29,13.3
2020-05-30,13.3
2020-05-31,13.3
2020-06-01,13.3
2020-06-02,8.82
2020-06-03,8.82
2020-06-04,8.82
2020-06-05,8.82
2020-06-06,8.82
2020-06-07,8.82
2020-06-08,8.82
2020-06-09,8.82
2020-06-10,8.82
2020-06-11,8.82
2020-06-12,8.82
2020-06-13,8.82
2020-06-14,8.82
2020-06-15,8.82
2020-06-16,8.82
2020-06-17,8.82
2020-06-18,8.82
2020-06-19,8.82
2020-06-20,8.82
2020-06-21,8.82
2020-06-22,8.82
2020-06-23,8.82
2020-06-24,9.23
2020-06-25,9.23
2020-06-26,9.23
2020-06-27,9.23
2020-06-28,9.23
2020-06-29,9.23
2020-06-30,9.23
2020-07-01,9.23
2020-07-02,9.23
2020-07-03,9.23
2020-07-04,9.23
2020-07-05,9.23
2020-07-06,9.23
2020-07-07,9.23
2020-07-08,9.23
2020-07-09,9.23
2020-07-10,9.23
2020-07-11,9.23
2020-07-12,9.23
2020-07-13,9.23
2020-07-14,9.23
2020-07-15,9.23
2020-07-16,9.23
2020-07-17,9.23
2020-07-18,9.23
2020-07-19,9.23
2020-07-20,9.23
2020-07-21,9.23
2020-07-22,9.23
2020-07-23,9.23
2020-07-24,9.23
2020-07-25,9.23
2020-07-26,9.23
2020-07-27,9.23
2020-07-28,9.23
2020-07-29,9.23
2020-07-30,9.23
2020-07-31,9.23
2020-08-01,9.23
2020-08-02,9.23
2020-08-03,9.23
2020-08-04,9.23
2020-08-05,9.23
2020-08-06,9.23
2020-08-07,9.23
2020-08-08,9.23
2020-08-09,9.23
2020-08-10,9.23
2020-08-11,9.23
2020-08-12,9.23
2020-08-13,9.23
2020-08-14,9.23
2020-08-15,9.23
2020-08-16,9.23
2020-08-17,9.23
2020-08-18,9.37
2020-08-19,9.37
2020-08-20,9.37
2020-08-21,9.37
2020-08-22,9.37
2020-08-23,9.37
2020-08-24,9.37
2020-08-25,9.37
2020-08-26,8.677
2020-08-27,8.677
2020-08-28,8.677
2020-08-29,8.677
2020-08-30,8.677
2020-08-31,8.677
2020-09-01,8.677
2020-09-02,8.677
2020-09-03,7.708
2020-09-04,7.708
2020-09-05,7.708
2020-09-06,7.708
2020-09-07,7.708
2020-09-08,7.708
2020-09-09,7.708
2020-09-10,7.708
2020-09-11,7.708
2020-09-12,7.708
2020-09-13,7.708
2020-09-14,7.708
2020-09-15,7.708
2020-09-16,7.708
2020-09-17,7.708
2020-09-18,7.708
2020-09-19,7.708
2020-09-20,7.708
2020-09-21,7.708
2020-09-22,7.708
2020-09-23,7.708
2020-09-24,7.708
2020-09-25,7.708
2020-09-26,7.708
2020-09-27,7.708
2020-09-28,7.708
2020-09-29,7.708
2020-09-30,7.708
2020-10-01,7.508
2020-10-02,7.508
2020-10-03,7.508
2020-10-04,7.508
2020-10-05,7.508
2020-10-06,7.508
2020-10-07,7.48
2020-10-08,7.48
2020-10-09,7.48
2020-10-10,7.48
2020-10-11,7.48
2020-10-12,7.48
2020-10-13,7.48
2020-10-14,7.48
2020-10-15,7.48
2020-10-16,7.48
2020-10-17,7.48
2020-10-18,7.48
2020-10-19,7.48
2020-10-20,7.48
2020-10-21,7.48
2020-10-22,7.48
2020-10-23,7.48
2020-10-24,7.48
2020-10-25,7.48
2020-10-26,7.48
2020-10-27,7.48
2020-10-28,7.48
2020-10-29,7.48
2020-10-30,7.48
2020-10-31,7.48
2020-11-01,7.48
2020-11-02,7.48
2020-11-03,7.48
2020-11-04,7.48
2020-11-05,7.48
2020-11-06,7.48
2020-11-07,7.48
2020-11-08,7.48
2020-11-09,7.48
2020-11-10,7.568
2020-11-11,7.568
2020-11-12,7.568
2020-11-13,7.568
2020-11-14,7.568
2020-11-15,7.568
2020-11-16,7.568
2020-11-17,7.568
2020-11-18,7.568
2020-11-19,7.568
2020-11-20,7.568
2020-11-21,7.568
2020-11-22,7.568
2020-11-23,7.568
2020-11-24,7.93
2020-11-25,8.125
2020-11-26,8.125
2020-11-27,8.125
2020-11-28,8.125
2020-11-29,8.125
2020-11-30,8.125
2020-12-01,7.736
2020-12-02,7.736
2020-12-03,7.736
2020-12-04,7.736
2020-12-05,7.736
2020-12-06,7.736
2020-12-07,7.736
2020-12-08,7.736
2020-12-09,7.736
2020-12-10,7.736
2020-12-11,7.736
2020-12-12,7.736
2020-12-13,7.736
2020-12-14,7.736
2020-12-15,7.736
2020-12-16,7.736
2020-12-17,7.736
2020-12-18,7.736
2020-12-19,8.47
2020-12-20,8.47
2020-12-21,8.47
2020-12-22,8.47
2020-12-23,8.47
2020-12-24,8.47
2020-12-25,8.47
2020-12-26,8.47
2020-12-27,8.47
2020-12-28,8.47
2020-12-29,8.47
2020-12-30,8.47
2020-12-31,8.47
2021-01-01,8.47
2021-01-02,8.47
2021-01-03,8.47
2021-01-04,8.47
2021-01-05,8.47
2021-01-06,8.47
2021-01-07,8.47
2021-01-08,8.47
2021-01-09,8.47
2021-01-10,8.47
2021-01-11,8.47
2021-01-12,8.47
2021-01-13,8.47
2021-01-14,8.47
2021-01-15,8.47
2021-01-16,8.47
2021-01-17,8.47
2021-01-18,8.47
2021-01-19,8.47
2021-01-20,8.305
2021-01-21,8.305
2021-01-22,8.305
2021-01-23,8.305
2021-01-24,8.305
2021-01-25,8.305
2021-01-26,8.305
2021-01-27,8.305
2021-01-28,8.305
2021-01-29,8.305
2021-01-30,8.305
2021-01-31,8.305
2021-02-01,8.305
2021-02-02,8.305
2021-02-03,8.305
2021-02-04,8.305
2021-02-05,8.305
2021-02-06,8.305
2021-02-07,8.305
2021-02-08,8.305
2021-02-09,8.305
2021-02-10,8.305
2021-02-11,8.305
2021-02-12,8.305
2021-02-13,8.305
2021-02-14,8.305
2021-02-15,8.305
2021-02-16,8.305
2021-02-17,8.44
2021-02-18,8.44
2021-02-19,8.44
2021-02-20,8.44
2021-02-21,8.44
2021-02-22,8.44
2021-02-23,8.44
2021-02-24,8.44
2021-02-25,8.44
2021-02-26,8.44
2021-02-27,8.44
2021-02-28,8.44
2021-03-01,8.44
2021-03-02,8.44
2021-03-03,8.44
2021-03-04,8.44
2021-03-05,8.44
2021-03-06,8.44
2021-03-07,8.44
2021-03-08,8.53
2021-03-09,8.202
2021-03-10,8.188
2021-03-11,8.166
2021-03-12,8.178
2021-03-13,8.178
2021-03-14,8.178
2021-03-15,8.178
2021-03-16,8.178
2021-03-17,8.178
2021-03-18,8.178
2021-03-19,8.178
2021-03-20,8.178
2021-03-21,8.178
2021-03-22,8.178
2021-03-23,8.178
2021-03-24,8.178
2021-03-25,8.178
2021-03-26,8.178
2021-03-27,8.178
2021-03-28,8.178
2021-03-29,8.178
2021-03-30,8.178
2021-03-31,8.178
2021-04-01,8.178
2021-04-02,8.178
2021-04-03,8.178
2021-04-04,8.178
2021-04-05,8.178
2021-04-06,8.178
2021-04-07,8.178
2021-04-08,8.178
2021-04-09,8.178
2021-04-10,8.178
2021-04-11,8.178
2021-04-12,8.178
2021-04-13,8.178
2021-04-14,7.777
2021-04-15,7.777
2021-04-16,7.777
2021-04-17,7.777
2021-04-18,7.777
2021-04-19,7.777
2021-04-20,7.777
2021-04-21,7.777
2021-04-22,7.777
2021-04-23,7.777
2021-04-24,7.777
2021-04-25,7.777
2021-04-26,7.777
2021-04-27,7.777
2021-04-28,7.777
2021-04-29,7.777
2021-04-30,7.777
2021-05-01,7.777
2021-05-02,7.777
2021-05-03,7.777
2021-05-04,7.777
2021-05-05,7.777
2021-05-06,7.777
2021-05-07,7.777
2021-05-08,7.777
2021-05-09,7.777
2021-05-10,7.777
2021-05-11,7.777
2021-05-12,7.777
2021-05-13,7.777
2021-05-14,7.777
2021-05-15,7.777
2021-05-16,7.833
2021-05-17,7.833
2021-05-18,7.833
2021-05-19,8.005
2021-05-20,8.005
2021-05-21,8.005
2021-05-22,8.005
2021-05-23,8.005
2021-05-24,8.005
2021-05-25,8.005
2021-05-26,9.06
2021-05-27,8.977
2021-05-28,8.977
2021-05-29,8.977
2021-05-30,8.977
2021-05-31,8.977
2021-06-01,8.977
2021-06-02,9.22
2021-06-03,9.22
2021-06-04,9.22
2021-06-05,9.22
2021-06-06,9.22
2021-06-07,9.22
2021-06-08,9.22
2021-06-09,9.22
2021-06-10,9.3
2021-06-11,9.3
2021-06-12,9.3
2021-06-13,9.3
2021-06-14,9.3
2021-06-15,9.3
2021-06-16,9.3
2021-06-17,9.3
2021-06-18,9.3
2021-06-19,9.3
2021-06-20,9.3
2021-06-21,9.3
2021-06-22,9.3
2021-06-23,9.3
2021-06-24,9.3
2021-06-25,9.3
2021-06-26,9.3
2021-06-27,9.3
2021-06-28,9.3
2021-06-29,9.3
2021-06-30,9.462
2021-07-01,9.462
2021-07-02,9.462
2021-07-03,9.462
2021-07-04,9.462
2021-07-05,9.462
2021-07-06,9.462
2021-07-07,9.462
2021-07-08,9.462
2021-07-09,9.462
2021-07-10,9.462
2021-07-11,9.462
2021-07-12,9.462
2021-07-13,9.462
2021-07-14,9.462
2021-07-15,9.462
2021-07-16,9.462
2021-07-17,9.462
2021-07-18,9.462
2021-07-19,9.462
2021-07-20,9.462
2021-07-21,9.462
2021-07-22,9.462
2021-07-23,9.462
2021-07-24,9.462
2021-07-25,9.462
2021-07-26,9.462
2021-07-27,9.462
2021-07-28,9.462
2021-07-29,9.462
2021-07-30,9.462
2021-07-31,9.462
2021-08-01,9.462
2021-08-02,9.462
2021-08-03,9.568
2021-08-04,9.568
2021-08-05,9.557
2021-08-06,9.557
2021-08-07,9.557
2021-08-08,9.557
2021-08-09,9.557
2021-08-10,9.557
2021-08-11,9.557
2021-08-12,9.557
2021-08-13,9.557
2021-08-14,9.557
2021-08-15,9.557
2021-08-16,9.557
2021-08-17,9.557
2021-08-18,9.557
2021-08-19,9.557
2021-08-20,9.655
2021-08-21,9.655
2021-08-22,9.655
2021-08-23,9.655
2021-08-24,9.655
2021-08-25,10.975
2021-08-26,11.575
2021-08-27,11.575
2021-08-28,11.575
2021-08-29,11.575
2021-08-30,11.575
2021-08-31,11.575
2021-09-01,11.575
2021-09-02,11.575
2021-09-03,11.575
2021-09-04,11.575
2021-09-05,11.575
2021-09-06,11.575
2021-09-07,11.575
2021-09-08,11.575
2021-09-09,11.575
2021-09-10,11.575
2021-09-11,11.575
2021-09-12,11.575
2021-09-13,11.575
2021-09-14,11.575
2021-09-15,11.575
2021-09-16,11.63
2021-09-17,11.63
2021-09-18,11.63
2021-09-19,11.63
2021-09-20,11.63
2021-09-21,11.63
2021-09-22,11.63
2021-09-23,11.63
2021-09-24,11.63
2021-09-25,11.63
2021-09-26,11.63
2021-09-27,11.63
2021-09-28,11.63
2021-09-29,11.63
2021-09-30,11.63
2021-10-01,11.63
2021-10-02,11.63
2021-10-03,11.63
2021-10-04,11.63
2021-10-05,11.63
2021-10-06,11.63
2021-10-07,11.63
2021-10-08,11.63
2021-10-09,11.63
2021-10-10,11.63
2021-10-11,11.63
2021-10-12,11.63
2021-10-13,11.63
2021-10-14,11.63
2021-10-15,11.63
2021-10-16,11.63
2021-10-17,11.63
2021-10-18,11.63
2021-10-19,11.63
2021-10-20,11.63
2021-10-21,11.628
2021-10-22,11.628
2021-10-23,11.628
2021-10-24,11.628
2021-10-25,11.628
2021-10-26,11.628
2021-10-27,11.628
2021-10-28,11.628
2021-10-29,11.628
2021-10-30,11.628
2021-10-31,11.628
2021-11-01,11.628
2021-11-02,11.628
2021-11-03,11.628
2021-11-04,11.628
2021-11-05,11.628
2021-11-06,11.628
2021-11-07,11.628
2021-11-08,11.628
2021-11-09,11.628
2021-11-10,11.628
2021-11-11,11.628
2021-11-12,11.628
2021-11-13,11.628
2021-11-14,11.628
2021-11-15,11.628
2021-11-16,11.628
2021-11-17,11.628
2021-11-18,11.628
2021-11-19,11.628
2021-11-20,11.628
2021-11-21,11.628
2021-11-22,11.628
2021-11-23,12.025
2021-11-24,12.132
2021-11-25,12.132
2021-11-26,12.38
2021-11-27,12.38
2021-11-28,12.38
2021-11-29,12.38
2021-11-30,12.38
2021-12-01,12.38
2021-12-02,12.38
2021-12-03,12.38
2021-12-04,12.38
2021-12-05,12.38
2021-12-06,12.38
2021-12-07,12.38
2021-12-08,12.38
2021-12-09,12.38
2021-12-10,12.38
2021-12-11,12.38
2021-12-12,12.38
2021-12-13,12.38
2021-12-14,12.38
2021-12-15,12.38
2021-12-16,12.43
2021-12-17,12.43
2021-12-18,12.43
2021-12-19,12.43
2021-12-20,12.43
2021-12-21,12.43
2021-12-22,12.43
2021-12-23,12.43
2021-12-24,12.43
2021-12-25,12.43
2021-12-26,12.43
2021-12-27,12.43
2021-12-28,12.43
2021-12-29,12.43
2021-12-30,12.43
2021-12-31,12.43
2022-01-01,12.43
2022-01-02,12.43
2022-01-03,12.43
2022-01-04,12.43
2022-01-05,12.43
2022-01-06,13.335
2022-01-07,13.335
2022-01-08,13.335
2022-01-09,13.335
2022-01-10,13.52
2022-01-11,13.52
2022-01-12,13.52
2022-01-13,13.52
2022-01-14,13.6
2022-01-15,13.6
2022-01-16,13.6
2022-01-17,13.6
2022-01-18,13.6
2022-01-19,13.6
2022-01-20,13.6
2022-01-21,13.6
2022-01-22,13.6
2022-01-23,13.6
2022-01-24,13.6
2022-01-25,13.6
2022-01-26,13.6
2022-01-27,13.6
2022-01-28,13.6
2022-01-29,13.6
2022-01-30,13.6
2022-01-31,13.6
2022-02-01,13.6
2022-02-02,13.6
2022-02-03,13.6
2022-02-04,13.6
2022-02-05,13.6
2022-02-06,13.6
2022-02-07,13.6
2022-02-08,13.6
2022-02-09,13.6
2022-02-10,13.6
2022-02-11,13.6
2022-02-12,13.6
2022-02-13,13.6
2022-02-14,13.6
2022-02-15,13.6
2022-02-16,13.6
2022-02-17,13.618
2022-02-18,13.618
2022-02-19,13.618
2022-02-20,13.618
2022-02-21,13.618
2022-02-22,13.618
2022-02-23,13.618
2022-02-24,13.618
2022-02-25,13.618
2022-02-26,13.618
2022-02-27,13.618
2022-02-28,13.618
2022-03-01,13.618
2022-03-02,13.618
2022-03-03,13.618
2022-03-04,13.618
2022-03-05,13.618
2022-03-06,13.618
2022-03-07,13.618
2022-03-08,13.461
2022-03-09,13.466
2022-03-10,13.823
2022-03-11,13.823
2022-03-12,13.823
2022-03-13,13.852
2022-03-14,13.852
2022-03-15,13.852
2022-03-16,13.852
2022-03-17,13.852
2022-03-18,13.852
2022-03-19,13.852
2022-03-20,13.852
2022-03-21,13.852
2022-03-22,13.852
2022-03-23,13.852
2022-03-24,13.852
2022-03-25,13.852
2022-03-26,13.852
2022-03-27,13.852
2022-03-28,13.852
2022-03-29,13.852
2022-03-30,13.852
2022-03-31,13.852
2022-04-01,13.852
2022-04-02,13.852
2022-04-03,13.852
2022-04-04,13.939
2022-04-05,13.939
2022-04-06,13.939
2022-04-07,13.939
2022-04-08,13.939
2022-04-09,13.939
2022-04-10,13.939
2022-04-11,14.431
2022-04-12,14.431
2022-04-13,14.431
2022-04-14,14.431
2022-04-15,14.431
2022-04-16,14.431
2022-04-17,14.431
2022-04-18,14.431
2022-04-19,14.145
2022-04-20,14.145
2022-04-21,14.145
2022-04-22,14.145
2022-04-23,14.145
2022-04-24,14.145
2022-04-25,14.145
2022-04-26,14.145
2022-04-27,14.145
2022-04-28,14.145
2022-04-29,14.145
2022-04-30,14.145
2022-05-01,14.118
2022-05-02,14.18
2022-05-03,14.18
2022-05-04,14.18
2022-05-05,14.18
2022-05-06,14.18
2022-05-07,14.18
2022-05-08,14.18
2022-05-09,14.18
2022-05-10,14.18
2022-05-11,14.18
2022-05-12,14.18
2022-05-13,14.18
2022-05-14,14.18
2022-05-15,14.18
2022-05-16,14.18
2022-05-17,14.18
2022-05-18,14.18
2022-05-19,14.18
2022-05-20,14.18
2022-05-21,14.163
2022-05-22,14.163
2022-05-23,14.043
2022-05-24,14.043
2022-05-25,13.742
2022-05-26,12.711
2022-05-27,12.42
2022-05-28,12.42
2022-05-29,12.42
2022-05-30,12.42
2022-05-31,12.42
2022-06-01,12.42
2022-06-02,12.42
2022-06-03,12.42
2022-06-04,12.42
2022-06-05,12.42
2022-06-06,12.42
2022-06-07,12.181
2022-06-08,12.181
2022-06-09,12.181
2022-06-10,12.181
2022-06-11,12.181
2022-06-12,12.181
2022-06-13,12.181
2022-06-14,12.3
2022-06-15,12.14
2022-06-16,12.14
2022-06-17,12.14
2022-06-18,12.14
2022-06-19,12.14
2022-06-20,12.14
2022-06-21,12.14
2022-06-22,12.14
2022-06-23,12.14
2022-06-24,12.14
2022-06-25,12.14
2022-06-26,12.14
2022-06-27,12.14
2022-06-28,12.14
2022-06-29,12.14
2022-06-30,12.14
2022-07-01,12.14
2022-07-02,12.14
2022-07-03,12.14
2022-07-04,12.14
2022-07-05,12.14
2022-07-06,12.14
2022-07-07,12.14
2022-07-08,12.14
2022-07-09,12.14
2022-07-10,12.14
2022-07-11,12.14
2022-07-12,12.157
2022-07-13,12.157
2022-07-14,12.157
2022-07-15,12.157
2022-07-16,12.157
2022-07-17,12.157
2022-07-18,12.157
2022-07-19,12.157
2022-07-20,12.157
2022-07-21,12.157
2022-07-22,12.157
2022-07-23,12.157
2022-07-24,12.157
2022-07-25,12.157
2022-07-26,12.157
2022-07-27,12.157
2022-07-28,12.157
2022-07-29,12.157
2022-07-30,12.157
2022-07-31,12.157
2022-08-01,11.993
2022-08-02,11.993
2022-08-03,11.993
2022-08-04,11.993
2022-08-05,11.993
2022-08-06,11.993
2022-08-07,11.993
2022-08-08,11.993
2022-08-09,11.993
2022-08-10,12.095
2022-08-11,12.095
2022-08-12,12.095
2022-08-13,12.095
2022-08-14,12.095
2022-08-15,12.095
2022-08-16,12.095
2022-08-17,12.112
2022-08-18,12.112
2022-08-19,12.112
2022-08-20,12.112
2022-08-21,12.112
2022-08-22,12.112
2022-08-23,12.286
2022-08-24,12.354
2022-08-25,12.354
2022-08-26,12.354
2022-08-27,12.354
2022-08-28,12.354
2022-08-29,12.354
2022-08-30,12.354
2022-08-31,12.366
2022-09-01,12.366
2022-09-02,12.366
2022-09-03,12.366
2022-09-04,12.366
2022-09-05,12.365
2022-09-06,12.365
2022-09-07,12.446
2022-09-08,12.446
2022-09-09,12.446
2022-09-10,12.446
2022-09-11,12.446
2022-09-12,12.446
