,CWH US Equity
2020-09-10,-39.6376
2020-09-11,-39.6376
2020-09-12,-39.6376
2020-09-13,-39.6376
2020-09-14,-39.6376
2020-09-15,-39.6376
2020-09-16,-39.6376
2020-09-17,-39.6376
2020-09-18,-39.6376
2020-09-19,-39.6376
2020-09-20,-39.6376
2020-09-21,-39.6376
2020-09-22,-39.6376
2020-09-23,-39.6376
2020-09-24,-39.6376
2020-09-25,-39.6376
2020-09-26,-39.6376
2020-09-27,-39.6376
2020-09-28,-39.6376
2020-09-29,-39.6376
2020-09-30,243.2144
2020-10-01,243.2144
2020-10-02,243.2144
2020-10-03,243.2144
2020-10-04,243.2144
2020-10-05,243.2144
2020-10-06,243.2144
2020-10-07,243.2144
2020-10-08,243.2144
2020-10-09,243.2144
2020-10-10,243.2144
2020-10-11,243.2144
2020-10-12,243.2144
2020-10-13,243.2144
2020-10-14,243.2144
2020-10-15,243.2144
2020-10-16,243.2144
2020-10-17,243.2144
2020-10-18,243.2144
2020-10-19,243.2144
2020-10-20,243.2144
2020-10-21,243.2144
2020-10-22,243.2144
2020-10-23,243.2144
2020-10-24,243.2144
2020-10-25,243.2144
2020-10-26,243.2144
2020-10-27,243.2144
2020-10-28,243.2144
2020-10-29,243.2144
2020-10-30,243.2144
2020-10-31,243.2144
2020-11-01,243.2144
2020-11-02,243.2144
2020-11-03,243.2144
2020-11-04,243.2144
2020-11-05,243.2144
2020-11-06,243.2144
2020-11-07,243.2144
2020-11-08,243.2144
2020-11-09,243.2144
2020-11-10,243.2144
2020-11-11,243.2144
2020-11-12,243.2144
2020-11-13,243.2144
2020-11-14,243.2144
2020-11-15,243.2144
2020-11-16,243.2144
2020-11-17,243.2144
2020-11-18,243.2144
2020-11-19,243.2144
2020-11-20,243.2144
2020-11-21,243.2144
2020-11-22,243.2144
2020-11-23,243.2144
2020-11-24,243.2144
2020-11-25,243.2144
2020-11-26,243.2144
2020-11-27,243.2144
2020-11-28,243.2144
2020-11-29,243.2144
2020-11-30,243.2144
2020-12-01,243.2144
2020-12-02,243.2144
2020-12-03,243.2144
2020-12-04,243.2144
2020-12-05,243.2144
2020-12-06,243.2144
2020-12-07,243.2144
2020-12-08,243.2144
2020-12-09,243.2144
2020-12-10,243.2144
2020-12-11,243.2144
2020-12-12,243.2144
2020-12-13,243.2144
2020-12-14,243.2144
2020-12-15,243.2144
2020-12-16,243.2144
2020-12-17,243.2144
2020-12-18,243.2144
2020-12-19,243.2144
2020-12-20,243.2144
2020-12-21,243.2144
2020-12-22,243.2144
2020-12-23,243.2144
2020-12-24,243.2144
2020-12-25,243.2144
2020-12-26,243.2144
2020-12-27,243.2144
2020-12-28,243.2144
2020-12-29,243.2144
2020-12-30,243.2144
2020-12-31,243.2144
2021-01-01,243.2144
2021-01-02,243.2144
2021-01-03,243.2144
2021-01-04,243.2144
2021-01-05,243.2144
2021-01-06,243.2144
2021-01-07,243.2144
2021-01-08,243.2144
2021-01-09,243.2144
2021-01-10,243.2144
2021-01-11,243.2144
2021-01-12,243.2144
2021-01-13,243.2144
2021-01-14,243.2144
2021-01-15,243.2144
2021-01-16,243.2144
2021-01-17,243.2144
2021-01-18,243.2144
2021-01-19,243.2144
2021-01-20,243.2144
2021-01-21,243.2144
2021-01-22,243.2144
2021-01-23,243.2144
2021-01-24,243.2144
2021-01-25,243.2144
2021-01-26,243.2144
2021-01-27,243.2144
2021-01-28,243.2144
2021-01-29,243.2144
2021-01-30,243.2144
2021-01-31,243.2144
2021-02-01,243.2144
2021-02-02,243.2144
2021-02-03,243.2144
2021-02-04,243.2144
2021-02-05,243.2144
2021-02-06,243.2144
2021-02-07,243.2144
2021-02-08,243.2144
2021-02-09,243.2144
2021-02-10,243.2144
2021-02-11,243.2144
2021-02-12,243.2144
2021-02-13,243.2144
2021-02-14,243.2144
2021-02-15,243.2144
2021-02-16,243.2144
2021-02-17,243.2144
2021-02-18,243.2144
2021-02-19,243.2144
2021-02-20,243.2144
2021-02-21,243.2144
2021-02-22,243.2144
2021-02-23,243.2144
2021-02-24,243.2144
2021-02-25,243.2144
2021-02-26,243.2144
2021-02-27,243.2144
2021-02-28,243.2144
2021-03-01,243.2144
2021-03-02,243.2144
2021-03-03,243.2144
2021-03-04,243.2144
2021-03-05,243.2144
2021-03-06,243.2144
2021-03-07,243.2144
2021-03-08,243.2144
2021-03-09,243.2144
2021-03-10,243.2144
2021-03-11,243.2144
2021-03-12,243.2144
2021-03-13,243.2144
2021-03-14,243.2144
2021-03-15,243.2144
2021-03-16,243.2144
2021-03-17,243.2144
2021-03-18,243.2144
2021-03-19,243.2144
2021-03-20,243.2144
2021-03-21,243.2144
2021-03-22,243.2144
2021-03-23,243.2144
2021-03-24,243.2144
2021-03-25,243.2144
2021-03-26,243.2144
2021-03-27,243.2144
2021-03-28,243.2144
2021-03-29,243.2144
2021-03-30,243.2144
2021-03-31,243.2144
2021-04-01,243.2144
2021-04-02,243.2144
2021-04-03,243.2144
2021-04-04,243.2144
2021-04-05,243.2144
2021-04-06,243.2144
2021-04-07,243.2144
2021-04-08,243.2144
2021-04-09,243.2144
2021-04-10,243.2144
2021-04-11,243.2144
2021-04-12,243.2144
2021-04-13,243.2144
2021-04-14,243.2144
2021-04-15,243.2144
2021-04-16,243.2144
2021-04-17,243.2144
2021-04-18,243.2144
2021-04-19,243.2144
2021-04-20,243.2144
2021-04-21,243.2144
2021-04-22,243.2144
2021-04-23,243.2144
2021-04-24,243.2144
2021-04-25,243.2144
2021-04-26,243.2144
2021-04-27,243.2144
2021-04-28,243.2144
2021-04-29,243.2144
2021-04-30,243.2144
2021-05-01,243.2144
2021-05-02,243.2144
2021-05-03,243.2144
2021-05-04,243.2144
2021-05-05,243.2144
2021-05-06,243.2144
2021-05-07,243.2144
2021-05-08,243.2144
2021-05-09,243.2144
2021-05-10,243.2144
2021-05-11,243.2144
2021-05-12,243.2144
2021-05-13,243.2144
2021-05-14,243.2144
2021-05-15,243.2144
2021-05-16,243.2144
2021-05-17,243.2144
2021-05-18,243.2144
2021-05-19,243.2144
2021-05-20,243.2144
2021-05-21,243.2144
2021-05-22,243.2144
2021-05-23,243.2144
2021-05-24,243.2144
2021-05-25,243.2144
2021-05-26,243.2144
2021-05-27,243.2144
2021-05-28,243.2144
2021-05-29,243.2144
2021-05-30,243.2144
2021-05-31,243.2144
2021-06-01,243.2144
2021-06-02,243.2144
2021-06-03,243.2144
2021-06-04,243.2144
2021-06-05,243.2144
2021-06-06,243.2144
2021-06-07,243.2144
2021-06-08,243.2144
2021-06-09,243.2144
2021-06-10,243.2144
2021-06-11,243.2144
2021-06-12,243.2144
2021-06-13,243.2144
2021-06-14,243.2144
2021-06-15,243.2144
2021-06-16,243.2144
2021-06-17,243.2144
2021-06-18,243.2144
2021-06-19,243.2144
2021-06-20,243.2144
2021-06-21,243.2144
2021-06-22,243.2144
2021-06-23,243.2144
2021-06-24,243.2144
2021-06-25,243.2144
2021-06-26,243.2144
2021-06-27,243.2144
2021-06-28,243.2144
2021-06-29,243.2144
2021-06-30,278.2155
2021-07-01,278.2155
2021-07-02,278.2155
2021-07-03,278.2155
2021-07-04,278.2155
2021-07-05,278.2155
2021-07-06,278.2155
2021-07-07,278.2155
2021-07-08,278.2155
2021-07-09,278.2155
2021-07-10,278.2155
2021-07-11,278.2155
2021-07-12,278.2155
2021-07-13,278.2155
2021-07-14,278.2155
2021-07-15,278.2155
2021-07-16,278.2155
2021-07-17,278.2155
2021-07-18,278.2155
2021-07-19,278.2155
2021-07-20,278.2155
2021-07-21,278.2155
2021-07-22,278.2155
2021-07-23,278.2155
2021-07-24,278.2155
2021-07-25,278.2155
2021-07-26,278.2155
2021-07-27,278.2155
2021-07-28,278.2155
2021-07-29,278.2155
2021-07-30,278.2155
2021-07-31,278.2155
2021-08-01,278.2155
2021-08-02,278.2155
2021-08-03,278.2155
2021-08-04,278.2155
2021-08-05,278.2155
2021-08-06,278.2155
2021-08-07,278.2155
2021-08-08,278.2155
2021-08-09,278.2155
2021-08-10,278.2155
2021-08-11,278.2155
2021-08-12,278.2155
2021-08-13,278.2155
2021-08-14,278.2155
2021-08-15,278.2155
2021-08-16,278.2155
2021-08-17,278.2155
2021-08-18,278.2155
2021-08-19,278.2155
2021-08-20,278.2155
2021-08-21,278.2155
2021-08-22,278.2155
2021-08-23,278.2155
2021-08-24,278.2155
2021-08-25,278.2155
2021-08-26,278.2155
2021-08-27,278.2155
2021-08-28,278.2155
2021-08-29,278.2155
2021-08-30,278.2155
2021-08-31,278.2155
2021-09-01,278.2155
2021-09-02,278.2155
2021-09-03,278.2155
2021-09-04,278.2155
2021-09-05,278.2155
2021-09-06,278.2155
2021-09-07,278.2155
2021-09-08,278.2155
2021-09-09,278.2155
2021-09-10,278.2155
2021-09-11,278.2155
2021-09-12,278.2155
2021-09-13,278.2155
2021-09-14,278.2155
2021-09-15,278.2155
2021-09-16,278.2155
2021-09-17,278.2155
2021-09-18,278.2155
2021-09-19,278.2155
2021-09-20,278.2155
2021-09-21,278.2155
2021-09-22,278.2155
2021-09-23,278.2155
2021-09-24,278.2155
2021-09-25,278.2155
2021-09-26,278.2155
2021-09-27,278.2155
2021-09-28,278.2155
2021-09-29,278.2155
2021-09-30,201.248
2021-10-01,201.248
2021-10-02,201.248
2021-10-03,201.248
2021-10-04,201.248
2021-10-05,201.248
2021-10-06,201.248
2021-10-07,201.248
2021-10-08,201.248
2021-10-09,201.248
2021-10-10,201.248
2021-10-11,201.248
2021-10-12,201.248
2021-10-13,201.248
2021-10-14,201.248
2021-10-15,201.248
2021-10-16,201.248
2021-10-17,201.248
2021-10-18,201.248
2021-10-19,201.248
2021-10-20,201.248
2021-10-21,201.248
2021-10-22,201.248
2021-10-23,201.248
2021-10-24,201.248
2021-10-25,201.248
2021-10-26,201.248
2021-10-27,201.248
2021-10-28,201.248
2021-10-29,201.248
2021-10-30,201.248
2021-10-31,201.248
2021-11-01,201.248
2021-11-02,201.248
2021-11-03,201.248
2021-11-04,201.248
2021-11-05,201.248
2021-11-06,201.248
2021-11-07,201.248
2021-11-08,201.248
2021-11-09,201.248
2021-11-10,201.248
2021-11-11,201.248
2021-11-12,201.248
2021-11-13,201.248
2021-11-14,201.248
2021-11-15,201.248
2021-11-16,201.248
2021-11-17,201.248
2021-11-18,201.248
2021-11-19,201.248
2021-11-20,201.248
2021-11-21,201.248
2021-11-22,201.248
2021-11-23,201.248
2021-11-24,201.248
2021-11-25,201.248
2021-11-26,201.248
2021-11-27,201.248
2021-11-28,201.248
2021-11-29,201.248
2021-11-30,201.248
2021-12-01,201.248
2021-12-02,201.248
2021-12-03,201.248
2021-12-04,201.248
2021-12-05,201.248
2021-12-06,201.248
2021-12-07,201.248
2021-12-08,201.248
2021-12-09,201.248
2021-12-10,201.248
2021-12-11,201.248
2021-12-12,201.248
2021-12-13,201.248
2021-12-14,201.248
2021-12-15,201.248
2021-12-16,201.248
2021-12-17,201.248
2021-12-18,201.248
2021-12-19,201.248
2021-12-20,201.248
2021-12-21,201.248
2021-12-22,201.248
2021-12-23,201.248
2021-12-24,201.248
2021-12-25,201.248
2021-12-26,201.248
2021-12-27,201.248
2021-12-28,201.248
2021-12-29,201.248
2021-12-30,201.248
2021-12-31,301.3142
2022-01-01,301.3142
2022-01-02,301.3142
2022-01-03,301.3142
2022-01-04,301.3142
2022-01-05,301.3142
2022-01-06,301.3142
2022-01-07,301.3142
2022-01-08,301.3142
2022-01-09,301.3142
2022-01-10,301.3142
2022-01-11,301.3142
2022-01-12,301.3142
2022-01-13,301.3142
2022-01-14,301.3142
2022-01-15,301.3142
2022-01-16,301.3142
2022-01-17,301.3142
2022-01-18,301.3142
2022-01-19,301.3142
2022-01-20,301.3142
2022-01-21,301.3142
2022-01-22,301.3142
2022-01-23,301.3142
2022-01-24,301.3142
2022-01-25,301.3142
2022-01-26,301.3142
2022-01-27,301.3142
2022-01-28,301.3142
2022-01-29,301.3142
2022-01-30,301.3142
2022-01-31,301.3142
2022-02-01,301.3142
2022-02-02,301.3142
2022-02-03,301.3142
2022-02-04,301.3142
2022-02-05,301.3142
2022-02-06,301.3142
2022-02-07,301.3142
2022-02-08,301.3142
2022-02-09,301.3142
2022-02-10,301.3142
2022-02-11,301.3142
2022-02-12,301.3142
2022-02-13,301.3142
2022-02-14,301.3142
2022-02-15,301.3142
2022-02-16,301.3142
2022-02-17,301.3142
2022-02-18,301.3142
2022-02-19,301.3142
2022-02-20,301.3142
2022-02-21,301.3142
2022-02-22,301.3142
2022-02-23,301.3142
2022-02-24,301.3142
2022-02-25,301.3142
2022-02-26,301.3142
2022-02-27,301.3142
2022-02-28,301.3142
2022-03-01,301.3142
2022-03-02,301.3142
2022-03-03,301.3142
2022-03-04,301.3142
2022-03-05,301.3142
2022-03-06,301.3142
2022-03-07,301.3142
2022-03-08,301.3142
2022-03-09,301.3142
2022-03-10,301.3142
2022-03-11,301.3142
2022-03-12,301.3142
2022-03-13,301.3142
2022-03-14,301.3142
2022-03-15,301.3142
2022-03-16,301.3142
2022-03-17,301.3142
2022-03-18,301.3142
2022-03-19,301.3142
2022-03-20,301.3142
2022-03-21,301.3142
2022-03-22,301.3142
2022-03-23,301.3142
2022-03-24,301.3142
2022-03-25,301.3142
2022-03-26,301.3142
2022-03-27,301.3142
2022-03-28,301.3142
2022-03-29,301.3142
2022-03-30,301.3142
2022-03-31,241.0967
2022-04-01,241.0967
2022-04-02,241.0967
2022-04-03,241.0967
2022-04-04,241.0967
2022-04-05,241.0967
2022-04-06,241.0967
2022-04-07,241.0967
2022-04-08,241.0967
2022-04-09,241.0967
2022-04-10,241.0967
2022-04-11,241.0967
2022-04-12,241.0967
2022-04-13,241.0967
2022-04-14,241.0967
2022-04-15,241.0967
2022-04-16,241.0967
2022-04-17,241.0967
2022-04-18,241.0967
2022-04-19,241.0967
2022-04-20,241.0967
2022-04-21,241.0967
2022-04-22,241.0967
2022-04-23,241.0967
2022-04-24,241.0967
2022-04-25,241.0967
2022-04-26,241.0967
2022-04-27,241.0967
2022-04-28,241.0967
2022-04-29,241.0967
2022-04-30,241.0967
2022-05-01,241.0967
2022-05-02,241.0967
2022-05-03,241.0967
2022-05-04,241.0967
2022-05-05,241.0967
2022-05-06,241.0967
2022-05-07,241.0967
2022-05-08,241.0967
2022-05-09,241.0967
2022-05-10,241.0967
2022-05-11,241.0967
2022-05-12,241.0967
2022-05-13,241.0967
2022-05-14,241.0967
2022-05-15,241.0967
2022-05-16,241.0967
2022-05-17,241.0967
2022-05-18,241.0967
2022-05-19,241.0967
2022-05-20,241.0967
2022-05-21,241.0967
2022-05-22,241.0967
2022-05-23,241.0967
2022-05-24,241.0967
2022-05-25,241.0967
2022-05-26,241.0967
2022-05-27,241.0967
2022-05-28,241.0967
2022-05-29,241.0967
2022-05-30,241.0967
2022-05-31,241.0967
2022-06-01,241.0967
2022-06-02,241.0967
2022-06-03,241.0967
2022-06-04,241.0967
2022-06-05,241.0967
2022-06-06,241.0967
2022-06-07,241.0967
2022-06-08,241.0967
2022-06-09,241.0967
2022-06-10,241.0967
2022-06-11,241.0967
2022-06-12,241.0967
2022-06-13,241.0967
2022-06-14,241.0967
2022-06-15,241.0967
2022-06-16,241.0967
2022-06-17,241.0967
2022-06-18,241.0967
2022-06-19,241.0967
2022-06-20,241.0967
2022-06-21,241.0967
2022-06-22,241.0967
2022-06-23,241.0967
2022-06-24,241.0967
2022-06-25,241.0967
2022-06-26,241.0967
2022-06-27,241.0967
2022-06-28,241.0967
2022-06-29,241.0967
2022-06-30,131.6978
2022-07-01,131.6978
2022-07-02,131.6978
2022-07-03,131.6978
2022-07-04,131.6978
2022-07-05,131.6978
2022-07-06,131.6978
2022-07-07,131.6978
2022-07-08,131.6978
2022-07-09,131.6978
2022-07-10,131.6978
2022-07-11,131.6978
2022-07-12,131.6978
2022-07-13,131.6978
2022-07-14,131.6978
2022-07-15,131.6978
2022-07-16,131.6978
2022-07-17,131.6978
2022-07-18,131.6978
2022-07-19,131.6978
2022-07-20,131.6978
2022-07-21,131.6978
2022-07-22,131.6978
2022-07-23,131.6978
2022-07-24,131.6978
2022-07-25,131.6978
2022-07-26,131.6978
2022-07-27,131.6978
2022-07-28,131.6978
2022-07-29,131.6978
2022-07-30,131.6978
2022-07-31,131.6978
2022-08-01,131.6978
2022-08-02,131.6978
2022-08-03,131.6978
2022-08-04,131.6978
2022-08-05,131.6978
2022-08-06,131.6978
2022-08-07,131.6978
2022-08-08,131.6978
2022-08-09,131.6978
2022-08-10,131.6978
2022-08-11,131.6978
2022-08-12,131.6978
2022-08-13,131.6978
2022-08-14,131.6978
2022-08-15,131.6978
2022-08-16,131.6978
2022-08-17,131.6978
2022-08-18,131.6978
2022-08-19,131.6978
2022-08-20,131.6978
2022-08-21,131.6978
2022-08-22,131.6978
2022-08-23,131.6978
2022-08-24,131.6978
2022-08-25,131.6978
2022-08-26,131.6978
2022-08-27,131.6978
2022-08-28,131.6978
2022-08-29,131.6978
2022-08-30,131.6978
2022-08-31,131.6978
2022-09-01,131.6978
2022-09-02,131.6978
2022-09-03,131.6978
2022-09-04,131.6978
2022-09-05,131.6978
2022-09-06,131.6978
2022-09-07,131.6978
2022-09-08,131.6978
2022-09-09,131.6978
2022-09-10,131.6978
2022-09-11,131.6978
2022-09-12,131.6978
2022-09-13,131.6978
2022-09-14,131.6978
2022-09-15,131.6978
2022-09-16,131.6978
2022-09-17,131.6978
2022-09-18,131.6978
2022-09-19,131.6978
2022-09-20,131.6978
2022-09-21,131.6978
2022-09-22,131.6978
2022-09-23,131.6978
2022-09-24,131.6978
2022-09-25,131.6978
2022-09-26,131.6978
2022-09-27,131.6978
2022-09-28,131.6978
2022-09-29,131.6978
2022-09-30,96.4197
2022-10-01,96.4197
2022-10-02,96.4197
2022-10-03,96.4197
2022-10-04,96.4197
2022-10-05,96.4197
2022-10-06,96.4197
2022-10-07,96.4197
2022-10-08,96.4197
2022-10-09,96.4197
2022-10-10,96.4197
2022-10-11,96.4197
2022-10-12,96.4197
2022-10-13,96.4197
2022-10-14,96.4197
2022-10-15,96.4197
2022-10-16,96.4197
2022-10-17,96.4197
2022-10-18,96.4197
2022-10-19,96.4197
2022-10-20,96.4197
2022-10-21,96.4197
2022-10-22,96.4197
2022-10-23,96.4197
2022-10-24,96.4197
2022-10-25,96.4197
2022-10-26,96.4197
2022-10-27,96.4197
2022-10-28,96.4197
2022-10-29,96.4197
2022-10-30,96.4197
2022-10-31,96.4197
2022-11-01,96.4197
2022-11-02,96.4197
2022-11-03,96.4197
2022-11-04,96.4197
2022-11-05,96.4197
2022-11-06,96.4197
2022-11-07,96.4197
2022-11-08,96.4197
2022-11-09,96.4197
2022-11-10,96.4197
2022-11-11,96.4197
2022-11-12,96.4197
2022-11-13,96.4197
2022-11-14,96.4197
2022-11-15,96.4197
2022-11-16,96.4197
2022-11-17,96.4197
2022-11-18,96.4197
2022-11-19,96.4197
2022-11-20,96.4197
2022-11-21,96.4197
2022-11-22,96.4197
2022-11-23,96.4197
2022-11-24,96.4197
2022-11-25,96.4197
2022-11-26,96.4197
2022-11-27,96.4197
2022-11-28,96.4197
2022-11-29,96.4197
2022-11-30,96.4197
2022-12-01,96.4197
2022-12-02,96.4197
2022-12-03,96.4197
2022-12-04,96.4197
2022-12-05,96.4197
2022-12-06,96.4197
2022-12-07,96.4197
2022-12-08,96.4197
2022-12-09,96.4197
2022-12-10,96.4197
2022-12-11,96.4197
2022-12-12,96.4197
2022-12-13,96.4197
2022-12-14,96.4197
2022-12-15,96.4197
2022-12-16,96.4197
2022-12-17,96.4197
2022-12-18,96.4197
2022-12-19,96.4197
2022-12-20,96.4197
2022-12-21,96.4197
2022-12-22,96.4197
2022-12-23,96.4197
2022-12-24,96.4197
2022-12-25,96.4197
2022-12-26,96.4197
2022-12-27,96.4197
2022-12-28,96.4197
2022-12-29,96.4197
2022-12-30,96.4197
2022-12-31,89.5409
2023-01-01,89.5409
2023-01-02,89.5409
2023-01-03,89.5409
2023-01-04,89.5409
2023-01-05,89.5409
2023-01-06,89.5409
2023-01-07,89.5409
2023-01-08,89.5409
2023-01-09,89.5409
2023-01-10,89.5409
2023-01-11,89.5409
2023-01-12,89.5409
2023-01-13,89.5409
2023-01-14,89.5409
2023-01-15,89.5409
2023-01-16,89.5409
2023-01-17,89.5409
2023-01-18,89.5409
2023-01-19,89.5409
2023-01-20,89.5409
2023-01-21,89.5409
2023-01-22,89.5409
2023-01-23,89.5409
2023-01-24,89.5409
2023-01-25,89.5409
2023-01-26,89.5409
2023-01-27,89.5409
2023-01-28,89.5409
2023-01-29,89.5409
2023-01-30,89.5409
2023-01-31,89.5409
2023-02-01,89.5409
2023-02-02,89.5409
2023-02-03,89.5409
2023-02-04,89.5409
2023-02-05,89.5409
2023-02-06,89.5409
2023-02-07,89.5409
2023-02-08,89.5409
2023-02-09,89.5409
2023-02-10,89.5409
2023-02-11,89.5409
2023-02-12,89.5409
2023-02-13,89.5409
2023-02-14,89.5409
2023-02-15,89.5409
2023-02-16,89.5409
2023-02-17,89.5409
2023-02-18,89.5409
2023-02-19,89.5409
2023-02-20,89.5409
2023-02-21,89.5409
2023-02-22,89.5409
2023-02-23,89.5409
2023-02-24,89.5409
2023-02-25,89.5409
2023-02-26,89.5409
2023-02-27,89.5409
2023-02-28,89.5409
2023-03-01,89.5409
2023-03-02,89.5409
2023-03-03,89.5409
2023-03-04,89.5409
2023-03-05,89.5409
2023-03-06,89.5409
2023-03-07,89.5409
2023-03-08,89.5409
2023-03-09,89.5409
2023-03-10,89.5409
2023-03-11,89.5409
2023-03-12,89.5409
2023-03-13,89.5409
2023-03-14,89.5409
2023-03-15,89.5409
2023-03-16,89.5409
2023-03-17,89.5409
2023-03-18,89.5409
2023-03-19,89.5409
2023-03-20,89.5409
2023-03-21,89.5409
2023-03-22,89.5409
2023-03-23,89.5409
2023-03-24,89.5409
2023-03-25,89.5409
2023-03-26,89.5409
2023-03-27,89.5409
2023-03-28,89.5409
2023-03-29,89.5409
2023-03-30,89.5409
2023-03-31,73.2834
2023-04-01,73.2834
2023-04-02,73.2834
2023-04-03,73.2834
2023-04-04,73.2834
2023-04-05,73.2834
2023-04-06,73.2834
2023-04-07,73.2834
2023-04-08,73.2834
2023-04-09,73.2834
2023-04-10,73.2834
2023-04-11,73.2834
2023-04-12,73.2834
2023-04-13,73.2834
2023-04-14,73.2834
2023-04-15,73.2834
2023-04-16,73.2834
2023-04-17,73.2834
2023-04-18,73.2834
2023-04-19,73.2834
2023-04-20,73.2834
2023-04-21,73.2834
2023-04-22,73.2834
2023-04-23,73.2834
2023-04-24,73.2834
2023-04-25,73.2834
2023-04-26,73.2834
2023-04-27,73.2834
2023-04-28,73.2834
2023-04-29,73.2834
2023-04-30,73.2834
2023-05-01,73.2834
2023-05-02,73.2834
2023-05-03,73.2834
2023-05-04,73.2834
2023-05-05,73.2834
2023-05-06,73.2834
2023-05-07,73.2834
2023-05-08,73.2834
