,AU US Equity,AU US Equity,AU US Equity,AU US Equity,AU US Equity
1980-05-13,,,,,
1980-05-14,,,,,
1980-05-15,,,,,
1980-05-16,,,,,
1980-05-17,,,,,
1980-05-18,,,,,
1980-05-19,,,,,
1980-05-20,,,,,
1980-05-21,,,,,
1980-05-22,,,,,
1980-05-23,,,,,
1980-05-24,,,,,
1980-05-25,,,,,
1980-05-26,,,,,
1980-05-27,,,,,
1980-05-28,,,,,
1980-05-29,,,,,
1980-05-30,,,,,
1980-05-31,,,,,
1980-06-01,,,,,
1980-06-02,,,,,
1980-06-03,,,,,
1980-06-04,,,,,
1980-06-05,,,,,
1980-06-06,,,,,
1980-06-07,,,,,
1980-06-08,,,,,
1980-06-09,,,,,
1980-06-10,,,,,
1980-06-11,,,,,
1980-06-12,,,,,
1980-06-13,,,,,
1980-06-14,,,,,
1980-06-15,,,,,
1980-06-16,,,,,
1980-06-17,,,,,
1980-06-18,,,,,
1980-06-19,,,,,
1980-06-20,,,,,
1980-06-21,,,,,
1980-06-22,,,,,
1980-06-23,,,,,
1980-06-24,,,,,
1980-06-25,,,,,
1980-06-26,,,,,
1980-06-27,,,,,
1980-06-28,,,,,
1980-06-29,,,,,
1980-06-30,,,,,
1980-07-01,,,,,
1980-07-02,,,,,
1980-07-03,,,,,
1980-07-04,,,,,
1980-07-05,,,,,
1980-07-06,,,,,
1980-07-07,,,,,
1980-07-08,,,,,
1980-07-09,,,,,
1980-07-10,,,,,
1980-07-11,,,,,
1980-07-12,,,,,
1980-07-13,,,,,
1980-07-14,,,,,
1980-07-15,,,,,
1980-07-16,,,,,
1980-07-17,,,,,
1980-07-18,,,,,
1980-07-19,,,,,
1980-07-20,,,,,
1980-07-21,,,,,
1980-07-22,,,,,
1980-07-23,,,,,
1980-07-24,,,,,
1980-07-25,,,,,
1980-07-26,,,,,
1980-07-27,,,,,
1980-07-28,,13.4398,13.3925,,82347.0
1980-07-29,,13.4635,13.3925,,112940.0
1980-07-30,,13.1559,13.0612,,193447.0
1980-07-31,,13.0612,13.0139,,77747.0
1980-08-01,,13.0612,12.9666,,30593.0
1980-08-02,,13.0612,12.9666,,30593.0
1980-08-03,,13.0612,12.9666,,30593.0
1980-08-04,,13.1086,13.0376,,57275.0
1980-08-05,,13.1795,13.1086,,35883.0
1980-08-06,,13.2742,13.2032,,21852.0
1980-08-07,,13.3452,13.2978,,45314.0
1980-08-08,,13.1795,13.1086,,56585.0
1980-08-09,,13.1795,13.1086,,56585.0
1980-08-10,,13.1795,13.1086,,56585.0
1980-08-11,,12.4934,12.446,,56125.0
1980-08-12,,12.6826,12.6353,,84417.0
1980-08-13,,12.73,12.6117,,71076.0
1980-08-14,,13.0139,12.9193,,55895.0
1980-08-15,,12.9193,12.8246,,29673.0
1980-08-16,,12.9193,12.8246,,29673.0
1980-08-17,,12.9193,12.8246,,29673.0
1980-08-18,,12.8719,12.7773,,23462.0
1980-08-19,,12.8246,12.73,,17712.0
1980-08-20,,13.0612,13.0139,,39793.0
1980-08-21,,13.0139,12.8719,,26682.0
1980-08-22,,13.1559,13.0849,,43474.0
1980-08-23,,13.1559,13.0849,,43474.0
1980-08-24,,13.1559,13.0849,,43474.0
1980-08-25,,13.0612,12.9666,,19322.0
1980-08-26,,13.2505,13.1322,,17942.0
1980-08-27,,13.6291,13.5345,,47844.0
1980-08-28,,13.5818,13.4398,,73146.0
1980-08-29,,13.5818,13.4871,,58885.0
1980-08-30,,13.5818,13.4871,,58885.0
1980-08-31,,13.5818,13.4871,,58885.0
1980-09-01,,13.5818,13.4871,,58885.0
1980-09-02,,14.1733,14.126,,42324.0
1980-09-03,,14.3863,14.339,,76827.0
1980-09-04,,15.0961,15.0015,,89938.0
1980-09-05,,15.3327,15.2381,,83727.0
1980-09-06,,15.3327,15.2381,,83727.0
1980-09-07,,15.3327,15.2381,,83727.0
1980-09-08,,16.6105,16.5632,,62565.0
1980-09-09,,16.2792,16.1372,,78897.0
1980-09-10,,16.4212,16.3265,,50374.0
1980-09-11,,16.3265,16.2082,,50374.0
1980-09-12,,16.5632,16.4212,,53365.0
1980-09-13,,16.5632,16.4212,,53365.0
1980-09-14,,16.5632,16.4212,,53365.0
1980-09-15,,16.3265,16.2792,,41174.0
1980-09-16,,16.9891,16.8944,,50374.0
1980-09-17,,17.3677,17.273,,60495.0
1980-09-18,,17.5569,17.4623,,34733.0
1980-09-19,,18.5034,18.4561,,98449.0
1980-09-20,,18.5034,18.4561,,98449.0
1980-09-21,,18.5034,18.4561,,98449.0
1980-09-22,,20.2544,20.1597,,102819.0
1980-09-23,,19.5445,19.4972,,66706.0
1980-09-24,,18.4324,18.2668,,54285.0
1980-09-25,,17.6989,17.5569,,49684.0
1980-09-26,,17.131,17.0364,,56815.0
1980-09-27,,17.131,17.0364,,56815.0
1980-09-28,,17.131,17.0364,,56815.0
1980-09-29,,17.2257,17.0837,,57275.0
1980-09-30,,18.6454,18.5034,,69696.0
1980-10-01,,19.024,18.882,,81657.0
1980-10-02,,18.74,18.5981,,73376.0
1980-10-03,,18.8347,18.6927,,56355.0
1980-10-04,,18.8347,18.6927,,56355.0
1980-10-05,,18.8347,18.6927,,56355.0
1980-10-06,,19.4972,19.3079,,77057.0
1980-10-07,,19.3079,19.2133,,32893.0
1980-10-08,,19.1659,18.953,,41174.0
1980-10-09,,19.6392,19.4499,,58885.0
1980-10-10,,19.6392,19.5445,,22772.0
1980-10-11,,19.6392,19.5445,,22772.0
1980-10-12,,19.6392,19.5445,,22772.0
1980-10-13,,19.4972,19.4499,,57045.0
1980-10-14,,18.9766,18.8583,,152503.0
1980-10-15,,18.882,18.74,,14261.0
1980-10-16,,18.3614,18.2195,,44854.0
1980-10-17,,18.1248,17.9829,,29443.0
1980-10-18,,18.1248,17.9829,,29443.0
1980-10-19,,18.1248,17.9829,,29443.0
1980-10-20,,17.5096,17.3677,,28292.0
1980-10-21,,17.4386,17.3203,,41864.0
1980-10-22,,17.9829,17.7936,,42784.0
1980-10-23,,17.273,17.131,,45544.0
1980-10-24,,17.6989,17.6043,,33123.0
1980-10-25,,17.6989,17.6043,,33123.0
1980-10-26,,17.6989,17.6043,,33123.0
1980-10-27,,18.4324,18.3141,,25302.0
1980-10-28,,18.3614,18.2195,,16561.0
1980-10-29,,18.9766,18.882,,59575.0
1980-10-30,,19.3079,19.1186,,28753.0
1980-10-31,,19.024,18.882,,29673.0
1980-11-01,,19.024,18.882,,29673.0
1980-11-02,,19.024,18.882,,29673.0
1980-11-03,,19.1186,19.024,,18862.0
1980-11-04,,19.1186,19.024,,18862.0
1980-11-05,,19.4026,19.3079,,45314.0
1980-11-06,,17.5096,17.3677,,77977.0
1980-11-07,,17.131,17.0364,,87638.0
1980-11-08,,17.131,17.0364,,87638.0
1980-11-09,,17.131,17.0364,,87638.0
1980-11-10,,17.8882,17.6989,,59805.0
1980-11-11,,17.8409,17.6516,,43704.0
1980-11-12,,17.8882,17.7936,,61415.0
1980-11-13,,17.9829,17.8882,,28292.0
1980-11-14,,17.9355,17.7936,,27832.0
1980-11-15,,17.9355,17.7936,,27832.0
1980-11-16,,17.9355,17.7936,,27832.0
1980-11-17,,17.0837,17.0364,,51755.0
1980-11-18,,17.0837,17.0364,,48534.0
1980-11-19,,17.5569,17.4623,,34273.0
1980-11-20,,18.0775,17.9829,,23692.0
1980-11-21,,18.74,18.6454,,56355.0
1980-11-22,,18.74,18.6454,,56355.0
1980-11-23,,18.74,18.6454,,56355.0
1980-11-24,,18.5507,18.3614,,58885.0
1980-11-25,,18.5507,18.4088,,32433.0
1980-11-26,,19.024,18.9293,,64866.0
1980-11-27,,19.024,18.9293,,64866.0
1980-11-28,,19.7811,19.6865,,47844.0
1980-11-29,,19.7811,19.6865,,47844.0
1980-11-30,,19.7811,19.6865,,47844.0
1980-12-01,,20.7749,20.7276,,125361.0
1980-12-02,,20.42,20.349,,72456.0
1980-12-03,,20.5856,20.491,,46004.0
1980-12-04,,20.633,20.5856,,38873.0
1980-12-05,,20.207,20.1124,,78207.0
1980-12-06,,20.207,20.1124,,78207.0
1980-12-07,,20.207,20.1124,,78207.0
1980-12-08,,19.5445,19.4026,,109490.0
1980-12-09,,17.9355,17.7936,,77057.0
1980-12-10,,16.5158,16.4685,,129731.0
1980-12-11,,15.664,15.522,,125591.0
1980-12-12,,16.7051,16.5632,,166075.0
1980-12-13,,16.7051,16.5632,,166075.0
1980-12-14,,16.7051,16.5632,,166075.0
1980-12-15,,16.8471,16.7051,,79357.0
1980-12-16,,16.3739,16.2792,,60035.0
1980-12-17,,17.1784,17.0364,,39103.0
1980-12-18,,17.0837,17.0364,,31053.0
1980-12-19,,17.7936,17.6989,,43474.0
1980-12-20,,17.7936,17.6989,,43474.0
1980-12-21,,17.7936,17.6989,,43474.0
1980-12-22,,18.3141,18.1721,,39103.0
1980-12-23,,18.4561,18.3614,,51064.0
1980-12-24,,18.5034,18.4088,,42784.0
1980-12-25,,18.5034,18.4088,,42784.0
1980-12-26,,18.5034,18.3614,,11961.0
1980-12-27,,18.5034,18.3614,,11961.0
1980-12-28,,18.5034,18.3614,,11961.0
1980-12-29,,17.5096,17.3677,,44394.0
1980-12-30,,17.3203,17.1784,,38413.0
1980-12-31,,17.6043,17.5096,,30823.0
1981-01-01,,17.6043,17.5096,,30823.0
1981-01-02,,17.5096,17.3203,,22542.0
1981-01-03,,17.5096,17.3203,,22542.0
1981-01-04,,17.5096,17.3203,,22542.0
1981-01-05,,18.3614,18.2195,,25992.0
1981-01-06,,18.4088,18.3141,,49454.0
1981-01-07,,17.7462,17.6043,,48534.0
1981-01-08,,17.3677,17.2257,,39333.0
1981-01-09,,17.0837,17.0364,,37723.0
1981-01-10,,17.0837,17.0364,,37723.0
1981-01-11,,17.0837,17.0364,,37723.0
1981-01-12,,16.1372,16.0426,,41634.0
1981-01-13,,15.664,15.6167,,41864.0
1981-01-14,,15.7587,15.6167,,83727.0
1981-01-15,,15.7113,15.6167,,40714.0
1981-01-16,,15.806,15.6167,,47844.0
1981-01-17,,15.806,15.6167,,47844.0
1981-01-18,,15.806,15.6167,,47844.0
1981-01-19,,15.8533,15.806,,58655.0
1981-01-20,,15.8533,15.7113,,35653.0
1981-01-21,,15.806,15.664,,40484.0
1981-01-22,,15.522,15.4274,,39333.0
1981-01-23,,15.0251,14.8595,,31053.0
1981-01-24,,15.0251,14.8595,,31053.0
1981-01-25,,15.0251,14.8595,,31053.0
1981-01-26,,13.4398,13.3925,,90858.0
1981-01-27,,14.197,14.1023,,101209.0
1981-01-28,,14.3863,14.2916,,57735.0
1981-01-29,,14.2916,14.197,,93618.0
1981-01-30,,14.3863,14.197,,85567.0
1981-01-31,,14.3863,14.197,,85567.0
1981-02-01,,14.3863,14.197,,85567.0
1981-02-02,,12.3514,12.1384,,66246.0
1981-02-03,,12.3041,12.2094,,56815.0
1981-02-04,,12.3987,12.3041,,56125.0
1981-02-05,,12.73,12.588,,75217.0
1981-02-06,,13.1559,13.0139,,41634.0
1981-02-07,,13.1559,13.0139,,41634.0
1981-02-08,,13.1559,13.0139,,41634.0
1981-02-09,,13.913,13.7238,,38183.0
1981-02-10,,13.2978,13.2032,,38413.0
1981-02-11,,13.0139,12.9193,,33583.0
1981-02-12,,12.9193,12.7773,,31743.0
1981-02-13,,13.3925,13.2505,,35653.0
1981-02-14,,13.3925,13.2505,,35653.0
1981-02-15,,13.3925,13.2505,,35653.0
1981-02-16,,13.3925,13.2505,,35653.0
1981-02-17,,13.3452,13.2505,,32663.0
1981-02-18,,13.0612,12.9193,,45314.0
1981-02-19,,13.2978,13.2032,,31283.0
1981-02-20,,13.7238,13.6291,,37723.0
1981-02-21,,13.7238,13.6291,,37723.0
1981-02-22,,13.7238,13.6291,,37723.0
1981-02-23,,13.4398,13.2978,,21392.0
1981-02-24,,13.4398,13.3452,,16101.0
1981-02-25,,13.4871,13.2978,,17942.0
1981-02-26,,12.9666,12.9193,,39103.0
1981-02-27,,12.4934,12.3041,,67856.0
1981-02-28,,12.4934,12.3041,,67856.0
1981-03-01,,12.4934,12.3041,,67856.0
1981-03-02,,11.3103,11.121,,54745.0
1981-03-03,,11.7835,11.6415,,38183.0
1981-03-04,,11.4049,11.3103,,35193.0
1981-03-05,,12.0201,11.8781,,40714.0
1981-03-06,,12.0201,11.8781,,20702.0
1981-03-07,,12.0201,11.8781,,20702.0
1981-03-08,,12.0201,11.8781,,20702.0
1981-03-09,,12.3041,12.1148,,35653.0
1981-03-10,,12.73,12.588,,42784.0
1981-03-11,,12.3514,12.1621,,37723.0
1981-03-12,,12.588,12.5407,,36113.0
1981-03-13,,12.801,12.7536,,51294.0
1981-03-14,,12.801,12.7536,,51294.0
1981-03-15,,12.801,12.7536,,51294.0
1981-03-16,,12.9193,12.7773,,47844.0
1981-03-17,,12.8719,12.73,,34733.0
1981-03-18,,12.9666,12.9193,,40024.0
1981-03-19,,12.73,12.588,,17942.0
1981-03-20,,13.5345,13.4398,,39563.0
1981-03-21,,13.5345,13.4398,,39563.0
1981-03-22,,13.5345,13.4398,,39563.0
1981-03-23,,13.3925,13.2505,,50144.0
1981-03-24,,13.6764,13.5345,,33353.0
1981-03-25,,13.5818,13.5345,,25762.0
1981-03-26,,14.1497,14.0077,,31513.0
1981-03-27,,14.0077,13.8184,,23232.0
1981-03-28,,14.0077,13.8184,,23232.0
1981-03-29,,14.0077,13.8184,,23232.0
1981-03-30,,13.2505,13.1559,,26912.0
1981-03-31,,13.2032,13.0612,,36803.0
1981-04-01,,13.2505,13.1086,,19092.0
1981-04-02,,13.3452,13.2032,,17482.0
1981-04-03,,13.8657,13.7238,,46234.0
1981-04-04,,13.8657,13.7238,,46234.0
1981-04-05,,13.8657,13.7238,,46234.0
1981-04-06,,13.7238,13.4871,,38643.0
1981-04-07,,12.8246,12.73,,35653.0
1981-04-08,,13.0612,12.9193,,28753.0
1981-04-09,,12.6826,12.5407,,15641.0
1981-04-10,,12.588,12.446,,24382.0
1981-04-11,,12.588,12.446,,24382.0
1981-04-12,,12.588,12.446,,24382.0
1981-04-13,,12.3514,12.2567,,73836.0
1981-04-14,,12.8719,12.7773,,25992.0
1981-04-15,,12.9666,12.8719,,18402.0
1981-04-16,,13.2978,13.1559,,20702.0
1981-04-17,,13.2978,13.1559,,20702.0
1981-04-18,,13.2978,13.1559,,20702.0
1981-04-19,,13.2978,13.1559,,20702.0
1981-04-20,,13.4871,13.3452,,8971.0
1981-04-21,,13.7711,13.5818,,35653.0
1981-04-22,,13.8184,13.7238,,51294.0
1981-04-23,,13.6764,13.5345,,38183.0
1981-04-24,,13.4871,13.3452,,9891.0
1981-04-25,,13.4871,13.3452,,9891.0
1981-04-26,,13.4871,13.3452,,9891.0
1981-04-27,,13.2505,13.1559,,16331.0
1981-04-28,,12.9193,12.73,,23462.0
1981-04-29,,12.73,12.588,,11501.0
1981-04-30,,12.9666,12.8719,,38413.0
1981-05-01,,13.2978,13.1559,,18402.0
1981-05-02,,13.2978,13.1559,,18402.0
1981-05-03,,13.2978,13.1559,,18402.0
1981-05-04,,12.9666,12.8246,,12881.0
1981-05-05,,12.9666,12.8719,,4370.0
1981-05-06,,12.8719,12.7773,,12881.0
1981-05-07,,13.2032,13.0612,,17252.0
1981-05-08,,13.5345,13.3925,,25072.0
1981-05-09,,13.5345,13.3925,,25072.0
1981-05-10,,13.5345,13.3925,,25072.0
1981-05-11,,13.8184,13.6528,,70846.0
1981-05-12,,14.055,13.913,,25532.0
1981-05-13,,13.9604,13.8657,,48534.0
1981-05-14,,14.0077,13.8657,,20472.0
1981-05-15,,14.055,14.0077,,37263.0
1981-05-16,,14.055,14.0077,,37263.0
1981-05-17,,14.055,14.0077,,37263.0
1981-05-18,,14.1497,14.0077,,45314.0
1981-05-19,,14.0077,13.8184,,14491.0
1981-05-20,,14.2443,14.1497,,38183.0
1981-05-21,,13.8184,13.7238,,34503.0
1981-05-22,,13.6291,13.4871,,16561.0
1981-05-23,,13.6291,13.4871,,16561.0
1981-05-24,,13.6291,13.4871,,16561.0
1981-05-25,,13.6291,13.4871,,16561.0
1981-05-26,,12.9193,12.7773,,33123.0
1981-05-27,,12.9666,12.8719,,26222.0
1981-05-28,,13.2505,13.1322,,21392.0
1981-05-29,,13.1086,12.9666,,12881.0
1981-05-30,,13.1086,12.9666,,12881.0
1981-05-31,,13.1086,12.9666,,12881.0
1981-06-01,,13.0139,12.8719,,17021.0
1981-06-02,,12.8719,12.7773,,15411.0
1981-06-03,,12.446,12.3041,,34503.0
1981-06-04,,11.9728,11.8308,,42554.0
1981-06-05,,11.3576,11.2629,,42094.0
1981-06-06,,11.3576,11.2629,,42094.0
1981-06-07,,11.3576,11.2629,,42094.0
1981-06-08,,11.6889,11.5469,,45314.0
1981-06-09,,11.6415,11.5469,,33123.0
1981-06-10,,11.7835,11.7362,,22772.0
1981-06-11,,11.8308,11.7835,,24842.0
1981-06-12,,11.9255,11.8781,,32663.0
1981-06-13,,11.9255,11.8781,,32663.0
1981-06-14,,11.9255,11.8781,,32663.0
1981-06-15,,12.0674,12.0201,,33353.0
1981-06-16,,11.8308,11.7362,,24612.0
1981-06-17,,11.8781,11.7835,,25762.0
1981-06-18,,11.4049,11.3103,,43244.0
1981-06-19,,11.2156,11.121,,33583.0
1981-06-20,,11.2156,11.121,,33583.0
1981-06-21,,11.2156,11.121,,33583.0
1981-06-22,,11.3103,11.2629,,24152.0
1981-06-23,,11.4286,11.3813,,39103.0
1981-06-24,,11.121,11.0737,,21852.0
1981-06-25,,10.4584,10.4111,,104889.0
1981-06-26,,10.1982,10.1272,,48074.0
1981-06-27,,10.1982,10.1272,,48074.0
1981-06-28,,10.1982,10.1272,,48074.0
1981-06-29,,9.8432,9.7486,,70846.0
1981-06-30,,10.1272,10.0325,,63026.0
1981-07-01,,10.2218,10.1272,,54975.0
1981-07-02,,10.4584,10.3638,,34733.0
1981-07-03,,10.4584,10.3638,,34733.0
1981-07-04,,10.4584,10.3638,,34733.0
1981-07-05,,10.4584,10.3638,,34733.0
1981-07-06,,10.4111,10.3165,,26912.0
1981-07-07,,11.0263,10.979,,65096.0
1981-07-08,,10.979,10.837,,37493.0
1981-07-09,,11.4996,11.4522,,70616.0
1981-07-10,,11.7835,11.6889,,56815.0
1981-07-11,,11.7835,11.6889,,56815.0
1981-07-12,,11.7835,11.6889,,56815.0
1981-07-13,,11.4049,11.3576,,31283.0
1981-07-14,,11.1683,11.121,,39563.0
1981-07-15,,11.5469,11.4522,,25762.0
1981-07-16,,11.8781,11.7362,,18862.0
1981-07-17,,11.9728,11.8781,,78897.0
1981-07-18,,11.9728,11.8781,,78897.0
1981-07-19,,11.9728,11.8781,,78897.0
1981-07-20,,11.6415,11.5469,,31973.0
1981-07-21,,11.7362,11.5942,,27142.0
1981-07-22,,11.6889,11.5942,,26452.0
1981-07-23,,11.6415,11.5469,,19322.0
1981-07-24,,11.5942,11.4522,,11961.0
1981-07-25,,11.5942,11.4522,,11961.0
1981-07-26,,11.5942,11.4522,,11961.0
1981-07-27,,11.4522,11.3576,,14261.0
1981-07-28,,11.4049,11.3103,,33813.0
1981-07-29,,11.2629,11.1683,,25302.0
1981-07-30,,11.3576,11.3103,,21392.0
1981-07-31,,11.3813,11.3103,,26452.0
1981-08-01,,11.3813,11.3103,,26452.0
1981-08-02,,11.3813,11.3103,,26452.0
1981-08-03,,10.2218,10.0799,,40254.0
1981-08-04,,10.0325,9.9852,,35883.0
1981-08-05,,10.0325,9.9616,,28983.0
1981-08-06,,10.4111,10.3165,,26222.0
1981-08-07,,10.5531,10.5058,,38643.0
1981-08-08,,10.5531,10.5058,,38643.0
1981-08-09,,10.5531,10.5058,,38643.0
1981-08-10,,10.7661,10.6477,,38643.0
1981-08-11,,11.5469,11.4996,,106269.0
1981-08-12,,11.4522,11.3576,,88098.0
1981-08-13,,11.6415,11.5469,,50374.0
1981-08-14,,11.8781,11.7835,,43244.0
1981-08-15,,11.8781,11.7835,,43244.0
1981-08-16,,11.8781,11.7835,,43244.0
1981-08-17,,11.8781,11.7835,,16331.0
1981-08-18,,12.588,12.5407,,50144.0
1981-08-19,,12.3987,12.3514,,43704.0
1981-08-20,,12.0674,11.9255,,27832.0
1981-08-21,,12.3041,12.2094,,32433.0
1981-08-22,,12.3041,12.2094,,32433.0
1981-08-23,,12.3041,12.2094,,32433.0
1981-08-24,,11.6415,11.5469,,37033.0
1981-08-25,,11.6415,11.4996,,43014.0
1981-08-26,,11.7362,11.6415,,19322.0
1981-08-27,,11.8781,11.7835,,19092.0
1981-08-28,,12.2094,12.0674,,22772.0
1981-08-29,,12.2094,12.0674,,22772.0
1981-08-30,,12.2094,12.0674,,22772.0
1981-08-31,,12.1148,12.0201,,20472.0
1981-09-01,,11.9728,11.9255,,32663.0
1981-09-02,,12.3041,12.2094,,34733.0
1981-09-03,,12.2567,12.2094,,75907.0
1981-09-04,,12.2567,12.2094,,63256.0
1981-09-05,,12.2567,12.2094,,63256.0
1981-09-06,,12.2567,12.2094,,63256.0
1981-09-07,,12.2567,12.2094,,63256.0
1981-09-08,,12.3041,12.2094,,34043.0
1981-09-09,,12.588,12.5407,,21392.0
1981-09-10,,13.2032,13.1559,,76137.0
1981-09-11,,13.6291,13.5818,,70846.0
1981-09-12,,13.6291,13.5818,,70846.0
1981-09-13,,13.6291,13.5818,,70846.0
1981-09-14,,13.9604,13.913,,80737.0
1981-09-15,,13.7238,13.6764,,74527.0
1981-09-16,,13.5345,13.4398,,44394.0
1981-09-17,,13.1086,13.0612,,63256.0
1981-09-18,,13.0612,12.9666,,61185.0
1981-09-19,,13.0612,12.9666,,61185.0
1981-09-20,,13.0612,12.9666,,61185.0
1981-09-21,,13.913,13.8894,,104659.0
1981-09-22,,13.8184,13.7711,,40944.0
1981-09-23,,13.3925,13.2978,,33353.0
1981-09-24,,13.0139,12.9666,,43934.0
1981-09-25,,12.7773,12.6826,,77977.0
1981-09-26,,12.7773,12.6826,,77977.0
1981-09-27,,12.7773,12.6826,,77977.0
1981-09-28,,12.3041,12.2567,,117770.0
1981-09-29,,12.375,12.3041,,48304.0
1981-09-30,,12.4934,12.3987,,40944.0
1981-10-01,,12.73,12.6353,,29903.0
1981-10-02,,12.9666,12.8719,,22542.0
1981-10-03,,12.9666,12.8719,,22542.0
1981-10-04,,12.9666,12.8719,,22542.0
1981-10-05,,13.0612,12.9193,,43934.0
1981-10-06,,13.5345,13.4398,,103279.0
1981-10-07,,13.6291,13.5818,,33583.0
1981-10-08,,13.6764,13.5818,,54745.0
1981-10-09,,13.7238,13.6764,,81887.0
1981-10-10,,13.7238,13.6764,,81887.0
1981-10-11,,13.7238,13.6764,,81887.0
1981-10-12,,13.5818,13.5345,,22082.0
1981-10-13,,13.4398,13.3925,,29673.0
1981-10-14,,13.0612,12.9666,,32433.0
1981-10-15,,13.0139,12.9666,,38413.0
1981-10-16,,13.1086,13.0139,,39563.0
1981-10-17,,13.1086,13.0139,,39563.0
1981-10-18,,13.1086,13.0139,,39563.0
1981-10-19,,12.9193,12.8246,,22312.0
1981-10-20,,12.8246,12.7773,,21622.0
1981-10-21,,12.6353,12.5407,,50604.0
1981-10-22,,12.3987,12.3514,,62105.0
1981-10-23,,11.9728,11.9255,,44854.0
1981-10-24,,11.9728,11.9255,,44854.0
1981-10-25,,11.9728,11.9255,,44854.0
1981-10-26,,11.3103,11.2629,,60265.0
1981-10-27,,11.5705,11.5469,,52215.0
1981-10-28,,11.4996,11.4286,,33123.0
1981-10-29,,11.5942,11.4996,,20242.0
1981-10-30,,11.5942,11.5469,,16101.0
1981-10-31,,11.5942,11.5469,,16101.0
1981-11-01,,11.5942,11.5469,,16101.0
1981-11-02,,11.8781,11.8308,,21392.0
1981-11-03,,11.9728,11.8781,,17482.0
1981-11-04,,12.0674,12.0201,,17712.0
1981-11-05,,12.1621,12.0674,,12421.0
1981-11-06,,12.1148,12.0201,,4830.0
1981-11-07,,12.1148,12.0201,,4830.0
1981-11-08,,12.1148,12.0201,,4830.0
1981-11-09,,12.2094,12.1621,,53595.0
1981-11-10,,11.7835,11.7362,,32893.0
1981-11-11,,11.8308,11.7835,,20932.0
1981-11-12,,11.8308,11.7835,,33583.0
1981-11-13,,11.9491,11.8781,,14491.0
1981-11-14,,11.9491,11.8781,,14491.0
1981-11-15,,11.9491,11.8781,,14491.0
1981-11-16,,11.3103,11.2156,,41404.0
1981-11-17,,11.4996,11.4049,,58885.0
