,BPOP US Equity,BPOP US Equity,BPOP US Equity,BPOP US Equity,BPOP US Equity
1980-05-12,,,,,
1980-05-13,,,,,
1980-05-14,,,,,
1980-05-15,,,,,
1980-05-16,,,,,
1980-05-17,,,,,
1980-05-18,,,,,
1980-05-19,,,,,
1980-05-20,,,,,
1980-05-21,,,,,
1980-05-22,,,,,
1980-05-23,,,,,
1980-05-24,,,,,
1980-05-25,,,,,
1980-05-26,,,,,
1980-05-27,,,,,
1980-05-28,,,,,
1980-05-29,,,,,
1980-05-30,,,,,
1980-05-31,,,,,
1980-06-01,,,,,
1980-06-02,,,,,
1980-06-03,,,,,
1980-06-04,,,,,
1980-06-05,,,,,
1980-06-06,,,,,
1980-06-07,,,,,
1980-06-08,,,,,
1980-06-09,,,,,
1980-06-10,,,,,
1980-06-11,,,,,
1980-06-12,,,,,
1980-06-13,,,,,
1980-06-14,,,,,
1980-06-15,,,,,
1980-06-16,,,,,
1980-06-17,,,,,
1980-06-18,,,,,
1980-06-19,,,,,
1980-06-20,,,,,
1980-06-21,,,,,
1980-06-22,,,,,
1980-06-23,,,,,
1980-06-24,,,,,
1980-06-25,,,,,
1980-06-26,,,,,
1980-06-27,,,,,
1980-06-28,,,,,
1980-06-29,,,,,
1980-06-30,,,,,
1980-07-01,,,,,
1980-07-02,,,,,
1980-07-03,,,,,
1980-07-04,,,,,
1980-07-05,,,,,
1980-07-06,,,,,
1980-07-07,,,,,
1980-07-08,,,,,
1980-07-09,,,,,
1980-07-10,,,,,
1980-07-11,,,,,
1980-07-12,,,,,
1980-07-13,,,,,
1980-07-14,,,,,
1980-07-15,,,,,
1980-07-16,,,,,
1980-07-17,,,,,
1980-07-18,,,,,
1980-07-19,,,,,
1980-07-20,,,,,
1980-07-21,,,,,
1980-07-22,,,,,
1980-07-23,,,,,
1980-07-24,,,,,
1980-07-25,,,,,
1980-07-26,,,,,
1980-07-27,,,,,
1980-07-28,,,,,
1980-07-29,,,,,
1980-07-30,,,,,
1980-07-31,,,,,
1980-08-01,,,,,320.0
1980-08-02,,,,,320.0
1980-08-03,,,,,320.0
1980-08-04,,,,,320.0
1980-08-05,,,,,96.0
1980-08-06,,,,,1280.0
1980-08-07,,,,,192.0
1980-08-08,,,,,192.0
1980-08-09,,,,,192.0
1980-08-10,,,,,192.0
1980-08-11,,,,,192.0
1980-08-12,,,,,192.0
1980-08-13,,,,,1600.0
1980-08-14,,,,,6.0
1980-08-15,,,,,6.0
1980-08-16,,,,,6.0
1980-08-17,,,,,6.0
1980-08-18,,,,,2240.0
1980-08-19,,,,,1280.0
1980-08-20,,,,,2560.0
1980-08-21,,,,,2560.0
1980-08-22,,,,,13.0
1980-08-23,,,,,13.0
1980-08-24,,,,,13.0
1980-08-25,,,,,13.0
1980-08-26,,,,,320.0
1980-08-27,,,,,6080.0
1980-08-28,,,,,1280.0
1980-08-29,,,,,320.0
1980-08-30,,,,,320.0
1980-08-31,,,,,320.0
1980-09-01,,,,,320.0
1980-09-02,,,,,1920.0
1980-09-03,,,,,11840.0
1980-09-04,,,,,2560.0
1980-09-05,,,,,8320.0
1980-09-06,,,,,8320.0
1980-09-07,,,,,8320.0
1980-09-08,,,,,12160.0
1980-09-09,,,,,4800.0
1980-09-10,,,,,6720.0
1980-09-11,,,,,320.0
1980-09-12,,,,,22080.0
1980-09-13,,,,,22080.0
1980-09-14,,,,,22080.0
1980-09-15,,,,,3200.0
1980-09-16,,,,,6720.0
1980-09-17,,,,,1280.0
1980-09-18,,,,,15040.0
1980-09-19,,,,,15040.0
1980-09-20,,,,,15040.0
1980-09-21,,,,,15040.0
1980-09-22,,,,,15040.0
1980-09-23,,,,,960.0
1980-09-24,,,,,960.0
1980-09-25,,,,,960.0
1980-09-26,,,,,6400.0
1980-09-27,,,,,6400.0
1980-09-28,,,,,6400.0
1980-09-29,,,,,6400.0
1980-09-30,,,,,4160.0
1980-10-01,,,,,3200.0
1980-10-02,,,,,3200.0
1980-10-03,,,,,320.0
1980-10-04,,,,,320.0
1980-10-05,,,,,320.0
1980-10-06,,,,,1600.0
1980-10-07,,,,,2880.0
1980-10-08,,,,,2880.0
1980-10-09,,,,,1600.0
1980-10-10,,,,,1600.0
1980-10-11,,,,,1600.0
1980-10-12,,,,,1600.0
1980-10-13,,,,,2240.0
1980-10-14,,,,,3200.0
1980-10-15,,,,,3520.0
1980-10-16,,,,,3520.0
1980-10-17,,,,,96.0
1980-10-18,,,,,96.0
1980-10-19,,,,,96.0
1980-10-20,,,,,6400.0
1980-10-21,,,,,6400.0
1980-10-22,,,,,960.0
1980-10-23,,,,,320.0
1980-10-24,,,,,26.0
1980-10-25,,,,,26.0
1980-10-26,,,,,26.0
1980-10-27,,,,,26.0
1980-10-28,,,,,26.0
1980-10-29,,,,,26.0
1980-10-30,,,,,4480.0
1980-10-31,,,,,4480.0
1980-11-01,,,,,4480.0
1980-11-02,,,,,4480.0
1980-11-03,,,,,16000.0
1980-11-04,,,,,16000.0
1980-11-05,,,,,12800.0
1980-11-06,,,,,1920.0
1980-11-07,,,,,320.0
1980-11-08,,,,,320.0
1980-11-09,,,,,320.0
1980-11-10,,,,,320.0
1980-11-11,,,,,320.0
1980-11-12,,,,,320.0
1980-11-13,,,,,3200.0
1980-11-14,,,,,3200.0
1980-11-15,,,,,3200.0
1980-11-16,,,,,3200.0
1980-11-17,,,,,4800.0
1980-11-18,,,,,3.0
1980-11-19,,,,,3.0
1980-11-20,,,,,3.0
1980-11-21,,,,,3.0
1980-11-22,,,,,3.0
1980-11-23,,,,,3.0
1980-11-24,,,,,640.0
1980-11-25,,,,,3520.0
1980-11-26,,,,,2560.0
1980-11-27,,,,,2560.0
1980-11-28,,,,,3200.0
1980-11-29,,,,,3200.0
1980-11-30,,,,,3200.0
1980-12-01,,,,,6400.0
1980-12-02,,,,,6400.0
1980-12-03,,,,,48.0
1980-12-04,,,,,48.0
1980-12-05,,,,,48.0
1980-12-06,,,,,48.0
1980-12-07,,,,,48.0
1980-12-08,,,,,1280.0
1980-12-09,,,,,960.0
1980-12-10,,,,,19.0
1980-12-11,,,,,640.0
1980-12-12,,,,,960.0
1980-12-13,,,,,960.0
1980-12-14,,,,,960.0
1980-12-15,,,,,3200.0
1980-12-16,,,,,2880.0
1980-12-17,,,,,1280.0
1980-12-18,,,,,1280.0
1980-12-19,,,,,3200.0
1980-12-20,,,,,3200.0
1980-12-21,,,,,3200.0
1980-12-22,,,,,3200.0
1980-12-23,,,,,3200.0
1980-12-24,,,,,4160.0
1980-12-25,,,,,4160.0
1980-12-26,,,,,4160.0
1980-12-27,,,,,4160.0
1980-12-28,,,,,4160.0
1980-12-29,,,,,4160.0
1980-12-30,,,,,1600.0
1980-12-31,,,,,960.0
1981-01-01,,,,,960.0
1981-01-02,,,,,960.0
1981-01-03,,,,,960.0
1981-01-04,,,,,960.0
1981-01-05,,,,,960.0
1981-01-06,,,,,640.0
1981-01-07,,,,,1280.0
1981-01-08,,,,,2240.0
1981-01-09,,,,,6400.0
1981-01-10,,,,,6400.0
1981-01-11,,,,,6400.0
1981-01-12,,,,,64.0
1981-01-13,,,,,960.0
1981-01-14,,,,,320.0
1981-01-15,,,,,1280.0
1981-01-16,,,,,4800.0
1981-01-17,,,,,4800.0
1981-01-18,,,,,4800.0
1981-01-19,,,,,3520.0
1981-01-20,,,,,320.0
1981-01-21,,,,,960.0
1981-01-22,,,,,320.0
1981-01-23,,,,,2240.0
1981-01-24,,,,,2240.0
1981-01-25,,,,,2240.0
1981-01-26,,,,,13.0
1981-01-27,,,,,13.0
1981-01-28,,,,,1280.0
1981-01-29,,,,,74.0
1981-01-30,,,,,1920.0
1981-01-31,,,,,1920.0
1981-02-01,,,,,1920.0
1981-02-02,,,,,54.0
1981-02-03,,,,,7040.0
1981-02-04,,,,,1280.0
1981-02-05,,,,,8000.0
1981-02-06,,,,,8000.0
1981-02-07,,,,,8000.0
1981-02-08,,,,,8000.0
1981-02-09,,,,,17600.0
1981-02-10,,,,,20800.0
1981-02-11,,,,,14400.0
1981-02-12,,,,,4160.0
1981-02-13,,,,,6400.0
1981-02-14,,,,,6400.0
1981-02-15,,,,,6400.0
1981-02-16,,,,,6400.0
1981-02-17,,,,,960.0
1981-02-18,,,,,320.0
1981-02-19,,,,,7360.0
1981-02-20,,,,,7360.0
1981-02-21,,,,,7360.0
1981-02-22,,,,,7360.0
1981-02-23,,,,,320.0
1981-02-24,,,,,1920.0
1981-02-25,,,,,21760.0
1981-02-26,,,,,320.0
1981-02-27,,,,,1280.0
1981-02-28,,,,,1280.0
1981-03-01,,,,,1280.0
1981-03-02,,,,,1280.0
1981-03-03,,,,,2240.0
1981-03-04,,,,,640.0
1981-03-05,,,,,1600.0
1981-03-06,,,,,1280.0
1981-03-07,,,,,1280.0
1981-03-08,,,,,1280.0
1981-03-09,,,,,80.0
1981-03-10,,,,,320.0
1981-03-11,,,,,320.0
1981-03-12,,,,,960.0
1981-03-13,,,,,2880.0
1981-03-14,,,,,2880.0
1981-03-15,,,,,2880.0
1981-03-16,,,,,4480.0
1981-03-17,,,,,1600.0
1981-03-18,,,,,1600.0
1981-03-19,,,,,320.0
1981-03-20,,,,,67.0
1981-03-21,,,,,67.0
1981-03-22,,,,,67.0
1981-03-23,,,,,67.0
1981-03-24,,,,,1280.0
1981-03-25,,,,,320.0
1981-03-26,,,,,3840.0
1981-03-27,,,,,640.0
1981-03-28,,,,,640.0
1981-03-29,,,,,640.0
1981-03-30,,,,,17280.0
1981-03-31,,,,,48.0
1981-04-01,,,,,320.0
1981-04-02,,,,,1600.0
1981-04-03,,,,,5440.0
1981-04-04,,,,,5440.0
1981-04-05,,,,,5440.0
1981-04-06,,,,,5120.0
1981-04-07,,,,,2240.0
1981-04-08,,,,,2240.0
1981-04-09,,,,,6400.0
1981-04-10,,,,,320.0
1981-04-11,,,,,320.0
1981-04-12,,,,,320.0
1981-04-13,,,,,3840.0
1981-04-14,,,,,3200.0
1981-04-15,,,,,32000.0
1981-04-16,,,,,10560.0
1981-04-17,,,,,10560.0
1981-04-18,,,,,10560.0
1981-04-19,,,,,10560.0
1981-04-20,,,,,9600.0
1981-04-21,,,,,1600.0
1981-04-22,,,,,3200.0
1981-04-23,,,,,3200.0
1981-04-24,,,,,333760.0
1981-04-25,,,,,333760.0
1981-04-26,,,,,333760.0
1981-04-27,,,,,15040.0
1981-04-28,,,,,8320.0
1981-04-29,,,,,2240.0
1981-04-30,,,,,3840.0
1981-05-01,,,,,1280.0
1981-05-02,,,,,1280.0
1981-05-03,,,,,1280.0
1981-05-04,,,,,320.0
1981-05-05,,,,,320.0
1981-05-06,,,,,4800.0
1981-05-07,,,,,8960.0
1981-05-08,,,,,6400.0
1981-05-09,,,,,6400.0
1981-05-10,,,,,6400.0
1981-05-11,,,,,960.0
1981-05-12,,,,,3200.0
1981-05-13,,,,,3200.0
1981-05-14,,,,,32000.0
1981-05-15,,,,,8000.0
1981-05-16,,,,,8000.0
1981-05-17,,,,,8000.0
1981-05-18,,,,,3840.0
1981-05-19,,,,,1600.0
1981-05-20,,,,,640.0
1981-05-21,,,,,640.0
1981-05-22,,,,,320.0
1981-05-23,,,,,320.0
1981-05-24,,,,,320.0
1981-05-25,,,,,320.0
1981-05-26,,,,,320.0
1981-05-27,,,,,9600.0
1981-05-28,,,,,6720.0
1981-05-29,,,,,163.0
1981-05-30,,,,,163.0
1981-05-31,,,,,163.0
1981-06-01,,,,,163.0
1981-06-02,,,,,6720.0
1981-06-03,,,,,3840.0
1981-06-04,,,,,3200.0
1981-06-05,,,,,1600.0
1981-06-06,,,,,1600.0
1981-06-07,,,,,1600.0
1981-06-08,,,,,1600.0
1981-06-09,,,,,3520.0
1981-06-10,,,,,20480.0
1981-06-11,,,,,5120.0
1981-06-12,,,,,16960.0
1981-06-13,,,,,16960.0
1981-06-14,,,,,16960.0
1981-06-15,,,,,23040.0
1981-06-16,,,,,1280.0
1981-06-17,,,,,5120.0
1981-06-18,,,,,8640.0
1981-06-19,,,,,3200.0
1981-06-20,,,,,3200.0
1981-06-21,,,,,3200.0
1981-06-22,,,,,3200.0
1981-06-23,,,,,3200.0
1981-06-24,,,,,320.0
1981-06-25,,,,,2880.0
1981-06-26,,,,,6400.0
1981-06-27,,,,,6400.0
1981-06-28,,,,,6400.0
1981-06-29,,,,,640.0
1981-06-30,,,,,3200.0
1981-07-01,,,,,960.0
1981-07-02,,,,,960.0
1981-07-03,,,,,960.0
1981-07-04,,,,,960.0
1981-07-05,,,,,960.0
1981-07-06,,,,,3840.0
1981-07-07,,,,,320.0
1981-07-08,,,,,1600.0
1981-07-09,,,,,960.0
1981-07-10,,,,,1600.0
1981-07-11,,,,,1600.0
1981-07-12,,,,,1600.0
1981-07-13,,,,,3200.0
1981-07-14,,,,,67.0
1981-07-15,,,,,1600.0
1981-07-16,,,,,2880.0
1981-07-17,,,,,6400.0
1981-07-18,,,,,6400.0
1981-07-19,,,,,6400.0
1981-07-20,,,,,9600.0
1981-07-21,,,,,5120.0
1981-07-22,,,,,5120.0
1981-07-23,,,,,157.0
1981-07-24,,,,,320.0
1981-07-25,,,,,320.0
1981-07-26,,,,,320.0
1981-07-27,,,,,320.0
1981-07-28,,,,,320.0
1981-07-29,,,,,320.0
1981-07-30,,,,,320.0
1981-07-31,,,,,80.0
1981-08-01,,,,,80.0
1981-08-02,,,,,80.0
1981-08-03,,,,,6720.0
1981-08-04,,,,,9600.0
1981-08-05,,,,,6400.0
1981-08-06,,,,,4160.0
1981-08-07,,,,,1280.0
1981-08-08,,,,,1280.0
1981-08-09,,,,,1280.0
1981-08-10,,,,,1280.0
1981-08-11,,,,,3840.0
1981-08-12,,,,,1280.0
1981-08-13,,,,,9600.0
1981-08-14,,,,,96.0
1981-08-15,,,,,96.0
1981-08-16,,,,,96.0
1981-08-17,,,,,96.0
1981-08-18,,,,,3200.0
1981-08-19,,,,,320.0
1981-08-20,,,,,3520.0
1981-08-21,,,,,320.0
1981-08-22,,,,,320.0
1981-08-23,,,,,320.0
1981-08-24,,,,,115.0
1981-08-25,,,,,640.0
1981-08-26,,,,,640.0
1981-08-27,,,,,640.0
1981-08-28,,,,,640.0
1981-08-29,,,,,640.0
1981-08-30,,,,,640.0
1981-08-31,,,,,26.0
1981-09-01,,,,,8320.0
1981-09-02,,,,,1600.0
1981-09-03,,,,,1600.0
1981-09-04,,,,,16.0
1981-09-05,,,,,16.0
1981-09-06,,,,,16.0
1981-09-07,,,,,16.0
1981-09-08,,,,,1920.0
1981-09-09,,,,,64.0
1981-09-10,,,,,64.0
1981-09-11,,,,,64.0
1981-09-12,,,,,64.0
1981-09-13,,,,,64.0
1981-09-14,,,,,960.0
1981-09-15,,,,,1280.0
1981-09-16,,,,,1280.0
1981-09-17,,,,,240.0
1981-09-18,,,,,240.0
1981-09-19,,,,,240.0
1981-09-20,,,,,240.0
1981-09-21,,,,,320.0
1981-09-22,,,,,640.0
1981-09-23,,,,,6720.0
1981-09-24,,,,,2240.0
1981-09-25,,,,,2240.0
1981-09-26,,,,,2240.0
1981-09-27,,,,,2240.0
1981-09-28,,,,,5120.0
1981-09-29,,,,,3520.0
1981-09-30,,,,,3520.0
1981-10-01,,,,,640.0
1981-10-02,,,,,640.0
1981-10-03,,,,,640.0
1981-10-04,,,,,640.0
1981-10-05,,,,,640.0
1981-10-06,,,,,3200.0
1981-10-07,,,,,8320.0
1981-10-08,,,,,1280.0
1981-10-09,,,,,3200.0
1981-10-10,,,,,3200.0
1981-10-11,,,,,3200.0
1981-10-12,,,,,6720.0
1981-10-13,,,,,13120.0
1981-10-14,,,,,2880.0
1981-10-15,,,,,3520.0
1981-10-16,,,,,1600.0
1981-10-17,,,,,1600.0
1981-10-18,,,,,1600.0
1981-10-19,,,,,320.0
1981-10-20,,,,,9600.0
1981-10-21,,,,,6400.0
1981-10-22,,,,,6400.0
1981-10-23,,,,,3200.0
1981-10-24,,,,,3200.0
1981-10-25,,,,,3200.0
1981-10-26,,,,,3200.0
1981-10-27,,,,,24320.0
1981-10-28,,,,,35840.0
1981-10-29,,,,,19840.0
1981-10-30,,,,,1920.0
1981-10-31,,,,,1920.0
1981-11-01,,,,,1920.0
1981-11-02,,,,,3520.0
1981-11-03,,,,,320.0
1981-11-04,,,,,9600.0
1981-11-05,,,,,18240.0
1981-11-06,,,,,1920.0
1981-11-07,,,,,1920.0
1981-11-08,,,,,1920.0
1981-11-09,,,,,4480.0
1981-11-10,,,,,320.0
1981-11-11,,,,,1280.0
1981-11-12,,,,,960.0
1981-11-13,,,,,1280.0
1981-11-14,,,,,1280.0
1981-11-15,,,,,1280.0
1981-11-16,,,,,960.0
1981-11-17,,,,,320.0
1981-11-18,,,,,320.0
1981-11-19,,,,,320.0
1981-11-20,,,,,320.0
1981-11-21,,,,,320.0
1981-11-22,,,,,320.0
1981-11-23,,,,,320.0
1981-11-24,,,,,4800.0
1981-11-25,,,,,320.0
1981-11-26,,,,,320.0
1981-11-27,,,,,320.0
1981-11-28,,,,,320.0
1981-11-29,,,,,320.0
1981-11-30,,,,,1280.0
1981-12-01,,,,,8640.0
1981-12-02,,,,,960.0
1981-12-03,,,,,960.0
1981-12-04,,,,,6400.0
1981-12-05,,,,,6400.0
1981-12-06,,,,,6400.0
1981-12-07,,,,,7360.0
1981-12-08,,,,,3200.0
1981-12-09,,,,,640.0
1981-12-10,,,,,960.0
1981-12-11,,,,,3.0
1981-12-12,,,,,3.0
1981-12-13,,,,,3.0
1981-12-14,,,,,102.0
1981-12-15,,,,,960.0
1981-12-16,,,,,3840.0
1981-12-17,,,,,168960.0
1981-12-18,,,,,960.0
1981-12-19,,,,,960.0
1981-12-20,,,,,960.0
1981-12-21,,,,,2560.0
1981-12-22,,,,,1600.0
1981-12-23,,,,,320.0
1981-12-24,,,,,320.0
1981-12-25,,,,,320.0
1981-12-26,,,,,320.0
1981-12-27,,,,,320.0
1981-12-28,,,,,1600.0
1981-12-29,,,,,1920.0
1981-12-30,,,,,4480.0
1981-12-31,,,,,960.0
1982-01-01,,,,,960.0
1982-01-02,,,,,960.0
1982-01-03,,,,,960.0
1982-01-04,,,,,5440.0
1982-01-05,,,,,2560.0
1982-01-06,,,,,960.0
1982-01-07,,,,,960.0
1982-01-08,,,,,12800.0
1982-01-09,,,,,12800.0
1982-01-10,,,,,12800.0
1982-01-11,,,,,960.0
1982-01-12,,,,,1280.0
1982-01-13,,,,,8000.0
1982-01-14,,,,,4800.0
1982-01-15,,,,,5440.0
1982-01-16,,,,,5440.0
1982-01-17,,,,,5440.0
1982-01-18,,,,,320.0
1982-01-19,,,,,320.0
1982-01-20,,,,,2880.0
1982-01-21,,,,,960.0
1982-01-22,,,,,960.0
1982-01-23,,,,,960.0
1982-01-24,,,,,960.0
1982-01-25,,,,,320.0
1982-01-26,,,,,320.0
1982-01-27,,,,,3520.0
1982-01-28,,,,,1600.0
1982-01-29,,,,,320.0
1982-01-30,,,,,320.0
1982-01-31,,,,,320.0
1982-02-01,,,,,2560.0
1982-02-02,,,,,640.0
1982-02-03,,,,,3840.0
1982-02-04,,,,,9280.0
1982-02-05,,,,,16000.0
1982-02-06,,,,,16000.0
1982-02-07,,,,,16000.0
1982-02-08,,,,,8960.0
1982-02-09,,,,,9280.0
1982-02-10,,,,,9280.0
1982-02-11,,,,,320.0
1982-02-12,,,,,6080.0
1982-02-13,,,,,6080.0
1982-02-14,,,,,6080.0
1982-02-15,,,,,6080.0
1982-02-16,,,,,6720.0
1982-02-17,,,,,9280.0
1982-02-18,,,,,8320.0
1982-02-19,,,,,8320.0
1982-02-20,,,,,8320.0
1982-02-21,,,,,8320.0
1982-02-22,,,,,1600.0
1982-02-23,,,,,1920.0
1982-02-24,,,,,3200.0
1982-02-25,,,,,1280.0
1982-02-26,,,,,1920.0
1982-02-27,,,,,1920.0
1982-02-28,,,,,1920.0
1982-03-01,,,,,640.0
1982-03-02,,,,,3520.0
1982-03-03,,,,,1280.0
1982-03-04,,,,,1280.0
1982-03-05,,,,,2880.0
1982-03-06,,,,,2880.0
1982-03-07,,,,,2880.0
1982-03-08,,,,,25600.0
1982-03-09,,,,,10240.0
1982-03-10,,,,,5440.0
1982-03-11,,,,,9280.0
1982-03-12,,,,,1280.0
1982-03-13,,,,,1280.0
1982-03-14,,,,,1280.0
1982-03-15,,,,,21120.0
1982-03-16,,,,,304.0
1982-03-17,,,,,1920.0
1982-03-18,,,,,1920.0
1982-03-19,,,,,960.0
1982-03-20,,,,,960.0
1982-03-21,,,,,960.0
1982-03-22,,,,,640.0
1982-03-23,,,,,1280.0
1982-03-24,,,,,2560.0
1982-03-25,,,,,4160.0
1982-03-26,,,,,12480.0
1982-03-27,,,,,12480.0
1982-03-28,,,,,12480.0
1982-03-29,,,,,4160.0
1982-03-30,,,,,640.0
1982-03-31,,,,,8960.0
1982-04-01,,,,,13760.0
1982-04-02,,,,,1920.0
1982-04-03,,,,,1920.0
1982-04-04,,,,,1920.0
1982-04-05,,,,,118.0
1982-04-06,,,,,5440.0
1982-04-07,,,,,6720.0
1982-04-08,,,,,1280.0
1982-04-09,,,,,1280.0
1982-04-10,,,,,1280.0
1982-04-11,,,,,1280.0
1982-04-12,,,,,640.0
1982-04-13,,,,,13760.0
1982-04-14,,,,,960.0
1982-04-15,,,,,5760.0
1982-04-16,,,,,3200.0
1982-04-17,,,,,3200.0
1982-04-18,,,,,3200.0
1982-04-19,,,,,1280.0
1982-04-20,,,,,5120.0
1982-04-21,,,,,1600.0
1982-04-22,,,,,1280.0
1982-04-23,,,,,1280.0
1982-04-24,,,,,1280.0
1982-04-25,,,,,1280.0
1982-04-26,,,,,2240.0
1982-04-27,,,,,640.0
1982-04-28,,,,,7040.0
1982-04-29,,,,,3840.0
1982-04-30,,,,,14080.0
1982-05-01,,,,,14080.0
1982-05-02,,,,,14080.0
1982-05-03,,,,,14080.0
1982-05-04,,,,,3200.0
1982-05-05,,,,,1600.0
1982-05-06,,,,,320.0
1982-05-07,,,,,1920.0
1982-05-08,,,,,1920.0
1982-05-09,,,,,1920.0
1982-05-10,,,,,1920.0
1982-05-11,,,,,640.0
1982-05-12,,,,,960.0
1982-05-13,,,,,2880.0
1982-05-14,,,,,1600.0
1982-05-15,,,,,1600.0
1982-05-16,,,,,1600.0
1982-05-17,,,,,960.0
1982-05-18,,,,,1280.0
1982-05-19,,,,,640.0
1982-05-20,,,,,2560.0
1982-05-21,,,,,16000.0
1982-05-22,,,,,16000.0
1982-05-23,,,,,16000.0
1982-05-24,,,,,7040.0
1982-05-25,,,,,320.0
1982-05-26,,,,,320.0
1982-05-27,,,,,16960.0
1982-05-28,,,,,12160.0
1982-05-29,,,,,12160.0
1982-05-30,,,,,12160.0
1982-05-31,,,,,12160.0
1982-06-01,,,,,37760.0
1982-06-02,,,,,2880.0
1982-06-03,,,,,3520.0
1982-06-04,,,,,3520.0
1982-06-05,,,,,3520.0
1982-06-06,,,,,3520.0
1982-06-07,,,,,16000.0
1982-06-08,,,,,16000.0
1982-06-09,,,,,640.0
1982-06-10,,,,,1600.0
1982-06-11,,,,,3520.0
1982-06-12,,,,,3520.0
1982-06-13,,,,,3520.0
1982-06-14,,,,,3520.0
1982-06-15,,,,,1280.0
1982-06-16,,,,,960.0
1982-06-17,,,,,640.0
1982-06-18,,,,,1600.0
1982-06-19,,,,,1600.0
1982-06-20,,,,,1600.0
1982-06-21,,,,,1600.0
1982-06-22,,,,,4800.0
1982-06-23,,,,,3200.0
1982-06-24,,,,,3200.0
1982-06-25,,,,,3520.0
1982-06-26,,,,,3520.0
1982-06-27,,,,,3520.0
1982-06-28,,,,,8960.0
1982-06-29,,,,,8960.0
1982-06-30,,,,,8960.0
1982-07-01,,,,,6400.0
1982-07-02,,,,,3520.0
1982-07-03,,,,,3520.0
1982-07-04,,,,,3520.0
1982-07-05,,,,,3520.0
1982-07-06,,,,,11840.0
1982-07-07,,,,,3840.0
1982-07-08,,,,,3520.0
1982-07-09,,,,,3840.0
1982-07-10,,,,,3840.0
1982-07-11,,,,,3840.0
1982-07-12,,,,,3200.0
1982-07-13,,,,,5440.0
1982-07-14,,,,,1920.0
1982-07-15,,,,,12160.0
1982-07-16,,,,,13760.0
1982-07-17,,,,,13760.0
1982-07-18,,,,,13760.0
1982-07-19,,,,,1600.0
1982-07-20,,,,,2880.0
1982-07-21,,,,,960.0
1982-07-22,,,,,6400.0
1982-07-23,,,,,32000.0
