,ORCL US Equity
2020-10-02,2.226
2020-10-03,2.226
2020-10-04,2.226
2020-10-05,2.199
2020-10-06,2.201
2020-10-07,2.153
2020-10-08,2.142
2020-10-09,2.064
2020-10-10,2.064
2020-10-11,2.064
2020-10-12,2.054
2020-10-13,2.07
2020-10-14,2.07
2020-10-15,2.085
2020-10-16,2.093
2020-10-17,2.093
2020-10-18,2.093
2020-10-19,2.117
2020-10-20,2.112
2020-10-21,2.115
2020-10-22,2.114
2020-10-23,1.97
2020-10-24,1.97
2020-10-25,1.97
2020-10-26,2.052
2020-10-27,2.067
2020-10-28,2.122
2020-10-29,2.106
2020-10-30,2.103
2020-10-31,2.103
2020-11-01,2.103
2020-11-02,2.09
2020-11-03,2.077
2020-11-04,2.088
2020-11-05,2.082
2020-11-06,2.077
2020-11-07,2.077
2020-11-08,2.077
2020-11-09,2.076
2020-11-10,2.082
2020-11-11,2.063
2020-11-12,2.09
2020-11-13,2.073
2020-11-14,2.073
2020-11-15,2.073
2020-11-16,2.064
2020-11-17,2.065
2020-11-18,2.097
2020-11-19,2.09
2020-11-20,2.118
2020-11-21,2.118
2020-11-22,2.118
2020-11-23,2.104
2020-11-24,2.049
2020-11-25,2.055
2020-11-26,2.055
2020-11-27,2.043
2020-11-28,2.043
2020-11-29,2.043
2020-11-30,2.044
2020-12-01,2.008
2020-12-02,1.997
2020-12-03,1.99
2020-12-04,1.968
2020-12-05,1.968
2020-12-06,1.968
2020-12-07,1.973
2020-12-08,1.999
2020-12-09,1.975
2020-12-10,1.983
2020-12-11,1.964
2020-12-12,1.964
2020-12-13,1.964
2020-12-14,1.959
2020-12-15,1.924
2020-12-16,1.896
2020-12-17,1.871
2020-12-18,1.83
2020-12-19,1.83
2020-12-20,1.83
2020-12-21,1.846
2020-12-22,1.827
2020-12-23,1.823
2020-12-24,1.832
2020-12-25,1.832
2020-12-26,1.832
2020-12-27,1.832
2020-12-28,1.835
2020-12-29,1.847
2020-12-30,1.848
2020-12-31,1.84
2021-01-01,1.84
2021-01-02,1.84
2021-01-03,1.84
2021-01-04,1.867
2021-01-05,1.891
2021-01-06,1.895
2021-01-07,1.88
2021-01-08,1.871
2021-01-09,1.871
2021-01-10,1.871
2021-01-11,1.881
2021-01-12,1.9
2021-01-13,1.911
2021-01-14,1.925
2021-01-15,1.919
2021-01-16,1.919
2021-01-17,1.919
2021-01-18,1.919
2021-01-19,1.935
2021-01-20,1.926
2021-01-21,1.937
2021-01-22,1.965
2021-01-23,1.965
2021-01-24,1.965
2021-01-25,1.947
2021-01-26,1.919
2021-01-27,1.896
2021-01-28,1.937
2021-01-29,1.962
2021-01-30,1.962
2021-01-31,1.962
2021-02-01,1.928
2021-02-02,1.901
2021-02-03,1.907
2021-02-04,1.872
2021-02-05,1.864
2021-02-06,1.864
2021-02-07,1.864
2021-02-08,1.879
2021-02-09,1.862
2021-02-10,1.874
2021-02-11,1.891
2021-02-12,1.88
2021-02-13,1.88
2021-02-14,1.88
2021-02-15,1.88
2021-02-16,1.908
2021-02-17,1.91
2021-02-18,1.91
2021-02-19,1.94
2021-02-20,1.94
2021-02-21,1.94
2021-02-22,1.84
2021-02-23,1.838
2021-02-24,1.833
2021-02-25,1.816
2021-02-26,1.838
2021-02-27,1.838
2021-02-28,1.838
2021-03-01,1.792
2021-03-02,1.779
2021-03-03,1.772
2021-03-04,1.807
2021-03-05,1.695
2021-03-06,1.695
2021-03-07,1.695
2021-03-08,1.643
2021-03-09,1.632
2021-03-10,1.644
2021-03-11,1.826
2021-03-12,2.001
2021-03-13,2.001
2021-03-14,2.001
2021-03-15,1.984
2021-03-16,2.01
2021-03-17,2.029
2021-03-18,2.013
2021-03-19,2.028
2021-03-20,2.028
2021-03-21,2.028
2021-03-22,2.026
2021-03-23,1.997
2021-03-24,2.01
2021-03-25,1.958
2021-03-26,1.913
2021-03-27,1.913
2021-03-28,1.913
2021-03-29,1.889
2021-03-30,1.904
2021-03-31,1.915
2021-04-01,1.871
2021-04-02,1.871
2021-04-03,1.871
2021-04-04,1.871
2021-04-05,1.812
2021-04-06,1.809
2021-04-07,1.806
2021-04-08,1.777
2021-04-09,1.77
2021-04-10,1.77
2021-04-11,1.77
2021-04-12,1.758
2021-04-13,1.745
2021-04-14,1.741
2021-04-15,1.709
2021-04-16,1.695
2021-04-17,1.695
2021-04-18,1.695
2021-04-19,1.699
2021-04-20,1.688
2021-04-21,1.745
2021-04-22,1.787
2021-04-23,1.786
2021-04-24,1.786
2021-04-25,1.786
2021-04-26,1.797
2021-04-27,1.78
2021-04-28,1.791
2021-04-29,1.765
2021-04-30,1.767
2021-05-01,1.767
2021-05-02,1.767
2021-05-03,1.731
2021-05-04,1.705
2021-05-05,1.691
2021-05-06,1.679
2021-05-07,1.665
2021-05-08,1.665
2021-05-09,1.665
2021-05-10,1.67
2021-05-11,1.723
2021-05-12,1.744
2021-05-13,1.713
2021-05-14,1.697
2021-05-15,1.697
2021-05-16,1.697
2021-05-17,1.693
2021-05-18,1.701
2021-05-19,1.7
2021-05-20,1.701
2021-05-21,1.694
2021-05-22,1.694
2021-05-23,1.694
2021-05-24,1.687
2021-05-25,1.698
2021-05-26,1.689
2021-05-27,1.695
2021-05-28,1.7
2021-05-29,1.7
2021-05-30,1.7
2021-05-31,1.7
2021-06-01,1.683
2021-06-02,1.668
2021-06-03,1.651
2021-06-04,1.615
2021-06-05,1.615
2021-06-06,1.615
2021-06-07,1.595
2021-06-08,1.582
2021-06-09,1.584
2021-06-10,1.627
2021-06-11,1.615
2021-06-12,1.615
2021-06-13,1.615
2021-06-14,1.621
2021-06-15,1.64
2021-06-16,2.039
2021-06-17,2.026
2021-06-18,2.061
2021-06-19,2.061
2021-06-20,2.061
2021-06-21,2.015
2021-06-22,1.997
2021-06-23,2.012
2021-06-24,2.021
2021-06-25,2.003
2021-06-26,2.003
2021-06-27,2.003
2021-06-28,2.002
2021-06-29,2.012
2021-06-30,2.019
2021-07-01,1.976
2021-07-02,1.921
2021-07-03,1.921
2021-07-04,1.921
2021-07-05,1.921
2021-07-06,1.891
2021-07-07,1.825
2021-07-08,1.836
2021-07-09,1.791
2021-07-10,1.791
2021-07-11,1.791
2021-07-12,1.805
2021-07-13,1.805
2021-07-14,1.774
2021-07-15,1.815
2021-07-16,1.79
2021-07-17,1.79
2021-07-18,1.79
2021-07-19,1.8
2021-07-20,1.766
2021-07-21,1.746
2021-07-22,1.726
2021-07-23,1.785
2021-07-24,1.785
2021-07-25,1.785
2021-07-26,1.782
2021-07-27,1.783
2021-07-28,1.796
2021-07-29,1.787
2021-07-30,1.797
2021-07-31,1.797
2021-08-01,1.797
2021-08-02,1.787
2021-08-03,1.745
2021-08-04,1.739
2021-08-05,1.751
2021-08-06,1.749
2021-08-07,1.749
2021-08-08,1.749
2021-08-09,1.742
2021-08-10,1.747
2021-08-11,1.747
2021-08-12,1.743
2021-08-13,1.732
2021-08-14,1.732
2021-08-15,1.732
2021-08-16,1.724
2021-08-17,1.721
2021-08-18,1.76
2021-08-19,1.765
2021-08-20,1.76
2021-08-21,1.76
2021-08-22,1.76
2021-08-23,1.757
2021-08-24,1.768
2021-08-25,1.767
2021-08-26,1.765
2021-08-27,1.752
2021-08-28,1.752
2021-08-29,1.752
2021-08-30,1.75
2021-08-31,1.757
2021-09-01,1.741
2021-09-02,1.743
2021-09-03,1.74
2021-09-04,1.74
2021-09-05,1.74
2021-09-06,1.74
2021-09-07,1.765
2021-09-08,1.75
2021-09-09,1.749
2021-09-10,1.746
2021-09-11,1.746
2021-09-12,1.746
2021-09-13,1.759
2021-09-14,1.603
2021-09-15,1.718
2021-09-16,1.727
2021-09-17,1.745
2021-09-18,1.745
2021-09-19,1.745
2021-09-20,1.749
2021-09-21,1.734
2021-09-22,1.704
2021-09-23,1.686
2021-09-24,1.676
2021-09-25,1.676
2021-09-26,1.676
2021-09-27,1.656
2021-09-28,1.666
2021-09-29,1.652
2021-09-30,1.73
2021-10-01,1.68
2021-10-02,1.68
2021-10-03,1.68
2021-10-04,1.689
2021-10-05,1.647
2021-10-06,1.65
2021-10-07,1.633
2021-10-08,1.591
2021-10-09,1.591
2021-10-10,1.591
2021-10-11,1.576
2021-10-12,1.572
2021-10-13,1.558
2021-10-14,1.576
2021-10-15,1.576
2021-10-16,1.576
2021-10-17,1.576
2021-10-18,1.556
2021-10-19,1.547
2021-10-20,1.554
2021-10-21,1.56
2021-10-22,1.529
2021-10-23,1.529
2021-10-24,1.529
2021-10-25,1.534
2021-10-26,1.549
2021-10-27,1.564
2021-10-28,1.561
2021-10-29,1.566
2021-10-30,1.566
2021-10-31,1.566
2021-11-01,1.569
2021-11-02,1.545
2021-11-03,1.54
2021-11-04,1.549
2021-11-05,1.56
2021-11-06,1.56
2021-11-07,1.56
2021-11-08,1.557
2021-11-09,1.566
2021-11-10,1.579
2021-11-11,1.575
2021-11-12,1.583
2021-11-13,1.583
2021-11-14,1.583
2021-11-15,1.575
2021-11-16,1.549
2021-11-17,1.554
2021-11-18,1.565
2021-11-19,1.576
2021-11-20,1.576
2021-11-21,1.576
2021-11-22,1.566
2021-11-23,1.594
2021-11-24,1.583
2021-11-25,1.583
2021-11-26,1.604
2021-11-27,1.604
2021-11-28,1.604
2021-11-29,1.594
2021-11-30,1.632
2021-12-01,1.65
2021-12-02,1.646
2021-12-03,1.679
2021-12-04,1.679
2021-12-05,1.679
2021-12-06,1.644
2021-12-07,1.624
2021-12-08,1.644
2021-12-09,1.656
2021-12-10,1.42
2021-12-11,1.42
2021-12-12,1.42
2021-12-13,1.452
2021-12-14,1.455
2021-12-15,1.402
2021-12-16,1.408
2021-12-17,1.504
2021-12-18,1.504
2021-12-19,1.504
2021-12-20,1.586
2021-12-21,1.588
2021-12-22,1.617
2021-12-23,1.62
2021-12-24,1.62
2021-12-25,1.62
2021-12-26,1.62
2021-12-27,1.623
2021-12-28,1.639
2021-12-29,1.647
2021-12-30,1.651
2021-12-31,1.666
2022-01-01,1.666
2022-01-02,1.666
2022-01-03,1.653
2022-01-04,1.636
2022-01-05,1.681
2022-01-06,1.677
2022-01-07,1.654
2022-01-08,1.654
2022-01-09,1.654
2022-01-10,1.622
2022-01-11,1.636
2022-01-12,1.639
2022-01-13,1.649
2022-01-14,1.651
2022-01-15,1.651
2022-01-16,1.651
2022-01-17,1.651
2022-01-18,1.692
2022-01-19,1.754
2022-01-20,1.768
2022-01-21,1.778
2022-01-22,1.778
2022-01-23,1.778
2022-01-24,1.774
2022-01-25,1.804
2022-01-26,1.837
2022-01-27,1.833
2022-01-28,1.817
2022-01-29,1.817
2022-01-30,1.817
2022-01-31,1.802
2022-02-01,1.804
2022-02-02,1.772
2022-02-03,1.785
2022-02-04,1.781
2022-02-05,1.781
2022-02-06,1.781
2022-02-07,1.811
2022-02-08,1.81
2022-02-09,1.752
2022-02-10,1.786
2022-02-11,1.834
2022-02-12,1.834
2022-02-13,1.834
2022-02-14,1.852
2022-02-15,1.833
2022-02-16,1.846
2022-02-17,1.936
2022-02-18,1.961
2022-02-19,1.961
2022-02-20,1.961
2022-02-21,1.961
2022-02-22,1.973
2022-02-23,2.018
2022-02-24,1.955
2022-02-25,1.915
2022-02-26,1.915
2022-02-27,1.915
2022-02-28,1.925
2022-03-01,1.924
2022-03-02,1.868
2022-03-03,1.869
2022-03-04,1.824
2022-03-05,1.824
2022-03-06,1.824
2022-03-07,1.877
2022-03-08,1.902
2022-03-09,1.833
2022-03-10,1.816
2022-03-11,1.763
2022-03-12,1.763
2022-03-13,1.763
2022-03-14,1.776
2022-03-15,1.698
2022-03-16,1.712
2022-03-17,1.698
2022-03-18,1.676
2022-03-19,1.676
2022-03-20,1.676
2022-03-21,1.691
2022-03-22,1.674
2022-03-23,1.703
2022-03-24,1.665
2022-03-25,1.675
2022-03-26,1.675
2022-03-27,1.675
2022-03-28,1.638
2022-03-29,1.624
2022-03-30,1.642
2022-03-31,1.655
2022-04-01,1.669
2022-04-02,1.669
2022-04-03,1.669
2022-04-04,1.628
2022-04-05,1.651
2022-04-06,1.671
2022-04-07,1.676
2022-04-08,1.689
2022-04-09,1.689
2022-04-10,1.689
2022-04-11,1.714
2022-04-12,1.723
2022-04-13,1.714
2022-04-14,1.72
2022-04-15,1.72
2022-04-16,1.72
2022-04-17,1.72
2022-04-18,1.747
2022-04-19,1.718
2022-04-20,1.702
2022-04-21,1.72
2022-04-22,1.793
2022-04-23,1.793
2022-04-24,1.793
2022-04-25,1.775
2022-04-26,1.834
2022-04-27,1.828
2022-04-28,1.795
2022-04-29,1.862
2022-04-30,1.862
2022-05-01,1.862
2022-05-02,1.847
2022-05-03,1.865
2022-05-04,1.817
2022-05-05,1.877
2022-05-06,1.885
2022-05-07,1.885
2022-05-08,1.885
2022-05-09,1.91
2022-05-10,1.884
2022-05-11,1.924
2022-05-12,1.932
2022-05-13,1.92
2022-05-14,1.92
2022-05-15,1.92
2022-05-16,1.961
2022-05-17,1.901
2022-05-18,2.001
2022-05-19,2.039
2022-05-20,1.991
2022-05-21,1.991
2022-05-22,1.991
2022-05-23,1.951
2022-05-24,1.98
2022-05-25,1.957
2022-05-26,1.907
2022-05-27,1.878
2022-05-28,1.878
2022-05-29,1.878
2022-05-30,1.878
2022-05-31,1.9
2022-06-01,1.909
2022-06-02,1.869
2022-06-03,1.904
2022-06-04,1.904
2022-06-05,1.904
2022-06-06,1.881
2022-06-07,1.889
2022-06-08,1.923
2022-06-09,1.983
2022-06-10,2.045
2022-06-11,2.045
2022-06-12,2.045
2022-06-13,2.127
2022-06-14,1.922
2022-06-15,1.933
2022-06-16,1.961
2022-06-17,1.982
2022-06-18,1.982
2022-06-19,1.982
2022-06-20,1.982
2022-06-21,1.983
2022-06-22,2.014
2022-06-23,1.981
2022-06-24,1.92
2022-06-25,1.92
2022-06-26,1.92
2022-06-27,1.928
2022-06-28,1.979
2022-06-29,1.961
2022-06-30,1.943
2022-07-01,1.915
2022-07-02,1.915
2022-07-03,1.915
2022-07-04,1.915
2022-07-05,1.886
2022-07-06,1.894
2022-07-07,1.89
2022-07-08,1.889
2022-07-09,1.889
2022-07-10,1.889
2022-07-11,1.888
2022-07-12,1.919
2022-07-13,1.934
2022-07-14,1.95
2022-07-15,1.915
2022-07-16,1.915
2022-07-17,1.915
2022-07-18,1.929
2022-07-19,1.875
2022-07-20,1.862
2022-07-21,1.813
2022-07-22,1.804
2022-07-23,1.804
2022-07-24,1.804
2022-07-25,1.805
2022-07-26,1.825
2022-07-27,1.781
2022-07-28,1.754
2022-07-29,1.736
2022-07-30,1.736
2022-07-31,1.736
2022-08-01,1.745
2022-08-02,1.77
2022-08-03,1.747
2022-08-04,1.746
2022-08-05,1.747
2022-08-06,1.747
2022-08-07,1.747
2022-08-08,1.767
2022-08-09,1.76
2022-08-10,1.743
2022-08-11,1.751
2022-08-12,1.703
2022-08-13,1.703
2022-08-14,1.703
2022-08-15,1.704
2022-08-16,1.696
2022-08-17,1.701
2022-08-18,1.7
2022-08-19,1.714
2022-08-20,1.714
2022-08-21,1.714
2022-08-22,1.763
2022-08-23,1.765
2022-08-24,1.77
2022-08-25,1.754
2022-08-26,1.806
2022-08-27,1.806
2022-08-28,1.806
2022-08-29,1.817
2022-08-30,1.819
2022-08-31,1.818
2022-09-01,1.792
2022-09-02,1.807
2022-09-03,1.807
2022-09-04,1.807
2022-09-05,1.807
2022-09-06,1.828
2022-09-07,1.811
2022-09-08,1.808
2022-09-09,1.778
2022-09-10,1.778
2022-09-11,1.778
2022-09-12,1.751
2022-09-13,1.807
2022-09-14,1.902
2022-09-15,1.958
2022-09-16,1.998
2022-09-17,1.998
2022-09-18,1.998
2022-09-19,1.991
2022-09-20,2.019
2022-09-21,2.06
2022-09-22,2.082
2022-09-23,2.13
2022-09-24,2.13
2022-09-25,2.13
2022-09-26,2.167
2022-09-27,2.203
2022-09-28,2.187
2022-09-29,2.246
2022-09-30,2.258
2022-10-01,2.258
2022-10-02,2.258
2022-10-03,2.186
2022-10-04,2.099
2022-10-05,2.07
2022-10-06,2.112
2022-10-07,2.179
2022-10-08,2.179
2022-10-09,2.179
2022-10-10,2.204
2022-10-11,2.198
2022-10-12,2.151
2022-10-13,2.108
2022-10-14,2.137
2022-10-15,2.137
2022-10-16,2.137
2022-10-17,2.05
2022-10-18,2.05
2022-10-19,2.073
2022-10-20,1.984
2022-10-21,1.892
2022-10-22,1.892
2022-10-23,1.892
2022-10-24,1.886
2022-10-25,1.88
2022-10-26,1.838
2022-10-27,1.824
2022-10-28,1.772
2022-10-29,1.772
2022-10-30,1.772
2022-10-31,1.756
2022-11-01,1.778
2022-11-02,1.825
2022-11-03,1.827
2022-11-04,1.804
2022-11-05,1.804
2022-11-06,1.804
2022-11-07,1.787
2022-11-08,1.813
2022-11-09,1.812
2022-11-10,1.777
2022-11-11,1.764
2022-11-12,1.764
2022-11-13,1.764
2022-11-14,1.746
2022-11-15,1.732
2022-11-16,1.716
2022-11-17,1.731
2022-11-18,1.72
2022-11-19,1.72
2022-11-20,1.72
2022-11-21,1.718
2022-11-22,1.67
2022-11-23,1.661
2022-11-24,1.661
2022-11-25,1.657
2022-11-26,1.657
2022-11-27,1.657
2022-11-28,1.685
2022-11-29,1.696
2022-11-30,1.651
2022-12-01,1.63
2022-12-02,1.645
2022-12-03,1.645
2022-12-04,1.645
2022-12-05,1.726
2022-12-06,1.722
2022-12-07,1.725
2022-12-08,1.697
2022-12-09,1.701
2022-12-10,1.701
2022-12-11,1.701
2022-12-12,1.678
2022-12-13,1.706
2022-12-14,1.679
2022-12-15,1.717
2022-12-16,1.728
2022-12-17,1.728
2022-12-18,1.728
2022-12-19,1.708
2022-12-20,1.699
2022-12-21,1.69
2022-12-22,1.711
2022-12-23,1.697
2022-12-24,1.697
2022-12-25,1.697
2022-12-26,1.697
2022-12-27,1.694
2022-12-28,1.708
2022-12-29,1.686
2022-12-30,1.679
2022-12-31,1.679
2023-01-01,1.679
2023-01-02,1.679
2023-01-03,1.639
2023-01-04,1.624
2023-01-05,1.627
2023-01-06,1.602
2023-01-07,1.602
2023-01-08,1.602
2023-01-09,1.582
2023-01-10,1.58
2023-01-11,1.543
2023-01-12,1.54
2023-01-13,1.532
2023-01-14,1.532
2023-01-15,1.532
2023-01-16,1.532
2023-01-17,1.543
2023-01-18,1.576
2023-01-19,1.591
2023-01-20,1.567
2023-01-21,1.567
2023-01-22,1.567
2023-01-23,1.536
2023-01-24,1.524
2023-01-25,1.525
2023-01-26,1.522
2023-01-27,1.536
2023-01-28,1.536
2023-01-29,1.536
2023-01-30,1.565
2023-01-31,1.545
2023-02-01,1.518
2023-02-02,1.529
2023-02-03,1.525
2023-02-04,1.525
2023-02-05,1.525
2023-02-06,1.544
2023-02-07,1.558
2023-02-08,1.577
2023-02-09,1.578
2023-02-10,1.569
2023-02-11,1.569
2023-02-12,1.569
2023-02-13,1.529
2023-02-14,1.534
2023-02-15,1.547
2023-02-16,1.558
2023-02-17,1.566
2023-02-18,1.566
2023-02-19,1.566
2023-02-20,1.566
2023-02-21,1.586
2023-02-22,1.584
2023-02-23,1.543
2023-02-24,1.542
2023-02-25,1.542
2023-02-26,1.542
2023-02-27,1.554
2023-02-28,1.564
2023-03-01,1.583
2023-03-02,1.572
2023-03-03,1.518
2023-03-04,1.518
2023-03-05,1.518
2023-03-06,1.51
2023-03-07,1.533
2023-03-08,1.531
2023-03-09,1.586
2023-03-10,1.75
2023-03-11,1.75
2023-03-12,1.75
2023-03-13,1.732
2023-03-14,1.739
2023-03-15,1.753
2023-03-16,1.715
2023-03-17,1.706
2023-03-18,1.706
2023-03-19,1.706
2023-03-20,1.673
2023-03-21,1.661
2023-03-22,1.727
2023-03-23,1.739
2023-03-24,1.735
2023-03-25,1.735
2023-03-26,1.735
2023-03-27,1.694
2023-03-28,1.699
2023-03-29,1.685
2023-03-30,1.687
2023-03-31,1.643
2023-04-01,1.643
2023-04-02,1.643
2023-04-03,1.626
2023-04-04,1.624
2023-04-05,1.609
2023-04-06,1.592
2023-04-07,1.592
2023-04-08,1.592
2023-04-09,1.592
2023-04-10,1.622
2023-04-11,1.618
2023-04-12,1.619
2023-04-13,1.591
2023-04-14,1.589
2023-04-15,1.589
2023-04-16,1.589
2023-04-17,1.591
2023-04-18,1.576
2023-04-19,1.587
2023-04-20,1.603
2023-04-21,1.598
2023-04-22,1.598
2023-04-23,1.598
2023-04-24,1.593
2023-04-25,1.617
2023-04-26,1.61
2023-04-27,1.587
2023-04-28,1.592
2023-04-29,1.592
2023-04-30,1.592
2023-05-01,1.59
2023-05-02,1.591
2023-05-03,1.6
2023-05-04,1.597
2023-05-05,1.564
2023-05-06,1.564
2023-05-07,1.564
2023-05-08,1.567
2023-05-09,1.577
2023-05-10,1.555
2023-05-11,1.556
2023-05-12,1.55
2023-05-13,1.55
2023-05-14,1.55
2023-05-15,1.559
2023-05-16,1.543
2023-05-17,1.52
2023-05-18,1.482
2023-05-19,1.475
2023-05-20,1.475
2023-05-21,1.475
2023-05-22,1.49
2023-05-23,1.539
2023-05-24,1.542
2023-05-25,1.454
2023-05-26,1.457
2023-05-27,1.457
2023-05-28,1.457
2023-05-29,1.457
2023-05-30,1.442
2023-05-31,1.431
2023-06-01,1.431
2023-06-02,1.418
2023-06-03,1.418
2023-06-04,1.418
2023-06-05,1.404
2023-06-06,1.402
2023-06-07,1.426
2023-06-08,1.397
2023-06-09,1.367
2023-06-10,1.367
2023-06-11,1.367
2023-06-12,1.319
2023-06-13,1.331
2023-06-14,1.289
2023-06-15,1.25
2023-06-16,1.264
2023-06-17,1.264
2023-06-18,1.264
2023-06-19,1.264
2023-06-20,1.299
2023-06-21,1.298
2023-06-22,1.315
2023-06-23,1.336
2023-06-24,1.336
2023-06-25,1.336
2023-06-26,1.358
2023-06-27,1.345
2023-06-28,1.361
2023-06-29,1.346
2023-06-30,1.331
2023-07-01,1.331
2023-07-02,1.331
2023-07-03,1.353
2023-07-04,1.353
2023-07-05,1.367
2023-07-06,1.373
2023-07-07,1.383
2023-07-08,1.383
2023-07-09,1.383
2023-07-10,1.386
2023-07-11,1.375
2023-07-12,1.362
2023-07-13,1.345
2023-07-14,1.327
2023-07-15,1.327
2023-07-16,1.327
2023-07-17,1.331
2023-07-18,1.311
2023-07-19,1.333
2023-07-20,1.365
2023-07-21,1.345
2023-07-22,1.345
2023-07-23,1.345
2023-07-24,1.34
2023-07-25,1.341
2023-07-26,1.37
2023-07-27,1.359
2023-07-28,1.364
2023-07-29,1.364
2023-07-30,1.364
2023-07-31,1.349
2023-08-01,1.342
2023-08-02,1.367
2023-08-03,1.381
2023-08-04,1.382
2023-08-05,1.382
2023-08-06,1.382
2023-08-07,1.363
2023-08-08,1.373
2023-08-09,1.399
2023-08-10,1.4
2023-08-11,1.399
2023-08-12,1.399
2023-08-13,1.399
