,FIBK US Equity
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,3.853
2020-11-20,3.897
2020-11-21,3.897
2020-11-22,3.897
2020-11-23,3.852
2020-11-24,3.701
2020-11-25,3.76
2020-11-26,3.76
2020-11-27,3.828
2020-11-28,3.828
2020-11-29,3.828
2020-11-30,4.01
2020-12-01,3.947
2020-12-02,3.838
2020-12-03,3.861
2020-12-04,3.803
2020-12-05,3.803
2020-12-06,3.803
2020-12-07,3.804
2020-12-08,3.761
2020-12-09,3.734
2020-12-10,3.766
2020-12-11,3.78
2020-12-12,3.78
2020-12-13,3.78
2020-12-14,3.809
2020-12-15,3.725
2020-12-16,3.759
2020-12-17,3.763
2020-12-18,3.796
2020-12-19,3.796
2020-12-20,3.796
2020-12-21,3.841
2020-12-22,3.839
2020-12-23,3.766
2020-12-24,3.752
2020-12-25,3.752
2020-12-26,3.752
2020-12-27,3.752
2020-12-28,3.726
2020-12-29,3.795
2020-12-30,3.762
2020-12-31,3.742
2021-01-01,3.742
2021-01-02,3.742
2021-01-03,3.742
2021-01-04,3.783
2021-01-05,3.773
2021-01-06,3.548
2021-01-07,3.528
2021-01-08,3.618
2021-01-09,3.618
2021-01-10,3.618
2021-01-11,3.58
2021-01-12,3.5
2021-01-13,3.585
2021-01-14,3.582
2021-01-15,3.57
2021-01-16,3.57
2021-01-17,3.57
2021-01-18,3.57
2021-01-19,3.594
2021-01-20,3.608
2021-01-21,3.685
2021-01-22,3.632
2021-01-23,3.632
2021-01-24,3.632
2021-01-25,3.682
2021-01-26,3.769
2021-01-27,3.834
2021-01-28,3.825
2021-01-29,3.946
2021-01-30,3.946
2021-01-31,3.946
2021-02-01,3.744
2021-02-02,3.719
2021-02-03,3.696
2021-02-04,3.589
2021-02-05,3.581
2021-02-06,3.581
2021-02-07,3.581
2021-02-08,3.468
2021-02-09,3.402
2021-02-10,3.385
2021-02-11,3.417
2021-02-12,3.349
2021-02-13,3.349
2021-02-14,3.349
2021-02-15,3.349
2021-02-16,3.318
2021-02-17,3.323
2021-02-18,3.326
2021-02-19,3.299
2021-02-20,3.299
2021-02-21,3.299
2021-02-22,3.187
2021-02-23,3.179
2021-02-24,3.117
2021-02-25,3.142
2021-02-26,3.222
2021-02-27,3.222
2021-02-28,3.222
2021-03-01,3.108
2021-03-02,3.186
2021-03-03,3.115
2021-03-04,3.151
2021-03-05,3.06
2021-03-06,3.06
2021-03-07,3.06
2021-03-08,2.959
2021-03-09,3.044
2021-03-10,2.947
2021-03-11,2.938
2021-03-12,2.88
2021-03-13,2.88
2021-03-14,2.88
2021-03-15,2.951
2021-03-16,2.979
2021-03-17,2.982
2021-03-18,2.935
2021-03-19,2.98
2021-03-20,2.98
2021-03-21,2.98
2021-03-22,3.109
2021-03-23,3.225
2021-03-24,3.22
2021-03-25,3.168
2021-03-26,3.109
2021-03-27,3.109
2021-03-28,3.109
2021-03-29,3.206
2021-03-30,3.152
2021-03-31,3.179
2021-04-01,3.146
2021-04-02,3.146
2021-04-03,3.146
2021-04-04,3.146
2021-04-05,3.154
2021-04-06,3.15
2021-04-07,3.152
2021-04-08,3.116
2021-04-09,3.083
2021-04-10,3.083
2021-04-11,3.083
2021-04-12,3.042
2021-04-13,3.128
2021-04-14,3.087
2021-04-15,3.098
2021-04-16,3.05
2021-04-17,3.05
2021-04-18,3.05
2021-04-19,3.022
2021-04-20,3.11
2021-04-21,3.048
2021-04-22,3.106
2021-04-23,2.988
2021-04-24,2.988
2021-04-25,2.988
2021-04-26,3.005
2021-04-27,3.007
2021-04-28,3.063
2021-04-29,3.036
2021-04-30,3.041
2021-05-01,3.041
2021-05-02,3.041
2021-05-03,2.992
2021-05-04,2.991
2021-05-05,2.995
2021-05-06,2.961
2021-05-07,2.988
2021-05-08,2.988
2021-05-09,2.988
2021-05-10,3.03
2021-05-11,3.073
2021-05-12,3.127
2021-05-13,2.999
2021-05-14,2.978
2021-05-15,2.978
2021-05-16,2.978
2021-05-17,2.983
2021-05-18,3.058
2021-05-19,3.088
2021-05-20,3.108
2021-05-21,3.059
2021-05-22,3.059
2021-05-23,3.059
2021-05-24,3.058
2021-05-25,3.135
2021-05-26,3.079
2021-05-27,3.02
2021-05-28,3.009
2021-05-29,3.009
2021-05-30,3.009
2021-05-31,3.009
2021-06-01,2.977
2021-06-02,2.979
2021-06-03,2.997
2021-06-04,3.042
2021-06-05,3.042
2021-06-06,3.042
2021-06-07,3.049
2021-06-08,3.022
2021-06-09,3.075
2021-06-10,3.112
2021-06-11,3.121
2021-06-12,3.121
2021-06-13,3.121
2021-06-14,3.201
2021-06-15,3.159
2021-06-16,3.137
2021-06-17,3.254
2021-06-18,3.431
2021-06-19,3.431
2021-06-20,3.431
2021-06-21,3.286
2021-06-22,3.295
2021-06-23,3.301
2021-06-24,3.261
2021-06-25,3.276
2021-06-26,3.276
2021-06-27,3.276
2021-06-28,3.33
2021-06-29,3.369
2021-06-30,3.386
2021-07-01,3.345
2021-07-02,3.38
2021-07-03,3.38
2021-07-04,3.38
2021-07-05,3.38
2021-07-06,3.382
2021-07-07,3.36
2021-07-08,3.373
2021-07-09,3.287
2021-07-10,3.287
2021-07-11,3.287
2021-07-12,3.28
2021-07-13,3.342
2021-07-14,3.318
2021-07-15,3.271
2021-07-16,3.3
2021-07-17,3.3
2021-07-18,3.3
2021-07-19,3.418
2021-07-20,3.349
2021-07-21,3.311
2021-07-22,3.404
2021-07-23,3.366
2021-07-24,3.366
2021-07-25,3.366
2021-07-26,3.338
2021-07-27,3.342
2021-07-28,3.42
2021-07-29,3.357
2021-07-30,3.351
2021-07-31,3.351
2021-08-01,3.351
2021-08-02,3.171
2021-08-03,3.088
2021-08-04,3.094
2021-08-05,3.04
2021-08-06,2.971
2021-08-07,2.971
2021-08-08,2.971
2021-08-09,2.975
2021-08-10,2.929
2021-08-11,2.859
2021-08-12,2.898
2021-08-13,2.935
2021-08-14,2.935
2021-08-15,2.935
2021-08-16,2.909
2021-08-17,2.926
2021-08-18,2.916
2021-08-19,2.951
2021-08-20,2.882
2021-08-21,2.882
2021-08-22,2.882
2021-08-23,2.888
2021-08-24,2.922
2021-08-25,2.945
2021-08-26,2.99
2021-08-27,2.888
2021-08-28,2.888
2021-08-29,2.888
2021-08-30,2.998
2021-08-31,2.975
2021-09-01,2.974
2021-09-02,3.031
2021-09-03,3.031
2021-09-04,3.031
2021-09-05,3.031
2021-09-06,3.031
2021-09-07,3.031
2021-09-08,3.031
2021-09-09,3.031
2021-09-10,3.031
2021-09-11,3.031
2021-09-12,3.031
2021-09-13,3.031
2021-09-14,3.031
2021-09-15,3.031
2021-09-16,3.031
2021-09-17,3.031
2021-09-18,3.031
2021-09-19,3.031
2021-09-20,3.031
2021-09-21,3.031
2021-09-22,3.031
2021-09-23,3.031
2021-09-24,3.031
2021-09-25,3.031
2021-09-26,3.031
2021-09-27,3.031
2021-09-28,3.031
2021-09-29,3.031
2021-09-30,3.031
2021-10-01,3.031
2021-10-02,3.031
2021-10-03,3.031
2021-10-04,3.031
2021-10-05,3.031
2021-10-06,3.031
2021-10-07,3.031
2021-10-08,3.031
2021-10-09,3.031
2021-10-10,3.031
2021-10-11,3.031
2021-10-12,3.031
2021-10-13,3.031
2021-10-14,3.031
2021-10-15,3.031
2021-10-16,3.031
2021-10-17,3.031
2021-10-18,3.031
2021-10-19,3.031
2021-10-20,3.031
2021-10-21,3.031
2021-10-22,3.031
2021-10-23,3.031
2021-10-24,3.031
2021-10-25,3.031
2021-10-26,3.031
2021-10-27,3.031
2021-10-28,3.031
2021-10-29,3.031
2021-10-30,3.031
2021-10-31,3.031
2021-11-01,3.031
2021-11-02,3.031
2021-11-03,3.031
2021-11-04,3.031
2021-11-05,3.031
2021-11-06,3.031
2021-11-07,3.031
2021-11-08,3.031
2021-11-09,3.031
2021-11-10,3.031
2021-11-11,3.031
2021-11-12,3.031
2021-11-13,3.031
2021-11-14,3.031
2021-11-15,3.031
2021-11-16,3.031
2021-11-17,3.031
2021-11-18,3.031
2021-11-19,3.031
2021-11-20,3.031
2021-11-21,3.031
2021-11-22,3.031
2021-11-23,3.031
2021-11-24,3.031
2021-11-25,3.031
2021-11-26,3.031
2021-11-27,3.031
2021-11-28,3.031
2021-11-29,3.031
2021-11-30,3.031
2021-12-01,3.031
2021-12-02,3.031
2021-12-03,3.031
2021-12-04,3.031
2021-12-05,3.031
2021-12-06,3.031
2021-12-07,3.031
2021-12-08,3.031
2021-12-09,3.031
2021-12-10,3.031
2021-12-11,3.031
2021-12-12,3.031
2021-12-13,3.031
2021-12-14,3.031
2021-12-15,3.031
2021-12-16,3.031
2021-12-17,3.031
2021-12-18,3.031
2021-12-19,3.031
2021-12-20,3.031
2021-12-21,3.031
2021-12-22,3.031
2021-12-23,3.031
2021-12-24,3.031
2021-12-25,3.031
2021-12-26,3.031
2021-12-27,3.031
2021-12-28,3.031
2021-12-29,3.031
2021-12-30,3.031
2021-12-31,3.031
2022-01-01,3.031
2022-01-02,3.031
2022-01-03,3.031
2022-01-04,3.031
2022-01-05,3.031
2022-01-06,3.031
2022-01-07,3.031
2022-01-08,3.031
2022-01-09,3.031
2022-01-10,3.031
2022-01-11,3.031
2022-01-12,3.031
2022-01-13,3.031
2022-01-14,3.031
2022-01-15,3.031
2022-01-16,3.031
2022-01-17,3.031
2022-01-18,3.031
2022-01-19,3.031
2022-01-20,3.031
2022-01-21,3.031
2022-01-22,3.031
2022-01-23,3.031
2022-01-24,3.031
2022-01-25,3.031
2022-01-26,3.031
2022-01-27,3.031
2022-01-28,3.031
2022-01-29,3.031
2022-01-30,3.031
2022-01-31,3.031
2022-02-01,3.031
2022-02-02,3.031
2022-02-03,3.031
2022-02-04,3.031
2022-02-05,3.031
2022-02-06,3.031
2022-02-07,3.031
2022-02-08,3.031
2022-02-09,3.031
2022-02-10,3.031
2022-02-11,3.031
2022-02-12,3.031
2022-02-13,3.031
2022-02-14,3.031
2022-02-15,3.031
2022-02-16,3.031
2022-02-17,3.031
2022-02-18,3.031
2022-02-19,3.031
2022-02-20,3.031
2022-02-21,3.031
2022-02-22,3.031
2022-02-23,3.031
2022-02-24,3.031
2022-02-25,3.031
2022-02-26,3.031
2022-02-27,3.031
2022-02-28,3.031
2022-03-01,3.031
2022-03-02,3.031
2022-03-03,3.031
2022-03-04,3.031
2022-03-05,3.031
2022-03-06,3.031
2022-03-07,3.031
2022-03-08,3.031
2022-03-09,3.031
2022-03-10,3.031
2022-03-11,3.031
2022-03-12,3.031
2022-03-13,3.031
2022-03-14,3.031
2022-03-15,3.031
2022-03-16,3.031
2022-03-17,3.031
2022-03-18,3.031
2022-03-19,3.031
2022-03-20,3.031
2022-03-21,3.031
2022-03-22,3.031
2022-03-23,3.031
2022-03-24,3.031
2022-03-25,3.031
2022-03-26,3.031
2022-03-27,3.031
2022-03-28,3.031
2022-03-29,3.031
2022-03-30,3.031
2022-03-31,3.031
2022-04-01,3.031
2022-04-02,3.031
2022-04-03,3.031
2022-04-04,3.031
2022-04-05,3.031
2022-04-06,3.031
2022-04-07,3.031
2022-04-08,3.031
2022-04-09,3.031
2022-04-10,3.031
2022-04-11,3.031
2022-04-12,3.031
2022-04-13,3.031
2022-04-14,3.031
2022-04-15,3.031
2022-04-16,3.031
2022-04-17,3.031
2022-04-18,3.031
2022-04-19,3.031
2022-04-20,3.031
2022-04-21,3.031
2022-04-22,3.031
2022-04-23,3.031
2022-04-24,3.031
2022-04-25,3.031
2022-04-26,3.031
2022-04-27,3.031
2022-04-28,3.031
2022-04-29,6.098
2022-04-30,6.098
2022-05-01,6.098
2022-05-02,5.822
2022-05-03,5.594
2022-05-04,5.535
2022-05-05,5.741
2022-05-06,5.71
2022-05-07,5.71
2022-05-08,5.71
2022-05-09,5.639
2022-05-10,5.788
2022-05-11,5.841
2022-05-12,5.757
2022-05-13,5.727
2022-05-14,5.727
2022-05-15,5.727
2022-05-16,5.784
2022-05-17,5.62
2022-05-18,5.764
2022-05-19,5.86
2022-05-20,5.831
2022-05-21,5.831
2022-05-22,5.831
2022-05-23,5.68
2022-05-24,5.657
2022-05-25,5.512
2022-05-26,5.321
2022-05-27,5.148
2022-05-28,5.148
2022-05-29,5.148
2022-05-30,5.148
2022-05-31,5.148
2022-06-01,5.233
2022-06-02,5.153
2022-06-03,5.103
2022-06-04,5.103
2022-06-05,5.103
2022-06-06,5.158
2022-06-07,5.126
2022-06-08,5.184
2022-06-09,5.331
2022-06-10,5.403
2022-06-11,5.403
2022-06-12,5.403
2022-06-13,5.466
2022-06-14,5.424
2022-06-15,5.33
2022-06-16,5.489
2022-06-17,5.396
2022-06-18,5.396
2022-06-19,5.396
2022-06-20,5.396
2022-06-21,5.233
2022-06-22,5.219
2022-06-23,5.269
2022-06-24,5.167
2022-06-25,5.167
2022-06-26,5.167
2022-06-27,5.09
2022-06-28,5.106
2022-06-29,5.138
2022-06-30,5.142
2022-07-01,5.061
2022-07-02,5.061
2022-07-03,5.061
2022-07-04,5.061
2022-07-05,5.055
2022-07-06,5.064
2022-07-07,5.027
2022-07-08,5.061
2022-07-09,5.061
2022-07-10,5.061
2022-07-11,5.087
2022-07-12,5.073
2022-07-13,5.157
2022-07-14,5.198
2022-07-15,5.16
2022-07-16,5.16
2022-07-17,5.16
2022-07-18,5.135
2022-07-19,5.025
2022-07-20,4.993
2022-07-21,4.97
2022-07-22,4.957
2022-07-23,4.957
2022-07-24,4.957
2022-07-25,4.87
2022-07-26,4.881
2022-07-27,4.846
2022-07-28,4.871
2022-07-29,4.805
2022-07-30,4.805
2022-07-31,4.805
2022-08-01,4.809
2022-08-02,4.876
2022-08-03,4.829
2022-08-04,4.897
2022-08-05,4.83
2022-08-06,4.83
2022-08-07,4.83
2022-08-08,4.814
2022-08-09,4.821
2022-08-10,4.79
2022-08-11,4.742
2022-08-12,4.686
2022-08-13,4.686
2022-08-14,4.686
2022-08-15,4.646
2022-08-16,4.623
2022-08-17,4.69
2022-08-18,4.685
2022-08-19,4.712
2022-08-20,4.712
2022-08-21,4.712
2022-08-22,4.731
2022-08-23,4.796
2022-08-24,4.814
2022-08-25,4.769
2022-08-26,4.824
2022-08-27,4.824
2022-08-28,4.824
2022-08-29,4.897
2022-08-30,4.818
2022-08-31,4.818
2022-09-01,4.879
2022-09-02,4.925
2022-09-03,4.925
2022-09-04,4.925
2022-09-05,4.925
2022-09-06,5.001
2022-09-07,4.925
2022-09-08,4.816
2022-09-09,4.782
2022-09-10,4.782
2022-09-11,4.782
2022-09-12,4.748
2022-09-13,4.858
2022-09-14,4.776
2022-09-15,4.648
2022-09-16,4.638
2022-09-17,4.638
2022-09-18,4.638
2022-09-19,4.533
2022-09-20,4.483
2022-09-21,4.51
2022-09-22,4.55
2022-09-23,4.676
2022-09-24,4.676
2022-09-25,4.676
2022-09-26,4.652
2022-09-27,4.746
2022-09-28,4.772
2022-09-29,4.827
2022-09-30,4.862
2022-10-01,4.862
2022-10-02,4.862
2022-10-03,4.804
2022-10-04,4.653
2022-10-05,4.662
2022-10-06,4.651
2022-10-07,4.726
2022-10-08,4.726
2022-10-09,4.726
2022-10-10,4.681
2022-10-11,4.679
2022-10-12,4.652
2022-10-13,4.47
2022-10-14,4.558
2022-10-15,4.558
2022-10-16,4.558
2022-10-17,4.449
2022-10-18,4.485
2022-10-19,4.484
2022-10-20,4.65
2022-10-21,4.651
2022-10-22,4.651
2022-10-23,4.651
2022-10-24,4.64
2022-10-25,4.682
2022-10-26,4.642
2022-10-27,4.622
2022-10-28,4.613
2022-10-29,4.613
2022-10-30,4.613
2022-10-31,4.437
2022-11-01,4.554
2022-11-02,4.575
2022-11-03,4.614
2022-11-04,4.508
2022-11-05,4.508
2022-11-06,4.508
2022-11-07,4.526
2022-11-08,4.533
2022-11-09,4.58
2022-11-10,4.473
2022-11-11,4.66
2022-11-12,4.66
2022-11-13,4.66
2022-11-14,4.644
2022-11-15,4.677
2022-11-16,4.732
2022-11-17,4.749
2022-11-18,4.644
2022-11-19,4.644
2022-11-20,4.644
2022-11-21,4.656
2022-11-22,4.621
2022-11-23,4.663
2022-11-24,4.663
2022-11-25,4.602
2022-11-26,4.602
2022-11-27,4.602
2022-11-28,4.701
2022-11-29,4.721
2022-11-30,4.702
2022-12-01,4.76
2022-12-02,4.76
2022-12-03,4.76
2022-12-04,4.76
2022-12-05,4.924
2022-12-06,4.962
2022-12-07,4.954
2022-12-08,4.98
2022-12-09,5.068
2022-12-10,5.068
2022-12-11,5.068
2022-12-12,5.045
2022-12-13,5.212
2022-12-14,5.334
2022-12-15,5.373
2022-12-16,5.442
2022-12-17,5.442
2022-12-18,5.442
2022-12-19,5.447
2022-12-20,5.397
2022-12-21,5.327
2022-12-22,5.383
2022-12-23,5.351
2022-12-24,5.351
2022-12-25,5.351
2022-12-26,5.351
2022-12-27,5.342
2022-12-28,5.37
2022-12-29,5.283
2022-12-30,5.306
2022-12-31,5.306
2023-01-01,5.306
2023-01-02,5.306
2023-01-03,5.271
2023-01-04,5.297
2023-01-05,5.349
2023-01-06,5.219
2023-01-07,5.219
2023-01-08,5.219
2023-01-09,5.279
2023-01-10,5.279
2023-01-11,5.267
2023-01-12,5.179
2023-01-13,5.205
2023-01-14,5.205
2023-01-15,5.205
2023-01-16,5.205
2023-01-17,5.293
2023-01-18,5.459
2023-01-19,5.491
2023-01-20,5.41
2023-01-21,5.41
2023-01-22,5.41
2023-01-23,5.4
2023-01-24,5.512
2023-01-25,5.383
2023-01-26,5.439
2023-01-27,5.938
2023-01-28,5.938
2023-01-29,5.938
2023-01-30,5.951
2023-01-31,5.686
2023-02-01,5.574
2023-02-02,5.505
2023-02-03,5.427
2023-02-04,5.427
2023-02-05,5.427
2023-02-06,5.465
2023-02-07,5.434
2023-02-08,5.509
2023-02-09,5.527
2023-02-10,5.491
2023-02-11,5.491
2023-02-12,5.491
2023-02-13,5.439
2023-02-14,5.506
2023-02-15,5.399
2023-02-16,5.515
2023-02-17,5.426
2023-02-18,5.426
2023-02-19,5.426
2023-02-20,5.426
2023-02-21,5.584
2023-02-22,5.61
2023-02-23,5.563
2023-02-24,5.607
2023-02-25,5.607
2023-02-26,5.607
2023-02-27,5.604
2023-02-28,5.668
2023-03-01,5.751
2023-03-02,5.829
2023-03-03,5.735
2023-03-04,5.735
2023-03-05,5.735
2023-03-06,5.728
2023-03-07,5.861
2023-03-08,5.948
2023-03-09,6.307
2023-03-10,6.347
2023-03-11,6.347
2023-03-12,6.347
2023-03-13,6.488
2023-03-14,6.463
2023-03-15,6.418
2023-03-16,6.351
2023-03-17,6.775
2023-03-18,6.775
2023-03-19,6.775
2023-03-20,6.576
2023-03-21,6.342
2023-03-22,6.721
2023-03-23,6.936
2023-03-24,6.703
2023-03-25,6.703
2023-03-26,6.703
2023-03-27,6.474
2023-03-28,6.626
2023-03-29,6.57
2023-03-30,6.739
2023-03-31,6.75
2023-04-01,6.75
2023-04-02,6.75
2023-04-03,6.83
2023-04-04,7.048
2023-04-05,6.955
2023-04-06,6.771
2023-04-07,6.771
2023-04-08,6.771
2023-04-09,6.771
2023-04-10,6.773
2023-04-11,6.828
2023-04-12,6.919
2023-04-13,6.821
2023-04-14,7.011
2023-04-15,7.011
2023-04-16,7.011
2023-04-17,6.807
2023-04-18,7.001
2023-04-19,6.819
2023-04-20,6.974
2023-04-21,7.232
2023-04-22,7.232
2023-04-23,7.232
2023-04-24,7.306
2023-04-25,7.606
2023-04-26,7.589
2023-04-27,7.644
2023-04-28,7.847
2023-04-29,7.847
2023-04-30,7.847
2023-05-01,7.878
2023-05-02,8.299
2023-05-03,8.488
2023-05-04,8.874
2023-05-05,8.416
2023-05-06,8.416
2023-05-07,8.416
2023-05-08,8.925
2023-05-09,9.079
2023-05-10,8.933
2023-05-11,9.199
2023-05-12,9.216
2023-05-13,9.216
2023-05-14,9.216
2023-05-15,9.022
2023-05-16,9.187
2023-05-17,8.589
2023-05-18,8.524
2023-05-19,8.785
2023-05-20,8.785
2023-05-21,8.785
2023-05-22,8.534
2023-05-23,8.35
2023-05-24,8.524
2023-05-25,8.597
2023-05-26,8.505
2023-05-27,8.505
2023-05-28,8.505
2023-05-29,8.505
2023-05-30,8.701
2023-05-31,9.103
2023-06-01,8.823
2023-06-02,8.281
2023-06-03,8.281
2023-06-04,8.281
2023-06-05,8.531
2023-06-06,8.137
2023-06-07,7.85
2023-06-08,7.921
2023-06-09,8.004
2023-06-10,8.004
2023-06-11,8.004
2023-06-12,8.04
2023-06-13,7.692
2023-06-14,7.906
2023-06-15,7.746
2023-06-16,7.816
2023-06-17,7.816
2023-06-18,7.816
2023-06-19,7.816
2023-06-20,8.198
2023-06-21,8.276
2023-06-22,8.388
2023-06-23,8.515
2023-06-24,8.515
2023-06-25,8.515
2023-06-26,8.432
2023-06-27,8.378
2023-06-28,8.253
2023-06-29,8.155
2023-06-30,8.353
2023-07-01,8.353
2023-07-02,8.353
2023-07-03,8.233
2023-07-04,8.233
2023-07-05,8.385
2023-07-06,8.569
2023-07-07,8.464
2023-07-08,8.464
2023-07-09,8.464
2023-07-10,8.464
2023-07-11,8.392
2023-07-12,8.175
2023-07-13,7.94
2023-07-14,8.011
2023-07-15,8.011
2023-07-16,8.011
2023-07-17,7.865
2023-07-18,7.61
2023-07-19,7.473
2023-07-20,7.526
2023-07-21,7.569
2023-07-22,7.569
2023-07-23,7.569
2023-07-24,7.311
2023-07-25,7.208
2023-07-26,6.827
2023-07-27,6.968
2023-07-28,6.917
2023-07-29,6.917
2023-07-30,6.917
2023-07-31,6.932
2023-08-01,7.037
2023-08-02,6.946
2023-08-03,6.829
2023-08-04,6.676
2023-08-05,6.676
2023-08-06,6.676
2023-08-07,6.628
2023-08-08,6.715
2023-08-09,6.808
2023-08-10,6.82
2023-08-11,6.808
2023-08-12,6.808
2023-08-13,6.808
2023-08-14,6.951
2023-08-15,7.222
2023-08-16,7.308
2023-08-17,7.341
2023-08-18,7.311
2023-08-19,7.311
2023-08-20,7.311
2023-08-21,7.425
2023-08-22,7.763
2023-08-23,7.708
2023-08-24,7.687
2023-08-25,7.754
2023-08-26,7.754
2023-08-27,7.754
2023-08-28,7.639
2023-08-29,7.618
2023-08-30,7.648
2023-08-31,7.562
2023-09-01,7.338
2023-09-02,7.338
2023-09-03,7.338
2023-09-04,7.338
2023-09-05,7.568
2023-09-06,7.828
2023-09-07,7.917
2023-09-08,7.828
2023-09-09,7.828
2023-09-10,7.828
2023-09-11,7.863
2023-09-12,7.794
2023-09-13,7.837
2023-09-14,7.654
2023-09-15,7.639
2023-09-16,7.639
2023-09-17,7.639
2023-09-18,7.853
