,PPBI US Equity
2020-10-07,1.484
2020-10-08,1.456
2020-10-09,1.45
2020-10-10,1.45
2020-10-11,1.45
2020-10-12,1.425
2020-10-13,1.451
2020-10-14,1.486
2020-10-15,1.455
2020-10-16,1.441
2020-10-17,1.441
2020-10-18,1.441
2020-10-19,1.456
2020-10-20,1.421
2020-10-21,1.416
2020-10-22,1.329
2020-10-23,1.313
2020-10-24,1.313
2020-10-25,1.313
2020-10-26,1.326
2020-10-27,1.391
2020-10-28,1.396
2020-10-29,1.379
2020-10-30,1.371
2020-10-31,1.371
2020-11-01,1.371
2020-11-02,1.619
2020-11-03,1.579
2020-11-04,1.702
2020-11-05,1.612
2020-11-06,1.635
2020-11-07,1.635
2020-11-08,1.635
2020-11-09,1.456
2020-11-10,1.421
2020-11-11,1.472
2020-11-12,1.521
2020-11-13,1.438
2020-11-14,1.438
2020-11-15,1.438
2020-11-16,1.404
2020-11-17,1.413
2020-11-18,1.453
2020-11-19,1.414
2020-11-20,1.405
2020-11-21,1.405
2020-11-22,1.405
2020-11-23,1.379
2020-11-24,1.336
2020-11-25,1.358
2020-11-26,1.358
2020-11-27,1.383
2020-11-28,1.383
2020-11-29,1.383
2020-11-30,1.439
2020-12-01,1.415
2020-12-02,1.391
2020-12-03,1.402
2020-12-04,1.373
2020-12-05,1.373
2020-12-06,1.373
2020-12-07,1.371
2020-12-08,1.386
2020-12-09,1.384
2020-12-10,1.383
2020-12-11,1.388
2020-12-12,1.388
2020-12-13,1.388
2020-12-14,1.39
2020-12-15,1.363
2020-12-16,1.359
2020-12-17,1.365
2020-12-18,1.384
2020-12-19,1.384
2020-12-20,1.384
2020-12-21,1.373
2020-12-22,1.385
2020-12-23,1.338
2020-12-24,1.341
2020-12-25,1.341
2020-12-26,1.341
2020-12-27,1.341
2020-12-28,1.333
2020-12-29,1.355
2020-12-30,1.328
2020-12-31,1.324
2021-01-01,1.324
2021-01-02,1.324
2021-01-03,1.324
2021-01-04,1.333
2021-01-05,1.318
2021-01-06,1.223
2021-01-07,1.212
2021-01-08,1.232
2021-01-09,1.232
2021-01-10,1.232
2021-01-11,1.222
2021-01-12,1.208
2021-01-13,1.218
2021-01-14,1.189
2021-01-15,1.201
2021-01-16,1.201
2021-01-17,1.201
2021-01-18,1.201
2021-01-19,1.176
2021-01-20,1.137
2021-01-21,1.178
2021-01-22,1.146
2021-01-23,1.146
2021-01-24,1.146
2021-01-25,1.173
2021-01-26,1.167
2021-01-27,1.432
2021-01-28,1.434
2021-01-29,1.49
2021-01-30,1.49
2021-01-31,1.49
2021-02-01,1.431
2021-02-02,1.407
2021-02-03,1.385
2021-02-04,1.363
2021-02-05,1.367
2021-02-06,1.367
2021-02-07,1.367
2021-02-08,1.342
2021-02-09,1.317
2021-02-10,1.298
2021-02-11,1.301
2021-02-12,1.288
2021-02-13,1.288
2021-02-14,1.288
2021-02-15,1.288
2021-02-16,1.279
2021-02-17,1.287
2021-02-18,1.302
2021-02-19,1.271
2021-02-20,1.271
2021-02-21,1.271
2021-02-22,1.238
2021-02-23,1.245
2021-02-24,1.191
2021-02-25,1.215
2021-02-26,1.219
2021-02-27,1.219
2021-02-28,1.219
2021-03-01,1.177
2021-03-02,1.207
2021-03-03,1.19
2021-03-04,1.187
2021-03-05,1.173
2021-03-06,1.173
2021-03-07,1.173
2021-03-08,1.141
2021-03-09,1.131
2021-03-10,1.096
2021-03-11,1.07
2021-03-12,1.053
2021-03-13,1.053
2021-03-14,1.053
2021-03-15,1.075
2021-03-16,1.081
2021-03-17,1.085
2021-03-18,1.073
2021-03-19,1.075
2021-03-20,1.075
2021-03-21,1.075
2021-03-22,1.117
2021-03-23,1.162
2021-03-24,1.169
2021-03-25,1.137
2021-03-26,1.097
2021-03-27,1.097
2021-03-28,1.097
2021-03-29,1.142
2021-03-30,1.113
2021-03-31,1.131
2021-04-01,1.129
2021-04-02,1.129
2021-04-03,1.129
2021-04-04,1.129
2021-04-05,1.126
2021-04-06,1.133
2021-04-07,1.171
2021-04-08,1.17
2021-04-09,1.163
2021-04-10,1.163
2021-04-11,1.163
2021-04-12,1.164
2021-04-13,1.195
2021-04-14,1.171
2021-04-15,1.181
2021-04-16,1.17
2021-04-17,1.17
2021-04-18,1.17
2021-04-19,1.179
2021-04-20,1.233
2021-04-21,1.195
2021-04-22,1.207
2021-04-23,1.145
2021-04-24,1.145
2021-04-25,1.145
2021-04-26,1.15
2021-04-27,1.134
2021-04-28,1.122
2021-04-29,1.092
2021-04-30,1.116
2021-05-01,1.116
2021-05-02,1.116
2021-05-03,1.102
2021-05-04,1.084
2021-05-05,1.057
2021-05-06,1.047
2021-05-07,1.051
2021-05-08,1.051
2021-05-09,1.051
2021-05-10,1.073
2021-05-11,1.087
2021-05-12,1.122
2021-05-13,1.074
2021-05-14,1.06
2021-05-15,1.06
2021-05-16,1.06
2021-05-17,1.061
2021-05-18,1.084
2021-05-19,1.085
2021-05-20,1.077
2021-05-21,1.065
2021-05-22,1.065
2021-05-23,1.065
2021-05-24,1.078
2021-05-25,1.111
2021-05-26,1.084
2021-05-27,1.069
2021-05-28,1.061
2021-05-29,1.061
2021-05-30,1.061
2021-05-31,1.061
2021-06-01,1.05
2021-06-02,1.057
2021-06-03,1.061
2021-06-04,1.058
2021-06-05,1.058
2021-06-06,1.058
2021-06-07,1.04
2021-06-08,1.036
2021-06-09,1.049
2021-06-10,1.079
2021-06-11,1.069
2021-06-12,1.069
2021-06-13,1.069
2021-06-14,1.081
2021-06-15,1.071
2021-06-16,1.058
2021-06-17,1.115
2021-06-18,1.153
2021-06-19,1.153
2021-06-20,1.153
2021-06-21,1.109
2021-06-22,1.119
2021-06-23,1.129
2021-06-24,1.108
2021-06-25,1.134
2021-06-26,1.134
2021-06-27,1.134
2021-06-28,1.153
2021-06-29,1.159
2021-06-30,1.153
2021-07-01,1.142
2021-07-02,1.161
2021-07-03,1.161
2021-07-04,1.161
2021-07-05,1.161
2021-07-06,1.2
2021-07-07,1.612
2021-07-08,1.665
2021-07-09,1.599
2021-07-10,1.599
2021-07-11,1.599
2021-07-12,1.589
2021-07-13,1.639
2021-07-14,1.658
2021-07-15,1.637
2021-07-16,1.693
2021-07-17,1.693
2021-07-18,1.693
2021-07-19,1.775
2021-07-20,1.727
2021-07-21,1.684
2021-07-22,1.741
2021-07-23,1.734
2021-07-24,1.734
2021-07-25,1.734
2021-07-26,1.721
2021-07-27,1.716
2021-07-28,1.687
2021-07-29,1.685
2021-07-30,1.643
2021-07-31,1.643
2021-08-01,1.643
2021-08-02,1.656
2021-08-03,1.616
2021-08-04,1.621
2021-08-05,1.603
2021-08-06,1.548
2021-08-07,1.548
2021-08-08,1.548
2021-08-09,1.571
2021-08-10,1.551
2021-08-11,1.505
2021-08-12,1.522
2021-08-13,1.558
2021-08-14,1.558
2021-08-15,1.558
2021-08-16,1.564
2021-08-17,1.579
2021-08-18,1.586
2021-08-19,1.63
2021-08-20,1.578
2021-08-21,1.578
2021-08-22,1.578
2021-08-23,1.557
2021-08-24,1.557
2021-08-25,1.543
2021-08-26,1.566
2021-08-27,1.512
2021-08-28,1.512
2021-08-29,1.512
2021-08-30,1.562
2021-08-31,1.548
2021-09-01,1.556
2021-09-02,1.562
2021-09-03,1.562
2021-09-04,1.562
2021-09-05,1.562
2021-09-06,1.562
2021-09-07,1.562
2021-09-08,1.562
2021-09-09,1.562
2021-09-10,1.562
2021-09-11,1.562
2021-09-12,1.562
2021-09-13,1.562
2021-09-14,1.562
2021-09-15,1.562
2021-09-16,1.562
2021-09-17,1.562
2021-09-18,1.562
2021-09-19,1.562
2021-09-20,1.562
2021-09-21,1.562
2021-09-22,1.562
2021-09-23,1.562
2021-09-24,1.562
2021-09-25,1.562
2021-09-26,1.562
2021-09-27,1.562
2021-09-28,1.562
2021-09-29,1.562
2021-09-30,1.562
2021-10-01,1.562
2021-10-02,1.562
2021-10-03,1.562
2021-10-04,1.562
2021-10-05,1.562
2021-10-06,1.562
2021-10-07,1.562
2021-10-08,1.562
2021-10-09,1.562
2021-10-10,1.562
2021-10-11,1.562
2021-10-12,1.562
2021-10-13,1.562
2021-10-14,1.562
2021-10-15,1.562
2021-10-16,1.562
2021-10-17,1.562
2021-10-18,1.562
2021-10-19,1.562
2021-10-20,1.562
2021-10-21,1.562
2021-10-22,1.562
2021-10-23,1.562
2021-10-24,1.562
2021-10-25,1.562
2021-10-26,1.562
2021-10-27,1.562
2021-10-28,1.562
2021-10-29,1.562
2021-10-30,1.562
2021-10-31,1.562
2021-11-01,1.562
2021-11-02,1.562
2021-11-03,1.562
2021-11-04,1.562
2021-11-05,1.562
2021-11-06,1.562
2021-11-07,1.562
2021-11-08,1.562
2021-11-09,1.562
2021-11-10,1.562
2021-11-11,1.562
2021-11-12,1.562
2021-11-13,1.562
2021-11-14,1.562
2021-11-15,1.562
2021-11-16,1.562
2021-11-17,1.562
2021-11-18,1.562
2021-11-19,1.562
2021-11-20,1.562
2021-11-21,1.562
2021-11-22,1.562
2021-11-23,1.562
2021-11-24,1.562
2021-11-25,1.562
2021-11-26,1.562
2021-11-27,1.562
2021-11-28,1.562
2021-11-29,1.562
2021-11-30,1.562
2021-12-01,1.562
2021-12-02,1.562
2021-12-03,1.562
2021-12-04,1.562
2021-12-05,1.562
2021-12-06,1.562
2021-12-07,1.562
2021-12-08,1.562
2021-12-09,1.562
2021-12-10,1.562
2021-12-11,1.562
2021-12-12,1.562
2021-12-13,1.562
2021-12-14,1.562
2021-12-15,1.562
2021-12-16,1.562
2021-12-17,1.562
2021-12-18,1.562
2021-12-19,1.562
2021-12-20,1.562
2021-12-21,1.562
2021-12-22,1.562
2021-12-23,1.562
2021-12-24,1.562
2021-12-25,1.562
2021-12-26,1.562
2021-12-27,1.562
2021-12-28,1.562
2021-12-29,1.562
2021-12-30,1.562
2021-12-31,1.562
2022-01-01,1.562
2022-01-02,1.562
2022-01-03,1.562
2022-01-04,1.562
2022-01-05,1.562
2022-01-06,1.562
2022-01-07,1.562
2022-01-08,1.562
2022-01-09,1.562
2022-01-10,1.562
2022-01-11,1.562
2022-01-12,1.562
2022-01-13,1.562
2022-01-14,1.562
2022-01-15,1.562
2022-01-16,1.562
2022-01-17,1.562
2022-01-18,1.562
2022-01-19,1.562
2022-01-20,1.562
2022-01-21,1.562
2022-01-22,1.562
2022-01-23,1.562
2022-01-24,1.562
2022-01-25,1.562
2022-01-26,1.562
2022-01-27,1.562
2022-01-28,1.562
2022-01-29,1.562
2022-01-30,1.562
2022-01-31,1.562
2022-02-01,1.562
2022-02-02,1.562
2022-02-03,1.562
2022-02-04,1.562
2022-02-05,1.562
2022-02-06,1.562
2022-02-07,1.562
2022-02-08,1.562
2022-02-09,1.562
2022-02-10,1.562
2022-02-11,1.562
2022-02-12,1.562
2022-02-13,1.562
2022-02-14,1.562
2022-02-15,1.562
2022-02-16,1.562
2022-02-17,1.562
2022-02-18,1.562
2022-02-19,1.562
2022-02-20,1.562
2022-02-21,1.562
2022-02-22,1.562
2022-02-23,1.562
2022-02-24,1.562
2022-02-25,1.562
2022-02-26,1.562
2022-02-27,1.562
2022-02-28,1.562
2022-03-01,1.562
2022-03-02,1.562
2022-03-03,1.562
2022-03-04,1.562
2022-03-05,1.562
2022-03-06,1.562
2022-03-07,1.562
2022-03-08,1.562
2022-03-09,1.562
2022-03-10,1.562
2022-03-11,1.562
2022-03-12,1.562
2022-03-13,1.562
2022-03-14,1.562
2022-03-15,1.562
2022-03-16,1.562
2022-03-17,1.562
2022-03-18,1.562
2022-03-19,1.562
2022-03-20,1.562
2022-03-21,1.562
2022-03-22,1.562
2022-03-23,1.562
2022-03-24,1.562
2022-03-25,1.562
2022-03-26,1.562
2022-03-27,1.562
2022-03-28,1.562
2022-03-29,1.562
2022-03-30,1.562
2022-03-31,1.562
2022-04-01,1.562
2022-04-02,1.562
2022-04-03,1.562
2022-04-04,1.562
2022-04-05,1.562
2022-04-06,1.562
2022-04-07,1.562
2022-04-08,1.562
2022-04-09,1.562
2022-04-10,1.562
2022-04-11,1.562
2022-04-12,1.562
2022-04-13,1.562
2022-04-14,1.562
2022-04-15,1.562
2022-04-16,1.562
2022-04-17,1.562
2022-04-18,1.562
2022-04-19,1.562
2022-04-20,1.562
2022-04-21,1.562
2022-04-22,1.562
2022-04-23,1.562
2022-04-24,1.562
2022-04-25,1.562
2022-04-26,1.562
2022-04-27,1.562
2022-04-28,1.562
2022-04-29,1.562
2022-04-30,1.562
2022-05-01,1.562
2022-05-02,1.562
2022-05-03,1.562
2022-05-04,1.562
2022-05-05,1.562
2022-05-06,1.562
2022-05-07,1.562
2022-05-08,1.562
2022-05-09,1.562
2022-05-10,1.562
2022-05-11,1.562
2022-05-12,1.562
2022-05-13,1.562
2022-05-14,1.562
2022-05-15,1.562
2022-05-16,1.562
2022-05-17,1.562
2022-05-18,1.562
2022-05-19,1.562
2022-05-20,1.562
2022-05-21,1.562
2022-05-22,1.562
2022-05-23,1.562
2022-05-24,1.562
2022-05-25,1.562
2022-05-26,1.562
2022-05-27,1.562
2022-05-28,1.562
2022-05-29,1.562
2022-05-30,1.562
2022-05-31,1.562
2022-06-01,1.562
2022-06-02,1.562
2022-06-03,1.562
2022-06-04,1.562
2022-06-05,1.562
2022-06-06,1.562
2022-06-07,1.562
2022-06-08,1.562
2022-06-09,1.562
2022-06-10,1.562
2022-06-11,1.562
2022-06-12,1.562
2022-06-13,1.562
2022-06-14,1.562
2022-06-15,1.562
2022-06-16,1.562
2022-06-17,1.562
2022-06-18,1.562
2022-06-19,1.562
2022-06-20,1.562
2022-06-21,1.562
2022-06-22,1.562
2022-06-23,1.562
2022-06-24,1.562
2022-06-25,1.562
2022-06-26,1.562
2022-06-27,1.562
2022-06-28,1.562
2022-06-29,1.562
2022-06-30,1.562
2022-07-01,1.562
2022-07-02,1.562
2022-07-03,1.562
2022-07-04,1.562
2022-07-05,1.562
2022-07-06,1.562
2022-07-07,1.562
2022-07-08,1.562
2022-07-09,1.562
2022-07-10,1.562
2022-07-11,1.562
2022-07-12,1.562
2022-07-13,1.562
2022-07-14,1.562
2022-07-15,1.562
2022-07-16,1.562
2022-07-17,1.562
2022-07-18,1.562
2022-07-19,1.562
2022-07-20,1.562
2022-07-21,1.562
2022-07-22,1.562
2022-07-23,1.562
2022-07-24,1.562
2022-07-25,1.562
2022-07-26,1.562
2022-07-27,1.562
2022-07-28,1.562
2022-07-29,1.562
2022-07-30,1.562
2022-07-31,1.562
2022-08-01,1.562
2022-08-02,1.562
2022-08-03,1.562
2022-08-04,1.562
2022-08-05,1.562
2022-08-06,1.562
2022-08-07,1.562
2022-08-08,1.562
2022-08-09,1.562
2022-08-10,1.562
2022-08-11,1.562
2022-08-12,1.562
2022-08-13,1.562
2022-08-14,1.562
2022-08-15,1.562
2022-08-16,1.562
2022-08-17,1.562
2022-08-18,1.562
2022-08-19,1.562
2022-08-20,1.562
2022-08-21,1.562
2022-08-22,1.562
2022-08-23,1.562
2022-08-24,1.562
2022-08-25,1.562
2022-08-26,1.562
2022-08-27,1.562
2022-08-28,1.562
2022-08-29,1.562
2022-08-30,1.562
2022-08-31,1.562
2022-09-01,1.562
2022-09-02,1.562
2022-09-03,1.562
2022-09-04,1.562
2022-09-05,1.562
2022-09-06,1.562
2022-09-07,1.562
2022-09-08,1.562
2022-09-09,1.562
2022-09-10,1.562
2022-09-11,1.562
2022-09-12,1.562
2022-09-13,1.562
2022-09-14,1.562
2022-09-15,1.562
2022-09-16,1.562
2022-09-17,1.562
2022-09-18,1.562
2022-09-19,1.562
2022-09-20,1.562
2022-09-21,1.562
2022-09-22,1.562
2022-09-23,1.562
2022-09-24,1.562
2022-09-25,1.562
2022-09-26,5.352
2022-09-27,5.382
2022-09-28,5.293
2022-09-29,5.275
2022-09-30,5.324
2022-10-01,5.324
2022-10-02,5.324
2022-10-03,5.216
2022-10-04,4.95
2022-10-05,5.031
2022-10-06,5.03
2022-10-07,5.196
2022-10-08,5.196
2022-10-09,5.196
2022-10-10,5.14
2022-10-11,5.092
2022-10-12,5.117
2022-10-13,4.869
2022-10-14,4.9
2022-10-15,4.9
2022-10-16,4.9
2022-10-17,4.746
2022-10-18,4.704
2022-10-19,4.76
2022-10-20,4.833
2022-10-21,4.625
2022-10-22,4.625
2022-10-23,4.625
2022-10-24,4.558
2022-10-25,4.482
2022-10-26,4.409
2022-10-27,4.367
2022-10-28,4.213
2022-10-29,4.213
2022-10-30,4.213
2022-10-31,4.213
2022-11-01,4.231
2022-11-02,4.343
2022-11-03,4.373
2022-11-04,4.201
2022-11-05,4.201
2022-11-06,4.201
2022-11-07,4.202
2022-11-08,4.264
2022-11-09,4.331
2022-11-10,4.155
2022-11-11,4.159
2022-11-12,4.159
2022-11-13,4.159
2022-11-14,4.179
2022-11-15,4.147
2022-11-16,4.254
2022-11-17,4.358
2022-11-18,4.259
2022-11-19,4.259
2022-11-20,4.259
2022-11-21,4.247
2022-11-22,4.194
2022-11-23,4.226
2022-11-24,4.226
2022-11-25,4.155
2022-11-26,4.155
2022-11-27,4.155
2022-11-28,4.257
2022-11-29,4.243
2022-11-30,4.152
2022-12-01,4.198
2022-12-02,4.216
2022-12-03,4.216
2022-12-04,4.216
2022-12-05,4.398
2022-12-06,4.42
2022-12-07,4.419
2022-12-08,4.443
2022-12-09,4.466
2022-12-10,4.466
2022-12-11,4.466
2022-12-12,4.486
2022-12-13,4.511
2022-12-14,4.719
2022-12-15,4.71
2022-12-16,4.883
2022-12-17,4.883
2022-12-18,4.883
2022-12-19,4.85
2022-12-20,4.836
2022-12-21,4.758
2022-12-22,4.881
2022-12-23,4.875
2022-12-24,4.875
2022-12-25,4.875
2022-12-26,4.875
2022-12-27,4.875
2022-12-28,4.946
2022-12-29,4.82
2022-12-30,4.861
2022-12-31,4.861
2023-01-01,4.861
2023-01-02,4.861
2023-01-03,4.922
2023-01-04,4.919
2023-01-05,5.03
2023-01-06,4.89
2023-01-07,4.89
2023-01-08,4.89
2023-01-09,4.89
2023-01-10,4.903
2023-01-11,4.886
2023-01-12,4.829
2023-01-13,4.824
2023-01-14,4.824
2023-01-15,4.824
2023-01-16,4.824
2023-01-17,4.883
2023-01-18,5.053
2023-01-19,5.126
2023-01-20,5.023
2023-01-21,5.023
2023-01-22,5.023
2023-01-23,5.002
2023-01-24,5.066
2023-01-25,5.066
2023-01-26,5.015
2023-01-27,4.876
2023-01-28,4.876
2023-01-29,4.876
2023-01-30,4.892
2023-01-31,4.677
2023-02-01,4.49
2023-02-02,4.305
2023-02-03,4.244
2023-02-04,4.244
2023-02-05,4.244
2023-02-06,4.333
2023-02-07,4.277
2023-02-08,4.348
2023-02-09,4.424
2023-02-10,4.486
2023-02-11,4.486
2023-02-12,4.486
2023-02-13,4.42
2023-02-14,4.439
2023-02-15,4.368
2023-02-16,4.462
2023-02-17,4.445
2023-02-18,4.445
2023-02-19,4.445
2023-02-20,4.445
2023-02-21,4.596
2023-02-22,4.65
2023-02-23,4.573
2023-02-24,4.546
2023-02-25,4.546
2023-02-26,4.546
2023-02-27,4.599
2023-02-28,4.62
2023-03-01,4.652
2023-03-02,4.734
2023-03-03,4.646
2023-03-04,4.646
2023-03-05,4.646
2023-03-06,4.776
2023-03-07,4.925
2023-03-08,4.904
2023-03-09,5.302
2023-03-10,5.407
2023-03-11,5.407
2023-03-12,5.407
2023-03-13,5.897
2023-03-14,5.918
2023-03-15,6.013
2023-03-16,5.797
2023-03-17,6.042
2023-03-18,6.042
2023-03-19,6.042
2023-03-20,5.977
2023-03-21,5.719
2023-03-22,6.049
2023-03-23,6.352
2023-03-24,6.062
2023-03-25,6.062
2023-03-26,6.062
2023-03-27,6.094
2023-03-28,6.111
2023-03-29,6.111
2023-03-30,6.291
2023-03-31,6.236
2023-04-01,6.236
2023-04-02,6.236
2023-04-03,6.203
2023-04-04,6.409
2023-04-05,6.426
2023-04-06,6.356
2023-04-07,6.356
2023-04-08,6.356
2023-04-09,6.356
2023-04-10,6.256
2023-04-11,6.342
2023-04-12,6.522
2023-04-13,6.451
2023-04-14,6.54
2023-04-15,6.54
2023-04-16,6.54
2023-04-17,6.329
2023-04-18,6.593
2023-04-19,6.359
2023-04-20,6.485
2023-04-21,6.581
2023-04-22,6.581
2023-04-23,6.581
2023-04-24,6.701
2023-04-25,7.085
2023-04-26,6.997
2023-04-27,6.602
2023-04-28,6.61
2023-04-29,6.61
2023-04-30,6.61
2023-05-01,6.791
2023-05-02,7.574
2023-05-03,7.709
2023-05-04,7.999
2023-05-05,7.551
2023-05-06,7.551
2023-05-07,7.551
2023-05-08,7.889
2023-05-09,7.968
2023-05-10,7.968
2023-05-11,7.994
2023-05-12,8.07
2023-05-13,8.07
2023-05-14,8.07
2023-05-15,7.721
2023-05-16,7.928
2023-05-17,7.325
2023-05-18,7.273
2023-05-19,7.512
2023-05-20,7.512
2023-05-21,7.512
2023-05-22,7.259
2023-05-23,7.158
2023-05-24,7.303
2023-05-25,7.393
2023-05-26,7.31
2023-05-27,7.31
2023-05-28,7.31
2023-05-29,7.31
2023-05-30,7.404
2023-05-31,7.667
2023-06-01,7.504
2023-06-02,6.905
2023-06-03,6.905
2023-06-04,6.905
2023-06-05,7.186
2023-06-06,6.82
2023-06-07,6.498
2023-06-08,6.663
2023-06-09,6.693
2023-06-10,6.693
2023-06-11,6.693
2023-06-12,6.731
2023-06-13,6.536
2023-06-14,6.728
2023-06-15,6.554
2023-06-16,6.663
2023-06-17,6.663
2023-06-18,6.663
2023-06-19,6.663
2023-06-20,6.737
2023-06-21,6.921
2023-06-22,7.088
2023-06-23,7.219
2023-06-24,7.219
2023-06-25,7.219
2023-06-26,7.057
2023-06-27,6.898
2023-06-28,6.948
2023-06-29,6.878
2023-06-30,6.981
2023-07-01,6.981
2023-07-02,6.981
2023-07-03,6.826
2023-07-04,6.826
2023-07-05,6.905
2023-07-06,7.05
2023-07-07,6.849
2023-07-08,6.849
2023-07-09,6.849
2023-07-10,6.807
2023-07-11,6.836
2023-07-12,6.687
2023-07-13,6.533
2023-07-14,6.647
2023-07-15,6.647
2023-07-16,6.647
2023-07-17,6.454
2023-07-18,6.258
2023-07-19,5.996
2023-07-20,6.079
2023-07-21,6.123
2023-07-22,6.123
2023-07-23,6.123
2023-07-24,5.934
2023-07-25,6.031
2023-07-26,5.732
2023-07-27,5.662
2023-07-28,5.659
2023-07-29,5.659
2023-07-30,5.659
2023-07-31,5.571
2023-08-01,5.622
2023-08-02,5.673
2023-08-03,5.602
2023-08-04,5.571
2023-08-05,5.571
2023-08-06,5.571
2023-08-07,5.448
2023-08-08,5.516
2023-08-09,5.6
2023-08-10,5.582
2023-08-11,5.604
2023-08-12,5.604
2023-08-13,5.604
2023-08-14,5.779
2023-08-15,5.941
2023-08-16,5.999
2023-08-17,6.043
2023-08-18,6.064
