,WHD US Equity
2020-10-08,1.791
2020-10-09,1.832
2020-10-10,1.832
2020-10-11,1.832
2020-10-12,1.839
2020-10-13,1.929
2020-10-14,1.906
2020-10-15,1.968
2020-10-16,2.012
2020-10-17,2.012
2020-10-18,2.012
2020-10-19,2.046
2020-10-20,2.012
2020-10-21,2.025
2020-10-22,2.008
2020-10-23,1.996
2020-10-24,1.996
2020-10-25,1.996
2020-10-26,2.106
2020-10-27,2.122
2020-10-28,2.229
2020-10-29,2.188
2020-10-30,2.188
2020-10-31,2.188
2020-11-01,2.188
2020-11-02,2.188
2020-11-03,2.188
2020-11-04,2.188
2020-11-05,2.188
2020-11-06,2.188
2020-11-07,2.188
2020-11-08,2.188
2020-11-09,2.188
2020-11-10,2.188
2020-11-11,2.188
2020-11-12,2.188
2020-11-13,2.188
2020-11-14,2.188
2020-11-15,2.188
2020-11-16,2.188
2020-11-17,2.188
2020-11-18,2.188
2020-11-19,2.188
2020-11-20,2.188
2020-11-21,2.188
2020-11-22,2.188
2020-11-23,2.188
2020-11-24,2.188
2020-11-25,2.188
2020-11-26,2.188
2020-11-27,2.188
2020-11-28,2.188
2020-11-29,2.188
2020-11-30,2.188
2020-12-01,2.188
2020-12-02,2.188
2020-12-03,2.188
2020-12-04,2.188
2020-12-05,2.188
2020-12-06,2.188
2020-12-07,2.188
2020-12-08,2.188
2020-12-09,2.188
2020-12-10,2.188
2020-12-11,2.188
2020-12-12,2.188
2020-12-13,2.188
2020-12-14,2.188
2020-12-15,2.188
2020-12-16,2.188
2020-12-17,2.188
2020-12-18,2.188
2020-12-19,2.188
2020-12-20,2.188
2020-12-21,2.188
2020-12-22,2.188
2020-12-23,2.188
2020-12-24,2.188
2020-12-25,2.188
2020-12-26,2.188
2020-12-27,2.188
2020-12-28,2.188
2020-12-29,2.188
2020-12-30,2.188
2020-12-31,2.188
2021-01-01,2.188
2021-01-02,2.188
2021-01-03,2.188
2021-01-04,2.188
2021-01-05,2.188
2021-01-06,2.188
2021-01-07,2.188
2021-01-08,2.188
2021-01-09,2.188
2021-01-10,2.188
2021-01-11,2.188
2021-01-12,2.188
2021-01-13,2.188
2021-01-14,2.188
2021-01-15,2.188
2021-01-16,2.188
2021-01-17,2.188
2021-01-18,2.188
2021-01-19,2.188
2021-01-20,2.188
2021-01-21,2.188
2021-01-22,2.188
2021-01-23,2.188
2021-01-24,2.188
2021-01-25,2.188
2021-01-26,2.188
2021-01-27,2.188
2021-01-28,2.188
2021-01-29,2.188
2021-01-30,2.188
2021-01-31,2.188
2021-02-01,2.188
2021-02-02,2.188
2021-02-03,2.188
2021-02-04,2.188
2021-02-05,2.188
2021-02-06,2.188
2021-02-07,2.188
2021-02-08,2.188
2021-02-09,2.188
2021-02-10,2.188
2021-02-11,2.188
2021-02-12,2.188
2021-02-13,2.188
2021-02-14,2.188
2021-02-15,2.188
2021-02-16,2.188
2021-02-17,2.188
2021-02-18,2.188
2021-02-19,2.188
2021-02-20,2.188
2021-02-21,2.188
2021-02-22,2.188
2021-02-23,2.188
2021-02-24,2.188
2021-02-25,2.188
2021-02-26,2.188
2021-02-27,2.188
2021-02-28,2.188
2021-03-01,2.188
2021-03-02,2.188
2021-03-03,2.188
2021-03-04,2.188
2021-03-05,2.188
2021-03-06,2.188
2021-03-07,2.188
2021-03-08,2.188
2021-03-09,2.188
2021-03-10,2.188
2021-03-11,2.188
2021-03-12,2.188
2021-03-13,2.188
2021-03-14,2.188
2021-03-15,2.188
2021-03-16,2.188
2021-03-17,2.188
2021-03-18,2.188
2021-03-19,2.188
2021-03-20,2.188
2021-03-21,2.188
2021-03-22,2.188
2021-03-23,2.188
2021-03-24,2.188
2021-03-25,2.188
2021-03-26,2.188
2021-03-27,2.188
2021-03-28,2.188
2021-03-29,2.188
2021-03-30,2.188
2021-03-31,2.188
2021-04-01,2.188
2021-04-02,2.188
2021-04-03,2.188
2021-04-04,2.188
2021-04-05,2.188
2021-04-06,2.188
2021-04-07,2.188
2021-04-08,2.188
2021-04-09,2.188
2021-04-10,2.188
2021-04-11,2.188
2021-04-12,2.188
2021-04-13,2.188
2021-04-14,2.188
2021-04-15,2.188
2021-04-16,2.188
2021-04-17,2.188
2021-04-18,2.188
2021-04-19,2.188
2021-04-20,2.188
2021-04-21,2.188
2021-04-22,2.188
2021-04-23,2.188
2021-04-24,2.188
2021-04-25,2.188
2021-04-26,2.188
2021-04-27,2.188
2021-04-28,2.188
2021-04-29,2.188
2021-04-30,2.188
2021-05-01,2.188
2021-05-02,2.188
2021-05-03,1.184
2021-05-04,1.159
2021-05-05,1.114
2021-05-06,1.09
2021-05-07,1.031
2021-05-08,1.031
2021-05-09,1.031
2021-05-10,1.078
2021-05-11,1.087
2021-05-12,1.068
2021-05-13,1.085
2021-05-14,1.051
2021-05-15,1.051
2021-05-16,1.051
2021-05-17,1.037
2021-05-18,1.069
2021-05-19,1.095
2021-05-20,1.085
2021-05-21,1.076
2021-05-22,1.076
2021-05-23,1.076
2021-05-24,1.068
2021-05-25,1.083
2021-05-26,1.08
2021-05-27,1.068
2021-05-28,1.056
2021-05-29,1.056
2021-05-30,1.056
2021-05-31,1.056
2021-06-01,1.007
2021-06-02,0.943
2021-06-03,0.919
2021-06-04,0.91
2021-06-05,0.91
2021-06-06,0.91
2021-06-07,0.909
2021-06-08,0.9
2021-06-09,0.915
2021-06-10,0.905
2021-06-11,0.902
2021-06-12,0.902
2021-06-13,0.902
2021-06-14,0.907
2021-06-15,0.862
2021-06-16,0.846
2021-06-17,0.915
2021-06-18,0.962
2021-06-19,0.962
2021-06-20,0.962
2021-06-21,0.915
2021-06-22,0.941
2021-06-23,0.957
2021-06-24,0.962
2021-06-25,0.96
2021-06-26,0.96
2021-06-27,0.96
2021-06-28,1.021
2021-06-29,1.017
2021-06-30,1.008
2021-07-01,0.943
2021-07-02,0.946
2021-07-03,0.946
2021-07-04,0.946
2021-07-05,0.946
2021-07-06,1.001
2021-07-07,0.997
2021-07-08,0.987
2021-07-09,0.959
2021-07-10,0.959
2021-07-11,0.959
2021-07-12,0.951
2021-07-13,0.945
2021-07-14,0.981
2021-07-15,1.018
2021-07-16,1.031
2021-07-17,1.031
2021-07-18,1.031
2021-07-19,1.081
2021-07-20,1.045
2021-07-21,0.994
2021-07-22,1.004
2021-07-23,1.01
2021-07-24,1.01
2021-07-25,1.01
2021-07-26,1.004
2021-07-27,1.004
2021-07-28,1.016
2021-07-29,0.987
2021-07-30,1.027
2021-07-31,1.027
2021-08-01,1.027
2021-08-02,1.005
2021-08-03,1.03
2021-08-04,1.084
2021-08-05,1.084
2021-08-06,1.071
2021-08-07,1.071
2021-08-08,1.071
2021-08-09,1.071
2021-08-10,1.033
2021-08-11,1.009
2021-08-12,1.04
2021-08-13,1.059
2021-08-14,1.059
2021-08-15,1.059
2021-08-16,1.084
2021-08-17,1.101
2021-08-18,1.119
2021-08-19,1.145
2021-08-20,1.142
2021-08-21,1.142
2021-08-22,1.142
2021-08-23,1.088
2021-08-24,1.047
2021-08-25,1.02
2021-08-26,1.008
2021-08-27,0.95
2021-08-28,0.95
2021-08-29,0.95
2021-08-30,0.972
2021-08-31,0.984
2021-09-01,0.977
2021-09-02,0.976
2021-09-03,1.011
2021-09-04,1.011
2021-09-05,1.011
2021-09-06,1.011
2021-09-07,1.022
2021-09-08,1.049
2021-09-09,1.048
2021-09-10,1.039
2021-09-11,1.039
2021-09-12,1.039
2021-09-13,1.017
2021-09-14,1.052
2021-09-15,1.001
2021-09-16,1.036
2021-09-17,1.065
2021-09-18,1.065
2021-09-19,1.065
2021-09-20,1.099
2021-09-21,1.106
2021-09-22,1.102
2021-09-23,1.05
2021-09-24,1.056
2021-09-25,1.056
2021-09-26,1.056
2021-09-27,0.987
2021-09-28,0.981
2021-09-29,1.002
2021-09-30,0.978
2021-10-01,0.941
2021-10-02,0.941
2021-10-03,0.941
2021-10-04,0.903
2021-10-05,0.908
2021-10-06,0.938
2021-10-07,0.908
2021-10-08,0.878
2021-10-09,0.878
2021-10-10,0.878
2021-10-11,0.883
2021-10-12,0.874
2021-10-13,0.874
2021-10-14,0.877
2021-10-15,0.878
2021-10-16,0.878
2021-10-17,0.878
2021-10-18,0.838
2021-10-19,0.83
2021-10-20,0.82
2021-10-21,0.822
2021-10-22,0.824
2021-10-23,0.824
2021-10-24,0.824
2021-10-25,0.802
2021-10-26,0.81
2021-10-27,0.847
2021-10-28,0.834
2021-10-29,0.848
2021-10-30,0.848
2021-10-31,0.848
2021-11-01,0.831
2021-11-02,0.836
2021-11-03,0.849
2021-11-04,0.874
2021-11-05,0.89
2021-11-06,0.89
2021-11-07,0.89
2021-11-08,0.866
2021-11-09,0.846
2021-11-10,0.884
2021-11-11,0.877
2021-11-12,0.885
2021-11-13,0.885
2021-11-14,0.885
2021-11-15,0.893
2021-11-16,0.891
2021-11-17,0.925
2021-11-18,0.945
2021-11-19,0.976
2021-11-20,0.976
2021-11-21,0.976
2021-11-22,0.98
2021-11-23,0.945
2021-11-24,0.958
2021-11-25,0.958
2021-11-26,1.012
2021-11-27,1.012
2021-11-28,1.012
2021-11-29,0.989
2021-11-30,1.009
2021-12-01,1.037
2021-12-02,1.005
2021-12-03,1.04
2021-12-04,1.04
2021-12-05,1.04
2021-12-06,0.974
2021-12-07,0.962
2021-12-08,0.958
2021-12-09,0.964
2021-12-10,0.929
2021-12-11,0.929
2021-12-12,0.929
2021-12-13,0.963
2021-12-14,0.998
2021-12-15,0.999
2021-12-16,0.999
2021-12-17,1.0
2021-12-18,1.0
2021-12-19,1.0
2021-12-20,1.029
2021-12-21,1.004
2021-12-22,0.976
2021-12-23,0.986
2021-12-24,0.986
2021-12-25,0.986
2021-12-26,0.986
2021-12-27,0.962
2021-12-28,0.971
2021-12-29,0.976
2021-12-30,0.966
2021-12-31,0.965
2022-01-01,0.965
2022-01-02,0.965
2022-01-03,0.901
2022-01-04,0.873
2022-01-05,0.885
2022-01-06,0.862
2022-01-07,0.862
2022-01-08,0.862
2022-01-09,0.862
2022-01-10,0.876
2022-01-11,0.828
2022-01-12,0.837
2022-01-13,0.84
2022-01-14,0.801
2022-01-15,0.801
2022-01-16,0.801
2022-01-17,0.801
2022-01-18,0.809
2022-01-19,0.809
2022-01-20,0.796
2022-01-21,0.811
2022-01-22,0.811
2022-01-23,0.811
2022-01-24,0.799
2022-01-25,0.765
2022-01-26,0.748
2022-01-27,0.755
2022-01-28,0.755
2022-01-29,0.755
2022-01-30,0.755
2022-01-31,0.76
2022-02-01,0.74
2022-02-02,0.768
2022-02-03,0.782
2022-02-04,0.744
2022-02-05,0.744
2022-02-06,0.744
2022-02-07,0.747
2022-02-08,0.764
2022-02-09,0.751
2022-02-10,0.757
2022-02-11,0.744
2022-02-12,0.744
2022-02-13,0.744
2022-02-14,0.754
2022-02-15,0.734
2022-02-16,0.746
2022-02-17,0.742
2022-02-18,0.77
2022-02-19,0.77
2022-02-20,0.77
2022-02-21,0.77
2022-02-22,0.769
2022-02-23,0.774
2022-02-24,0.773
2022-02-25,0.748
2022-02-26,0.748
2022-02-27,0.748
2022-02-28,0.725
2022-03-01,0.921
2022-03-02,0.837
2022-03-03,0.862
2022-03-04,0.82
2022-03-05,0.82
2022-03-06,0.82
2022-03-07,0.744
2022-03-08,0.74
2022-03-09,0.806
2022-03-10,0.753
2022-03-11,0.806
2022-03-12,0.806
2022-03-13,0.806
2022-03-14,0.887
2022-03-15,0.921
2022-03-16,0.94
2022-03-17,0.885
2022-03-18,0.881
2022-03-19,0.881
2022-03-20,0.881
2022-03-21,0.848
2022-03-22,0.821
2022-03-23,0.821
2022-03-24,0.83
2022-03-25,0.795
2022-03-26,0.795
2022-03-27,0.795
2022-03-28,0.829
2022-03-29,0.812
2022-03-30,0.815
2022-03-31,0.791
2022-04-01,0.784
2022-04-02,0.784
2022-04-03,0.784
2022-04-04,0.787
2022-04-05,0.756
2022-04-06,0.766
2022-04-07,0.753
2022-04-08,0.728
2022-04-09,0.728
2022-04-10,0.728
2022-04-11,0.767
2022-04-12,0.734
2022-04-13,0.72
2022-04-14,0.699
2022-04-15,0.699
2022-04-16,0.699
2022-04-17,0.699
2022-04-18,0.683
2022-04-19,0.689
2022-04-20,0.681
2022-04-21,0.723
2022-04-22,0.751
2022-04-23,0.751
2022-04-24,0.751
2022-04-25,0.826
2022-04-26,0.828
2022-04-27,0.821
2022-04-28,0.8
2022-04-29,0.844
2022-04-30,0.844
2022-05-01,0.844
2022-05-02,0.848
2022-05-03,0.83
2022-05-04,0.796
2022-05-05,0.862
2022-05-06,0.86
2022-05-07,0.86
2022-05-08,0.86
2022-05-09,0.943
2022-05-10,0.941
2022-05-11,0.92
2022-05-12,0.925
2022-05-13,0.888
2022-05-14,0.888
2022-05-15,0.888
2022-05-16,0.864
2022-05-17,0.864
2022-05-18,0.895
2022-05-19,0.881
2022-05-20,0.873
2022-05-21,0.873
2022-05-22,0.873
2022-05-23,0.842
2022-05-24,0.843
2022-05-25,0.82
2022-05-26,0.794
2022-05-27,0.788
2022-05-28,0.788
2022-05-29,0.788
2022-05-30,0.788
2022-05-31,0.802
2022-06-01,0.785
2022-06-02,0.798
2022-06-03,0.791
2022-06-04,0.791
2022-06-05,0.791
2022-06-06,0.772
2022-06-07,0.75
2022-06-08,0.772
2022-06-09,0.801
2022-06-10,0.84
2022-06-11,0.84
2022-06-12,0.84
2022-06-13,0.905
2022-06-14,0.941
2022-06-15,0.947
2022-06-16,0.988
2022-06-17,1.076
2022-06-18,1.076
2022-06-19,1.076
2022-06-20,1.076
2022-06-21,1.062
2022-06-22,1.142
2022-06-23,1.127
2022-06-24,1.075
2022-06-25,1.075
2022-06-26,1.075
2022-06-27,1.02
2022-06-28,1.0
2022-06-29,1.005
2022-06-30,1.044
2022-07-01,1.056
2022-07-02,1.056
2022-07-03,1.056
2022-07-04,1.056
2022-07-05,1.089
2022-07-06,1.111
2022-07-07,1.058
2022-07-08,1.065
2022-07-09,1.065
2022-07-10,1.065
2022-07-11,1.08
2022-07-12,1.154
2022-07-13,1.144
2022-07-14,1.178
2022-07-15,1.189
2022-07-16,1.189
2022-07-17,1.189
2022-07-18,1.135
2022-07-19,1.1
2022-07-20,1.137
2022-07-21,1.182
2022-07-22,1.171
2022-07-23,1.171
2022-07-24,1.171
2022-07-25,1.106
2022-07-26,1.113
2022-07-27,1.04
2022-07-28,1.053
2022-07-29,1.011
2022-07-30,1.011
2022-07-31,1.011
2022-08-01,1.036
2022-08-02,1.032
2022-08-03,1.06
2022-08-04,1.105
2022-08-05,1.064
2022-08-06,1.064
2022-08-07,1.064
2022-08-08,1.061
2022-08-09,1.04
2022-08-10,1.043
2022-08-11,1.0
2022-08-12,0.965
2022-08-13,0.965
2022-08-14,0.965
2022-08-15,1.014
2022-08-16,1.043
2022-08-17,1.045
2022-08-18,1.007
2022-08-19,1.032
2022-08-20,1.032
2022-08-21,1.032
2022-08-22,1.04
2022-08-23,0.979
2022-08-24,0.954
2022-08-25,0.931
2022-08-26,0.963
2022-08-27,0.963
2022-08-28,0.963
2022-08-29,0.938
2022-08-30,1.0
2022-08-31,1.05
2022-09-01,1.045
2022-09-02,0.997
2022-09-03,0.997
2022-09-04,0.997
2022-09-05,0.997
2022-09-06,1.01
2022-09-07,1.012
2022-09-08,0.998
2022-09-09,0.945
2022-09-10,0.945
2022-09-11,0.945
2022-09-12,0.946
2022-09-13,0.986
2022-09-14,0.929
2022-09-15,0.975
2022-09-16,1.008
2022-09-17,1.008
2022-09-18,1.008
2022-09-19,1.01
2022-09-20,1.037
2022-09-21,1.057
2022-09-22,1.088
2022-09-23,1.165
2022-09-24,1.165
2022-09-25,1.165
2022-09-26,1.202
2022-09-27,1.153
2022-09-28,1.066
2022-09-29,1.045
2022-09-30,1.091
2022-10-01,1.091
2022-10-02,1.091
2022-10-03,1.014
2022-10-04,0.985
2022-10-05,0.921
2022-10-06,0.953
2022-10-07,0.977
2022-10-08,0.977
2022-10-09,0.977
2022-10-10,1.012
2022-10-11,1.026
2022-10-12,1.024
2022-10-13,0.951
2022-10-14,0.981
2022-10-15,0.981
2022-10-16,0.981
2022-10-17,0.961
2022-10-18,0.929
2022-10-19,0.898
2022-10-20,0.868
2022-10-21,0.845
2022-10-22,0.845
2022-10-23,0.845
2022-10-24,0.834
2022-10-25,0.83
2022-10-26,0.816
2022-10-27,0.812
2022-10-28,0.821
2022-10-29,0.821
2022-10-30,0.821
2022-10-31,0.811
2022-11-01,0.822
2022-11-02,0.832
2022-11-03,0.813
2022-11-04,0.79
2022-11-05,0.79
2022-11-06,0.79
2022-11-07,0.757
2022-11-08,0.739
2022-11-09,0.793
2022-11-10,0.756
2022-11-11,0.783
2022-11-12,0.783
2022-11-13,0.783
2022-11-14,0.805
2022-11-15,0.793
2022-11-16,0.811
2022-11-17,0.805
2022-11-18,0.81
2022-11-19,0.81
2022-11-20,0.81
2022-11-21,0.825
2022-11-22,0.81
2022-11-23,0.832
2022-11-24,0.832
2022-11-25,0.843
2022-11-26,0.843
2022-11-27,0.843
2022-11-28,0.877
2022-11-29,0.849
2022-11-30,0.82
2022-12-01,0.827
2022-12-02,0.815
2022-12-03,0.815
2022-12-04,0.815
2022-12-05,0.851
2022-12-06,0.875
2022-12-07,0.882
2022-12-08,0.888
2022-12-09,0.941
2022-12-10,0.941
2022-12-11,0.941
2022-12-12,0.901
2022-12-13,0.853
2022-12-14,0.867
2022-12-15,0.89
2022-12-16,0.908
2022-12-17,0.908
2022-12-18,0.908
2022-12-19,0.922
2022-12-20,0.904
2022-12-21,0.897
2022-12-22,0.916
2022-12-23,0.891
2022-12-24,0.891
2022-12-25,0.891
2022-12-26,0.891
2022-12-27,0.886
2022-12-28,0.923
2022-12-29,0.89
2022-12-30,0.887
2022-12-31,0.887
2023-01-01,0.887
2023-01-02,0.887
2023-01-03,0.898
2023-01-04,0.87
2023-01-05,0.87
2023-01-06,0.817
2023-01-07,0.817
2023-01-08,0.817
2023-01-09,0.807
2023-01-10,0.784
2023-01-11,0.818
2023-01-12,0.813
2023-01-13,0.802
2023-01-14,0.802
2023-01-15,0.802
2023-01-16,0.802
2023-01-17,0.804
2023-01-18,0.845
2023-01-19,0.854
2023-01-20,0.841
2023-01-21,0.841
2023-01-22,0.841
2023-01-23,0.845
2023-01-24,0.857
2023-01-25,0.84
2023-01-26,0.842
2023-01-27,0.863
2023-01-28,0.863
2023-01-29,0.863
2023-01-30,0.857
2023-01-31,0.824
2023-02-01,0.829
2023-02-02,0.852
2023-02-03,0.839
2023-02-04,0.839
2023-02-05,0.839
2023-02-06,0.848
2023-02-07,0.842
2023-02-08,0.834
2023-02-09,0.884
2023-02-10,0.834
2023-02-11,0.834
2023-02-12,0.834
2023-02-13,0.832
2023-02-14,0.815
2023-02-15,0.845
2023-02-16,0.84
2023-02-17,0.89
2023-02-18,0.89
2023-02-19,0.89
2023-02-20,0.89
2023-02-21,0.923
2023-02-22,0.944
2023-02-23,0.943
2023-02-24,0.939
2023-02-25,0.939
2023-02-26,0.939
2023-02-27,0.925
2023-02-28,0.968
2023-03-01,0.952
2023-03-02,0.91
2023-03-03,0.918
2023-03-04,0.918
2023-03-05,0.918
2023-03-06,0.933
2023-03-07,0.947
2023-03-08,0.951
2023-03-09,1.009
2023-03-10,1.045
2023-03-11,1.045
2023-03-12,1.045
2023-03-13,1.103
2023-03-14,1.101
2023-03-15,1.177
2023-03-16,1.159
2023-03-17,1.208
2023-03-18,1.208
2023-03-19,1.208
2023-03-20,1.187
2023-03-21,1.154
2023-03-22,1.187
2023-03-23,1.184
2023-03-24,1.181
2023-03-25,1.181
2023-03-26,1.181
2023-03-27,1.123
2023-03-28,1.084
2023-03-29,1.084
2023-03-30,1.102
2023-03-31,1.079
2023-04-01,1.079
2023-04-02,1.079
2023-04-03,1.027
2023-04-04,1.053
2023-04-05,1.058
2023-04-06,1.074
2023-04-07,1.074
2023-04-08,1.074
2023-04-09,1.074
2023-04-10,1.059
2023-04-11,1.035
2023-04-12,1.033
2023-04-13,1.045
2023-04-14,1.036
2023-04-15,1.036
2023-04-16,1.036
2023-04-17,1.053
2023-04-18,1.043
2023-04-19,1.028
2023-04-20,1.04
2023-04-21,1.059
2023-04-22,1.059
2023-04-23,1.059
2023-04-24,1.033
2023-04-25,1.082
2023-04-26,1.109
2023-04-27,1.122
2023-04-28,1.099
2023-04-29,1.099
2023-04-30,1.099
2023-05-01,1.095
2023-05-02,1.167
2023-05-03,1.188
2023-05-04,1.191
2023-05-05,1.149
2023-05-06,1.149
2023-05-07,1.149
2023-05-08,1.162
2023-05-09,1.19
2023-05-10,1.227
2023-05-11,1.279
2023-05-12,1.298
2023-05-13,1.298
2023-05-14,1.298
2023-05-15,1.267
2023-05-16,1.301
2023-05-17,1.252
2023-05-18,1.267
2023-05-19,1.277
2023-05-20,1.277
2023-05-21,1.277
2023-05-22,1.271
2023-05-23,1.267
2023-05-24,1.277
2023-05-25,1.319
2023-05-26,1.339
2023-05-27,1.339
2023-05-28,1.339
2023-05-29,1.339
2023-05-30,1.384
2023-05-31,1.43
2023-06-01,1.376
2023-06-02,1.284
2023-06-03,1.284
2023-06-04,1.284
2023-06-05,1.318
2023-06-06,1.282
2023-06-07,1.203
2023-06-08,1.112
2023-06-09,1.125
2023-06-10,1.125
2023-06-11,1.125
2023-06-12,1.129
2023-06-13,1.121
2023-06-14,1.131
2023-06-15,1.111
2023-06-16,1.109
2023-06-17,1.109
2023-06-18,1.109
2023-06-19,1.109
2023-06-20,1.118
2023-06-21,1.114
2023-06-22,1.141
2023-06-23,1.165
2023-06-24,1.165
2023-06-25,1.165
2023-06-26,1.115
2023-06-27,1.108
2023-06-28,1.104
2023-06-29,1.063
2023-06-30,1.067
2023-07-01,1.067
2023-07-02,1.067
2023-07-03,1.052
2023-07-04,1.052
2023-07-05,1.058
2023-07-06,1.064
2023-07-07,1.023
2023-07-08,1.023
2023-07-09,1.023
2023-07-10,1.027
2023-07-11,0.984
2023-07-12,0.968
2023-07-13,0.95
2023-07-14,0.971
2023-07-15,0.971
2023-07-16,0.971
2023-07-17,0.952
2023-07-18,0.941
2023-07-19,0.942
2023-07-20,0.94
2023-07-21,0.941
2023-07-22,0.941
2023-07-23,0.941
2023-07-24,0.917
2023-07-25,0.908
2023-07-26,0.905
2023-07-27,0.919
2023-07-28,0.912
2023-07-29,0.912
2023-07-30,0.912
2023-07-31,0.889
2023-08-01,0.886
2023-08-02,0.892
2023-08-03,0.873
2023-08-04,0.876
2023-08-05,0.876
2023-08-06,0.876
2023-08-07,0.89
2023-08-08,0.873
2023-08-09,0.889
2023-08-10,0.885
2023-08-11,0.892
2023-08-12,0.892
2023-08-13,0.892
2023-08-14,0.902
2023-08-15,0.916
2023-08-16,0.937
2023-08-17,0.946
2023-08-18,0.951
2023-08-19,0.951
