,UPBD US Equity
2020-10-22,5.821
2020-10-23,5.739
2020-10-24,5.739
2020-10-25,5.739
2020-10-26,5.969
2020-10-27,5.814
2020-10-28,5.875
2020-10-29,5.787
2020-10-30,6.085
2020-10-31,6.085
2020-11-01,6.085
2020-11-02,6.146
2020-11-03,6.001
2020-11-04,6.024
2020-11-05,6.09
2020-11-06,6.132
2020-11-07,6.132
2020-11-08,6.132
2020-11-09,6.166
2020-11-10,6.17
2020-11-11,5.883
2020-11-12,5.857
2020-11-13,5.694
2020-11-14,5.694
2020-11-15,5.694
2020-11-16,5.417
2020-11-17,5.517
2020-11-18,5.481
2020-11-19,5.486
2020-11-20,5.538
2020-11-21,5.538
2020-11-22,5.538
2020-11-23,5.314
2020-11-24,5.165
2020-11-25,5.271
2020-11-26,5.271
2020-11-27,5.29
2020-11-28,5.29
2020-11-29,5.29
2020-11-30,5.559
2020-12-01,5.432
2020-12-02,5.456
2020-12-03,5.375
2020-12-04,5.275
2020-12-05,5.275
2020-12-06,5.275
2020-12-07,5.25
2020-12-08,5.461
2020-12-09,5.387
2020-12-10,5.381
2020-12-11,5.507
2020-12-12,5.507
2020-12-13,5.507
2020-12-14,5.493
2020-12-15,5.4
2020-12-16,5.346
2020-12-17,5.263
2020-12-18,5.29
2020-12-19,5.29
2020-12-20,5.29
2020-12-21,4.748
2020-12-22,4.694
2020-12-23,4.858
2020-12-24,4.882
2020-12-25,4.882
2020-12-26,4.882
2020-12-27,4.882
2020-12-28,4.881
2020-12-29,4.912
2020-12-30,4.854
2020-12-31,4.866
2021-01-01,4.866
2021-01-02,4.866
2021-01-03,4.866
2021-01-04,4.885
2021-01-05,4.693
2021-01-06,4.285
2021-01-07,4.288
2021-01-08,4.375
2021-01-09,4.375
2021-01-10,4.375
2021-01-11,4.358
2021-01-12,4.169
2021-01-13,4.08
2021-01-14,3.815
2021-01-15,3.934
2021-01-16,3.934
2021-01-17,3.934
2021-01-18,3.934
2021-01-19,3.978
2021-01-20,3.907
2021-01-21,3.945
2021-01-22,3.889
2021-01-23,3.889
2021-01-24,3.889
2021-01-25,4.01
2021-01-26,3.999
2021-01-27,4.232
2021-01-28,4.313
2021-01-29,4.303
2021-01-30,4.303
2021-01-31,4.303
2021-02-01,4.168
2021-02-02,4.037
2021-02-03,4.065
2021-02-04,3.902
2021-02-05,3.755
2021-02-06,3.755
2021-02-07,3.755
2021-02-08,3.537
2021-02-09,3.523
2021-02-10,3.562
2021-02-11,3.523
2021-02-12,3.489
2021-02-13,3.489
2021-02-14,3.489
2021-02-15,3.489
2021-02-16,3.59
2021-02-17,3.643
2021-02-18,3.631
2021-02-19,3.554
2021-02-20,3.554
2021-02-21,3.554
2021-02-22,3.418
2021-02-23,3.439
2021-02-24,3.419
2021-02-25,3.4
2021-02-26,3.205
2021-02-27,3.205
2021-02-28,3.205
2021-03-01,3.108
2021-03-02,3.146
2021-03-03,3.199
2021-03-04,3.453
2021-03-05,3.377
2021-03-06,3.377
2021-03-07,3.377
2021-03-08,3.142
2021-03-09,3.111
2021-03-10,3.029
2021-03-11,2.988
2021-03-12,2.897
2021-03-13,2.897
2021-03-14,2.897
2021-03-15,2.882
2021-03-16,2.958
2021-03-17,3.017
2021-03-18,3.094
2021-03-19,3.037
2021-03-20,3.037
2021-03-21,3.037
2021-03-22,3.116
2021-03-23,3.248
2021-03-24,3.329
2021-03-25,3.202
2021-03-26,3.128
2021-03-27,3.128
2021-03-28,3.128
2021-03-29,3.275
2021-03-30,3.186
2021-03-31,3.211
2021-04-01,3.139
2021-04-02,3.139
2021-04-03,3.139
2021-04-04,3.139
2021-04-05,3.179
2021-04-06,3.137
2021-04-07,3.193
2021-04-08,3.186
2021-04-09,3.168
2021-04-10,3.168
2021-04-11,3.168
2021-04-12,3.183
2021-04-13,3.231
2021-04-14,3.196
2021-04-15,3.236
2021-04-16,3.237
2021-04-17,3.237
2021-04-18,3.237
2021-04-19,3.279
2021-04-20,3.428
2021-04-21,3.357
2021-04-22,3.387
2021-04-23,3.274
2021-04-24,3.274
2021-04-25,3.274
2021-04-26,3.231
2021-04-27,3.07
2021-04-28,3.122
2021-04-29,3.068
2021-04-30,3.2
2021-05-01,3.2
2021-05-02,3.2
2021-05-03,3.056
2021-05-04,3.058
2021-05-05,3.051
2021-05-06,3.163
2021-05-07,3.102
2021-05-08,3.102
2021-05-09,3.102
2021-05-10,3.1
2021-05-11,3.12
2021-05-12,3.296
2021-05-13,3.344
2021-05-14,3.197
2021-05-15,3.197
2021-05-16,3.197
2021-05-17,3.257
2021-05-18,3.239
2021-05-19,3.293
2021-05-20,3.195
2021-05-21,3.195
2021-05-22,3.195
2021-05-23,3.195
2021-05-24,3.149
2021-05-25,3.172
2021-05-26,3.036
2021-05-27,2.955
2021-05-28,2.98
2021-05-29,2.98
2021-05-30,2.98
2021-05-31,2.98
2021-06-01,2.901
2021-06-02,3.015
2021-06-03,3.052
2021-06-04,3.064
2021-06-05,3.064
2021-06-06,3.064
2021-06-07,2.916
2021-06-08,2.812
2021-06-09,2.907
2021-06-10,2.987
2021-06-11,2.896
2021-06-12,2.896
2021-06-13,2.896
2021-06-14,2.961
2021-06-15,2.971
2021-06-16,3.035
2021-06-17,3.224
2021-06-18,3.398
2021-06-19,3.398
2021-06-20,3.398
2021-06-21,3.34
2021-06-22,3.519
2021-06-23,3.503
2021-06-24,3.458
2021-06-25,3.507
2021-06-26,3.507
2021-06-27,3.507
2021-06-28,3.407
2021-06-29,3.454
2021-06-30,3.451
2021-07-01,3.376
2021-07-02,3.402
2021-07-03,3.402
2021-07-04,3.402
2021-07-05,3.402
2021-07-06,3.499
2021-07-07,3.514
2021-07-08,3.569
2021-07-09,3.442
2021-07-10,3.442
2021-07-11,3.442
2021-07-12,3.438
2021-07-13,3.52
2021-07-14,3.542
2021-07-15,3.524
2021-07-16,3.543
2021-07-17,3.543
2021-07-18,3.543
2021-07-19,3.582
2021-07-20,3.425
2021-07-21,3.339
2021-07-22,3.364
2021-07-23,3.288
2021-07-24,3.288
2021-07-25,3.288
2021-07-26,3.269
2021-07-27,3.265
2021-07-28,3.258
2021-07-29,3.173
2021-07-30,3.2
2021-07-31,3.2
2021-08-01,3.2
2021-08-02,3.187
2021-08-03,3.097
2021-08-04,3.217
2021-08-05,3.208
2021-08-06,3.148
2021-08-07,3.148
2021-08-08,3.148
2021-08-09,3.135
2021-08-10,3.074
2021-08-11,3.023
2021-08-12,2.821
2021-08-13,2.878
2021-08-14,2.878
2021-08-15,2.878
2021-08-16,2.874
2021-08-17,3.032
2021-08-18,3.026
2021-08-19,2.989
2021-08-20,2.902
2021-08-21,2.902
2021-08-22,2.902
2021-08-23,2.885
2021-08-24,2.819
2021-08-25,2.833
2021-08-26,2.868
2021-08-27,2.809
2021-08-28,2.809
2021-08-29,2.809
2021-08-30,2.811
2021-08-31,2.903
2021-09-01,2.883
2021-09-02,2.856
2021-09-03,2.849
2021-09-04,2.849
2021-09-05,2.849
2021-09-06,2.849
2021-09-07,2.936
2021-09-08,2.982
2021-09-09,2.954
2021-09-10,3.056
2021-09-11,3.056
2021-09-12,3.056
2021-09-13,3.023
2021-09-14,3.073
2021-09-15,3.023
2021-09-16,2.975
2021-09-17,2.955
2021-09-18,2.955
2021-09-19,2.955
2021-09-20,3.027
2021-09-21,3.015
2021-09-22,2.964
2021-09-23,2.924
2021-09-24,3.055
2021-09-25,3.055
2021-09-26,3.055
2021-09-27,2.985
2021-09-28,3.096
2021-09-29,3.131
2021-09-30,3.241
2021-10-01,3.223
2021-10-02,3.223
2021-10-03,3.223
2021-10-04,3.211
2021-10-05,3.31
2021-10-06,3.329
2021-10-07,3.255
2021-10-08,3.342
2021-10-09,3.342
2021-10-10,3.342
2021-10-11,3.392
2021-10-12,3.415
2021-10-13,3.481
2021-10-14,3.382
2021-10-15,3.442
2021-10-16,3.442
2021-10-17,3.442
2021-10-18,3.354
2021-10-19,3.344
2021-10-20,3.274
2021-10-21,3.207
2021-10-22,3.171
2021-10-23,3.171
2021-10-24,3.171
2021-10-25,3.123
2021-10-26,3.361
2021-10-27,3.485
2021-10-28,3.399
2021-10-29,3.42
2021-10-30,3.42
2021-10-31,3.42
2021-11-01,3.341
2021-11-02,3.432
2021-11-03,3.296
2021-11-04,4.038
2021-11-05,4.192
2021-11-06,4.192
2021-11-07,4.192
2021-11-08,4.118
2021-11-09,4.096
2021-11-10,3.95
2021-11-11,3.946
2021-11-12,3.898
2021-11-13,3.898
2021-11-14,3.898
2021-11-15,3.919
2021-11-16,3.886
2021-11-17,3.947
2021-11-18,3.961
2021-11-19,4.007
2021-11-20,4.007
2021-11-21,4.007
2021-11-22,3.86
2021-11-23,3.917
2021-11-24,3.885
2021-11-25,3.885
2021-11-26,3.835
2021-11-27,3.835
2021-11-28,3.835
2021-11-29,3.88
2021-11-30,4.124
2021-12-01,4.2
2021-12-02,4.068
2021-12-03,3.999
2021-12-04,3.999
2021-12-05,3.999
2021-12-06,3.86
2021-12-07,3.699
2021-12-08,3.583
2021-12-09,3.592
2021-12-10,3.638
2021-12-11,3.638
2021-12-12,3.638
2021-12-13,3.66
2021-12-14,3.614
2021-12-15,3.785
2021-12-16,3.873
2021-12-17,3.836
2021-12-18,3.836
2021-12-19,3.836
2021-12-20,3.887
2021-12-21,3.674
2021-12-22,3.671
2021-12-23,3.759
2021-12-24,3.759
2021-12-25,3.759
2021-12-26,3.759
2021-12-27,3.678
2021-12-28,3.698
2021-12-29,3.666
2021-12-30,3.7
2021-12-31,3.767
2022-01-01,3.767
2022-01-02,3.767
2022-01-03,3.691
2022-01-04,3.661
2022-01-05,3.843
2022-01-06,3.816
2022-01-07,3.878
2022-01-08,3.878
2022-01-09,3.878
2022-01-10,3.977
2022-01-11,4.051
2022-01-12,3.885
2022-01-13,3.946
2022-01-14,3.999
2022-01-15,3.999
2022-01-16,3.999
2022-01-17,3.999
2022-01-18,4.13
2022-01-19,4.127
2022-01-20,4.278
2022-01-21,4.396
2022-01-22,4.396
2022-01-23,4.396
2022-01-24,4.012
2022-01-25,4.017
2022-01-26,4.199
2022-01-27,4.331
2022-01-28,4.18
2022-01-29,4.18
2022-01-30,4.18
2022-01-31,4.293
2022-02-01,4.211
2022-02-02,4.523
2022-02-03,4.628
2022-02-04,4.694
2022-02-05,4.694
2022-02-06,4.694
2022-02-07,4.582
2022-02-08,4.444
2022-02-09,4.363
2022-02-10,4.535
2022-02-11,4.647
2022-02-12,4.647
2022-02-13,4.647
2022-02-14,4.489
2022-02-15,4.326
2022-02-16,4.365
2022-02-17,4.462
2022-02-18,4.575
2022-02-19,4.575
2022-02-20,4.575
2022-02-21,4.575
2022-02-22,4.798
2022-02-23,5.206
2022-02-24,6.229
2022-02-25,6.157
2022-02-26,6.157
2022-02-27,6.157
2022-02-28,6.369
2022-03-01,6.682
2022-03-02,6.497
2022-03-03,6.237
2022-03-04,6.516
2022-03-05,6.516
2022-03-06,6.516
2022-03-07,6.732
2022-03-08,6.338
2022-03-09,6.504
2022-03-10,6.754
2022-03-11,6.981
2022-03-12,6.981
2022-03-13,6.981
2022-03-14,7.057
2022-03-15,6.785
2022-03-16,6.655
2022-03-17,6.643
2022-03-18,6.544
2022-03-19,6.544
2022-03-20,6.544
2022-03-21,6.859
2022-03-22,6.675
2022-03-23,6.957
2022-03-24,6.981
2022-03-25,7.11
2022-03-26,7.11
2022-03-27,7.11
2022-03-28,7.038
2022-03-29,6.707
2022-03-30,6.828
2022-03-31,7.183
2022-04-01,7.371
2022-04-02,7.371
2022-04-03,7.371
2022-04-04,7.346
2022-04-05,7.472
2022-04-06,7.346
2022-04-07,7.485
2022-04-08,7.277
2022-04-09,7.277
2022-04-10,7.277
2022-04-11,7.089
2022-04-12,7.213
2022-04-13,7.061
2022-04-14,7.14
2022-04-15,7.14
2022-04-16,7.14
2022-04-17,7.14
2022-04-18,7.224
2022-04-19,6.832
2022-04-20,6.949
2022-04-21,6.995
2022-04-22,7.274
2022-04-23,7.274
2022-04-24,7.274
2022-04-25,7.257
2022-04-26,7.482
2022-04-27,7.587
2022-04-28,7.21
2022-04-29,7.398
2022-04-30,7.398
2022-05-01,7.398
2022-05-02,6.984
2022-05-03,6.898
2022-05-04,6.813
2022-05-05,6.541
2022-05-06,6.746
2022-05-07,6.746
2022-05-08,6.746
2022-05-09,6.323
2022-05-10,6.683
2022-05-11,6.93
2022-05-12,6.624
2022-05-13,6.325
2022-05-14,6.325
2022-05-15,6.325
2022-05-16,6.207
2022-05-17,6.174
2022-05-18,6.785
2022-05-19,6.959
2022-05-20,7.14
2022-05-21,7.14
2022-05-22,7.14
2022-05-23,7.328
2022-05-24,7.482
2022-05-25,6.465
2022-05-26,6.44
2022-05-27,6.482
2022-05-28,6.482
2022-05-29,6.482
2022-05-30,6.482
2022-05-31,6.479
2022-06-01,6.772
2022-06-02,6.749
2022-06-03,7.05
2022-06-04,7.05
2022-06-05,7.05
2022-06-06,6.785
2022-06-07,6.85
2022-06-08,6.619
2022-06-09,6.713
2022-06-10,6.979
2022-06-11,6.979
2022-06-12,6.979
2022-06-13,7.268
2022-06-14,7.596
2022-06-15,7.603
2022-06-16,8.726
2022-06-17,8.665
2022-06-18,8.665
2022-06-19,8.665
2022-06-20,8.665
2022-06-21,8.64
2022-06-22,8.514
2022-06-23,8.238
2022-06-24,7.633
2022-06-25,7.633
2022-06-26,7.633
2022-06-27,7.872
2022-06-28,8.101
2022-06-29,8.944
2022-06-30,9.022
2022-07-01,8.885
2022-07-02,8.885
2022-07-03,8.885
2022-07-04,8.885
2022-07-05,8.564
2022-07-06,8.957
2022-07-07,8.312
2022-07-08,8.514
2022-07-09,8.514
2022-07-10,8.514
2022-07-11,8.619
2022-07-12,8.506
2022-07-13,8.485
2022-07-14,8.903
2022-07-15,8.238
2022-07-16,8.238
2022-07-17,8.238
2022-07-18,8.013
2022-07-19,7.813
2022-07-20,7.48
2022-07-21,7.451
2022-07-22,7.438
2022-07-23,7.438
2022-07-24,7.438
2022-07-25,7.461
2022-07-26,8.32
2022-07-27,7.869
2022-07-28,7.557
2022-07-29,7.457
2022-07-30,7.457
2022-07-31,7.457
2022-08-01,7.305
2022-08-02,7.305
2022-08-03,6.9
2022-08-04,6.089
2022-08-05,6.17
2022-08-06,6.17
2022-08-07,6.17
2022-08-08,5.952
2022-08-09,6.093
2022-08-10,5.932
2022-08-11,5.851
2022-08-12,5.708
2022-08-13,5.708
2022-08-14,5.708
2022-08-15,5.849
2022-08-16,5.621
2022-08-17,5.763
2022-08-18,5.826
2022-08-19,6.053
2022-08-20,6.053
2022-08-21,6.053
2022-08-22,6.214
2022-08-23,6.101
2022-08-24,6.258
2022-08-25,6.089
2022-08-26,6.487
2022-08-27,6.487
2022-08-28,6.487
2022-08-29,6.444
2022-08-30,6.609
2022-08-31,6.791
2022-09-01,6.82
2022-09-02,6.93
2022-09-03,6.93
2022-09-04,6.93
2022-09-05,6.93
2022-09-06,6.947
2022-09-07,6.809
2022-09-08,6.759
2022-09-09,6.647
2022-09-10,6.647
2022-09-11,6.647
2022-09-12,6.516
2022-09-13,6.801
2022-09-14,6.778
2022-09-15,6.721
2022-09-16,7.266
2022-09-17,7.266
2022-09-18,7.266
2022-09-19,7.073
2022-09-20,7.266
2022-09-21,7.367
2022-09-22,7.547
2022-09-23,7.683
2022-09-24,7.683
2022-09-25,7.683
2022-09-26,7.929
2022-09-27,7.799
2022-09-28,7.48
2022-09-29,7.858
2022-09-30,10.021
2022-10-01,10.021
2022-10-02,10.021
2022-10-03,9.517
2022-10-04,8.621
2022-10-05,8.565
2022-10-06,8.51
2022-10-07,9.018
2022-10-08,9.018
2022-10-09,9.018
2022-10-10,9.047
2022-10-11,9.075
2022-10-12,8.792
2022-10-13,8.668
2022-10-14,9.133
2022-10-15,9.133
2022-10-16,9.133
2022-10-17,9.119
2022-10-18,9.475
2022-10-19,9.895
2022-10-20,9.958
2022-10-21,9.688
2022-10-22,9.688
2022-10-23,9.688
2022-10-24,9.444
2022-10-25,8.647
2022-10-26,8.664
2022-10-27,8.527
2022-10-28,8.341
2022-10-29,8.341
2022-10-30,8.341
2022-10-31,8.253
2022-11-01,8.233
2022-11-02,8.734
2022-11-03,7.183
2022-11-04,7.196
2022-11-05,7.196
2022-11-06,7.196
2022-11-07,7.196
2022-11-08,7.169
2022-11-09,7.471
2022-11-10,6.677
2022-11-11,6.669
2022-11-12,6.669
2022-11-13,6.669
2022-11-14,6.897
2022-11-15,6.863
2022-11-16,7.024
2022-11-17,7.034
2022-11-18,6.976
2022-11-19,6.976
2022-11-20,6.976
2022-11-21,7.143
2022-11-22,6.882
2022-11-23,6.82
2022-11-24,6.82
2022-11-25,6.836
2022-11-26,6.836
2022-11-27,6.836
2022-11-28,6.754
2022-11-29,6.591
2022-11-30,6.339
2022-12-01,6.498
2022-12-02,6.465
2022-12-03,6.465
2022-12-04,6.465
2022-12-05,6.588
2022-12-06,6.457
2022-12-07,6.473
2022-12-08,6.441
2022-12-09,6.443
2022-12-10,6.443
2022-12-11,6.443
2022-12-12,6.046
2022-12-13,6.344
2022-12-14,6.323
2022-12-15,6.449
2022-12-16,6.617
2022-12-17,6.617
2022-12-18,6.617
2022-12-19,6.796
2022-12-20,6.858
2022-12-21,6.539
2022-12-22,6.619
2022-12-23,6.646
2022-12-24,6.646
2022-12-25,6.646
2022-12-26,6.646
2022-12-27,6.669
2022-12-28,6.811
2022-12-29,6.684
2022-12-30,6.672
2022-12-31,6.672
2023-01-01,6.672
2023-01-02,6.672
2023-01-03,6.768
2023-01-04,6.413
2023-01-05,6.33
2023-01-06,6.164
2023-01-07,6.164
2023-01-08,6.164
2023-01-09,6.199
2023-01-10,6.099
2023-01-11,5.945
2023-01-12,6.014
2023-01-13,6.004
2023-01-14,6.004
2023-01-15,6.004
2023-01-16,6.004
2023-01-17,6.089
2023-01-18,6.136
2023-01-19,6.405
2023-01-20,6.096
2023-01-21,6.096
2023-01-22,6.096
2023-01-23,5.85
2023-01-24,5.903
2023-01-25,5.924
2023-01-26,5.873
2023-01-27,5.73
2023-01-28,5.73
2023-01-29,5.73
2023-01-30,5.776
2023-01-31,5.595
2023-02-01,5.438
2023-02-02,5.017
2023-02-03,5.064
2023-02-04,5.064
2023-02-05,5.064
2023-02-06,5.16
2023-02-07,5.149
2023-02-08,5.261
2023-02-09,5.479
2023-02-10,5.55
2023-02-11,5.55
2023-02-12,5.55
2023-02-13,5.473
2023-02-14,5.489
2023-02-15,5.276
2023-02-16,5.32
2023-02-17,5.377
2023-02-18,5.377
2023-02-19,5.377
2023-02-20,5.377
2023-02-21,5.73
2023-02-22,5.552
2023-02-23,5.719
2023-02-24,5.725
2023-02-25,5.725
2023-02-26,5.725
2023-02-27,5.834
2023-02-28,5.88
2023-03-01,5.854
2023-03-02,5.88
2023-03-03,5.728
2023-03-04,5.728
2023-03-05,5.728
2023-03-06,5.869
2023-03-07,5.852
2023-03-08,5.826
2023-03-09,5.951
2023-03-10,6.115
2023-03-11,6.115
2023-03-12,6.115
2023-03-13,6.356
2023-03-14,6.397
2023-03-15,6.431
2023-03-16,6.394
2023-03-17,6.852
2023-03-18,6.852
2023-03-19,6.852
2023-03-20,7.004
2023-03-21,6.701
2023-03-22,6.912
2023-03-23,6.891
2023-03-24,6.735
2023-03-25,6.735
2023-03-26,6.735
2023-03-27,6.787
2023-03-28,6.79
2023-03-29,6.735
2023-03-30,6.773
2023-03-31,6.441
2023-04-01,6.441
2023-04-02,6.441
2023-04-03,6.545
2023-04-04,6.595
2023-04-05,6.692
2023-04-06,6.729
2023-04-07,6.729
2023-04-08,6.729
2023-04-09,6.729
2023-04-10,6.573
2023-04-11,6.472
2023-04-12,6.579
2023-04-13,6.537
2023-04-14,6.502
2023-04-15,6.502
2023-04-16,6.502
2023-04-17,6.362
2023-04-18,6.408
2023-04-19,6.488
2023-04-20,6.49
2023-04-21,6.496
2023-04-22,6.496
2023-04-23,6.496
2023-04-24,6.46
2023-04-25,6.208
2023-04-26,5.848
2023-04-27,5.704
2023-04-28,5.67
2023-04-29,5.67
2023-04-30,5.67
2023-05-01,5.619
2023-05-02,5.681
2023-05-03,5.63
2023-05-04,4.962
2023-05-05,4.684
2023-05-06,4.684
2023-05-07,4.684
2023-05-08,4.683
2023-05-09,4.686
2023-05-10,4.756
2023-05-11,4.716
2023-05-12,4.719
2023-05-13,4.719
2023-05-14,4.719
2023-05-15,4.572
2023-05-16,4.661
2023-05-17,4.572
2023-05-18,4.469
2023-05-19,4.618
2023-05-20,4.618
2023-05-21,4.618
2023-05-22,4.668
2023-05-23,4.659
2023-05-24,4.704
2023-05-25,4.795
2023-05-26,4.739
2023-05-27,4.739
2023-05-28,4.739
2023-05-29,4.739
2023-05-30,4.819
2023-05-31,4.907
2023-06-01,4.759
2023-06-02,4.453
2023-06-03,4.453
2023-06-04,4.453
2023-06-05,4.565
2023-06-06,4.386
2023-06-07,4.229
2023-06-08,4.26
2023-06-09,4.277
2023-06-10,4.277
2023-06-11,4.277
2023-06-12,4.297
2023-06-13,4.318
2023-06-14,4.414
2023-06-15,4.393
2023-06-16,4.502
2023-06-17,4.502
2023-06-18,4.502
2023-06-19,4.502
2023-06-20,4.478
2023-06-21,4.541
2023-06-22,4.65
2023-06-23,4.765
2023-06-24,4.765
2023-06-25,4.765
2023-06-26,4.774
2023-06-27,4.649
2023-06-28,4.633
2023-06-29,4.65
2023-06-30,4.667
2023-07-01,4.667
2023-07-02,4.667
2023-07-03,4.59
2023-07-04,4.59
2023-07-05,4.721
2023-07-06,4.769
2023-07-07,4.752
2023-07-08,4.752
2023-07-09,4.752
2023-07-10,4.706
2023-07-11,4.611
2023-07-12,4.603
2023-07-13,4.57
2023-07-14,4.544
2023-07-15,4.544
2023-07-16,4.544
2023-07-17,4.529
2023-07-18,4.354
2023-07-19,4.215
2023-07-20,4.277
2023-07-21,4.363
2023-07-22,4.363
2023-07-23,4.363
2023-07-24,4.308
2023-07-25,4.354
2023-07-26,4.167
2023-07-27,4.233
2023-07-28,4.223
2023-07-29,4.223
2023-07-30,4.223
2023-07-31,4.195
2023-08-01,4.183
2023-08-02,4.272
2023-08-03,4.458
2023-08-04,4.3
2023-08-05,4.3
2023-08-06,4.3
2023-08-07,4.374
2023-08-08,4.387
2023-08-09,4.431
2023-08-10,4.512
2023-08-11,4.621
2023-08-12,4.621
2023-08-13,4.621
2023-08-14,4.659
2023-08-15,4.697
2023-08-16,4.767
2023-08-17,4.938
2023-08-18,4.918
2023-08-19,4.918
2023-08-20,4.918
2023-08-21,4.925
2023-08-22,5.044
2023-08-23,4.928
2023-08-24,4.96
2023-08-25,4.855
2023-08-26,4.855
2023-08-27,4.855
2023-08-28,4.759
2023-08-29,4.728
2023-08-30,4.747
2023-08-31,4.714
2023-09-01,4.637
2023-09-02,4.637
