,AWI US Equity
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,1.523
2020-11-20,1.551
2020-11-21,1.551
2020-11-22,1.551
2020-11-23,1.537
2020-11-24,1.515
2020-11-25,1.546
2020-11-26,1.546
2020-11-27,1.531
2020-11-28,1.531
2020-11-29,1.531
2020-11-30,1.561
2020-12-01,1.546
2020-12-02,1.567
2020-12-03,1.519
2020-12-04,1.488
2020-12-05,1.488
2020-12-06,1.488
2020-12-07,1.489
2020-12-08,1.49
2020-12-09,1.493
2020-12-10,1.504
2020-12-11,1.516
2020-12-12,1.516
2020-12-13,1.516
2020-12-14,1.548
2020-12-15,1.514
2020-12-16,1.539
2020-12-17,1.557
2020-12-18,1.565
2020-12-19,1.565
2020-12-20,1.565
2020-12-21,1.594
2020-12-22,1.604
2020-12-23,1.613
2020-12-24,1.619
2020-12-25,1.619
2020-12-26,1.619
2020-12-27,1.619
2020-12-28,1.625
2020-12-29,1.612
2020-12-30,1.624
2020-12-31,1.617
2021-01-01,1.617
2021-01-02,1.617
2021-01-03,1.617
2021-01-04,1.691
2021-01-05,1.626
2021-01-06,1.547
2021-01-07,1.525
2021-01-08,1.539
2021-01-09,1.539
2021-01-10,1.539
2021-01-11,1.523
2021-01-12,1.471
2021-01-13,1.454
2021-01-14,1.423
2021-01-15,1.436
2021-01-16,1.436
2021-01-17,1.436
2021-01-18,1.436
2021-01-19,1.438
2021-01-20,1.478
2021-01-21,1.512
2021-01-22,1.515
2021-01-23,1.515
2021-01-24,1.515
2021-01-25,1.48
2021-01-26,1.482
2021-01-27,1.503
2021-01-28,1.514
2021-01-29,1.538
2021-01-30,1.538
2021-01-31,1.538
2021-02-01,1.491
2021-02-02,1.495
2021-02-03,1.504
2021-02-04,1.477
2021-02-05,1.474
2021-02-06,1.474
2021-02-07,1.474
2021-02-08,1.447
2021-02-09,1.46
2021-02-10,1.464
2021-02-11,1.444
2021-02-12,1.444
2021-02-13,1.444
2021-02-14,1.444
2021-02-15,1.444
2021-02-16,1.457
2021-02-17,1.479
2021-02-18,1.506
2021-02-19,1.539
2021-02-20,1.539
2021-02-21,1.539
2021-02-22,1.549
2021-02-23,1.42
2021-02-24,1.362
2021-02-25,1.352
2021-02-26,1.405
2021-02-27,1.405
2021-02-28,1.405
2021-03-01,1.373
2021-03-02,1.425
2021-03-03,1.412
2021-03-04,1.409
2021-03-05,1.394
2021-03-06,1.394
2021-03-07,1.394
2021-03-08,1.309
2021-03-09,1.296
2021-03-10,1.289
2021-03-11,1.284
2021-03-12,1.259
2021-03-13,1.259
2021-03-14,1.259
2021-03-15,1.245
2021-03-16,1.257
2021-03-17,1.254
2021-03-18,1.27
2021-03-19,1.265
2021-03-20,1.265
2021-03-21,1.265
2021-03-22,1.311
2021-03-23,1.341
2021-03-24,1.343
2021-03-25,1.327
2021-03-26,1.296
2021-03-27,1.296
2021-03-28,1.296
2021-03-29,1.299
2021-03-30,1.306
2021-03-31,1.332
2021-04-01,1.297
2021-04-02,1.297
2021-04-03,1.297
2021-04-04,1.297
2021-04-05,1.296
2021-04-06,1.253
2021-04-07,1.26
2021-04-08,1.286
2021-04-09,1.269
2021-04-10,1.269
2021-04-11,1.269
2021-04-12,1.272
2021-04-13,1.288
2021-04-14,1.266
2021-04-15,1.256
2021-04-16,1.229
2021-04-17,1.229
2021-04-18,1.229
2021-04-19,1.22
2021-04-20,1.233
2021-04-21,1.214
2021-04-22,1.227
2021-04-23,1.205
2021-04-24,1.205
2021-04-25,1.205
2021-04-26,1.194
2021-04-27,1.189
2021-04-28,1.153
2021-04-29,1.135
2021-04-30,1.157
2021-05-01,1.157
2021-05-02,1.157
2021-05-03,1.141
2021-05-04,1.128
2021-05-05,1.146
2021-05-06,1.167
2021-05-07,1.146
2021-05-08,1.146
2021-05-09,1.146
2021-05-10,1.129
2021-05-11,1.136
2021-05-12,1.175
2021-05-13,1.139
2021-05-14,1.117
2021-05-15,1.117
2021-05-16,1.117
2021-05-17,1.124
2021-05-18,1.14
2021-05-19,1.163
2021-05-20,1.162
2021-05-21,1.156
2021-05-22,1.156
2021-05-23,1.156
2021-05-24,1.155
2021-05-25,1.16
2021-05-26,1.149
2021-05-27,1.139
2021-05-28,1.126
2021-05-29,1.126
2021-05-30,1.126
2021-05-31,1.126
2021-06-01,1.113
2021-06-02,1.13
2021-06-03,1.126
2021-06-04,1.115
2021-06-05,1.115
2021-06-06,1.115
2021-06-07,1.114
2021-06-08,1.094
2021-06-09,1.111
2021-06-10,1.112
2021-06-11,1.104
2021-06-12,1.104
2021-06-13,1.104
2021-06-14,1.106
2021-06-15,1.117
2021-06-16,1.119
2021-06-17,1.151
2021-06-18,1.158
2021-06-19,1.158
2021-06-20,1.158
2021-06-21,1.131
2021-06-22,1.125
2021-06-23,1.132
2021-06-24,1.128
2021-06-25,1.131
2021-06-26,1.131
2021-06-27,1.131
2021-06-28,1.126
2021-06-29,1.112
2021-06-30,1.116
2021-07-01,1.094
2021-07-02,1.093
2021-07-03,1.093
2021-07-04,1.093
2021-07-05,1.093
2021-07-06,1.105
2021-07-07,1.096
2021-07-08,1.117
2021-07-09,1.099
2021-07-10,1.099
2021-07-11,1.099
2021-07-12,1.095
2021-07-13,1.115
2021-07-14,1.121
2021-07-15,1.117
2021-07-16,1.136
2021-07-17,1.136
2021-07-18,1.136
2021-07-19,1.172
2021-07-20,1.14
2021-07-21,1.125
2021-07-22,1.156
2021-07-23,1.134
2021-07-24,1.134
2021-07-25,1.134
2021-07-26,1.134
2021-07-27,1.126
2021-07-28,1.114
2021-07-29,1.107
2021-07-30,1.107
2021-07-31,1.107
2021-08-01,1.107
2021-08-02,1.119
2021-08-03,1.101
2021-08-04,1.115
2021-08-05,1.104
2021-08-06,1.093
2021-08-07,1.093
2021-08-08,1.093
2021-08-09,1.105
2021-08-10,1.097
2021-08-11,1.064
2021-08-12,1.073
2021-08-13,1.085
2021-08-14,1.085
2021-08-15,1.085
2021-08-16,1.089
2021-08-17,1.115
2021-08-18,1.132
2021-08-19,1.147
2021-08-20,1.137
2021-08-21,1.137
2021-08-22,1.137
2021-08-23,1.13
2021-08-24,1.125
2021-08-25,1.127
2021-08-26,1.147
2021-08-27,1.126
2021-08-28,1.126
2021-08-29,1.126
2021-08-30,1.144
2021-08-31,1.15
2021-09-01,1.154
2021-09-02,1.154
2021-09-03,1.173
2021-09-04,1.173
2021-09-05,1.173
2021-09-06,1.173
2021-09-07,1.194
2021-09-08,1.183
2021-09-09,1.196
2021-09-10,1.217
2021-09-11,1.217
2021-09-12,1.217
2021-09-13,1.199
2021-09-14,1.193
2021-09-15,1.196
2021-09-16,1.195
2021-09-17,1.191
2021-09-18,1.191
2021-09-19,1.191
2021-09-20,1.206
2021-09-21,1.213
2021-09-22,1.202
2021-09-23,1.192
2021-09-24,1.189
2021-09-25,1.189
2021-09-26,1.189
2021-09-27,1.173
2021-09-28,1.214
2021-09-29,1.224
2021-09-30,1.252
2021-10-01,1.231
2021-10-02,1.231
2021-10-03,1.231
2021-10-04,1.239
2021-10-05,1.232
2021-10-06,1.236
2021-10-07,1.219
2021-10-08,1.226
2021-10-09,1.226
2021-10-10,1.226
2021-10-11,1.247
2021-10-12,1.252
2021-10-13,1.255
2021-10-14,1.249
2021-10-15,1.214
2021-10-16,1.214
2021-10-17,1.214
2021-10-18,1.207
2021-10-19,1.219
2021-10-20,1.209
2021-10-21,1.193
2021-10-22,1.178
2021-10-23,1.178
2021-10-24,1.178
2021-10-25,1.174
2021-10-26,1.175
2021-10-27,1.159
2021-10-28,1.138
2021-10-29,1.131
2021-10-30,1.131
2021-10-31,1.131
2021-11-01,1.103
2021-11-02,1.106
2021-11-03,1.094
2021-11-04,1.084
2021-11-05,1.07
2021-11-06,1.07
2021-11-07,1.07
2021-11-08,1.053
2021-11-09,1.046
2021-11-10,1.06
2021-11-11,1.068
2021-11-12,1.054
2021-11-13,1.054
2021-11-14,1.054
2021-11-15,1.061
2021-11-16,1.052
2021-11-17,1.052
2021-11-18,1.052
2021-11-19,1.064
2021-11-20,1.064
2021-11-21,1.064
2021-11-22,1.058
2021-11-23,1.047
2021-11-24,1.046
2021-11-25,1.046
2021-11-26,1.09
2021-11-27,1.09
2021-11-28,1.09
2021-11-29,1.088
2021-11-30,1.125
2021-12-01,1.127
2021-12-02,1.084
2021-12-03,1.104
2021-12-04,1.104
2021-12-05,1.104
2021-12-06,1.06
2021-12-07,1.033
2021-12-08,1.015
2021-12-09,1.049
2021-12-10,1.036
2021-12-11,1.036
2021-12-12,1.036
2021-12-13,1.052
2021-12-14,1.059
2021-12-15,1.059
2021-12-16,1.078
2021-12-17,1.084
2021-12-18,1.084
2021-12-19,1.084
2021-12-20,1.096
2021-12-21,1.065
2021-12-22,1.048
2021-12-23,1.045
2021-12-24,1.045
2021-12-25,1.045
2021-12-26,1.045
2021-12-27,1.032
2021-12-28,1.03
2021-12-29,1.026
2021-12-30,1.034
2021-12-31,1.027
2022-01-01,1.027
2022-01-02,1.027
2022-01-03,1.031
2022-01-04,1.032
2022-01-05,1.059
2022-01-06,1.072
2022-01-07,1.084
2022-01-08,1.084
2022-01-09,1.084
2022-01-10,1.084
2022-01-11,1.082
2022-01-12,1.076
2022-01-13,1.084
2022-01-14,1.109
2022-01-15,1.109
2022-01-16,1.109
2022-01-17,1.109
2022-01-18,1.128
2022-01-19,1.128
2022-01-20,1.134
2022-01-21,1.162
2022-01-22,1.162
2022-01-23,1.162
2022-01-24,1.184
2022-01-25,1.196
2022-01-26,1.211
2022-01-27,1.253
2022-01-28,1.221
2022-01-29,1.221
2022-01-30,1.221
2022-01-31,1.204
2022-02-01,1.21
2022-02-02,1.213
2022-02-03,1.237
2022-02-04,1.255
2022-02-05,1.255
2022-02-06,1.255
2022-02-07,1.247
2022-02-08,1.234
2022-02-09,1.21
2022-02-10,1.24
2022-02-11,1.244
2022-02-12,1.244
2022-02-13,1.244
2022-02-14,1.245
2022-02-15,1.222
2022-02-16,1.225
2022-02-17,1.249
2022-02-18,1.259
2022-02-19,1.259
2022-02-20,1.259
2022-02-21,1.259
2022-02-22,1.293
2022-02-23,1.255
2022-02-24,1.263
2022-02-25,1.25
2022-02-26,1.25
2022-02-27,1.25
2022-02-28,1.262
2022-03-01,1.282
2022-03-02,1.237
2022-03-03,1.237
2022-03-04,1.246
2022-03-05,1.246
2022-03-06,1.246
2022-03-07,1.281
2022-03-08,1.281
2022-03-09,1.253
2022-03-10,1.241
2022-03-11,1.238
2022-03-12,1.238
2022-03-13,1.238
2022-03-14,1.238
2022-03-15,1.224
2022-03-16,1.21
2022-03-17,1.217
2022-03-18,1.202
2022-03-19,1.202
2022-03-20,1.202
2022-03-21,1.169
2022-03-22,1.187
2022-03-23,1.226
2022-03-24,1.234
2022-03-25,1.241
2022-03-26,1.241
2022-03-27,1.241
2022-03-28,1.223
2022-03-29,1.181
2022-03-30,1.199
2022-03-31,1.236
2022-04-01,1.203
2022-04-02,1.203
2022-04-03,1.203
2022-04-04,1.204
2022-04-05,1.14
2022-04-06,1.151
2022-04-07,1.132
2022-04-08,1.137
2022-04-09,1.137
2022-04-10,1.137
2022-04-11,1.13
2022-04-12,1.138
2022-04-13,1.127
2022-04-14,1.138
2022-04-15,1.138
2022-04-16,1.138
2022-04-17,1.138
2022-04-18,1.149
2022-04-19,1.13
2022-04-20,1.105
2022-04-21,1.11
2022-04-22,1.134
2022-04-23,1.134
2022-04-24,1.134
2022-04-25,1.129
2022-04-26,1.202
2022-04-27,1.257
2022-04-28,1.236
2022-04-29,1.284
2022-04-30,1.284
2022-05-01,1.284
2022-05-02,1.242
2022-05-03,1.252
2022-05-04,1.239
2022-05-05,1.301
2022-05-06,1.308
2022-05-07,1.308
2022-05-08,1.308
2022-05-09,1.308
2022-05-10,1.325
2022-05-11,1.348
2022-05-12,1.318
2022-05-13,1.303
2022-05-14,1.303
2022-05-15,1.303
2022-05-16,1.317
2022-05-17,1.271
2022-05-18,1.316
2022-05-19,1.318
2022-05-20,1.337
2022-05-21,1.337
2022-05-22,1.337
2022-05-23,1.32
2022-05-24,1.344
2022-05-25,1.336
2022-05-26,1.314
2022-05-27,1.292
2022-05-28,1.292
2022-05-29,1.292
2022-05-30,1.292
2022-05-31,1.298
2022-06-01,1.309
2022-06-02,1.252
2022-06-03,1.264
2022-06-04,1.264
2022-06-05,1.264
2022-06-06,1.25
2022-06-07,1.258
2022-06-08,1.288
2022-06-09,1.288
2022-06-10,1.337
2022-06-11,1.337
2022-06-12,1.337
2022-06-13,1.363
2022-06-14,1.382
2022-06-15,1.365
2022-06-16,1.425
2022-06-17,1.451
2022-06-18,1.451
2022-06-19,1.451
2022-06-20,1.451
2022-06-21,1.452
2022-06-22,1.459
2022-06-23,1.471
2022-06-24,1.4
2022-06-25,1.4
2022-06-26,1.4
2022-06-27,1.388
2022-06-28,1.407
2022-06-29,1.424
2022-06-30,1.43
2022-07-01,1.413
2022-07-02,1.413
2022-07-03,1.413
2022-07-04,1.413
2022-07-05,1.377
2022-07-06,1.381
2022-07-07,1.366
2022-07-08,1.384
2022-07-09,1.384
2022-07-10,1.384
2022-07-11,1.391
2022-07-12,1.387
2022-07-13,1.367
2022-07-14,1.366
2022-07-15,1.337
2022-07-16,1.337
2022-07-17,1.337
2022-07-18,1.341
2022-07-19,1.291
2022-07-20,1.279
2022-07-21,1.272
2022-07-22,1.274
2022-07-23,1.274
2022-07-24,1.274
2022-07-25,1.295
2022-07-26,1.287
2022-07-27,1.257
2022-07-28,1.229
2022-07-29,1.204
2022-07-30,1.204
2022-07-31,1.204
2022-08-01,1.201
2022-08-02,1.219
2022-08-03,1.21
2022-08-04,1.209
2022-08-05,1.217
2022-08-06,1.217
2022-08-07,1.217
2022-08-08,1.2
2022-08-09,1.224
2022-08-10,1.192
2022-08-11,1.174
2022-08-12,1.158
2022-08-13,1.158
2022-08-14,1.158
2022-08-15,1.159
2022-08-16,1.138
2022-08-17,1.17
2022-08-18,1.162
2022-08-19,1.189
2022-08-20,1.189
2022-08-21,1.189
2022-08-22,1.224
2022-08-23,1.234
2022-08-24,1.218
2022-08-25,1.204
2022-08-26,1.263
2022-08-27,1.263
2022-08-28,1.263
2022-08-29,1.269
2022-08-30,1.28
2022-08-31,1.299
2022-09-01,1.301
2022-09-02,1.311
2022-09-03,1.311
2022-09-04,1.311
2022-09-05,1.311
2022-09-06,1.32
2022-09-07,1.282
2022-09-08,1.266
2022-09-09,1.254
2022-09-10,1.254
2022-09-11,1.254
2022-09-12,1.238
2022-09-13,1.288
2022-09-14,1.31
2022-09-15,1.306
2022-09-16,1.306
2022-09-17,1.306
2022-09-18,1.306
2022-09-19,1.292
2022-09-20,1.321
2022-09-21,1.343
2022-09-22,1.376
2022-09-23,1.387
2022-09-24,1.387
2022-09-25,1.387
2022-09-26,1.408
2022-09-27,1.394
2022-09-28,1.352
2022-09-29,1.377
2022-09-30,1.377
2022-10-01,1.377
2022-10-02,1.377
2022-10-03,1.344
2022-10-04,1.303
2022-10-05,1.302
2022-10-06,1.297
2022-10-07,1.316
2022-10-08,1.316
2022-10-09,1.316
2022-10-10,1.307
2022-10-11,1.308
2022-10-12,1.31
2022-10-13,1.317
2022-10-14,1.356
2022-10-15,1.356
2022-10-16,1.356
2022-10-17,1.331
2022-10-18,1.303
2022-10-19,1.361
2022-10-20,1.389
2022-10-21,1.351
2022-10-22,1.351
2022-10-23,1.351
2022-10-24,1.356
2022-10-25,1.414
2022-10-26,1.478
2022-10-27,1.471
2022-10-28,1.461
2022-10-29,1.461
2022-10-30,1.461
2022-10-31,1.458
2022-11-01,1.464
2022-11-02,1.492
2022-11-03,1.509
2022-11-04,1.512
2022-11-05,1.512
2022-11-06,1.512
2022-11-07,1.473
2022-11-08,1.445
2022-11-09,1.483
2022-11-10,1.389
2022-11-11,1.398
2022-11-12,1.398
2022-11-13,1.398
2022-11-14,1.429
2022-11-15,1.427
2022-11-16,1.44
2022-11-17,1.461
2022-11-18,1.438
2022-11-19,1.438
2022-11-20,1.438
2022-11-21,1.447
2022-11-22,1.437
2022-11-23,1.429
2022-11-24,1.429
2022-11-25,1.429
2022-11-26,1.429
2022-11-27,1.429
2022-11-28,1.454
2022-11-29,1.455
2022-11-30,1.437
2022-12-01,1.437
2022-12-02,1.461
2022-12-03,1.461
2022-12-04,1.461
2022-12-05,1.495
2022-12-06,1.531
2022-12-07,1.547
2022-12-08,1.542
2022-12-09,1.518
2022-12-10,1.518
2022-12-11,1.518
2022-12-12,1.511
2022-12-13,1.496
2022-12-14,1.543
2022-12-15,1.581
2022-12-16,1.599
2022-12-17,1.599
2022-12-18,1.599
2022-12-19,1.61
2022-12-20,1.598
2022-12-21,1.591
2022-12-22,1.597
2022-12-23,1.583
2022-12-24,1.583
2022-12-25,1.583
2022-12-26,1.583
2022-12-27,1.588
2022-12-28,1.604
2022-12-29,1.583
2022-12-30,1.6
2022-12-31,1.6
2023-01-01,1.6
2023-01-02,1.6
2023-01-03,1.579
2023-01-04,1.559
2023-01-05,1.592
2023-01-06,1.53
2023-01-07,1.53
2023-01-08,1.53
2023-01-09,1.505
2023-01-10,1.47
2023-01-11,1.434
2023-01-12,1.458
2023-01-13,1.441
2023-01-14,1.441
2023-01-15,1.441
2023-01-16,1.441
2023-01-17,1.448
2023-01-18,1.461
2023-01-19,1.482
2023-01-20,1.457
2023-01-21,1.457
2023-01-22,1.457
2023-01-23,1.44
2023-01-24,1.442
2023-01-25,1.442
2023-01-26,1.433
2023-01-27,1.415
2023-01-28,1.415
2023-01-29,1.415
2023-01-30,1.425
2023-01-31,1.397
2023-02-01,1.351
2023-02-02,1.307
2023-02-03,1.329
2023-02-04,1.329
2023-02-05,1.329
2023-02-06,1.344
2023-02-07,1.347
2023-02-08,1.343
2023-02-09,1.359
2023-02-10,1.359
2023-02-11,1.359
2023-02-12,1.359
2023-02-13,1.335
2023-02-14,1.337
2023-02-15,1.329
2023-02-16,1.326
2023-02-17,1.329
2023-02-18,1.329
2023-02-19,1.329
2023-02-20,1.329
2023-02-21,1.368
2023-02-22,1.345
2023-02-23,1.333
2023-02-24,1.345
2023-02-25,1.345
2023-02-26,1.345
2023-02-27,1.341
2023-02-28,1.363
2023-03-01,1.378
2023-03-02,1.391
2023-03-03,1.375
2023-03-04,1.375
2023-03-05,1.375
2023-03-06,1.408
2023-03-07,1.418
2023-03-08,1.419
2023-03-09,1.457
2023-03-10,1.515
2023-03-11,1.515
2023-03-12,1.515
2023-03-13,1.538
2023-03-14,1.531
2023-03-15,1.541
2023-03-16,1.526
2023-03-17,1.564
2023-03-18,1.564
2023-03-19,1.564
2023-03-20,1.532
2023-03-21,1.533
2023-03-22,1.561
2023-03-23,1.561
2023-03-24,1.567
2023-03-25,1.567
2023-03-26,1.567
2023-03-27,1.552
2023-03-28,1.558
2023-03-29,1.533
2023-03-30,1.532
2023-03-31,1.493
2023-04-01,1.493
2023-04-02,1.493
2023-04-03,1.484
2023-04-04,1.556
2023-04-05,1.56
2023-04-06,1.56
2023-04-07,1.56
2023-04-08,1.56
2023-04-09,1.56
2023-04-10,1.557
2023-04-11,1.52
2023-04-12,1.517
2023-04-13,1.516
2023-04-14,1.523
2023-04-15,1.523
2023-04-16,1.523
2023-04-17,1.507
2023-04-18,1.5
2023-04-19,1.477
2023-04-20,1.469
2023-04-21,1.477
2023-04-22,1.477
2023-04-23,1.477
2023-04-24,1.458
2023-04-25,1.575
2023-04-26,1.638
2023-04-27,1.594
2023-04-28,1.58
2023-04-29,1.58
2023-04-30,1.58
2023-05-01,1.6
2023-05-02,1.61
2023-05-03,1.619
2023-05-04,1.626
2023-05-05,1.603
2023-05-06,1.603
2023-05-07,1.603
2023-05-08,1.617
2023-05-09,1.613
2023-05-10,1.618
2023-05-11,1.646
2023-05-12,1.651
2023-05-13,1.651
2023-05-14,1.651
2023-05-15,1.644
2023-05-16,1.684
2023-05-17,1.681
2023-05-18,1.632
2023-05-19,1.65
2023-05-20,1.65
2023-05-21,1.65
2023-05-22,1.647
2023-05-23,1.656
2023-05-24,1.697
2023-05-25,1.707
2023-05-26,1.698
2023-05-27,1.698
2023-05-28,1.698
2023-05-29,1.698
2023-05-30,1.71
2023-05-31,1.728
2023-06-01,1.734
2023-06-02,1.668
2023-06-03,1.668
2023-06-04,1.668
2023-06-05,1.653
2023-06-06,1.627
2023-06-07,1.595
2023-06-08,1.611
2023-06-09,1.621
2023-06-10,1.621
2023-06-11,1.621
2023-06-12,1.574
2023-06-13,1.553
2023-06-14,1.552
2023-06-15,1.523
2023-06-16,1.534
2023-06-17,1.534
2023-06-18,1.534
2023-06-19,1.534
2023-06-20,1.531
2023-06-21,1.536
2023-06-22,1.533
2023-06-23,1.531
2023-06-24,1.531
2023-06-25,1.531
2023-06-26,1.513
2023-06-27,1.478
2023-06-28,1.491
2023-06-29,1.47
2023-06-30,1.458
2023-07-01,1.458
2023-07-02,1.458
2023-07-03,1.44
2023-07-04,1.44
2023-07-05,1.473
2023-07-06,1.491
2023-07-07,1.478
2023-07-08,1.478
2023-07-09,1.478
2023-07-10,1.468
2023-07-11,1.451
2023-07-12,1.431
2023-07-13,1.434
2023-07-14,1.449
2023-07-15,1.449
2023-07-16,1.449
2023-07-17,1.463
2023-07-18,1.46
2023-07-19,1.442
2023-07-20,1.417
2023-07-21,1.425
2023-07-22,1.425
2023-07-23,1.425
2023-07-24,1.407
2023-07-25,1.375
2023-07-26,1.365
2023-07-27,1.384
2023-07-28,1.368
2023-07-29,1.368
2023-07-30,1.368
2023-07-31,1.387
2023-08-01,1.392
2023-08-02,1.381
2023-08-03,1.384
2023-08-04,1.366
2023-08-05,1.366
2023-08-06,1.366
2023-08-07,1.36
2023-08-08,1.38
2023-08-09,1.384
2023-08-10,1.399
2023-08-11,1.412
2023-08-12,1.412
2023-08-13,1.412
2023-08-14,1.389
2023-08-15,1.398
2023-08-16,1.4
2023-08-17,1.443
2023-08-18,1.434
2023-08-19,1.434
2023-08-20,1.434
2023-08-21,1.454
2023-08-22,1.454
2023-08-23,1.449
2023-08-24,1.448
2023-08-25,1.452
2023-08-26,1.452
2023-08-27,1.452
2023-08-28,1.42
2023-08-29,1.385
2023-08-30,1.386
2023-08-31,1.396
2023-09-01,1.403
2023-09-02,1.403
2023-09-03,1.403
2023-09-04,1.403
2023-09-05,1.469
2023-09-06,1.495
2023-09-07,1.5
2023-09-08,1.485
2023-09-09,1.485
2023-09-10,1.485
2023-09-11,1.473
2023-09-12,1.477
2023-09-13,1.488
2023-09-14,1.474
2023-09-15,1.478
2023-09-16,1.478
2023-09-17,1.478
2023-09-18,1.49
2023-09-19,1.49
