,BANR US Equity
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,4.798
2020-11-20,4.882
2020-11-21,4.882
2020-11-22,4.882
2020-11-23,4.833
2020-11-24,4.609
2020-11-25,4.682
2020-11-26,4.682
2020-11-27,4.802
2020-11-28,4.802
2020-11-29,4.802
2020-11-30,5.099
2020-12-01,4.924
2020-12-02,4.888
2020-12-03,4.727
2020-12-04,4.604
2020-12-05,4.604
2020-12-06,4.604
2020-12-07,4.614
2020-12-08,4.63
2020-12-09,4.647
2020-12-10,4.612
2020-12-11,4.712
2020-12-12,4.712
2020-12-13,4.712
2020-12-14,4.633
2020-12-15,4.566
2020-12-16,4.593
2020-12-17,4.634
2020-12-18,4.781
2020-12-19,4.781
2020-12-20,4.781
2020-12-21,4.713
2020-12-22,4.773
2020-12-23,4.645
2020-12-24,4.618
2020-12-25,4.618
2020-12-26,4.618
2020-12-27,4.618
2020-12-28,4.555
2020-12-29,4.655
2020-12-30,4.577
2020-12-31,4.523
2021-01-01,4.523
2021-01-02,4.523
2021-01-03,4.523
2021-01-04,4.569
2021-01-05,4.532
2021-01-06,4.12
2021-01-07,4.072
2021-01-08,4.182
2021-01-09,4.182
2021-01-10,4.182
2021-01-11,4.121
2021-01-12,4.045
2021-01-13,4.149
2021-01-14,4.04
2021-01-15,4.115
2021-01-16,4.115
2021-01-17,4.115
2021-01-18,4.115
2021-01-19,4.078
2021-01-20,4.086
2021-01-21,4.182
2021-01-22,4.066
2021-01-23,4.066
2021-01-24,4.066
2021-01-25,4.515
2021-01-26,4.621
2021-01-27,4.976
2021-01-28,4.883
2021-01-29,5.117
2021-01-30,5.117
2021-01-31,5.117
2021-02-01,4.913
2021-02-02,4.779
2021-02-03,4.819
2021-02-04,4.649
2021-02-05,4.625
2021-02-06,4.625
2021-02-07,4.625
2021-02-08,4.543
2021-02-09,4.519
2021-02-10,4.518
2021-02-11,4.506
2021-02-12,4.452
2021-02-13,4.452
2021-02-14,4.452
2021-02-15,4.452
2021-02-16,4.398
2021-02-17,4.419
2021-02-18,4.434
2021-02-19,4.362
2021-02-20,4.362
2021-02-21,4.362
2021-02-22,4.246
2021-02-23,4.214
2021-02-24,4.131
2021-02-25,4.258
2021-02-26,4.333
2021-02-27,4.333
2021-02-28,4.333
2021-03-01,4.18
2021-03-02,4.246
2021-03-03,4.175
2021-03-04,4.19
2021-03-05,3.98
2021-03-06,3.98
2021-03-07,3.98
2021-03-08,3.862
2021-03-09,3.956
2021-03-10,3.881
2021-03-11,3.895
2021-03-12,3.802
2021-03-13,3.802
2021-03-14,3.802
2021-03-15,3.906
2021-03-16,3.96
2021-03-17,3.968
2021-03-18,3.917
2021-03-19,3.919
2021-03-20,3.919
2021-03-21,3.919
2021-03-22,4.08
2021-03-23,4.238
2021-03-24,4.249
2021-03-25,4.17
2021-03-26,4.01
2021-03-27,4.01
2021-03-28,4.01
2021-03-29,4.194
2021-03-30,4.102
2021-03-31,4.207
2021-04-01,4.159
2021-04-02,4.159
2021-04-03,4.159
2021-04-04,4.159
2021-04-05,4.174
2021-04-06,4.164
2021-04-07,4.213
2021-04-08,4.206
2021-04-09,4.164
2021-04-10,4.164
2021-04-11,4.164
2021-04-12,4.125
2021-04-13,4.191
2021-04-14,4.127
2021-04-15,4.147
2021-04-16,4.109
2021-04-17,4.109
2021-04-18,4.109
2021-04-19,4.124
2021-04-20,4.26
2021-04-21,4.141
2021-04-22,4.151
2021-04-23,3.982
2021-04-24,3.982
2021-04-25,3.982
2021-04-26,4.002
2021-04-27,4.005
2021-04-28,3.969
2021-04-29,3.97
2021-04-30,4.045
2021-05-01,4.045
2021-05-02,4.045
2021-05-03,4.002
2021-05-04,3.979
2021-05-05,4.007
2021-05-06,3.952
2021-05-07,3.946
2021-05-08,3.946
2021-05-09,3.946
2021-05-10,3.987
2021-05-11,4.039
2021-05-12,4.094
2021-05-13,3.907
2021-05-14,3.868
2021-05-15,3.868
2021-05-16,3.868
2021-05-17,3.87
2021-05-18,3.967
2021-05-19,3.952
2021-05-20,3.917
2021-05-21,3.835
2021-05-22,3.835
2021-05-23,3.835
2021-05-24,3.899
2021-05-25,4.075
2021-05-26,3.977
2021-05-27,3.905
2021-05-28,3.9
2021-05-29,3.9
2021-05-30,3.9
2021-05-31,3.9
2021-06-01,3.859
2021-06-02,3.903
2021-06-03,3.876
2021-06-04,3.872
2021-06-05,3.872
2021-06-06,3.872
2021-06-07,3.84
2021-06-08,3.818
2021-06-09,3.896
2021-06-10,3.975
2021-06-11,3.986
2021-06-12,3.986
2021-06-13,3.986
2021-06-14,4.024
2021-06-15,3.993
2021-06-16,3.955
2021-06-17,4.109
2021-06-18,4.308
2021-06-19,4.308
2021-06-20,4.308
2021-06-21,4.126
2021-06-22,4.126
2021-06-23,4.165
2021-06-24,4.105
2021-06-25,4.016
2021-06-26,4.016
2021-06-27,4.016
2021-06-28,4.197
2021-06-29,4.224
2021-06-30,4.211
2021-07-01,4.177
2021-07-02,4.242
2021-07-03,4.242
2021-07-04,4.242
2021-07-05,4.242
2021-07-06,4.346
2021-07-07,3.841
2021-07-08,3.929
2021-07-09,3.791
2021-07-10,3.791
2021-07-11,3.791
2021-07-12,3.76
2021-07-13,3.873
2021-07-14,3.879
2021-07-15,3.812
2021-07-16,3.887
2021-07-17,3.887
2021-07-18,3.887
2021-07-19,4.044
2021-07-20,3.946
2021-07-21,3.855
2021-07-22,3.883
2021-07-23,3.669
2021-07-24,3.669
2021-07-25,3.669
2021-07-26,3.659
2021-07-27,3.675
2021-07-28,3.636
2021-07-29,3.605
2021-07-30,3.621
2021-07-31,3.621
2021-08-01,3.621
2021-08-02,3.664
2021-08-03,3.599
2021-08-04,3.629
2021-08-05,3.552
2021-08-06,3.439
2021-08-07,3.439
2021-08-08,3.439
2021-08-09,3.476
2021-08-10,3.419
2021-08-11,3.357
2021-08-12,3.37
2021-08-13,3.392
2021-08-14,3.392
2021-08-15,3.392
2021-08-16,3.396
2021-08-17,3.439
2021-08-18,3.473
2021-08-19,3.471
2021-08-20,3.427
2021-08-21,3.427
2021-08-22,3.427
2021-08-23,3.384
2021-08-24,3.366
2021-08-25,3.35
2021-08-26,3.399
2021-08-27,3.269
2021-08-28,3.269
2021-08-29,3.269
2021-08-30,3.358
2021-08-31,3.332
2021-09-01,3.35
2021-09-02,3.343
2021-09-03,3.343
2021-09-04,3.343
2021-09-05,3.343
2021-09-06,3.343
2021-09-07,3.343
2021-09-08,3.343
2021-09-09,3.343
2021-09-10,3.343
2021-09-11,3.343
2021-09-12,3.343
2021-09-13,3.343
2021-09-14,3.343
2021-09-15,3.343
2021-09-16,3.343
2021-09-17,3.343
2021-09-18,3.343
2021-09-19,3.343
2021-09-20,3.343
2021-09-21,3.343
2021-09-22,3.343
2021-09-23,3.343
2021-09-24,3.343
2021-09-25,3.343
2021-09-26,3.343
2021-09-27,3.343
2021-09-28,3.343
2021-09-29,3.343
2021-09-30,3.343
2021-10-01,3.343
2021-10-02,3.343
2021-10-03,3.343
2021-10-04,3.343
2021-10-05,3.343
2021-10-06,3.343
2021-10-07,3.343
2021-10-08,3.343
2021-10-09,3.343
2021-10-10,3.343
2021-10-11,3.343
2021-10-12,3.343
2021-10-13,3.343
2021-10-14,3.343
2021-10-15,3.343
2021-10-16,3.343
2021-10-17,3.343
2021-10-18,3.343
2021-10-19,3.343
2021-10-20,3.343
2021-10-21,3.343
2021-10-22,3.343
2021-10-23,3.343
2021-10-24,3.343
2021-10-25,3.343
2021-10-26,3.343
2021-10-27,3.343
2021-10-28,3.343
2021-10-29,3.343
2021-10-30,3.343
2021-10-31,3.343
2021-11-01,3.343
2021-11-02,3.343
2021-11-03,3.343
2021-11-04,3.343
2021-11-05,3.343
2021-11-06,3.343
2021-11-07,3.343
2021-11-08,3.343
2021-11-09,3.343
2021-11-10,3.343
2021-11-11,3.343
2021-11-12,3.343
2021-11-13,3.343
2021-11-14,3.343
2021-11-15,3.343
2021-11-16,3.343
2021-11-17,3.343
2021-11-18,3.343
2021-11-19,3.343
2021-11-20,3.343
2021-11-21,3.343
2021-11-22,3.343
2021-11-23,3.343
2021-11-24,3.343
2021-11-25,3.343
2021-11-26,3.343
2021-11-27,3.343
2021-11-28,3.343
2021-11-29,3.343
2021-11-30,3.343
2021-12-01,3.343
2021-12-02,3.343
2021-12-03,3.343
2021-12-04,3.343
2021-12-05,3.343
2021-12-06,3.343
2021-12-07,3.343
2021-12-08,3.343
2021-12-09,3.343
2021-12-10,3.343
2021-12-11,3.343
2021-12-12,3.343
2021-12-13,3.343
2021-12-14,3.343
2021-12-15,3.343
2021-12-16,3.343
2021-12-17,3.343
2021-12-18,3.343
2021-12-19,3.343
2021-12-20,3.343
2021-12-21,3.343
2021-12-22,3.343
2021-12-23,3.343
2021-12-24,3.343
2021-12-25,3.343
2021-12-26,3.343
2021-12-27,3.343
2021-12-28,3.343
2021-12-29,3.343
2021-12-30,3.343
2021-12-31,3.343
2022-01-01,3.343
2022-01-02,3.343
2022-01-03,3.343
2022-01-04,3.343
2022-01-05,3.343
2022-01-06,3.343
2022-01-07,3.343
2022-01-08,3.343
2022-01-09,3.343
2022-01-10,3.343
2022-01-11,3.343
2022-01-12,3.343
2022-01-13,3.343
2022-01-14,3.343
2022-01-15,3.343
2022-01-16,3.343
2022-01-17,3.343
2022-01-18,3.343
2022-01-19,3.343
2022-01-20,3.343
2022-01-21,4.088
2022-01-22,4.088
2022-01-23,4.088
2022-01-24,3.939
2022-01-25,3.974
2022-01-26,4.06
2022-01-27,4.149
2022-01-28,4.141
2022-01-29,4.141
2022-01-30,4.141
2022-01-31,4.091
2022-02-01,4.119
2022-02-02,4.164
2022-02-03,4.193
2022-02-04,4.113
2022-02-05,4.113
2022-02-06,4.113
2022-02-07,4.062
2022-02-08,3.961
2022-02-09,4.001
2022-02-10,3.982
2022-02-11,3.985
2022-02-12,3.985
2022-02-13,3.985
2022-02-14,4.066
2022-02-15,3.966
2022-02-16,3.965
2022-02-17,4.079
2022-02-18,4.041
2022-02-19,4.041
2022-02-20,4.041
2022-02-21,4.041
2022-02-22,4.067
2022-02-23,4.134
2022-02-24,4.229
2022-02-25,4.06
2022-02-26,4.06
2022-02-27,4.06
2022-02-28,4.095
2022-03-01,4.257
2022-03-02,4.105
2022-03-03,4.117
2022-03-04,4.315
2022-03-05,4.315
2022-03-06,4.315
2022-03-07,4.48
2022-03-08,4.439
2022-03-09,4.298
2022-03-10,4.511
2022-03-11,4.458
2022-03-12,4.458
2022-03-13,4.458
2022-03-14,4.406
2022-03-15,4.456
2022-03-16,4.351
2022-03-17,4.391
2022-03-18,4.423
2022-03-19,4.423
2022-03-20,4.423
2022-03-21,4.453
2022-03-22,4.408
2022-03-23,4.604
2022-03-24,4.509
2022-03-25,4.388
2022-03-26,4.388
2022-03-27,4.388
2022-03-28,4.245
2022-03-29,4.149
2022-03-30,4.321
2022-03-31,4.365
2022-04-01,4.398
2022-04-02,4.398
2022-04-03,4.398
2022-04-04,4.446
2022-04-05,4.5
2022-04-06,4.544
2022-04-07,4.588
2022-04-08,4.604
2022-04-09,4.604
2022-04-10,4.604
2022-04-11,4.62
2022-04-12,4.6
2022-04-13,4.549
2022-04-14,4.623
2022-04-15,4.623
2022-04-16,4.623
2022-04-17,4.623
2022-04-18,4.626
2022-04-19,4.449
2022-04-20,4.406
2022-04-21,3.865
2022-04-22,3.852
2022-04-23,3.852
2022-04-24,3.852
2022-04-25,3.847
2022-04-26,3.956
2022-04-27,3.982
2022-04-28,3.936
2022-04-29,4.058
2022-04-30,4.058
2022-05-01,4.058
2022-05-02,4.003
2022-05-03,3.951
2022-05-04,3.827
2022-05-05,3.932
2022-05-06,3.896
2022-05-07,3.896
2022-05-08,3.896
2022-05-09,3.88
2022-05-10,3.937
2022-05-11,3.983
2022-05-12,3.972
2022-05-13,3.951
2022-05-14,3.951
2022-05-15,3.951
2022-05-16,4.013
2022-05-17,3.863
2022-05-18,3.919
2022-05-19,3.99
2022-05-20,3.965
2022-05-21,3.965
2022-05-22,3.965
2022-05-23,3.863
2022-05-24,3.87
2022-05-25,3.924
2022-05-26,3.816
2022-05-27,3.749
2022-05-28,3.749
2022-05-29,3.749
2022-05-30,3.749
2022-05-31,3.802
2022-06-01,3.85
2022-06-02,3.788
2022-06-03,3.812
2022-06-04,3.812
2022-06-05,3.812
2022-06-06,3.809
2022-06-07,3.76
2022-06-08,3.847
2022-06-09,3.957
2022-06-10,4.033
2022-06-11,4.033
2022-06-12,4.033
2022-06-13,4.115
2022-06-14,4.066
2022-06-15,4.08
2022-06-16,4.201
2022-06-17,4.086
2022-06-18,4.086
2022-06-19,4.086
2022-06-20,4.086
2022-06-21,3.95
2022-06-22,3.982
2022-06-23,4.015
2022-06-24,3.953
2022-06-25,3.953
2022-06-26,3.953
2022-06-27,3.921
2022-06-28,3.915
2022-06-29,4.036
2022-06-30,4.006
2022-07-01,3.882
2022-07-02,3.882
2022-07-03,3.882
2022-07-04,3.882
2022-07-05,3.9
2022-07-06,3.899
2022-07-07,3.913
2022-07-08,3.922
2022-07-09,3.922
2022-07-10,3.922
2022-07-11,3.943
2022-07-12,3.943
2022-07-13,3.988
2022-07-14,4.051
2022-07-15,3.944
2022-07-16,3.944
2022-07-17,3.944
2022-07-18,3.929
2022-07-19,3.819
2022-07-20,3.761
2022-07-21,3.8
2022-07-22,3.368
2022-07-23,3.368
2022-07-24,3.368
2022-07-25,3.299
2022-07-26,3.283
2022-07-27,3.238
2022-07-28,3.219
2022-07-29,3.169
2022-07-30,3.169
2022-07-31,3.169
2022-08-01,3.175
2022-08-02,3.22
2022-08-03,3.224
2022-08-04,3.24
2022-08-05,3.201
2022-08-06,3.201
2022-08-07,3.201
2022-08-08,3.201
2022-08-09,3.177
2022-08-10,3.164
2022-08-11,3.118
2022-08-12,3.059
2022-08-13,3.059
2022-08-14,3.059
2022-08-15,3.046
2022-08-16,3.022
2022-08-17,3.045
2022-08-18,3.034
2022-08-19,3.05
2022-08-20,3.05
2022-08-21,3.05
2022-08-22,3.11
2022-08-23,3.153
2022-08-24,3.163
2022-08-25,3.108
2022-08-26,3.167
2022-08-27,3.167
2022-08-28,3.167
2022-08-29,3.224
2022-08-30,3.179
2022-08-31,3.21
2022-09-01,3.261
2022-09-02,3.282
2022-09-03,3.282
2022-09-04,3.282
2022-09-05,3.282
2022-09-06,3.342
2022-09-07,3.311
2022-09-08,3.27
2022-09-09,3.194
2022-09-10,3.194
2022-09-11,3.194
2022-09-12,3.183
2022-09-13,3.247
2022-09-14,3.241
2022-09-15,3.209
2022-09-16,3.171
2022-09-17,3.171
2022-09-18,3.171
2022-09-19,3.131
2022-09-20,3.124
2022-09-21,3.145
2022-09-22,3.207
2022-09-23,3.243
2022-09-24,3.243
2022-09-25,3.243
2022-09-26,3.247
2022-09-27,3.316
2022-09-28,3.309
2022-09-29,3.315
2022-09-30,3.301
2022-10-01,3.301
2022-10-02,3.301
2022-10-03,3.214
2022-10-04,3.105
2022-10-05,3.125
2022-10-06,3.118
2022-10-07,3.193
2022-10-08,3.193
2022-10-09,3.193
2022-10-10,3.175
2022-10-11,3.133
2022-10-12,3.113
2022-10-13,2.993
2022-10-14,3.004
2022-10-15,3.004
2022-10-16,3.004
2022-10-17,2.919
2022-10-18,2.888
2022-10-19,2.921
2022-10-20,2.895
2022-10-21,2.91
2022-10-22,2.91
2022-10-23,2.91
2022-10-24,2.83
2022-10-25,2.787
2022-10-26,2.731
2022-10-27,2.68
2022-10-28,2.583
2022-10-29,2.583
2022-10-30,2.583
2022-10-31,2.551
2022-11-01,2.58
2022-11-02,2.64
2022-11-03,2.682
2022-11-04,2.634
2022-11-05,2.634
2022-11-06,2.634
2022-11-07,2.627
2022-11-08,2.686
2022-11-09,2.727
2022-11-10,2.649
2022-11-11,2.697
2022-11-12,2.697
2022-11-13,2.697
2022-11-14,2.742
2022-11-15,2.732
2022-11-16,2.756
2022-11-17,2.774
2022-11-18,2.737
2022-11-19,2.737
2022-11-20,2.737
2022-11-21,2.727
2022-11-22,2.707
2022-11-23,2.709
2022-11-24,2.709
2022-11-25,2.663
2022-11-26,2.663
2022-11-27,2.663
2022-11-28,2.751
2022-11-29,2.749
2022-11-30,2.7
2022-12-01,2.7
2022-12-02,2.7
2022-12-03,2.7
2022-12-04,2.7
2022-12-05,2.865
2022-12-06,2.891
2022-12-07,2.892
2022-12-08,2.894
2022-12-09,2.883
2022-12-10,2.883
2022-12-11,2.883
2022-12-12,2.887
2022-12-13,2.899
2022-12-14,2.987
2022-12-15,3.054
2022-12-16,3.098
2022-12-17,3.098
2022-12-18,3.098
2022-12-19,3.067
2022-12-20,3.075
2022-12-21,3.037
2022-12-22,3.058
2022-12-23,3.027
2022-12-24,3.027
2022-12-25,3.027
2022-12-26,3.027
2022-12-27,2.999
2022-12-28,3.041
2022-12-29,2.997
2022-12-30,3.017
2022-12-31,3.017
2023-01-01,3.017
2023-01-02,3.017
2023-01-03,3.03
2023-01-04,3.044
2023-01-05,3.063
2023-01-06,2.996
2023-01-07,2.996
2023-01-08,2.996
2023-01-09,3.049
2023-01-10,3.014
2023-01-11,3.007
2023-01-12,2.947
2023-01-13,2.957
2023-01-14,2.957
2023-01-15,2.957
2023-01-16,2.957
2023-01-17,2.994
2023-01-18,3.11
2023-01-19,3.111
2023-01-20,3.152
2023-01-21,3.152
2023-01-22,3.152
2023-01-23,3.345
2023-01-24,3.344
2023-01-25,3.389
2023-01-26,3.363
2023-01-27,3.379
2023-01-28,3.379
2023-01-29,3.379
2023-01-30,3.37
2023-01-31,3.197
2023-02-01,3.159
2023-02-02,3.116
2023-02-03,3.097
2023-02-04,3.097
2023-02-05,3.097
2023-02-06,3.159
2023-02-07,3.142
2023-02-08,3.165
2023-02-09,3.224
2023-02-10,3.232
2023-02-11,3.232
2023-02-12,3.232
2023-02-13,3.228
2023-02-14,3.243
2023-02-15,3.218
2023-02-16,3.253
2023-02-17,3.202
2023-02-18,3.202
2023-02-19,3.202
2023-02-20,3.202
2023-02-21,3.258
2023-02-22,3.259
2023-02-23,3.234
2023-02-24,3.223
2023-02-25,3.223
2023-02-26,3.223
2023-02-27,3.255
2023-02-28,3.267
2023-03-01,3.261
2023-03-02,3.276
2023-03-03,3.257
2023-03-04,3.257
2023-03-05,3.257
2023-03-06,3.275
2023-03-07,3.359
2023-03-08,3.363
2023-03-09,3.619
2023-03-10,3.639
2023-03-11,3.639
2023-03-12,3.639
2023-03-13,3.963
2023-03-14,3.795
2023-03-15,3.8
2023-03-16,3.59
2023-03-17,3.836
2023-03-18,3.836
2023-03-19,3.836
2023-03-20,3.837
2023-03-21,3.659
2023-03-22,3.846
2023-03-23,3.884
2023-03-24,3.778
2023-03-25,3.778
2023-03-26,3.778
2023-03-27,3.788
2023-03-28,3.753
2023-03-29,3.762
2023-03-30,3.824
2023-03-31,3.759
2023-04-01,3.759
2023-04-02,3.759
2023-04-03,3.798
2023-04-04,3.864
2023-04-05,3.927
2023-04-06,3.862
2023-04-07,3.862
2023-04-08,3.862
2023-04-09,3.862
2023-04-10,3.862
2023-04-11,3.901
2023-04-12,3.941
2023-04-13,3.894
2023-04-14,3.966
2023-04-15,3.966
2023-04-16,3.966
2023-04-17,3.86
2023-04-18,3.936
2023-04-19,3.886
2023-04-20,4.021
2023-04-21,4.11
2023-04-22,4.11
2023-04-23,4.11
2023-04-24,4.182
2023-04-25,4.293
2023-04-26,4.245
2023-04-27,4.139
2023-04-28,4.151
2023-04-29,4.151
2023-04-30,4.151
2023-05-01,4.232
2023-05-02,4.479
2023-05-03,4.523
2023-05-04,4.707
2023-05-05,4.544
2023-05-06,4.544
2023-05-07,4.544
2023-05-08,4.619
2023-05-09,4.721
2023-05-10,4.754
2023-05-11,4.863
2023-05-12,4.87
2023-05-13,4.87
2023-05-14,4.87
2023-05-15,4.668
2023-05-16,4.684
2023-05-17,4.351
2023-05-18,4.396
2023-05-19,4.505
2023-05-20,4.505
2023-05-21,4.505
2023-05-22,4.369
2023-05-23,4.311
2023-05-24,4.43
2023-05-25,4.529
2023-05-26,4.482
2023-05-27,4.482
2023-05-28,4.482
2023-05-29,4.482
2023-05-30,4.541
2023-05-31,4.743
2023-06-01,4.583
2023-06-02,4.289
2023-06-03,4.289
2023-06-04,4.289
2023-06-05,4.484
2023-06-06,4.302
2023-06-07,4.264
2023-06-08,4.367
2023-06-09,4.422
2023-06-10,4.422
2023-06-11,4.422
2023-06-12,4.484
2023-06-13,4.426
2023-06-14,4.502
2023-06-15,4.354
2023-06-16,4.419
2023-06-17,4.419
2023-06-18,4.419
2023-06-19,4.419
2023-06-20,4.468
2023-06-21,4.534
2023-06-22,4.637
2023-06-23,4.696
2023-06-24,4.696
2023-06-25,4.696
2023-06-26,4.703
2023-06-27,4.647
2023-06-28,4.67
2023-06-29,4.603
2023-06-30,4.699
2023-07-01,4.699
2023-07-02,4.699
2023-07-03,4.575
2023-07-04,4.575
2023-07-05,4.628
2023-07-06,4.689
2023-07-07,4.605
2023-07-08,4.605
2023-07-09,4.605
2023-07-10,4.59
2023-07-11,4.537
2023-07-12,4.41
2023-07-13,4.342
2023-07-14,4.407
2023-07-15,4.407
2023-07-16,4.407
2023-07-17,4.354
2023-07-18,4.231
2023-07-19,4.154
2023-07-20,4.491
2023-07-21,4.612
2023-07-22,4.612
2023-07-23,4.612
2023-07-24,4.554
2023-07-25,4.617
2023-07-26,4.318
2023-07-27,4.378
2023-07-28,4.314
2023-07-29,4.314
2023-07-30,4.314
2023-07-31,4.267
2023-08-01,4.272
2023-08-02,4.298
2023-08-03,4.242
2023-08-04,4.223
2023-08-05,4.223
2023-08-06,4.223
2023-08-07,4.181
2023-08-08,4.264
2023-08-09,4.304
2023-08-10,4.322
2023-08-11,4.333
2023-08-12,4.333
2023-08-13,4.333
2023-08-14,4.368
2023-08-15,4.51
2023-08-16,4.559
2023-08-17,4.554
2023-08-18,4.579
2023-08-19,4.579
2023-08-20,4.579
2023-08-21,4.638
2023-08-22,4.779
2023-08-23,4.682
2023-08-24,4.673
2023-08-25,4.707
2023-08-26,4.707
2023-08-27,4.707
2023-08-28,4.65
2023-08-29,4.654
2023-08-30,4.677
2023-08-31,4.665
2023-09-01,4.549
2023-09-02,4.549
2023-09-03,4.549
2023-09-04,4.549
2023-09-05,4.644
2023-09-06,4.675
2023-09-07,4.698
2023-09-08,4.653
2023-09-09,4.653
2023-09-10,4.653
2023-09-11,4.677
2023-09-12,4.652
2023-09-13,4.696
2023-09-14,4.647
2023-09-15,4.687
2023-09-16,4.687
2023-09-17,4.687
2023-09-18,4.698
2023-09-19,4.759
