,IPG US Equity
2020-10-30,7.222
2020-10-31,7.222
2020-11-01,7.222
2020-11-02,6.905
2020-11-03,6.751
2020-11-04,6.912
2020-11-05,6.689
2020-11-06,6.879
2020-11-07,6.879
2020-11-08,6.879
2020-11-09,6.194
2020-11-10,6.099
2020-11-11,6.29
2020-11-12,6.379
2020-11-13,6.174
2020-11-14,6.174
2020-11-15,6.174
2020-11-16,6.037
2020-11-17,5.965
2020-11-18,6.105
2020-11-19,6.051
2020-11-20,6.034
2020-11-21,6.034
2020-11-22,6.034
2020-11-23,5.914
2020-11-24,5.624
2020-11-25,5.653
2020-11-26,5.653
2020-11-27,5.73
2020-11-28,5.73
2020-11-29,5.73
2020-11-30,5.798
2020-12-01,5.668
2020-12-02,5.568
2020-12-03,5.453
2020-12-04,5.391
2020-12-05,5.391
2020-12-06,5.391
2020-12-07,5.418
2020-12-08,5.46
2020-12-09,5.45
2020-12-10,5.464
2020-12-11,5.306
2020-12-12,5.306
2020-12-13,5.306
2020-12-14,5.356
2020-12-15,5.247
2020-12-16,5.267
2020-12-17,5.333
2020-12-18,5.302
2020-12-19,5.302
2020-12-20,5.302
2020-12-21,5.42
2020-12-22,5.504
2020-12-23,5.397
2020-12-24,5.397
2020-12-25,5.397
2020-12-26,5.397
2020-12-27,5.397
2020-12-28,5.335
2020-12-29,5.36
2020-12-30,5.41
2020-12-31,5.397
2021-01-01,5.397
2021-01-02,5.397
2021-01-03,5.397
2021-01-04,5.485
2021-01-05,5.457
2021-01-06,5.067
2021-01-07,5.189
2021-01-08,5.215
2021-01-09,5.215
2021-01-10,5.215
2021-01-11,5.198
2021-01-12,5.17
2021-01-13,5.194
2021-01-14,5.091
2021-01-15,5.089
2021-01-16,5.089
2021-01-17,5.089
2021-01-18,5.089
2021-01-19,5.091
2021-01-20,5.143
2021-01-21,5.143
2021-01-22,5.164
2021-01-23,5.164
2021-01-24,5.164
2021-01-25,5.147
2021-01-26,5.035
2021-01-27,5.143
2021-01-28,5.156
2021-01-29,5.273
2021-01-30,5.273
2021-01-31,5.273
2021-02-01,5.114
2021-02-02,5.047
2021-02-03,4.984
2021-02-04,4.918
2021-02-05,4.886
2021-02-06,4.886
2021-02-07,4.886
2021-02-08,4.77
2021-02-09,4.828
2021-02-10,5.17
2021-02-11,5.185
2021-02-12,5.153
2021-02-13,5.153
2021-02-14,5.153
2021-02-15,5.153
2021-02-16,5.104
2021-02-17,5.045
2021-02-18,5.116
2021-02-19,4.966
2021-02-20,4.966
2021-02-21,4.966
2021-02-22,4.792
2021-02-23,4.944
2021-02-24,4.868
2021-02-25,5.039
2021-02-26,4.979
2021-02-27,4.979
2021-02-28,4.979
2021-03-01,4.855
2021-03-02,4.824
2021-03-03,4.768
2021-03-04,4.826
2021-03-05,4.665
2021-03-06,4.665
2021-03-07,4.665
2021-03-08,4.557
2021-03-09,4.759
2021-03-10,4.648
2021-03-11,4.63
2021-03-12,4.58
2021-03-13,4.58
2021-03-14,4.58
2021-03-15,4.635
2021-03-16,4.632
2021-03-17,4.531
2021-03-18,4.571
2021-03-19,4.583
2021-03-20,4.583
2021-03-21,4.583
2021-03-22,4.633
2021-03-23,4.802
2021-03-24,4.873
2021-03-25,4.754
2021-03-26,4.769
2021-03-27,4.769
2021-03-28,4.769
2021-03-29,4.782
2021-03-30,4.627
2021-03-31,4.645
2021-04-01,4.621
2021-04-02,4.621
2021-04-03,4.621
2021-04-04,4.621
2021-04-05,4.6
2021-04-06,4.583
2021-04-07,4.594
2021-04-08,4.605
2021-04-09,4.613
2021-04-10,4.613
2021-04-11,4.613
2021-04-12,4.522
2021-04-13,4.591
2021-04-14,4.533
2021-04-15,4.457
2021-04-16,4.432
2021-04-17,4.432
2021-04-18,4.432
2021-04-19,4.455
2021-04-20,4.519
2021-04-21,4.419
2021-04-22,4.577
2021-04-23,4.563
2021-04-24,4.563
2021-04-25,4.563
2021-04-26,4.563
2021-04-27,4.545
2021-04-28,4.357
2021-04-29,4.233
2021-04-30,4.282
2021-05-01,4.282
2021-05-02,4.282
2021-05-03,4.239
2021-05-04,4.173
2021-05-05,4.165
2021-05-06,4.129
2021-05-07,4.062
2021-05-08,4.062
2021-05-09,4.062
2021-05-10,4.146
2021-05-11,4.197
2021-05-12,4.312
2021-05-13,4.205
2021-05-14,4.181
2021-05-15,4.181
2021-05-16,4.181
2021-05-17,4.174
2021-05-18,4.183
2021-05-19,4.172
2021-05-20,4.117
2021-05-21,4.093
2021-05-22,4.093
2021-05-23,4.093
2021-05-24,4.079
2021-05-25,4.149
2021-05-26,4.1
2021-05-27,4.079
2021-05-28,4.035
2021-05-29,4.035
2021-05-30,4.035
2021-05-31,4.035
2021-06-01,4.0
2021-06-02,4.007
2021-06-03,3.997
2021-06-04,3.997
2021-06-05,3.997
2021-06-06,3.997
2021-06-07,4.033
2021-06-08,4.018
2021-06-09,4.024
2021-06-10,4.019
2021-06-11,3.948
2021-06-12,3.948
2021-06-13,3.948
2021-06-14,4.011
2021-06-15,3.997
2021-06-16,4.032
2021-06-17,4.159
2021-06-18,4.28
2021-06-19,4.28
2021-06-20,4.28
2021-06-21,4.164
2021-06-22,4.223
2021-06-23,4.21
2021-06-24,4.144
2021-06-25,4.123
2021-06-26,4.123
2021-06-27,4.123
2021-06-28,4.233
2021-06-29,4.244
2021-06-30,4.151
2021-07-01,4.069
2021-07-02,4.116
2021-07-03,4.116
2021-07-04,4.116
2021-07-05,4.116
2021-07-06,4.198
2021-07-07,4.202
2021-07-08,4.259
2021-07-09,4.111
2021-07-10,4.111
2021-07-11,4.111
2021-07-12,4.121
2021-07-13,4.202
2021-07-14,4.185
2021-07-15,4.241
2021-07-16,4.325
2021-07-17,4.325
2021-07-18,4.325
2021-07-19,4.401
2021-07-20,4.349
2021-07-21,3.906
2021-07-22,3.986
2021-07-23,3.853
2021-07-24,3.853
2021-07-25,3.853
2021-07-26,3.816
2021-07-27,3.848
2021-07-28,3.858
2021-07-29,3.892
2021-07-30,3.846
2021-07-31,3.846
2021-08-01,3.846
2021-08-02,3.825
2021-08-03,3.774
2021-08-04,3.824
2021-08-05,3.727
2021-08-06,3.682
2021-08-07,3.682
2021-08-08,3.682
2021-08-09,3.738
2021-08-10,3.683
2021-08-11,3.626
2021-08-12,3.618
2021-08-13,3.624
2021-08-14,3.624
2021-08-15,3.624
2021-08-16,3.616
2021-08-17,3.631
2021-08-18,3.688
2021-08-19,3.767
2021-08-20,3.731
2021-08-21,3.731
2021-08-22,3.731
2021-08-23,3.674
2021-08-24,3.673
2021-08-25,3.663
2021-08-26,3.731
2021-08-27,3.691
2021-08-28,3.691
2021-08-29,3.691
2021-08-30,3.721
2021-08-31,3.625
2021-09-01,3.633
2021-09-02,3.598
2021-09-03,3.619
2021-09-04,3.619
2021-09-05,3.619
2021-09-06,3.619
2021-09-07,3.666
2021-09-08,3.633
2021-09-09,3.666
2021-09-10,3.733
2021-09-11,3.733
2021-09-12,3.733
2021-09-13,3.647
2021-09-14,3.646
2021-09-15,3.584
2021-09-16,3.641
2021-09-17,3.649
2021-09-18,3.649
2021-09-19,3.649
2021-09-20,3.726
2021-09-21,3.747
2021-09-22,3.649
2021-09-23,3.514
2021-09-24,3.472
2021-09-25,3.472
2021-09-26,3.472
2021-09-27,3.486
2021-09-28,3.595
2021-09-29,3.6
2021-09-30,3.681
2021-10-01,3.567
2021-10-02,3.567
2021-10-03,3.567
2021-10-04,3.602
2021-10-05,3.552
2021-10-06,3.609
2021-10-07,3.578
2021-10-08,3.625
2021-10-09,3.625
2021-10-10,3.625
2021-10-11,3.611
2021-10-12,3.66
2021-10-13,3.665
2021-10-14,3.543
2021-10-15,3.531
2021-10-16,3.531
2021-10-17,3.531
2021-10-18,3.537
2021-10-19,3.528
2021-10-20,3.551
2021-10-21,3.64
2021-10-22,3.652
2021-10-23,3.652
2021-10-24,3.652
2021-10-25,3.734
2021-10-26,3.69
2021-10-27,3.747
2021-10-28,3.682
2021-10-29,3.691
2021-10-30,3.691
2021-10-31,3.691
2021-11-01,3.668
2021-11-02,3.785
2021-11-03,3.767
2021-11-04,3.772
2021-11-05,3.706
2021-11-06,3.706
2021-11-07,3.706
2021-11-08,3.721
2021-11-09,3.746
2021-11-10,3.74
2021-11-11,3.649
2021-11-12,3.714
2021-11-13,3.714
2021-11-14,3.714
2021-11-15,3.736
2021-11-16,3.765
2021-11-17,3.761
2021-11-18,3.89
2021-11-19,3.929
2021-11-20,3.929
2021-11-21,3.929
2021-11-22,3.933
2021-11-23,3.911
2021-11-24,3.916
2021-11-25,3.916
2021-11-26,3.994
2021-11-27,3.994
2021-11-28,3.994
2021-11-29,3.967
2021-11-30,4.034
2021-12-01,4.05
2021-12-02,3.882
2021-12-03,3.89
2021-12-04,3.89
2021-12-05,3.89
2021-12-06,3.856
2021-12-07,3.779
2021-12-08,3.695
2021-12-09,3.671
2021-12-10,3.615
2021-12-11,3.615
2021-12-12,3.615
2021-12-13,3.634
2021-12-14,3.654
2021-12-15,3.681
2021-12-16,3.657
2021-12-17,3.648
2021-12-18,3.648
2021-12-19,3.648
2021-12-20,3.77
2021-12-21,3.624
2021-12-22,3.65
2021-12-23,3.634
2021-12-24,3.634
2021-12-25,3.634
2021-12-26,3.634
2021-12-27,3.534
2021-12-28,3.539
2021-12-29,3.544
2021-12-30,3.545
2021-12-31,3.575
2022-01-01,3.575
2022-01-02,3.575
2022-01-03,3.556
2022-01-04,3.487
2022-01-05,3.596
2022-01-06,3.542
2022-01-07,3.567
2022-01-08,3.567
2022-01-09,3.567
2022-01-10,3.587
2022-01-11,3.585
2022-01-12,3.547
2022-01-13,3.519
2022-01-14,3.518
2022-01-15,3.518
2022-01-16,3.518
2022-01-17,3.518
2022-01-18,3.637
2022-01-19,3.671
2022-01-20,3.717
2022-01-21,3.788
2022-01-22,3.788
2022-01-23,3.788
2022-01-24,3.76
2022-01-25,3.802
2022-01-26,3.777
2022-01-27,3.977
2022-01-28,3.805
2022-01-29,3.805
2022-01-30,3.805
2022-01-31,3.81
2022-02-01,3.741
2022-02-02,3.752
2022-02-03,3.705
2022-02-04,3.729
2022-02-05,3.729
2022-02-06,3.729
2022-02-07,3.705
2022-02-08,3.638
2022-02-09,3.434
2022-02-10,3.818
2022-02-11,3.885
2022-02-12,3.885
2022-02-13,3.885
2022-02-14,3.882
2022-02-15,3.75
2022-02-16,3.721
2022-02-17,3.77
2022-02-18,3.771
2022-02-19,3.771
2022-02-20,3.771
2022-02-21,3.771
2022-02-22,3.742
2022-02-23,3.805
2022-02-24,3.764
2022-02-25,3.633
2022-02-26,3.633
2022-02-27,3.633
2022-02-28,3.672
2022-03-01,3.81
2022-03-02,3.711
2022-03-03,3.769
2022-03-04,3.901
2022-03-05,3.901
2022-03-06,3.901
2022-03-07,4.143
2022-03-08,4.1
2022-03-09,3.949
2022-03-10,3.987
2022-03-11,4.044
2022-03-12,4.044
2022-03-13,4.044
2022-03-14,3.904
2022-03-15,3.829
2022-03-16,3.68
2022-03-17,3.662
2022-03-18,3.702
2022-03-19,3.702
2022-03-20,3.702
2022-03-21,3.719
2022-03-22,3.665
2022-03-23,3.797
2022-03-24,3.709
2022-03-25,3.66
2022-03-26,3.66
2022-03-27,3.66
2022-03-28,3.705
2022-03-29,3.587
2022-03-30,3.655
2022-03-31,3.763
2022-04-01,3.762
2022-04-02,3.762
2022-04-03,3.762
2022-04-04,3.799
2022-04-05,3.837
2022-04-06,3.871
2022-04-07,3.913
2022-04-08,3.908
2022-04-09,3.908
2022-04-10,3.908
2022-04-11,3.909
2022-04-12,3.939
2022-04-13,3.887
2022-04-14,3.868
2022-04-15,3.868
2022-04-16,3.868
2022-04-17,3.868
2022-04-18,3.868
2022-04-19,3.753
2022-04-20,3.608
2022-04-21,3.715
2022-04-22,3.806
2022-04-23,3.806
2022-04-24,3.806
2022-04-25,3.803
2022-04-26,3.914
2022-04-27,3.923
2022-04-28,3.912
2022-04-29,4.143
2022-04-30,4.143
2022-05-01,4.143
2022-05-02,4.126
2022-05-03,4.068
2022-05-04,3.927
2022-05-05,4.076
2022-05-06,4.122
2022-05-07,4.122
2022-05-08,4.122
2022-05-09,4.162
2022-05-10,4.236
2022-05-11,4.365
2022-05-12,4.319
2022-05-13,4.207
2022-05-14,4.207
2022-05-15,4.207
2022-05-16,4.237
2022-05-17,4.119
2022-05-18,4.314
2022-05-19,4.4
2022-05-20,4.406
2022-05-21,4.406
2022-05-22,4.406
2022-05-23,4.33
2022-05-24,4.554
2022-05-25,4.382
2022-05-26,4.274
2022-05-27,4.186
2022-05-28,4.186
2022-05-29,4.186
2022-05-30,4.186
2022-05-31,4.193
2022-06-01,4.265
2022-06-02,4.235
2022-06-03,4.308
2022-06-04,4.308
2022-06-05,4.308
2022-06-06,4.275
2022-06-07,4.236
2022-06-08,4.354
2022-06-09,4.426
2022-06-10,4.625
2022-06-11,4.625
2022-06-12,4.625
2022-06-13,4.78
2022-06-14,4.82
2022-06-15,4.774
2022-06-16,5.036
2022-06-17,4.95
2022-06-18,4.95
2022-06-19,4.95
2022-06-20,4.95
2022-06-21,4.921
2022-06-22,4.917
2022-06-23,4.97
2022-06-24,4.786
2022-06-25,4.786
2022-06-26,4.786
2022-06-27,4.782
2022-06-28,4.873
2022-06-29,4.88
2022-06-30,4.864
2022-07-01,4.815
2022-07-02,4.815
2022-07-03,4.815
2022-07-04,4.815
2022-07-05,4.896
2022-07-06,4.899
2022-07-07,4.801
2022-07-08,4.752
2022-07-09,4.752
2022-07-10,4.752
2022-07-11,4.782
2022-07-12,4.791
2022-07-13,4.799
2022-07-14,4.869
2022-07-15,4.779
2022-07-16,4.779
2022-07-17,4.779
2022-07-18,4.697
2022-07-19,4.516
2022-07-20,4.474
2022-07-21,4.594
2022-07-22,4.555
2022-07-23,4.555
2022-07-24,4.555
2022-07-25,4.566
2022-07-26,4.679
2022-07-27,4.55
2022-07-28,4.502
2022-07-29,4.497
2022-07-30,4.497
2022-07-31,4.497
2022-08-01,4.494
2022-08-02,4.571
2022-08-03,4.475
2022-08-04,4.543
2022-08-05,4.629
2022-08-06,4.629
2022-08-07,4.629
2022-08-08,4.581
2022-08-09,4.624
2022-08-10,4.512
2022-08-11,4.423
2022-08-12,4.427
2022-08-13,4.427
2022-08-14,4.427
2022-08-15,4.398
2022-08-16,4.375
2022-08-17,4.487
2022-08-18,4.472
2022-08-19,4.452
2022-08-20,4.452
2022-08-21,4.452
2022-08-22,4.676
2022-08-23,4.664
2022-08-24,4.666
2022-08-25,4.581
2022-08-26,4.707
2022-08-27,4.707
2022-08-28,4.707
2022-08-29,4.742
2022-08-30,4.752
2022-08-31,4.81
2022-09-01,4.84
2022-09-02,4.882
2022-09-03,4.882
2022-09-04,4.882
2022-09-05,4.882
2022-09-06,4.924
2022-09-07,4.789
2022-09-08,4.813
2022-09-09,4.672
2022-09-10,4.672
2022-09-11,4.672
2022-09-12,4.571
2022-09-13,4.798
2022-09-14,4.834
2022-09-15,4.794
2022-09-16,4.885
2022-09-17,4.885
2022-09-18,4.885
2022-09-19,4.817
2022-09-20,4.962
2022-09-21,5.02
2022-09-22,5.079
2022-09-23,5.167
2022-09-24,5.167
2022-09-25,5.167
2022-09-26,5.267
2022-09-27,5.243
2022-09-28,5.089
2022-09-29,5.2
2022-09-30,5.152
2022-10-01,5.152
2022-10-02,5.152
2022-10-03,5.053
2022-10-04,4.851
2022-10-05,4.842
2022-10-06,4.898
2022-10-07,4.983
2022-10-08,4.983
2022-10-09,4.983
2022-10-10,4.998
2022-10-11,5.04
2022-10-12,4.979
2022-10-13,4.821
2022-10-14,4.801
2022-10-15,4.801
2022-10-16,4.801
2022-10-17,4.661
2022-10-18,4.501
2022-10-19,4.629
2022-10-20,4.685
2022-10-21,4.67
2022-10-22,4.67
2022-10-23,4.67
2022-10-24,4.525
2022-10-25,4.386
2022-10-26,4.375
2022-10-27,4.468
2022-10-28,4.362
2022-10-29,4.362
2022-10-30,4.362
2022-10-31,4.427
2022-11-01,4.423
2022-11-02,4.536
2022-11-03,4.589
2022-11-04,4.471
2022-11-05,4.471
2022-11-06,4.471
2022-11-07,4.417
2022-11-08,4.343
2022-11-09,4.411
2022-11-10,4.259
2022-11-11,4.073
2022-11-12,4.073
2022-11-13,4.073
2022-11-14,4.078
2022-11-15,4.019
2022-11-16,4.066
2022-11-17,4.033
2022-11-18,3.997
2022-11-19,3.997
2022-11-20,3.997
2022-11-21,4.034
2022-11-22,3.912
2022-11-23,3.867
2022-11-24,3.867
2022-11-25,3.835
2022-11-26,3.835
2022-11-27,3.835
2022-11-28,3.904
2022-11-29,3.856
2022-11-30,3.818
2022-12-01,3.807
2022-12-02,3.894
2022-12-03,3.894
2022-12-04,3.894
2022-12-05,3.972
2022-12-06,4.015
2022-12-07,4.087
2022-12-08,4.081
2022-12-09,4.091
2022-12-10,4.091
2022-12-11,4.091
2022-12-12,3.993
2022-12-13,3.919
2022-12-14,3.922
2022-12-15,4.022
2022-12-16,4.042
2022-12-17,4.042
2022-12-18,4.042
2022-12-19,4.078
2022-12-20,4.039
2022-12-21,3.988
2022-12-22,3.999
2022-12-23,3.926
2022-12-24,3.926
2022-12-25,3.926
2022-12-26,3.926
2022-12-27,3.905
2022-12-28,3.985
2022-12-29,3.907
2022-12-30,3.939
2022-12-31,3.939
2023-01-01,3.939
2023-01-02,3.939
2023-01-03,3.883
2023-01-04,3.781
2023-01-05,3.724
2023-01-06,3.675
2023-01-07,3.675
2023-01-08,3.675
2023-01-09,3.691
2023-01-10,3.676
2023-01-11,3.646
2023-01-12,3.651
2023-01-13,3.648
2023-01-14,3.648
2023-01-15,3.648
2023-01-16,3.648
2023-01-17,3.687
2023-01-18,3.684
2023-01-19,3.717
2023-01-20,3.619
2023-01-21,3.619
2023-01-22,3.619
2023-01-23,3.593
2023-01-24,3.596
2023-01-25,3.613
2023-01-26,3.646
2023-01-27,3.698
2023-01-28,3.698
2023-01-29,3.698
2023-01-30,3.682
2023-01-31,3.63
2023-02-01,3.57
2023-02-02,3.414
2023-02-03,3.384
2023-02-04,3.384
2023-02-05,3.384
2023-02-06,3.365
2023-02-07,3.397
2023-02-08,3.467
2023-02-09,3.65
2023-02-10,3.669
2023-02-11,3.669
2023-02-12,3.669
2023-02-13,3.618
2023-02-14,3.614
2023-02-15,3.623
2023-02-16,3.651
2023-02-17,3.635
2023-02-18,3.635
2023-02-19,3.635
2023-02-20,3.635
2023-02-21,3.713
2023-02-22,3.719
2023-02-23,3.686
2023-02-24,3.73
2023-02-25,3.73
2023-02-26,3.73
2023-02-27,3.757
2023-02-28,3.768
2023-03-01,3.765
2023-03-02,3.756
2023-03-03,3.751
2023-03-04,3.751
2023-03-05,3.751
2023-03-06,3.757
2023-03-07,3.83
2023-03-08,3.852
2023-03-09,3.931
2023-03-10,3.987
2023-03-11,3.987
2023-03-12,3.987
2023-03-13,4.054
2023-03-14,3.958
2023-03-15,4.053
2023-03-16,3.954
2023-03-17,3.992
2023-03-18,3.992
2023-03-19,3.992
2023-03-20,3.879
2023-03-21,3.804
2023-03-22,3.905
2023-03-23,3.843
2023-03-24,3.842
2023-03-25,3.842
2023-03-26,3.842
2023-03-27,3.792
2023-03-28,3.821
2023-03-29,3.812
2023-03-30,3.707
2023-03-31,3.629
2023-04-01,3.629
2023-04-02,3.629
2023-04-03,3.597
2023-04-04,3.611
2023-04-05,3.65
2023-04-06,3.654
2023-04-07,3.654
2023-04-08,3.654
2023-04-09,3.654
2023-04-10,3.646
2023-04-11,3.626
2023-04-12,3.609
2023-04-13,3.56
2023-04-14,3.568
2023-04-15,3.568
2023-04-16,3.568
2023-04-17,3.55
2023-04-18,3.519
2023-04-19,3.605
2023-04-20,3.623
2023-04-21,3.604
2023-04-22,3.604
2023-04-23,3.604
2023-04-24,3.617
2023-04-25,3.653
2023-04-26,3.701
2023-04-27,3.842
2023-04-28,3.786
2023-04-29,3.786
2023-04-30,3.786
2023-05-01,3.742
2023-05-02,3.795
2023-05-03,3.902
2023-05-04,3.953
2023-05-05,3.801
2023-05-06,3.801
2023-05-07,3.801
2023-05-08,3.744
2023-05-09,3.774
2023-05-10,3.772
2023-05-11,3.747
2023-05-12,3.696
2023-05-13,3.696
2023-05-14,3.696
2023-05-15,3.78
2023-05-16,3.756
2023-05-17,3.663
2023-05-18,3.538
2023-05-19,3.522
2023-05-20,3.522
2023-05-21,3.522
2023-05-22,3.52
2023-05-23,3.54
2023-05-24,3.613
2023-05-25,3.625
2023-05-26,3.603
2023-05-27,3.603
2023-05-28,3.603
2023-05-29,3.603
2023-05-30,3.55
2023-05-31,3.654
2023-06-01,3.6
2023-06-02,3.514
2023-06-03,3.514
2023-06-04,3.514
2023-06-05,3.551
2023-06-06,3.501
2023-06-07,3.403
2023-06-08,3.382
2023-06-09,3.401
2023-06-10,3.401
2023-06-11,3.401
2023-06-12,3.378
2023-06-13,3.352
2023-06-14,3.358
2023-06-15,3.321
2023-06-16,3.366
2023-06-17,3.366
2023-06-18,3.366
2023-06-19,3.366
2023-06-20,3.417
2023-06-21,3.408
2023-06-22,3.459
2023-06-23,3.503
2023-06-24,3.503
2023-06-25,3.503
2023-06-26,3.46
2023-06-27,3.434
2023-06-28,3.455
2023-06-29,3.523
2023-06-30,3.478
2023-07-01,3.478
2023-07-02,3.478
2023-07-03,3.445
2023-07-04,3.445
2023-07-05,3.51
2023-07-06,3.526
2023-07-07,3.537
2023-07-08,3.537
2023-07-09,3.537
2023-07-10,3.519
2023-07-11,3.454
2023-07-12,3.469
2023-07-13,3.405
2023-07-14,3.412
2023-07-15,3.412
2023-07-16,3.412
2023-07-17,3.33
2023-07-18,3.282
2023-07-19,3.563
2023-07-20,3.538
2023-07-21,4.082
2023-07-22,4.082
2023-07-23,4.082
2023-07-24,4.112
2023-07-25,4.183
2023-07-26,4.089
2023-07-27,4.011
2023-07-28,4.029
2023-07-29,4.029
2023-07-30,4.029
2023-07-31,3.92
2023-08-01,3.951
2023-08-02,3.971
2023-08-03,4.043
2023-08-04,4.003
2023-08-05,4.003
2023-08-06,4.003
2023-08-07,3.989
2023-08-08,4.079
2023-08-09,4.08
2023-08-10,4.079
2023-08-11,4.097
2023-08-12,4.097
2023-08-13,4.097
2023-08-14,4.114
2023-08-15,4.161
2023-08-16,4.202
2023-08-17,4.243
2023-08-18,4.195
2023-08-19,4.195
2023-08-20,4.195
2023-08-21,4.203
2023-08-22,4.207
2023-08-23,4.157
2023-08-24,4.201
2023-08-25,4.198
2023-08-26,4.198
2023-08-27,4.198
2023-08-28,4.171
2023-08-29,4.134
2023-08-30,4.123
2023-08-31,4.123
2023-09-01,4.121
2023-09-02,4.121
2023-09-03,4.121
2023-09-04,4.121
2023-09-05,4.175
2023-09-06,4.146
2023-09-07,4.193
2023-09-08,4.231
2023-09-09,4.231
2023-09-10,4.231
2023-09-11,4.206
