,SCCO US Equity
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,7.209
2020-11-13,7.102
2020-11-14,7.102
2020-11-15,7.102
2020-11-16,6.955
2020-11-17,6.887
2020-11-18,6.914
2020-11-19,6.892
2020-11-20,6.797
2020-11-21,6.797
2020-11-22,6.797
2020-11-23,6.643
2020-11-24,6.491
2020-11-25,6.44
2020-11-26,6.44
2020-11-27,6.348
2020-11-28,6.348
2020-11-29,6.348
2020-11-30,6.506
2020-12-01,6.422
2020-12-02,6.417
2020-12-03,4.779
2020-12-04,4.723
2020-12-05,4.723
2020-12-06,4.723
2020-12-07,6.518
2020-12-08,6.405
2020-12-09,6.494
2020-12-10,6.528
2020-12-11,6.464
2020-12-12,6.464
2020-12-13,6.464
2020-12-14,6.522
2020-12-15,6.382
2020-12-16,6.253
2020-12-17,6.14
2020-12-18,6.156
2020-12-19,6.156
2020-12-20,6.156
2020-12-21,6.055
2020-12-22,6.122
2020-12-23,5.997
2020-12-24,6.026
2020-12-25,6.026
2020-12-26,6.026
2020-12-27,6.026
2020-12-28,6.08
2020-12-29,6.01
2020-12-30,5.869
2020-12-31,5.932
2021-01-01,5.932
2021-01-02,5.932
2021-01-03,5.932
2021-01-04,5.742
2021-01-05,5.667
2021-01-06,4.525
2021-01-07,4.383
2021-01-08,4.367
2021-01-09,4.367
2021-01-10,4.367
2021-01-11,3.364
2021-01-12,3.31
2021-01-13,3.384
2021-01-14,3.348
2021-01-15,3.44
2021-01-16,3.44
2021-01-17,3.44
2021-01-18,3.44
2021-01-19,3.353
2021-01-20,3.383
2021-01-21,3.383
2021-01-22,3.383
2021-01-23,3.383
2021-01-24,3.383
2021-01-25,3.383
2021-01-26,3.383
2021-01-27,3.383
2021-01-28,3.383
2021-01-29,3.383
2021-01-30,3.383
2021-01-31,3.383
2021-02-01,3.383
2021-02-02,3.383
2021-02-03,3.383
2021-02-04,3.383
2021-02-05,3.383
2021-02-06,3.383
2021-02-07,3.383
2021-02-08,3.383
2021-02-09,3.383
2021-02-10,3.383
2021-02-11,3.383
2021-02-12,3.383
2021-02-13,3.383
2021-02-14,3.383
2021-02-15,3.383
2021-02-16,3.383
2021-02-17,3.383
2021-02-18,3.383
2021-02-19,3.383
2021-02-20,3.383
2021-02-21,3.383
2021-02-22,3.383
2021-02-23,3.383
2021-02-24,3.383
2021-02-25,2.198
2021-02-26,2.313
2021-02-27,2.313
2021-02-28,2.313
2021-03-01,2.203
2021-03-02,2.167
2021-03-03,2.143
2021-03-04,2.311
2021-03-05,2.238
2021-03-06,2.238
2021-03-07,2.238
2021-03-08,2.275
2021-03-09,2.261
2021-03-10,2.196
2021-03-11,2.11
2021-03-12,2.871
2021-03-13,2.871
2021-03-14,2.871
2021-03-15,2.955
2021-03-16,3.034
2021-03-17,3.808
2021-03-18,3.878
2021-03-19,3.921
2021-03-20,3.921
2021-03-21,3.921
2021-03-22,3.924
2021-03-23,4.322
2021-03-24,4.366
2021-03-25,4.476
2021-03-26,4.244
2021-03-27,4.244
2021-03-28,4.244
2021-03-29,4.155
2021-03-30,4.154
2021-03-31,4.167
2021-04-01,4.075
2021-04-02,4.075
2021-04-03,4.075
2021-04-04,4.075
2021-04-05,3.945
2021-04-06,3.961
2021-04-07,3.993
2021-04-08,3.903
2021-04-09,3.903
2021-04-10,3.903
2021-04-11,3.903
2021-04-12,3.903
2021-04-13,3.903
2021-04-14,3.903
2021-04-15,3.903
2021-04-16,3.903
2021-04-17,3.903
2021-04-18,3.903
2021-04-19,3.903
2021-04-20,3.903
2021-04-21,3.903
2021-04-22,3.903
2021-04-23,3.903
2021-04-24,3.903
2021-04-25,3.903
2021-04-26,3.903
2021-04-27,3.23
2021-04-28,3.228
2021-04-29,3.273
2021-04-30,3.396
2021-05-01,3.396
2021-05-02,3.396
2021-05-03,3.388
2021-05-04,3.385
2021-05-05,3.249
2021-05-06,3.237
2021-05-07,3.066
2021-05-08,3.066
2021-05-09,3.066
2021-05-10,2.903
2021-05-11,2.869
2021-05-12,3.561
2021-05-13,4.238
2021-05-14,4.286
2021-05-15,4.286
2021-05-16,4.286
2021-05-17,4.173
2021-05-18,4.271
2021-05-19,4.605
2021-05-20,4.611
2021-05-21,4.709
2021-05-22,4.709
2021-05-23,4.709
2021-05-24,4.805
2021-05-25,4.881
2021-05-26,4.862
2021-05-27,4.726
2021-05-28,4.689
2021-05-29,4.689
2021-05-30,4.689
2021-05-31,4.689
2021-06-01,4.562
2021-06-02,4.55
2021-06-03,4.712
2021-06-04,4.596
2021-06-05,4.596
2021-06-06,4.596
2021-06-07,4.792
2021-06-08,4.749
2021-06-09,4.91
2021-06-10,4.882
2021-06-11,4.884
2021-06-12,4.884
2021-06-13,4.884
2021-06-14,4.969
2021-06-15,5.179
2021-06-16,5.217
2021-06-17,5.504
2021-06-18,5.497
2021-06-19,5.497
2021-06-20,5.497
2021-06-21,5.303
2021-06-22,5.249
2021-06-23,5.189
2021-06-24,5.136
2021-06-25,5.076
2021-06-26,5.076
2021-06-27,5.076
2021-06-28,5.073
2021-06-29,5.029
2021-06-30,5.084
2021-07-01,5.175
2021-07-02,5.094
2021-07-03,5.094
2021-07-04,5.094
2021-07-05,5.094
2021-07-06,5.237
2021-07-07,5.11
2021-07-08,5.199
2021-07-09,5.017
2021-07-10,5.017
2021-07-11,5.017
2021-07-12,5.025
2021-07-13,5.078
2021-07-14,5.125
2021-07-15,5.112
2021-07-16,5.278
2021-07-17,5.278
2021-07-18,5.278
2021-07-19,5.372
2021-07-20,5.271
2021-07-21,5.145
2021-07-22,5.184
2021-07-23,5.184
2021-07-24,5.184
2021-07-25,5.184
2021-07-26,5.054
2021-07-27,5.031
2021-07-28,5.017
2021-07-29,4.829
2021-07-30,4.981
2021-07-31,4.981
2021-08-01,4.981
2021-08-02,5.06
2021-08-03,4.996
2021-08-04,5.057
2021-08-05,5.027
2021-08-06,4.999
2021-08-07,4.999
2021-08-08,4.999
2021-08-09,5.013
2021-08-10,4.915
2021-08-11,4.848
2021-08-12,4.887
2021-08-13,4.799
2021-08-14,4.799
2021-08-15,4.799
2021-08-16,4.975
2021-08-17,5.109
2021-08-18,5.159
2021-08-19,4.476
2021-08-20,4.482
2021-08-21,4.482
2021-08-22,4.482
2021-08-23,4.345
2021-08-24,4.32
2021-08-25,4.364
2021-08-26,4.452
2021-08-27,4.325
2021-08-28,4.325
2021-08-29,4.325
2021-08-30,4.647
2021-08-31,4.681
2021-09-01,4.746
2021-09-02,4.366
2021-09-03,4.349
2021-09-04,4.349
2021-09-05,4.349
2021-09-06,4.349
2021-09-07,4.368
2021-09-08,4.54
2021-09-09,4.526
2021-09-10,4.404
2021-09-11,4.404
2021-09-12,4.404
2021-09-13,4.432
2021-09-14,4.483
2021-09-15,4.37
2021-09-16,4.607
2021-09-17,4.656
2021-09-18,4.656
2021-09-19,4.656
2021-09-20,4.79
2021-09-21,4.826
2021-09-22,4.801
2021-09-23,4.768
2021-09-24,4.701
2021-09-25,4.701
2021-09-26,4.701
2021-09-27,4.598
2021-09-28,4.681
2021-09-29,4.766
2021-09-30,4.853
2021-10-01,4.797
2021-10-02,4.797
2021-10-03,4.797
2021-10-04,4.82
2021-10-05,4.844
2021-10-06,4.848
2021-10-07,4.672
2021-10-08,4.649
2021-10-09,4.649
2021-10-10,4.649
2021-10-11,4.619
2021-10-12,4.626
2021-10-13,4.579
2021-10-14,4.325
2021-10-15,4.115
2021-10-16,4.115
2021-10-17,4.115
2021-10-18,4.184
2021-10-19,4.121
2021-10-20,4.147
2021-10-21,4.234
2021-10-22,4.248
2021-10-23,4.248
2021-10-24,4.248
2021-10-25,4.154
2021-10-26,4.232
2021-10-27,4.444
2021-10-28,4.409
2021-10-29,4.542
2021-10-30,4.542
2021-10-31,4.542
2021-11-01,4.503
2021-11-02,4.527
2021-11-03,4.609
2021-11-04,4.623
2021-11-05,4.587
2021-11-06,4.587
2021-11-07,4.587
2021-11-08,4.409
2021-11-09,4.348
2021-11-10,4.468
2021-11-11,4.214
2021-11-12,1.914
2021-11-13,1.914
2021-11-14,1.914
2021-11-15,1.967
2021-11-16,3.187
2021-11-17,3.248
2021-11-18,3.216
2021-11-19,5.213
2021-11-20,5.213
2021-11-21,5.213
2021-11-22,5.365
2021-11-23,5.253
2021-11-24,5.246
2021-11-25,5.246
2021-11-26,5.391
2021-11-27,5.391
2021-11-28,5.391
2021-11-29,5.223
2021-11-30,5.318
2021-12-01,5.42
2021-12-02,5.301
2021-12-03,5.347
2021-12-04,5.347
2021-12-05,5.347
2021-12-06,5.294
2021-12-07,5.201
2021-12-08,5.158
2021-12-09,5.09
2021-12-10,5.146
2021-12-11,5.146
2021-12-12,5.146
2021-12-13,5.225
2021-12-14,5.245
2021-12-15,5.448
2021-12-16,5.331
2021-12-17,5.329
2021-12-18,5.329
2021-12-19,5.329
2021-12-20,5.418
2021-12-21,5.252
2021-12-22,5.241
2021-12-23,5.168
2021-12-24,5.168
2021-12-25,5.168
2021-12-26,5.168
2021-12-27,5.074
2021-12-28,5.095
2021-12-29,5.11
2021-12-30,5.081
2021-12-31,5.041
2022-01-01,5.041
2022-01-02,5.041
2022-01-03,5.066
2022-01-04,4.971
2022-01-05,4.967
2022-01-06,4.974
2022-01-07,4.835
2022-01-08,4.835
2022-01-09,4.835
2022-01-10,4.872
2022-01-11,4.713
2022-01-12,4.495
2022-01-13,4.577
2022-01-14,4.672
2022-01-15,4.672
2022-01-16,4.672
2022-01-17,4.672
2022-01-18,4.621
2022-01-19,4.631
2022-01-20,4.658
2022-01-21,4.781
2022-01-22,4.781
2022-01-23,4.781
2022-01-24,4.887
2022-01-25,4.901
2022-01-26,4.903
2022-01-27,4.952
2022-01-28,5.063
2022-01-29,5.063
2022-01-30,5.063
2022-01-31,4.958
2022-02-01,4.861
2022-02-02,4.947
2022-02-03,4.79
2022-02-04,4.072
2022-02-05,4.072
2022-02-06,4.072
2022-02-07,4.043
2022-02-08,4.102
2022-02-09,4.312
2022-02-10,4.351
2022-02-11,4.353
2022-02-12,4.353
2022-02-13,4.353
2022-02-14,4.344
2022-02-15,4.278
2022-02-16,4.197
2022-02-17,4.282
2022-02-18,4.262
2022-02-19,4.262
2022-02-20,4.262
2022-02-21,4.262
2022-02-22,4.306
2022-02-23,4.348
2022-02-24,4.361
2022-02-25,4.187
2022-02-26,4.187
2022-02-27,4.187
2022-02-28,4.151
2022-03-01,4.01
2022-03-02,3.951
2022-03-03,3.829
2022-03-04,3.76
2022-03-05,3.76
2022-03-06,3.76
2022-03-07,3.878
2022-03-08,3.849
2022-03-09,4.09
2022-03-10,4.067
2022-03-11,4.135
2022-03-12,4.135
2022-03-13,4.135
2022-03-14,4.405
2022-03-15,4.476
2022-03-16,4.346
2022-03-17,4.191
2022-03-18,4.121
2022-03-19,4.121
2022-03-20,4.121
2022-03-21,3.974
2022-03-22,4.001
2022-03-23,4.099
2022-03-24,4.124
2022-03-25,4.094
2022-03-26,4.094
2022-03-27,4.094
2022-03-28,4.17
2022-03-29,4.16
2022-03-30,4.138
2022-03-31,4.189
2022-04-01,4.068
2022-04-02,4.068
2022-04-03,4.068
2022-04-04,4.077
2022-04-05,4.284
2022-04-06,4.362
2022-04-07,4.33
2022-04-08,4.307
2022-04-09,4.307
2022-04-10,4.307
2022-04-11,3.963
2022-04-12,3.971
2022-04-13,4.475
2022-04-14,4.586
2022-04-15,4.586
2022-04-16,4.586
2022-04-17,4.586
2022-04-18,4.559
2022-04-19,4.593
2022-04-20,4.939
2022-04-21,5.202
2022-04-22,5.361
2022-04-23,5.361
2022-04-24,5.361
2022-04-25,5.516
2022-04-26,5.713
2022-04-27,5.636
2022-04-28,5.629
2022-04-29,5.695
2022-04-30,5.695
2022-05-01,5.695
2022-05-02,5.731
2022-05-03,5.677
2022-05-04,5.487
2022-05-05,5.692
2022-05-06,5.802
2022-05-07,5.802
2022-05-08,5.802
2022-05-09,6.103
2022-05-10,6.173
2022-05-11,6.246
2022-05-12,6.513
2022-05-13,6.471
2022-05-14,6.471
2022-05-15,6.471
2022-05-16,6.456
2022-05-17,6.112
2022-05-18,6.231
2022-05-19,5.982
2022-05-20,5.895
2022-05-21,5.895
2022-05-22,5.895
2022-05-23,5.759
2022-05-24,5.703
2022-05-25,5.703
2022-05-26,5.691
2022-05-27,5.548
2022-05-28,5.548
2022-05-29,5.548
2022-05-30,5.548
2022-05-31,5.586
2022-06-01,5.567
2022-06-02,5.359
2022-06-03,5.44
2022-06-04,5.44
2022-06-05,5.44
2022-06-06,5.386
2022-06-07,5.319
2022-06-08,4.615
2022-06-09,4.781
2022-06-10,5.397
2022-06-11,5.397
2022-06-12,5.397
2022-06-13,5.619
2022-06-14,5.67
2022-06-15,5.627
2022-06-16,5.772
2022-06-17,5.85
2022-06-18,5.85
2022-06-19,5.85
2022-06-20,5.85
2022-06-21,5.864
2022-06-22,6.103
2022-06-23,6.511
2022-06-24,6.263
2022-06-25,6.263
2022-06-26,6.263
2022-06-27,6.252
2022-06-28,6.218
2022-06-29,5.925
2022-06-30,6.121
2022-07-01,6.084
2022-07-02,6.084
2022-07-03,6.084
2022-07-04,6.084
2022-07-05,6.37
2022-07-06,6.252
2022-07-07,5.816
2022-07-08,5.78
2022-07-09,5.78
2022-07-10,5.78
2022-07-11,6.002
2022-07-12,6.058
2022-07-13,6.085
2022-07-14,6.389
2022-07-15,6.25
2022-07-16,6.25
2022-07-17,6.25
2022-07-18,5.928
2022-07-19,6.092
2022-07-20,6.166
2022-07-21,6.072
2022-07-22,6.22
2022-07-23,6.22
2022-07-24,6.22
2022-07-25,6.075
2022-07-26,6.121
2022-07-27,6.077
2022-07-28,6.133
2022-07-29,5.896
2022-07-30,5.896
2022-07-31,5.896
2022-08-01,6.126
2022-08-02,6.275
2022-08-03,6.32
2022-08-04,6.342
2022-08-05,6.167
2022-08-06,6.167
2022-08-07,6.167
2022-08-08,6.144
2022-08-09,6.118
2022-08-10,5.964
2022-08-11,5.927
2022-08-12,5.658
2022-08-13,5.658
2022-08-14,5.658
2022-08-15,5.728
2022-08-16,5.642
2022-08-17,5.778
2022-08-18,5.631
2022-08-19,5.75
2022-08-20,5.75
2022-08-21,5.75
2022-08-22,5.835
2022-08-23,5.636
2022-08-24,5.653
2022-08-25,5.496
2022-08-26,5.417
2022-08-27,5.417
2022-08-28,5.417
2022-08-29,5.591
2022-08-30,5.854
2022-08-31,5.912
2022-09-01,6.134
2022-09-02,6.091
2022-09-03,6.091
2022-09-04,6.091
2022-09-05,6.091
2022-09-06,6.166
2022-09-07,6.085
2022-09-08,5.882
2022-09-09,5.656
2022-09-10,5.656
2022-09-11,5.656
2022-09-12,5.616
2022-09-13,5.772
2022-09-14,4.944
2022-09-15,4.918
2022-09-16,4.926
2022-09-17,4.926
2022-09-18,4.926
2022-09-19,4.806
2022-09-20,4.859
2022-09-21,5.069
2022-09-22,5.046
2022-09-23,5.292
2022-09-24,5.292
2022-09-25,5.292
2022-09-26,5.371
2022-09-27,5.27
2022-09-28,5.144
2022-09-29,5.133
2022-09-30,5.128
2022-10-01,5.128
2022-10-02,5.128
2022-10-03,4.817
2022-10-04,4.703
2022-10-05,4.662
2022-10-06,4.663
2022-10-07,4.625
2022-10-08,4.625
2022-10-09,4.625
2022-10-10,4.668
2022-10-11,4.686
2022-10-12,4.609
2022-10-13,4.461
2022-10-14,4.625
2022-10-15,4.625
2022-10-16,4.625
2022-10-17,4.564
2022-10-18,4.596
2022-10-19,4.686
2022-10-20,4.613
2022-10-21,4.459
2022-10-22,4.459
2022-10-23,4.459
2022-10-24,4.84
2022-10-25,4.684
2022-10-26,4.509
2022-10-27,4.587
2022-10-28,4.708
2022-10-29,4.708
2022-10-30,4.708
2022-10-31,4.724
2022-11-01,4.534
2022-11-02,4.724
2022-11-03,4.684
2022-11-04,4.222
2022-11-05,4.222
2022-11-06,4.222
2022-11-07,4.179
2022-11-08,4.06
2022-11-09,4.117
2022-11-10,3.906
2022-11-11,4.147
2022-11-12,4.147
2022-11-13,4.147
2022-11-14,4.141
2022-11-15,4.13
2022-11-16,4.222
2022-11-17,4.275
2022-11-18,4.317
2022-11-19,4.317
2022-11-20,4.317
2022-11-21,4.375
2022-11-22,4.211
2022-11-23,4.005
2022-11-24,4.005
2022-11-25,4.197
2022-11-26,4.197
2022-11-27,4.197
2022-11-28,4.281
2022-11-29,3.872
2022-11-30,3.764
2022-12-01,3.737
2022-12-02,3.707
2022-12-03,3.707
2022-12-04,3.707
2022-12-05,3.788
2022-12-06,3.774
2022-12-07,3.826
2022-12-08,3.786
2022-12-09,3.835
2022-12-10,3.835
2022-12-11,3.835
2022-12-12,3.847
2022-12-13,3.81
2022-12-14,3.796
2022-12-15,3.885
2022-12-16,3.894
2022-12-17,3.894
2022-12-18,3.894
2022-12-19,3.909
2022-12-20,3.852
2022-12-21,4.627
2022-12-22,4.685
2022-12-23,4.67
2022-12-24,4.67
2022-12-25,4.67
2022-12-26,4.67
2022-12-27,4.586
2022-12-28,4.67
2022-12-29,4.614
2022-12-30,4.721
2022-12-31,4.721
2023-01-01,4.721
2023-01-02,4.721
2023-01-03,4.626
2023-01-04,4.448
2023-01-05,4.337
2023-01-06,4.172
2023-01-07,4.172
2023-01-08,4.172
2023-01-09,4.065
2023-01-10,4.044
2023-01-11,4.018
2023-01-12,3.91
2023-01-13,4.007
2023-01-14,4.007
2023-01-15,4.007
2023-01-16,4.007
2023-01-17,3.962
2023-01-18,4.022
2023-01-19,3.978
2023-01-20,4.037
2023-01-21,4.037
2023-01-22,4.037
2023-01-23,4.225
2023-01-24,4.103
2023-01-25,4.107
2023-01-26,4.136
2023-01-27,4.148
2023-01-28,4.148
2023-01-29,4.148
2023-01-30,4.148
2023-01-31,4.114
2023-02-01,3.948
2023-02-02,4.065
2023-02-03,4.176
2023-02-04,4.176
2023-02-05,4.176
2023-02-06,4.222
2023-02-07,4.202
2023-02-08,4.217
2023-02-09,4.215
2023-02-10,4.265
2023-02-11,4.265
2023-02-12,4.265
2023-02-13,4.2
2023-02-14,4.142
2023-02-15,4.101
2023-02-16,4.072
2023-02-17,4.186
2023-02-18,4.186
2023-02-19,4.186
2023-02-20,4.186
2023-02-21,4.168
2023-02-22,4.204
2023-02-23,4.288
2023-02-24,4.376
2023-02-25,4.376
2023-02-26,4.376
2023-02-27,4.298
2023-02-28,4.228
2023-03-01,4.092
2023-03-02,4.141
2023-03-03,3.964
2023-03-04,3.964
2023-03-05,3.964
2023-03-06,4.042
2023-03-07,4.276
2023-03-08,4.143
2023-03-09,4.232
2023-03-10,3.967
2023-03-11,3.967
2023-03-12,3.967
2023-03-13,4.598
2023-03-14,4.519
2023-03-15,4.9
2023-03-16,5.04
2023-03-17,5.069
2023-03-18,5.069
2023-03-19,5.069
2023-03-20,4.862
2023-03-21,4.839
2023-03-22,4.866
2023-03-23,4.838
2023-03-24,4.847
2023-03-25,4.847
2023-03-26,4.847
2023-03-27,4.781
2023-03-28,4.677
2023-03-29,4.567
2023-03-30,4.565
2023-03-31,4.536
2023-04-01,4.536
2023-04-02,4.536
2023-04-03,4.478
2023-04-04,4.624
2023-04-05,4.674
2023-04-06,4.657
2023-04-07,4.657
2023-04-08,4.657
2023-04-09,4.657
2023-04-10,4.629
2023-04-11,4.487
2023-04-12,4.521
2023-04-13,4.347
2023-04-14,4.344
2023-04-15,4.344
2023-04-16,4.344
2023-04-17,4.448
2023-04-18,4.262
2023-04-19,4.024
2023-04-20,4.037
2023-04-21,4.143
2023-04-22,4.143
2023-04-23,4.143
2023-04-24,4.099
2023-04-25,4.311
2023-04-26,4.317
2023-04-27,4.361
2023-04-28,4.285
2023-04-29,4.285
2023-04-30,4.285
2023-05-01,4.278
2023-05-02,4.264
2023-05-03,4.303
2023-05-04,4.37
2023-05-05,4.135
2023-05-06,4.135
2023-05-07,4.135
2023-05-08,4.096
2023-05-09,4.092
2023-05-10,4.34
2023-05-11,4.657
2023-05-12,4.654
2023-05-13,4.654
2023-05-14,4.654
2023-05-15,4.473
2023-05-16,4.698
2023-05-17,4.594
2023-05-18,4.722
2023-05-19,4.736
2023-05-20,4.736
2023-05-21,4.736
2023-05-22,4.701
2023-05-23,4.893
2023-05-24,5.016
2023-05-25,5.409
2023-05-26,5.243
2023-05-27,5.243
2023-05-28,5.243
2023-05-29,5.243
2023-05-30,5.26
2023-05-31,5.281
2023-06-01,5.133
2023-06-02,4.505
2023-06-03,4.505
2023-06-04,4.505
2023-06-05,4.535
2023-06-06,4.53
2023-06-07,4.521
2023-06-08,4.669
2023-06-09,4.713
2023-06-10,4.713
2023-06-11,4.713
2023-06-12,4.722
2023-06-13,4.574
2023-06-14,4.516
2023-06-15,4.491
2023-06-16,4.474
2023-06-17,4.474
2023-06-18,4.474
2023-06-19,4.474
2023-06-20,4.552
2023-06-21,4.557
2023-06-22,4.525
2023-06-23,4.687
2023-06-24,4.687
2023-06-25,4.687
2023-06-26,4.598
2023-06-27,4.55
2023-06-28,4.845
2023-06-29,4.847
2023-06-30,4.774
2023-07-01,4.774
2023-07-02,4.774
2023-07-03,4.701
2023-07-04,4.701
2023-07-05,4.77
2023-07-06,4.876
2023-07-07,4.761
2023-07-08,4.761
2023-07-09,4.761
2023-07-10,4.743
2023-07-11,4.664
2023-07-12,4.511
2023-07-13,4.29
2023-07-14,4.355
2023-07-15,4.355
2023-07-16,4.355
2023-07-17,4.406
2023-07-18,4.363
2023-07-19,4.356
2023-07-20,4.273
2023-07-21,4.267
2023-07-22,4.267
2023-07-23,4.267
2023-07-24,4.213
2023-07-25,4.0
2023-07-26,3.98
2023-07-27,3.982
2023-07-28,3.924
2023-07-29,3.924
2023-07-30,3.924
2023-07-31,3.805
2023-08-01,3.919
2023-08-02,4.053
2023-08-03,3.908
2023-08-04,3.868
2023-08-05,3.868
2023-08-06,3.868
2023-08-07,3.86
2023-08-08,3.833
2023-08-09,3.844
2023-08-10,3.85
2023-08-11,3.902
2023-08-12,3.902
2023-08-13,3.902
2023-08-14,3.926
2023-08-15,3.738
2023-08-16,3.731
2023-08-17,3.747
2023-08-18,3.878
2023-08-19,3.878
2023-08-20,3.878
2023-08-21,3.812
2023-08-22,3.782
2023-08-23,3.77
2023-08-24,3.889
2023-08-25,3.946
2023-08-26,3.946
2023-08-27,3.946
2023-08-28,3.887
2023-08-29,3.476
2023-08-30,3.453
2023-08-31,3.47
2023-09-01,3.408
2023-09-02,3.408
2023-09-03,3.408
2023-09-04,3.408
2023-09-05,3.53
2023-09-06,3.518
2023-09-07,3.566
2023-09-08,3.556
2023-09-09,3.556
2023-09-10,3.556
2023-09-11,3.482
2023-09-12,3.53
2023-09-13,3.572
2023-09-14,3.49
2023-09-15,3.509
2023-09-16,3.509
