,CPF US Equity
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,28.429
2020-11-20,28.615
2020-11-21,28.615
2020-11-22,28.615
2020-11-23,28.463
2020-11-24,26.132
2020-11-25,26.217
2020-11-26,26.217
2020-11-27,27.16
2020-11-28,27.16
2020-11-29,27.16
2020-11-30,29.032
2020-12-01,28.596
2020-12-02,27.697
2020-12-03,27.714
2020-12-04,26.838
2020-12-05,26.838
2020-12-06,26.838
2020-12-07,27.191
2020-12-08,27.175
2020-12-09,26.823
2020-12-10,26.613
2020-12-11,26.869
2020-12-12,26.869
2020-12-13,26.869
2020-12-14,26.145
2020-12-15,25.46
2020-12-16,25.707
2020-12-17,25.693
2020-12-18,25.044
2020-12-19,25.044
2020-12-20,25.044
2020-12-21,25.164
2020-12-22,25.583
2020-12-23,24.822
2020-12-24,25.031
2020-12-25,25.031
2020-12-26,25.031
2020-12-27,25.031
2020-12-28,24.913
2020-12-29,25.311
2020-12-30,25.177
2020-12-31,25.031
2021-01-01,25.031
2021-01-02,25.031
2021-01-03,25.031
2021-01-04,25.624
2021-01-05,25.392
2021-01-06,22.899
2021-01-07,22.713
2021-01-08,22.899
2021-01-09,22.899
2021-01-10,22.899
2021-01-11,23.032
2021-01-12,22.562
2021-01-13,23.099
2021-01-14,22.414
2021-01-15,22.954
2021-01-16,22.954
2021-01-17,22.954
2021-01-18,22.954
2021-01-19,22.735
2021-01-20,22.976
2021-01-21,23.686
2021-01-22,23.406
2021-01-23,23.406
2021-01-24,23.406
2021-01-25,23.709
2021-01-26,24.365
2021-01-27,25.514
2021-01-28,23.956
2021-01-29,24.522
2021-01-30,24.522
2021-01-31,24.522
2021-02-01,23.483
2021-02-02,23.181
2021-02-03,23.382
2021-02-04,22.633
2021-02-05,22.486
2021-02-06,22.486
2021-02-07,22.486
2021-02-08,22.049
2021-02-09,21.696
2021-02-10,22.129
2021-02-11,22.549
2021-02-12,22.591
2021-02-13,22.591
2021-02-14,22.591
2021-02-15,22.591
2021-02-16,22.435
2021-02-17,22.373
2021-02-18,23.148
2021-02-19,22.497
2021-02-20,22.497
2021-02-21,22.497
2021-02-22,21.783
2021-02-23,21.542
2021-02-24,20.789
2021-02-25,20.952
2021-02-26,21.331
2021-02-27,21.331
2021-02-28,21.331
2021-03-01,20.585
2021-03-02,21.015
2021-03-03,20.181
2021-03-04,20.257
2021-03-05,19.671
2021-03-06,19.671
2021-03-07,19.671
2021-03-08,18.805
2021-03-09,19.286
2021-03-10,18.732
2021-03-11,18.257
2021-03-12,17.905
2021-03-13,17.905
2021-03-14,17.905
2021-03-15,18.32
2021-03-16,18.425
2021-03-17,18.306
2021-03-18,17.892
2021-03-19,17.832
2021-03-20,17.832
2021-03-21,17.832
2021-03-22,18.382
2021-03-23,18.747
2021-03-24,18.609
2021-03-25,18.313
2021-03-26,17.992
2021-03-27,17.992
2021-03-28,17.992
2021-03-29,18.439
2021-03-30,17.912
2021-03-31,18.093
2021-04-01,17.728
2021-04-02,17.728
2021-04-03,17.728
2021-04-04,17.728
2021-04-05,17.611
2021-04-06,17.885
2021-04-07,17.793
2021-04-08,17.541
2021-04-09,17.605
2021-04-10,17.605
2021-04-11,17.605
2021-04-12,17.458
2021-04-13,17.872
2021-04-14,17.624
2021-04-15,17.656
2021-04-16,17.586
2021-04-17,17.586
2021-04-18,17.586
2021-04-19,17.734
2021-04-20,18.481
2021-04-21,18.107
2021-04-22,18.432
2021-04-23,17.682
2021-04-24,17.682
2021-04-25,17.682
2021-04-26,17.952
2021-04-27,18.134
2021-04-28,18.168
2021-04-29,17.624
2021-04-30,17.912
2021-05-01,17.912
2021-05-02,17.912
2021-05-03,17.139
2021-05-04,16.874
2021-05-05,16.857
2021-05-06,16.693
2021-05-07,16.798
2021-05-08,16.798
2021-05-09,16.798
2021-05-10,17.109
2021-05-11,17.514
2021-05-12,17.754
2021-05-13,17.024
2021-05-14,16.833
2021-05-15,16.833
2021-05-16,16.833
2021-05-17,16.868
2021-05-18,17.145
2021-05-19,17.256
2021-05-20,17.35
2021-05-21,17.066
2021-05-22,17.066
2021-05-23,17.066
2021-05-24,17.306
2021-05-25,17.806
2021-05-26,17.432
2021-05-27,17.255
2021-05-28,17.186
2021-05-29,17.186
2021-05-30,17.186
2021-05-31,17.186
2021-06-01,16.93
2021-06-02,16.948
2021-06-03,16.792
2021-06-04,16.804
2021-06-05,16.804
2021-06-06,16.804
2021-06-07,16.739
2021-06-08,16.657
2021-06-09,16.942
2021-06-10,17.464
2021-06-11,17.47
2021-06-12,17.47
2021-06-13,17.47
2021-06-14,17.612
2021-06-15,17.311
2021-06-16,17.075
2021-06-17,17.638
2021-06-18,18.121
2021-06-19,18.121
2021-06-20,18.121
2021-06-21,17.599
2021-06-22,17.625
2021-06-23,17.737
2021-06-24,17.651
2021-06-25,17.957
2021-06-26,17.957
2021-06-27,17.957
2021-06-28,18.225
2021-06-29,18.373
2021-06-30,18.274
2021-07-01,18.198
2021-07-02,18.451
2021-07-03,18.451
2021-07-04,18.451
2021-07-05,18.451
2021-07-06,18.831
2021-07-07,17.598
2021-07-08,17.945
2021-07-09,17.381
2021-07-10,17.381
2021-07-11,17.381
2021-07-12,17.264
2021-07-13,17.683
2021-07-14,17.64
2021-07-15,17.402
2021-07-16,17.748
2021-07-17,17.748
2021-07-18,17.748
2021-07-19,18.46
2021-07-20,17.93
2021-07-21,17.619
2021-07-22,18.018
2021-07-23,17.886
2021-07-24,17.886
2021-07-25,17.886
2021-07-26,17.584
2021-07-27,17.527
2021-07-28,17.21
2021-07-29,16.983
2021-07-30,17.082
2021-07-31,17.082
2021-08-01,17.082
2021-08-02,17.451
2021-08-03,17.152
2021-08-04,17.334
2021-08-05,17.098
2021-08-06,16.727
2021-08-07,16.727
2021-08-08,16.727
2021-08-09,16.96
2021-08-10,16.614
2021-08-11,16.391
2021-08-12,16.607
2021-08-13,16.766
2021-08-14,16.766
2021-08-15,16.766
2021-08-16,16.895
2021-08-17,17.246
2021-08-18,17.41
2021-08-19,17.563
2021-08-20,17.178
2021-08-21,17.178
2021-08-22,17.178
2021-08-23,17.138
2021-08-24,17.219
2021-08-25,17.138
2021-08-26,17.389
2021-08-27,16.843
2021-08-28,16.843
2021-08-29,16.843
2021-08-30,17.298
2021-08-31,17.209
2021-09-01,17.401
2021-09-02,17.634
2021-09-03,17.634
2021-09-04,17.634
2021-09-05,17.634
2021-09-06,17.634
2021-09-07,17.634
2021-09-08,17.634
2021-09-09,17.634
2021-09-10,17.634
2021-09-11,17.634
2021-09-12,17.634
2021-09-13,17.634
2021-09-14,17.634
2021-09-15,17.634
2021-09-16,17.634
2021-09-17,17.634
2021-09-18,17.634
2021-09-19,17.634
2021-09-20,17.634
2021-09-21,17.634
2021-09-22,17.634
2021-09-23,17.634
2021-09-24,17.634
2021-09-25,17.634
2021-09-26,17.634
2021-09-27,17.634
2021-09-28,17.634
2021-09-29,17.634
2021-09-30,17.634
2021-10-01,17.634
2021-10-02,17.634
2021-10-03,17.634
2021-10-04,17.634
2021-10-05,17.634
2021-10-06,17.634
2021-10-07,17.634
2021-10-08,17.634
2021-10-09,17.634
2021-10-10,17.634
2021-10-11,17.634
2021-10-12,17.634
2021-10-13,17.634
2021-10-14,17.634
2021-10-15,17.634
2021-10-16,17.634
2021-10-17,17.634
2021-10-18,17.634
2021-10-19,17.634
2021-10-20,17.634
2021-10-21,17.634
2021-10-22,17.634
2021-10-23,17.634
2021-10-24,17.634
2021-10-25,17.634
2021-10-26,17.634
2021-10-27,17.634
2021-10-28,17.634
2021-10-29,17.634
2021-10-30,17.634
2021-10-31,17.634
2021-11-01,17.634
2021-11-02,17.634
2021-11-03,17.634
2021-11-04,17.634
2021-11-05,17.634
2021-11-06,17.634
2021-11-07,17.634
2021-11-08,17.634
2021-11-09,17.634
2021-11-10,17.634
2021-11-11,17.634
2021-11-12,17.634
2021-11-13,17.634
2021-11-14,17.634
2021-11-15,17.634
2021-11-16,17.634
2021-11-17,17.634
2021-11-18,17.634
2021-11-19,17.634
2021-11-20,17.634
2021-11-21,17.634
2021-11-22,17.634
2021-11-23,17.634
2021-11-24,17.634
2021-11-25,17.634
2021-11-26,17.634
2021-11-27,17.634
2021-11-28,17.634
2021-11-29,17.634
2021-11-30,17.634
2021-12-01,17.634
2021-12-02,17.634
2021-12-03,17.634
2021-12-04,17.634
2021-12-05,17.634
2021-12-06,17.634
2021-12-07,17.634
2021-12-08,17.634
2021-12-09,17.634
2021-12-10,17.634
2021-12-11,17.634
2021-12-12,17.634
2021-12-13,17.634
2021-12-14,17.634
2021-12-15,17.634
2021-12-16,17.634
2021-12-17,17.634
2021-12-18,17.634
2021-12-19,17.634
2021-12-20,17.634
2021-12-21,17.634
2021-12-22,17.634
2021-12-23,17.634
2021-12-24,17.634
2021-12-25,17.634
2021-12-26,17.634
2021-12-27,17.634
2021-12-28,17.634
2021-12-29,17.634
2021-12-30,17.634
2021-12-31,17.634
2022-01-01,17.634
2022-01-02,17.634
2022-01-03,17.634
2022-01-04,17.634
2022-01-05,17.634
2022-01-06,17.634
2022-01-07,17.634
2022-01-08,17.634
2022-01-09,17.634
2022-01-10,17.634
2022-01-11,17.634
2022-01-12,17.634
2022-01-13,17.634
2022-01-14,17.634
2022-01-15,17.634
2022-01-16,17.634
2022-01-17,17.634
2022-01-18,17.634
2022-01-19,17.634
2022-01-20,17.634
2022-01-21,17.634
2022-01-22,17.634
2022-01-23,17.634
2022-01-24,17.634
2022-01-25,17.634
2022-01-26,17.634
2022-01-27,17.634
2022-01-28,17.634
2022-01-29,17.634
2022-01-30,17.634
2022-01-31,17.634
2022-02-01,17.634
2022-02-02,17.634
2022-02-03,17.634
2022-02-04,17.634
2022-02-05,17.634
2022-02-06,17.634
2022-02-07,17.634
2022-02-08,17.634
2022-02-09,17.634
2022-02-10,17.634
2022-02-11,17.634
2022-02-12,17.634
2022-02-13,17.634
2022-02-14,17.634
2022-02-15,17.634
2022-02-16,17.634
2022-02-17,17.634
2022-02-18,17.634
2022-02-19,17.634
2022-02-20,17.634
2022-02-21,17.634
2022-02-22,17.634
2022-02-23,17.634
2022-02-24,17.634
2022-02-25,17.634
2022-02-26,17.634
2022-02-27,17.634
2022-02-28,17.634
2022-03-01,17.634
2022-03-02,17.634
2022-03-03,17.634
2022-03-04,17.634
2022-03-05,17.634
2022-03-06,17.634
2022-03-07,17.634
2022-03-08,17.634
2022-03-09,17.634
2022-03-10,17.634
2022-03-11,17.634
2022-03-12,17.634
2022-03-13,17.634
2022-03-14,17.634
2022-03-15,17.634
2022-03-16,17.634
2022-03-17,17.634
2022-03-18,17.634
2022-03-19,17.634
2022-03-20,17.634
2022-03-21,17.634
2022-03-22,17.634
2022-03-23,17.634
2022-03-24,17.634
2022-03-25,17.634
2022-03-26,17.634
2022-03-27,17.634
2022-03-28,17.634
2022-03-29,17.634
2022-03-30,17.634
2022-03-31,17.634
2022-04-01,17.634
2022-04-02,17.634
2022-04-03,17.634
2022-04-04,17.634
2022-04-05,17.634
2022-04-06,17.634
2022-04-07,17.634
2022-04-08,17.634
2022-04-09,17.634
2022-04-10,17.634
2022-04-11,17.634
2022-04-12,17.634
2022-04-13,17.634
2022-04-14,17.634
2022-04-15,17.634
2022-04-16,17.634
2022-04-17,17.634
2022-04-18,17.634
2022-04-19,17.634
2022-04-20,17.634
2022-04-21,17.634
2022-04-22,17.634
2022-04-23,17.634
2022-04-24,17.634
2022-04-25,17.634
2022-04-26,17.634
2022-04-27,17.634
2022-04-28,17.634
2022-04-29,17.634
2022-04-30,17.634
2022-05-01,17.634
2022-05-02,17.634
2022-05-03,17.634
2022-05-04,17.634
2022-05-05,17.634
2022-05-06,17.634
2022-05-07,17.634
2022-05-08,17.634
2022-05-09,17.634
2022-05-10,17.634
2022-05-11,17.634
2022-05-12,17.634
2022-05-13,17.634
2022-05-14,17.634
2022-05-15,17.634
2022-05-16,17.634
2022-05-17,17.634
2022-05-18,17.634
2022-05-19,17.634
2022-05-20,17.634
2022-05-21,17.634
2022-05-22,17.634
2022-05-23,17.634
2022-05-24,17.634
2022-05-25,17.634
2022-05-26,17.634
2022-05-27,17.634
2022-05-28,17.634
2022-05-29,17.634
2022-05-30,17.634
2022-05-31,17.634
2022-06-01,17.634
2022-06-02,17.634
2022-06-03,17.634
2022-06-04,17.634
2022-06-05,17.634
2022-06-06,17.634
2022-06-07,17.634
2022-06-08,17.634
2022-06-09,17.634
2022-06-10,17.634
2022-06-11,17.634
2022-06-12,17.634
2022-06-13,17.634
2022-06-14,17.634
2022-06-15,17.634
2022-06-16,17.634
2022-06-17,17.634
2022-06-18,17.634
2022-06-19,17.634
2022-06-20,17.634
2022-06-21,17.634
2022-06-22,17.634
2022-06-23,17.634
2022-06-24,17.634
2022-06-25,17.634
2022-06-26,17.634
2022-06-27,17.634
2022-06-28,17.634
2022-06-29,17.634
2022-06-30,17.634
2022-07-01,17.634
2022-07-02,17.634
2022-07-03,17.634
2022-07-04,17.634
2022-07-05,17.634
2022-07-06,17.634
2022-07-07,17.634
2022-07-08,17.634
2022-07-09,17.634
2022-07-10,17.634
2022-07-11,17.634
2022-07-12,17.634
2022-07-13,17.634
2022-07-14,17.634
2022-07-15,17.634
2022-07-16,17.634
2022-07-17,17.634
2022-07-18,17.634
2022-07-19,17.634
2022-07-20,17.634
2022-07-21,17.634
2022-07-22,17.634
2022-07-23,17.634
2022-07-24,17.634
2022-07-25,17.634
2022-07-26,17.634
2022-07-27,17.634
2022-07-28,17.634
2022-07-29,17.634
2022-07-30,17.634
2022-07-31,17.634
2022-08-01,17.634
2022-08-02,17.634
2022-08-03,17.634
2022-08-04,17.634
2022-08-05,17.634
2022-08-06,17.634
2022-08-07,17.634
2022-08-08,17.634
2022-08-09,17.634
2022-08-10,17.634
2022-08-11,17.634
2022-08-12,17.634
2022-08-13,17.634
2022-08-14,17.634
2022-08-15,17.634
2022-08-16,17.634
2022-08-17,17.634
2022-08-18,17.634
2022-08-19,17.634
2022-08-20,17.634
2022-08-21,17.634
2022-08-22,17.634
2022-08-23,17.634
2022-08-24,17.634
2022-08-25,17.634
2022-08-26,17.634
2022-08-27,17.634
2022-08-28,17.634
2022-08-29,17.634
2022-08-30,17.634
2022-08-31,17.634
2022-09-01,17.634
2022-09-02,17.634
2022-09-03,17.634
2022-09-04,17.634
2022-09-05,17.634
2022-09-06,17.634
2022-09-07,17.634
2022-09-08,17.634
2022-09-09,17.634
2022-09-10,17.634
2022-09-11,17.634
2022-09-12,17.634
2022-09-13,17.634
2022-09-14,17.634
2022-09-15,17.634
2022-09-16,17.634
2022-09-17,17.634
2022-09-18,17.634
2022-09-19,17.634
2022-09-20,17.634
2022-09-21,17.634
2022-09-22,17.634
2022-09-23,17.634
2022-09-24,17.634
2022-09-25,17.634
2022-09-26,17.634
2022-09-27,17.634
2022-09-28,17.634
2022-09-29,17.634
2022-09-30,17.634
2022-10-01,17.634
2022-10-02,17.634
2022-10-03,17.634
2022-10-04,17.634
2022-10-05,17.634
2022-10-06,5.779
2022-10-07,5.929
2022-10-08,5.929
2022-10-09,5.929
2022-10-10,5.811
2022-10-11,5.776
2022-10-12,5.749
2022-10-13,5.49
2022-10-14,5.574
2022-10-15,5.574
2022-10-16,5.574
2022-10-17,5.444
2022-10-18,5.473
2022-10-19,5.47
2022-10-20,5.638
2022-10-21,5.446
2022-10-22,5.446
2022-10-23,5.446
2022-10-24,5.913
2022-10-25,6.036
2022-10-26,6.042
2022-10-27,5.901
2022-10-28,5.829
2022-10-29,5.829
2022-10-30,5.829
2022-10-31,5.65
2022-11-01,5.821
2022-11-02,5.931
2022-11-03,6.02
2022-11-04,5.827
2022-11-05,5.827
2022-11-06,5.827
2022-11-07,5.806
2022-11-08,5.815
2022-11-09,5.856
2022-11-10,5.485
2022-11-11,5.487
2022-11-12,5.487
2022-11-13,5.487
2022-11-14,5.623
2022-11-15,5.487
2022-11-16,5.637
2022-11-17,5.615
2022-11-18,5.629
2022-11-19,5.629
2022-11-20,5.629
2022-11-21,5.564
2022-11-22,5.54
2022-11-23,5.511
2022-11-24,5.511
2022-11-25,5.487
2022-11-26,5.487
2022-11-27,5.487
2022-11-28,5.55
2022-11-29,5.508
2022-11-30,5.404
2022-12-01,5.473
2022-12-02,5.429
2022-12-03,5.429
2022-12-04,5.429
2022-12-05,5.657
2022-12-06,5.591
2022-12-07,5.646
2022-12-08,5.586
2022-12-09,5.58
2022-12-10,5.58
2022-12-11,5.58
2022-12-12,5.641
2022-12-13,5.728
2022-12-14,5.878
2022-12-15,6.014
2022-12-16,6.058
2022-12-17,6.058
2022-12-18,6.058
2022-12-19,6.014
2022-12-20,6.046
2022-12-21,5.836
2022-12-22,5.836
2022-12-23,5.798
2022-12-24,5.798
2022-12-25,5.798
2022-12-26,5.798
2022-12-27,5.688
2022-12-28,5.795
2022-12-29,5.632
2022-12-30,5.646
2022-12-31,5.646
2023-01-01,5.646
2023-01-02,5.646
2023-01-03,5.616
2023-01-04,5.521
2023-01-05,5.621
2023-01-06,5.468
2023-01-07,5.468
2023-01-08,5.468
2023-01-09,5.521
2023-01-10,5.453
2023-01-11,5.458
2023-01-12,5.321
2023-01-13,5.373
2023-01-14,5.373
2023-01-15,5.373
2023-01-16,5.373
2023-01-17,5.494
2023-01-18,5.646
2023-01-19,5.627
2023-01-20,5.489
2023-01-21,5.489
2023-01-22,5.489
2023-01-23,5.434
2023-01-24,5.479
2023-01-25,5.114
2023-01-26,5.248
2023-01-27,5.219
2023-01-28,5.219
2023-01-29,5.219
2023-01-30,5.24
2023-01-31,5.067
2023-02-01,4.914
2023-02-02,4.811
2023-02-03,4.677
2023-02-04,4.677
2023-02-05,4.677
2023-02-06,4.773
2023-02-07,4.724
2023-02-08,4.797
2023-02-09,4.925
2023-02-10,4.91
2023-02-11,4.91
2023-02-12,4.91
2023-02-13,4.877
2023-02-14,4.895
2023-02-15,4.827
2023-02-16,4.929
2023-02-17,4.891
2023-02-18,4.891
2023-02-19,4.891
2023-02-20,4.891
2023-02-21,4.931
2023-02-22,4.978
2023-02-23,4.942
2023-02-24,4.936
2023-02-25,4.936
2023-02-26,4.936
2023-02-27,5.014
2023-02-28,5.048
2023-03-01,5.048
2023-03-02,5.098
2023-03-03,5.059
2023-03-04,5.059
2023-03-05,5.059
2023-03-06,5.142
2023-03-07,5.132
2023-03-08,5.123
2023-03-09,5.472
2023-03-10,5.611
2023-03-11,5.611
2023-03-12,5.611
2023-03-13,6.022
2023-03-14,6.01
2023-03-15,5.839
2023-03-16,5.712
2023-03-17,6.143
2023-03-18,6.143
2023-03-19,6.143
2023-03-20,6.087
2023-03-21,5.991
2023-03-22,6.184
2023-03-23,6.332
2023-03-24,6.266
2023-03-25,6.266
2023-03-26,6.266
2023-03-27,6.12
2023-03-28,6.123
2023-03-29,6.127
2023-03-30,6.437
2023-03-31,6.325
2023-04-01,6.325
2023-04-02,6.325
2023-04-03,6.433
2023-04-04,6.644
2023-04-05,6.688
2023-04-06,6.579
2023-04-07,6.579
2023-04-08,6.579
2023-04-09,6.579
2023-04-10,6.61
2023-04-11,6.652
2023-04-12,6.759
2023-04-13,6.696
2023-04-14,6.858
2023-04-15,6.858
2023-04-16,6.858
2023-04-17,6.751
2023-04-18,6.959
2023-04-19,6.788
2023-04-20,6.87
2023-04-21,6.976
2023-04-22,6.976
2023-04-23,6.976
2023-04-24,7.068
2023-04-25,7.444
2023-04-26,7.189
2023-04-27,7.13
2023-04-28,7.13
2023-04-29,7.13
2023-04-30,7.13
2023-05-01,7.17
2023-05-02,7.879
2023-05-03,7.912
2023-05-04,8.27
2023-05-05,7.803
2023-05-06,7.803
2023-05-07,7.803
2023-05-08,8.175
2023-05-09,8.157
2023-05-10,8.081
2023-05-11,8.264
2023-05-12,8.356
2023-05-13,8.356
2023-05-14,8.356
2023-05-15,8.053
2023-05-16,8.058
2023-05-17,7.578
2023-05-18,7.589
2023-05-19,7.681
2023-05-20,7.681
2023-05-21,7.681
2023-05-22,7.395
2023-05-23,7.202
2023-05-24,7.3
2023-05-25,7.371
2023-05-26,7.324
2023-05-27,7.324
2023-05-28,7.324
2023-05-29,7.324
2023-05-30,7.491
2023-05-31,7.619
2023-06-01,7.446
2023-06-02,6.923
2023-06-03,6.923
2023-06-04,6.923
2023-06-05,7.168
2023-06-06,6.817
2023-06-07,6.483
2023-06-08,6.575
2023-06-09,6.734
2023-06-10,6.734
2023-06-11,6.734
2023-06-12,6.796
2023-06-13,6.65
2023-06-14,6.863
2023-06-15,6.69
2023-06-16,6.662
2023-06-17,6.662
2023-06-18,6.662
2023-06-19,6.662
2023-06-20,6.73
2023-06-21,6.784
2023-06-22,6.94
2023-06-23,6.927
2023-06-24,6.927
2023-06-25,6.927
2023-06-26,7.014
2023-06-27,6.992
2023-06-28,6.997
2023-06-29,6.863
2023-06-30,7.086
2023-07-01,7.086
2023-07-02,7.086
2023-07-03,6.884
2023-07-04,6.884
2023-07-05,7.036
2023-07-06,7.228
2023-07-07,7.136
2023-07-08,7.136
2023-07-09,7.136
2023-07-10,7.095
2023-07-11,7.104
2023-07-12,6.888
2023-07-13,6.722
2023-07-14,6.726
2023-07-15,6.726
2023-07-16,6.726
2023-07-17,6.638
2023-07-18,6.346
2023-07-19,6.191
2023-07-20,6.198
2023-07-21,6.289
2023-07-22,6.289
2023-07-23,6.289
2023-07-24,6.063
2023-07-25,6.116
2023-07-26,6.04
2023-07-27,6.16
2023-07-28,6.11
2023-07-29,6.11
2023-07-30,6.11
2023-07-31,6.103
2023-08-01,6.191
2023-08-02,6.24
2023-08-03,6.191
2023-08-04,6.184
2023-08-05,6.184
2023-08-06,6.184
2023-08-07,6.133
2023-08-08,6.07
2023-08-09,6.11
2023-08-10,6.133
2023-08-11,6.147
2023-08-12,6.147
2023-08-13,6.147
2023-08-14,6.35
2023-08-15,6.54
2023-08-16,6.646
2023-08-17,6.431
2023-08-18,6.405
2023-08-19,6.405
2023-08-20,6.405
2023-08-21,6.521
2023-08-22,6.666
2023-08-23,6.533
2023-08-24,6.476
2023-08-25,6.521
2023-08-26,6.521
2023-08-27,6.521
2023-08-28,6.453
2023-08-29,6.416
2023-08-30,6.5
2023-08-31,6.461
2023-09-01,6.269
2023-09-02,6.269
2023-09-03,6.269
2023-09-04,6.269
2023-09-05,6.423
2023-09-06,6.645
2023-09-07,6.752
2023-09-08,6.69
2023-09-09,6.69
2023-09-10,6.69
2023-09-11,6.653
2023-09-12,6.613
2023-09-13,6.748
2023-09-14,6.617
2023-09-15,6.562
2023-09-16,6.562
2023-09-17,6.562
2023-09-18,6.625
2023-09-19,6.586
