,SBGI US Equity
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,5.306
2020-11-20,5.167
2020-11-21,5.167
2020-11-22,5.167
2020-11-23,4.992
2020-11-24,4.902
2020-11-25,4.884
2020-11-26,4.884
2020-11-27,4.931
2020-11-28,4.931
2020-11-29,4.931
2020-11-30,5.036
2020-12-01,4.879
2020-12-02,4.78
2020-12-03,4.822
2020-12-04,4.749
2020-12-05,4.749
2020-12-06,4.749
2020-12-07,4.754
2020-12-08,4.722
2020-12-09,4.71
2020-12-10,4.703
2020-12-11,4.797
2020-12-12,4.797
2020-12-13,4.797
2020-12-14,4.87
2020-12-15,4.762
2020-12-16,4.851
2020-12-17,4.744
2020-12-18,4.794
2020-12-19,4.794
2020-12-20,4.794
2020-12-21,4.939
2020-12-22,4.872
2020-12-23,4.358
2020-12-24,4.393
2020-12-25,4.393
2020-12-26,4.393
2020-12-27,4.393
2020-12-28,4.258
2020-12-29,4.352
2020-12-30,4.249
2020-12-31,4.311
2021-01-01,4.311
2021-01-02,4.311
2021-01-03,4.311
2021-01-04,4.327
2021-01-05,4.341
2021-01-06,4.098
2021-01-07,4.227
2021-01-08,4.226
2021-01-09,4.226
2021-01-10,4.226
2021-01-11,4.172
2021-01-12,4.153
2021-01-13,4.265
2021-01-14,4.061
2021-01-15,4.135
2021-01-16,4.135
2021-01-17,4.135
2021-01-18,4.135
2021-01-19,4.253
2021-01-20,4.352
2021-01-21,4.402
2021-01-22,4.294
2021-01-23,4.294
2021-01-24,4.294
2021-01-25,4.224
2021-01-26,4.237
2021-01-27,3.935
2021-01-28,4.177
2021-01-29,4.357
2021-01-30,4.357
2021-01-31,4.357
2021-02-01,4.232
2021-02-02,4.281
2021-02-03,4.365
2021-02-04,4.289
2021-02-05,4.244
2021-02-06,4.244
2021-02-07,4.244
2021-02-08,4.204
2021-02-09,4.231
2021-02-10,4.257
2021-02-11,4.249
2021-02-12,4.25
2021-02-13,4.25
2021-02-14,4.25
2021-02-15,4.25
2021-02-16,4.215
2021-02-17,4.16
2021-02-18,4.183
2021-02-19,4.154
2021-02-20,4.154
2021-02-21,4.154
2021-02-22,3.945
2021-02-23,3.784
2021-02-24,3.932
2021-02-25,4.406
2021-02-26,4.439
2021-02-27,4.439
2021-02-28,4.439
2021-03-01,4.205
2021-03-02,3.973
2021-03-03,3.84
2021-03-04,3.85
2021-03-05,3.771
2021-03-06,3.771
2021-03-07,3.771
2021-03-08,3.654
2021-03-09,3.666
2021-03-10,3.616
2021-03-11,3.547
2021-03-12,3.556
2021-03-13,3.556
2021-03-14,3.556
2021-03-15,3.603
2021-03-16,3.626
2021-03-17,3.598
2021-03-18,3.805
2021-03-19,3.984
2021-03-20,3.984
2021-03-21,3.984
2021-03-22,4.038
2021-03-23,4.308
2021-03-24,4.69
2021-03-25,4.654
2021-03-26,4.686
2021-03-27,4.686
2021-03-28,4.686
2021-03-29,4.743
2021-03-30,4.583
2021-03-31,4.667
2021-04-01,4.563
2021-04-02,4.563
2021-04-03,4.563
2021-04-04,4.563
2021-04-05,4.59
2021-04-06,4.564
2021-04-07,4.557
2021-04-08,4.532
2021-04-09,4.576
2021-04-10,4.576
2021-04-11,4.576
2021-04-12,4.558
2021-04-13,4.626
2021-04-14,4.637
2021-04-15,4.504
2021-04-16,4.54
2021-04-17,4.54
2021-04-18,4.54
2021-04-19,4.397
2021-04-20,4.492
2021-04-21,4.313
2021-04-22,4.22
2021-04-23,4.186
2021-04-24,4.186
2021-04-25,4.186
2021-04-26,4.127
2021-04-27,4.103
2021-04-28,4.047
2021-04-29,4.11
2021-04-30,4.206
2021-05-01,4.206
2021-05-02,4.206
2021-05-03,4.268
2021-05-04,4.35
2021-05-05,3.794
2021-05-06,3.754
2021-05-07,3.696
2021-05-08,3.696
2021-05-09,3.696
2021-05-10,3.714
2021-05-11,3.732
2021-05-12,3.789
2021-05-13,3.727
2021-05-14,3.175
2021-05-15,3.175
2021-05-16,3.175
2021-05-17,3.241
2021-05-18,3.274
2021-05-19,3.364
2021-05-20,3.323
2021-05-21,3.261
2021-05-22,3.261
2021-05-23,3.261
2021-05-24,3.248
2021-05-25,3.305
2021-05-26,3.23
2021-05-27,3.09
2021-05-28,3.134
2021-05-29,3.134
2021-05-30,3.134
2021-05-31,3.134
2021-06-01,3.085
2021-06-02,3.05
2021-06-03,3.132
2021-06-04,3.159
2021-06-05,3.159
2021-06-06,3.159
2021-06-07,3.157
2021-06-08,3.141
2021-06-09,3.197
2021-06-10,3.28
2021-06-11,3.284
2021-06-12,3.284
2021-06-13,3.284
2021-06-14,3.278
2021-06-15,3.269
2021-06-16,3.262
2021-06-17,3.3
2021-06-18,3.316
2021-06-19,3.316
2021-06-20,3.316
2021-06-21,3.22
2021-06-22,3.204
2021-06-23,3.15
2021-06-24,3.095
2021-06-25,3.032
2021-06-26,3.032
2021-06-27,3.032
2021-06-28,3.108
2021-06-29,3.201
2021-06-30,3.179
2021-07-01,3.247
2021-07-02,2.485
2021-07-03,2.485
2021-07-04,2.485
2021-07-05,2.485
2021-07-06,2.542
2021-07-07,2.628
2021-07-08,2.688
2021-07-09,2.646
2021-07-10,2.646
2021-07-11,2.646
2021-07-12,2.655
2021-07-13,2.76
2021-07-14,2.8
2021-07-15,2.862
2021-07-16,2.951
2021-07-17,2.951
2021-07-18,2.951
2021-07-19,3.002
2021-07-20,2.882
2021-07-21,2.767
2021-07-22,2.813
2021-07-23,2.806
2021-07-24,2.806
2021-07-25,2.806
2021-07-26,2.77
2021-07-27,2.809
2021-07-28,2.765
2021-07-29,2.77
2021-07-30,2.83
2021-07-31,2.83
2021-08-01,2.83
2021-08-02,2.829
2021-08-03,2.832
2021-08-04,2.721
2021-08-05,2.639
2021-08-06,2.583
2021-08-07,2.583
2021-08-08,2.583
2021-08-09,2.662
2021-08-10,2.702
2021-08-11,2.613
2021-08-12,2.62
2021-08-13,2.656
2021-08-14,2.656
2021-08-15,2.656
2021-08-16,2.739
2021-08-17,2.697
2021-08-18,2.757
2021-08-19,2.852
2021-08-20,2.806
2021-08-21,2.806
2021-08-22,2.806
2021-08-23,2.74
2021-08-24,2.673
2021-08-25,2.642
2021-08-26,2.642
2021-08-27,2.672
2021-08-28,2.672
2021-08-29,2.672
2021-08-30,2.658
2021-08-31,2.65
2021-09-01,2.687
2021-09-02,2.704
2021-09-03,2.776
2021-09-04,2.776
2021-09-05,2.776
2021-09-06,2.776
2021-09-07,2.809
2021-09-08,2.874
2021-09-09,2.927
2021-09-10,2.956
2021-09-11,2.956
2021-09-12,2.956
2021-09-13,2.883
2021-09-14,2.905
2021-09-15,2.828
2021-09-16,2.767
2021-09-17,2.715
2021-09-18,2.715
2021-09-19,2.715
2021-09-20,2.796
2021-09-21,2.785
2021-09-22,2.753
2021-09-23,2.704
2021-09-24,2.458
2021-09-25,2.458
2021-09-26,2.458
2021-09-27,2.421
2021-09-28,2.469
2021-09-29,2.462
2021-09-30,2.511
2021-10-01,2.456
2021-10-02,2.456
2021-10-03,2.456
2021-10-04,2.503
2021-10-05,2.547
2021-10-06,2.566
2021-10-07,2.587
2021-10-08,2.724
2021-10-09,2.724
2021-10-10,2.724
2021-10-11,2.732
2021-10-12,2.791
2021-10-13,2.882
2021-10-14,2.852
2021-10-15,2.925
2021-10-16,2.925
2021-10-17,2.925
2021-10-18,3.014
2021-10-19,2.849
2021-10-20,2.758
2021-10-21,2.805
2021-10-22,2.794
2021-10-23,2.794
2021-10-24,2.794
2021-10-25,2.856
2021-10-26,2.857
2021-10-27,2.981
2021-10-28,2.987
2021-10-29,3.044
2021-10-30,3.044
2021-10-31,3.044
2021-11-01,2.991
2021-11-02,2.851
2021-11-03,2.922
2021-11-04,2.968
2021-11-05,2.903
2021-11-06,2.903
2021-11-07,2.903
2021-11-08,3.001
2021-11-09,3.01
2021-11-10,3.01
2021-11-11,3.006
2021-11-12,3.037
2021-11-13,3.037
2021-11-14,3.037
2021-11-15,2.96
2021-11-16,3.009
2021-11-17,3.044
2021-11-18,3.181
2021-11-19,3.272
2021-11-20,3.272
2021-11-21,3.272
2021-11-22,3.257
2021-11-23,3.225
2021-11-24,3.228
2021-11-25,3.228
2021-11-26,3.35
2021-11-27,3.35
2021-11-28,3.35
2021-11-29,3.4
2021-11-30,3.38
2021-12-01,3.46
2021-12-02,3.166
2021-12-03,3.135
2021-12-04,3.135
2021-12-05,3.135
2021-12-06,3.122
2021-12-07,3.147
2021-12-08,3.098
2021-12-09,3.112
2021-12-10,3.101
2021-12-11,3.101
2021-12-12,3.101
2021-12-13,3.042
2021-12-14,3.048
2021-12-15,3.064
2021-12-16,2.985
2021-12-17,2.977
2021-12-18,2.977
2021-12-19,2.977
2021-12-20,2.987
2021-12-21,2.919
2021-12-22,2.946
2021-12-23,2.966
2021-12-24,2.966
2021-12-25,2.966
2021-12-26,2.966
2021-12-27,3.098
2021-12-28,3.036
2021-12-29,3.123
2021-12-30,2.98
2021-12-31,2.984
2022-01-01,2.984
2022-01-02,2.984
2022-01-03,2.929
2022-01-04,2.942
2022-01-05,3.035
2022-01-06,2.94
2022-01-07,2.733
2022-01-08,2.733
2022-01-09,2.733
2022-01-10,2.701
2022-01-11,2.74
2022-01-12,2.7
2022-01-13,2.619
2022-01-14,2.607
2022-01-15,2.607
2022-01-16,2.607
2022-01-17,2.607
2022-01-18,2.653
2022-01-19,2.691
2022-01-20,2.856
2022-01-21,2.93
2022-01-22,2.93
2022-01-23,2.93
2022-01-24,2.87
2022-01-25,2.876
2022-01-26,2.939
2022-01-27,2.998
2022-01-28,2.895
2022-01-29,2.895
2022-01-30,2.895
2022-01-31,2.87
2022-02-01,2.864
2022-02-02,2.856
2022-02-03,2.915
2022-02-04,2.973
2022-02-05,2.973
2022-02-06,2.973
2022-02-07,2.967
2022-02-08,2.872
2022-02-09,2.726
2022-02-10,2.719
2022-02-11,2.695
2022-02-12,2.695
2022-02-13,2.695
2022-02-14,2.763
2022-02-15,2.681
2022-02-16,2.792
2022-02-17,2.816
2022-02-18,2.844
2022-02-19,2.844
2022-02-20,2.844
2022-02-21,2.844
2022-02-22,2.934
2022-02-23,3.059
2022-02-24,3.212
2022-02-25,3.421
2022-02-26,3.421
2022-02-27,3.421
2022-02-28,3.124
2022-03-01,3.127
2022-03-02,3.137
2022-03-03,3.194
2022-03-04,2.923
2022-03-05,2.923
2022-03-06,2.923
2022-03-07,3.041
2022-03-08,2.994
2022-03-09,2.952
2022-03-10,3.176
2022-03-11,3.294
2022-03-12,3.294
2022-03-13,3.294
2022-03-14,3.329
2022-03-15,3.201
2022-03-16,3.008
2022-03-17,4.566
2022-03-18,4.536
2022-03-19,4.536
2022-03-20,4.536
2022-03-21,4.532
2022-03-22,4.491
2022-03-23,4.588
2022-03-24,4.499
2022-03-25,4.472
2022-03-26,4.472
2022-03-27,4.472
2022-03-28,4.556
2022-03-29,4.493
2022-03-30,4.586
2022-03-31,4.468
2022-04-01,4.58
2022-04-02,4.58
2022-04-03,4.58
2022-04-04,4.467
2022-04-05,4.593
2022-04-06,4.739
2022-04-07,5.016
2022-04-08,5.15
2022-04-09,5.15
2022-04-10,5.15
2022-04-11,5.113
2022-04-12,5.172
2022-04-13,5.241
2022-04-14,5.475
2022-04-15,5.475
2022-04-16,5.475
2022-04-17,5.475
2022-04-18,5.131
2022-04-19,4.987
2022-04-20,5.096
2022-04-21,5.228
2022-04-22,5.197
2022-04-23,5.197
2022-04-24,5.197
2022-04-25,5.249
2022-04-26,5.246
2022-04-27,5.339
2022-04-28,5.287
2022-04-29,5.451
2022-04-30,5.451
2022-05-01,5.451
2022-05-02,5.109
2022-05-03,5.19
2022-05-04,5.02
2022-05-05,5.134
2022-05-06,5.07
2022-05-07,5.07
2022-05-08,5.07
2022-05-09,5.349
2022-05-10,5.363
2022-05-11,5.38
2022-05-12,5.06
2022-05-13,4.893
2022-05-14,4.893
2022-05-15,4.893
2022-05-16,4.94
2022-05-17,4.755
2022-05-18,4.792
2022-05-19,4.714
2022-05-20,4.825
2022-05-21,4.825
2022-05-22,4.825
2022-05-23,4.859
2022-05-24,5.562
2022-05-25,5.225
2022-05-26,5.087
2022-05-27,4.997
2022-05-28,4.997
2022-05-29,4.997
2022-05-30,4.997
2022-05-31,4.966
2022-06-01,5.033
2022-06-02,4.972
2022-06-03,5.187
2022-06-04,5.187
2022-06-05,5.187
2022-06-06,5.158
2022-06-07,5.107
2022-06-08,5.266
2022-06-09,5.348
2022-06-10,5.545
2022-06-11,5.545
2022-06-12,5.545
2022-06-13,6.127
2022-06-14,5.884
2022-06-15,5.744
2022-06-16,6.215
2022-06-17,6.257
2022-06-18,6.257
2022-06-19,6.257
2022-06-20,6.257
2022-06-21,6.127
2022-06-22,6.158
2022-06-23,6.047
2022-06-24,5.733
2022-06-25,5.733
2022-06-26,5.733
2022-06-27,5.665
2022-06-28,5.714
2022-06-29,6.002
2022-06-30,5.899
2022-07-01,5.822
2022-07-02,5.822
2022-07-03,5.822
2022-07-04,5.822
2022-07-05,5.777
2022-07-06,5.948
2022-07-07,5.799
2022-07-08,5.719
2022-07-09,5.719
2022-07-10,5.719
2022-07-11,5.788
2022-07-12,5.55
2022-07-13,5.746
2022-07-14,5.827
2022-07-15,5.697
2022-07-16,5.697
2022-07-17,5.697
2022-07-18,5.612
2022-07-19,5.442
2022-07-20,5.329
2022-07-21,5.241
2022-07-22,5.31
2022-07-23,5.31
2022-07-24,5.31
2022-07-25,5.331
2022-07-26,5.389
2022-07-27,5.365
2022-07-28,5.245
2022-07-29,5.51
2022-07-30,5.51
2022-07-31,5.51
2022-08-01,5.472
2022-08-02,5.472
2022-08-03,5.164
2022-08-04,5.18
2022-08-05,5.236
2022-08-06,5.236
2022-08-07,5.236
2022-08-08,5.176
2022-08-09,5.207
2022-08-10,4.997
2022-08-11,4.788
2022-08-12,4.752
2022-08-13,4.752
2022-08-14,4.752
2022-08-15,4.737
2022-08-16,4.679
2022-08-17,4.752
2022-08-18,4.745
2022-08-19,4.86
2022-08-20,4.86
2022-08-21,4.86
2022-08-22,5.033
2022-08-23,5.118
2022-08-24,5.101
2022-08-25,5.079
2022-08-26,5.176
2022-08-27,5.176
2022-08-28,5.176
2022-08-29,5.227
2022-08-30,5.324
2022-08-31,5.387
2022-09-01,5.201
2022-09-02,5.275
2022-09-03,5.275
2022-09-04,5.275
2022-09-05,5.275
2022-09-06,5.441
2022-09-07,5.441
2022-09-08,5.509
2022-09-09,5.334
2022-09-10,5.334
2022-09-11,5.334
2022-09-12,5.233
2022-09-13,5.499
2022-09-14,5.566
2022-09-15,5.509
2022-09-16,5.471
2022-09-17,5.471
2022-09-18,5.471
2022-09-19,5.491
2022-09-20,5.426
2022-09-21,5.454
2022-09-22,5.688
2022-09-23,5.897
2022-09-24,5.897
2022-09-25,5.897
2022-09-26,6.087
2022-09-27,6.227
2022-09-28,6.35
2022-09-29,6.667
2022-09-30,6.578
2022-10-01,6.578
2022-10-02,6.578
2022-10-03,6.432
2022-10-04,6.783
2022-10-05,6.617
2022-10-06,6.666
2022-10-07,6.838
2022-10-08,6.838
2022-10-09,6.838
2022-10-10,6.737
2022-10-11,7.016
2022-10-12,7.102
2022-10-13,6.857
2022-10-14,6.846
2022-10-15,6.846
2022-10-16,6.846
2022-10-17,6.666
2022-10-18,6.449
2022-10-19,6.652
2022-10-20,6.617
2022-10-21,6.683
2022-10-22,6.683
2022-10-23,6.683
2022-10-24,6.631
2022-10-25,5.885
2022-10-26,6.195
2022-10-27,6.396
2022-10-28,6.315
2022-10-29,6.315
2022-10-30,6.315
2022-10-31,6.414
2022-11-01,6.185
2022-11-02,6.367
2022-11-03,6.498
2022-11-04,6.79
2022-11-05,6.79
2022-11-06,6.79
2022-11-07,6.439
2022-11-08,6.317
2022-11-09,6.491
2022-11-10,6.123
2022-11-11,5.869
2022-11-12,5.869
2022-11-13,5.869
2022-11-14,5.742
2022-11-15,5.614
2022-11-16,5.903
2022-11-17,5.978
2022-11-18,6.051
2022-11-19,6.051
2022-11-20,6.051
2022-11-21,6.159
2022-11-22,6.077
2022-11-23,6.035
2022-11-24,6.035
2022-11-25,6.077
2022-11-26,6.077
2022-11-27,6.077
2022-11-28,6.296
2022-11-29,6.146
2022-11-30,6.03
2022-12-01,6.086
2022-12-02,6.136
2022-12-03,6.136
2022-12-04,6.136
2022-12-05,6.425
2022-12-06,6.451
2022-12-07,6.541
2022-12-08,7.446
2022-12-09,7.122
2022-12-10,7.122
2022-12-11,7.122
2022-12-12,7.029
2022-12-13,7.455
2022-12-14,7.621
2022-12-15,7.712
2022-12-16,7.737
2022-12-17,7.737
2022-12-18,7.737
2022-12-19,8.346
2022-12-20,8.099
2022-12-21,8.126
2022-12-22,8.104
2022-12-23,8.019
2022-12-24,8.019
2022-12-25,8.019
2022-12-26,8.019
2022-12-27,8.088
2022-12-28,8.456
2022-12-29,8.115
2022-12-30,7.921
2022-12-31,7.921
2023-01-01,7.921
2023-01-02,7.921
2023-01-03,8.019
2023-01-04,7.496
2023-01-05,7.469
2023-01-06,7.147
2023-01-07,7.147
2023-01-08,7.147
2023-01-09,7.02
2023-01-10,6.822
2023-01-11,6.818
2023-01-12,6.788
2023-01-13,6.788
2023-01-14,6.788
2023-01-15,6.788
2023-01-16,6.788
2023-01-17,6.728
2023-01-18,6.803
2023-01-19,6.792
2023-01-20,6.673
2023-01-21,6.673
2023-01-22,6.673
2023-01-23,6.331
2023-01-24,6.344
2023-01-25,6.279
2023-01-26,5.977
2023-01-27,5.954
2023-01-28,5.954
2023-01-29,5.954
2023-01-30,6.018
2023-01-31,5.908
2023-02-01,5.698
2023-02-02,5.58
2023-02-03,5.7
2023-02-04,5.7
2023-02-05,5.7
2023-02-06,5.834
2023-02-07,5.971
2023-02-08,6.045
2023-02-09,6.202
2023-02-10,6.272
2023-02-11,6.272
2023-02-12,6.272
2023-02-13,6.334
2023-02-14,6.431
2023-02-15,6.054
2023-02-16,6.263
2023-02-17,6.282
2023-02-18,6.282
2023-02-19,6.282
2023-02-20,6.282
2023-02-21,6.425
2023-02-22,6.564
2023-02-23,6.529
2023-02-24,6.878
2023-02-25,6.878
2023-02-26,6.878
2023-02-27,7.01
2023-02-28,7.195
2023-03-01,7.33
2023-03-02,7.526
2023-03-03,7.349
2023-03-04,7.349
2023-03-05,7.349
2023-03-06,7.391
2023-03-07,7.415
2023-03-08,7.468
2023-03-09,7.601
2023-03-10,7.819
2023-03-11,7.819
2023-03-12,7.819
2023-03-13,7.977
2023-03-14,7.846
2023-03-15,8.289
2023-03-16,8.067
2023-03-17,9.053
2023-03-18,9.053
2023-03-19,9.053
2023-03-20,8.633
2023-03-21,8.079
2023-03-22,8.405
2023-03-23,8.016
2023-03-24,7.825
2023-03-25,7.825
2023-03-26,7.825
2023-03-27,7.467
2023-03-28,7.395
2023-03-29,7.231
2023-03-30,6.989
2023-03-31,6.671
2023-04-01,6.671
2023-04-02,6.671
2023-04-03,6.989
2023-04-04,6.888
2023-04-05,6.738
2023-04-06,6.545
2023-04-07,6.545
2023-04-08,6.545
2023-04-09,6.545
2023-04-10,6.215
2023-04-11,5.965
2023-04-12,5.913
2023-04-13,5.603
2023-04-14,5.581
2023-04-15,5.581
2023-04-16,5.581
2023-04-17,5.571
2023-04-18,5.581
2023-04-19,5.488
2023-04-20,5.735
2023-04-21,5.895
2023-04-22,5.895
2023-04-23,5.895
2023-04-24,5.892
2023-04-25,6.109
2023-04-26,6.215
2023-04-27,5.913
2023-04-28,5.755
2023-04-29,5.755
2023-04-30,5.755
2023-05-01,5.69
2023-05-02,6.138
2023-05-03,6.631
2023-05-04,7.191
2023-05-05,6.719
2023-05-06,6.719
2023-05-07,6.719
2023-05-08,6.9
2023-05-09,7.042
2023-05-10,7.109
2023-05-11,7.303
2023-05-12,7.105
2023-05-13,7.105
2023-05-14,7.105
2023-05-15,6.845
2023-05-16,7.003
2023-05-17,6.528
2023-05-18,6.468
2023-05-19,6.735
2023-05-20,6.735
2023-05-21,6.735
2023-05-22,6.845
2023-05-23,6.812
2023-05-24,7.064
2023-05-25,7.418
2023-05-26,7.005
2023-05-27,7.005
2023-05-28,7.005
2023-05-29,7.005
2023-05-30,7.041
2023-05-31,7.196
2023-06-01,7.33
2023-06-02,7.458
2023-06-03,7.458
2023-06-04,7.458
2023-06-05,7.855
2023-06-06,7.468
2023-06-07,7.113
2023-06-08,6.858
2023-06-09,7.21
2023-06-10,7.21
2023-06-11,7.21
2023-06-12,7.258
2023-06-13,7.315
2023-06-14,7.654
2023-06-15,7.85
2023-06-16,7.934
2023-06-17,7.934
2023-06-18,7.934
2023-06-19,7.934
2023-06-20,8.442
2023-06-21,8.617
2023-06-22,8.805
2023-06-23,8.89
2023-06-24,8.89
2023-06-25,8.89
2023-06-26,8.341
2023-06-27,7.923
2023-06-28,7.923
2023-06-29,7.878
2023-06-30,8.009
2023-07-01,8.009
2023-07-02,8.009
2023-07-03,8.015
2023-07-04,8.015
2023-07-05,8.205
2023-07-06,8.241
2023-07-07,8.015
2023-07-08,8.015
2023-07-09,8.015
2023-07-10,8.032
2023-07-11,8.126
2023-07-12,8.171
2023-07-13,7.878
2023-07-14,8.026
2023-07-15,8.026
2023-07-16,8.026
2023-07-17,7.934
2023-07-18,7.555
2023-07-19,7.67
2023-07-20,7.96
2023-07-21,8.038
2023-07-22,8.038
2023-07-23,8.038
2023-07-24,7.957
2023-07-25,8.003
2023-07-26,7.909
2023-07-27,8.322
2023-07-28,8.193
2023-07-29,8.193
2023-07-30,8.193
2023-07-31,7.957
2023-08-01,8.108
2023-08-02,8.205
2023-08-03,8.527
2023-08-04,7.794
2023-08-05,7.794
2023-08-06,7.794
2023-08-07,8.217
2023-08-08,8.003
2023-08-09,8.067
2023-08-10,7.866
2023-08-11,7.822
2023-08-12,7.822
2023-08-13,7.822
2023-08-14,7.692
2023-08-15,7.681
2023-08-16,8.079
2023-08-17,8.091
2023-08-18,8.132
2023-08-19,8.132
2023-08-20,8.132
2023-08-21,8.309
2023-08-22,8.26
2023-08-23,8.749
2023-08-24,8.514
2023-08-25,8.955
2023-08-26,8.955
2023-08-27,8.955
2023-08-28,8.694
2023-08-29,8.56
2023-08-30,8.52
2023-08-31,8.601
2023-09-01,9.606
2023-09-02,9.606
2023-09-03,9.606
2023-09-04,9.606
2023-09-05,10.236
2023-09-06,10.59
2023-09-07,10.627
2023-09-08,10.59
2023-09-09,10.59
2023-09-10,10.59
2023-09-11,9.815
2023-09-12,9.191
2023-09-13,9.107
2023-09-14,7.97
2023-09-15,8.84
2023-09-16,8.84
2023-09-17,8.84
2023-09-18,9.023
