,OGE US Equity
2020-10-30,6.574
2020-10-31,6.574
2020-11-01,6.574
2020-11-02,6.367
2020-11-03,6.222
2020-11-04,6.274
2020-11-05,6.327
2020-11-06,6.385
2020-11-07,6.385
2020-11-08,6.385
2020-11-09,6.193
2020-11-10,5.911
2020-11-11,5.958
2020-11-12,6.18
2020-11-13,5.956
2020-11-14,5.956
2020-11-15,5.956
2020-11-16,5.829
2020-11-17,5.913
2020-11-18,6.078
2020-11-19,6.042
2020-11-20,5.997
2020-11-21,5.997
2020-11-22,5.997
2020-11-23,5.937
2020-11-24,5.819
2020-11-25,5.839
2020-11-26,5.839
2020-11-27,6.011
2020-11-28,6.011
2020-11-29,6.011
2020-11-30,6.245
2020-12-01,6.186
2020-12-02,6.126
2020-12-03,6.201
2020-12-04,6.152
2020-12-05,6.152
2020-12-06,6.152
2020-12-07,6.146
2020-12-08,6.216
2020-12-09,6.165
2020-12-10,6.255
2020-12-11,6.29
2020-12-12,6.29
2020-12-13,6.29
2020-12-14,6.305
2020-12-15,6.257
2020-12-16,6.327
2020-12-17,6.417
2020-12-18,6.496
2020-12-19,6.496
2020-12-20,6.496
2020-12-21,6.634
2020-12-22,6.591
2020-12-23,6.54
2020-12-24,6.494
2020-12-25,6.494
2020-12-26,6.494
2020-12-27,6.494
2020-12-28,6.444
2020-12-29,6.521
2020-12-30,6.411
2020-12-31,6.349
2021-01-01,6.349
2021-01-02,6.349
2021-01-03,6.349
2021-01-04,6.333
2021-01-05,6.329
2021-01-06,6.144
2021-01-07,6.282
2021-01-08,6.228
2021-01-09,6.228
2021-01-10,6.228
2021-01-11,6.315
2021-01-12,6.41
2021-01-13,6.412
2021-01-14,6.502
2021-01-15,6.382
2021-01-16,6.382
2021-01-17,6.382
2021-01-18,6.382
2021-01-19,6.425
2021-01-20,6.369
2021-01-21,6.382
2021-01-22,6.369
2021-01-23,6.369
2021-01-24,6.369
2021-01-25,6.277
2021-01-26,6.327
2021-01-27,6.502
2021-01-28,6.452
2021-01-29,6.545
2021-01-30,6.545
2021-01-31,6.545
2021-02-01,6.483
2021-02-02,6.394
2021-02-03,6.483
2021-02-04,6.365
2021-02-05,6.355
2021-02-06,6.355
2021-02-07,6.355
2021-02-08,6.439
2021-02-09,6.458
2021-02-10,6.301
2021-02-11,6.309
2021-02-12,6.333
2021-02-13,6.333
2021-02-14,6.333
2021-02-15,6.333
2021-02-16,6.315
2021-02-17,6.289
2021-02-18,6.291
2021-02-19,6.258
2021-02-20,6.258
2021-02-21,6.258
2021-02-22,6.423
2021-02-23,6.361
2021-02-24,6.41
2021-02-25,7.06
2021-02-26,7.142
2021-02-27,7.142
2021-02-28,7.142
2021-03-01,7.064
2021-03-02,7.024
2021-03-03,6.947
2021-03-04,6.796
2021-03-05,6.586
2021-03-06,6.586
2021-03-07,6.586
2021-03-08,6.518
2021-03-09,6.576
2021-03-10,6.506
2021-03-11,6.668
2021-03-12,6.571
2021-03-13,6.571
2021-03-14,6.571
2021-03-15,6.306
2021-03-16,6.331
2021-03-17,6.452
2021-03-18,6.434
2021-03-19,6.476
2021-03-20,6.476
2021-03-21,6.476
2021-03-22,6.516
2021-03-23,6.53
2021-03-24,6.528
2021-03-25,6.482
2021-03-26,6.452
2021-03-27,6.452
2021-03-28,6.452
2021-03-29,6.377
2021-03-30,6.442
2021-03-31,6.46
2021-04-01,6.41
2021-04-02,6.41
2021-04-03,6.41
2021-04-04,6.41
2021-04-05,6.367
2021-04-06,6.393
2021-04-07,6.336
2021-04-08,6.4
2021-04-09,6.412
2021-04-10,6.412
2021-04-11,6.412
2021-04-12,6.374
2021-04-13,6.327
2021-04-14,6.283
2021-04-15,6.181
2021-04-16,6.168
2021-04-17,6.168
2021-04-18,6.168
2021-04-19,6.152
2021-04-20,6.137
2021-04-21,5.997
2021-04-22,6.059
2021-04-23,6.057
2021-04-24,6.057
2021-04-25,6.057
2021-04-26,6.04
2021-04-27,6.116
2021-04-28,6.011
2021-04-29,5.919
2021-04-30,5.947
2021-05-01,5.947
2021-05-02,5.947
2021-05-03,5.959
2021-05-04,5.974
2021-05-05,5.972
2021-05-06,5.866
2021-05-07,5.882
2021-05-08,5.882
2021-05-09,5.882
2021-05-10,5.856
2021-05-11,5.972
2021-05-12,6.061
2021-05-13,5.898
2021-05-14,5.802
2021-05-15,5.802
2021-05-16,5.802
2021-05-17,5.906
2021-05-18,5.952
2021-05-19,5.943
2021-05-20,5.943
2021-05-21,5.922
2021-05-22,5.922
2021-05-23,5.922
2021-05-24,5.885
2021-05-25,5.917
2021-05-26,5.808
2021-05-27,5.773
2021-05-28,5.785
2021-05-29,5.785
2021-05-30,5.785
2021-05-31,5.785
2021-06-01,5.827
2021-06-02,5.863
2021-06-03,5.829
2021-06-04,5.813
2021-06-05,5.813
2021-06-06,5.813
2021-06-07,5.83
2021-06-08,5.863
2021-06-09,5.788
2021-06-10,5.605
2021-06-11,5.517
2021-06-12,5.517
2021-06-13,5.517
2021-06-14,5.546
2021-06-15,5.557
2021-06-16,5.623
2021-06-17,5.665
2021-06-18,5.85
2021-06-19,5.85
2021-06-20,5.85
2021-06-21,5.698
2021-06-22,5.747
2021-06-23,5.781
2021-06-24,5.791
2021-06-25,5.688
2021-06-26,5.688
2021-06-27,5.688
2021-06-28,5.723
2021-06-29,5.806
2021-06-30,5.812
2021-07-01,5.755
2021-07-02,5.713
2021-07-03,5.713
2021-07-04,5.713
2021-07-05,5.713
2021-07-06,5.757
2021-07-07,5.735
2021-07-08,5.757
2021-07-09,5.695
2021-07-10,5.695
2021-07-11,5.695
2021-07-12,5.692
2021-07-13,5.803
2021-07-14,5.774
2021-07-15,5.684
2021-07-16,5.646
2021-07-17,5.646
2021-07-18,5.646
2021-07-19,5.8
2021-07-20,5.702
2021-07-21,5.777
2021-07-22,5.819
2021-07-23,5.746
2021-07-24,5.746
2021-07-25,5.746
2021-07-26,5.729
2021-07-27,5.647
2021-07-28,5.69
2021-07-29,5.677
2021-07-30,5.726
2021-07-31,5.726
2021-08-01,5.726
2021-08-02,5.674
2021-08-03,5.627
2021-08-04,5.667
2021-08-05,5.679
2021-08-06,5.586
2021-08-07,5.586
2021-08-08,5.586
2021-08-09,5.559
2021-08-10,5.558
2021-08-11,5.492
2021-08-12,5.427
2021-08-13,5.394
2021-08-14,5.394
2021-08-15,5.394
2021-08-16,5.452
2021-08-17,5.445
2021-08-18,5.489
2021-08-19,5.531
2021-08-20,5.455
2021-08-21,5.455
2021-08-22,5.455
2021-08-23,5.512
2021-08-24,5.523
2021-08-25,5.484
2021-08-26,5.514
2021-08-27,5.503
2021-08-28,5.503
2021-08-29,5.503
2021-08-30,5.515
2021-08-31,5.528
2021-09-01,5.478
2021-09-02,5.443
2021-09-03,5.487
2021-09-04,5.487
2021-09-05,5.487
2021-09-06,5.487
2021-09-07,5.556
2021-09-08,5.481
2021-09-09,5.514
2021-09-10,5.578
2021-09-11,5.578
2021-09-12,5.578
2021-09-13,5.569
2021-09-14,5.646
2021-09-15,5.638
2021-09-16,5.742
2021-09-17,5.801
2021-09-18,5.801
2021-09-19,5.801
2021-09-20,5.833
2021-09-21,5.889
2021-09-22,5.834
2021-09-23,5.807
2021-09-24,5.813
2021-09-25,5.813
2021-09-26,5.813
2021-09-27,5.859
2021-09-28,5.942
2021-09-29,5.838
2021-09-30,5.939
2021-10-01,5.931
2021-10-02,5.931
2021-10-03,5.931
2021-10-04,5.819
2021-10-05,5.86
2021-10-06,5.812
2021-10-07,5.827
2021-10-08,5.848
2021-10-09,5.848
2021-10-10,5.848
2021-10-11,5.902
2021-10-12,5.915
2021-10-13,5.852
2021-10-14,5.729
2021-10-15,5.729
2021-10-16,5.729
2021-10-17,5.729
2021-10-18,5.791
2021-10-19,5.754
2021-10-20,5.682
2021-10-21,5.72
2021-10-22,5.65
2021-10-23,5.65
2021-10-24,5.65
2021-10-25,5.645
2021-10-26,5.644
2021-10-27,5.678
2021-10-28,5.675
2021-10-29,5.675
2021-10-30,5.675
2021-10-31,5.675
2021-11-01,5.577
2021-11-02,5.608
2021-11-03,5.59
2021-11-04,5.595
2021-11-05,5.523
2021-11-06,5.523
2021-11-07,5.523
2021-11-08,5.621
2021-11-09,5.603
2021-11-10,5.57
2021-11-11,5.559
2021-11-12,5.549
2021-11-13,5.549
2021-11-14,5.549
2021-11-15,5.468
2021-11-16,5.49
2021-11-17,5.485
2021-11-18,5.517
2021-11-19,5.443
2021-11-20,5.443
2021-11-21,5.443
2021-11-22,5.394
2021-11-23,5.391
2021-11-24,5.399
2021-11-25,5.399
2021-11-26,5.53
2021-11-27,5.53
2021-11-28,5.53
2021-11-29,5.445
2021-11-30,5.568
2021-12-01,5.659
2021-12-02,5.552
2021-12-03,5.436
2021-12-04,5.436
2021-12-05,5.436
2021-12-06,5.331
2021-12-07,5.413
2021-12-08,5.41
2021-12-09,5.446
2021-12-10,5.431
2021-12-11,5.431
2021-12-12,5.431
2021-12-13,5.371
2021-12-14,5.374
2021-12-15,5.268
2021-12-16,5.268
2021-12-17,5.294
2021-12-18,5.294
2021-12-19,5.294
2021-12-20,5.287
2021-12-21,5.277
2021-12-22,5.246
2021-12-23,5.244
2021-12-24,5.244
2021-12-25,5.244
2021-12-26,5.244
2021-12-27,5.202
2021-12-28,5.158
2021-12-29,5.119
2021-12-30,5.102
2021-12-31,5.084
2022-01-01,5.084
2022-01-02,5.084
2022-01-03,5.138
2022-01-04,5.152
2022-01-05,5.167
2022-01-06,5.171
2022-01-07,5.143
2022-01-08,5.143
2022-01-09,5.143
2022-01-10,5.142
2022-01-11,5.18
2022-01-12,5.179
2022-01-13,5.138
2022-01-14,5.08
2022-01-15,5.08
2022-01-16,5.08
2022-01-17,5.08
2022-01-18,5.116
2022-01-19,5.112
2022-01-20,5.155
2022-01-21,5.173
2022-01-22,5.173
2022-01-23,5.173
2022-01-24,5.203
2022-01-25,5.213
2022-01-26,5.196
2022-01-27,5.176
2022-01-28,5.101
2022-01-29,5.101
2022-01-30,5.101
2022-01-31,5.09
2022-02-01,5.117
2022-02-02,5.066
2022-02-03,5.041
2022-02-04,5.113
2022-02-05,5.113
2022-02-06,5.113
2022-02-07,5.121
2022-02-08,5.109
2022-02-09,5.104
2022-02-10,5.23
2022-02-11,5.255
2022-02-12,5.255
2022-02-13,5.255
2022-02-14,5.307
2022-02-15,5.392
2022-02-16,5.395
2022-02-17,5.368
2022-02-18,5.399
2022-02-19,5.399
2022-02-20,5.399
2022-02-21,5.399
2022-02-22,5.371
2022-02-23,5.448
2022-02-24,5.319
2022-02-25,5.23
2022-02-26,5.23
2022-02-27,5.23
2022-02-28,5.179
2022-03-01,5.184
2022-03-02,5.075
2022-03-03,4.949
2022-03-04,4.868
2022-03-05,4.868
2022-03-06,4.868
2022-03-07,4.927
2022-03-08,4.987
2022-03-09,4.985
2022-03-10,4.974
2022-03-11,4.998
2022-03-12,4.998
2022-03-13,4.998
2022-03-14,5.02
2022-03-15,4.996
2022-03-16,4.988
2022-03-17,5.023
2022-03-18,5.034
2022-03-19,5.034
2022-03-20,5.034
2022-03-21,4.968
2022-03-22,4.973
2022-03-23,4.99
2022-03-24,4.975
2022-03-25,4.863
2022-03-26,4.863
2022-03-27,4.863
2022-03-28,4.87
2022-03-29,4.793
2022-03-30,4.796
2022-03-31,4.698
2022-04-01,4.641
2022-04-02,4.641
2022-04-03,4.641
2022-04-04,4.67
2022-04-05,4.64
2022-04-06,4.538
2022-04-07,4.569
2022-04-08,4.58
2022-04-09,4.58
2022-04-10,4.58
2022-04-11,4.595
2022-04-12,4.569
2022-04-13,4.562
2022-04-14,4.557
2022-04-15,4.557
2022-04-16,4.557
2022-04-17,4.557
2022-04-18,4.548
2022-04-19,4.54
2022-04-20,4.474
2022-04-21,4.479
2022-04-22,4.552
2022-04-23,4.552
2022-04-24,4.552
2022-04-25,4.595
2022-04-26,4.657
2022-04-27,4.66
2022-04-28,4.706
2022-04-29,4.879
2022-04-30,4.879
2022-05-01,4.879
2022-05-02,4.904
2022-05-03,4.877
2022-05-04,4.756
2022-05-05,4.797
2022-05-06,4.798
2022-05-07,4.798
2022-05-08,4.798
2022-05-09,4.814
2022-05-10,4.871
2022-05-11,4.823
2022-05-12,4.853
2022-05-13,4.827
2022-05-14,4.827
2022-05-15,4.827
2022-05-16,4.81
2022-05-17,4.723
2022-05-18,4.749
2022-05-19,4.765
2022-05-20,4.755
2022-05-21,4.755
2022-05-22,4.755
2022-05-23,4.716
2022-05-24,4.666
2022-05-25,4.633
2022-05-26,4.623
2022-05-27,4.571
2022-05-28,4.571
2022-05-29,4.571
2022-05-30,4.571
2022-05-31,4.591
2022-06-01,4.621
2022-06-02,4.612
2022-06-03,4.624
2022-06-04,4.624
2022-06-05,4.624
2022-06-06,4.609
2022-06-07,4.596
2022-06-08,4.685
2022-06-09,4.802
2022-06-10,4.821
2022-06-11,4.821
2022-06-12,4.821
2022-06-13,5.104
2022-06-14,5.221
2022-06-15,5.211
2022-06-16,5.365
2022-06-17,5.394
2022-06-18,5.394
2022-06-19,5.394
2022-06-20,5.394
2022-06-21,5.354
2022-06-22,5.256
2022-06-23,5.131
2022-06-24,5.021
2022-06-25,5.021
2022-06-26,5.021
2022-06-27,4.945
2022-06-28,4.943
2022-06-29,4.95
2022-06-30,4.897
2022-07-01,4.738
2022-07-02,4.738
2022-07-03,4.738
2022-07-04,4.738
2022-07-05,4.897
2022-07-06,4.887
2022-07-07,4.929
2022-07-08,4.939
2022-07-09,4.939
2022-07-10,4.939
2022-07-11,4.87
2022-07-12,4.862
2022-07-13,4.869
2022-07-14,4.826
2022-07-15,4.782
2022-07-16,4.782
2022-07-17,4.782
2022-07-18,4.803
2022-07-19,4.762
2022-07-20,4.899
2022-07-21,4.9
2022-07-22,4.867
2022-07-23,4.867
2022-07-24,4.867
2022-07-25,4.82
2022-07-26,4.761
2022-07-27,4.754
2022-07-28,4.63
2022-07-29,4.569
2022-07-30,4.569
2022-07-31,4.569
2022-08-01,4.579
2022-08-02,4.635
2022-08-03,4.615
2022-08-04,4.677
2022-08-05,4.663
2022-08-06,4.663
2022-08-07,4.663
2022-08-08,4.638
2022-08-09,4.576
2022-08-10,4.569
2022-08-11,4.567
2022-08-12,4.473
2022-08-13,4.473
2022-08-14,4.473
2022-08-15,4.4
2022-08-16,4.405
2022-08-17,4.421
2022-08-18,4.393
2022-08-19,4.387
2022-08-20,4.387
2022-08-21,4.387
2022-08-22,4.448
2022-08-23,4.472
2022-08-24,4.486
2022-08-25,4.457
2022-08-26,4.523
2022-08-27,4.523
2022-08-28,4.523
2022-08-29,4.515
2022-08-30,4.605
2022-08-31,4.63
2022-09-01,4.577
2022-09-02,4.616
2022-09-03,4.616
2022-09-04,4.616
2022-09-05,4.616
2022-09-06,4.642
2022-09-07,4.519
2022-09-08,4.524
2022-09-09,4.485
2022-09-10,4.485
2022-09-11,4.485
2022-09-12,4.461
2022-09-13,4.56
2022-09-14,4.493
2022-09-15,4.589
2022-09-16,4.588
2022-09-17,4.588
2022-09-18,4.588
2022-09-19,4.525
2022-09-20,4.578
2022-09-21,4.62
2022-09-22,4.623
2022-09-23,4.704
2022-09-24,4.704
2022-09-25,4.704
2022-09-26,4.82
2022-09-27,4.923
2022-09-28,4.836
2022-09-29,5.019
2022-09-30,5.151
2022-10-01,5.151
2022-10-02,5.151
2022-10-03,5.024
2022-10-04,4.894
2022-10-05,5.012
2022-10-06,5.23
2022-10-07,5.39
2022-10-08,5.39
2022-10-09,5.39
2022-10-10,5.33
2022-10-11,5.345
2022-10-12,5.463
2022-10-13,5.381
2022-10-14,5.499
2022-10-15,5.499
2022-10-16,5.499
2022-10-17,5.367
2022-10-18,5.284
2022-10-19,5.331
2022-10-20,5.403
2022-10-21,5.308
2022-10-22,5.308
2022-10-23,5.308
2022-10-24,5.305
2022-10-25,5.168
2022-10-26,5.17
2022-10-27,5.162
2022-10-28,5.035
2022-10-29,5.035
2022-10-30,5.035
2022-10-31,5.074
2022-11-01,5.034
2022-11-02,5.103
2022-11-03,4.996
2022-11-04,4.933
2022-11-05,4.933
2022-11-06,4.933
2022-11-07,5.045
2022-11-08,4.972
2022-11-09,4.991
2022-11-10,4.806
2022-11-11,4.826
2022-11-12,4.826
2022-11-13,4.826
2022-11-14,4.861
2022-11-15,4.843
2022-11-16,4.78
2022-11-17,4.823
2022-11-18,4.722
2022-11-19,4.722
2022-11-20,4.722
2022-11-21,4.743
2022-11-22,4.685
2022-11-23,4.669
2022-11-24,4.669
2022-11-25,4.635
2022-11-26,4.635
2022-11-27,4.635
2022-11-28,4.662
2022-11-29,4.668
2022-11-30,4.58
2022-12-01,4.649
2022-12-02,4.675
2022-12-03,4.675
2022-12-04,4.675
2022-12-05,4.691
2022-12-06,4.644
2022-12-07,4.693
2022-12-08,4.629
2022-12-09,4.639
2022-12-10,4.639
2022-12-11,4.639
2022-12-12,4.609
2022-12-13,4.619
2022-12-14,4.572
2022-12-15,4.635
2022-12-16,4.691
2022-12-17,4.691
2022-12-18,4.691
2022-12-19,4.739
2022-12-20,4.749
2022-12-21,4.645
2022-12-22,4.683
2022-12-23,4.63
2022-12-24,4.63
2022-12-25,4.63
2022-12-26,4.63
2022-12-27,4.601
2022-12-28,4.645
2022-12-29,4.607
2022-12-30,4.685
2022-12-31,4.685
2023-01-01,4.685
2023-01-02,4.685
2023-01-03,4.69
2023-01-04,4.684
2023-01-05,4.786
2023-01-06,4.681
2023-01-07,4.681
2023-01-08,4.681
2023-01-09,4.6
2023-01-10,4.614
2023-01-11,4.564
2023-01-12,4.558
2023-01-13,4.59
2023-01-14,4.59
2023-01-15,4.59
2023-01-16,4.59
2023-01-17,4.636
2023-01-18,4.731
2023-01-19,4.827
2023-01-20,4.779
2023-01-21,4.779
2023-01-22,4.779
2023-01-23,4.778
2023-01-24,4.71
2023-01-25,4.697
2023-01-26,4.673
2023-01-27,4.641
2023-01-28,4.641
2023-01-29,4.641
2023-01-30,4.664
2023-01-31,4.63
2023-02-01,4.571
2023-02-02,4.571
2023-02-03,4.692
2023-02-04,4.692
2023-02-05,4.692
2023-02-06,4.673
2023-02-07,4.654
2023-02-08,4.745
2023-02-09,4.806
2023-02-10,4.731
2023-02-11,4.731
2023-02-12,4.731
2023-02-13,4.69
2023-02-14,4.746
2023-02-15,4.747
2023-02-16,4.788
2023-02-17,4.74
2023-02-18,4.74
2023-02-19,4.74
2023-02-20,4.74
2023-02-21,4.823
2023-02-22,4.83
2023-02-23,4.876
2023-02-24,4.899
2023-02-25,4.899
2023-02-26,4.899
2023-02-27,4.961
2023-02-28,5.079
2023-03-01,5.163
2023-03-02,5.095
2023-03-03,5.068
2023-03-04,5.068
2023-03-05,5.068
2023-03-06,5.062
2023-03-07,5.139
2023-03-08,5.085
2023-03-09,5.173
2023-03-10,5.274
2023-03-11,5.274
2023-03-12,5.274
2023-03-13,5.239
2023-03-14,5.135
2023-03-15,5.082
2023-03-16,5.023
2023-03-17,5.085
2023-03-18,5.085
2023-03-19,5.085
2023-03-20,4.966
2023-03-21,5.023
2023-03-22,5.136
2023-03-23,5.237
2023-03-24,5.065
2023-03-25,5.065
2023-03-26,5.065
2023-03-27,5.045
2023-03-28,4.991
2023-03-29,4.884
2023-03-30,4.853
2023-03-31,4.798
2023-04-01,4.798
2023-04-02,4.798
2023-04-03,4.853
2023-04-04,4.813
2023-04-05,4.637
2023-04-06,4.644
2023-04-07,4.644
2023-04-08,4.644
2023-04-09,4.644
2023-04-10,4.625
2023-04-11,4.639
2023-04-12,4.631
2023-04-13,4.687
2023-04-14,4.711
2023-04-15,4.711
2023-04-16,4.711
2023-04-17,4.721
2023-04-18,4.8
2023-04-19,4.754
2023-04-20,4.78
2023-04-21,4.752
2023-04-22,4.752
2023-04-23,4.752
2023-04-24,4.713
2023-04-25,4.713
2023-04-26,4.819
2023-04-27,4.738
2023-04-28,4.762
2023-04-29,4.762
2023-04-30,4.762
2023-05-01,4.776
2023-05-02,4.849
2023-05-03,4.85
2023-05-04,4.783
2023-05-05,4.73
2023-05-06,4.73
2023-05-07,4.73
2023-05-08,4.755
2023-05-09,4.75
2023-05-10,4.702
2023-05-11,4.759
2023-05-12,4.727
2023-05-13,4.727
2023-05-14,4.727
2023-05-15,4.798
2023-05-16,4.874
2023-05-17,4.897
2023-05-18,4.88
2023-05-19,4.943
2023-05-20,4.943
2023-05-21,4.943
2023-05-22,4.932
2023-05-23,4.964
2023-05-24,4.994
2023-05-25,5.11
2023-05-26,5.107
2023-05-27,5.107
2023-05-28,5.107
2023-05-29,5.107
2023-05-30,5.1
2023-05-31,5.061
2023-06-01,5.1
2023-06-02,5.004
2023-06-03,5.004
2023-06-04,5.004
2023-06-05,4.991
2023-06-06,5.023
2023-06-07,4.917
2023-06-08,4.908
2023-06-09,4.946
2023-06-10,4.946
2023-06-11,4.946
2023-06-12,4.951
2023-06-13,4.943
2023-06-14,4.951
2023-06-15,4.905
2023-06-16,4.872
2023-06-17,4.872
2023-06-18,4.872
2023-06-19,4.872
2023-06-20,4.905
2023-06-21,4.887
2023-06-22,4.939
2023-06-23,5.01
2023-06-24,5.01
2023-06-25,5.01
2023-06-26,4.957
2023-06-27,4.953
2023-06-28,5.038
2023-06-29,5.027
2023-06-30,4.978
2023-07-01,4.978
2023-07-02,4.978
2023-07-03,4.935
2023-07-04,4.935
2023-07-05,4.893
2023-07-06,4.931
2023-07-07,4.968
2023-07-08,4.968
2023-07-09,4.968
2023-07-10,5.005
2023-07-11,4.942
2023-07-12,4.873
2023-07-13,4.837
2023-07-14,4.861
2023-07-15,4.861
2023-07-16,4.861
2023-07-17,4.964
2023-07-18,4.979
2023-07-19,4.914
2023-07-20,4.835
2023-07-21,4.777
2023-07-22,4.777
2023-07-23,4.777
2023-07-24,4.831
2023-07-25,4.811
2023-07-26,4.786
2023-07-27,4.896
2023-07-28,4.914
2023-07-29,4.914
2023-07-30,4.914
2023-07-31,4.888
2023-08-01,4.91
2023-08-02,4.884
2023-08-03,5.012
2023-08-04,5.096
2023-08-05,5.096
2023-08-06,5.096
2023-08-07,5.098
2023-08-08,5.118
2023-08-09,5.127
2023-08-10,5.137
2023-08-11,5.121
2023-08-12,5.121
2023-08-13,5.121
2023-08-14,5.22
2023-08-15,5.295
2023-08-16,5.242
2023-08-17,5.223
2023-08-18,5.188
2023-08-19,5.188
2023-08-20,5.188
2023-08-21,5.236
2023-08-22,5.187
2023-08-23,5.176
2023-08-24,5.214
2023-08-25,5.193
2023-08-26,5.193
2023-08-27,5.193
2023-08-28,5.203
2023-08-29,5.164
2023-08-30,5.172
2023-08-31,5.22
2023-09-01,5.271
2023-09-02,5.271
2023-09-03,5.271
2023-09-04,5.271
2023-09-05,5.35
2023-09-06,5.35
2023-09-07,5.231
2023-09-08,5.143
2023-09-09,5.143
2023-09-10,5.143
