,PAG US Equity
2020-10-08,3.555
2020-10-09,3.568
2020-10-10,3.568
2020-10-11,3.568
2020-10-12,3.606
2020-10-13,3.714
2020-10-14,3.757
2020-10-15,3.6
2020-10-16,3.586
2020-10-17,3.586
2020-10-18,3.586
2020-10-19,3.531
2020-10-20,3.524
2020-10-21,3.511
2020-10-22,3.575
2020-10-23,4.405
2020-10-24,4.405
2020-10-25,4.405
2020-10-26,4.489
2020-10-27,4.582
2020-10-28,4.713
2020-10-29,4.666
2020-10-30,4.747
2020-10-31,4.747
2020-11-01,4.747
2020-11-02,4.619
2020-11-03,4.473
2020-11-04,4.473
2020-11-05,4.338
2020-11-06,4.409
2020-11-07,4.409
2020-11-08,4.409
2020-11-09,4.15
2020-11-10,4.025
2020-11-11,4.041
2020-11-12,4.167
2020-11-13,4.048
2020-11-14,4.048
2020-11-15,4.048
2020-11-16,3.928
2020-11-17,3.94
2020-11-18,4.041
2020-11-19,4.151
2020-11-20,4.241
2020-11-21,4.241
2020-11-22,4.241
2020-11-23,4.09
2020-11-24,3.985
2020-11-25,4.085
2020-11-26,4.085
2020-11-27,4.159
2020-11-28,4.159
2020-11-29,4.159
2020-11-30,4.376
2020-12-01,4.196
2020-12-02,4.188
2020-12-03,4.152
2020-12-04,4.117
2020-12-05,4.117
2020-12-06,4.117
2020-12-07,4.229
2020-12-08,4.3
2020-12-09,4.096
2020-12-10,4.235
2020-12-11,4.159
2020-12-12,4.159
2020-12-13,4.159
2020-12-14,4.25
2020-12-15,4.146
2020-12-16,4.132
2020-12-17,4.104
2020-12-18,4.215
2020-12-19,4.215
2020-12-20,4.215
2020-12-21,4.251
2020-12-22,4.303
2020-12-23,4.146
2020-12-24,4.177
2020-12-25,4.177
2020-12-26,4.177
2020-12-27,4.177
2020-12-28,4.156
2020-12-29,4.161
2020-12-30,4.095
2020-12-31,4.058
2021-01-01,4.058
2021-01-02,4.058
2021-01-03,4.058
2021-01-04,4.193
2021-01-05,4.093
2021-01-06,3.933
2021-01-07,3.826
2021-01-08,3.862
2021-01-09,3.862
2021-01-10,3.862
2021-01-11,3.825
2021-01-12,3.712
2021-01-13,3.831
2021-01-14,3.721
2021-01-15,3.742
2021-01-16,3.742
2021-01-17,3.742
2021-01-18,3.742
2021-01-19,3.759
2021-01-20,3.662
2021-01-21,3.646
2021-01-22,3.689
2021-01-23,3.689
2021-01-24,3.689
2021-01-25,3.756
2021-01-26,3.683
2021-01-27,3.979
2021-01-28,3.894
2021-01-29,4.027
2021-01-30,4.027
2021-01-31,4.027
2021-02-01,3.931
2021-02-02,3.921
2021-02-03,3.814
2021-02-04,3.734
2021-02-05,3.691
2021-02-06,3.691
2021-02-07,3.691
2021-02-08,3.608
2021-02-09,3.65
2021-02-10,3.631
2021-02-11,3.663
2021-02-12,3.62
2021-02-13,3.62
2021-02-14,3.62
2021-02-15,3.62
2021-02-16,3.641
2021-02-17,3.697
2021-02-18,3.765
2021-02-19,3.63
2021-02-20,3.63
2021-02-21,3.63
2021-02-22,3.607
2021-02-23,3.612
2021-02-24,3.448
2021-02-25,3.571
2021-02-26,3.522
2021-02-27,3.522
2021-02-28,3.522
2021-03-01,3.442
2021-03-02,3.435
2021-03-03,3.374
2021-03-04,3.352
2021-03-05,3.08
2021-03-06,3.08
2021-03-07,3.08
2021-03-08,2.991
2021-03-09,3.01
2021-03-10,2.908
2021-03-11,2.88
2021-03-12,2.861
2021-03-13,2.861
2021-03-14,2.861
2021-03-15,2.853
2021-03-16,2.861
2021-03-17,2.853
2021-03-18,2.943
2021-03-19,2.977
2021-03-20,2.977
2021-03-21,2.977
2021-03-22,3.028
2021-03-23,3.126
2021-03-24,3.177
2021-03-25,3.058
2021-03-26,2.974
2021-03-27,2.974
2021-03-28,2.974
2021-03-29,3.05
2021-03-30,2.956
2021-03-31,3.024
2021-04-01,3.0
2021-04-02,3.0
2021-04-03,3.0
2021-04-04,3.0
2021-04-05,2.956
2021-04-06,2.978
2021-04-07,3.005
2021-04-08,2.991
2021-04-09,2.907
2021-04-10,2.907
2021-04-11,2.907
2021-04-12,2.859
2021-04-13,2.9
2021-04-14,2.821
2021-04-15,2.805
2021-04-16,2.789
2021-04-17,2.789
2021-04-18,2.789
2021-04-19,2.806
2021-04-20,2.85
2021-04-21,2.779
2021-04-22,2.839
2021-04-23,2.738
2021-04-24,2.738
2021-04-25,2.738
2021-04-26,2.739
2021-04-27,2.743
2021-04-28,2.734
2021-04-29,2.733
2021-04-30,2.767
2021-05-01,2.767
2021-05-02,2.767
2021-05-03,2.687
2021-05-04,2.681
2021-05-05,2.68
2021-05-06,2.627
2021-05-07,2.633
2021-05-08,2.633
2021-05-09,2.633
2021-05-10,2.642
2021-05-11,2.713
2021-05-12,2.801
2021-05-13,2.732
2021-05-14,2.635
2021-05-15,2.635
2021-05-16,2.635
2021-05-17,2.623
2021-05-18,2.696
2021-05-19,2.853
2021-05-20,2.861
2021-05-21,2.813
2021-05-22,2.813
2021-05-23,2.813
2021-05-24,2.826
2021-05-25,2.876
2021-05-26,2.833
2021-05-27,2.818
2021-05-28,2.82
2021-05-29,2.82
2021-05-30,2.82
2021-05-31,2.82
2021-06-01,2.776
2021-06-02,2.887
2021-06-03,2.906
2021-06-04,2.978
2021-06-05,2.978
2021-06-06,2.978
2021-06-07,3.037
2021-06-08,2.992
2021-06-09,3.054
2021-06-10,3.045
2021-06-11,3.012
2021-06-12,3.012
2021-06-13,3.012
2021-06-14,3.098
2021-06-15,3.072
2021-06-16,3.094
2021-06-17,3.242
2021-06-18,3.325
2021-06-19,3.325
2021-06-20,3.325
2021-06-21,3.243
2021-06-22,3.244
2021-06-23,3.248
2021-06-24,3.261
2021-06-25,3.22
2021-06-26,3.22
2021-06-27,3.22
2021-06-28,3.25
2021-06-29,3.248
2021-06-30,3.197
2021-07-01,3.096
2021-07-02,3.098
2021-07-03,3.098
2021-07-04,3.098
2021-07-05,3.098
2021-07-06,3.189
2021-07-07,3.162
2021-07-08,3.196
2021-07-09,3.07
2021-07-10,3.07
2021-07-11,3.07
2021-07-12,3.016
2021-07-13,3.065
2021-07-14,3.056
2021-07-15,3.065
2021-07-16,3.111
2021-07-17,3.111
2021-07-18,3.111
2021-07-19,3.18
2021-07-20,3.019
2021-07-21,2.924
2021-07-22,2.946
2021-07-23,2.963
2021-07-24,2.963
2021-07-25,2.963
2021-07-26,2.998
2021-07-27,2.985
2021-07-28,2.977
2021-07-29,2.868
2021-07-30,2.819
2021-07-31,2.819
2021-08-01,2.819
2021-08-02,2.781
2021-08-03,2.776
2021-08-04,2.907
2021-08-05,2.847
2021-08-06,2.846
2021-08-07,2.846
2021-08-08,2.846
2021-08-09,2.862
2021-08-10,2.792
2021-08-11,2.763
2021-08-12,2.762
2021-08-13,2.771
2021-08-14,2.771
2021-08-15,2.771
2021-08-16,2.748
2021-08-17,2.884
2021-08-18,2.903
2021-08-19,2.926
2021-08-20,2.91
2021-08-21,2.91
2021-08-22,2.91
2021-08-23,2.903
2021-08-24,2.857
2021-08-25,2.834
2021-08-26,2.862
2021-08-27,2.773
2021-08-28,2.773
2021-08-29,2.773
2021-08-30,2.797
2021-08-31,2.763
2021-09-01,2.771
2021-09-02,2.798
2021-09-03,2.831
2021-09-04,2.831
2021-09-05,2.831
2021-09-06,2.831
2021-09-07,2.874
2021-09-08,2.835
2021-09-09,2.777
2021-09-10,2.778
2021-09-11,2.778
2021-09-12,2.778
2021-09-13,2.767
2021-09-14,2.764
2021-09-15,2.707
2021-09-16,2.62
2021-09-17,2.57
2021-09-18,2.57
2021-09-19,2.57
2021-09-20,2.621
2021-09-21,2.577
2021-09-22,2.472
2021-09-23,2.382
2021-09-24,2.322
2021-09-25,2.322
2021-09-26,2.322
2021-09-27,2.338
2021-09-28,2.371
2021-09-29,2.293
2021-09-30,2.47
2021-10-01,2.434
2021-10-02,2.434
2021-10-03,2.434
2021-10-04,2.435
2021-10-05,2.434
2021-10-06,2.453
2021-10-07,2.409
2021-10-08,2.384
2021-10-09,2.384
2021-10-10,2.384
2021-10-11,2.425
2021-10-12,2.426
2021-10-13,2.46
2021-10-14,2.44
2021-10-15,2.404
2021-10-16,2.404
2021-10-17,2.404
2021-10-18,2.367
2021-10-19,2.411
2021-10-20,2.396
2021-10-21,2.253
2021-10-22,2.22
2021-10-23,2.22
2021-10-24,2.22
2021-10-25,2.187
2021-10-26,2.244
2021-10-27,2.403
2021-10-28,2.349
2021-10-29,2.343
2021-10-30,2.343
2021-10-31,2.343
2021-11-01,2.298
2021-11-02,2.316
2021-11-03,2.265
2021-11-04,2.246
2021-11-05,2.222
2021-11-06,2.222
2021-11-07,2.222
2021-11-08,2.239
2021-11-09,2.231
2021-11-10,2.235
2021-11-11,2.229
2021-11-12,2.207
2021-11-13,2.207
2021-11-14,2.207
2021-11-15,2.22
2021-11-16,2.218
2021-11-17,2.514
2021-11-18,2.487
2021-11-19,2.581
2021-11-20,2.581
2021-11-21,2.581
2021-11-22,2.443
2021-11-23,2.403
2021-11-24,2.407
2021-11-25,2.407
2021-11-26,2.425
2021-11-27,2.425
2021-11-28,2.425
2021-11-29,2.431
2021-11-30,2.484
2021-12-01,2.485
2021-12-02,2.372
2021-12-03,2.412
2021-12-04,2.412
2021-12-05,2.412
2021-12-06,2.388
2021-12-07,2.388
2021-12-08,2.403
2021-12-09,2.388
2021-12-10,2.342
2021-12-11,2.342
2021-12-12,2.342
2021-12-13,2.476
2021-12-14,2.448
2021-12-15,2.424
2021-12-16,2.452
2021-12-17,2.433
2021-12-18,2.433
2021-12-19,2.433
2021-12-20,2.53
2021-12-21,2.463
2021-12-22,2.428
2021-12-23,2.406
2021-12-24,2.406
2021-12-25,2.406
2021-12-26,2.406
2021-12-27,2.353
2021-12-28,2.353
2021-12-29,2.344
2021-12-30,2.335
2021-12-31,2.308
2022-01-01,2.308
2022-01-02,2.308
2022-01-03,2.359
2022-01-04,2.301
2022-01-05,2.331
2022-01-06,2.311
2022-01-07,2.312
2022-01-08,2.312
2022-01-09,2.312
2022-01-10,2.316
2022-01-11,2.337
2022-01-12,2.38
2022-01-13,2.343
2022-01-14,2.371
2022-01-15,2.371
2022-01-16,2.371
2022-01-17,2.371
2022-01-18,2.392
2022-01-19,2.452
2022-01-20,2.513
2022-01-21,2.504
2022-01-22,2.504
2022-01-23,2.504
2022-01-24,2.422
2022-01-25,2.427
2022-01-26,2.474
2022-01-27,2.491
2022-01-28,2.469
2022-01-29,2.469
2022-01-30,2.469
2022-01-31,2.435
2022-02-01,2.387
2022-02-02,2.403
2022-02-03,2.455
2022-02-04,2.49
2022-02-05,2.49
2022-02-06,2.49
2022-02-07,2.451
2022-02-08,2.408
2022-02-09,2.398
2022-02-10,2.518
2022-02-11,2.557
2022-02-12,2.557
2022-02-13,2.557
2022-02-14,2.552
2022-02-15,2.452
2022-02-16,2.399
2022-02-17,2.467
2022-02-18,2.46
2022-02-19,2.46
2022-02-20,2.46
2022-02-21,2.46
2022-02-22,2.629
2022-02-23,2.681
2022-02-24,2.583
2022-02-25,2.502
2022-02-26,2.502
2022-02-27,2.502
2022-02-28,2.506
2022-03-01,2.577
2022-03-02,2.387
2022-03-03,2.46
2022-03-04,2.492
2022-03-05,2.492
2022-03-06,2.492
2022-03-07,2.285
2022-03-08,2.204
2022-03-09,2.199
2022-03-10,2.18
2022-03-11,2.173
2022-03-12,2.173
2022-03-13,2.173
2022-03-14,2.178
2022-03-15,2.173
2022-03-16,2.087
2022-03-17,2.096
2022-03-18,2.102
2022-03-19,2.102
2022-03-20,2.102
2022-03-21,2.117
2022-03-22,2.103
2022-03-23,2.164
2022-03-24,2.155
2022-03-25,2.152
2022-03-26,2.152
2022-03-27,2.152
2022-03-28,2.212
2022-03-29,2.127
2022-03-30,2.193
2022-03-31,2.346
2022-04-01,2.333
2022-04-02,2.333
2022-04-03,2.333
2022-04-04,2.354
2022-04-05,2.376
2022-04-06,2.359
2022-04-07,2.384
2022-04-08,2.339
2022-04-09,2.339
2022-04-10,2.339
2022-04-11,2.317
2022-04-12,2.339
2022-04-13,2.306
2022-04-14,2.277
2022-04-15,2.277
2022-04-16,2.277
2022-04-17,2.277
2022-04-18,2.262
2022-04-19,2.178
2022-04-20,2.166
2022-04-21,2.25
2022-04-22,2.27
2022-04-23,2.27
2022-04-24,2.27
2022-04-25,2.188
2022-04-26,2.216
2022-04-27,2.222
2022-04-28,2.056
2022-04-29,2.097
2022-04-30,2.097
2022-05-01,2.097
2022-05-02,2.033
2022-05-03,1.967
2022-05-04,1.92
2022-05-05,1.966
2022-05-06,1.967
2022-05-07,1.967
2022-05-08,1.967
2022-05-09,2.014
2022-05-10,2.038
2022-05-11,2.049
2022-05-12,2.017
2022-05-13,1.896
2022-05-14,1.896
2022-05-15,1.896
2022-05-16,1.903
2022-05-17,1.864
2022-05-18,2.021
2022-05-19,2.019
2022-05-20,2.026
2022-05-21,2.026
2022-05-22,2.026
2022-05-23,2.02
2022-05-24,2.01
2022-05-25,1.948
2022-05-26,1.9
2022-05-27,1.877
2022-05-28,1.877
2022-05-29,1.877
2022-05-30,1.877
2022-05-31,1.901
2022-06-01,1.883
2022-06-02,1.872
2022-06-03,1.867
2022-06-04,1.867
2022-06-05,1.867
2022-06-06,1.821
2022-06-07,1.811
2022-06-08,1.82
2022-06-09,1.805
2022-06-10,1.894
2022-06-11,1.894
2022-06-12,1.894
2022-06-13,1.987
2022-06-14,1.936
2022-06-15,1.919
2022-06-16,2.135
2022-06-17,2.063
2022-06-18,2.063
2022-06-19,2.063
2022-06-20,2.063
2022-06-21,2.079
2022-06-22,2.064
2022-06-23,2.066
2022-06-24,1.968
2022-06-25,1.968
2022-06-26,1.968
2022-06-27,1.968
2022-06-28,1.976
2022-06-29,1.989
2022-06-30,2.09
2022-07-01,2.049
2022-07-02,2.049
2022-07-03,2.049
2022-07-04,2.049
2022-07-05,2.038
2022-07-06,2.097
2022-07-07,1.998
2022-07-08,2.009
2022-07-09,2.009
2022-07-10,2.009
2022-07-11,2.054
2022-07-12,2.013
2022-07-13,2.038
2022-07-14,2.118
2022-07-15,2.074
2022-07-16,2.074
2022-07-17,2.074
2022-07-18,2.032
2022-07-19,1.946
2022-07-20,1.969
2022-07-21,2.009
2022-07-22,1.988
2022-07-23,1.988
2022-07-24,1.988
2022-07-25,1.985
2022-07-26,2.02
2022-07-27,1.99
2022-07-28,1.934
2022-07-29,2.051
2022-07-30,2.051
2022-07-31,2.051
2022-08-01,1.963
2022-08-02,2.022
2022-08-03,2.004
2022-08-04,2.019
2022-08-05,2.03
2022-08-06,2.03
2022-08-07,2.03
2022-08-08,2.008
2022-08-09,2.039
2022-08-10,1.993
2022-08-11,1.977
2022-08-12,1.982
2022-08-13,1.982
2022-08-14,1.982
2022-08-15,1.989
2022-08-16,1.883
2022-08-17,1.93
2022-08-18,1.921
2022-08-19,1.955
2022-08-20,1.955
2022-08-21,1.955
2022-08-22,1.987
2022-08-23,1.968
2022-08-24,1.945
2022-08-25,1.89
2022-08-26,1.928
2022-08-27,1.928
2022-08-28,1.928
2022-08-29,1.922
2022-08-30,1.945
2022-08-31,1.983
2022-09-01,2.003
2022-09-02,2.04
2022-09-03,2.04
2022-09-04,2.04
2022-09-05,2.04
2022-09-06,2.128
2022-09-07,2.066
2022-09-08,2.122
2022-09-09,2.11
2022-09-10,2.11
2022-09-11,2.11
2022-09-12,2.085
2022-09-13,2.197
2022-09-14,2.215
2022-09-15,2.202
2022-09-16,2.234
2022-09-17,2.234
2022-09-18,2.234
2022-09-19,2.186
2022-09-20,2.258
2022-09-21,2.254
2022-09-22,2.258
2022-09-23,2.329
2022-09-24,2.329
2022-09-25,2.329
2022-09-26,2.422
2022-09-27,2.319
2022-09-28,2.185
2022-09-29,2.405
2022-09-30,2.375
2022-10-01,2.375
2022-10-02,2.375
2022-10-03,2.308
2022-10-04,2.266
2022-10-05,2.293
2022-10-06,2.317
2022-10-07,2.341
2022-10-08,2.341
2022-10-09,2.341
2022-10-10,2.348
2022-10-11,2.319
2022-10-12,2.306
2022-10-13,2.269
2022-10-14,2.328
2022-10-15,2.328
2022-10-16,2.328
2022-10-17,2.306
2022-10-18,2.27
2022-10-19,2.382
2022-10-20,2.434
2022-10-21,2.399
2022-10-22,2.399
2022-10-23,2.399
2022-10-24,2.32
2022-10-25,2.252
2022-10-26,2.304
2022-10-27,2.212
2022-10-28,2.159
2022-10-29,2.159
2022-10-30,2.159
2022-10-31,2.141
2022-11-01,2.085
2022-11-02,2.17
2022-11-03,2.182
2022-11-04,2.162
2022-11-05,2.162
2022-11-06,2.162
2022-11-07,2.129
2022-11-08,2.113
2022-11-09,2.086
2022-11-10,1.917
2022-11-11,1.917
2022-11-12,1.917
2022-11-13,1.917
2022-11-14,1.872
2022-11-15,1.885
2022-11-16,1.918
2022-11-17,1.924
2022-11-18,1.914
2022-11-19,1.914
2022-11-20,1.914
2022-11-21,1.917
2022-11-22,1.892
2022-11-23,1.897
2022-11-24,1.897
2022-11-25,1.895
2022-11-26,1.895
2022-11-27,1.895
2022-11-28,1.914
2022-11-29,1.893
2022-11-30,1.88
2022-12-01,1.906
2022-12-02,1.89
2022-12-03,1.89
2022-12-04,1.89
2022-12-05,1.923
2022-12-06,1.886
2022-12-07,1.893
2022-12-08,1.891
2022-12-09,1.908
2022-12-10,1.908
2022-12-11,1.908
2022-12-12,1.892
2022-12-13,1.964
2022-12-14,1.929
2022-12-15,1.952
2022-12-16,2.001
2022-12-17,2.001
2022-12-18,2.001
2022-12-19,2.057
2022-12-20,2.121
2022-12-21,2.11
2022-12-22,2.158
2022-12-23,2.118
2022-12-24,2.118
2022-12-25,2.118
2022-12-26,2.118
2022-12-27,2.105
2022-12-28,2.125
2022-12-29,2.081
2022-12-30,2.069
2022-12-31,2.069
2023-01-01,2.069
2023-01-02,2.069
2023-01-03,2.091
2023-01-04,2.056
2023-01-05,2.075
2023-01-06,2.023
2023-01-07,2.023
2023-01-08,2.023
2023-01-09,2.06
2023-01-10,2.019
2023-01-11,1.971
2023-01-12,1.96
2023-01-13,2.004
2023-01-14,2.004
2023-01-15,2.004
2023-01-16,2.004
2023-01-17,2.051
2023-01-18,2.064
2023-01-19,2.065
2023-01-20,2.072
2023-01-21,2.072
2023-01-22,2.072
2023-01-23,2.072
2023-01-24,2.088
2023-01-25,2.03
2023-01-26,1.99
2023-01-27,1.956
2023-01-28,1.956
2023-01-29,1.956
2023-01-30,1.957
2023-01-31,1.908
2023-02-01,1.866
2023-02-02,1.762
2023-02-03,1.763
2023-02-04,1.763
2023-02-05,1.763
2023-02-06,1.779
2023-02-07,1.809
2023-02-08,1.788
2023-02-09,1.785
2023-02-10,1.773
2023-02-11,1.773
2023-02-12,1.773
2023-02-13,1.744
2023-02-14,1.7
2023-02-15,1.694
2023-02-16,1.686
2023-02-17,1.606
2023-02-18,1.606
2023-02-19,1.606
2023-02-20,1.606
2023-02-21,1.711
2023-02-22,1.718
2023-02-23,1.739
2023-02-24,1.763
2023-02-25,1.763
2023-02-26,1.763
2023-02-27,1.75
2023-02-28,1.752
2023-03-01,1.745
2023-03-02,1.759
2023-03-03,1.747
2023-03-04,1.747
2023-03-05,1.747
2023-03-06,1.841
2023-03-07,1.811
2023-03-08,1.799
2023-03-09,1.795
2023-03-10,1.841
2023-03-11,1.841
2023-03-12,1.841
2023-03-13,1.906
2023-03-14,1.938
2023-03-15,1.967
2023-03-16,1.934
2023-03-17,2.008
2023-03-18,2.008
2023-03-19,2.008
2023-03-20,1.951
2023-03-21,1.92
2023-03-22,1.962
2023-03-23,1.981
2023-03-24,1.966
2023-03-25,1.966
2023-03-26,1.966
2023-03-27,1.944
2023-03-28,1.938
2023-03-29,1.909
2023-03-30,1.874
2023-03-31,1.842
2023-04-01,1.842
2023-04-02,1.842
2023-04-03,1.823
2023-04-04,1.859
2023-04-05,1.909
2023-04-06,1.94
2023-04-07,1.94
2023-04-08,1.94
2023-04-09,1.94
2023-04-10,1.923
2023-04-11,1.857
2023-04-12,1.878
2023-04-13,1.88
2023-04-14,1.843
2023-04-15,1.843
2023-04-16,1.843
2023-04-17,1.834
2023-04-18,1.807
2023-04-19,1.823
2023-04-20,1.849
2023-04-21,1.856
2023-04-22,1.856
2023-04-23,1.856
2023-04-24,1.844
2023-04-25,1.906
2023-04-26,1.92
2023-04-27,1.888
2023-04-28,1.897
2023-04-29,1.897
2023-04-30,1.897
2023-05-01,1.841
2023-05-02,1.859
2023-05-03,1.926
2023-05-04,1.945
2023-05-05,1.891
2023-05-06,1.891
2023-05-07,1.891
2023-05-08,1.882
2023-05-09,1.862
2023-05-10,1.858
2023-05-11,1.883
2023-05-12,1.867
2023-05-13,1.867
2023-05-14,1.867
2023-05-15,1.866
2023-05-16,1.906
2023-05-17,1.86
2023-05-18,1.836
2023-05-19,1.866
2023-05-20,1.866
2023-05-21,1.866
2023-05-22,1.845
2023-05-23,1.825
2023-05-24,1.836
2023-05-25,1.827
2023-05-26,1.839
2023-05-27,1.839
2023-05-28,1.839
2023-05-29,1.839
2023-05-30,1.793
2023-05-31,1.884
2023-06-01,1.881
2023-06-02,1.779
2023-06-03,1.779
2023-06-04,1.779
2023-06-05,1.816
2023-06-06,1.771
2023-06-07,1.72
2023-06-08,1.709
2023-06-09,1.738
2023-06-10,1.738
2023-06-11,1.738
2023-06-12,1.729
2023-06-13,1.67
2023-06-14,1.691
2023-06-15,1.663
2023-06-16,1.694
2023-06-17,1.694
2023-06-18,1.694
2023-06-19,1.694
2023-06-20,1.708
2023-06-21,1.683
2023-06-22,1.679
2023-06-23,1.66
2023-06-24,1.66
2023-06-25,1.66
2023-06-26,1.648
2023-06-27,1.612
2023-06-28,1.589
2023-06-29,1.585
2023-06-30,1.578
2023-07-01,1.578
2023-07-02,1.578
2023-07-03,1.574
2023-07-04,1.574
2023-07-05,1.581
2023-07-06,1.561
2023-07-07,1.527
2023-07-08,1.527
2023-07-09,1.527
2023-07-10,1.504
2023-07-11,1.475
2023-07-12,1.474
2023-07-13,1.485
2023-07-14,1.504
2023-07-15,1.504
2023-07-16,1.504
2023-07-17,1.5
2023-07-18,1.483
2023-07-19,1.474
2023-07-20,1.501
2023-07-21,1.564
2023-07-22,1.564
2023-07-23,1.564
2023-07-24,1.595
2023-07-25,1.621
2023-07-26,1.642
2023-07-27,1.653
2023-07-28,1.669
2023-07-29,1.669
2023-07-30,1.669
2023-07-31,1.703
2023-08-01,1.691
2023-08-02,1.587
2023-08-03,1.591
2023-08-04,1.643
2023-08-05,1.643
2023-08-06,1.643
2023-08-07,1.638
2023-08-08,1.66
2023-08-09,1.71
2023-08-10,1.72
2023-08-11,1.641
2023-08-12,1.641
2023-08-13,1.641
2023-08-14,1.628
2023-08-15,1.648
2023-08-16,1.659
2023-08-17,1.697
2023-08-18,1.676
2023-08-19,1.676
